ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-6.5,-7,,-7.0,-7.0,98.6,0.0,105.6,0.0,Tue 11-09 11-09,H,324 (Ⅳ),Bucknell,"W, 88-70",73,120.2,50.7,9.6,39.0,27.8,95.6,53.2,23.2,23.5,6.3,5.5,-24.5,152.5,98.6,0.0,98.6,98.6,105.6,0.0,105.6,105.6,20211109,105.2,95.8,9.400000000000006,94.0,108.0,-14.0,106.4,92.8,13.64,71.4,-23.012091075696823,149.16994561506795,74.7516358463727,-22.35444665312248,156.07518535226484,-1.8208427923793238,156.07518535226484,-22.35444665312248,156.07518535226484,-1.8208427923793238,156.8339512955427,94.0,105.8,-11.71,73.6,105.2,95.8,9.400000000000006,94.0,108.0,-14.0,-1.8208427923793238,156.8339512955427,0,108.95164916444574,101.25365363161043,7.697995532835307,11.09521775505756,100.4741442341923,96.2359552339233,4.238189000268989,5.135411222491164,2021-11-09,-6.798356337140973,157.8656411262271,-6.7179559294350355,157.8656411262271,-20.64,-20.64,0.0,0.0,-20.64,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9901846713713547,0.7413336741587863,-20.64,,0.0,-20.64,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-4.5,7,,-2.066666666666668,-4.309090909090909,120.7,0.0,112.9,0.0,Sat 11-13 11-13,H,133 (Ⅲ),Colgate,"W, 77-74",63,122.1,52.6,9.5,34.5,36.8,117.4,56.4,15.9,29.0,27.3,-1.5,-7.5,152.5,109.65,98.6,105.96666666666668,102.6181818181818,109.25,105.6,108.03333333333332,106.92727272727272,20211113,102.4,94.2,8.200000000000003,105.5,96.0,9.5,106.4,92.8,13.64,71.2,-10.444954484059778,147.700280152385,73.22560455192034,-3.336849812716082,147.97631684923516,1.8292308457260587,147.97631684923516,-3.336849812716082,147.97631684923516,1.8292308457260587,137.1533467409381,104.4,99.2,5.26,72.3,102.4,94.2,8.200000000000003,105.5,96.0,9.5,1.8292308457260587,137.1533467409381,0,97.9861007199846,107.87087690031008,-9.884776180325474,-13.148256466125527,0.0,0.0,0.0,0.0,2021-11-13,0.0,0.0,,0.0,-6.640000000000001,-27.28,-20.64,-20.64,-6.640000000000001,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.7624747379730235,0.5,-15.706666666666669,,-20.64,-13.64,-20.64,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-13.0,-10,-3.333333333333333,-4.977777777777778,-5.489256198347106,100.0,106.43333333333334,110.8,109.76666666666668,Tue 11-16 11-16,N,355 (Ⅳ),Central Connecticut,"W, 79-65",69,113.7,54.2,15.8,31.6,38.3,93.6,48.2,20.2,24.3,34.5,1.0,-27.0,143.0,104.825,109.65,103.9777777777778,102.14214876033056,110.025,109.25,108.95555555555556,107.63140495867768,20211116,104.4,95.8,8.600000000000009,92.0,108.9,-16.900000000000006,107.2,94.1,13.05,69.6,-24.524190450308907,141.61035612152608,70.0950213371266,-18.332652012766907,144.783732621105,-22.393427400779082,144.783732621105,-18.332652012766907,144.783732621105,-22.393427400779082,151.31027290003556,89.2,111.1,-21.86,70.8,104.4,95.8,8.600000000000009,92.0,108.9,-16.900000000000006,-22.4754573374955,151.09324728953354,0,102.33478196170944,92.15748793959482,10.177294022114623,10.634086429345258,91.08967822630912,96.51176192060666,-5.422083694297541,-0.7783200780752343,2021-11-16,-10.630709967276623,131.07022681378618,-7.9995287764560175,131.07022681378618,-23.05,-50.33,-22.853333333333335,-27.28,-27.476666666666663,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.9949360047253046,0.8443381869244124,-18.02777777777778,-16.383333333333333,-15.706666666666669,-16.776666666666667,-13.64,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.5,10,2.400000000000001,0.0814814814814819,-2.636664162283995,108.7,109.8,98.5,107.4,Wed 11-17 11-17,N,30 (Ⅱ),Oklahoma St.,"L, 74-68",74,92.3,34.8,23.1,34.9,62.5,100.4,40.3,16.3,40.0,50.0,4.5,4.5,137.5,106.7625,104.825,105.55185185185186,103.33448534936136,104.2625,110.025,105.47037037037038,105.97114951164536,20211117,104.3,95.7,8.599999999999994,100.9,87.3,13.600000000000009,106.7,94.5,12.23,69.3,2.9907374463386986,136.0323249217639,70.87724039829304,3.993672773826475,136.0485376395406,17.371582140807114,136.0485376395406,3.993672773826475,136.0485376395406,17.371582140807114,137.49979333055396,104.3,88.4,15.88,71.9,104.3,95.7,8.599999999999994,100.9,87.3,13.600000000000009,17.412423130056347,137.503218852266,0,103.02449211426364,92.04977065369216,10.974721460571473,12.343858271431088,98.24091919803436,89.63554698703338,8.605372211000983,16.32365468411141,2021-11-17,-1.3894000396120845,132.5402112226672,2.820769870778065,132.5402112226672,-2.2300000000000004,-52.56,-32.01222222222222,-50.33,-20.54777777777778,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.3341175708976246,0.5526359136489084,-12.148518518518518,-9.83,-18.02777777777778,-13.14,-16.776666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.5,4,1.3000000000000018,1.5543209876543214,-1.3390888600505408,96.3,101.66666666666669,91.8,100.36666666666667,Sun 11-21 11-21,H,196 (Ⅳ),Texas Southern,"W, 65-57",68,95.4,43.6,13.2,25.6,52.7,83.7,35.9,19.1,36.7,31.3,-18.5,-13.5,140.5,101.53125,106.7625,102.46790123456792,102.05548801311384,98.03125,104.2625,100.91358024691358,103.39457687316438,20211121,104.0,96.6,7.400000000000006,96.6,101.4,-4.800000000000011,106.5,94.4,12.11,69.2,-15.836643211972905,137.59205075422832,69.29843527738267,-12.56298600191505,141.2847597277517,-3.6874988849789743,141.2847597277517,-12.56298600191505,141.2847597277517,-3.6874988849789743,148.32374097818038,96.2,101.6,-5.39,70.4,104.0,96.6,7.400000000000006,96.6,101.4,-4.800000000000011,-3.8560430201251155,148.29483877691234,0,98.98150299318584,100.11031408779684,-1.1288110946109953,-7.384311656438,97.25093123022856,96.39982379439788,0.8511074358306843,4.483247356320408,2021-11-21,-2.4526202622598277,136.75087078561046,6.311822004024066,136.75087078561046,-8.11,-60.67,-38.86148148148148,-52.56,-21.808518518518518,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.900728603156669,0.5923455908752511,-10.555679012345678,-10.809999999999997,-12.148518518518518,-12.134,-13.14,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,22,12.233333333333334,8.36954732510288,2.9043818417768303,136.0,113.66666666666669,114.0,101.43333333333332,Sat 11-27 11-27,H,102 (Ⅲ),Louisiana Tech,"W, 90-81",69,129.9,60.5,8.7,24.2,30.6,116.9,55.0,20.2,40.6,30.0,28.5,-3.5,142.5,118.765625,101.53125,113.64526748971196,108.22721746527496,106.015625,98.03125,105.27572016460908,105.32283562349812,20211127,104.0,97.0,7.0,102.6,96.5,6.099999999999994,106.7,95.3,11.42,68.0,-6.445058761598801,137.21645780997144,67.41963015647227,-4.4448320251218405,138.11027881694434,-0.6470542134461239,138.11027881694434,-4.4448320251218405,138.11027881694434,-0.6470542134461239,144.6939547717709,105.2,97.6,7.53,69.7,104.0,97.0,7.0,102.6,96.5,6.099999999999994,-0.5999844525598681,144.90762457178033,0,102.20138671948304,102.9579384407373,-0.7565517212542545,-4.462339389979233,101.61694681243276,111.45122515482488,-9.834278342392125,-10.298815342812704,2021-11-27,-10.639211668081415,151.15529605644406,-5.683353322965559,151.15529605644406,10.58,-50.09,-46.13098765432099,-60.67,-3.959012345679014,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.8445315890766116,-3.0504526748971195,0.8133333333333344,-10.555679012345678,-8.348333333333333,-12.134,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.5,3,10.0,6.74636488340192,3.012676052362861,97.3,109.86666666666666,93.8,99.86666666666666,Wed 12-01 12-01,H,111 (Ⅲ),Nebraska,"W, 104-100 4OT",105,98.8,40.0,19.0,41.7,47.8,95.0,46.4,15.2,23.7,15.6,57.0,-6.5,147.0,108.0328125,118.765625,108.1968449931413,106.24045065340675,99.9078125,106.015625,101.4504801097394,103.2277746010439,20211201,107.1,99.4,7.699999999999989,102.9,97.2,5.700000000000003,108.8,97.3,11.52,68.3,-7.038383305366835,144.09128301529617,69.27155049786629,-5.3880603186862,146.42592686090708,-5.322810058562089,146.42592686090708,-5.3880603186862,146.42592686090708,-5.322810058562089,155.61274730072708,105.1,98.0,7.14,71.3,107.1,99.4,7.699999999999989,102.9,97.2,5.700000000000003,-4.608858319272993,151.05135374538028,0,101.09117611689533,102.3456227647222,-1.2544466478268674,-4.840244909611011,98.57673677357786,100.731089821103,-2.1543530475251345,-4.4254951290735525,2021-12-01,-4.69299464679716,143.8091865804942,-1.562440505216884,143.8091865804942,-8.52,-58.61,-47.450658436214,-50.09,-11.159341563786,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.732057505466481,0.6725450947459316,-4.773635116598079,-1.5199999999999996,-3.0504526748971195,-8.372857142857143,-8.348333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-0.5,-5,6.566666666666667,2.564243255601282,1.4103713155696138,104.2,112.5,110.0,105.93333333333334,Sat 12-04 12-04,H,132 (Ⅲ),Louisville,"L, 73-68",67,101.7,46.7,9.0,17.9,30.0,109.2,50.8,19.5,37.8,25.0,2.5,4.5,138.5,106.11640625,108.0328125,106.86456332876088,105.86945962551462,104.95390625,99.9078125,104.3003200731596,104.459088309945,20211204,106.6,99.4,7.199999999999989,105.4,91.0,14.400000000000006,107.9,97.0,10.92,68.3,-0.4684471620442565,135.3104995999621,68.10568990042674,1.4742846226767483,140.62700736550136,3.814033387250583,140.62700736550136,1.4742846226767483,140.62700736550136,3.814033387250583,133.41377016205413,105.5,90.3,15.28,70.1,106.6,99.4,7.199999999999989,105.4,91.0,14.400000000000006,2.3719813268778047,134.66599418073483,0,103.12819134096536,102.74685955925152,0.38133178171383975,-2.62895655334693,97.46746268445398,93.01227536126932,4.45518732318466,0.3884330289032877,2021-12-04,-0.8832329036632274,136.7143424794629,0.1694176108150316,136.7143424794629,-15.92,-74.53,-51.170438957476,-58.61,-23.359561042524,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.3341175708976246,0.533518462473679,-8.355756744398718,-4.353333333333333,-4.773635116598079,-9.31625,-8.372857142857143,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-7.0,7,1.5666666666666675,4.042828837067521,2.426667440011502,91.9,97.8,84.9,96.23333333333332,Thu 12-09 12-09,H,338 (Ⅳ),Bethune Cookman,"W, 65-48",64,101.2,45.1,15.6,35.9,26.2,74.7,37.9,23.4,31.6,10.3,-24.5,-24.0,137.5,99.008203125,106.11640625,101.87637555250726,103.32955787542105,94.926953125,104.95390625,97.83354671543977,100.90289043540956,20211209,107.2,100.2,7.0,93.2,109.8,-16.599999999999994,108.7,98.3,10.34,67.9,-25.847554237212606,138.6358421822855,65.09900426742533,-20.18614627335132,141.41820298604304,-16.389513021973382,141.41820298604304,-20.18614627335132,141.41820298604304,-16.389513021973382,138.60564668945497,91.1,113.6,-22.56,67.4,107.2,100.2,7.0,93.2,109.8,-16.599999999999994,-18.11597869298145,140.20759162853545,0,101.46466923066576,100.38554275820228,1.0791264724634857,-1.542810350636405,98.08696724618378,100.43947203207968,-2.3525047858959027,-4.198045867598587,2021-12-09,-6.046681107556424,133.8718329848772,-3.498982638702387,133.8718329848772,-3.34,-77.87,-58.956959304984004,-74.53,-18.913040695016,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9888645105203836,0.7176499568654446,-6.297171162932479,-8.773333333333332,-8.355756744398718,-8.652222222222223,-9.31625,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.0,19,6.8666666666666645,9.161885891378343,5.512727905463954,106.6,100.89999999999998,87.2,94.03333333333336,Sun 12-12 12-12,N,11 (I-A),Purdue,"L, 82-72 OT",75,96.0,48.4,17.3,17.9,24.2,109.3,54.2,18.7,32.4,41.7,9.5,15.0,144.5,102.8041015625,99.008203125,103.45091703500484,103.92418371625357,91.0634765625,94.926953125,94.2890311436265,98.41145581078965,20211212,106.3,99.7,6.599999999999994,120.0,93.5,26.5,107.3,97.8,9.53,67.2,11.983573220101476,141.7427296065901,65.76614509246089,13.654035373629725,147.69007604651,17.500018336108024,147.69007604651,13.654035373629725,147.69007604651,17.500018336108024,142.98411083970058,120.1,92.4,27.72,68.8,106.3,99.7,6.599999999999994,120.0,93.5,26.5,20.591893573700094,146.8348173233452,0,102.59976647906966,98.2087616746856,4.391004804384053,2.0963863274418086,113.658272648358,91.34918415611162,22.309088492246374,28.96919377039304,2021-12-12,12.068666627159942,138.4630456424996,17.673209533348953,138.4630456424996,9.47,-68.4,-65.26130620332268,-77.87,-3.1386937966773303,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,3,0.07656372550983481,0.1251961950232231,-0.36811410862165594,-2.663333333333335,-6.297171162932479,-6.84,-8.652222222222223,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
