ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.5,-3,,-3.3999999999999915,-3.3999999999999915,95.4,0.0,98.8,0.0,Fri 11-12 11-12,A,298 (Ⅳ),Cal Poly,"W, 60-57",63,95.8,45.3,27.1,41.2,28.3,91.0,43.4,20.8,29.4,24.5,-17.5,-7.5,134.5,95.4,0.0,95.4,95.4,98.8,0.0,98.8,98.8,20211112,100.2,97.6,2.6000000000000085,96.1,106.2,-10.100000000000009,102.2,98.0,4.28,67.6,-6.78902969604799,129.19032079167965,66.63840682788052,-4.791374187475114,136.52002500585456,1.151082354735216,136.52002500585456,-4.791374187475114,136.52002500585456,1.151082354735216,121.44110283181293,91.6,103.2,-11.59,69.3,100.2,97.6,2.6000000000000085,96.1,106.2,-10.100000000000009,1.151082354735216,121.44110283181293,0,94.4918424035554,101.50326852026832,-7.011426116712926,-3.626887379486493,94.42761669349926,98.72345765657955,-4.295840963080295,-2.5446319113519142,2021-11-12,5.366582171747368,129.24613608057774,2.529496763098301,129.24613608057774,-7.28,-7.28,0.0,0.0,-7.28,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.3046394452886405,-7.679999999999992,,0.0,-7.28,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
2.0,8,,0.6333333333333346,-1.1999999999999948,99.6,0.0,90.9,0.0,Mon 11-15 11-15,A,82 (Ⅱ),UNLV,"L, 64-62",66,93.8,44.3,16.6,20.5,39.6,96.9,44.4,12.1,26.8,20.6,-2.5,4.0,128.5,97.5,95.4,96.8,96.16363636363636,94.85,98.8,96.16666666666669,97.36363636363636,20211115,99.7,97.5,2.200000000000003,100.2,100.1,0.1000000000000085,102.6,98.3,4.28,67.2,3.6457224835272015,130.1142564936616,66.43527738264581,2.3320693415011533,134.4698570567834,8.689931178820672,134.4698570567834,2.3320693415011533,134.4698570567834,8.689931178820672,115.61447145567983,100.1,95.9,4.21,69.5,99.7,97.5,2.200000000000003,100.2,100.1,0.1000000000000085,8.696567108725842,115.62282407973343,0,90.79746344020936,93.41016658248078,-2.612703142271428,-2.3134495503534738,96.16024796381872,104.83243238736291,-8.672184423544195,0.9088137923267652,2021-11-15,-0.12430755301465268,125.9037302053992,3.9878429251541547,125.9037302053992,3.7199999999999998,-3.5600000000000005,-7.28,-7.28,3.7199999999999998,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.5047228933578295,-3.6466666666666656,,-7.679999999999992,-1.7800000000000002,-7.28,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-35.0,-31,-8.666666666666666,-10.01111111111111,-6.672727272727268,78.4,91.13333333333333,109.7,99.8,Tue 11-16 11-16,A,8 (I-A),Arizona,"L, 97-45",71,63.1,30.8,23.8,29.4,13.8,135.9,61.4,11.2,38.2,33.3,2.0,17.0,140.0,87.95,97.5,90.66666666666669,92.93388429752063,102.275,94.85,100.6777777777778,99.60661157024794,20211116,99.5,97.3,2.200000000000003,106.2,91.3,14.900000000000006,102.4,98.1,4.37,67.5,12.286512156670042,136.95747574709713,69.22830725462305,12.706618774714968,137.89506392643747,19.224783894743574,137.89506392643747,12.706618774714968,137.89506392643747,19.224783894743574,122.72108315049077,107.4,90.9,16.53,72.1,99.5,97.3,2.200000000000003,106.2,91.3,14.900000000000006,19.280649267184547,122.74913952721467,0,91.84757708371048,107.56484067002806,-15.717263586317586,-16.448255890942313,111.70781884823084,83.70302689479448,28.004791953436367,41.911607267529696,2021-11-16,34.58979065673283,140.5344953575381,42.58672784365031,140.5344953575381,-35.37,-38.93,-6.040000000000001,-3.5600000000000005,-32.89,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.05271850889006269,0.0004933957310365722,-14.38111111111111,-13.036666666666665,-3.6466666666666656,-12.976666666666667,-1.7800000000000002,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-6.5,-6,-9.700000000000005,-8.84074074074074,-6.641322314049583,91.9,89.96666666666665,98.4,99.66666666666669,Mon 11-22 11-22,H,201 (Ⅳ),Tarleton St.,"W, 54-53",57,94.4,50.0,22.7,22.6,23.9,92.6,39.1,10.5,25.7,20.0,-17.5,-7.5,124.5,89.92500000000001,87.95,91.0777777777778,92.74590533433508,100.3375,102.275,99.91851851851854,99.38722764838468,20211122,97.7,98.7,-1.0,97.5,98.8,-1.2999999999999972,101.9,99.2,2.68,66.8,-7.883313432740913,122.79572672595148,62.23897581792319,-3.6385727024102295,123.24048962989798,0.3010275547015299,123.24048962989798,-3.6385727024102295,123.24048962989798,0.3010275547015299,115.29235504951893,96.2,100.7,-4.47,65.5,97.7,98.7,-1.0,97.5,98.8,-1.2999999999999972,0.10790675929179094,115.18882477502449,0,91.3112093344825,105.2413657230094,-13.930156388526896,-8.174860700994255,90.4606304559944,100.934132025246,-10.473501569251596,-13.83995972716666,2021-11-22,-1.4112320306613881,119.73240259348444,-5.076765753185704,119.73240259348444,-8.68,-47.61,-17.003333333333334,-38.93,-30.606666666666666,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.5534580652294621,-11.52074074074074,-12.380000000000004,-14.38111111111111,-11.9025,-12.976666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-1.5,6,-10.366666666666664,-3.6604938271604928,-4.2156273478587485,107.0,92.43333333333334,100.3,102.8,Sat 11-27 11-27,H,331 (Ⅳ),Idaho,"W, 90-73",76,118.8,54.5,7.9,22.9,32.8,96.3,44.4,14.5,29.2,20.8,29.5,-18.5,133.5,98.4625,89.92500000000001,96.3851851851852,95.33755890991053,100.31875,100.3375,100.04567901234569,99.55318625776928,20211127,97.9,99.2,-1.2999999999999972,90.4,111.0,-20.599999999999994,101.9,99.8,2.09,65.4,-20.63657147792351,133.34330209836287,65.5860597439545,-16.509562801148256,133.77094101815106,-11.238417208550185,133.77094101815106,-16.509562801148256,133.77094101815106,-11.238417208550185,127.50639416267522,89.0,112.6,-23.67,70.5,97.9,99.2,-1.2999999999999972,90.4,111.0,-20.599999999999994,-11.239007005789865,127.5026979521899,0,91.73563280569748,107.1971538275144,-15.461521021816921,-9.916629621255892,90.00590289474503,110.17765375117958,-20.171750856434542,-28.951813438468704,2021-11-27,-6.806264018503285,132.96843079770173,-13.963944779545749,132.96843079770173,3.91,-43.7,-27.205555555555556,-47.61,-16.494444444444447,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9609573050315723,0.741577250000637,-5.750493827160493,-12.456666666666663,-11.52074074074074,-8.74,-11.9025,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-17.0,-14,-4.899999999999996,-7.406995884773659,-6.158240557338974,107.7,102.2,122.6,107.1,Tue 11-30 11-30,A,50 (I),Creighton,"L, 80-55",61,90.6,42.5,28.0,43.2,26.4,131.9,57.4,9.9,38.7,19.7,-1.5,8.0,136.5,103.08125,98.4625,100.1567901234568,97.58527547174496,111.459375,100.31875,107.56378600823048,103.74351602908392,20211130,99.2,100.5,-1.2999999999999972,103.6,97.7,5.899999999999992,102.6,100.8,1.71,66.6,9.056127139109506,134.53181741607665,65.36842105263158,8.600386913667442,134.92278694738516,12.536345884362257,134.92278694738516,8.600386913667442,134.92278694738516,12.536345884362257,132.540120341663,106.5,96.7,9.87,69.0,99.2,100.5,-1.2999999999999972,103.6,97.7,5.899999999999992,9.373507369849767,126.15279973726915,0,91.72216636878376,109.5417281735486,-17.819561804764845,-9.21807474118405,99.91013271634212,98.74241743621695,1.1677152801251651,-3.3969750235218514,2021-11-30,16.408826565979638,134.4550755855325,5.520029138961981,134.4550755855325,-15.71,-59.410000000000004,-32.70370370370371,-43.7,-26.706296296296294,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.22305842386064167,0.05905624712476887,-9.116995884773658,-6.609999999999996,-5.750493827160493,-9.901666666666667,-8.74,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-13.0,-20,-9.633333333333333,-11.837997256515774,-8.80219681964098,77.0,97.23333333333332,97.7,106.86666666666667,Tue 12-07 12-07,A,156 (Ⅱ),Montana St.,"L, 68-49",66,73.9,36.7,24.1,17.6,53.3,102.6,50.0,12.1,20.6,22.0,-16.5,6.0,133.5,90.040625,103.08125,92.43786008230455,93.84249811324588,104.5796875,111.459375,104.27585733882032,102.64469493288684,20211207,99.4,102.3,-2.8999999999999915,103.5,104.2,-0.7000000000000028,102.3,102.1,0.15,65.7,2.9456137793704187,133.00643203838132,63.73741109530584,5.344615255428295,137.07454603772888,10.21679379461134,137.07454603772888,5.344615255428295,137.07454603772888,10.21679379461134,128.2279253709577,102.1,103.1,-0.99,68.2,99.4,102.3,-2.8999999999999915,103.5,104.2,-0.7000000000000028,9.48343403702096,132.59448629182688,0,87.82598458870176,107.47191911727592,-19.64593452857416,-10.298623121352987,99.04826018138657,98.80059311524472,0.24766706614184386,1.446271755351969,2021-12-07,16.411809386477522,126.77212637144376,9.19154780680104,126.77212637144376,-20.15,-79.56,-41.60580246913581,-59.410000000000004,-37.95419753086419,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.2838545830986763,0.05902283221273241,-11.987997256515774,-9.783333333333333,-9.116995884773658,-11.365714285714287,-9.901666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.5,2,-11.066666666666668,-7.09199817101052,-6.765433761524439,93.1,92.6,90.7,103.66666666666669,Fri 12-10 12-10,H,334 (Ⅳ),Cal St. Northridge,"W, 68-54",66,102.3,49.2,16.6,29.4,18.3,81.2,37.1,9.0,15.6,19.4,-2.5,-13.5,124.5,91.5703125,90.040625,92.65857338820304,93.70749845629206,97.63984375,104.5796875,99.75057155921355,100.47293221781652,20211210,98.0,101.9,-3.9000000000000057,95.2,107.2,-12.0,101.1,102.2,-1.13,65.9,-9.411351503999306,123.03399559285711,60.74423897581792,-8.557310070714848,126.31865372068883,-1.9413684984096138,126.31865372068883,-8.557310070714848,126.31865372068883,-1.9413684984096138,113.6369823707934,94.6,105.4,-10.75,64.8,98.0,101.9,-3.9000000000000057,95.2,107.2,-12.0,-6.1229709089701165,113.61859211513865,0,88.84292871666355,105.33162541786736,-16.488696701203807,-8.544343002948137,88.4520935728016,102.99120919366688,-14.539115620865275,-15.838775552615523,2021-12-10,-2.186850872003916,115.28578775132789,-5.924427473950622,115.28578775132789,3.13,-76.43,-54.25720164609054,-79.56,-22.172798353909464,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.900728603156669,0.5824915128315529,-5.96199817101052,-9.936666666666667,-11.987997256515774,-9.55375,-11.365714285714287,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.0,-2,-7.033333333333336,-5.661332114007013,-6.044445804883631,110.3,93.46666666666664,113.1,100.5,Mon 12-13 12-13,H,206 (Ⅳ),Indiana St.,"W, 77-70",67,114.2,58.0,13.3,14.3,23.2,103.8,52.6,10.4,6.3,21.1,5.5,-4.0,141.5,100.93515625,91.5703125,98.5390489254687,96.7243169187844,105.369921875,97.63984375,104.2003810394757,102.76876272366806,20211213,97.2,100.4,-3.200000000000003,100.2,102.4,-2.200000000000003,100.2,101.0,-0.74,66.3,-4.00566655726773,138.6705248925785,67.43172119487909,-3.1334304142736755,138.27131912755183,-6.40300970230178,138.27131912755183,-3.1334304142736755,138.27131912755183,-6.40300970230178,143.07380408874005,102.2,103.2,-1.04,71.5,97.2,100.4,-3.200000000000003,100.2,102.4,-2.200000000000003,-0.5649784991667595,136.86925508066696,0,91.09958791046536,103.93377731054872,-12.83418940008336,-4.704590824614748,102.3059980900521,101.94023641054824,0.36576167950386207,-6.28149466682596,2021-12-13,5.4498431604308735,137.3847832569328,-2.8477081043043526,137.3847832569328,-1.26,-77.69000000000001,-61.64813443072703,-76.43,-16.04186556927298,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.6483807083005341,0.3018689753902759,-4.921332114007013,-6.293333333333336,-5.96199817101052,-8.632222222222223,-9.55375,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
13.5,11,3.5999999999999943,-0.0408880760046801,-2.909092022177518,101.6,101.66666666666669,90.4,98.06666666666666,Fri 12-17 12-17,A,270 (Ⅳ),Pacific,"W, 73-61",72,102.0,54.2,18.2,20.0,20.0,85.2,37.1,11.2,20.9,35.5,8.0,1.5,126.0,101.267578125,100.93515625,99.55936595031248,97.61080475173269,97.8849609375,105.369921875,99.60025402631716,100.51989677391023,20211217,96.9,100.5,-3.5999999999999943,95.7,98.2,-2.5,100.5,100.0,0.48,66.8,1.421674135437506,126.37104556518202,64.5194879089616,4.2230018349689615,126.68516480557275,3.437437944718701,126.68516480557275,4.2230018349689615,126.68516480557275,3.437437944718701,126.5946658626714,96.8,99.6,-2.8,67.9,96.9,100.5,-3.5999999999999943,95.7,98.2,-2.5,4.3066422562045,122.26561331316212,0,91.90541568486351,102.29129197938538,-10.385876294521864,-5.296689894536776,91.75060162290222,101.42567602037133,-9.675074397469103,-6.50067499171188,2021-12-17,3.8887301557685063,123.85403880797926,0.9231782504943098,123.85403880797926,10.52,-67.17000000000002,-66.99542295381804,-77.69000000000001,-0.17457704618198022,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,-3,0.4432015031835318,0.3555589050179221,-0.5208880760046801,3.1199999999999943,-4.921332114007013,-6.7170000000000005,-8.632222222222223,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
