ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
1.0,4,,4.799999999999997,4.799999999999997,104.3,0.0,99.5,0.0,Tue 11-09 11-09,H,356 (Ⅳ),Eastern Illinois,"W, 80-56",72,111.8,46.4,7.0,28.9,31.9,78.3,43.1,26.6,18.2,31.4,-2.5,-23.0,138.5,104.3,0.0,104.3,104.3,99.5,0.0,99.5,99.5,20211109,105.3,93.9,11.399999999999991,94.9,109.5,-14.599999999999994,106.8,91.7,15.06,70.9,-26.739860405213214,141.85668879365494,71.30341394025605,-23.282872864534852,149.66153975311084,-18.707249003101648,149.66153975311084,-23.282872864534852,149.66153975311084,-18.707249003101648,136.20374986592904,91.0,108.2,-17.23,70.7,105.3,93.9,11.399999999999991,94.9,109.5,-14.599999999999994,-18.707249003101648,136.20374986592904,0,0.0,0.0,0.0,0.0,102.95663386767082,105.23752196230951,-2.280888094638698,-5.883665872416477,2021-11-09,0.0,0.0,,0.0,-11.06,-11.06,0.0,0.0,-11.06,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.9857551401446322,0.5,-10.260000000000003,,0.0,-11.06,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
16.0,21,,10.233333333333334,7.763636363636363,128.8,0.0,107.7,0.0,Fri 11-12 11-12,H,236 (Ⅳ),High Point,"W, 95-60",67,142.3,68.4,9.0,30.8,40.4,89.9,41.5,19.5,30.8,27.1,19.5,-19.0,135.5,116.55,104.3,112.46666666666668,108.75454545454544,103.6,99.5,102.23333333333336,100.99090909090908,20211112,102.7,91.1,11.600000000000009,97.3,104.0,-6.700000000000003,106.2,91.1,15.06,70.9,-20.225072054183173,136.35381075965245,70.09317211948792,-16.96077114007433,140.5962502233162,-16.79893152613237,140.5962502233162,-16.96077114007433,140.5962502233162,-16.79893152613237,163.60548893673194,94.0,102.8,-8.82,69.5,102.7,91.1,11.600000000000009,97.3,104.0,-6.700000000000003,-16.79893152613237,163.60548893673194,0,99.27083655400534,102.8954797086036,-3.6246431545982603,-10.65812531868514,100.18816424777516,102.1352293008353,-1.9470650530601432,1.137477332001589,2021-11-12,-2.8883895481685755,146.67704216028062,6.398729787653828,146.67704216028062,5.9399999999999995,-5.120000000000001,-11.06,-11.06,5.9399999999999995,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9648151676951044,0.608374424283317,-4.826666666666666,,-10.260000000000003,-2.5600000000000005,-11.06,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-4.5,3,9.666666666666666,7.855555555555555,6.915702479338841,113.1,115.40000000000002,110.0,105.73333333333332,Tue 11-16 11-16,H,252 (Ⅳ),New Orleans,"W, 83-67",69,120.9,53.8,10.2,33.3,22.7,97.6,47.4,18.9,27.3,25.9,5.5,-20.5,144.5,114.825,116.55,112.6777777777778,109.54462809917354,106.8,103.6,104.82222222222224,102.6289256198347,20211116,103.9,92.0,11.900000000000006,97.3,105.4,-8.100000000000009,107.7,91.8,15.88,70.2,-26.269385944104855,147.06376786682893,72.89615931721195,-19.0566113744609,148.76796126525363,-24.127833339332312,148.76796126525363,-19.0566113744609,148.76796126525363,-24.127833339332312,159.42317402883623,93.3,107.9,-14.55,73.0,103.9,92.0,11.900000000000006,97.3,105.4,-8.100000000000009,-24.18359419172861,159.4446662128868,0,97.626482164416,105.85711672599018,-8.230634561574178,-8.563019105537261,102.90607558694803,96.88249794545324,6.023577641494796,6.773917963828825,2021-11-16,6.449851587994274,151.39789577188725,9.157204223844175,151.39789577188725,-12.88,-18.0,-9.080000000000002,-5.120000000000001,-8.919999999999998,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9745535036187463,0.2695179397962939,-8.024444444444445,-6.213333333333335,-4.826666666666666,-6.0,-2.5600000000000005,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
11.5,24,16.26666666666667,13.43703703703704,10.131029301277234,98.7,113.53333333333336,74.1,97.26666666666668,Thu 11-18 11-18,H,344 (Ⅳ),Fairleigh Dickinson,"W, 82-46",73,113.1,61.8,24.8,31.0,32.7,63.4,32.0,27.6,20.0,44.0,-18.0,-24.5,146.0,106.7625,114.825,108.01851851851852,107.57287753568744,90.45,106.8,94.58148148148152,97.4418482344102,20211118,104.2,92.9,11.299999999999995,97.0,109.1,-12.099999999999994,107.7,92.3,15.39,69.5,-26.720008893865042,147.82613048689512,72.07041251778094,-21.579979966109278,150.71676658248916,-31.280646801794173,150.71676658248916,-21.579979966109278,150.71676658248916,-31.280646801794173,147.4189957695266,94.1,109.9,-15.77,72.9,104.2,92.9,11.299999999999995,97.0,109.1,-12.099999999999994,-31.37779116282355,147.55982664190768,0,103.816297638153,97.38420728445811,6.432090353694889,9.473038827812228,84.99734290146307,96.02912653059172,-11.031783629128654,-4.193635680061629,2021-11-18,-16.238233181167125,134.85782084215487,-11.920868672563799,134.85782084215487,8.61,-9.39,-12.053333333333335,-18.0,2.663333333333334,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9901846713713547,0.9390078766836297,-1.9529629629629603,0.8766666666666687,-8.024444444444445,-2.3475,-6.0,-1,-1.0,1,-1,-1,-1,-3.0,-1.0
-6.0,0,9.166666666666666,8.89135802469136,8.252660337408646,112.8,108.2,113.0,99.03333333333336,Mon 11-22 11-22,N,38 (I),Providence,"L, 77-72",66,109.6,53.3,9.1,14.7,18.3,117.2,60.4,18.3,23.3,28.3,12.5,-1.0,136.5,109.78125,106.7625,109.61234567901236,108.52326343828972,101.725,90.45,100.72098765432102,100.27060310088108,20211122,104.4,92.3,12.100000000000009,106.3,93.8,12.5,108.1,92.2,15.87,68.8,-3.0600819039935487,133.7450685599032,66.94054054054054,0.12875760656176283,134.48008301196717,-1.2093556184655083,134.48008301196717,0.12875760656176283,134.48008301196717,-1.2093556184655083,142.0509842826172,106.4,95.0,11.39,68.4,104.4,92.3,12.100000000000009,106.3,93.8,12.5,-0.9702470449568351,141.7390952758112,0,108.23754700888824,98.2562828646135,9.981264144274746,11.851737715488232,105.74594487489648,96.51797832818534,9.227966546711144,7.051122969017802,2021-11-22,-0.38871314391766987,142.93721934201878,-3.2135574605562027,142.93721934201878,-15.87,-25.259999999999998,-11.165555555555557,-9.39,-14.094444444444441,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,3,0.5379371440662541,0.5147655898818944,-6.978641975308639,-6.703333333333333,-1.9529629629629603,-5.052000000000001,-2.3475,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
8.0,22,15.5,13.294238683127572,10.7703584578798,104.5,105.33333333333331,82.4,89.83333333333333,Tue 11-23 11-23,N,176 (Ⅳ),Georgia,"W, 78-62",72,108.3,50.8,13.9,23.5,20.3,86.1,42.7,19.4,21.1,41.8,-1.5,-8.0,141.5,107.140625,109.78125,107.90823045267491,107.7917609949643,92.0625,101.725,94.61399176954735,97.02140253708453,20211123,104.8,92.6,12.200000000000005,99.1,102.2,-3.1000000000000085,108.7,93.6,15.07,68.3,-10.281891657501973,135.94451373006942,67.32844950213371,-10.58138394938537,137.18906741371376,-7.275992100715393,137.18906741371376,-10.58138394938537,137.18906741371376,-7.275992100715393,144.57663418778066,100.2,100.4,-0.18,69.3,104.8,92.6,12.200000000000005,99.1,102.2,-3.1000000000000085,-7.265139994035067,144.945261434917,0,107.70073308150909,97.32436863443304,10.376364447076043,13.779247578820236,96.2415060147973,99.86692056816464,-3.6254145533673494,-4.825506960124775,2021-11-23,-9.58247996428041,138.81131426054236,-12.526292764749513,138.81131426054236,6.93,-18.33,-15.863703703703703,-25.259999999999998,-2.4662962962962958,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.7769415761393583,0.8192780315727086,-1.775761316872428,0.4299999999999997,-6.978641975308639,-3.0549999999999997,-5.052000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-2.0,11,11.266666666666666,12.829492455418384,10.97574782917438,107.5,108.26666666666668,95.6,97.0,Tue 11-30 11-30,A,33 (I-A),Wake Forest,"L, 77-73 OT",74,98.6,42.8,13.5,31.1,26.1,104.0,54.2,13.5,8.8,30.5,3.0,2.0,147.0,107.3203125,107.140625,107.7721536351166,107.73871354133443,93.83125,92.0625,94.94266117969823,96.76296571216004,20211130,106.8,95.0,11.799999999999995,105.8,96.6,9.200000000000005,109.8,94.3,15.42,68.4,-1.0634630903413296,142.3393530120029,69.66486486486487,2.1704009347103295,145.21531764102505,4.833773145531125,145.21531764102505,2.1704009347103295,145.21531764102505,4.833773145531125,144.979930786349,105.1,96.9,8.27,71.6,106.8,95.0,11.799999999999995,105.8,96.6,9.200000000000005,4.39397023885004,144.27605301212535,0,104.82839332451816,96.79834034862844,8.030052975889717,10.506922365221422,106.62290738377284,94.80816722002062,11.81474016375222,12.099695314356431,2021-11-30,6.771964662341674,144.57181018568713,3.2807035140331777,144.57181018568713,-4.42,-22.75,-16.6858024691358,-18.33,-6.064197530864199,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4244679994402739,0.2594801131202341,-2.590507544581616,-4.153333333333334,-1.775761316872428,-3.25,-3.0549999999999997,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
11.5,15,16.5,13.71966163694559,11.798339132960855,94.8,102.26666666666668,79.3,85.76666666666665,Sun 12-05 12-05,A,90 (Ⅱ),Maryland,"W, 67-61",74,90.7,47.6,14.9,13.2,14.3,82.6,37.3,19.0,19.1,37.3,-7.5,5.5,135.5,101.06015625,107.3203125,103.44810242341109,105.38622017018272,86.565625,93.83125,89.72844078646548,93.58788103722186,20211205,107.0,95.5,11.5,104.2,94.0,10.200000000000005,109.7,94.3,15.38,67.4,2.7370059782152367,133.26325741909176,66.05775248933145,3.0699385865668916,135.50622613403942,-1.4466833974221753,135.50622613403942,3.0699385865668916,135.50622613403942,-1.4466833974221753,127.96896512636333,106.7,93.1,13.63,68.9,107.0,95.5,11.5,104.2,94.0,10.200000000000005,-0.4832376946431703,130.8962502844478,0,103.77006873621696,93.82247764218026,9.947591094036696,11.741177223108885,97.43159242851657,93.52989553354068,3.901696894975885,-3.159057365601223,2021-12-05,-0.24872119639775292,127.54747296741623,-7.913774838325253,127.54747296741623,-0.3800000000000008,-23.130000000000003,-18.707201646090535,-22.75,-4.422798353909467,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.30020551430745246,0.5094491545412851,-1.6603383630544108,1.1199999999999992,-2.590507544581616,-2.8912499999999994,-3.25,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-3.5,10,12.666666666666671,12.679774424630398,11.580459290604338,99.7,100.66666666666669,89.1,88.0,Sun 12-12 12-12,H,330 (Ⅳ),NJIT,"W, 70-52",67,103.8,47.6,8.9,18.9,21.0,77.1,39.1,23.7,22.0,21.8,-11.5,-21.5,133.5,100.380078125,101.06015625,102.19873494894073,104.3523619574222,87.83281249999999,86.565625,89.51896052431033,92.77190266681788,20211212,106.7,94.6,12.100000000000009,94.4,101.0,-6.599999999999994,109.2,93.3,15.94,67.7,-19.66246742115434,127.6872917652411,64.90725462304411,-15.96863946135845,131.56764673282817,-18.276669133336895,131.56764673282817,-15.96863946135845,131.56764673282817,-18.276669133336895,118.28433711777667,92.2,101.6,-9.47,67.4,106.7,94.6,12.100000000000009,94.4,101.0,-6.599999999999994,-17.111867660592043,124.39931751431556,0,102.90374886798298,93.6663650593077,9.23738380867529,11.123807873588955,91.5736228670086,97.83237031775,-6.25874745074141,-12.726179057601934,2021-12-12,-13.396713212943133,124.4279140318094,-17.283214102414263,124.4279140318094,-5.9399999999999995,-29.07,-20.181467764060358,-23.130000000000003,-8.888532235939643,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9797013292561028,0.8990005780071457,-3.260225575369601,-3.273333333333328,-1.6603383630544108,-3.2300000000000004,-2.8912499999999994,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-3.0,11,12.366666666666667,12.119849616420266,11.474921237767186,100.4,98.3,89.4,85.93333333333332,Sun 1-02 1-02,H,19 (I),Michigan St.,"L, 73-67",73,91.2,36.2,12.3,31.3,46.2,99.4,45.2,20.4,25.7,63.5,0.5,3.0,139.5,100.3900390625,100.380078125,101.59915663262716,103.63375069243634,88.61640625,87.83281249999999,89.47930701620689,92.15882945466916,20220102,106.5,94.3,12.200000000000005,113.4,92.4,21.0,108.7,93.1,15.66,68.4,-0.5007125935092631,137.85051626952725,68.20540540540541,1.9436001971638888,143.30537022498027,2.204528992869309,143.30537022498027,1.9436001971638888,143.30537022498027,2.204528992869309,147.96902006370732,111.8,91.2,20.55,70.1,106.5,94.3,12.200000000000005,113.4,92.4,21.0,0.4748316390763981,140.2969659956597,0,102.1072484950761,92.26203248282764,9.845216012248471,12.070977269200476,108.04417299509257,90.576986268028,17.467186727064572,16.20102549291808,2022-01-02,1.27050732246407,134.12762776249411,0.6372023056721474,134.12762776249411,-4.66,-33.730000000000004,-23.144311842706905,-29.07,-10.585688157293099,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.38754848109799234,0.4518452414133459,-3.540150383579734,-3.293333333333333,-3.260225575369601,-3.3729999999999993,-3.2300000000000004,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
