ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.5,1,,1.0,1.0,82.3,0.0,81.3,0.0,Tue 11-09 11-09,A,62 (I),West Virginia,"L, 60-53",70,75.3,37.9,35.5,47.6,14.5,85.2,43.1,19.9,28.2,31.0,-38.0,17.5,151.0,82.3,0.0,82.3,82.3,81.3,0.0,81.3,81.3,20211109,104.7,105.5,-0.7999999999999972,110.2,96.1,14.100000000000009,99.0,100.6,-1.68,71.7,15.973334882091443,143.8160563237232,73.02588904694167,16.214506963233575,162.2636401003656,7.066517018292444,162.2636401003656,16.214506963233575,162.2636401003656,7.066517018292444,94.85578011819688,106.3,91.4,14.88,71.6,104.7,105.5,-0.7999999999999972,110.2,96.1,14.100000000000009,7.066517018292444,94.85578011819688,0,0.0,0.0,0.0,0.0,98.04974901399171,100.54063140832504,-2.490882394333326,-6.093660172111054,2021-11-09,-0.0,0.0,,0.0,2.6799999999999997,2.6799999999999997,0.0,0.0,2.6799999999999997,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.047790352272814696,0.5,2.6799999999999997,,0.0,2.6799999999999997,0.0,1,0.0,1,1,1,3,0.0,0.0
17.5,14,,5.533333333333336,3.4727272727272744,93.4,0.0,78.8,0.0,Fri 11-12 11-12,A,39 (I),Oklahoma St.,"W, 56-55",68,82.7,44.2,26.6,28.1,23.1,81.2,46.2,26.6,23.5,22.6,-33.5,16.5,144.5,87.85,82.3,86.0,84.31818181818181,80.05,81.3,80.46666666666667,80.84545454545454,20211112,99.1,101.9,-2.800000000000012,103.3,88.7,14.599999999999994,98.4,100.1,-1.68,71.7,18.357934267232082,144.50860374129948,74.45376955903272,17.324200492801026,147.3453320431885,33.31453307806579,147.3453320431885,17.324200492801026,147.3453320431885,33.31453307806579,113.45483711177188,106.8,89.0,17.75,73.0,99.1,101.9,-2.800000000000012,103.3,88.7,14.599999999999994,33.31453307806579,113.45483711177188,0,104.96868042750154,107.63549469361666,-2.666814266115125,0.2510614522799298,99.5828105216378,94.67558833856194,4.907222183075859,0.9398323662702616,2021-11-12,10.339986451197447,157.33899895091315,2.609934771495915,157.33899895091315,15.68,18.36,2.6799999999999997,2.6799999999999997,15.68,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,3,0.05804156686932749,0.1623708355197675,7.213333333333336,,2.6799999999999997,9.18,2.6799999999999997,1,1.0,1,1,1,3,3.0,0.0
19.0,20,12.166666666666671,10.65555555555556,6.641322314049589,104.2,93.3,83.3,81.13333333333333,Wed 11-17 11-17,H,89 (Ⅲ),Toledo,"W, 80-59",73,110.2,53.8,16.5,36.1,22.7,81.2,38.7,26.2,34.9,24.2,-7.5,-2.0,146.5,96.025,87.85,92.06666666666668,87.93305785123965,81.675,80.05,81.41111111111113,81.29173553719008,20211117,98.6,99.9,-1.3000000000000114,101.8,97.9,3.899999999999992,98.4,98.3,0.06,70.1,-0.216970848115821,141.92980941659437,69.90056899004267,-0.2722632841549313,141.74193874387754,-4.875935826608826,141.74193874387754,-0.2722632841549313,141.74193874387754,-4.875935826608826,119.39828340846496,106.6,101.0,5.53,70.1,98.6,99.9,-1.3000000000000114,101.8,97.9,3.899999999999992,-4.828782705770816,119.42661844330186,0,92.28528739640142,99.59135840727376,-7.306071010872344,-16.516951729906197,103.68505158805876,92.98465516530024,10.700396422758516,5.162511895076768,2021-11-17,8.69931431190308,134.94481962420514,13.307967948833713,134.94481962420514,19.94,38.3,7.906666666666666,18.36,30.39333333333333,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.5755320005597261,0.20369196382921162,10.59555555555556,12.106666666666671,7.213333333333336,12.766666666666666,9.18,1,1.0,1,1,1,3,3.0,3.0
-10.5,-12,7.833333333333338,3.1037037037037063,3.251990984222391,89.7,95.76666666666668,101.7,87.93333333333332,Fri 11-19 11-19,A,26 (I-A),Alabama,"L, 86-59",71,82.6,33.3,12.6,26.1,34.9,120.4,50.7,16.8,42.5,32.8,-7.0,16.5,152.0,92.8625,96.025,91.2777777777778,88.25432006010517,91.6875,81.675,88.1740740740741,85.00232907588278,20211119,98.6,98.4,0.1999999999999886,108.7,90.9,17.799999999999997,98.8,96.9,1.94,70.3,17.71050145507664,148.75159496550847,75.5,17.613912321850748,152.00184231600002,8.1134866236373,152.00184231600002,17.613912321850748,152.00184231600002,8.1134866236373,134.26015151390393,111.2,90.8,20.36,75.5,98.6,98.4,0.1999999999999886,108.7,90.9,17.799999999999997,8.465782729608287,134.08411822893,0,93.14922496837264,86.14618951932664,7.003035449045996,6.04604270937694,115.23575071545616,94.57388730272172,20.661863412734448,25.30871200500785,2021-11-19,12.665894528672453,144.7558982548763,16.988735075532375,144.7558982548763,-13.94,24.36,18.037777777777777,38.3,6.322222222222223,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.05804156686932749,0.11385560789319193,1.1637037037037063,5.893333333333338,10.59555555555556,6.09,12.766666666666666,1,1.0,1,1,1,3,3.0,3.0
5.0,15,8.200000000000003,7.302469135802472,5.515265350727411,95.3,96.40000000000002,79.6,88.2,Mon 11-22 11-22,N,68 (Ⅱ),Vermont,"W, 63-61",68,92.1,47.5,13.2,13.9,16.7,89.2,45.5,14.6,13.9,30.9,-11.0,3.0,135.0,94.08125,92.8625,92.61851851851854,89.53535277644968,85.64375,91.6875,85.31604938271607,84.02008742572227,20211122,98.4,98.8,-0.3999999999999915,102.7,95.1,7.600000000000008,99.1,97.8,1.32,69.3,4.359010755185658,127.21494942909916,66.34267425320057,5.364865927545786,132.63647007352992,3.185907216456042,132.63647007352992,5.364865927545786,132.63647007352992,3.185907216456042,107.56726931304831,101.9,93.9,8.04,67.3,98.4,98.8,-0.3999999999999915,102.7,95.1,7.600000000000008,3.232327898567207,107.61121976364092,0,95.02535069792673,84.88321286329736,10.142137834629366,9.953565218639524,96.51944384881364,96.76951360226128,-0.25006975344764726,0.4763943191461672,2021-11-22,-6.818466797986368,118.24600173278878,-6.287408618269993,118.24600173278878,13.68,38.04,20.145185185185184,24.36,17.894814814814815,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.7419528920245151,5.9824691358024715,6.880000000000003,1.1637037037037063,7.608,6.09,1,1.0,1,1,1,3,3.0,3.0
0.5,3,2.2666666666666706,5.901646090534984,5.076126196049701,104.9,96.63333333333333,101.8,94.36666666666666,Tue 11-23 11-23,N,221 (Ⅳ),Rice,"W, 76-73",69,109.8,57.3,11.6,20.7,14.5,105.5,49.2,15.9,32.4,23.8,5.5,-2.5,143.5,99.490625,94.08125,96.71234567901236,92.32892499891338,93.721875,85.64375,90.81069958847738,87.25279880286368,20211123,98.7,99.1,-0.3999999999999915,103.4,103.4,0.0,99.0,96.8,2.16,69.2,0.29817289427684557,142.14327831454392,69.49530583214793,0.2942334178326007,145.49842511822112,-6.591127898346784,145.49842511822112,0.2942334178326007,145.49842511822112,-6.591127898346784,130.59183396694638,106.4,103.6,2.71,70.6,98.7,99.1,-0.3999999999999915,103.4,103.4,0.0,-6.687780586706975,130.66781385556337,0,96.91261292079572,87.84917102264123,9.063441898154494,8.126253189794241,102.3120451333013,103.4119730775558,-1.0999279442545031,3.581878515549957,2021-11-23,-7.355096786544806,135.23605912556187,-3.1581270780247337,135.23605912556187,0.8399999999999999,38.879999999999995,26.110123456790124,38.04,12.769876543209872,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5940963859982835,0.7581878926560868,3.741646090534984,0.10666666666667046,5.9824691358024715,6.4799999999999995,7.608,1,1.0,1,1,1,3,3.0,3.0
6.0,18,12.366666666666667,10.034430727023322,7.480466887677027,114.2,104.8,95.9,92.43333333333334,Wed 11-24 11-24,N,130 (Ⅲ),Delaware,"W, 81-73",71,114.7,59.2,21.2,27.3,55.1,103.4,51.5,21.2,41.2,7.5,18.0,-2.0,136.0,106.8453125,99.490625,102.54156378600824,96.30548409002004,94.8109375,93.721875,92.50713305898492,88.825017202343,20211124,98.3,97.4,0.8999999999999915,103.0,102.6,0.4000000000000057,99.5,96.8,2.66,68.7,-0.4243288660538127,135.70293657629355,67.13641536273117,-0.36721411463308584,138.39514370706922,-2.825985082813404,138.39514370706922,-0.36721411463308584,138.39514370706922,-2.825985082813404,139.30200432257493,104.6,102.4,2.14,68.7,98.3,97.4,0.8999999999999915,103.0,102.6,0.4000000000000057,-2.2689751202998685,136.44709927690974,0,96.8986331464477,88.90847288343785,7.990160263009841,6.133640683613746,111.1211843667502,112.92832292077298,-1.8071385540227851,-1.7072801422848318,2021-11-24,-7.312536828488675,143.24112447501017,-5.264113173938171,143.24112447501017,15.34,54.22,30.366748971193417,38.879999999999995,23.853251028806582,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.7569208603358175,7.374430727023322,9.706666666666667,3.741646090534984,7.7457142857142856,6.4799999999999995,1,1.0,1,1,1,3,3.0,3.0
-1.5,6,9.4,8.956287151348882,7.356745635372112,105.7,108.26666666666668,98.9,98.86666666666667,Thu 12-02 12-02,A,278 (Ⅳ),Illinois Chicago,"W, 81-77",75,107.8,57.4,24.0,27.6,42.6,102.5,50.0,16.0,34.9,9.3,21.5,-5.5,136.5,106.27265625,106.8453125,103.59437585733885,98.01357789183456,96.85546875,94.8109375,94.63808870598996,90.65683225646244,20211202,100.4,97.6,2.800000000000012,98.0,103.4,-5.400000000000006,101.2,98.0,3.24,68.9,-3.549595892897429,132.5303588644187,65.56770981507825,-1.7361040029378785,133.97369718550587,-5.6910497589082825,133.97369718550587,-1.7361040029378785,133.97369718550587,-5.6910497589082825,131.97948024068867,98.1,106.0,-7.89,66.9,100.4,97.6,2.800000000000012,98.0,103.4,-5.400000000000006,-5.40379666101894,126.56610966907965,0,98.57239206926396,91.33716715292782,7.235224916336136,6.292204516349478,102.2878404061975,103.55745777024676,-1.2696173640492532,-0.7966154802089997,2021-12-02,-2.1378146043092983,131.30452228240313,-2.761634403628662,131.30452228240313,2.76,56.98,38.31783264746228,54.22,18.662167352537715,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.6997944856925475,0.5806674969295706,5.716287151348881,6.16,7.374430727023322,7.1225000000000005,7.7457142857142856,1,1.0,1,1,1,3,3.0,3.0
18.5,14,13.133333333333333,10.73752476756592,8.619155519849908,103.2,107.7,88.9,94.56666666666666,Sat 12-04 12-04,A,358 (Ⅳ),IUPUI,"W, 78-45",68,114.7,44.6,11.8,30.6,57.1,66.2,37.3,33.8,31.4,19.6,-6.5,-14.5,129.5,104.736328125,106.27265625,103.46291723822593,98.9565637296828,92.877734375,96.85546875,92.72539247065998,90.33740820983292,20211204,101.1,97.1,4.0,85.0,104.8,-19.8,101.3,97.9,3.43,69.9,-11.616607563069785,124.07966190650228,64.8290184921764,-12.065617872642683,124.9264069290191,-18.60923669216241,124.9264069290191,-12.065617872642683,124.9264069290191,-18.60923669216241,114.25895010621086,86.6,106.8,-20.19,65.2,101.1,97.1,4.0,85.0,104.8,-19.8,-17.717720009789232,109.2195722272359,0,100.8913164015112,90.20793718288785,10.683379218623358,8.620120430458384,82.75855178658196,97.18678409179608,-14.428232305214124,-17.723409197879107,2021-12-04,-12.346419022073256,114.43156652948187,-15.345661195083935,114.43156652948187,10.57,67.55,44.538555098308194,56.98,23.011444901691803,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.9163531986724158,0.8801724751987483,7.307524767565921,9.703333333333333,5.716287151348881,7.505555555555556,7.1225000000000005,1,1.0,1,1,1,3,3.0,3.0
-2.5,-4,5.699999999999998,5.825016511710615,6.324763607149924,89.7,99.53333333333336,93.7,93.83333333333331,Tue 12-07 12-07,A,253 (Ⅳ),Bowling Green,"L, 73-72",75,95.6,42.8,17.3,31.8,24.6,96.9,48.4,29.2,46.2,25.4,-4.0,-1.5,149.0,97.2181640625,104.736328125,98.87527815881728,97.27355214246776,93.2888671875,92.877734375,93.05026164710668,90.94878853531785,20211207,101.7,95.5,6.200000000000003,100.8,105.7,-4.900000000000006,102.0,97.1,4.84,69.8,0.2840855160932563,146.51671086310486,71.38862019914652,-4.038051058012115,148.5928353828855,-8.010015159768592,148.5928353828855,-4.038051058012115,148.5928353828855,-8.010015159768592,147.29191920096105,103.5,103.8,-0.21,71.9,101.7,95.5,6.200000000000003,100.8,105.7,-4.900000000000006,-8.957983944982592,135.99949561609387,0,99.9252142998481,91.54557881596372,8.379635483884371,6.871106163091235,96.81291853627144,103.52715031281468,-6.714231776543244,-5.610531995359197,2021-12-07,-6.898172759750452,139.98628162792224,-6.8989892029227775,139.98628162792224,-8.84,58.709999999999994,52.20903673220546,67.55,6.500963267794532,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.5567984968164682,0.7443995219343349,0.9850165117106151,0.8599999999999985,7.307524767565921,5.871,7.505555555555556,1,1.0,1,1,1,3,3.0,3.0
