ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-15.5,4,,4.900000000000006,4.900000000000006,109.9,0.0,105.0,0.0,Tue 11-09 11-09,H,134 (Ⅲ),Akron,"W, 67-66",61,109.6,46.7,18.0,45.9,26.7,107.9,49.1,18.0,40.0,20.7,-7.5,-16.5,140.5,109.9,0.0,109.9,109.9,105.0,0.0,105.0,105.0,20211109,114.2,95.1,19.10000000000001,103.6,100.3,3.299999999999997,112.4,91.0,21.38,68.1,-15.018675975974304,137.3437380696817,67.32503556187767,-15.167347453936614,147.3115569151803,3.5951631781189093,147.3115569151803,-15.167347453936614,147.3115569151803,3.5951631781189093,149.99500311351056,103.2,98.4,4.82,69.5,114.2,95.1,19.10000000000001,103.6,100.3,3.299999999999997,3.5951631781189093,149.99500311351056,0,96.5407622219329,98.16655627595148,-1.6257940540185842,0.6047615015369805,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-17.38,-17.38,0.0,0.0,-17.38,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,3,0.9419584331306725,0.5,-16.479999999999993,,0.0,-17.38,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-9.5,4,,4.833333333333338,4.863636363636369,118.5,0.0,113.8,0.0,Fri 11-12 11-12,H,211 (Ⅳ),Niagara,"W, 84-74",69,121.1,64.0,14.4,20.7,60.0,106.7,52.7,18.7,22.2,35.7,25.0,-19.5,133.0,114.2,109.9,112.76666666666668,111.46363636363635,109.4,105.0,107.93333333333334,106.6,20211112,111.5,93.5,18.0,97.8,104.0,-6.200000000000003,111.8,90.4,21.38,68.1,-21.320279847644137,132.05658398349246,66.64694167852062,-20.716410214293,142.1641461580928,-4.8073398295080025,142.1641461580928,-20.716410214293,142.1641461580928,-4.8073398295080025,126.92931659599843,95.0,100.6,-5.58,68.8,111.5,93.5,18.0,97.8,104.0,-6.200000000000003,-4.8073398295080025,126.92931659599843,0,96.51875471532162,97.16926299901895,-0.6505082836973344,-1.4928981005029494,97.54500647812836,103.58171207446364,-6.036705596335281,-1.1188298779401813,2021-11-12,-7.2719990441248115,133.15668708285017,-1.5924404213529613,133.15668708285017,-17.38,-34.76,-17.38,-17.38,-17.38,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9683545838833274,0.7557106985436375,-16.54666666666666,,-16.479999999999993,-17.38,-17.38,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
15.0,31,13.566666666666672,13.588888888888896,9.633884297520666,111.7,113.36666666666667,80.6,99.8,Mon 11-15 11-15,H,271 (Ⅳ),Bowling Green,"W, 89-58",72,123.5,60.0,16.7,38.2,10.0,80.5,45.1,25.0,26.8,13.1,1.5,-16.0,145.5,112.95,114.2,112.41111111111113,111.50661157024794,95.0,109.4,98.82222222222222,101.87272727272726,20211115,111.8,95.0,16.799999999999997,99.8,102.7,-2.9000000000000057,112.5,92.1,20.4,68.3,-17.18299899234077,144.3501020433387,70.24310099573256,-18.605022773244997,151.12101414163328,-18.86314550684748,151.12101414163328,-18.605022773244997,151.12101414163328,-18.86314550684748,137.88882007697848,101.6,99.9,1.69,72.3,111.8,95.0,16.799999999999997,99.8,102.7,-2.9000000000000057,-18.850352805154625,137.9488305336283,0,94.4964828408828,88.36140611383236,6.135076727050446,-2.9972185989137445,85.45544018268289,95.01893702089276,-9.563496838209872,1.271040513162266,2021-11-15,-13.593995768623657,119.13384688829736,1.0483260252005664,119.13384688829736,10.600000000000001,-24.159999999999997,-23.173333333333332,-34.76,-0.9866666666666646,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.9362218501099964,0.9022823086564284,-6.811111111111103,-6.833333333333327,-16.54666666666666,-8.053333333333331,-17.38,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.5,3,12.933333333333335,10.059259259259266,8.427723516153272,100.3,110.16666666666669,97.3,97.23333333333332,Thu 11-18 11-18,A,52 (I-A),Xavier,"L, 71-65",69,94.7,44.3,18.9,28.9,21.3,103.5,43.8,16.0,40.0,26.2,1.0,-2.5,135.0,106.625,112.95,108.37407407407407,109.46904583020286,96.15,95.0,98.3148148148148,101.04132231404957,20211118,111.8,93.9,17.89999999999999,106.6,91.9,14.699999999999989,112.6,91.5,21.19,68.5,1.046574743059864,136.77288182170477,67.72048364153628,2.103578701855824,140.69471955945556,0.42569900231264235,140.69471955945556,2.103578701855824,140.69471955945556,0.42569900231264235,136.88001831942182,108.7,92.0,16.76,69.5,111.8,93.9,17.89999999999999,106.6,91.9,14.699999999999989,0.5710506677735628,136.96702942216993,0,106.80773631203536,103.14071899027512,3.667017321760241,4.7475871048253335,96.63684927413055,88.6002664464043,8.03658282772625,9.836504245137249,2021-11-18,7.271394597168303,134.91994684375024,5.480682682256145,134.91994684375024,-18.19,-42.349999999999994,-23.502222222222223,-24.159999999999997,-18.84777777777777,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.5940963859982835,0.24430737036187145,-11.130740740740736,-8.256666666666666,-6.811111111111103,-10.587499999999999,-8.053333333333331,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,21,18.566666666666677,13.90617283950618,10.822682876852678,128.8,113.6,107.2,95.03333333333332,Mon 11-22 11-22,N,61 (I),Seton Hall,"W, 79-76",68,116.4,59.4,14.7,15.4,52.1,112.0,42.1,11.8,34.1,42.9,17.5,2.5,137.5,117.7125,106.625,115.18271604938272,112.98376477016598,101.675,96.15,101.27654320987656,102.16108189331328,20211122,111.1,94.5,16.599999999999994,106.7,89.3,17.400000000000006,112.6,92.0,20.58,68.0,-1.120815439162655,135.33639472622662,68.19345661450924,1.130917860201123,139.7190626497668,12.05188287337423,139.7190626497668,1.130917860201123,139.7190626497668,12.05188287337423,125.9082020612641,107.5,89.3,18.13,70.5,111.1,94.5,16.599999999999994,106.7,89.3,17.400000000000006,12.172812141695498,126.15881534850642,0,108.44048227839151,105.4614696222648,2.979012656126713,-1.7054097758161706,106.22934915555592,84.75891083210479,21.470438323451134,28.64335081615212,2021-11-22,14.05130596665279,142.44313064223454,20.695868887325176,142.44313064223454,0.4200000000000017,-41.92999999999999,-29.784814814814816,-42.349999999999994,-12.145185185185177,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.4059036140017165,0.09041242825165996,-6.673827160493818,-2.013333333333321,-11.130740740740736,-8.385999999999997,-10.587499999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-0.5,12,12.23333333333334,13.304115226337458,11.054922353788555,105.9,111.66666666666669,93.8,99.43333333333334,Wed 11-24 11-24,N,59 (Ⅱ),Florida,"L, 71-68",69,98.4,58.5,26.1,26.9,42.6,102.8,40.0,15.9,38.1,55.0,1.5,2.5,137.5,111.80625,117.7125,112.08847736625516,111.6958075392267,97.7375,101.675,98.7843621399177,100.64088518543812,20211124,112.9,95.7,17.200000000000003,108.6,89.2,19.39999999999999,113.6,93.2,20.4,67.7,1.1254860649809046,135.03195745879424,66.25547652916075,2.1892010253143894,138.98105423380963,7.842648151734745,138.98105423380963,2.1892010253143894,138.98105423380963,7.842648151734745,136.68293366632875,110.8,89.4,21.42,68.8,112.9,95.7,17.200000000000003,108.6,89.2,19.39999999999999,8.002628730843412,136.766832811443,0,105.06239000194438,104.29880875461784,0.7635812473265418,-4.446426385301518,108.30635614681766,83.94845962957416,24.357896517243503,32.33840839585356,2021-11-24,16.818679982575766,136.61995625518082,24.371967574718752,136.61995625518082,-8.399999999999999,-50.32999999999999,-33.83320987654321,-41.92999999999999,-16.496790123456783,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4059036140017165,0.054602239126323115,-7.09588477366254,-8.166666666666659,-6.673827160493818,-8.388333333333332,-8.385999999999997,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.0,19,17.83333333333334,15.46941015089164,12.644936471281545,103.5,112.73333333333336,83.7,94.9,Tue 11-30 11-30,H,6 (I-A),Duke,"W, 71-66",70,101.4,55.6,17.1,20.6,40.7,94.3,41.5,10.0,21.4,24.6,-10.5,3.0,147.5,107.653125,111.80625,109.22565157750346,110.20566071391276,90.71875,97.7375,93.7562414266118,97.56072424263118,20211130,114.2,97.1,17.10000000000001,113.8,92.1,21.700000000000003,114.4,94.4,19.98,67.4,-0.5627671210887684,142.960797637667,67.97524893314369,-0.49876753676466024,150.09605121682839,2.586586036215002,150.09605121682839,-0.49876753676466024,150.09605121682839,2.586586036215002,152.59624297638453,114.7,90.2,24.55,70.9,114.2,97.1,17.10000000000001,113.8,92.1,21.700000000000003,4.145192051395645,147.6740893310274,0,107.6066117522496,100.0349075479402,7.5717042043094125,4.798344958282308,109.39243589500734,91.28687477433756,18.105561120669776,20.078078540017778,2021-11-30,3.751221304128947,144.39858366724894,8.246392617196918,144.39858366724894,-0.9800000000000004,-51.30999999999999,-39.33213991769547,-50.32999999999999,-11.977860082304517,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.38754848109799234,0.36044889598394647,-4.51058984910836,-2.146666666666661,-7.09588477366254,-7.33,-8.388333333333332,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.0,31,21.066666666666677,20.746273433927765,16.036766203775812,123.4,110.93333333333334,92.1,89.86666666666667,Sun 12-05 12-05,A,93 (Ⅱ),Penn St.,"W, 76-64",67,113.6,62.3,19.4,17.9,22.6,95.6,50.0,22.4,20.7,29.4,9.5,-5.0,130.5,115.5265625,107.653125,113.95043438500232,112.60463149320134,91.409375,90.71875,93.20416095107454,96.56786528942553,20211205,114.0,96.6,17.400000000000006,103.5,96.7,6.799999999999997,114.2,93.9,20.28,66.9,-2.9028306643752373,124.65922139798087,59.95305832147938,-2.6956536200323455,129.4375118795917,-1.6220685152871432,129.4375118795917,-2.6956536200323455,129.4375118795917,-1.6220685152871432,118.643722015558,105.7,96.3,9.36,63.0,114.0,96.6,17.400000000000006,103.5,96.7,6.799999999999997,-1.8436430838938034,122.79669277609536,0,106.5180235966286,100.3007637308536,6.217259865774992,3.2827729374341605,97.54032674075611,98.88050162815324,-1.3401748873971258,-2.413917168206685,2021-12-05,-1.1126108634031269,125.13241471566477,-1.7293616299426162,125.13241471566477,10.719999999999999,-40.58999999999999,-43.32475994513031,-51.30999999999999,2.734759945130321,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6830306580593271,0.5421941216555036,0.4662734339277641,0.786666666666676,-4.51058984910836,-5.07375,-7.33,1,-1.0,1,-1,-1,1,-3.0,-3.0
-3.0,20,23.93333333333334,20.73084895595185,16.884626893998394,132.8,119.90000000000002,112.1,95.96666666666664,Wed 12-08 12-08,H,86 (Ⅱ),Towson,"W, 85-74",64,131.8,68.1,20.2,38.1,53.2,114.8,54.5,15.5,25.8,30.9,23.5,-14.0,135.5,124.16328125,115.5265625,120.23362292333488,116.27651667625562,101.7546875,91.409375,99.50277396738304,99.39188978225724,20211208,114.4,96.6,17.80000000000001,104.9,100.8,4.1000000000000085,114.8,94.1,20.63,67.5,-16.130804405466776,134.4070298846978,62.891180654338555,-12.946404735759131,140.1665989824361,-3.515651926564706,140.1665989824361,-12.946404735759131,140.1665989824361,-3.515651926564706,132.144805242554,103.3,101.9,1.35,65.5,114.4,96.6,17.80000000000001,104.9,100.8,4.1000000000000085,-7.475541819086175,132.54647992714374,0,109.32148039911844,101.39601549840076,7.925464900717685,5.545692550373758,103.9587178829364,96.60779063478924,7.350927248147158,4.154509212625205,2021-12-08,-3.9462585663957412,136.28446475007422,-2.7212926843024263,136.28446475007422,-0.629999999999999,-41.219999999999985,-42.41317329675354,-40.58999999999999,1.1931732967535567,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9087887802741321,0.6464799007501691,0.10084895595185017,3.3033333333333417,0.4662734339277641,-4.580000000000002,-5.07375,1,1.0,1,-1,-1,1,1.0,-3.0
13.0,30,27.50000000000001,23.987232637301236,19.360149276907777,107.3,121.16666666666669,76.8,93.66666666666669,Sat 12-11 12-11,H,34 (I),Wisconsin,"W, 73-55",71,102.5,55.2,19.7,25.8,22.4,77.2,38.5,11.2,10.9,13.8,-6.0,-5.0,134.0,115.731640625,124.16328125,115.92241528222328,114.64442273511824,89.27734375,101.7546875,91.93518264492202,95.28427345821046,20211211,116.1,98.2,17.89999999999999,107.2,91.8,15.400000000000006,115.8,95.5,20.33,67.3,-4.053320967893747,130.76228854972663,62.80056899004267,-4.669162921665972,136.64756206489017,-2.5568073522136197,136.64756206489017,-4.669162921665972,136.64756206489017,-2.5568073522136197,139.72800018896353,109.2,90.6,18.6,65.6,116.1,98.2,17.89999999999999,107.2,91.8,15.400000000000006,0.058927032888880945,130.94889861784696,0,109.53001598710244,96.7970783074101,12.732937679692341,11.678607722226763,103.5765233428071,92.28283860020495,11.293684742602153,14.486352240956425,2021-12-11,-4.16267290272031,129.85829777487052,-0.22518081043277505,129.85829777487052,9.670000000000002,-31.549999999999983,-42.01544886450236,-41.219999999999985,10.465448864502378,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.6830306580593271,0.6541116268840366,3.657232637301238,7.170000000000012,0.10084895595185017,-3.1549999999999976,-4.580000000000002,1,1.0,1,-1,-1,1,1.0,1.0
