ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-17.0,-6,,-6.1000000000000085,-6.1000000000000085,117.8,0.0,123.9,0.0,Tue 11-09 11-09,A,48 (I-A),Colorado St.,"L, 109-80",76,105.3,47.4,6.6,24.5,11.5,143.5,66.4,6.6,25.0,19.2,34.5,12.0,154.5,117.8,0.0,117.8,117.8,123.9,0.0,123.9,123.9,20211109,106.0,106.3,-0.2999999999999971,109.6,97.2,12.399999999999991,103.5,104.1,-0.54,73.3,15.293485183275777,159.00684804846097,75.07254623044098,15.04829660304057,168.68309713731105,29.098951676189863,168.68309713731105,15.04829660304057,168.68309713731105,29.098951676189863,211.6602096681104,109.0,95.6,13.43,72.0,106.0,106.3,-0.2999999999999971,109.6,97.2,12.399999999999991,29.098951676189863,211.6602096681104,0,95.93259170101018,108.208875025302,-12.276283324291825,-7.379061102069708,95.5186329067623,100.56471676327632,-5.0460838565140165,-1.4821949676251238,2021-11-09,9.572333446402283,153.42876492957032,6.435825661547199,153.42876492957032,-5.46,-5.46,0.0,0.0,-5.46,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.12654895447355774,0.18097628449922887,-5.5600000000000085,,0.0,-5.46,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-15.5,-16,,-9.700000000000005,-8.06363636363637,83.2,0.0,100.1,0.0,Sat 11-20 11-20,A,291 (Ⅳ),Central Arkansas,"L, 70-67",73,91.7,39.7,13.7,22.7,33.3,95.8,48.4,20.5,27.0,17.5,-21.0,-12.5,158.0,100.5,117.8,106.26666666666668,111.5090909090909,112.0,123.9,115.96666666666668,119.57272727272728,20211120,104.6,105.3,-0.7000000000000028,93.9,108.6,-14.699999999999989,103.1,103.7,-0.63,72.5,-9.234250311779945,155.79594851469193,75.90327169274536,-6.800111088709656,164.41219253090495,-9.99194791842458,164.41219253090495,-6.800111088709656,164.41219253090495,-9.99194791842458,173.40769565417526,91.0,109.0,-17.96,73.6,104.6,105.3,-0.7000000000000028,93.9,108.6,-14.699999999999989,-10.121416232778598,173.27853872365057,0,96.96868202172602,108.03845407262412,-11.069772050898095,-1.8361230044501229,86.1168710029905,98.54062979507042,-12.423758792079923,-6.030166819449926,2021-11-20,2.1440020505808803,146.1631666052417,-1.1417156631356562,146.1631666052417,-15.37,-20.83,-5.46,-5.46,-15.369999999999997,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.8830703586536275,0.4191022504344383,-9.070000000000004,,-5.5600000000000085,-10.415,-5.46,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
8.5,15,-2.599999999999999,-1.400000000000002,-3.833884297520665,115.8,105.6,100.6,108.2,Fri 11-26 11-26,H,30 (Ⅱ),Oklahoma St.,"L, 78-77 OT",77,99.8,53.1,14.3,15.0,21.5,101.1,43.6,13.0,35.4,17.9,7.5,9.5,147.5,108.15,100.5,109.44444444444446,112.28925619834708,106.3,112.0,110.84444444444443,116.12314049586776,20211126,103.9,106.4,-2.5,102.3,87.8,14.5,102.8,104.6,-1.79,70.8,9.634434218923445,143.5349509328907,71.60568990042674,8.80664974308371,146.19860212346842,13.219541656028811,146.19860212346842,8.80664974308371,146.19860212346842,13.219541656028811,138.41776232295214,105.7,88.9,16.72,71.1,103.9,106.4,-2.5,102.3,87.8,14.5,17.999378001800775,139.32271112889802,0,99.75309642982944,103.53664615281264,-3.783549722983196,5.343652877695882,99.8819138528933,89.79919820392591,10.082715648967394,11.79382366330623,2021-11-26,6.178368424773794,141.09021170043457,2.4419302572581927,141.09021170043457,16.79,-4.039999999999999,-10.583333333333332,-20.83,6.543333333333333,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.182795768782416,0.2781265368582352,0.3899999999999981,-0.8099999999999992,-9.070000000000004,-1.3466666666666667,-10.415,1,-1.0,1,-1,-1,1,-3.0,-3.0
5.0,9,2.600000000000004,2.233333333333332,-1.4095416979714528,124.6,107.86666666666666,115.1,105.26666666666664,Mon 11-29 11-29,H,154 (Ⅳ),Tulsa,"W, 87-80",69,125.8,64.5,18.8,26.7,34.5,115.7,56.9,14.5,29.4,13.8,23.5,-2.0,143.5,116.375,108.15,114.49629629629632,114.52757325319308,110.7,106.3,112.26296296296296,115.93711495116452,20211129,104.8,106.4,-1.6000000000000083,102.5,100.4,2.0999999999999943,103.8,104.8,-1.02,70.2,-1.5747783669473563,138.47167684585966,65.80625889046942,-1.4561578308454557,144.52762824402927,-4.198078433210084,144.52762824402927,-1.4561578308454557,144.52762824402927,-4.198078433210084,143.51388434513362,102.6,100.2,2.45,65.9,104.8,106.4,-1.6000000000000083,102.5,100.4,2.0999999999999943,-5.132110088956053,144.27855001323218,0,102.19492089412653,104.78751083899805,-2.59258994487152,7.0479686909653125,102.85281625064934,108.8503200131956,-5.997503762546259,-13.096732384619218,2021-11-29,-6.474135152309586,147.86236561896447,-15.043322880100632,147.86236561896447,10.02,5.98,-8.402222222222221,-4.039999999999999,14.382222222222222,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.7312455237144018,3.253333333333332,3.620000000000004,0.3899999999999981,1.495,-1.3466666666666667,1,1.0,1,1,-1,3,1.0,-3.0
0.0,3,9.433333333333332,2.6888888888888856,-0.4987159347039168,106.5,115.63333333333333,102.9,106.2,Thu 12-02 12-02,A,25 (I),TCU,"L, 71-63",65,96.4,52.5,23.0,27.8,5.1,108.6,48.5,15.3,42.5,13.2,-13.0,8.0,147.0,111.4375,116.375,111.83086419753089,113.06801447988522,106.8,110.7,109.141975308642,113.56673041458916,20211202,106.6,107.3,-0.7000000000000028,103.8,96.2,7.599999999999994,105.2,105.8,-0.55,70.4,11.352330271802757,142.17745260294436,67.09530583214794,10.188893575205242,147.27662321509675,7.877811872632858,147.27662321509675,10.188893575205242,147.27662321509675,7.877811872632858,142.9857991239644,105.7,95.8,9.84,67.0,106.6,107.3,-0.7000000000000028,103.8,96.2,7.599999999999994,7.492723638920669,140.21300081497978,0,101.302854121368,104.6084921200126,-3.305637998644599,4.509162169835153,99.16077508098222,97.3652923942116,1.795482686770626,4.12977629754444,2021-12-02,7.400398735575607,139.25405011283186,1.7052669625974914,139.25405011283186,3.55,9.530000000000001,-3.608148148148148,5.98,13.138148148148149,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.22305842386064167,0.24046739175726706,3.2388888888888854,9.983333333333333,3.253333333333332,1.9060000000000001,1.495,1,1.0,1,1,1,3,3.0,1.0
4.0,5,6.099999999999994,3.52592592592592,0.5374142352422479,109.1,113.4,103.9,107.3,Sat 12-04 12-04,A,339 (Ⅳ),Houston Baptist,"W, 85-67",70,120.9,58.3,18.5,38.2,36.7,95.3,51.8,22.8,25.7,26.8,2.5,-14.0,149.5,110.26875,111.4375,110.92057613168726,112.34655730172426,105.35,106.8,107.39465020576134,111.80914306648204,20211204,106.3,107.5,-1.2000000000000028,92.0,109.7,-17.700000000000003,105.0,105.5,-0.41,69.9,-11.006830451710186,147.20451877681657,69.1045519203414,-8.263877557620546,152.1548472924627,-10.193083160154314,152.1548472924627,-8.263877557620546,152.1548472924627,-10.193083160154314,138.53146669694058,91.3,112.7,-21.45,69.5,106.3,107.5,-1.2000000000000028,92.0,109.7,-17.700000000000003,-9.376320771475456,138.03603523866968,0,104.76816748804532,103.00462383831562,1.763543649729698,7.494609270844547,87.77178332450367,98.5117046030458,-10.739921278542127,-12.591877752732476,2021-12-04,-5.222201243328328,136.75949142751165,-11.995063624035069,136.75949142751165,5.41,14.940000000000001,0.7712345679012347,9.530000000000001,14.168765432098766,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9087887802741321,0.6905297519860348,3.93592592592592,6.5099999999999945,3.2388888888888854,2.49,1.9060000000000001,1,1.0,1,1,1,3,3.0,3.0
-1.5,2,3.766666666666661,3.183950617283947,0.8942480106527482,86.9,100.83333333333331,84.4,97.06666666666668,Sat 12-11 12-11,A,76 (I),Missouri St.,"L, 69-60",72,83.5,45.2,22.3,26.8,11.1,96.0,43.1,15.3,21.1,41.4,-22.0,7.5,151.0,98.584375,110.26875,102.91371742112484,107.71991051959256,94.875,105.35,99.7297668038409,106.82566250893984,20211211,107.0,107.7,-0.7000000000000028,109.7,100.2,9.5,105.9,105.8,0.06,69.7,11.659838544940058,148.4415934956922,66.62645803698436,11.775855013782163,154.12696161095602,7.84314619793412,154.12696161095602,11.775855013782163,154.12696161095602,7.84314619793412,144.21697224317145,111.0,100.2,10.77,67.2,107.0,107.7,-0.7000000000000028,109.7,100.2,9.5,11.308032843465154,150.00082041497816,0,102.07564099818832,100.55109459233958,1.5245464058487386,7.784748508662719,101.557914838067,97.32776362560443,4.230151212462573,-1.6711001377599588,2021-12-11,5.7436140510212965,137.65072502943718,-4.37752990228482,137.65072502943718,1.94,16.880000000000003,5.494156378600824,14.940000000000001,11.385843621399179,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.23752526202697655,0.2921856348809232,3.123950617283947,3.706666666666661,3.93592592592592,2.4114285714285715,2.49,1,1.0,1,1,1,3,3.0,3.0
2.5,6,4.766666666666661,4.322633744855963,1.9316574632613384,105.1,100.36666666666667,98.5,95.6,Thu 12-16 12-16,H,228 (Ⅳ),UT Arlington,"W, 71-62",67,105.6,55.9,13.4,18.4,16.9,92.2,43.7,19.3,31.7,19.0,-11.0,-6.5,144.0,101.8421875,98.584375,103.6424782807499,107.24356315239392,96.6875,94.875,99.31984453589394,105.3119056891326,20211216,104.6,105.2,-0.6000000000000085,91.8,97.9,-6.1000000000000085,104.2,104.0,0.2,69.9,-8.97908116055995,136.21035540745905,68.50796586059745,-7.999531177093175,139.73853356614023,-10.918502731450038,139.73853356614023,-7.999531177093175,139.73853356614023,-10.918502731450038,131.83775445370708,92.3,99.4,-7.05,68.9,104.6,105.2,-0.6000000000000085,91.8,97.9,-6.1000000000000085,-11.280579296565067,133.91764650952007,0,102.39863100959384,101.40459860317492,0.9940324064189241,6.450586989092483,90.52396764048802,97.58864472731597,-7.064677086827942,-6.758481856909016,2021-12-16,-9.473928566564581,134.694932215985,-10.964534364465209,134.694932215985,5.8,22.680000000000003,9.289437585733882,16.880000000000003,13.390562414266121,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.732057505466481,0.8165456373305153,4.122633744855963,4.566666666666661,3.123950617283947,2.835,2.4114285714285715,1,1.0,1,1,1,3,3.0,3.0
5.0,11,6.899999999999996,6.74842249657064,3.689537924486548,113.8,101.93333333333332,102.2,95.03333333333336,Mon 12-20 12-20,A,210 (Ⅲ),South Dakota,"W, 82-73",69,118.1,62.9,14.4,8.0,17.2,105.2,47.7,4.3,20.0,26.2,10.0,-4.0,145.0,107.82109375,101.8421875,107.02831885383328,108.43564257923138,99.44375,96.6875,100.27989635726264,104.74610465474484,20211220,104.5,104.6,-0.0999999999999943,96.5,102.5,-6.0,104.9,103.9,1.0,69.6,-0.7125989308631802,140.97597710244443,67.32290184921764,-0.24091812635829513,143.41868210669264,-7.256272140697566,143.41868210669264,-0.24091812635829513,143.41868210669264,-7.256272140697566,136.18161294774686,98.0,103.7,-5.64,68.0,104.5,104.6,-0.0999999999999943,96.5,102.5,-6.0,-3.6281959291137187,138.4659397374036,0,102.8032475822454,101.6304881886999,1.1727593935455047,5.0942551524951405,93.60696010896736,103.46000322570733,-9.853043116739968,-5.684292225998982,2021-12-20,-3.854088825477888,138.79658246032125,-5.376950841735081,138.79658246032125,10.0,32.68000000000001,13.752958390489255,22.680000000000003,18.927041609510752,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,-3,0.6483807083005341,0.6432114058859697,5.74842249657064,5.899999999999996,4.122633744855963,3.631111111111111,2.835,1,1.0,1,1,1,3,3.0,3.0
3.0,3,7.333333333333329,5.76561499771376,3.7096219382162654,106.7,108.53333333333336,102.9,101.2,Wed 12-22 12-22,A,78 (I),South Dakota St.,"L, 82-76",71,107.1,51.4,15.5,33.3,1.4,115.5,57.9,14.1,17.2,35.1,-7.5,9.0,165.5,107.260546875,107.82109375,106.91887923588884,108.12007120118932,101.171875,99.44375,101.1532642381751,104.41044926297306,20211222,105.5,105.1,0.4000000000000057,114.0,102.4,11.599999999999994,105.0,104.0,1.01,69.5,10.45799115979193,162.55254904937559,72.26813655761025,13.422947560487131,168.65189309512562,4.42296471682423,168.65189309512562,13.422947560487131,168.65189309512562,4.42296471682423,157.84858923136704,112.5,103.6,8.86,73.1,105.5,105.1,0.4000000000000057,114.0,102.4,11.599999999999994,10.8203371958119,166.03201308119048,0,102.50442380559272,101.66550411429188,0.8389196913008448,3.582124548924613,106.160161451922,101.73708452590498,4.423076926017018,9.199254513148214,2021-12-22,7.083877256111705,156.92885367815416,6.212219079419995,156.92885367815416,1.99,34.67000000000001,20.061972260326172,32.68000000000001,14.608027739673837,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.19568296915377603,0.2499474977906273,4.75561499771376,6.323333333333329,5.74842249657064,3.467,3.631111111111111,1,1.0,1,1,1,3,3.0,3.0
