ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.5,-4,,-4.900000000000006,-4.900000000000006,92.1,0.0,97.0,0.0,Tue 11-09 11-09,H,264 (Ⅳ),Portland St.,"W, 73-64",74,98.1,46.8,18.8,34.1,41.9,86.0,44.2,22.8,26.2,30.0,-4.0,-13.5,141.0,92.1,0.0,92.1,92.1,97.0,0.0,97.0,97.0,20211109,105.8,98.5,7.299999999999997,102.2,104.0,-1.7999999999999972,106.8,95.2,11.63,69.9,-15.283743959820995,143.6314194818957,72.28634423897583,-11.284433888646134,155.9662250094477,-3.918850335055908,155.9662250094477,-11.284433888646134,155.9662250094477,-3.918850335055908,119.228243170352,96.4,100.6,-4.26,72.7,105.8,98.5,7.299999999999997,102.2,104.0,-1.7999999999999972,-3.918850335055908,119.228243170352,0,93.89834373139873,96.44715082327023,-2.5488070918715096,-8.318251536315895,94.18488687269458,102.22732499034704,-8.042438117652466,-6.3118825620969625,2021-11-09,-7.675021213044403,138.23118284458317,-0.4256286079253897,138.23118284458317,-15.63,-15.63,0.0,0.0,-15.63,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.900728603156669,0.7675964972457534,-16.53000000000001,,0.0,-15.63,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-9.0,-3,,-4.266666666666671,-4.554545454545458,79.3,0.0,82.3,0.0,Fri 11-12 11-12,A,40 (I),Iowa St.,"L, 60-50",72,69.4,36.4,19.4,19.5,23.7,83.3,50.0,26.4,18.8,8.8,-33.0,1.0,143.0,85.69999999999999,92.1,87.83333333333334,89.77272727272727,89.65,97.0,92.1,94.32727272727271,20211112,102.3,95.5,6.799999999999997,97.7,99.3,-1.5999999999999943,106.2,94.6,11.63,69.9,-0.30553605122099725,141.41987349294675,72.68406827880513,-2.0994588979101394,144.68180173402573,11.165935288126573,144.68180173402573,-2.0994588979101394,144.68180173402573,11.165935288126573,127.46948185690079,100.3,94.9,5.39,73.1,102.3,95.5,6.799999999999997,97.7,99.3,-1.5999999999999943,11.165935288126573,127.46948185690079,0,97.2920160907279,93.4755036201204,3.816512470607492,-0.2899328697565485,96.24476214691056,107.91790741623628,-11.673145269325715,-9.255269550930636,2021-11-12,-7.114884178263324,144.59589875728443,-4.578347303190014,144.59589875728443,-14.63,-30.26,-15.63,-15.63,-14.63,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.46206285593374585,0.7509898691948385,-15.896666666666672,,-16.53000000000001,-15.13,-15.63,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-8.5,-2,-3.566666666666668,-3.77777777777778,-4.235537190082647,97.3,89.56666666666666,100.1,93.13333333333333,Mon 11-15 11-15,A,156 (Ⅲ),Tulsa,"L, 64-58",61,94.5,52.9,24.4,33.3,21.6,104.3,44.4,17.9,34.3,37.0,-8.5,-2.5,130.5,91.5,85.69999999999999,90.98888888888892,91.14132231404956,94.875,89.65,94.76666666666668,95.37685950413224,20211115,100.0,94.8,5.200000000000003,99.7,96.5,3.200000000000003,104.5,94.0,10.57,69.6,-2.1602177231741564,132.38583800912048,68.1149359886202,2.346686111680455,133.25150043526025,-0.11938584149725834,133.25150043526025,2.346686111680455,133.25150043526025,-0.11938584149725834,120.8920776484642,99.4,97.7,1.67,68.8,100.0,94.8,5.200000000000003,99.7,96.5,3.200000000000003,-0.08780349686766972,120.63679501666448,0,99.39161379959532,110.68418477163654,-11.292570972041219,-3.052353665385576,102.20006052243129,96.35563315420848,5.84442736822281,-1.9546252939458053,2021-11-15,16.187250291728233,146.10101177477594,2.6071881780329136,146.10101177477594,-12.57,-42.83,-20.506666666666668,-30.26,-22.32333333333333,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.5940963859982835,0.06158019911596868,-14.34777777777778,-14.136666666666668,-15.896666666666672,-14.276666666666666,-15.13,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-14.0,-8,-4.8666666666666645,-5.451851851851853,-5.065439519158529,102.3,92.96666666666664,111.1,97.83333333333331,Thu 11-18 11-18,H,167 (Ⅳ),Samford,"L, 78-77",71,107.9,49.2,16.8,30.6,30.2,109.3,61.8,23.8,28.6,21.8,13.5,-13.0,141.5,96.9,91.5,94.75925925925928,93.17017280240418,102.9875,94.875,100.21111111111112,98.23561232156273,20211118,99.4,94.9,4.5,94.7,104.4,-9.700000000000005,104.0,94.3,9.61,68.6,-15.605761226848578,139.63572114023452,72.01536273115221,-14.23455667626159,142.92782399577396,-4.518763501875996,142.92782399577396,-14.23455667626159,142.92782399577396,-4.518763501875996,117.6475317051575,94.4,101.3,-6.89,73.8,99.4,94.9,4.5,94.7,104.4,-9.700000000000005,-4.532996789275457,117.5572411135552,0,89.60758438129048,103.40702322420584,-13.799438842915364,-11.633316187422286,99.25164332954432,101.08733154595662,-1.8356882164122936,-5.654648425344705,2021-11-18,4.892815821007204,142.07673881156467,2.4634289848244038,142.07673881156467,-17.61,-60.44,-27.94777777777778,-42.83,-32.49222222222222,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.8921596253194927,0.3206140280818439,-15.061851851851852,-14.476666666666663,-14.34777777777778,-15.11,-14.276666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-6.5,-1,-4.3666666666666645,-4.134567901234568,-4.417177788402432,116.3,105.3,117.8,109.66666666666669,Sun 11-21 11-21,H,111 (Ⅲ),Princeton,"L, 81-80",65,123.5,62.7,9.3,11.1,29.1,125.1,51.7,10.8,34.2,39.0,31.0,-5.5,130.0,106.6,96.9,101.93950617283951,97.37559592923978,110.39375,102.9875,106.07407407407408,101.79277371764223,20211121,98.8,96.2,2.5999999999999943,98.8,98.3,0.5,104.0,95.7,8.31,68.2,-7.878894616571721,132.09590737027602,65.58065433854908,-5.013647130646611,129.28532809129618,6.3853676909292,129.28532809129618,-5.013647130646611,129.28532809129618,6.3853676909292,125.58877612250296,102.3,100.3,1.98,67.6,98.8,96.2,2.5999999999999943,98.8,98.3,0.5,6.366317656732889,125.5181707246829,0,95.81800895155628,104.24957051105471,-8.431561559498434,-7.124757852719805,107.9896939047268,100.48609701180172,7.5035968929250885,3.994677599344535,2021-11-21,7.027081181429921,140.16916708021972,5.484678386297837,140.16916708021972,-9.31,-69.75,-38.778518518518524,-60.44,-30.971481481481476,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.2516693388218102,-12.444567901234569,-12.676666666666666,-15.061851851851852,-13.95,-15.11,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,3,-2.1666666666666665,-1.48971193415638,-2.9231454632383533,100.0,106.2,96.2,108.36666666666667,Fri 11-26 11-26,N,31 (I),Wake Forest,"L, 80-77 OT",79,97.3,48.3,16.4,19.2,44.8,101.1,50.0,16.4,21.9,40.3,17.0,4.5,140.0,103.3,106.6,101.29300411522637,97.85276030574164,103.296875,110.39375,102.78271604938271,100.77590576898,20211126,101.1,99.4,1.6999999999999886,105.6,96.1,9.5,105.8,98.5,7.28,67.4,0.944670363686555,138.70324717521922,67.59174964438122,5.407590552217599,139.96147272881677,13.362181968973909,139.96147272881677,5.407590552217599,139.96147272881677,13.362181968973909,134.83810041737036,105.4,96.8,8.55,70.5,101.1,99.4,1.6999999999999886,105.6,96.1,9.5,13.490492046427468,134.77225075259676,0,95.79442255727764,103.59531422420426,-7.800891666926617,-7.653536798726017,104.8072309611805,96.81907269019456,7.9881582709859345,12.758712948842051,2021-11-26,10.960256452475107,139.40692124859046,13.796996746162044,139.40692124859046,-4.28,-74.03,-49.10234567901235,-69.75,-24.92765432098765,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.3341175708976246,0.1482811111221376,-8.76971193415638,-9.446666666666667,-12.444567901234569,-12.338333333333333,-13.95,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-14.0,-16,-4.666666666666667,-6.426474622770918,-5.355300833558653,87.7,101.33333333333331,104.0,106.0,Sat 11-27 11-27,N,93 (Ⅱ),Penn St.,"L, 60-45",56,80.6,35.3,9.0,17.6,19.6,107.5,51.9,12.5,23.3,11.1,-27.5,1.0,132.5,95.5,103.3,96.76200274348425,96.00680388651588,103.6484375,103.296875,103.18847736625516,101.36210472007454,20211127,101.1,99.5,1.5999999999999943,103.8,97.7,6.099999999999994,105.5,98.4,7.07,67.5,1.0950875777584272,128.8503216492219,62.603129445234714,2.8967271862593265,129.88488101738818,2.465990521997412,129.88488101738818,2.8967271862593265,129.88488101738818,2.465990521997412,127.70025604678884,106.0,97.2,8.83,65.2,101.1,99.5,1.5999999999999943,103.8,97.7,6.099999999999994,2.7896557401881097,126.28436834379313,0,93.93076315830268,103.33748167000182,-9.40671851169914,-11.01708384550376,98.53443536696427,100.92346613869582,-2.389030771731541,-2.1623321551729062,2021-11-27,4.515676555099148,126.39148192189593,5.543351662751938,126.39148192189593,-23.07,-97.1,-57.411563786008244,-74.03,-39.68843621399175,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.46206285593374585,0.33357438546384655,-13.496474622770918,-11.736666666666668,-8.76971193415638,-13.871428571428574,-12.338333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.5,-15,-9.266666666666666,-9.384316415180612,-7.163427954729806,100.7,96.13333333333333,116.0,105.4,Thu 12-02 12-02,A,138 (Ⅲ),California,"L, 73-61",64,95.5,45.8,11.0,18.4,16.7,114.3,54.8,20.3,39.3,36.5,7.0,2.5,127.0,98.1,95.5,98.07466849565616,96.86011227078572,109.82421875,103.6484375,107.4589849108368,104.02354022551552,20211202,99.8,100.6,-0.7999999999999972,100.2,97.0,3.200000000000003,104.7,99.5,5.26,66.2,3.2072321346515835,123.7009033016439,61.9624466571835,6.064648487176136,125.86141807747288,7.853026967304791,125.86141807747288,6.064648487176136,125.86141807747288,7.853026967304791,125.64340208624112,100.6,96.0,4.65,65.8,99.8,100.6,-0.7999999999999972,100.2,97.0,3.200000000000003,6.26705694758556,118.2717627834241,0,93.50688542318755,104.5800188795432,-11.073133456355649,-10.113510136496602,99.69384440382515,99.42241411793904,0.27143028588611173,-0.2152564563259862,2021-12-02,10.703429946861647,125.74921906194264,7.778549272103639,125.74921906194264,-20.259999999999998,-117.35999999999999,-70.64104252400548,-97.1,-46.7189574759945,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4059036140017165,0.15401265577311551,-14.644316415180612,-14.526666666666666,-13.496474622770918,-14.67,-13.871428571428574,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-11.5,-2,-11.5,-7.222877610120411,-6.388259235688024,99.8,96.06666666666666,102.7,107.56666666666668,Sun 12-05 12-05,H,8 (I-A),Arizona,"L, 90-65",74,87.8,48.3,29.7,41.7,23.7,121.6,53.6,16.2,46.2,34.3,11.5,13.5,143.5,98.95,98.1,98.64977899710412,97.39463731246104,106.262109375,109.82421875,105.87265660722454,103.78289654814908,20211205,99.4,102.0,-2.5999999999999943,110.8,90.0,20.8,104.6,100.1,4.5,66.0,7.555317197639312,138.7017406871215,68.15931721194879,12.489956403958473,140.91629218450157,26.980950635343966,140.91629218450157,12.489956403958473,140.91629218450157,26.980950635343966,138.5585094101252,110.8,89.9,20.88,72.6,99.4,102.0,-2.5999999999999943,110.8,90.0,20.8,22.950437072548137,130.8106795421995,0,95.21175112136424,103.3718232578982,-8.160072136533955,-9.078170771823425,110.51334258033692,86.48726701542577,24.026075564911153,29.67452670082425,2021-12-05,18.42674592700196,136.64047682250003,24.30857641862972,136.64047682250003,-6.5,-123.85999999999999,-86.21402834933699,-117.35999999999999,-37.645971650663,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.09927139684333097,0.0396357963427052,-11.72287761012041,-16.0,-14.644316415180612,-13.76222222222222,-14.67,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-13.0,-13,-10.633333333333336,-9.38191840674694,-7.71766664738111,90.2,96.90000000000002,103.9,107.53333333333336,Tue 12-14 12-14,H,209 (Ⅳ),UC Davis,"L, 71-64",72,89.2,47.3,18.1,19.4,37.5,98.9,54.5,16.7,10.3,29.1,0.0,-6.0,135.0,94.575,98.95,95.83318599806942,96.08652143746812,105.0810546875,106.262109375,105.21510440481636,103.80418808484924,20211214,99.4,102.1,-2.6999999999999886,96.9,99.8,-2.8999999999999915,104.2,100.8,3.44,66.1,-8.280164093050189,135.3957041122613,66.85220483641535,-3.9832630992067237,135.77407547569936,-2.484144682766123,135.77407547569936,-3.9832630992067237,135.77407547569936,-2.484144682766123,130.71194400865687,97.5,100.8,-3.31,71.1,99.4,102.1,-2.6999999999999886,96.9,99.8,-2.8999999999999915,-2.5749733914423842,125.50240409812483,0,95.96098355547164,104.78159056341488,-8.820607007943238,-10.755846759808913,93.43744158112509,95.92491642277786,-2.4874748416527694,-7.239695993037839,2021-12-14,0.3679867851804204,130.05121596476866,0.6471884169751689,130.05121596476866,-16.44,-140.29999999999998,-98.76268556622466,-123.85999999999999,-41.53731443377532,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.7161454169013237,0.48602138661611505,-12.82191840674694,-14.073333333333336,-11.72287761012041,-14.03,-13.76222222222222,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
