ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-1.5,10,,10.900000000000006,10.900000000000006,107.4,0.0,96.5,0.0,Wed 11-10 11-10,H,257 (Ⅳ),Youngstown St.,"W, 75-59",63,119.1,56.7,15.9,38.7,18.3,93.7,48.2,12.7,16.2,17.9,-12.5,-17.5,146.5,107.4,0.0,107.4,107.4,96.5,0.0,96.5,96.5,20211110,106.4,96.7,9.700000000000005,99.3,109.7,-10.400000000000006,106.3,93.9,12.39,70.1,-19.677022372273143,140.69679078499755,69.10284495021337,-18.8607094859493,150.9539104301955,-19.706797371175746,150.9539104301955,-18.8607094859493,150.9539104301955,-19.706797371175746,153.10855248266597,96.4,106.7,-10.23,69.3,106.4,96.7,9.700000000000005,99.3,109.7,-10.400000000000006,-19.706797371175746,153.10855248266597,0,100.2903540871639,91.38104506430564,8.909309022858267,5.766973256434909,102.6232766895352,94.32263197306813,8.300644716467076,10.658308950043716,2021-11-10,-4.310694191496239,133.3157525337116,1.2862677396020814,133.3157525337116,-2.3900000000000006,-2.3900000000000006,0.0,0.0,-2.3900000000000006,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.9522096477271853,0.6592959112516708,-1.4899999999999949,,0.0,-2.3900000000000006,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-29.0,-24,,-0.899999999999995,4.463636363636367,84.0,0.0,108.5,0.0,Mon 11-15 11-15,A,194 (Ⅲ),Massachusetts,"L, 81-56",65,85.8,41.2,23.0,31.3,35.3,124.2,60.2,12.3,21.9,42.6,-5.0,-4.0,142.0,95.7,107.4,99.6,103.14545454545456,102.5,96.5,100.5,98.6818181818182,20211115,104.3,94.7,9.599999999999994,102.1,100.0,2.0999999999999943,106.7,94.2,12.53,69.5,-1.573019344486795,141.60422714387013,71.5761024182077,-1.4532987594363078,147.0167496836173,-10.0599721667983,147.0167496836173,-1.4532987594363078,147.0167496836173,-10.0599721667983,145.89008241064823,101.5,96.9,4.57,72.4,104.3,94.7,9.599999999999994,102.1,100.0,2.0999999999999943,-9.979021663514803,145.90098245287695,0,93.1879084255096,97.69201177369608,-4.504103348186476,0.9689737201593112,106.1408870082626,90.2399418539264,15.900945154336199,16.79576032575205,2021-11-15,18.200197198790534,137.90536860262495,13.510342117330367,137.90536860262495,-36.53,-38.92,-2.3900000000000006,-2.3900000000000006,-36.53,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.6483807083005341,0.04151655163087231,-13.429999999999994,,-1.4899999999999949,-19.46,-2.3900000000000006,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-4.5,5,-2.599999999999999,1.3333333333333357,4.706611570247936,105.2,98.86666666666667,99.4,101.46666666666664,Thu 11-18 11-18,H,316 (Ⅳ),St. Francis NY,"W, 74-59",65,113.2,58.2,22.9,34.6,46.9,90.2,46.7,15.3,25.0,9.8,-7.5,-19.5,140.5,100.45,95.7,101.46666666666668,103.5190082644628,100.95,102.5,100.13333333333335,98.81239669421488,20211118,103.0,95.7,7.299999999999997,98.1,106.3,-8.200000000000003,105.5,95.7,9.77,68.4,-23.18428960167501,144.70269153658015,71.41621621621623,-15.563316395510341,148.91260608346863,-16.082575129637146,148.91260608346863,-15.563316395510341,148.91260608346863,-16.082575129637146,143.41636744879008,91.9,108.9,-16.99,73.4,103.0,95.7,7.299999999999997,98.1,106.3,-8.200000000000003,-15.768813706203675,143.31599756917527,0,93.21993479393352,104.35303029461942,-11.133095500685897,-4.165367860062373,96.84990312163144,107.56743650775805,-10.717533386126604,-19.88078103304001,2021-11-18,-3.5399423306433704,147.0935188834917,-12.982587609347092,147.0935188834917,-4.77,-43.69,-14.566666666666666,-38.92,-29.12333333333333,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9683545838833274,0.6319933242619191,-8.436666666666664,-12.37,-13.429999999999994,-14.563333333333333,-19.46,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.5,2,-5.5,1.622222222222225,4.250864012021038,109.5,99.56666666666666,107.3,105.06666666666666,Mon 11-22 11-22,H,186 (Ⅳ),Cornell,"W, 85-74",72,117.3,62.7,19.3,18.8,38.2,102.1,44.7,12.4,28.9,31.8,19.5,-15.5,139.5,104.975,100.45,104.14444444444446,104.60646130728774,104.125,100.95,102.52222222222224,100.3555972952667,20211122,103.0,95.7,7.299999999999997,92.4,104.9,-12.5,105.4,96.4,8.98,66.8,-15.086303167396352,138.5149179717065,69.08051209103841,-17.77034866176146,139.3755694972686,-0.85180383648811,139.3755694972686,-17.77034866176146,139.3755694972686,-0.85180383648811,137.37661503172504,95.8,103.1,-7.29,72.7,103.0,95.7,7.299999999999997,92.4,104.9,-12.5,-0.9933574822826576,137.38510678164332,0,97.32688043434293,106.18693162524792,-8.860051190904997,-2.443120414483824,105.01113318845702,94.06203318102718,10.949100007429848,10.17626887209523,2021-11-22,10.098955836636222,143.24784795465996,6.708495023607483,143.24784795465996,-6.98,-50.67,-24.274444444444445,-43.69,-26.395555555555557,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9300536172447476,0.16807370315711445,-7.357777777777775,-14.48,-8.436666666666664,-12.6675,-14.563333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
3.0,14,7.466666666666664,5.88148148148148,6.096161464380848,108.6,107.76666666666668,94.2,100.3,Fri 11-26 11-26,N,24 (I-A),LSU,"L, 68-63 OT",68,92.8,53.6,23.6,24.2,10.7,100.1,37.7,10.3,38.6,30.4,-10.5,8.0,141.5,106.7875,104.975,105.62962962962963,105.33255925141724,99.1625,104.125,99.74814814814818,99.23639778703638,20211126,103.8,97.7,6.099999999999994,110.0,92.8,17.200000000000003,106.2,97.4,8.81,66.5,7.759277773295693,137.14866252521182,67.35135135135135,7.689788247949423,140.6323954282641,21.763150684953604,140.6323954282641,7.689788247949423,140.6323954282641,21.763150684953604,127.75149620283446,111.0,90.9,20.08,71.2,103.8,97.7,6.099999999999994,110.0,92.8,17.200000000000003,21.579937142740352,127.8703707616297,0,98.95117559139456,103.56111803016404,-4.60994243876948,-2.1814197574048144,109.38282166957777,78.80916974743215,30.573651922145615,41.79457780921976,2021-11-26,24.3561070359627,131.98195156640347,29.618428631359023,131.98195156640347,5.1899999999999995,-45.480000000000004,-33.07296296296296,-50.67,-12.407037037037043,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.22305842386064167,0.010180471294969462,-2.92851851851852,-1.3433333333333364,-7.357777777777775,-9.096,-12.6675,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
14.0,18,11.766666666666666,10.15432098765432,8.387768470857058,98.8,105.63333333333333,80.1,93.86666666666667,Sat 11-27 11-27,N,215 (Ⅳ),Oregon St.,"W, 60-45",56,107.5,51.9,12.5,23.3,11.1,80.6,35.3,9.0,17.6,19.6,-27.5,-1.0,132.5,102.79375,106.7875,103.35308641975313,104.144821205705,89.63125,99.1625,93.19876543209878,95.75705273484796,20211127,103.8,97.7,6.099999999999994,101.1,99.5,1.5999999999999943,106.0,97.2,8.83,65.2,-1.0950875777584272,128.8503216492219,62.603129445234714,-2.8967271862593265,129.88488101738818,-2.7957354135156383,129.88488101738818,-2.8967271862593265,129.88488101738818,-2.7957354135156383,127.4405099131993,105.5,98.4,7.07,67.5,103.8,97.7,6.099999999999994,101.1,99.5,1.5999999999999943,-3.3496635255981846,126.3161460971954,0,98.53443536696427,100.92346613869582,-2.389030771731541,-2.1623321551729062,93.93076315830268,103.33748167000182,-9.40671851169914,-11.01708384550376,2021-11-27,-4.515676555099148,126.39148192189593,-5.543351662751938,126.39148192189593,9.17,-36.31,-37.208641975308645,-45.480000000000004,0.8986419753086423,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5379371440662541,0.6664256145361535,1.3243209876543194,2.9366666666666656,-2.92851851851852,-6.051666666666667,-9.096,1,-1.0,1,-1,-1,1,-3.0,-3.0
-7.5,3,12.1,7.836213991769549,7.444537839792138,93.5,100.3,90.3,88.19999999999999,Wed 12-01 12-01,H,54 (Ⅱ),Miami FL,"L, 63-58",63,92.3,49.1,22.3,29.0,17.0,100.3,50.9,12.7,14.7,8.6,-12.5,-2.5,133.5,98.146875,102.79375,100.0687242798354,102.2093991683041,89.96562499999999,89.63125,92.23251028806584,94.76486132851196,20211201,104.6,96.8,7.799999999999997,108.3,102.5,5.799999999999997,106.8,96.5,10.31,63.9,-6.525423710451847,133.57032988928438,63.536415362731155,-5.424491354323791,138.34875430080018,-0.48554196520556026,138.34875430080018,-5.424491354323791,138.34875430080018,-0.48554196520556026,130.85876170002365,107.1,100.9,6.26,69.9,104.6,96.8,7.799999999999997,108.3,102.5,5.799999999999997,-3.353723308491265,134.29472992068133,0,97.05234091173824,100.45365250860088,-3.401311596862641,-4.372933437163644,99.67504082430432,104.62842466934708,-4.953383845042765,-5.128175488852558,2021-12-01,-4.606588894343332,131.56240498195837,-2.1743600606733793,131.56240498195837,-7.3100000000000005,-43.620000000000005,-36.909094650205766,-36.31,-6.710905349794238,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.5940963859982835,0.6695687803592929,-2.4737860082304515,1.7899999999999991,1.3243209876543194,-6.231428571428571,-6.051666666666667,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-7.0,-5,5.466666666666669,3.390809327846367,5.090985505284476,96.1,96.13333333333333,101.6,90.66666666666669,Sun 12-05 12-05,H,30 (I),Ohio St.,"L, 76-64",67,95.6,50.0,22.4,20.7,29.4,113.6,62.3,19.4,17.9,22.6,9.5,5.0,130.5,97.1234375,98.146875,98.74581618655697,101.09859931952153,95.7828125,89.96562499999999,95.35500685871057,96.00761381423705,20211205,103.5,96.7,6.799999999999997,114.0,96.6,17.400000000000006,105.7,96.3,9.36,63.0,2.9028306643752373,124.65922139798087,59.95305832147938,2.6956536200323455,129.4375118795917,1.7961062353444823,129.4375118795917,2.6956536200323455,129.4375118795917,1.7961062353444823,118.12046821207532,114.2,93.9,20.28,66.9,103.5,96.7,6.799999999999997,114.0,96.6,17.400000000000006,2.125411455779332,122.33667530085803,0,97.54032674075611,98.88050162815324,-1.3401748873971258,-2.413917168206685,106.5180235966286,100.3007637308536,6.217259865774992,3.2827729374341605,2021-12-05,1.1126108634031269,125.13241471566477,1.7293616299426162,125.13241471566477,-14.36,-57.980000000000004,-39.146063100137184,-43.620000000000005,-18.83393689986282,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.31696934194067294,0.4578058783444964,-5.9691906721536325,-3.893333333333331,-2.4737860082304515,-7.2475000000000005,-6.231428571428571,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
13.0,21,6.433333333333337,9.46053955189758,8.092624504323663,108.4,99.33333333333331,86.8,92.9,Wed 12-08 12-08,H,158 (Ⅲ),Wagner,"W, 74-54",66,111.4,58.0,25.6,34.5,42.0,81.3,44.6,22.6,25.8,10.7,4.0,-7.0,124.0,102.76171875,97.1234375,101.96387745770464,102.42612671597216,91.29140625,95.7828125,92.50333790580706,94.33350221164848,20211208,103.0,97.2,5.799999999999997,103.8,101.6,2.200000000000003,105.5,97.1,8.35,63.2,-6.353090581388749,122.83141636752626,59.96358463726886,-5.86360517433328,126.81695933202491,2.3534322019557012,126.81695933202491,-5.86360517433328,126.81695933202491,2.3534322019557012,110.04238390504513,103.4,99.8,3.55,66.7,103.0,97.2,5.799999999999997,103.8,101.6,2.200000000000003,4.481465672796466,110.75907972325226,0,99.1064087404998,96.72991645071215,2.376492289787649,3.388173315395815,99.5811834668943,91.66421883467684,7.916964632217457,2.741588453857898,2021-12-08,0.1479706996558221,115.32820531668781,-2.1181545789555614,115.32820531668781,12.65,-45.330000000000005,-45.424042066758126,-57.980000000000004,0.09404206675812077,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.7475074624530771,0.494378112905838,1.1105395518975811,-1.9166666666666625,-5.9691906721536325,-5.036666666666665,-7.2475000000000005,1,-1.0,1,-1,-1,1,-3.0,-3.0
-6.0,-3,4.100000000000004,5.040359701265055,5.930329139901178,104.8,103.1,108.6,99.0,Sat 12-11 12-11,A,37 (I-A),Michigan St.,"L, 80-64",67,95.9,46.8,10.5,16.7,11.1,119.9,60.2,16.5,31.3,22.0,14.5,10.0,129.5,103.780859375,102.76171875,102.90925163846978,102.85774004034084,99.945703125,91.29140625,97.86889193720472,96.92741090043968,20211211,102.8,96.0,6.799999999999997,107.9,88.5,19.40000000000001,105.6,96.3,9.28,63.3,10.669294640211291,125.74098424777881,63.5701280227596,11.78057502395761,127.19502354766938,8.297540553224945,127.19502354766938,11.78057502395761,127.19502354766938,8.297540553224945,119.13259565393112,108.9,88.6,20.25,70.6,102.8,96.0,6.799999999999997,107.9,88.5,19.40000000000001,12.906010646396474,120.11509108893299,0,100.50799053750386,98.32000367890808,2.187986858595778,3.6286449354944375,106.16490667117571,84.10605408079066,22.058852590385058,22.22100470530479,2021-12-11,16.40332044045548,123.6420458934713,13.829207667939045,123.6420458934713,-12.28,-57.61000000000001,-45.39269471117209,-45.330000000000005,-12.217305288827916,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.17045190796406517,0.059117968224694395,-4.239640298734944,-5.179999999999995,1.1105395518975811,-5.761000000000001,-5.036666666666665,-1,1.0,-1,-1,-1,-3,1.0,-3.0
8.0,18,12.13333333333334,9.560239800843371,8.233905659919147,113.4,108.86666666666667,94.8,96.73333333333332,Sun 1-02 1-02,H,23 (Ⅱ),Indiana,"W, 61-58",59,103.0,52.0,22.0,35.5,19.6,97.9,43.1,10.1,24.3,20.7,-11.5,5.0,130.5,108.5904296875,103.780859375,106.40616775897986,104.7745145784607,97.3728515625,99.945703125,96.84592795813649,96.54060891854154,20220102,103.9,97.1,6.800000000000011,106.2,88.4,17.799999999999997,105.5,96.5,8.96,63.3,2.245218709327993,123.36385865044895,62.7597439544808,3.7475020615934724,125.45372354984107,5.532836245739902,125.45372354984107,3.7475020615934724,125.45372354984107,5.532836245739902,114.71244185409313,107.2,89.4,17.77,69.7,103.9,97.1,6.800000000000011,106.2,88.4,17.799999999999997,7.5722499367036,119.23870011811704,0,101.43811461755328,98.11428437523789,3.3238302423153954,4.514046855975822,101.72570508940956,92.26052023134798,9.465184858061576,13.580627846431144,2022-01-02,0.5195475289673155,124.53106866192235,3.77390378313315,124.53106866192235,9.04,-48.57000000000001,-49.465129807448065,-57.61000000000001,0.8951298074480576,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.31696934194067294,0.4802681019717191,0.6002398008433705,3.173333333333339,-4.239640298734944,-4.415454545454546,-5.761000000000001,1,-1.0,1,-1,-1,1,-3.0,1.0
