ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-25.5,-35,,-35.3,-35.3,84.7,0.0,120.0,0.0,Tue 11-09 11-09,H,259 (Ⅳ),The Citadel,"L, 78-63",68,92.7,40.0,11.8,34.8,51.7,114.7,56.3,14.7,25.0,17.5,-13.5,-10.5,154.5,84.7,0.0,84.7,84.7,120.0,0.0,120.0,120.0,20211109,98.4,99.3,-0.8999999999999915,101.2,108.5,-7.299999999999997,98.7,98.8,-0.07,69.2,-6.02954991398741,148.13679222963083,73.82645803698436,-9.11184001281589,156.53587536935333,44.839528701974054,156.53587536935333,-9.11184001281589,156.53587536935333,44.839528701974054,162.04037851630162,100.7,103.4,-2.76,75.0,98.4,99.3,-0.8999999999999915,101.2,108.5,-7.299999999999997,44.839528701974054,162.04037851630162,0,99.42603643324912,99.43659200477168,-0.010555571522559148,-4.113333349300341,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-34.93,-34.93,0.0,0.0,-34.93,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,3,0.8413447460685429,0.5,-35.23,,0.0,-34.93,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
2.0,-8,,-26.433333333333337,-30.46363636363636,94.1,0.0,102.8,0.0,Fri 11-12 11-12,A,59 (I),West Virginia,"L, 74-59",69,85.9,61.3,46.6,52.2,42.5,107.8,58.5,20.4,27.3,18.6,-1.0,17.0,134.0,89.4,84.7,87.83333333333334,86.4090909090909,111.4,120.0,114.26666666666668,116.87272727272726,20211112,94.9,98.2,-3.299999999999997,105.6,92.2,13.399999999999991,98.1,98.2,-0.07,69.2,14.114100205748471,135.57497688247037,70.4796586059744,15.547493634436613,138.24367211857637,29.747121963860096,138.24367211857637,15.547493634436613,138.24367211857637,29.747121963860096,116.83070941964822,105.7,90.8,14.88,71.6,94.9,98.2,-3.299999999999997,105.6,92.2,13.399999999999991,29.747121963860096,116.83070941964822,0,99.6937068030254,103.55114404086584,-3.857437237840429,-0.5440304490441055,91.30648634837956,99.71865376971516,-8.412167421335596,-12.60175754672287,2021-11-12,0.40795966529707073,139.81286434979017,-6.65452594412352,139.81286434979017,-7.93,-42.86,-34.93,-34.93,-7.93,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,3,0.05271850889006269,0.48450367423514196,-26.363333333333337,,-35.23,-21.43,-34.93,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
1.0,12,-10.5,-13.45555555555556,-22.65206611570247,89.6,89.46666666666665,77.1,99.96666666666664,Tue 11-16 11-16,H,205 (Ⅳ),UNC Wilmington,"W, 59-51",65,90.9,43.9,26.2,41.7,59.2,78.6,33.9,15.4,27.3,28.8,-28.0,-7.0,138.0,89.5,89.4,88.42222222222223,86.9892561983471,94.25,111.4,101.8777777777778,109.64132231404956,20211116,94.7,98.5,-3.799999999999997,97.9,107.4,-9.5,98.4,98.6,-0.23,68.9,-9.845103235768363,138.8059394041471,69.19402560455191,-7.668577373827972,140.49370336372363,10.081434276527014,140.49370336372363,-7.668577373827972,140.49370336372363,10.081434276527014,125.29928207068085,97.7,106.7,-8.96,70.6,94.7,98.5,-3.799999999999997,97.9,107.4,-9.5,10.111813693746912,125.29817305584895,0,89.17388200107418,106.60580328455664,-17.431921283482467,-21.80755336375234,86.9954686090944,92.02220933105605,-5.0267407219616445,-10.964823598691009,2021-11-16,4.101682398581801,123.64181228884493,5.882559869634036,123.64181228884493,12.23,-30.63,-37.57333333333334,-42.86,6.943333333333339,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.7475074624530771,0.34803300098815715,-13.225555555555559,-10.27,-26.363333333333337,-10.21,-21.43,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
-2.0,8,4.066666666666667,-6.170370370370374,-17.006235912847476,100.5,94.73333333333332,92.1,90.66666666666669,Fri 11-19 11-19,H,82 (Ⅲ),Towson,"W, 63-59",62,101.7,50.0,17.8,25.8,55.3,95.2,42.2,12.9,31.7,31.0,-10.0,-6.0,132.0,95.0,89.5,92.44814814814816,89.44575507137489,93.175,94.25,98.61851851851851,106.45199098422238,20211119,93.7,96.9,-3.200000000000003,99.2,103.7,-4.5,97.2,97.4,-0.22,68.2,-6.321347891349006,130.52887992379814,67.32688477951636,-4.452422152920462,133.3826940405944,4.3128432297477195,133.3826940405944,-4.452422152920462,133.3826940405944,4.3128432297477195,127.26215762814611,97.9,102.2,-4.29,69.4,93.7,96.9,-3.200000000000003,99.2,103.7,-4.5,4.574161078794206,127.17608760514914,0,93.66756042646914,100.33581769866564,-6.668257272196499,-10.112855524733348,99.67039552236253,95.58053718640184,4.089858335960685,1.5156073063045234,2021-11-19,3.567938588518075,130.56691060723261,6.024964629686522,130.56691060723261,8.22,-22.409999999999997,-35.25888888888889,-30.63,12.848888888888894,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7161454169013237,0.3670021900525581,-5.950370370370374,4.286666666666667,-13.225555555555559,-5.6025,-10.21,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
-13.0,-6,4.86666666666667,-6.2135802469135815,-15.059647565057023,95.0,95.03333333333332,101.3,90.16666666666669,Wed 11-24 11-24,H,76 (Ⅲ),Vanderbilt,"L, 68-52",62,83.7,38.0,20.9,27.3,38.0,109.5,57.7,16.1,22.2,21.2,-9.5,3.0,129.5,95.0,95.0,93.29876543209878,90.45561778567036,97.2375,93.175,99.51234567901236,105.5152653507274,20211124,94.2,97.6,-3.3999999999999915,102.2,94.5,7.700000000000003,97.7,98.1,-0.36,66.8,2.9909684799671936,128.24146597956158,66.2298719772404,3.696530934171591,127.97534822324528,4.3440280243629825,127.97534822324528,3.696530934171591,127.97534822324528,4.3440280243629825,117.0737393147989,104.4,94.6,9.73,69.7,94.2,97.6,-3.3999999999999915,102.2,94.5,7.700000000000003,4.384987167781884,117.03919943383758,0,91.374217999524,99.77571860368622,-8.401500604162209,-14.759088699855768,99.84305950611704,92.74235198063816,7.100707525478882,6.784193512043578,2021-11-24,6.597128405390997,124.90569132336864,12.487596493498714,124.90569132336864,-5.64,-28.049999999999997,-30.975925925925928,-22.409999999999997,2.925925925925931,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.26490438933208893,-5.853580246913581,5.22666666666667,-5.950370370370374,-5.609999999999999,-5.6025,-1,-1.0,1,-1,-1,-1,-1.0,-1.0
-15.5,-24,-7.299999999999997,-12.142386831275722,-16.68516618959211,103.0,99.5,127.0,106.8,Sat 11-27 11-27,H,240 (Ⅳ),UMBC,"L, 87-77",70,109.8,56.5,20.0,25.8,40.7,124.0,61.5,11.4,10.3,51.9,33.0,-5.5,131.0,99.0,95.0,96.53251028806584,92.7364145519121,112.11875,97.2375,108.67489711934158,109.42158074150424,20211127,94.4,98.2,-3.799999999999997,98.6,105.3,-6.700000000000003,97.4,99.1,-1.66,66.0,-5.440148619814835,129.14585167210217,65.4366998577525,-5.417012608863288,131.74584310715971,-5.096678521746228,131.74584310715971,-5.417012608863288,131.74584310715971,-5.096678521746228,131.14112201319406,98.6,103.2,-4.59,69.7,94.4,98.2,-3.799999999999997,98.6,105.3,-6.700000000000003,-5.162245105004402,131.1949389942749,0,92.18914295854871,103.53381560526208,-11.344672646713363,-19.83024303558424,104.38201359486776,105.5091621052885,-1.1271485104207386,6.044526265567068,2021-11-27,3.392182526978303,137.60874287848475,15.225660383947698,137.60874287848475,-22.34,-50.39,-30.000617283950618,-28.049999999999997,-20.389382716049383,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.37332300708417276,-10.482386831275722,-5.639999999999997,-5.853580246913581,-8.398333333333333,-5.609999999999999,-1,-1.0,-1,-1,-1,-3,-1.0,-1.0
2.0,1,-9.533333333333337,-7.528257887517153,-13.342408700575364,89.1,95.7,87.4,105.23333333333332,Tue 11-30 11-30,H,116 (Ⅲ),Minnesota,"L, 54-53",60,88.0,41.3,19.9,29.4,28.8,89.6,43.2,11.6,23.1,8.5,-21.0,3.0,128.0,94.05,99.0,94.05500685871058,92.07524826974628,99.759375,112.11875,101.58326474622774,105.41765697032164,20211130,95.6,101.1,-5.5,99.5,93.2,6.299999999999997,98.3,101.5,-3.19,66.4,3.2572456826390876,126.33357803248452,64.8887624466572,4.117239255439955,126.06302865513243,8.331707103597259,126.06302865513243,4.117239255439955,126.06302865513243,8.331707103597259,116.21316237114858,101.7,94.3,7.38,68.7,95.6,101.1,-5.5,99.5,93.2,6.299999999999997,11.70295449903592,117.19368990738727,0,94.37612127940244,102.914577059685,-8.538455780282561,-16.5018109850275,93.80339448203569,89.12163000276406,4.681764479271621,10.238605970457352,2021-11-30,4.906607941169675,120.02328643906876,15.59153791411213,120.02328643906876,4.1899999999999995,-46.2,-36.797078189300414,-50.39,-9.402921810699588,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.38754848109799234,0.32014406094307035,-4.338257887517154,-6.343333333333337,-10.482386831275722,-6.6000000000000005,-8.398333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
13.5,9,-4.26666666666667,-1.852171925011436,-9.189243482288934,111.1,101.06666666666666,101.6,105.33333333333331,Fri 12-03 12-03,A,67 (Ⅱ),Virginia,"L, 57-56",53,105.7,47.8,18.9,35.7,34.8,107.6,50.0,11.3,31.0,13.5,0.5,14.5,112.5,102.575,94.05,99.7366712391404,95.5342940388833,100.6796875,99.759375,101.58884316415184,104.72353752117225,20211203,95.6,100.7,-5.1000000000000085,103.5,93.4,10.099999999999994,97.9,101.1,-3.17,65.6,12.817006064874825,110.58391550048415,55.80199146514936,11.707315589551975,111.56128502978294,12.026291254960729,111.56128502978294,11.707315589551975,111.56128502978294,12.026291254960729,103.89040307305405,106.9,92.5,14.42,59.8,95.6,100.7,-5.1000000000000085,103.5,93.4,10.099999999999994,12.751030101891107,107.40691766762706,0,96.18010897849804,102.58656516017147,-6.406456181673434,-14.039350487830635,102.59578647631707,96.77219397883232,5.8235924974847535,0.5187920985351574,2021-12-03,10.196950227709102,114.28393248745505,9.580562872814205,114.28393248745505,12.17,-34.03,-39.931385459533615,-46.2,5.901385459533614,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.08364680132758417,0.16573975242887096,1.317828074988564,-1.0966666666666702,-4.338257887517154,-4.25375,-6.6000000000000005,1,-1.0,1,-1,-1,1,-3.0,-3.0
6.5,4,5.3666666666666645,0.3985520499923776,-6.627562849145489,104.2,101.46666666666664,99.3,96.1,Thu 12-09 12-09,H,142 (Ⅲ),Colgate,"W, 71-68",66,107.0,47.3,16.6,40.0,49.1,102.4,47.2,18.1,30.3,43.4,2.0,3.5,137.0,103.3875,102.575,101.22444749276028,97.10987694090451,99.98984375,100.6796875,100.82589544276787,103.73743979005,20211209,97.1,101.3,-4.200000000000003,109.3,103.3,6.0,99.3,101.5,-2.15,65.1,0.23858581397989553,134.6665544130326,63.433143669985775,2.9363113804742085,137.2304881701752,-1.1843447781503198,137.2304881701752,2.9363113804742085,137.2304881701752,-1.1843447781503198,139.2566245265775,108.3,104.3,3.99,68.5,97.1,101.3,-4.200000000000003,109.3,103.3,6.0,0.5243922270090213,131.2724367880246,0,95.72668249794684,101.8832957146068,-6.156613216659963,-11.749050639282055,101.70191271666282,103.74873424436151,-2.0468215276986967,-0.8052477517893156,2021-12-09,-0.8979818316268364,132.0719497072647,5.277360391716066,132.0719497072647,6.15,-27.880000000000003,-37.964256973022415,-34.03,10.084256973022413,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,3,0.36944134018176367,0.5340768284459994,2.5485520499923773,7.516666666666664,1.317828074988564,-3.0977777777777775,-4.25375,1,1.0,1,-1,-1,1,1.0,-3.0
-3.0,-20,-1.966666666666664,-6.50096530000508,-9.113460512937218,76.9,97.4,97.2,99.36666666666667,Sun 12-12 12-12,H,157 (Ⅲ),Monmouth,"L, 56-52",64,81.5,36.0,23.5,34.3,46.0,87.8,45.3,20.4,23.5,22.6,-29.0,1.0,137.0,90.14375,103.3875,93.11629832850689,93.43535386074004,98.594921875,99.98984375,99.61726362851192,102.54881437367726,20211212,97.3,100.9,-3.6000000000000085,103.7,98.0,5.700000000000003,98.8,100.8,-1.97,64.9,-0.305954512068503,127.77568261010248,64.71536273115221,2.4438895140829118,132.6120032342685,4.6762492264512625,132.6120032342685,2.4438895140829118,132.6120032342685,4.6762492264512625,128.32108831582468,101.0,97.9,3.06,70.1,97.3,100.9,-3.6000000000000085,103.7,98.0,5.700000000000003,4.9718294112503925,127.12222891296153,0,94.72305748309212,99.75118841086346,-5.028130927771343,-10.343426179516475,103.59704647010572,92.93273180807694,10.664314662028787,8.417147962456715,2021-12-12,6.608642360744,126.7769948440224,10.346395821047757,126.7769948440224,-18.03,-45.910000000000004,-34.60283798201495,-27.880000000000003,-11.307162017985057,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.46206285593374585,0.2645454054544617,-4.5309653000050805,0.003333333333336075,2.5485520499923773,-4.591,-3.0977777777777775,-1,1.0,-1,-1,-1,-3,1.0,1.0
