ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-3.5,-22,,-22.3,-22.3,90.5,0.0,112.8,0.0,Fri 11-12 11-12,A,67 (Ⅱ),Virginia,"L, 73-52",61,85.9,43.4,24.8,33.3,13.2,120.6,52.1,16.5,34.5,61.7,1.5,17.5,123.5,90.5,0.0,90.5,90.5,112.8,0.0,112.8,112.8,20211112,95.5,103.8,-8.299999999999997,99.2,91.3,7.900000000000006,94.8,102.0,-7.2,69.8,16.269421402647694,122.89933532124856,64.2398293029872,13.910827705621067,125.6514581999422,10.114086176005603,125.6514581999422,13.910827705621067,125.6514581999422,10.114086176005603,135.19052528727588,103.8,90.5,13.22,64.7,95.5,103.8,-8.299999999999997,99.2,91.3,7.900000000000006,10.114086176005603,135.19052528727588,0,94.51738810205502,86.19591110285435,8.32147699920067,-2.038525814492834,99.25862345315942,103.67041018487602,-4.411786731716603,-5.880729414388576,2021-11-12,-4.806776617023644,120.7683130968554,-0.7407322381380368,120.7683130968554,-14.8,-14.8,0.0,0.0,-14.8,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.047790352272814696,0.6764477105906049,-15.100000000000001,,0.0,-14.8,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-5.5,-16,,-20.333333333333336,-21.227272727272727,64.5,0.0,80.9,0.0,Mon 11-15 11-15,A,31 (I-A),Virginia Tech,"L, 65-39",68,56.9,30.0,26.3,17.1,30.0,94.9,51.7,21.9,21.9,10.3,-32.0,20.5,136.0,77.5,90.5,81.83333333333334,85.77272727272728,96.85,112.8,102.16666666666669,107.0,20211115,95.6,104.9,-9.300000000000011,106.6,91.7,14.899999999999991,95.3,103.0,-7.68,68.8,20.841443854569754,133.97909615431686,66.84267425320057,20.3778534079471,137.14017574190672,41.29087279950947,137.14017574190672,20.3778534079471,137.14017574190672,41.29087279950947,144.8461753562715,109.9,91.8,18.13,68.3,95.6,104.9,-9.300000000000011,106.6,91.7,14.899999999999991,41.175416927270554,144.68319108896094,0,110.74141700721827,98.35571975620527,12.385697251013,13.63599593982367,95.83718561253168,98.31272039788958,-2.475534785357894,-3.068836189432458,2021-11-15,-6.114771229221063,138.8943384784771,-9.19547443523625,138.8943384784771,-8.32,-23.12,-14.8,-14.8,-8.32,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.025446496381253736,0.7198376094071295,-12.653333333333336,,-15.100000000000001,-11.56,-14.8,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-2.0,-3,-14.200000000000005,-14.85555555555556,-18.07685950413223,98.6,84.53333333333333,102.5,98.73333333333332,Fri 11-19 11-19,A,70 (Ⅱ),Furman,"L, 81-64",69,92.6,43.8,21.7,33.3,12.5,117.2,56.5,17.4,26.7,40.7,7.5,15.0,137.5,88.05,77.5,87.42222222222223,88.10495867768594,99.675,96.85,102.2777777777778,106.18181818181816,20211119,93.8,103.8,-10.0,101.0,96.1,4.900000000000006,93.9,101.9,-8.03,69.1,14.270255930854916,136.28931406750925,69.1,14.26139707666389,138.25908592498388,24.513500012068373,138.25908592498388,14.26139707666389,138.25908592498388,24.513500012068373,126.30797285838986,104.5,97.2,7.31,70.3,93.8,103.8,-10.0,101.0,96.1,4.900000000000006,24.42448944381328,126.12044422815597,0,90.6705961024747,100.58609267657953,-9.915496574104822,-4.214471090988788,103.4465379376614,99.4807975186484,3.9657404190130023,-2.1752172735262985,2021-11-19,13.650342657519722,137.7278596041039,3.28211054262826,137.7278596041039,5.029999999999999,-18.090000000000003,-17.573333333333338,-23.12,-0.5166666666666657,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.07656372550983481,0.09679489225312232,-6.82555555555556,-6.170000000000005,-12.653333333333336,-6.029999999999999,-11.56,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-20.5,-29,-16.600000000000005,-19.73703703703704,-20.15379413974455,51.5,71.53333333333333,81.0,88.13333333333333,Sat 11-20 11-20,N,164 (Ⅲ),Navy,"L, 47-33",66,50.3,24.5,27.5,26.1,20.0,71.7,38.9,29.0,29.7,55.6,-47.5,-6.5,127.5,69.775,88.05,75.44814814814816,81.4495116453794,90.3375,99.675,95.1851851851852,101.60330578512396,20211120,93.9,103.8,-9.899999999999991,100.1,100.1,0.0,94.1,102.4,-8.3,69.1,4.8301253561495585,129.90743273674303,67.3307254623044,6.836423445362087,136.52130456041272,5.6460689004090545,136.52130456041272,6.836423445362087,136.52130456041272,5.6460689004090545,121.76503082876229,98.2,99.2,-0.98,68.5,93.9,103.8,-9.899999999999991,100.1,100.1,0.0,5.6412507002958225,121.64569808508412,0,81.8107030429547,93.87808815271823,-12.067385109763535,-2.342624318398939,92.34268858823276,93.63959242237092,-1.2969038341381633,-2.194813948227273,2021-11-20,6.955383731194473,112.65157015504984,0.09952179454509746,112.65157015504984,-20.7,-38.790000000000006,-17.745555555555562,-18.090000000000003,-21.044444444444444,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.732057505466481,0.2538518462498246,-11.43703703703704,-8.300000000000004,-6.82555555555556,-9.6975,-6.029999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.5,6,-8.833333333333337,-10.85802469135803,-15.234922477972813,98.6,82.89999999999999,91.7,91.73333333333336,Wed 11-24 11-24,H,329 (Ⅳ),William & Mary,"W, 67-54",65,103.6,56.7,24.7,27.6,21.2,83.5,51.2,32.5,24.0,30.2,-13.5,-5.5,134.5,84.1875,69.775,83.16543209876545,84.5677822553104,91.01875,90.3375,94.02345679012348,99.80270473328324,20211124,91.2,102.6,-11.399999999999991,89.8,105.0,-15.200000000000005,92.2,101.2,-8.95,68.1,-5.501161156836503,132.61927686693937,69.06870554765291,-6.284428800759407,132.9678742389566,-3.848838880087532,132.9678742389566,-6.284428800759407,132.9678742389566,-3.848838880087532,114.95551213369389,94.0,106.0,-12.03,71.3,91.2,102.6,-11.399999999999991,89.8,105.0,-15.200000000000005,-3.814488392764072,115.24467091686192,0,84.30592412895552,94.27698512523912,-9.971060996283597,0.3928425774873934,89.11359269669808,102.23701785079842,-13.123425154100346,-16.23414623628715,2021-11-24,-4.910765737414344,120.42774078302594,-13.264790333255327,120.42774078302594,14.95,-23.840000000000007,-24.760370370370378,-38.790000000000006,0.920370370370371,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.6997944856925475,0.6799975596151191,-1.9080246913580314,0.11666666666666181,-11.43703703703704,-4.768000000000001,-9.6975,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
19.5,4,-6.200000000000003,-5.905349794238688,-11.73766384561412,109.8,86.63333333333333,105.8,92.83333333333331,Sun 11-28 11-28,H,272 (Ⅳ),Eastern Kentucky,"W, 88-75",74,118.4,63.2,22.9,37.0,52.8,100.9,42.2,10.8,21.7,43.8,24.0,6.5,139.0,96.99375,84.1875,92.04362139917696,89.15545820889034,98.409375,91.01875,97.94897119341566,100.89312205450446,20211128,91.8,101.9,-10.100000000000009,104.5,98.1,6.400000000000006,92.9,101.1,-8.21,67.1,1.2764177453226466,136.5810050315291,70.05889046941678,7.836683124860144,140.61865176268415,10.94568617885553,140.61865176268415,7.836683124860144,140.61865176268415,10.94568617885553,124.1792032854768,100.6,101.6,-0.92,73.4,91.8,101.9,-10.100000000000009,104.5,98.1,6.400000000000006,10.939076444910295,124.09557245910656,0,88.84484933361068,93.93454727659768,-5.0896979429870015,5.814667267363162,103.06059561989292,104.34180838616376,-1.2812127662708406,0.3402248621771628,2021-11-28,-0.8592177823433644,135.82489220903398,-5.857351229501873,135.82489220903398,12.21,-11.630000000000006,-24.45358024691359,-23.840000000000007,12.823580246913583,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.26794249453351904,0.5326091556019654,2.3046502057613125,2.009999999999998,-1.9080246913580314,-1.9383333333333326,-4.768000000000001,1,-1.0,1,-1,-1,1,-1.0,-3.0
3.0,-16,-1.733333333333339,-9.30356652949246,-12.53081587368428,79.6,96.0,95.7,97.73333333333336,Sat 12-04 12-04,A,62 (I),West Virginia,"L, 67-51",68,74.5,46.0,29.2,24.2,26.0,97.9,45.2,16.1,34.3,22.2,-12.0,19.0,130.0,88.296875,96.99375,87.89574759945131,87.41810217091027,97.0546875,98.409375,97.19931412894375,99.94891804459456,20211204,93.8,101.9,-8.100000000000009,108.1,95.9,12.199999999999989,94.5,101.5,-7.06,67.7,16.8304124714694,128.61327998086446,64.42574679943102,17.05699886629442,132.66174252940698,13.127168920507716,132.66174252940698,17.05699886629442,132.66174252940698,13.127168920507716,119.28192750662323,108.7,94.9,13.81,66.9,93.8,101.9,-8.100000000000009,108.1,95.9,12.199999999999989,15.852311276767479,117.10315790206883,0,87.82766308450458,93.8591831172269,-6.031520032722327,3.5523299876013894,102.8884626603534,94.64316593643557,8.245296723917832,4.658417868971544,2021-12-04,12.2153535162766,119.04081958983653,2.5905839869566307,119.04081958983653,-8.940000000000001,-20.570000000000007,-20.179053497942398,-11.630000000000006,-0.3909465020576093,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.03518483230489555,0.12234031596176664,-2.243566529492461,5.326666666666661,2.3046502057613125,-2.9385714285714295,-1.9383333333333326,-1,1.0,-1,-1,-1,-3,1.0,-1.0
-0.5,-4,-5.533333333333336,-7.702377686328307,-11.070667533014412,94.7,94.7,99.2,100.23333333333332,Sat 12-11 12-11,A,211 (Ⅲ),James Madison,"L, 79-70",75,93.5,52.5,24.0,24.3,23.7,105.5,57.5,14.7,13.5,64.2,15.0,8.5,134.0,91.4984375,88.296875,90.16383173296757,88.74208359438113,98.12734375,97.0546875,97.86620941929586,99.81275112739556,20211211,92.5,101.6,-9.099999999999994,100.0,97.9,2.0999999999999943,94.1,101.3,-7.19,68.3,8.844082737229279,133.44725648618416,68.78577524893313,11.568772338013936,135.58775976813072,11.907565723351558,135.58775976813072,11.568772338013936,135.58775976813072,11.907565723351558,124.2350485361231,99.8,99.5,0.23,70.8,92.5,101.6,-9.099999999999994,100.0,97.9,2.0999999999999943,13.058476281530165,117.50912148004188,0,89.58018568711162,95.39365447482696,-5.813468787715337,2.3837259246170124,96.58876641371828,95.89413063072809,0.6946357829901899,1.5043576830096324,2021-12-11,7.90532987423839,125.54877692014168,1.3585637230132335,125.54877692014168,3.1900000000000004,-17.380000000000006,-20.30936899862827,-20.570000000000007,2.929368998628263,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.20910695659274503,0.225758441762403,-0.5123776863283069,1.6566666666666645,-2.243566529492461,-2.1724999999999994,-2.9385714285714295,-1,-1.0,1,-1,-1,-1,-3.0,1.0
-4.0,-14,-11.600000000000003,-9.86825179088554,-11.639637072466336,85.8,86.69999999999999,100.0,98.3,Mon 12-13 12-13,A,218 (Ⅲ),George Washington,"L, 67-58",69,84.5,47.1,20.4,13.9,37.3,97.6,43.9,10.2,23.1,49.1,-6.0,5.0,131.0,88.64921874999999,91.4984375,88.70922115531171,88.20715930449364,99.063671875,98.12734375,98.57747294619725,99.84679637696,20211213,92.4,100.9,-8.5,93.0,100.1,-7.099999999999994,93.8,101.2,-7.35,69.0,4.066843215899787,130.13567994674705,68.50924608819346,4.603858596174582,130.77786212826967,3.6145319341489937,130.77786212826967,4.603858596174582,130.77786212826967,3.6145319341489937,123.59093886692314,94.6,101.4,-6.81,69.8,92.4,100.9,-8.5,93.0,100.1,-7.099999999999994,4.882639823861645,118.67656539038487,0,90.01322082029783,96.46048416316604,-6.447263342868212,0.8078129487467689,92.27366600492768,98.41201189666457,-6.13834589173689,-2.7409596207058167,2021-12-13,3.786063755684218,124.62815907599526,-0.5315198211975058,124.62815907599526,-6.65,-24.03000000000001,-19.332912665752183,-17.380000000000006,-4.697087334247826,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.31696934194067294,0.3592076556617494,-2.5182517908855395,-4.2500000000000036,-0.5123776863283069,-2.67,-2.1724999999999994,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
-2.0,-16,-11.700000000000005,-12.045501193923696,-12.505157604745184,86.6,89.03333333333335,103.0,100.73333333333332,Sat 12-18 12-18,A,68 (I),Davidson,"L, 74-54",62,86.5,47.9,32.0,33.3,20.8,118.5,63.3,16.0,17.4,30.6,-4.5,18.0,132.5,87.62460937499999,88.64921874999999,88.00614743687447,87.91494852185843,101.0318359375,99.063671875,100.05164863079816,100.42010612660364,20211218,91.2,100.6,-9.399999999999991,109.0,99.0,10.0,92.9,100.9,-7.96,68.5,16.411941908912446,129.85978920281596,64.40753911806543,16.498257127014874,132.50017872864132,15.174172100345382,132.50017872864132,16.498257127014874,132.50017872864132,15.174172100345382,127.15601045361352,110.0,98.0,11.95,66.1,91.2,100.6,-9.399999999999991,109.0,99.0,10.0,18.257866589871174,122.57967632504136,0,90.929747603951,97.87495683719531,-6.945209233244313,-0.5365987949973343,103.67080886144196,100.49302583433725,3.1777830271047094,3.0292728222384846,2021-12-18,10.236253043097165,127.63867577152199,4.122577832065524,127.63867577152199,-8.04,-32.07000000000001,-20.89860844383479,-24.03000000000001,-11.171391556165219,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.04323813274683286,0.1648095858436991,-4.0855011939236965,-3.7400000000000047,-2.5182517908855395,-3.206999999999999,-2.67,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
