ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
11.5,8,,8.5,8.5,101.9,0.0,93.4,0.0,Tue 11-09 11-09,H,263 (Ⅳ),Pepperdine,"W, 82-63",75,109.8,58.2,18.8,25.7,26.2,84.4,42.3,20.1,22.7,18.5,-12.5,-7.5,157.5,101.9,0.0,101.9,101.9,93.4,0.0,93.4,93.4,20211109,107.4,107.4,0.0,101.1,101.7,-0.6000000000000085,105.9,101.7,4.25,72.0,-7.037132184735299,157.35414615327574,75.78947368421052,-5.219346970278735,168.63514301217785,-22.418530543409272,168.63514301217785,-5.219346970278735,168.63514301217785,-22.418530543409272,139.23997244259544,100.8,100.1,0.69,74.0,107.4,107.4,0.0,101.1,101.7,-0.6000000000000085,-22.418530543409272,139.23997244259544,0,95.64775173458943,96.53624343961866,-0.8884917050292245,-3.324602816140359,104.29849278515069,90.19975665010088,14.098736135049805,22.1626250239386,2021-11-09,7.105356700456582,144.42757454873342,16.994649243160254,144.42757454873342,3.75,3.75,0.0,0.0,3.75,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.7624747379730235,0.24929795576089053,4.25,,0.0,3.75,0.0,1,0.0,1,1,1,3,0.0,0.0
-19.5,-19,,-0.9666666666666676,3.336363636363634,83.5,0.0,103.4,0.0,Fri 11-12 11-12,A,2 (I-A),Houston,"L, 79-46",65,70.4,36.0,30.6,33.3,30.0,120.9,49.3,10.7,38.1,26.9,-15.5,13.5,140.5,92.7,101.9,95.76666666666668,98.55454545454546,98.4,93.4,96.73333333333336,95.21818181818182,20211112,104.8,103.7,1.0999999999999943,106.8,90.6,16.200000000000003,105.3,101.1,4.25,72.0,15.911043544760417,141.25895029989513,69.13229018492177,15.263721513220418,145.93316324627318,2.6523750706201668,145.93316324627318,15.263721513220418,145.93316324627318,2.6523750706201668,144.39687997669012,109.9,89.0,20.88,67.5,104.8,103.7,1.0999999999999943,106.8,90.6,16.200000000000003,2.6523750706201668,144.39687997669012,0,106.08925924254672,106.99172909185432,-0.9024698493076073,-5.3969351706207584,101.95954405909715,95.20224477167147,6.757299287425681,2.6024094706200382,2021-11-12,9.889838771051899,148.8861135840331,7.438787400825376,148.8861135840331,-23.25,-19.5,3.75,3.75,-23.25,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.09927139684333097,0.17312463208878315,-5.216666666666668,,4.25,-9.75,3.75,-1,1.0,-1,-1,1,-3,3.0,0.0
6.5,18,2.433333333333332,5.5888888888888895,6.129752066115701,104.9,96.76666666666668,86.2,94.33333333333331,Tue 11-16 11-16,H,210 (Ⅳ),Southern,"W, 81-63",77,104.7,61.4,27.1,25.0,24.6,81.4,44.2,19.4,13.5,25.0,1.0,-11.5,143.0,98.8,92.7,98.81111111111112,99.70826446280992,92.3,98.4,93.22222222222224,93.5785123966942,20211116,103.1,104.1,-1.0,94.9,101.8,-6.899999999999992,104.7,101.8,2.89,71.4,-15.003062162141248,147.0109004121885,74.14224751066857,-8.99388887974311,154.5265255109897,4.285200532837213,154.5265255109897,-8.99388887974311,154.5265255109897,4.285200532837213,129.87723712223908,90.4,102.0,-11.56,73.0,103.1,104.1,-1.0,94.9,101.8,-6.899999999999992,4.181318249487517,129.9272210438268,0,96.75511361738052,95.11590092144782,1.6392126959326987,3.402408782466601,99.09691089546833,97.15205826300098,1.9448526324673452,-0.6483276369854639,2021-11-16,-3.798624176418457,142.65208160755105,-5.107877079647054,142.65208160755105,15.11,-4.390000000000001,-3.9999999999999996,-19.5,-0.390000000000001,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.8632938299430262,0.6412394380338393,2.6988888888888893,-0.45666666666666833,-5.216666666666668,-1.4633333333333334,-9.75,1,-1.0,-1,-1,-1,-1,-3.0,3.0
-1.5,3,0.7333333333333343,4.859259259259262,5.63343350864012,117.7,102.03333333333336,114.3,101.3,Fri 11-19 11-19,A,252 (Ⅲ),New Orleans,"W, 83-78",71,117.0,63.5,25.4,33.3,58.3,110.0,47.1,12.7,41.0,26.1,10.0,-6.5,151.0,108.25,98.8,105.10740740740744,102.9794891059354,103.3,92.3,100.24814814814816,97.34605559729526,20211119,102.4,102.4,0.0,98.1,105.4,-7.300000000000011,104.3,101.1,3.2,71.9,-8.69867763187871,152.22868988938035,74.04779516358465,-1.2424266078236883,157.55554784226388,-1.0733189050679854,157.55554784226388,-1.2424266078236883,157.55554784226388,-1.0733189050679854,146.24015502410074,93.7,107.7,-13.99,72.4,102.4,102.4,0.0,98.1,105.4,-7.300000000000011,-1.1497800497561796,146.1350843022093,0,97.81998661438772,96.65341438401975,1.1665722303679615,10.38207137713286,101.07581557695664,102.50037687567372,-1.4245612987170801,-4.918012706967728,2021-11-19,2.2471722330086266,149.76939663572935,-9.199392448266835,149.76939663572935,-0.20000000000000018,-4.590000000000001,-4.13,-4.390000000000001,-0.46000000000000085,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.732057505466481,0.41526713283359873,1.6592592592592617,-2.466666666666666,2.6988888888888893,-1.1475,-1.4633333333333334,1,1.0,-1,-1,-1,-1,-1.0,-3.0
0.5,-13,2.8000000000000065,-1.3271604938271548,2.118263779796463,119.5,114.03333333333336,133.2,111.23333333333332,Mon 11-22 11-22,N,302 (Ⅳ),Evansville,"W, 109-104 3OT",88,123.8,62.7,14.8,25.0,52.2,118.1,59.2,12.5,24.3,26.3,78.5,-4.5,134.5,113.875,108.25,109.90493827160496,105.98321835940166,118.25,103.3,111.23209876543211,103.8649545796052,20211122,103.1,103.1,0.0,96.6,102.1,-5.5,105.2,102.5,2.75,70.8,-4.149409711046474,133.33975598819558,64.95874822190612,-3.778005788978305,136.48904550363403,-12.422792677000494,136.48904550363403,-3.778005788978305,136.48904550363403,-12.422792677000494,118.60546755609352,97.5,101.1,-3.63,64.5,103.1,103.1,0.0,96.6,102.1,-5.5,-12.71529375030764,118.88210845656018,0,101.09093051154238,102.61989426768986,-1.5289637561474763,3.1817970680682643,89.23703303581308,102.35968047998776,-13.122647444174675,-8.972887665452218,2021-11-22,-7.929384562519907,129.954139788556,-7.895531053214022,129.954139788556,-15.75,-20.34,-4.283333333333333,-4.590000000000001,-16.056666666666665,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.6658824291023754,0.774929351057349,-4.077160493827154,0.050000000000006484,1.6592592592592617,-4.068,-1.1475,-1,1.0,-1,-1,-1,-3,-1.0,-1.0
-0.5,-3,-4.73333333333333,-2.1847736625514385,1.0240340016516505,106.1,114.43333333333334,110.0,119.16666666666669,Tue 11-23 11-23,N,126 (Ⅲ),Oakland,"L, 76-73",69,105.5,49.2,15.9,32.4,23.8,109.8,57.3,11.6,20.7,14.5,5.5,2.5,143.5,109.9875,113.875,108.6366255144033,106.004451384965,114.125,118.25,110.82139917695474,104.98041738331337,20211123,103.4,103.4,0.0,98.7,99.1,-0.3999999999999915,106.4,103.6,2.71,70.6,-0.29817289427684557,142.14327831454392,69.49530583214793,-0.2942334178326007,145.49842511822112,6.323354518946433,145.49842511822112,-0.2942334178326007,145.49842511822112,6.323354518946433,130.72249472603957,99.0,96.8,2.16,69.2,103.4,103.4,0.0,98.7,99.1,-0.3999999999999915,6.611458393947755,130.57854314529249,0,102.3120451333013,103.4119730775558,-1.0999279442545031,3.581878515549957,96.91261292079572,87.84917102264123,9.063441898154494,8.126253189794241,2021-11-23,7.355096786544806,135.23605912556187,3.1581270780247337,135.23605912556187,-5.71,-26.05,-9.635555555555555,-20.34,-16.414444444444445,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4059036140017165,0.24181210734391323,-4.894773662551438,-7.44333333333333,-4.077160493827154,-4.341666666666667,-4.068,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-16.5,-6,-8.0,-3.589849108367628,-0.3257903622850143,112.1,112.56666666666666,118.5,120.56666666666666,Wed 11-24 11-24,N,174 (Ⅲ),Fordham,"L, 84-74",73,101.3,52.5,20.5,18.8,22.0,115.0,56.7,12.3,21.9,35.0,16.0,-6.5,142.0,111.04375,109.9875,109.79108367626888,107.11273295133498,116.3125,114.125,113.3809327846365,107.43852331362,20211124,104.4,104.7,-0.2999999999999971,93.9,97.2,-3.299999999999997,106.5,104.2,2.36,70.3,-5.925692537313438,138.70448656716417,69.0,-2.2349104477611945,141.14524477611943,1.1033048026865622,141.14524477611943,-2.2349104477611945,141.14524477611943,1.1033048026865622,139.51927671970148,92.8,98.9,-6.1,69.0,104.4,104.7,-0.2999999999999971,93.9,97.2,-3.299999999999997,-0.30281560388060225,139.29041605044776,0,101.32237329772016,105.1549555487433,-3.8325822510231404,2.83126950509316,95.52104957952952,96.63544283660414,-1.1143932570746244,2.1085130020899028,2021-11-24,1.788629948586248,140.1338242400378,-0.4987019870722378,140.1338242400378,-8.36,-34.41,-15.107037037037038,-26.05,-19.302962962962958,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.732057505466481,0.4323691328168573,-5.949849108367628,-10.36,-4.894773662551438,-4.9157142857142855,-4.341666666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-14.0,-5,-5.200000000000003,-4.159899405578418,-1.2301921145968295,98.5,105.56666666666666,103.8,110.76666666666668,Tue 11-30 11-30,H,140 (Ⅲ),Texas St.,"L, 80-69",72,95.8,57.4,23.6,18.8,25.9,111.1,49.2,11.1,18.8,40.7,9.5,-3.0,139.5,104.771875,111.04375,106.02738911751258,105.5467815056377,110.05625,116.3125,110.187288523091,106.77697362023454,20211130,106.3,107.3,-1.0,102.6,99.6,3.0,107.6,106.3,1.24,69.9,-3.8561513266957945,139.2594555296389,64.23243243243243,-1.2068028039790306,142.2770903714823,-0.46511714279260213,142.2770903714823,-1.2068028039790306,142.2770903714823,-0.46511714279260213,156.23038145350606,102.5,101.2,1.32,64.6,106.3,107.3,-1.0,102.6,99.6,3.0,0.8922244770967991,149.8578097238452,0,99.48560531427466,103.7267024059855,-4.2410970917108415,-0.41414248751356,109.4611178903054,103.84980802123214,5.611309869073267,5.881016377349878,2021-11-30,2.73815646149707,142.7537783744658,2.1958644711951933,142.7537783744658,-6.24,-40.65,-21.54135802469136,-34.41,-19.10864197530864,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6124515189020077,0.39713231598139187,-5.399899405578418,-6.440000000000003,-5.949849108367628,-5.08125,-4.9157142857142855,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.0,6,-1.599999999999999,-0.473266270385611,0.248024633511686,112.7,107.76666666666664,105.8,109.36666666666667,Sat 12-11 12-11,A,340 (Ⅳ),Houston Baptist,"W, 88-73",74,118.5,61.7,16.2,24.2,20.3,98.3,42.3,20.2,43.9,40.0,13.5,-14.0,147.5,108.7359375,104.771875,108.2515927450084,106.84736668643085,107.928125,110.05625,108.724859015394,106.59934205291916,20211211,106.7,107.5,-0.7999999999999972,91.8,110.1,-18.3,107.4,107.2,0.21,69.7,-12.07084595287867,149.97152699789035,68.70853485064012,-8.965459178052583,151.74396333584983,-7.474662683826999,151.74396333584983,-8.965459178052583,151.74396333584983,-7.474662683826999,146.7647942158462,91.5,113.5,-22.05,69.3,106.7,107.5,-0.7999999999999972,91.8,110.1,-18.3,-8.901857444373867,138.01278328481638,0,100.60963469142855,103.10314681654684,-2.4935121251182863,0.5538813763000809,86.85578784637049,100.36418747265306,-13.508399626282568,-15.751574360626552,2021-12-11,-4.2864657927584915,133.84987493002544,-9.425590332272812,133.84987493002544,5.79,-34.86,-27.91090534979424,-40.65,-6.949094650205758,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9087887802741321,0.6584493629590096,-0.6832662703856109,-1.809999999999999,-5.399899405578418,-3.8733333333333335,-5.08125,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
15.0,10,4.133333333333336,3.284489153076258,2.1665656092368337,98.0,103.06666666666668,87.2,98.93333333333334,Thu 12-16 12-16,H,353 (Ⅳ),Incarnate Word,"W, 85-55",74,115.3,59.4,21.7,35.3,18.8,74.6,32.1,8.1,15.7,17.1,-9.0,-15.0,149.0,103.36796875,108.7359375,104.83439516333894,105.23875456162524,97.5640625,107.928125,101.54990601026267,103.07218895238842,20211216,106.2,106.6,-0.3999999999999915,97.4,113.1,-15.699999999999989,106.7,106.5,0.29,70.3,-20.739173234218526,149.6000499831857,68.2,-15.75646224299463,156.77332140083104,-15.53917775707473,156.77332140083104,-15.75646224299463,156.77332140083104,-15.53917775707473,158.91826172786747,91.7,114.4,-22.75,68.2,106.2,106.6,-0.3999999999999915,97.4,113.1,-15.699999999999989,-14.556503908010871,153.75177781324132,0,99.1905039236574,101.49653228081236,-2.3060283571549576,1.7253619171103702,94.9480671024834,109.98770995903028,-15.039642856546877,-13.573693438504636,2021-12-16,-12.911156763401323,143.7968592919847,-12.230427883163173,143.7968592919847,9.71,-25.15,-30.227270233196165,-34.86,5.077270233196167,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9234362744901652,0.8905828997645548,2.994489153076258,3.8433333333333364,-0.6832662703856109,-2.515,-3.8733333333333335,1,-1.0,1,-1,-1,1,-3.0,-3.0
