ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.5,-18,,-18.700000000000003,-18.700000000000003,95.0,0.0,113.7,0.0,Tue 11-09 11-09,A,289 (Ⅳ),Duquesne,"L, 73-61",64,95.0,47.4,20.2,28.1,15.8,113.7,49.2,10.9,29.7,21.3,-15.0,7.5,149.0,95.0,0.0,95.0,95.0,113.7,0.0,113.7,113.7,20211109,104.2,107.1,-2.8999999999999915,97.3,100.3,-3.0,97.9,104.2,-6.27,70.5,7.525322123108367,137.98754339446964,69.99857752489332,3.9687518393477603,149.55164034013836,20.549601439733124,149.55164034013836,3.9687518393477603,149.55164034013836,20.549601439733124,154.35200747055202,97.5,98.4,-0.82,69.8,104.2,107.1,-2.8999999999999915,97.3,100.3,-3.0,20.549601439733124,154.35200747055202,0,97.0289484875628,99.08501288270712,-2.0560643951443183,-4.992175506255465,96.87948166675694,97.08263135293048,-0.20314968617353202,-1.139260797284665,2021-11-09,5.101152084304104,136.31647208851354,4.5968588055034445,136.31647208851354,-11.73,-11.73,0.0,0.0,-11.73,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.23752526202697655,0.31354597544140417,-12.430000000000003,,0.0,-11.73,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-3.0,-3,,-13.56666666666667,-15.9,115.8,0.0,119.1,0.0,Fri 11-12 11-12,H,321 (Ⅳ),Coppin St.,"W, 81-69",68,119.5,51.8,13.3,38.2,56.4,101.8,55.2,23.6,19.4,56.3,-7.0,-15.0,157.0,105.4,95.0,101.93333333333334,98.78181818181818,116.4,113.7,115.5,114.68181818181816,20211112,101.5,105.2,-3.700000000000003,91.5,105.0,-13.5,97.3,103.6,-6.27,70.5,-17.465678410777784,149.95345170477935,77.21906116642958,-12.610686177041003,160.14202680687865,-14.236622682301398,160.14202680687865,-12.610686177041003,160.14202680687865,-14.236622682301398,158.16969901410124,85.6,108.9,-23.33,77.0,101.5,105.2,-3.700000000000003,91.5,105.0,-13.5,-14.420254744098306,158.1353439025552,0,98.27676629382798,92.60217344018244,5.674592853645535,8.120044841196929,106.48709876625128,103.16711125700304,3.319987509248236,5.71486107902082,2021-11-12,-6.605876918559929,157.74107860165736,-4.168958615647739,157.74107860165736,3.2699999999999996,-8.46,-11.73,-11.73,3.2699999999999996,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9234362744901652,0.735368395752054,-7.29666666666667,,-12.430000000000003,-4.23,-11.73,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-6.0,-6,-9.633333333333333,-11.344444444444443,-14.263636363636362,75.7,95.5,82.6,105.13333333333333,Sun 11-14 11-14,H,356 (Ⅳ),Delaware St.,"W, 63-53",77,82.0,35.9,15.6,29.8,22.5,69.0,35.8,27.3,26.8,25.0,-33.5,-16.0,149.5,90.55,105.4,93.1888888888889,94.58512396694216,99.5,116.4,104.53333333333336,108.8487603305785,20211114,102.3,106.0,-3.700000000000003,96.7,110.5,-13.799999999999995,98.3,104.8,-6.59,69.0,-15.253585072592287,143.4078466842388,71.2574679943101,-12.0833154669469,157.36203626375948,-9.366543906800404,157.36203626375948,-12.0833154669469,157.36203626375948,-9.366543906800404,120.2732346068457,88.7,110.7,-21.95,72.6,102.3,106.0,-3.700000000000003,96.7,110.5,-13.799999999999995,-9.381595193073958,120.29908876566259,0,0.0,0.0,0.0,0.0,109.46832444186416,109.15078971413097,0.31753472773318947,-1.2102978519319951,2021-11-14,0.0,0.0,,0.0,0.5899999999999999,-7.870000000000001,-10.64,-8.46,2.7699999999999996,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0.9362218501099964,0.5,-4.754444444444443,-3.043333333333333,-7.29666666666667,-2.623333333333334,-4.23,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
-9.0,-22,-10.866666666666664,-15.029629629629632,-15.74297520661157,85.8,92.43333333333334,108.2,103.3,Wed 11-17 11-17,A,326 (Ⅳ),Bucknell,"L, 81-74",76,97.3,38.0,10.5,35.2,14.5,106.5,58.2,18.4,16.1,40.0,10.5,-2.0,144.5,88.17500000000001,90.55,90.72592592592594,92.98782870022538,103.85,99.5,105.75555555555556,108.73080390683695,20211117,99.9,103.4,-3.5,93.0,105.6,-12.599999999999994,96.4,103.3,-6.93,69.8,0.22622538074793397,141.73178810505098,71.98435277382646,-2.7148576289286837,148.28865471250856,5.504918296315299,148.28865471250856,-2.7148576289286837,148.28865471250856,5.504918296315299,143.84547617377402,93.3,105.4,-12.06,72.5,99.9,103.4,-3.5,93.0,105.6,-12.599999999999994,5.73543418514411,143.9404335144,0,104.27002784499244,104.11772094090487,0.15230690408756686,-4.386889768121223,92.0189216596691,103.75423322763044,-11.735311567961332,-11.223576544980547,2021-11-17,-4.908142282917709,149.9460464753361,-3.063102153795299,149.9460464753361,-15.07,-22.94,-9.716666666666669,-7.870000000000001,-13.223333333333333,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.5755320005597261,0.6799082040098406,-8.099629629629632,-3.936666666666664,-4.754444444444443,-5.735,-2.623333333333334,-1,-1.0,-1,-1,-1,-3,-1.0,-1.0
-6.5,-16,-15.233333333333334,-15.486419753086423,-15.86243425995492,86.5,82.66666666666667,102.9,97.9,Sat 11-20 11-20,A,146 (Ⅱ),Buffalo,"L, 87-65",78,82.8,38.7,16.6,29.4,26.8,110.9,54.6,24.2,41.0,35.4,0.5,15.5,151.5,87.3375,88.17500000000001,89.3172839506173,91.8082234820026,103.375,103.85,104.80370370370372,107.67065774195753,20211120,99.3,104.1,-4.799999999999997,105.1,96.4,8.699999999999989,96.3,103.7,-7.43,70.3,16.49334019170628,148.64579515805372,72.6,14.422920859226252,152.58309554229726,21.406819910574487,152.58309554229726,14.422920859226252,152.58309554229726,21.406819910574487,157.46121450910113,107.2,97.7,9.5,72.6,99.3,104.1,-4.799999999999997,105.1,96.4,8.699999999999989,20.962096101705015,157.12907397978697,0,93.52940347566977,102.90880323842131,-9.379399762751547,-6.8082473247974775,103.629967527138,100.5653630797114,3.0646044474266034,2.8917878655796305,2021-11-20,13.515822606712945,149.26999348630693,9.035218654270295,149.26999348630693,-8.57,-31.51,-14.124444444444446,-22.94,-17.385555555555555,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.06994638275525245,0.09900859990259847,-8.056419753086423,-7.803333333333335,-8.099629629629632,-6.302000000000001,-5.735,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-4.5,1,-12.600000000000003,-9.990946502057618,-12.796537121781297,82.8,85.03333333333333,81.8,97.63333333333334,Tue 11-23 11-23,N,102 (Ⅲ),Middle Tennessee,"L, 60-54",70,77.3,41.8,30.0,32.4,14.5,85.9,39.5,24.3,43.9,33.9,-25.0,1.5,139.0,85.06875,87.3375,87.1448559670782,90.17036466709304,92.5875,103.375,97.13580246913584,102.96690178887432,20211123,98.8,104.1,-5.299999999999997,97.6,102.5,-4.900000000000006,96.4,104.1,-7.65,70.2,-0.3020364153627355,136.75522283603323,69.70071123755335,0.23657667508827274,144.73669661592464,11.28951908920932,144.73669661592464,0.23657667508827274,144.73669661592464,11.28951908920932,135.63920224831338,94.5,102.5,-7.99,69.8,98.8,104.1,-5.299999999999997,97.6,102.5,-4.900000000000006,11.043250566612857,135.84414751483254,0,91.26892345191942,100.75298438843188,-9.484060936512464,-9.135566097693594,95.16995608576246,93.72463205290695,1.4453240328555097,6.966642045882132,2021-11-23,7.380613173283606,129.43800053130582,11.223353601023533,129.43800053130582,8.65,-22.86,-19.919629629629632,-31.51,-2.940370370370367,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.2410541929451382,-2.3409465020576175,-4.950000000000003,-8.056419753086423,-3.8099999999999996,-6.302000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.0,-10,-8.766666666666671,-10.29396433470508,-12.451712190548331,97.0,88.76666666666667,107.9,97.53333333333336,Wed 11-24 11-24,N,326 (Ⅳ),Bucknell,"W, 85-79",76,112.0,48.5,10.5,32.5,35.3,104.1,52.7,21.1,18.8,42.9,15.0,-2.0,149.0,91.034375,85.06875,90.42990397805214,91.4121165458034,100.24375,92.5875,100.72386831275723,103.86382873635172,20211124,99.0,104.2,-5.200000000000003,95.6,106.4,-10.800000000000011,95.0,103.3,-8.32,69.9,-2.048771804844918,144.83390185388845,72.88293029871977,-4.262589727889733,152.7099146690445,3.293855813870831,152.7099146690445,-4.262589727889733,152.7099146690445,3.293855813870831,139.76126998597655,95.3,106.6,-11.34,73.3,99.0,104.2,-5.200000000000003,95.6,106.4,-10.800000000000011,4.542245118176046,142.36362138289712,0,93.15816147232512,100.61449538761828,-7.456333915293158,-6.814245509165591,98.31854185756892,107.83741344446,-9.51887158689108,-8.075467148034669,2021-11-24,-1.1449614808482806,148.5603247781203,-0.9192152879693367,148.5603247781203,-1.6799999999999997,-24.54,-20.899753086419757,-22.86,-3.640246913580242,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.5755320005597261,0.5434161846753705,-1.9739643347050801,-0.44666666666667076,-2.3409465020576175,-3.5057142857142853,-3.8099999999999996,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
10.0,4,-1.7333333333333345,-5.29597622313672,-9.33321906499409,100.5,93.43333333333334,95.8,95.16666666666669,Sun 11-28 11-28,A,104 (Ⅱ),South Carolina,"L, 65-58",66,87.9,41.2,21.2,35.1,31.6,98.6,45.5,18.2,36.8,47.3,-24.0,17.0,147.0,95.7671875,91.034375,93.78660265203476,93.06445899202096,98.021875,100.24375,99.08257887517148,102.39767805701504,20211128,97.2,103.1,-5.899999999999992,97.5,93.6,3.9000000000000057,96.1,104.0,-7.91,69.7,16.67138354040089,142.14765199819436,72.17866287339972,11.002960247173974,141.57159949419645,17.85463992600089,141.57159949419645,11.002960247173974,141.57159949419645,17.85463992600089,120.5956606694869,103.4,93.5,9.96,72.8,97.2,103.1,-5.899999999999992,97.5,93.6,3.9000000000000057,18.20580565706522,127.96406927583553,0,93.87346122706408,100.55404780345138,-6.680586576387299,-7.994537960286862,95.25115718859364,88.52262179836177,6.728535390231869,5.614750714196964,2021-11-28,13.057451033419582,132.31719250231657,11.819957371690208,132.31719250231657,11.91,-12.629999999999999,-22.113168724279838,-24.54,9.483168724279839,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.05271850889006269,0.10682952718057914,2.61402377686328,6.176666666666666,-1.9739643347050801,-1.5787500000000003,-3.5057142857142853,1,-1.0,1,-1,-1,1,-3.0,-3.0
-9.0,-14,-7.033333333333336,-8.497317482091148,-10.345361053176983,81.6,93.03333333333336,96.5,100.06666666666666,Tue 11-30 11-30,A,98 (Ⅱ),Mississippi,"L, 75-51",70,72.6,31.7,15.7,22.9,25.4,106.7,46.2,18.5,44.4,34.8,-8.0,15.0,134.0,88.68359375,95.7671875,89.72440176802317,90.98001190256258,97.2609375,98.021875,98.22171925011436,101.32537295573958,20211130,97.7,103.1,-5.399999999999992,101.8,93.8,8.0,96.6,103.9,-7.29,69.1,15.26673813367151,130.07412555459615,66.0529160739687,12.74422191360626,133.4038286197581,13.408993124348973,133.4038286197581,12.74422191360626,133.4038286197581,13.408993124348973,122.36376704914025,103.5,93.0,10.54,67.2,97.7,103.1,-5.399999999999992,101.8,93.8,8.0,14.729722317526571,125.42986528108176,0,92.1173605860646,100.31152619742772,-8.194165611363118,-7.67368094527122,97.7678041205349,98.01508956991562,-0.24728544938071195,-6.378462408280544,2021-11-30,8.84288707979443,127.72018640753686,2.5750653569012485,127.72018640753686,-6.71,-19.34,-18.952112482853224,-12.629999999999999,-0.38788751714677616,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.07656372550983481,0.19984368128825825,-1.207317482091148,0.25666666666666416,2.61402377686328,-2.14888888888889,-1.5787500000000003,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-13.5,-25,-11.800000000000002,-14.0648783213941,-13.046204498053896,72.8,84.96666666666665,98.0,96.76666666666668,Fri 12-03 12-03,A,99 (Ⅱ),Iona,"L, 80-54",78,69.6,31.3,23.2,19.5,41.1,103.0,47.6,23.2,35.9,41.9,-7.0,12.5,141.0,80.741796875,88.68359375,84.08293451201546,87.67455519300574,97.63046875,97.2609375,98.14781283340956,100.72075969105964,20211203,96.0,102.5,-6.5,103.2,97.2,6.0,95.8,103.9,-8.13,69.3,12.887451760852564,137.88159399353424,69.59573257467994,12.855188126872747,142.1087140034878,12.801265235307019,142.1087140034878,12.855188126872747,142.1087140034878,12.801265235307019,132.45459112884407,101.9,96.9,5.0,70.6,96.0,102.5,-6.5,103.2,97.2,6.0,13.92885847477996,132.67205803752006,0,90.7845263232052,100.0290129150505,-9.244486591845302,-8.041917457166647,104.54510503315736,90.87345412707602,13.67165090608134,15.959698398430714,2021-12-03,19.461795969420088,133.7374640509091,18.729927023650802,133.7374640509091,-16.869999999999997,-36.209999999999994,-19.08140832190215,-19.34,-17.128591678097845,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.11692964134637251,0.03190504960996954,-5.9348783213941,-3.6700000000000017,-1.207317482091148,-3.6210000000000013,-2.14888888888889,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
