ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
12.5,0,,-0.7000000000000028,-0.7000000000000028,102.2,0.0,102.9,0.0,Tue 11-09 11-09,A,227 (Ⅲ),La Salle,"W, 86-81 OT",83,103.5,53.6,20.5,27.5,22.9,97.4,47.5,10.8,23.5,17.7,20.0,7.5,147.0,102.2,0.0,102.2,102.2,102.9,0.0,102.9,102.9,20211109,101.5,108.4,-6.900000000000006,99.8,104.0,-4.200000000000003,98.3,104.7,-6.43,71.2,5.948720253515745,147.10467052179123,73.12432432432432,6.434920695903514,159.86048322321074,-8.87615254812998,159.86048322321074,6.434920695903514,159.86048322321074,-8.87615254812998,142.3622948589627,97.7,101.5,-3.85,72.2,101.5,108.4,-6.900000000000006,99.8,104.0,-4.200000000000003,-8.87615254812998,142.3622948589627,0,98.45237578272535,94.7381744707106,3.714201312014751,-1.3885764657630475,98.1761244135649,92.72190163740672,5.45422277615819,10.351444998380371,2021-11-09,5.14583823933765,137.8262691820493,10.72404897103037,137.8262691820493,6.43,6.43,0.0,0.0,6.43,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.23752526202697655,0.31203870430823955,5.729999999999997,,0.0,6.43,0.0,1,0.0,1,1,1,3,0.0,0.0
-11.0,-5,,-2.400000000000001,-1.627272727272729,108.3,0.0,114.1,0.0,Thu 11-11 11-11,A,34 (I-A),Providence,"L, 92-64",69,92.6,49.2,23.2,27.0,13.6,133.1,65.8,15.9,34.5,42.1,14.5,17.0,141.5,105.25,102.2,104.23333333333332,103.3090909090909,108.5,102.9,106.63333333333334,104.93636363636364,20211111,99.2,105.6,-6.399999999999992,104.5,92.9,11.599999999999994,97.8,105.1,-7.34,70.8,16.709360456575908,144.9707898053358,71.80711237553342,17.529382085876662,149.12558681609733,6.871317791586321,149.12558681609733,17.529382085876662,149.12558681609733,6.871317791586321,148.85424385397647,104.7,94.4,10.32,71.3,99.2,105.6,-6.399999999999992,104.5,92.9,11.599999999999994,6.871317791586321,148.85424385397647,0,99.00479004541488,94.23913493126908,4.765655114145801,-0.1731606753278732,0.0,0.0,0.0,0.0,2021-11-11,-0.0,0.0,,0.0,2.34,8.77,6.43,6.43,2.34,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.05271850889006269,0.5,4.9399999999999995,,5.729999999999997,4.385,6.43,1,1.0,1,1,1,3,3.0,0.0
-19.5,-26,-10.933333333333332,-10.366666666666667,-6.113223140495869,89.2,99.9,115.5,110.83333333333331,Sun 11-14 11-14,H,303 (Ⅳ),Binghamton,"L, 72-60",67,89.7,43.0,20.9,26.7,48.0,107.7,60.7,20.9,26.9,12.5,-13.5,-7.5,145.5,97.225,105.25,99.22222222222224,100.74380165289254,112.0,108.5,109.5888888888889,106.85702479338842,20211114,99.8,106.4,-6.6000000000000085,95.3,107.0,-11.700000000000005,97.2,106.5,-9.3,69.7,-6.41897224993059,140.585724217409,70.39402560455193,-8.080067494980725,150.1018697175062,-11.672185002165502,150.1018697175062,-8.080067494980725,150.1018697175062,-11.672185002165502,135.5684616946079,92.5,105.0,-12.57,71.0,99.8,106.4,-6.6000000000000085,95.3,107.0,-11.700000000000005,-11.62398101530081,135.5740082487053,0,94.58598623156033,105.47279864538994,-10.886812413829617,-11.59019664096575,99.68307891038825,93.47160952810115,6.211469382287092,-1.0043047908768243,2021-11-14,8.148023088352545,139.11116588232096,5.604923574372073,139.11116588232096,-16.7,-7.93,7.21,8.77,-15.14,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.21887384377198837,-1.0666666666666664,-1.633333333333331,4.9399999999999995,-2.6433333333333335,4.385,-1,1.0,-1,-1,1,-3,3.0,3.0
-9.0,-20,-17.399999999999995,-13.61111111111111,-8.656273478587527,95.0,97.5,115.1,114.9,Sat 11-20 11-20,H,210 (Ⅳ),Fairfield,"L, 71-61",64,95.8,40.7,9.4,17.6,23.7,111.5,49.2,9.4,38.2,22.6,-7.5,1.0,139.5,96.1125,97.225,97.81481481481484,99.69947407963934,113.55,112.0,111.42592592592594,108.35574755822688,20211120,98.4,106.2,-7.799999999999997,97.2,99.7,-2.5,96.7,106.0,-9.26,69.8,-0.633023905222899,136.61149111776447,69.50213371266003,-0.3661690194526841,143.16595197393747,4.028980885313699,143.16595197393747,-0.3661690194526841,143.16595197393747,4.028980885313699,146.6454832036371,95.4,99.8,-4.48,70.0,98.4,106.2,-7.799999999999997,97.2,99.7,-2.5,4.098769155516107,146.58804890608738,0,96.0166066094322,108.14264062025048,-12.126034010818273,-14.568418442654483,105.30943330829209,96.29257063199358,9.016862676298501,4.626901752667569,2021-11-20,11.137391308493136,146.40629797796427,11.491831291892652,146.40629797796427,-10.74,-18.67,2.1633333333333344,-7.93,-20.833333333333336,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.46206285593374585,0.14441223576141304,-4.351111111111111,-8.139999999999995,-1.0666666666666664,-4.6675,-2.6433333333333335,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
4.5,-4,-16.933333333333334,-10.540740740740745,-7.8824055733897955,96.3,93.5,100.7,110.43333333333334,Mon 11-22 11-22,A,241 (Ⅲ),Stony Brook,"L, 75-72",71,100.9,56.8,23.8,35.3,25.4,105.1,49.2,12.6,25.6,21.2,5.5,7.5,141.5,96.20625,96.1125,97.3098765432099,99.08138788334128,107.125,113.55,107.85061728395064,106.96379345673108,20211122,98.3,107.0,-8.700000000000003,98.3,98.6,-0.2999999999999971,97.2,107.4,-10.23,68.4,8.193236891681885,135.84589838246572,66.74594594594595,9.520289377589975,138.43286597513486,7.747516181530993,138.43286597513486,9.520289377589975,138.43286597513486,7.747516181530993,134.40925413635398,98.2,101.7,-3.48,68.6,98.3,107.0,-8.700000000000003,98.3,98.6,-0.2999999999999971,7.783679463826827,134.45451838692455,0,97.91999645794915,108.0384700200303,-10.11847356208115,-13.455697485186668,87.75251329915551,102.14400592089436,-14.391492621738848,-11.431250920833936,2021-11-22,0.16496885350937873,133.19482801625026,2.9875680882044406,133.19482801625026,6.23,-12.440000000000001,-4.781111111111111,-18.67,-7.658888888888891,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.23752526202697655,0.49373234827574863,-0.3107407407407443,-6.703333333333333,-4.351111111111111,-2.4879999999999995,-4.6675,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.5,-36,-20.33333333333333,-19.19382716049383,-13.085604560046196,93.9,95.06666666666668,130.4,115.4,Tue 11-30 11-30,A,345 (Ⅳ),NJIT,"L, 75-70",68,102.6,47.5,17.6,33.3,27.9,110.0,50.9,13.2,30.6,44.8,10.5,2.5,134.5,95.053125,96.20625,96.1732510288066,98.1393173590974,118.7625,107.125,115.36707818930044,111.2249219191436,20211130,99.8,108.1,-8.299999999999997,95.9,100.6,-4.699999999999989,98.4,108.4,-10.0,68.5,4.674528061823395,133.26121654278327,66.94096728307255,6.162573620896168,140.07585694359744,7.561249025430849,140.07585694359744,6.162573620896168,140.07585694359744,7.561249025430849,125.24958659232352,92.9,100.9,-8.0,68.7,99.8,108.1,-8.299999999999997,95.9,100.6,-4.699999999999989,7.369677758038601,125.31564121654743,0,97.40081492242643,107.42534036166074,-10.02452543923431,-11.7526273166701,92.71437357094612,96.53330556013408,-3.818931989187959,-8.831424066196591,2021-11-30,7.54374735856787,132.95453766667674,3.6369205126732638,132.95453766667674,-26.0,-38.44,-7.334074074074074,-12.440000000000001,-31.105925925925924,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4059036140017165,0.23623927713608994,-9.193827160493829,-10.333333333333329,-0.3107407407407443,-6.406666666666666,-2.4879999999999995,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.5,0,-13.9,-13.06255144032922,-10.851858276401432,103.5,97.90000000000002,104.3,111.8,Thu 12-02 12-02,A,312 (Ⅳ),Lafayette,"W, 74-67",67,110.9,57.8,18.0,26.7,15.5,100.4,48.4,16.5,31.0,17.2,-2.5,1.5,143.5,99.2765625,95.053125,98.61550068587108,99.1139869301706,111.53125,118.7625,111.6780521262003,109.96584520657204,20211202,99.7,109.1,-9.399999999999991,96.5,107.1,-10.599999999999994,98.9,109.1,-10.14,68.2,4.183185819123608,139.30243115429516,66.7448079658606,3.037215488564968,145.0548570075095,11.344137078970252,145.0548570075095,3.037215488564968,145.0548570075095,11.344137078970252,133.23796580219516,96.3,105.8,-9.57,68.8,99.7,109.1,-9.399999999999991,96.5,107.1,-10.599999999999994,7.448360849548317,134.28549777669826,0,100.74485608548446,106.1063265902057,-5.36147050472124,-8.200734836725113,92.85940433151832,99.1712971339438,-6.311892802425476,-10.237837114960971,2021-12-02,2.8563384634171314,135.73845639109797,0.3368995671962054,135.73845639109797,10.14,-28.299999999999997,-17.702716049382715,-38.44,-10.597283950617282,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.4432015031835318,0.39279861699419083,-2.9225514403292188,-3.76,-9.193827160493829,-4.042857142857143,-6.406666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.0,-21,-19.53333333333333,-15.80836762688615,-12.75152040796481,98.1,98.5,119.4,118.03333333333336,Sun 12-05 12-05,A,230 (Ⅲ),Brown,"L, 79-66",67,97.8,48.3,22.2,28.6,18.6,117.1,69.2,20.7,21.7,19.2,8.0,9.0,137.0,98.68828125,99.2765625,98.44366712391404,98.9296256701396,115.465625,111.53125,114.2520347508002,111.6811460781044,20211205,100.1,108.9,-8.800000000000011,93.8,97.7,-3.9000000000000057,99.4,108.7,-9.31,68.0,7.677712727703629,133.06208377842236,66.25889046941678,6.757859654408321,135.91119603093566,18.53438056668139,135.91119603093566,6.757859654408321,135.91119603093566,18.53438056668139,125.91385369957993,95.5,98.4,-2.92,68.5,100.1,108.9,-8.800000000000011,93.8,97.7,-3.9000000000000057,14.57303884802274,135.33775686472072,0,100.16206581707588,105.04654932887252,-4.884483511796631,-6.432063050483847,97.94048780022506,97.13620178982625,0.8042860103988119,-0.1889952302806536,2021-12-05,7.603918426125048,136.0915664354241,5.930417845505168,136.0915664354241,-11.69,-39.989999999999995,-21.23514403292181,-28.299999999999997,-18.754855967078186,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.19568296915377603,0.23447678679458916,-6.49836762688615,-10.223333333333331,-2.9225514403292188,-4.998749999999999,-4.042857142857143,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
6.5,-2,-8.300000000000006,-11.472245084590773,-10.942153061062118,115.6,105.73333333333332,118.4,114.03333333333332,Tue 12-07 12-07,A,139 (Ⅲ),Rhode Island,"L, 72-62",61,102.5,55.2,21.5,20.7,25.0,119.0,56.6,14.9,41.9,11.5,-2.5,16.5,136.5,107.144140625,98.68828125,104.16244474927603,101.96060282102329,116.9328125,115.465625,115.63468983386682,112.90275588208542,20211207,100.1,109.9,-9.800000000000011,103.9,93.9,10.0,99.5,109.2,-9.71,68.0,16.281655016958993,134.71446481831015,64.42105263157895,17.200209196676823,137.98804153891592,23.612829518914438,137.98804153891592,17.200209196676823,137.98804153891592,23.612829518914438,138.57629394726033,104.9,95.5,9.47,66.6,100.1,109.9,-9.800000000000011,103.9,93.9,10.0,20.390496017701622,135.34812368931142,0,101.21530100459704,104.46379806192374,-3.248497057326702,-5.541941082077853,100.73146957263144,94.5208839688647,6.210585603766745,8.16400116279772,2021-12-07,10.036072759854619,132.97727712965946,10.656949962774164,132.97727712965946,7.710000000000001,-32.279999999999994,-27.48676268861454,-39.989999999999995,-4.793237311385454,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.05804156686932749,0.16958248712916757,-1.7622450845907718,1.4099999999999948,-6.49836762688615,-3.586666666666666,-4.998749999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.0,-9,-11.066666666666675,-10.68149672306052,-10.607216140869006,102.6,105.43333333333332,111.7,116.5,Mon 12-13 12-13,A,354 (Ⅳ),Columbia,"W, 79-69",69,114.5,62.3,17.4,24.1,13.1,100.0,58.8,23.2,18.5,25.5,7.5,-3.0,140.5,104.8720703125,107.144140625,103.6416298328507,102.07685685356452,114.31640625,116.9328125,114.32312655591122,112.68407299443352,20211213,101.0,109.6,-8.599999999999994,91.3,113.7,-22.40000000000001,100.1,109.3,-9.23,67.6,-3.5011116309886603,140.51064957265532,66.15761024182076,-5.939440624300374,145.49126880316172,-9.47046056013846,145.49126880316172,-5.939440624300374,145.49126880316172,-9.47046056013846,138.78052934409237,92.6,112.4,-19.83,68.8,101.0,109.6,-8.599999999999994,91.3,113.7,-22.40000000000001,-4.318773458956513,145.36591913642386,0,101.64970626092534,104.23221052488992,-2.58250426396458,-4.758520210964346,93.16099953499896,109.42368428167369,-16.262684746674722,-16.727010855601716,2021-12-13,-5.625233780894774,141.04756520685788,-6.264654700356644,141.04756520685788,0.23000000000000043,-32.05,-29.08450845907636,-32.279999999999994,-2.9654915409236366,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6124515189020077,0.7039296805371518,-1.4514967230605187,-1.8366666666666749,-1.7622450845907718,-3.205,-3.586666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
