ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
1.0,12,,12.799999999999995,12.799999999999995,116.3,0.0,103.5,0.0,Tue 11-09 11-09,H,281 (Ⅳ),Prairie View A&M,"W, 87-68",70,124.7,64.5,24.4,43.3,40.0,97.4,56.9,21.5,11.5,29.4,19.5,-18.0,135.5,116.3,0.0,116.3,116.3,103.5,0.0,103.5,103.5,20211109,104.7,91.7,13.0,97.0,100.0,-3.0,107.6,91.4,16.15,67.2,-18.28491141739996,136.34132896185417,69.39857752489331,-15.044326207888957,137.9150433685769,-18.385082970154095,137.9150433685769,-15.044326207888957,137.9150433685769,-18.385082970154095,172.35945541590354,96.2,101.2,-4.96,72.6,104.7,91.7,13.0,97.0,100.0,-3.0,-18.385082970154095,172.35945541590354,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,-4.149999999999999,-4.149999999999999,0.0,0.0,-4.149999999999999,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,-3,0.9567618672531671,0.5,-3.350000000000003,,0.0,-4.149999999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-7.5,5,,10.23333333333333,11.399999999999997,100.3,0.0,95.2,0.0,Fri 11-12 11-12,H,190 (Ⅳ),Texas Southern,"W, 67-58",67,100.2,47.4,17.9,32.4,31.0,86.7,44.5,20.9,26.5,23.6,-11.0,-16.5,136.0,108.3,116.3,110.96666666666668,113.39090909090908,99.35,103.5,100.73333333333336,101.99090909090908,20211112,103.6,90.1,13.5,97.2,102.9,-5.700000000000003,107.0,90.8,16.17,67.0,-18.88366845028507,135.93759802441195,69.19203413940255,-17.332613903997746,137.95841809299577,-21.280115111187477,137.95841809299577,-17.332613903997746,137.95841809299577,-21.280115111187477,172.02518148191862,96.3,102.2,-5.94,72.6,103.6,90.1,13.5,97.2,102.9,-5.700000000000003,-21.280115111187477,172.02518148191862,0,97.80531392482702,105.20250696158612,-7.397193036759106,-1.4437757543252594,100.1461214583492,94.58495629816984,5.561165160179357,5.071641956940617,2021-11-12,5.177825242690503,139.9362000766634,2.535630369300236,139.9362000766634,-11.170000000000002,-15.32,-4.149999999999999,-4.149999999999999,-11.170000000000002,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.9419584331306725,0.3109617049251313,-5.936666666666671,,-3.350000000000003,-7.66,-4.149999999999999,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
8.0,18,12.133333333333333,12.988888888888887,12.690909090909086,93.6,103.4,75.1,91.26666666666668,Mon 11-15 11-15,H,199 (Ⅳ),Southern Utah,"W, 70-51",70,99.9,47.2,12.8,31.6,4.2,72.8,38.3,21.4,26.3,16.7,-18.0,-11.0,139.0,100.95,108.3,105.17777777777778,109.79256198347106,87.225,99.35,92.18888888888893,97.10165289256196,20211115,103.0,90.5,12.5,103.6,100.9,2.6999999999999886,106.7,91.3,15.38,66.2,-12.037468102335481,136.69707608350933,67.9891891891892,-10.937933554366133,137.8950531940557,-25.17693950198666,137.8950531940557,-10.937933554366133,137.8950531940557,-25.17693950198666,152.57451737669058,103.8,100.2,3.63,72.2,103.0,90.5,12.5,103.6,100.9,2.6999999999999886,-25.162858332235913,152.62536990973086,0,96.73851791344372,109.45057549653332,-12.712057583089603,-14.667528493039493,100.43790400122974,92.38144797874536,8.056456022484383,0.9248708457300372,2021-11-15,10.435769581529428,138.41956957851372,8.828257889376921,138.41956957851372,2.619999999999999,-12.700000000000001,-7.873333333333333,-15.32,-4.826666666666668,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.8525929209684728,0.16013996029900146,-2.3911111111111136,-3.246666666666668,-5.936666666666671,-4.233333333333334,-7.66,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,5,9.633333333333336,10.425925925925933,11.347107438016527,100.4,98.09999999999998,95.1,88.46666666666665,Wed 11-17 11-17,H,167 (Ⅳ),Bellarmine,"W, 73-64",67,108.3,50.0,8.9,18.8,58.5,94.9,56.4,22.2,8.0,31.9,2.0,-17.0,135.0,100.675,100.95,103.5851851851852,108.08482344102175,91.1625,87.225,93.15925925925929,96.73771600300525,20211117,102.0,88.9,13.099999999999994,99.4,106.8,-7.399999999999991,105.9,90.0,15.92,66.5,-15.80663562320646,130.8365839788983,64.51351351351352,-17.272271812372303,130.9867594213058,-14.077889216134732,130.9867594213058,-17.272271812372303,130.9867594213058,-14.077889216134732,134.047063590698,102.4,104.9,-2.48,68.2,102.0,88.9,13.099999999999994,99.4,106.8,-7.399999999999991,-14.195358224343972,133.80018121615217,0,102.75556231990596,96.61721497280315,6.138347347102808,13.19786043240941,100.93357996182316,104.13778912787348,-3.204209166050319,-1.5211081918207303,2021-11-17,-10.070848094227209,135.5633695247455,-11.4075653547063,135.5633695247455,-10.92,-23.62,-9.482222222222223,-12.700000000000001,-14.137777777777778,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9472814911099373,0.8312529650285697,-5.494074074074067,-6.2866666666666635,-2.3911111111111136,-5.905000000000001,-4.233333333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.0,15,13.23333333333334,12.250617283950625,12.174906085649887,103.7,99.23333333333332,87.8,86.0,Mon 11-22 11-22,N,56 (Ⅱ),Notre Dame,"W, 62-59",63,98.1,57.4,20.6,12.0,27.7,93.4,44.4,12.7,14.7,24.1,-10.5,-1.0,131.5,102.1875,100.675,103.62345679012348,107.28758281538144,89.48124999999999,91.1625,91.37283950617284,95.11267672973156,20211122,101.8,89.9,11.899999999999991,109.7,95.6,14.100000000000009,106.1,90.9,15.26,66.5,0.413619053381737,129.68196715073282,64.04054054054055,0.8539271883824355,128.756777692618,-3.110121924777466,128.756777692618,0.8539271883824355,128.756777692618,-3.110121924777466,121.33149323188786,112.3,95.6,16.73,67.7,101.8,89.9,11.899999999999991,109.7,95.6,14.100000000000009,-2.947304400633322,121.49847985257092,0,98.54333235584664,97.929990414561,0.6133419412856398,-3.0269727773603043,98.45157837281064,99.059886064433,-0.6083076916223575,-6.5529445058377735,2021-11-22,-0.790706672444081,127.50130694529992,-2.2580513542236176,127.50130694529992,-0.2599999999999998,-23.880000000000003,-14.194814814814816,-23.62,-9.685185185185187,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.5379371440662541,0.5300141364029617,-3.009382716049375,-2.02666666666666,-5.494074074074067,-4.776,-5.905000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
14.5,29,16.900000000000006,18.000411522633748,15.32492316098627,101.8,101.96666666666664,72.3,85.06666666666666,Tue 11-23 11-23,N,53 (Ⅱ),Oregon,"W, 62-50",64,96.9,59.4,20.3,7.7,22.9,78.2,41.2,20.3,17.1,23.5,-18.0,2.5,130.0,101.99375,102.1875,103.01563786008232,106.28984048531208,80.890625,89.48124999999999,85.01522633744857,90.9649173243258,20211123,102.1,90.3,11.799999999999995,109.2,95.8,13.400000000000006,106.0,90.3,15.62,66.3,-0.34255530201058804,126.90636659773679,63.56500711237554,0.5191704742291563,128.1416851543138,-0.39866478525092813,128.1416851543138,0.5191704742291563,128.1416851543138,-0.39866478525092813,132.08979234432832,110.8,94.9,15.91,67.4,102.1,90.3,11.799999999999995,109.2,95.8,13.400000000000006,-0.5075260962589324,132.35451759537617,0,98.53857500713453,91.4313763529484,7.107198654186121,7.236405551941569,101.41505394159928,101.04689449695655,0.3681594446427283,-1.7085028067752246,2021-11-23,-4.465590410803529,125.45120360702562,-5.685831634413802,125.45120360702562,13.38,-10.500000000000002,-17.42320987654321,-23.880000000000003,6.9232098765432095,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.4059036140017165,0.6646889349295513,2.3804115226337483,1.2800000000000065,-3.009382716049375,-1.75,-4.776,1,-1.0,1,-1,-1,1,-3.0,-3.0
-3.5,12,19.33333333333334,16.200274348422504,14.829482586261497,100.9,102.13333333333333,88.3,82.8,Wed 11-24 11-24,N,27 (I-A),Wisconsin,"L, 61-55",62,89.2,46.0,26.0,29.0,24.0,99.0,40.2,13.0,33.3,32.1,-2.0,2.5,118.0,101.446875,101.99375,102.31042524005488,105.3098694879826,84.5953125,80.890625,86.11015089163237,90.48038690172108,20211124,102.0,89.9,12.099999999999994,100.3,88.7,11.599999999999994,105.6,88.8,16.81,66.3,0.010562731152198523,117.79406884779516,63.1877667140825,-0.19737947672732759,117.17173506436521,5.169268019601711,117.17173506436521,-0.19737947672732759,117.17173506436521,5.169268019601711,108.95483408623045,105.5,88.7,16.82,67.0,102.0,89.9,12.099999999999994,100.3,88.7,11.599999999999994,5.613213316301569,112.29876612990043,0,100.08238117018516,90.77194045302603,9.310440717159125,10.049488094691926,102.66460846084384,90.01929775885691,12.64531070198693,13.99258874446438,2021-11-24,2.008951112768095,118.88439864431086,2.491557239879697,118.88439864431086,-4.809999999999999,-15.31,-15.115473251028808,-10.500000000000002,-0.19452674897119238,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.4059036140017165,0.4241340473815286,-0.6097256515774951,2.5233333333333405,2.3804115226337483,-2.1871428571428577,-1.75,-1,1.0,-1,-1,-1,-3,1.0,-3.0
7.5,10,17.5,14.266849565615,14.02412211603213,109.1,103.93333333333334,98.7,86.43333333333334,Mon 11-29 11-29,H,173 (Ⅳ),UC Riverside,"W, 67-50",59,112.9,58.2,15.2,26.9,7.3,84.2,46.0,13.5,6.5,16.0,-3.5,-9.5,120.5,105.2734375,101.446875,104.57361682670326,105.9989841265312,91.64765625,84.5953125,90.30676726108824,91.97486201049908,20211129,102.6,89.5,13.099999999999994,99.8,93.2,6.599999999999994,106.3,90.2,16.17,65.4,-11.535706969003819,119.03843985916478,62.79516358463728,-7.4026848592597645,119.37584393281705,-11.266155262058412,119.37584393281705,-7.4026848592597645,119.37584393281705,-11.266155262058412,104.94945653571298,98.1,95.6,2.49,67.5,102.6,89.5,13.099999999999994,99.8,93.2,6.599999999999994,-10.241603311018103,108.61529185762768,0,102.5745857115944,90.9966787189069,11.577906992687488,12.37076625535531,91.7854100166598,95.92769448746506,-4.142284470805265,-3.808509806363016,2021-11-29,-12.876772687418146,117.57987456947731,-11.993341011347454,117.57987456947731,-6.170000000000002,-21.480000000000004,-15.180315500685873,-15.31,-6.2996844993141305,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.817204231217584,0.8899682532123318,-1.903150434385001,1.3299999999999983,-0.6097256515774951,-2.6850000000000005,-2.1871428571428577,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
4.0,13,12.200000000000005,14.04456637707667,13.947009004026288,96.4,102.13333333333333,82.8,89.93333333333332,Thu 12-02 12-02,A,48 (I),Utah St.,"W, 60-58",65,92.4,51.9,26.2,27.6,9.4,89.3,40.6,21.6,28.6,34.0,-10.0,2.0,128.0,100.83671875,105.2734375,101.84907788446884,104.25371428534372,87.22382812500001,91.64765625,87.80451150739218,90.30670528131742,20211202,103.5,89.9,13.599999999999994,108.5,95.0,13.5,106.6,90.0,16.67,65.1,0.04295134015173829,124.4811493794362,62.78492176386912,3.0301348222813402,126.27126079046202,6.363926775508447,126.27126079046202,3.0301348222813402,126.27126079046202,6.363926775508447,129.01275844166275,107.7,96.1,11.66,67.8,103.5,89.9,13.599999999999994,108.5,95.0,13.5,4.58817658480035,126.8594062599309,0,99.65581377045304,89.81708312634446,9.83873064410858,10.737723499734305,107.84399671002303,98.0327031261668,9.81129358385624,7.985784991830478,2021-12-02,2.974623351807473,125.42646471963519,0.19475293242146563,125.42646471963519,-3.6700000000000017,-25.150000000000006,-17.280210333790585,-21.480000000000004,-7.869789666209421,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.4244679994402739,0.38847441130133864,-2.6254336229233317,-4.469999999999997,-1.903150434385001,-2.7944444444444443,-2.6850000000000005,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-11.5,-9,4.899999999999996,6.263044251384445,9.720280094203323,88.6,98.03333333333336,97.9,93.13333333333333,Sat 12-04 12-04,A,47 (I-A),Colorado St.,"L, 74-58",67,86.4,45.1,22.3,24.1,29.4,110.2,61.3,16.4,8.0,24.5,-5.0,4.5,137.0,94.718359375,100.83671875,97.4327185896459,101.40758441528122,92.5619140625,87.22382812500001,91.16967433826146,91.68730432107787,20211204,102.5,89.1,13.400000000000006,113.2,100.9,12.299999999999995,105.9,89.1,16.82,65.2,1.033782077384629,132.02285375751188,64.6435277382646,2.094225834175546,135.443536060422,-0.4258932685118694,135.443536060422,2.094225834175546,135.443536060422,-0.4258932685118694,129.51127022193472,112.9,98.9,13.96,69.7,102.5,89.1,13.400000000000006,113.2,100.9,12.299999999999995,1.772243191242707,133.24412868495324,0,97.80125220741252,91.61546982298708,6.185782384425437,7.642632555585957,112.98339617469996,101.97942863138633,11.003967543313635,10.866323422044893,2021-12-04,6.276280900212015,134.87384186896315,4.061434065407184,134.87384186896315,-25.82,-50.970000000000006,-19.903473555860394,-25.150000000000006,-31.066526444139612,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,0.3341175708976246,0.27500636914113663,-10.556955748615556,-11.920000000000005,-2.6254336229233317,-5.097000000000001,-2.7944444444444443,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
