ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
13.5,37,,37.7,37.7,132.5,0.0,94.8,0.0,Tue 11-09 11-09,H,227 (Ⅳ),LIU Brooklyn,"W, 98-64",72,136.9,62.9,16.8,48.4,40.3,89.4,49.1,25.1,21.9,15.8,10.0,-20.5,152.0,132.5,0.0,132.5,132.5,94.8,0.0,94.8,94.8,20211109,106.9,95.7,11.200000000000005,99.0,101.3,-2.299999999999997,109.7,91.7,18.05,70.3,-23.216231589054743,147.85554986977513,74.5,-14.641012065868637,154.8662970517791,-56.15342644731945,154.8662970517791,-14.641012065868637,154.8662970517791,-56.15342644731945,194.70782863984476,94.3,102.3,-7.96,74.5,106.9,95.7,11.200000000000005,99.0,101.3,-2.299999999999997,-56.15342644731945,194.70782863984476,0,99.41983185519908,97.87704316855783,1.542788686641245,3.4400109088634974,0.0,0.0,0.0,0.0,2021-11-09,0.0,0.0,,0.0,18.95,18.95,0.0,0.0,18.95,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,-3,0.9745535036187463,0.5,19.650000000000002,,0.0,18.95,0.0,1,0.0,1,1,1,3,0.0,0.0
-2.0,11,,28.96666666666667,32.93636363636364,115.8,0.0,104.3,0.0,Thu 11-11 11-11,H,283 (Ⅳ),Prairie View A&M,"W, 92-76",76,120.3,71.3,28.8,38.5,40.7,99.4,47.7,15.7,25.0,34.4,21.0,-18.0,147.0,124.15,132.5,126.93333333333334,129.46363636363637,99.55,94.8,97.96666666666668,96.52727272727272,20211111,106.5,93.4,13.099999999999994,95.6,98.9,-3.300000000000012,109.5,91.8,17.69,71.2,-20.44596428609851,147.55198488308133,74.23840682788054,-16.30255743280219,148.00576267881905,-38.89207223582843,148.00576267881905,-16.30255743280219,148.00576267881905,-38.89207223582843,193.9801697507732,96.4,101.0,-4.63,73.3,106.5,93.4,13.099999999999994,95.6,98.9,-3.300000000000012,-38.89207223582843,193.9801697507732,0,91.30867600687812,100.09776022688224,-8.789084220004128,-11.901364921758464,0.0,0.0,0.0,0.0,2021-11-11,0.0,0.0,,0.0,-6.690000000000001,12.259999999999998,18.95,18.95,-6.690000000000001,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,3,0.9567618672531671,0.5,11.276666666666667,,19.650000000000002,6.129999999999999,18.95,1,1.0,-1,1,1,1,3.0,0.0
-1.5,18,22.6,25.511111111111116,30.329752066115702,94.6,114.3,76.0,91.7,Sat 11-13 11-13,N,59 (I),Davidson,"W, 65-60",70,93.5,54.2,25.9,19.4,39.6,86.3,47.0,24.5,21.9,42.0,-19.0,-6.5,144.0,109.375,124.15,116.15555555555557,123.12479338842977,87.775,99.55,90.64444444444445,92.79504132231403,20211113,106.8,93.3,13.5,104.8,99.7,5.099999999999994,110.0,92.3,17.65,71.0,-5.394543852572156,140.60392242202926,68.47510668563301,-6.101671624806272,143.23486906859728,1.5841969187414289,143.23486906859728,-6.101671624806272,143.23486906859728,1.5841969187414289,172.22552721227066,107.5,97.4,10.08,67.8,106.8,93.3,13.5,104.8,99.7,5.099999999999994,1.6831266050699571,172.2028804300164,0,97.52304358546068,94.73802854708724,2.7850150383734444,4.6338819095062656,103.80229967164024,95.59023003460705,8.212069637033196,2.033513345270514,2021-11-13,3.588796210929658,134.3323932818866,-1.7806051485800936,134.3323932818866,0.3500000000000014,12.61,16.72,12.259999999999998,-4.109999999999999,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.732057505466481,0.3662544244628423,7.861111111111118,4.950000000000003,11.276666666666667,4.203333333333333,6.129999999999999,1,1.0,-1,1,1,1,1.0,3.0
2.0,19,16.466666666666665,23.440740740740743,28.324342599549208,97.7,102.7,78.4,86.23333333333333,Mon 11-15 11-15,H,188 (Ⅳ),Samford,"W, 77-55",74,104.4,53.5,14.9,25.0,43.9,74.6,37.9,19.0,11.8,27.6,-20.5,-20.0,152.5,103.5375,109.375,110.00370370370372,118.50210368144252,83.0875,87.775,86.56296296296297,90.1777610818933,20211115,106.4,93.1,13.300000000000011,95.6,105.4,-9.800000000000011,108.9,91.4,17.49,71.0,-22.073177591155805,147.62479395732495,74.73684210526315,-21.974005856955245,154.11247164838207,-22.889458431302263,154.11247164838207,-21.974005856955245,154.11247164838207,-22.889458431302263,138.5871046389463,95.0,101.9,-6.83,74.0,106.4,93.1,13.300000000000011,95.6,105.4,-9.800000000000011,-23.116406167594455,138.54060705669116,0,92.30830695380024,94.93471004152602,-2.6264030877257767,-0.5994395854472638,102.1544650415152,92.7445309599127,9.4099340816025,18.496744613528577,2021-11-15,4.778926624890303,139.20170317754963,11.991991125572326,139.20170317754963,1.5100000000000016,14.120000000000001,15.35,12.61,-1.2299999999999986,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.9715944860326362,0.3245057471795394,5.950740740740745,-1.0233333333333334,7.861111111111118,3.530000000000001,4.203333333333333,1,1.0,-1,1,1,1,1.0,1.0
-3.5,0,12.499999999999996,15.49382716049383,23.101734854176623,104.5,98.93333333333332,104.9,86.43333333333334,Thu 11-18 11-18,H,132 (Ⅲ),Nevada,"W, 73-70",68,107.4,53.1,11.8,26.3,17.2,103.0,54.4,16.2,13.3,17.5,-4.5,-6.5,147.5,104.01875,103.5375,108.16913580246916,115.95626664845295,93.99375,83.0875,92.67530864197532,92.85453179427633,20211118,105.4,92.2,13.200000000000005,103.4,96.4,7.0,108.2,90.8,17.41,70.8,-9.345752950386938,147.61904806593384,73.01564722617353,-8.797626314477782,147.16098135549197,-23.473862193457656,147.16098135549197,-8.797626314477782,147.16098135549197,-23.473862193457656,154.54896074885784,107.8,97.1,10.79,72.5,105.4,92.2,13.200000000000005,103.4,96.4,7.0,-24.007742086060492,154.4664552738083,0,101.58602694143596,96.74893445238304,4.837092489052921,4.133046976124064,96.67648491827728,103.41057000524049,-6.734085086963205,-9.252746237513575,2021-11-18,-12.748804220767852,148.49781279736283,-11.76582713190328,148.49781279736283,-17.41,-3.289999999999999,14.940000000000001,14.120000000000001,-18.23,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.732057505466481,0.8876589424967678,-1.9161728395061708,-4.910000000000004,5.950740740740745,-0.6579999999999977,3.530000000000001,-1,1.0,-1,-1,1,-3,1.0,1.0
-8.0,6,8.599999999999994,12.629218106995884,20.15596488068996,103.8,102.0,96.9,93.40000000000002,Mon 11-22 11-22,H,299 (Ⅳ),Morgan St.,"W, 83-67",76,109.1,60.3,25.0,30.0,29.3,88.1,42.4,11.8,16.3,25.8,4.0,-24.0,146.0,103.909375,104.01875,106.71275720164611,113.74603634873424,95.446875,93.99375,94.08353909465022,93.59007146804429,20211122,105.5,92.9,12.599999999999994,99.3,107.0,-7.700000000000003,108.6,91.6,16.99,69.5,-23.473011631560894,144.4853513563775,71.57610241820768,-19.315093071326345,150.6316551792569,-33.715659360132236,150.6316551792569,-19.315093071326345,150.6316551792569,-33.715659360132236,149.91319994314296,95.4,105.6,-10.19,72.4,105.5,92.9,12.599999999999994,99.3,107.0,-7.700000000000003,-33.73907863905486,149.79006329483337,0,101.00241809892856,96.69319707371884,4.309221025209723,1.845146802240815,96.67797182738212,103.5346583017739,-6.856686474391779,-3.652194146842223,2021-11-22,-12.181537281579338,145.25087418475505,-5.920805458889902,145.25087418475505,-10.989999999999998,-14.279999999999998,8.863333333333337,-3.289999999999999,-23.143333333333334,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.9888645105203836,0.8770053988506907,-4.3607818930041145,-8.390000000000004,-1.9161728395061708,-2.380000000000001,-0.6579999999999977,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-3.0,27,11.433333333333328,17.686145404663925,21.54578944783724,119.7,109.33333333333331,91.9,97.90000000000002,Thu 11-25 11-25,N,67 (Ⅱ),Towson,"W, 71-61",62,115.1,59.8,17.8,24.1,27.5,98.9,42.2,19.5,29.4,68.9,-5.5,-13.0,137.5,111.8046875,103.909375,111.04183813443076,114.82857519441892,93.6734375,95.446875,93.35569272976682,93.28278574658168,20211125,105.5,93.2,12.299999999999995,100.8,103.1,-2.299999999999997,108.6,92.1,16.51,69.2,-13.054968378590672,134.6428835464215,66.73911806543386,-10.139806481674128,138.65199932004273,-4.831887909352241,138.65199932004273,-10.139806481674128,138.65199932004273,-4.831887909352241,129.50763501460028,99.4,102.4,-2.97,67.8,105.5,93.2,12.299999999999995,100.8,103.1,-2.299999999999997,-7.420159950172778,133.11804261376227,0,103.80054580423682,96.64197662259474,7.158569181642079,5.443290127190564,100.88026861599712,94.668436717173,6.21183189882413,7.77547418408495,2021-11-25,-0.529167002702934,133.89356952700984,1.55647907123398,133.89356952700984,10.489999999999998,-3.789999999999999,1.1488888888888926,-14.279999999999998,-4.938888888888892,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8921596253194927,0.520096929681306,1.1761454046639237,-5.076666666666673,-4.3607818930041145,-0.5414285714285683,-2.380000000000001,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
-0.5,16,16.933333333333334,17.157430269775954,20.555645911866836,97.9,107.13333333333333,81.8,90.2,Fri 11-26 11-26,N,61 (Ⅱ),UAB,"W, 63-61",68,92.3,55.4,33.7,32.3,43.5,89.3,40.8,11.7,20.0,28.3,-17.0,-2.5,141.0,104.85234375,111.8046875,106.66122542295383,111.75065243179728,87.73671875,93.6734375,89.50379515317789,91.19500651993046,20211126,105.8,93.4,12.399999999999991,107.5,96.0,11.5,109.0,92.7,16.28,68.4,-2.196422686567132,137.71662805970152,68.4,-0.8146786069651739,141.481584079602,0.6258994133731357,141.481584079602,-0.8146786069651739,141.481584079602,0.6258994133731357,136.90810949408956,107.4,94.3,13.12,70.3,105.8,93.4,12.399999999999991,107.5,96.0,11.5,-1.0032542912238833,142.87571799438808,0,101.2839636978202,94.77100791120922,6.5129557866109735,4.581497158576413,105.26748067154875,94.68500410451904,10.582476567029715,14.520385801928844,2021-11-26,2.7055506313105298,137.0619894967602,6.798199832053058,137.0619894967602,-0.28000000000000114,-4.07,-0.4974074074074045,-3.789999999999999,-3.5725925925925957,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.39833022597704604,0.8774302697759531,0.6533333333333324,1.1761454046639237,-0.5087499999999991,-0.5414285714285683,1,1.0,-1,-1,-1,-1,-1.0,-3.0
11.0,28,24.233333333333334,21.03828684651731,22.0546193824365,113.9,110.5,85.1,86.26666666666667,Sat 12-04 12-04,H,73 (Ⅲ),UNLV,"W, 83-62",72,115.3,54.9,16.7,38.2,8.5,86.1,44.7,18.1,16.7,26.3,11.0,-10.0,134.0,109.376171875,104.85234375,109.07415028196924,112.14144289874324,86.418359375,87.73671875,88.03586343545193,90.08682351630674,20211204,106.8,93.3,13.5,100.5,101.8,-1.2999999999999972,109.0,92.6,16.43,67.7,-12.948810464009497,129.87343610284415,64.61834992887624,-13.674009959614644,134.52754010864336,-14.723773083747218,134.52754010864336,-13.674009959614644,134.52754010864336,-14.723773083747218,128.3631245247107,101.0,99.1,1.94,67.1,106.8,93.3,13.5,100.5,101.8,-1.2999999999999972,-14.729657111082393,126.2994542924396,0,103.13738148604752,94.20838613677472,8.928995349272796,9.99316782179265,94.8295352992192,100.5619700022248,-5.732434703005595,-6.907843523701331,2021-12-04,-13.116820510049457,128.26175091891585,-12.758380049878248,128.26175091891585,11.57,7.5,-1.6882716049382698,-4.07,9.18827160493827,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.8295480920359348,0.8942078735881731,4.608286846517309,7.803333333333335,0.8774302697759531,0.8333333333333321,-0.5087499999999991,1,1.0,1,1,-1,3,-1.0,-1.0
-0.5,15,20.00000000000001,19.05885789767821,20.79014313108441,115.7,109.16666666666669,100.6,89.16666666666667,Wed 12-08 12-08,H,52 (Ⅱ),Fresno St.,"W, 71-63",64,110.6,55.2,17.1,35.5,20.7,98.1,46.0,21.8,43.6,19.4,6.0,-8.5,128.0,112.5380859375,109.376171875,111.28276685464616,112.78845328078992,93.5091796875,86.418359375,92.22390895696796,91.9983101497055,20211208,107.5,93.3,14.200000000000005,103.4,95.2,8.200000000000003,109.9,92.8,17.09,68.1,-9.833870253044346,123.23005991045815,61.319061166429584,-7.2049478758563055,125.38778546104135,-4.8227925738020865,125.38778546104135,-7.2049478758563055,125.38778546104135,-4.8227925738020865,114.3893992821116,103.0,96.5,6.52,63.3,107.5,93.3,14.200000000000005,103.4,95.2,8.200000000000003,-6.891732730296189,114.3362807242163,0,104.55942432061528,94.28911208209946,10.270312238515814,10.703341454359546,96.59837475550086,94.53126362838148,2.067111127119375,5.665026831438403,2021-12-08,-8.240275047026046,119.8195657508179,-4.946897954701818,119.8195657508179,-2.09,5.41,1.37448559670782,7.5,4.03551440329218,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.790893043407255,0.7837110907366664,1.968857897678209,2.910000000000011,4.608286846517309,0.5410000000000004,0.8333333333333321,1,1.0,1,1,1,3,3.0,-1.0
-6.5,4,16.200000000000006,14.272571931785476,17.864662561796333,82.9,104.16666666666669,78.2,87.96666666666665,Sat 12-18 12-18,N,89 (Ⅱ),Grand Canyon,"L, 49-48",62,77.1,37.5,24.1,35.7,10.0,78.7,40.0,24.1,34.1,21.8,-37.5,-5.5,134.5,97.71904296875,112.5380859375,101.82184456976412,107.35418904791902,85.85458984375,93.5091796875,87.54927263797865,89.48952648612268,20211218,107.0,92.4,14.599999999999994,102.9,97.8,5.1000000000000085,107.2,91.1,16.15,68.0,-6.81585997749518,121.08114523824689,62.776671408250365,-6.165965665272502,128.73193595040448,-10.015540158361539,128.73193595040448,-6.165965665272502,128.73193595040448,-10.015540158361539,123.09248739045145,100.4,95.5,4.84,64.9,107.0,92.4,14.599999999999994,102.9,97.8,5.1000000000000085,-6.781479062248927,124.54916804266239,0,101.6161246848502,93.30448110267996,8.311643582170248,8.808823644152959,97.8016886230792,94.99824625370736,2.8034423693718367,4.026206134983491,2021-12-18,-3.40330719961009,121.03691498488732,-3.002368078444775,121.03691498488732,-12.149999999999999,-6.739999999999998,2.71965706447188,5.41,-9.459657064471878,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.6270781086771504,-1.8774280682145221,0.050000000000007816,1.968857897678209,-0.6127272727272732,0.5410000000000004,-1,1.0,-1,-1,1,-3,3.0,3.0
-2.0,8,9.566666666666672,12.48171462119032,16.234723914197,100.2,99.6,91.3,90.03333333333335,Sun 12-19 12-19,A,100 (Ⅱ),Arizona St.,"W, 66-65",72,91.1,54.7,29.0,23.7,30.2,89.8,42.3,18.0,35.4,15.5,-0.5,-3.0,131.5,98.959521484375,97.71904296875,101.28122971317607,106.05342740284284,88.577294921875,85.85458984375,88.79951509198577,89.81870348864584,20211219,107.1,92.5,14.599999999999994,96.9,93.2,3.700000000000003,107.2,91.1,16.15,68.0,-1.6824949744910427,126.85715968184883,66.3556187766714,-3.3205898601737545,128.68653313300956,-6.570975445627884,128.68653313300956,-3.3205898601737545,128.68653313300956,-6.570975445627884,114.01642463484575,101.2,93.4,7.82,68.6,107.1,92.5,14.599999999999994,96.9,93.2,3.700000000000003,-4.841819102259685,124.17533901906053,0,100.66094420892648,93.72474549040508,6.936198718521396,7.741580204671671,93.03754942016336,94.33859978015532,-1.3010503599919616,-4.62177292166134,2021-12-19,-1.811881732103224,123.77445963130401,-6.316839798794476,123.77445963130401,-8.149999999999999,-14.889999999999997,-0.4335619570187459,-6.739999999999998,-14.456438042981251,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,0.6124515189020077,0.568501417077935,-3.668285378809678,-6.583333333333327,-1.8774280682145221,-1.240833333333331,-0.6127272727272732,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
