ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.0,3,,3.4000000000000057,3.4000000000000057,121.5,0.0,118.1,0.0,Tue 11-09 11-09,H,203 (Ⅲ),Cal St. Fullerton,"W, 84-77",67,126.1,60.8,12.0,33.3,21.7,115.6,54.2,24.0,51.6,32.2,8.5,-7.0,152.5,121.5,0.0,121.5,121.5,118.1,0.0,118.1,118.1,20211109,104.7,99.5,5.200000000000003,104.6,107.9,-3.300000000000012,102.4,97.6,4.79,70.4,-10.142207456156683,148.3343831038435,72.10241820768138,-11.040446058467026,160.25284397315107,-3.888010867174728,160.25284397315107,-11.040446058467026,160.25284397315107,-3.888010867174728,200.1016774796097,101.5,104.9,-3.42,72.0,104.7,99.5,5.200000000000003,104.6,107.9,-3.300000000000012,-3.888010867174728,200.1016774796097,0,0.0,0.0,0.0,0.0,95.07927365581943,94.85460465703645,0.22466899878298818,4.955224554338524,2021-11-09,0.0,0.0,,0.0,-1.79,-1.79,0.0,0.0,-1.79,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.7475074624530771,0.5,-1.3899999999999944,,0.0,-1.79,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
19.5,29,,11.966666666666674,8.07272727272728,127.7,0.0,98.6,0.0,Fri 11-12 11-12,H,132 (Ⅲ),Stanford,"W, 88-72",72,121.5,70.2,16.6,19.2,26.3,99.4,44.4,20.7,39.5,14.1,23.0,3.5,137.0,124.6,121.5,123.56666666666668,122.62727272727273,108.35,118.1,111.6,114.55454545454543,20211112,103.1,98.1,5.0,99.9,90.6,9.300000000000011,101.7,97.0,4.73,70.6,1.7297080324390208,133.61822253990806,70.49957325746799,-0.5520743047126615,138.01567313510537,0.5937764464672739,138.01567313510537,-0.5520743047126615,138.01567313510537,0.5937764464672739,157.10809290869108,102.3,89.9,12.4,70.2,103.1,98.1,5.0,99.9,90.6,9.300000000000011,0.5937764464672739,157.10809290869108,0,105.19541550925216,106.75669162598716,-1.5612761167350016,-2.1805804014306305,98.11622261242891,99.4237214583728,-1.3074988459438828,0.2876113372505853,2021-11-12,-4.115456869833878,151.0382379866782,-0.21523991669276654,151.0382379866782,24.27,22.48,-1.79,-1.79,24.27,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.6524517830683736,7.2366666666666735,,-1.3899999999999944,11.24,-1.79,1,-1.0,1,1,-1,3,-3.0,0.0
24.0,16,16.200000000000003,13.344444444444449,9.53223140495868,117.5,122.23333333333332,101.4,106.03333333333336,Tue 11-16 11-16,H,133 (Ⅲ),Nevada,"W, 96-74",77,123.9,60.0,12.9,26.5,21.4,95.5,48.6,19.4,25.6,11.6,19.5,2.0,150.5,121.05,124.6,121.54444444444444,121.69504132231404,104.875,108.35,108.2,112.16280991735536,20211116,105.3,98.1,7.200000000000003,103.6,95.5,8.099999999999994,103.8,97.4,6.39,70.8,0.281602432967631,148.18188440297297,72.61280227596015,-3.4085036537051536,150.11855798382697,-21.095850830983743,150.11855798382697,-3.4085036537051536,150.11855798382697,-21.095850830983743,180.93344498349214,108.5,95.9,12.64,72.1,105.3,98.1,7.200000000000003,103.6,95.5,8.099999999999994,-20.963511420354333,181.02271534325135,0,100.19223099299388,101.46871278211368,-1.2764817891197993,0.3143880659561758,95.43936732795105,102.28370232914828,-6.844335001197237,-11.30428825899308,2021-11-16,-8.330894934110503,148.1256308019294,-10.358083887681147,148.1256308019294,9.61,32.09,6.3,22.48,25.790000000000003,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.4244679994402739,0.7862330011054904,6.954444444444449,9.810000000000002,7.2366666666666735,10.696666666666665,11.24,1,1.0,1,1,1,3,3.0,-3.0
15.5,20,22.0,15.829629629629633,11.5809166040571,117.6,120.93333333333334,96.8,98.93333333333334,Fri 11-19 11-19,H,311 (Ⅳ),Cal Poly,"W, 87-57",70,124.3,52.4,17.1,44.1,40.3,81.5,43.3,28.6,31.4,32.7,8.5,-14.5,135.5,119.325,121.05,120.22962962962964,120.95048835462056,100.8375,104.875,104.4,109.36957175056348,20211119,106.4,98.0,8.400000000000006,94.8,105.0,-10.200000000000005,104.9,96.6,8.36,71.6,-17.7213798124018,134.5535624139406,68.54452347083925,-17.231928251686945,144.0308267850988,-23.687565490254457,144.0308267850988,-17.231928251686945,144.0308267850988,-23.687565490254457,149.81126138038388,91.2,103.5,-12.27,67.3,106.4,98.0,8.400000000000006,94.8,105.0,-10.200000000000005,-23.67360746231178,149.85050120163174,0,112.98512473733231,100.17458703762428,12.810537699708036,25.763737584405725,87.94808103814486,101.5551895880624,-13.607108549917541,-15.415019537425003,2021-11-19,-22.69040449369573,142.93484241901183,-30.244338210145685,142.93484241901183,11.64,43.730000000000004,14.896666666666668,32.09,28.833333333333336,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9163531986724158,0.9846519789775227,7.469629629629633,13.64,6.954444444444449,10.932500000000001,10.696666666666665,1,1.0,1,1,1,3,3.0,3.0
22.5,42,26.399999999999995,24.653086419753087,17.166204494228538,132.6,122.56666666666666,90.3,96.16666666666669,Mon 11-22 11-22,N,46 (I),TCU,"W, 85-66",70,121.7,72.4,24.3,26.3,36.7,94.5,46.1,12.9,22.7,23.4,9.0,3.5,142.0,125.9625,119.325,124.35308641975313,123.0685813810532,95.56875,100.8375,99.7,105.90237688682464,20211122,107.3,98.0,9.299999999999995,102.8,93.4,9.399999999999991,106.0,97.1,8.91,71.4,2.3857905029617115,140.21837209570924,70.48591749644383,0.3792347802948228,144.9445716328741,-3.3073890699636896,144.9445716328741,0.3792347802948228,144.9445716328741,-3.3073890699636896,137.51140736174827,104.7,92.7,11.97,69.4,107.3,98.0,9.299999999999995,102.8,93.4,9.399999999999991,-3.1080716365658425,137.68547972726017,0,115.22963646818047,98.7331017701246,16.496534698055868,28.095508992141344,96.22711451941,99.46522943068136,-3.238114911271367,3.860149566590225,2021-11-22,-14.140457129985577,151.19007166108366,-17.08251544966059,151.19007166108366,33.09,76.82000000000001,24.507777777777783,43.730000000000004,52.312222222222225,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.36944134018176367,0.9109632075097784,15.743086419753087,17.489999999999995,7.469629629629633,15.364,10.932500000000001,1,1.0,1,1,1,3,3.0,3.0
-13.5,-1,20.399999999999995,15.802057613168726,13.699621858914258,92.6,114.26666666666664,94.5,93.86666666666667,Wed 11-24 11-24,N,50 (Ⅱ),Fresno St.,"L, 59-52",61,84.8,43.0,24.5,27.3,24.0,96.3,37.8,13.1,25.0,51.0,-31.0,-6.5,142.0,109.28125,125.9625,113.7687242798354,117.52883931177078,95.034375,95.56875,97.96666666666668,103.82921745285654,20211124,109.4,97.9,11.5,103.2,98.7,4.5,107.5,96.8,10.75,70.7,-4.332059080274291,135.4628848558063,66.47610241820767,-4.732005286511978,142.41026121483617,-10.15719819650957,142.41026121483617,-4.732005286511978,142.41026121483617,-10.15719819650957,145.67499667850808,102.4,98.3,4.07,66.1,109.4,97.9,11.5,103.2,98.7,4.5,-10.272648447425105,145.7629027382864,0,118.17904172066156,97.80077060851616,20.3782711121454,31.646147954235257,93.2840124758338,107.90047808956018,-14.616465613726376,-11.891738701971857,2021-11-24,-24.721758935888516,149.0450396046224,-28.94229012430342,149.0450396046224,-11.75,65.07000000000001,41.945185185185196,76.82000000000001,23.124814814814812,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.732057505466481,0.9907250110964196,5.052057613168726,9.649999999999995,15.743086419753087,10.845000000000002,15.364,1,1.0,1,1,1,3,3.0,3.0
-8.0,-1,12.933333333333332,10.001371742112488,10.917872430020758,104.2,109.8,105.8,96.86666666666666,Sat 11-27 11-27,H,118 (Ⅲ),UC Irvine,"L, 69-64",67,95.5,48.0,14.9,9.4,40.0,102.9,48.4,19.4,37.8,26.2,-2.5,-3.0,135.5,106.740625,109.28125,110.57914951989028,115.1054139823579,100.4171875,95.034375,100.5777777777778,104.18754155233717,20211127,108.5,98.0,10.5,98.9,91.7,7.200000000000003,107.1,97.1,10.05,69.7,-4.966720034537147,132.134599009444,66.62645803698436,-5.512422775195503,134.19854542346235,-7.013357006726005,134.19854542346235,-5.512422775195503,134.19854542346235,-7.013357006726005,127.73212331452402,101.6,93.9,7.7,67.2,108.5,98.0,10.5,98.9,91.7,7.200000000000003,-4.7683896713117235,130.15283781917486,0,111.81258089766598,99.85287338738512,11.959707510280865,19.00653804244541,99.95180842575007,88.40331296847212,11.548495457277951,14.621826247782051,2021-11-27,-3.143369699618461,135.65700591080892,-5.100594421262585,135.65700591080892,-11.05,54.02000000000001,49.65345679012347,65.07000000000001,4.366543209876539,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.6124515189020077,0.6176705693183074,-0.048628257887513016,2.883333333333331,5.052057613168726,7.717142857142857,10.845000000000002,-1,1.0,1,1,1,1,3.0,3.0
0.5,9,2.0,9.834247828074991,10.660077442744257,97.1,97.96666666666664,87.6,95.96666666666664,Tue 11-30 11-30,H,159 (Ⅳ),Hawaii,"W, 70-58",70,100.1,51.6,15.7,23.5,18.0,82.9,39.3,18.6,23.1,19.7,-17.5,-11.5,145.5,101.9203125,106.740625,106.08609967992686,111.83170234920192,94.00859375,100.4171875,96.25185185185188,101.17162490645768,20211130,109.3,99.0,10.299999999999995,103.7,105.7,-2.0,107.4,98.0,9.31,70.0,-13.16677835435651,144.46495973472634,68.90469416785207,-13.390071932687263,154.22380878119037,-17.932470297062146,154.22380878119037,-13.390071932687263,154.22380878119037,-17.932470297062146,155.03606464988258,100.5,104.1,-3.65,69.2,109.3,99.0,10.299999999999995,103.7,105.7,-2.0,-18.50323031449798,159.71344913781587,0,108.77308964359072,96.93571657990252,11.837373063688204,17.919085679002457,103.82659594703615,101.12523461026476,2.7013613367713987,3.3973889056421527,2021-11-30,-10.760439250567373,148.8259463976439,-12.141094909045478,148.8259463976439,-0.3100000000000005,53.71000000000001,51.108971193415655,54.02000000000001,2.6010288065843525,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,-3,0.8632938299430262,0.8472720988821287,0.5242478280749907,-7.3100000000000005,-0.048628257887513016,6.71375,7.717142857142857,1,-1.0,1,1,1,3,1.0,3.0
-6.5,0,2.833333333333338,6.756165218716665,8.830972453154391,109.9,103.73333333333332,109.3,100.9,Sat 12-04 12-04,H,102 (Ⅲ),Louisiana Tech,"L, 78-75",70,107.9,48.3,14.4,31.4,43.1,112.2,47.1,14.4,37.5,18.8,5.5,-3.5,147.5,105.91015625,101.9203125,107.35739978661792,111.4804837402561,101.654296875,94.00859375,100.60123456790126,102.64951128710172,20211204,108.5,98.0,10.5,106.2,99.1,7.1000000000000085,106.9,97.4,9.5,70.0,-5.0868923763488,145.80969797551705,69.40256045519205,-6.659238459129099,150.43382979535318,-6.120533142626834,150.43382979535318,-6.659238459129099,150.43382979535318,-6.120533142626834,150.53400874144057,107.6,99.4,8.23,69.7,108.5,98.0,10.5,106.2,99.1,7.1000000000000085,-9.622170204306267,156.4093733238157,0,108.4323995141225,97.48819482543652,10.944204688685971,15.731985234605592,105.17994306425996,105.64279333780044,-0.46285027354048225,-0.1021542905209479,2021-12-04,-12.85518603202344,154.50516340489958,-13.084434989410965,154.50516340489958,-9.5,44.21000000000001,51.97598079561045,53.71000000000001,-7.765980795610439,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.6305586598182363,0.8895811085550214,-2.7438347812833346,-6.6666666666666625,0.5242478280749907,4.912222222222221,6.71375,-1,1.0,-1,1,1,-1,3.0,1.0
-5.0,2,4.333333333333333,5.470776812477775,7.752613825308136,119.6,108.86666666666667,116.7,104.53333333333332,Tue 12-07 12-07,H,254 (Ⅳ),Mount St. Mary's,"W, 88-77",73,121.0,63.6,13.8,11.1,40.0,105.9,49.4,4.1,18.2,2.6,32.0,-16.0,133.0,112.755078125,105.91015625,111.43826652441194,112.9567594238459,109.1771484375,101.654296875,105.96748971193418,105.20414559853776,20211207,109.2,98.7,10.5,93.3,103.2,-9.900000000000006,107.4,98.2,9.21,69.9,-17.88684228967673,130.90483829012132,64.72958748221906,-17.49259434341461,136.37976737951436,-20.069056283301016,136.37976737951436,-17.49259434341461,136.37976737951436,-20.069056283301016,127.30762286301197,91.9,104.6,-12.62,65.1,109.2,98.7,10.5,93.3,103.2,-9.900000000000006,-23.412410274420587,136.60703576297104,0,108.50326019268604,99.31514294976242,9.188117242923624,12.939904275914492,95.09662389852411,103.01327267899823,-7.9166487804741195,-8.963787367389523,2021-12-07,-15.34110858994125,137.27284958292964,-16.026629830607895,137.27284958292964,-7.210000000000001,37.00000000000001,49.38732053040697,44.21000000000001,-12.38732053040696,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,3,0.9362218501099964,0.9280002321171346,-3.739223187522226,-4.876666666666668,-2.7438347812833346,3.700000000000001,4.912222222222221,-1,-1.0,-1,1,1,-1,-1.0,3.0
