ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-13.5,-3,,-3.700000000000003,-3.700000000000003,93.8,0.0,97.5,0.0,Wed 11-10 11-10,H,252 (Ⅳ),Alcorn St.,"W, 69-66",72,96.4,47.4,19.6,23.5,29.3,92.2,48.1,23.8,25.0,35.8,-9.0,-16.5,144.0,93.8,0.0,93.8,93.8,97.5,0.0,97.5,97.5,20211110,104.2,101.2,3.0,94.7,110.3,-15.599999999999994,97.6,101.1,-3.45,71.4,-13.42865777514978,139.13613727169565,72.61877667140826,-18.562979787820893,156.91846446040168,-6.242338840463049,156.91846446040168,-18.562979787820893,156.91846446040168,-6.242338840463049,154.45952660542255,88.5,105.2,-16.71,71.5,104.2,101.2,3.0,94.7,110.3,-15.599999999999994,-6.242338840463049,154.45952660542255,0,93.90844709992422,99.20047090344436,-5.292023803520138,-4.434359569943507,89.78964905890605,105.03641607438948,-15.246767015483428,-22.055769448573475,2021-11-10,-11.006501617291278,139.596116738808,-14.560462726068252,139.596116738808,0.4500000000000002,0.4500000000000002,0.0,0.0,0.4500000000000002,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9419584331306725,0.8527355739850393,-0.25000000000000266,,0.0,0.4500000000000002,0.0,-1,0.0,1,1,1,1,0.0,0.0
-4.5,-5,,-4.166666666666667,-3.954545454545456,106.0,0.0,111.1,0.0,Fri 11-12 11-12,A,42 (I),Washington St.,"L, 79-61",66,93.0,41.8,19.8,35.9,36.4,120.4,55.6,18.3,40.0,61.1,0.0,13.5,140.0,99.9,93.8,97.86666666666667,96.0181818181818,104.3,97.5,102.03333333333336,99.97272727272728,20211112,100.5,98.6,1.9000000000000057,102.9,92.6,10.300000000000011,97.6,101.1,-3.45,71.4,15.309516094963996,140.73877069289034,71.50156472261737,10.125424087673721,142.46550529368682,17.575284732663476,142.46550529368682,10.125424087673721,142.46550529368682,17.575284732663476,151.74567617297038,105.5,92.9,12.67,70.4,100.5,98.6,1.9000000000000057,102.9,92.6,10.300000000000011,17.575284732663476,151.74567617297038,0,94.57642377524958,97.56126491610424,-2.9848411408546554,-5.007614334611277,107.0238245869775,94.27747258560868,12.74635200136882,3.830894386430461,2021-11-12,15.119169175595928,141.9150566215023,8.309936621468196,141.9150566215023,-1.5499999999999998,-1.0999999999999996,0.4500000000000002,0.4500000000000002,-1.5499999999999998,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,3,0.09927139684333097,0.07494489335214871,-0.7166666666666668,,-0.25000000000000266,-0.5499999999999998,0.4500000000000002,-1,-1.0,-1,-1,1,-3,1.0,0.0
21.5,5,-1.2666666666666655,-1.1111111111111116,-2.3264462809917363,98.1,99.3,93.1,100.56666666666666,Sun 11-14 11-14,H,335 (Ⅳ),Idaho St.,"W, 77-51",67,115.4,57.8,12.0,14.3,17.2,76.5,39.8,19.5,18.4,25.9,-10.0,-4.5,138.0,99.0,99.9,97.94444444444446,96.39669421487602,98.7,104.3,99.05555555555556,98.72314049586775,20211114,100.8,99.7,1.0999999999999943,95.2,100.7,-5.5,98.4,102.2,-3.81,70.4,-2.5697557458181137,133.29086536083668,68.29701280227597,-8.458200844569944,137.54645908755083,-10.834594856793718,137.54645908755083,-8.458200844569944,137.54645908755083,-10.834594856793718,122.89906396531512,96.8,98.8,-2.0,68.2,100.8,99.7,1.0999999999999943,95.2,100.7,-5.5,-10.898125006364582,122.98743104114611,0,97.67751675816892,99.5974660467504,-1.9199492885814777,-0.46548798191702,107.577127407297,95.10121490580204,12.47591250149496,1.4841111592303229,2021-11-14,6.052787108109769,139.66845581295587,-0.5905380322666929,139.66845581295587,8.81,7.710000000000001,-0.06666666666666637,-1.0999999999999996,7.776666666666667,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.6658824291023754,0.28215352979352315,2.6988888888888884,2.543333333333335,-0.7166666666666668,2.5700000000000003,-0.5499999999999998,1,-1.0,1,1,-1,3,-3.0,1.0
3.5,14,4.933333333333337,4.225925925925927,0.8056348610067625,123.5,109.2,108.6,104.26666666666664,Thu 11-18 11-18,H,305 (Ⅳ),Morgan St.,"W, 93-80",76,122.0,59.0,19.7,40.5,26.9,105.0,53.4,22.3,29.4,43.1,27.0,-9.5,146.0,111.25,99.0,106.462962962963,101.32456799398946,103.65,98.7,102.23703703703706,100.51893313298272,20211118,100.8,98.7,2.0999999999999943,101.0,105.6,-4.599999999999994,99.0,100.7,-1.7,70.1,-9.155823796206576,143.84043363954476,72.69260312944523,-9.313026730003813,153.36986729032037,-26.616577800407562,153.36986729032037,-9.313026730003813,153.36986729032037,-26.616577800407562,140.91379070729008,95.1,103.9,-8.78,72.9,100.8,98.7,2.0999999999999943,101.0,105.6,-4.599999999999994,-26.549307166208933,140.71251945044966,0,100.3835644654481,100.36689358616938,0.016670879278720463,3.207399188499381,99.4644794761307,105.90166568331468,-6.43718620718397,0.9394898058186304,2021-11-18,-9.105490635540221,153.3681241850299,-3.7261979963360545,153.3681241850299,15.7,23.41,2.525555555555556,7.710000000000001,20.884444444444444,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.817204231217584,0.8070809288965249,5.925925925925927,6.633333333333337,2.6988888888888884,5.8525,2.5700000000000003,1,1.0,1,1,1,3,3.0,-3.0
3.0,-5,4.900000000000001,1.0839506172839508,-0.2862987500853767,85.3,102.3,90.5,97.4,Mon 11-22 11-22,H,350 (Ⅳ),Arkansas Pine Bluff,"W, 77-56",72,107.6,53.3,18.2,26.5,25.0,78.2,36.8,19.6,11.1,35.8,-14.0,-18.0,147.0,98.275,111.25,99.40864197530864,98.41101017690046,97.075,103.65,98.32469135802472,98.69730892698584,20211122,102.2,98.9,3.299999999999997,89.4,110.5,-21.099999999999994,100.5,101.7,-1.28,69.9,-22.558803735315124,138.9362340437188,70.49658605974398,-21.753980334732866,145.76752750896728,-14.489132900325588,145.76752750896728,-21.753980334732866,145.76752750896728,-14.489132900325588,153.00675456273646,83.9,111.4,-27.47,70.9,102.2,98.9,3.299999999999997,89.4,110.5,-21.099999999999994,-14.786065354217598,153.2025879881768,0,97.09428760041608,97.54774686242123,-0.4534592620051541,5.185607966789792,108.12732719131408,99.3972592016872,8.730067989626875,4.274001893985934,2021-11-22,2.3897853091075234,145.55103750522653,-2.7099173974027053,145.55103750522653,-3.7199999999999998,19.69,9.487037037037037,23.41,10.202962962962964,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.9567618672531671,0.4099791538775964,2.363950617283951,6.1800000000000015,5.925925925925927,3.9380000000000006,5.8525,1,1.0,1,1,1,3,3.0,3.0
6.5,7,5.600000000000004,3.089300411522637,1.056664659021057,104.4,104.40000000000002,97.3,98.8,Sat 11-27 11-27,H,287 (Ⅳ),St. Thomas,"W, 81-64",66,122.6,53.0,12.1,43.2,23.9,96.9,46.4,9.1,12.5,32.1,-1.5,-10.5,146.5,101.3375,98.275,101.07242798353911,99.499917417464,97.1875,97.075,97.98312757201649,98.44325275844297,20211127,101.8,99.2,2.5999999999999943,103.0,112.6,-9.599999999999994,100.7,102.0,-1.36,69.2,-11.297448268832355,143.1966954807126,65.65633001422476,-12.470117704485034,146.21436060679144,-3.160039289325958,146.21436060679144,-12.470117704485034,146.21436060679144,-3.160039289325958,157.30638685119166,101.8,114.2,-12.38,66.7,101.8,99.2,2.5999999999999943,103.0,112.6,-9.599999999999994,-5.965166732529742,155.3082106857958,0,97.60728017322778,94.96502098768111,2.6422591855466635,7.375220384922538,118.2791396115727,103.31821111060545,14.960928500967256,17.500864478426664,2021-11-27,3.71012923812566,143.31718535378258,4.581090920483646,143.31718535378258,8.36,28.05,12.888024691358027,19.69,15.161975308641974,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.8413447460685429,0.36191466614786627,4.449300411522637,6.960000000000004,2.363950617283951,4.675,3.9380000000000006,1,1.0,1,1,1,3,3.0,3.0
1.5,5,2.366666666666665,3.7928669410150873,1.809998357380863,93.6,94.43333333333334,88.4,92.06666666666666,Wed 12-01 12-01,H,302 (Ⅳ),McNeese St.,"W, 78-62",75,103.4,50.0,11.9,12.8,57.1,82.2,48.9,35.8,34.3,67.4,-7.5,-14.5,147.5,97.46875,101.3375,98.58161865569276,98.42720515974328,92.79375,97.1875,94.78875171467767,96.61720680236242,20211201,103.1,100.1,3.0,93.1,106.0,-12.900000000000006,101.8,102.8,-0.93,69.1,-14.414566186226835,144.69455510110905,72.5402560455192,-16.143319729720886,150.5411948667109,-12.56938798653366,150.5411948667109,-16.143319729720886,150.5411948667109,-12.56938798653366,133.85720309172936,90.3,105.3,-15.06,73.8,103.1,100.1,3.0,93.1,106.0,-12.900000000000006,-11.961977661366255,132.78475223242276,0,99.4805607719278,96.48453542981304,2.9960253421147627,8.885749263052436,95.91384347002509,93.05637552709494,2.8574679429301426,-0.7534722610683968,2021-12-01,-3.8673449205344212,137.32627796993734,-9.106031587500567,137.32627796993734,5.93,33.980000000000004,17.94201646090535,28.05,16.037983539094654,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9163531986724158,0.6436821439909611,4.722866941015087,3.296666666666665,4.449300411522637,4.854285714285714,4.675,1,1.0,1,1,1,3,3.0,3.0
-14.0,-11,0.4333333333333324,-1.1380887059899414,-0.5190922530520214,98.9,98.96666666666664,109.9,98.53333333333336,Sun 12-05 12-05,H,168 (Ⅳ),VMI,"L, 89-82",76,107.6,50.7,9.2,22.2,19.2,116.7,60.0,21.0,27.6,49.1,25.5,-7.0,145.5,98.184375,97.46875,98.68774577046185,98.51316785797177,101.346875,92.79375,99.8258344764518,99.0322601110238,20211205,102.9,99.7,3.200000000000003,102.9,106.8,-3.899999999999992,101.6,102.4,-0.77,69.0,-7.997079595916119,140.69220195121338,65.85917496443811,-8.951340876981533,143.6418120080809,-9.640201099461338,143.6418120080809,-8.951340876981533,143.6418120080809,-9.640201099461338,136.17146143850835,101.7,108.6,-6.91,67.1,102.9,99.7,3.200000000000003,102.9,106.8,-3.899999999999992,-8.584941633021403,138.16052483510407,0,98.05056145230118,98.77028518893106,-0.7197237366298737,3.227839628628949,103.90532112073132,101.07021649299344,2.835104627737877,-1.0196936752868295,2021-12-05,-1.4314647995009864,136.16956998267105,-4.661807023199287,136.16956998267105,-10.23,23.750000000000004,23.288010973936903,33.980000000000004,0.461989026063101,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.7475074624530771,0.5542197880978537,-0.36808870598994137,1.2033333333333325,4.722866941015087,2.96875,4.854285714285714,-1,1.0,1,1,1,1,3.0,3.0
-15.0,-13,-6.366666666666674,-5.192059137326631,-2.84289366158802,92.1,94.86666666666667,105.4,101.23333333333332,Wed 12-08 12-08,N,81 (Ⅱ),UNLV,"L, 76-56",66,84.3,42.6,18.1,25.6,13.1,114.4,64.5,22.6,32.3,27.3,-8.0,5.0,140.0,95.1421875,98.184375,96.49183051364125,97.34713733834052,103.3734375,101.346875,101.68388965096788,100.19003099992857,20211208,102.6,100.9,1.6999999999999886,100.5,102.2,-1.7000000000000028,101.7,103.7,-2.03,70.2,2.1611880512090806,137.70370753911808,66.90469416785207,-2.367236194560604,141.4169090252861,-3.8320052963300166,141.4169090252861,-2.367236194560604,141.4169090252861,-3.8320052963300166,136.89434286025607,101.3,100.1,1.27,67.0,102.6,100.9,1.6999999999999886,100.5,102.2,-1.7000000000000028,-1.1763042595732611,131.39423318099574,0,96.39002145581335,100.24561425527295,-3.8555927994596004,0.7884721868043929,96.81096984310842,98.8404434024656,-2.0294735593571716,-1.7683150951720177,2021-12-08,1.2179516835609832,131.85895445781875,-1.710610711528858,131.85895445781875,-10.97,12.780000000000003,23.442007315957937,23.750000000000004,-10.662007315957934,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.31696934194067294,0.45382809434811,-3.1620591373266316,-4.336666666666675,-0.36808870598994137,1.4200000000000004,2.96875,-1,-1.0,-1,1,1,-1,1.0,3.0
18.0,21,-0.9666666666666686,3.67196057511558,1.5649051859734395,100.0,97.0,78.6,97.96666666666668,Sun 12-12 12-12,H,270 (Ⅳ),UC San Diego,"W, 73-51",67,109.0,61.4,20.9,29.6,8.8,76.1,44.6,28.4,13.8,34.8,-17.5,-4.0,141.5,97.57109375,95.1421875,97.6612203424275,97.8294760040968,90.98671875,103.3734375,93.98925976731192,96.26457081812336,20211212,101.3,101.3,0.0,100.2,104.4,-4.200000000000003,100.4,103.8,-3.41,69.5,-4.686777889601416,140.27761021969496,67.72048364153628,-6.978089627827757,143.89444241477437,-3.340430877112996,143.89444241477437,-6.978089627827757,143.89444241477437,-3.340430877112996,124.91139580438256,99.7,104.2,-4.5,68.5,101.3,101.3,0.0,100.2,104.4,-4.200000000000003,-3.3850537658132147,131.65013301212255,0,97.11303538120218,98.50487917156012,-1.3918437903579388,4.562246928066098,98.5196798480082,96.2126227698622,2.307057078146002,1.1622485830039304,2021-12-12,-1.1939797412068316,132.0997798207809,-4.252942049689224,132.0997798207809,24.41,37.190000000000005,19.888004877305296,12.780000000000003,17.30199512269471,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.6483807083005341,0.5452670914275962,7.0819605751155805,2.4433333333333316,-3.1620591373266316,3.7190000000000003,1.4200000000000004,1,-1.0,1,1,1,3,-1.0,1.0
