ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-1.0,7,,7.799999999999997,7.799999999999997,92.2,0.0,84.4,0.0,Thu 11-11 11-11,N,242 (Ⅳ),Air Force,"W, 59-53",66,89.9,41.4,18.3,31.7,27.6,80.7,52.2,25.9,3.7,26.7,-18.5,-7.0,130.5,92.2,0.0,92.2,92.2,84.4,0.0,84.4,84.4,20211111,102.5,103.4,-0.9000000000000057,92.0,106.6,-14.599999999999994,98.4,100.5,-2.11,71.4,-6.391584414768268,130.7242740307,67.13428165007113,-9.724888952109964,140.60261919704465,-12.961525577800902,140.60261919704465,-9.724888952109964,140.60261919704465,-12.961525577800902,97.53068037281587,92.6,104.3,-11.72,66.1,102.5,103.4,-0.9000000000000057,92.0,106.6,-14.599999999999994,-12.961525577800902,97.53068037281587,0,89.83782619273398,101.07861894995295,-11.24079275721897,-21.7000032835345,94.08972635817968,93.88458846815622,0.20513789002345106,-0.7404761450642701,2021-11-11,7.402336564129655,123.4431942709968,14.071027981663704,123.4431942709968,9.11,9.11,0.0,0.0,9.11,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,9.909999999999997,,0.0,9.11,0.0,1,0.0,1,1,1,3,0.0,0.0
-32.5,-36,,-7.000000000000004,-0.2727272727272769,83.8,0.0,120.4,0.0,Sun 11-14 11-14,A,105 (Ⅱ),Drake,"L, 99-50",72,69.6,34.7,25.1,20.5,53.1,137.9,64.4,15.3,40.0,50.8,6.0,16.5,143.0,88.0,92.2,89.4,90.67272727272729,102.4,84.4,96.4,90.94545454545454,20211114,101.3,102.1,-0.7999999999999972,108.1,96.7,11.399999999999991,98.2,101.9,-3.71,71.4,16.3030718548127,143.7240865218431,71.19687055476531,13.290945402351753,152.01321863458827,21.859145413901178,152.01321863458827,13.290945402351753,152.01321863458827,21.859145413901178,123.84152348993933,107.8,94.2,13.54,70.1,101.3,102.1,-0.7999999999999972,108.1,96.7,11.399999999999991,21.859145413901178,123.84152348993933,0,110.82576427451292,103.53489369319372,7.290870581319197,12.752646245971563,100.44046364526388,106.1908025200306,-5.750338874766726,0.5993183304736414,2021-11-14,-5.456298754564756,161.20621017217616,-6.526190235455644,161.20621017217616,-32.29,-23.18,9.11,9.11,-32.29,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3.2900000000000045,,9.909999999999997,-11.59,9.11,-1,1.0,-1,-1,1,-3,3.0,0.0
-3.0,5,-7.933333333333337,-3.000000000000004,0.6859504132231371,102.8,92.93333333333334,97.8,100.86666666666667,Fri 11-19 11-19,H,206 (Ⅳ),Southern,"W, 71-68",71,99.8,50.0,23.9,25.8,70.2,95.6,52.8,18.3,12.1,29.6,0.5,-6.0,138.5,95.4,88.0,93.86666666666667,92.8776859504132,100.1,102.4,96.86666666666667,92.19173553719008,20211119,99.7,102.5,-2.799999999999997,93.5,101.2,-7.700000000000003,97.9,101.5,-3.68,71.3,-10.157018435717788,141.82432203171098,74.74836415362732,-8.07075162972383,150.3764751037482,3.689915417310324,150.3764751037482,-8.07075162972383,150.3764751037482,3.689915417310324,128.6124563651002,89.7,101.5,-11.73,73.7,99.7,102.5,-2.799999999999997,93.5,101.2,-7.700000000000003,3.8068958911552784,128.66975879843008,0,91.8570162800981,104.1707827775055,-12.3137664974074,-5.354963970932209,100.9631206493636,96.20550004515763,4.757620604205968,-1.2445221989259443,2021-11-19,8.695542665675305,147.47372889069987,1.0485958991236544,147.47372889069987,8.68,-14.5,-1.6533333333333333,-23.18,-12.846666666666668,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0.6799999999999962,-4.253333333333337,-3.2900000000000045,-4.833333333333334,-11.59,1,-1.0,-1,-1,-1,-1,-3.0,3.0
10.5,0,-10.566666666666668,-2.0333333333333345,0.5430503380916586,102.5,96.36666666666667,102.6,106.93333333333334,Sun 11-21 11-21,H,293 (Ⅳ),Tennessee St.,"W, 83-66",72,115.1,47.8,22.2,40.6,106.5,91.5,49.1,19.4,20.0,42.6,11.0,-6.5,138.0,98.95,95.4,96.74444444444444,94.62719759579262,101.35,100.1,98.7777777777778,94.08414725770096,20211121,99.3,102.0,-2.700000000000003,96.1,105.3,-9.200000000000005,97.9,102.0,-4.13,70.5,-11.427598267408513,142.2404938166964,73.40825035561879,-9.164960590784304,152.172912684986,-12.709585762054752,152.172912684986,-9.164960590784304,152.172912684986,-12.709585762054752,140.65791068245983,90.3,104.5,-14.15,73.2,99.3,102.0,-2.700000000000003,96.1,105.3,-9.200000000000005,-13.269529075991851,140.49598129805256,0,96.18130866422946,105.92415446213757,-9.742845797908103,-3.9801946154166896,94.01457901230144,97.87104160415834,-3.8564625918568964,-1.1279031420591803,2021-11-21,0.02061103870569525,145.26641688138739,0.09088296833996878,145.26641688138739,4.13,-10.370000000000001,-5.935555555555555,-14.5,-4.434444444444446,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,2.0966666666666653,-6.436666666666668,0.6799999999999962,-2.5925000000000002,-4.833333333333334,1,1.0,-1,-1,-1,-1,-1.0,-3.0
-1.0,-10,-1.8333333333333288,-4.82222222222222,-1.446595177925005,100.7,102.0,111.1,103.83333333333331,Sat 11-27 11-27,A,141 (Ⅲ),Nebraska,"L, 83-70",73,95.9,52.5,24.7,33.3,27.1,113.7,53.3,13.7,25.0,42.6,9.0,12.0,144.0,99.825,98.95,98.06296296296296,95.73134348746667,106.225,101.35,102.8851851851852,97.1779386653917,20211127,100.4,103.1,-2.6999999999999886,101.9,96.0,5.900000000000006,99.4,103.1,-3.74,69.3,11.635697130393297,142.14681900066444,69.8914651493599,10.241494656432948,144.30175062157969,10.460131600984095,144.30175062157969,10.241494656432948,144.30175062157969,10.460131600984095,140.36421043358436,104.3,97.1,7.21,70.9,100.4,103.1,-2.6999999999999886,101.9,96.0,5.900000000000006,9.13125108908307,138.16705412930233,0,95.68436436226176,106.36728292342562,-10.68291856116386,-2.9727392567149318,101.03106248223104,102.88584553935851,-1.8547830571274773,-4.48455863894779,2021-11-27,10.576677299631328,147.50450100471653,0.827360100889905,147.50450100471653,-6.26,-16.630000000000003,-7.413703703703704,-10.370000000000001,-9.2162962962963,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-1.08222222222222,1.9066666666666714,2.0966666666666653,-3.3259999999999996,-2.5925000000000002,-1,1.0,-1,-1,-1,-3,-1.0,-1.0
-6.5,-28,-12.86666666666666,-12.581481481481475,-6.29266878193864,76.2,93.13333333333333,104.3,106.0,Tue 11-30 11-30,A,291 (Ⅳ),San Jose St.,"L, 61-52",62,83.7,44.5,20.9,23.5,9.1,98.2,52.7,19.3,24.2,10.9,-24.0,2.5,137.0,88.0125,99.825,90.77530864197531,92.18019012610912,105.2625,106.225,103.35679012345682,98.47285890804774,20211130,101.1,104.2,-3.1000000000000085,101.7,108.1,-6.399999999999992,100.0,103.9,-3.94,69.6,-2.9802503473565025,138.8353509192595,67.124893314367,1.8632382724992738,148.02342439045768,5.082076050550415,148.02342439045768,1.8632382724992738,148.02342439045768,5.082076050550415,138.1173259202457,95.2,109.2,-13.98,67.8,101.1,104.2,-3.1000000000000085,101.7,108.1,-6.399999999999992,5.356771851850663,138.19066578812223,0,93.10879153051624,103.77875562485956,-10.669964094343314,-3.08271540727476,95.9119881273923,99.50449139470156,-3.5925032673092545,-3.981150751467378,2021-11-30,8.440343471991639,132.3444247817253,1.2100406697934574,132.3444247817253,-24.06,-40.69,-10.485802469135804,-16.630000000000003,-30.204197530864192,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,-8.641481481481476,-8.92666666666666,-1.08222222222222,-6.781666666666668,-3.3259999999999996,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
4.5,-9,-15.833333333333329,-11.387654320987652,-6.78491082158616,92.9,89.93333333333334,101.9,105.76666666666668,Tue 12-07 12-07,A,204 (Ⅲ),Northern Colorado,"L, 74-69",69,100.2,53.2,17.4,20.7,8.1,107.5,55.9,16.0,20.6,51.0,2.5,9.5,140.5,90.45625,88.0125,91.48353909465024,92.31106464863473,103.58125,105.2625,102.87119341563788,99.09597547022088,20211207,99.4,104.2,-4.799999999999997,103.2,103.2,0.0,98.7,103.9,-5.21,68.4,6.416986172830718,141.01929289116453,66.94054054054055,7.43446317775566,144.25728080776213,14.310031057851665,144.25728080776213,7.43446317775566,144.25728080776213,14.310031057851665,146.97211110472685,103.6,105.3,-1.6,68.8,99.4,104.2,-4.799999999999997,103.2,103.2,0.0,12.312630249383623,138.85402330626587,0,94.16965055491936,103.89960827690876,-9.729957721989408,-3.559020844692645,100.8198614159238,102.55753681568406,-1.7376753997602634,-5.196307171540118,2021-12-07,9.47482805829992,138.29117781410466,0.6962747231447963,138.29117781410466,-3.79,-44.48,-20.553868312757203,-40.69,-23.926131687242794,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,-6.177654320987652,-10.623333333333328,-8.641481481481476,-6.354285714285714,-6.781666666666668,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-0.5,-9,-15.533333333333331,-10.758436213991768,-7.2785633994795855,91.8,86.96666666666665,101.3,102.5,Sat 12-11 12-11,H,318 (Ⅳ),Northern Arizona,"W, 76-71 OT",75,101.3,45.9,9.3,17.1,41.0,94.6,45.1,13.3,25.0,15.3,11.5,-5.5,135.5,91.128125,90.45625,91.58902606310016,92.2181438034284,102.440625,103.58125,102.34746227709194,99.49670720290798,20211211,98.7,104.5,-5.799999999999997,96.5,108.8,-12.299999999999995,98.9,104.2,-5.33,68.3,-9.278938482134336,135.9885312482681,65.67681365576102,-8.333183605998684,140.37189301556492,-10.717750402987782,140.37189301556492,-8.333183605998684,140.37189301556492,-10.717750402987782,134.25305601295406,95.7,109.3,-13.6,67.6,98.7,104.5,-5.799999999999997,96.5,108.8,-12.299999999999995,-5.012551456768411,127.87844971660772,0,92.00127549251413,104.11901536790393,-12.117739875389802,-7.194070301425048,97.31711339350063,103.32942778405972,-6.012314390559084,-7.994917740208764,2021-12-11,0.5141657369238999,132.1571199601253,-2.225262855186031,132.1571199601253,-3.67,-48.15,-28.529245541838137,-44.48,-19.620754458161862,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-5.428436213991768,-10.203333333333331,-6.177654320987652,-6.01875,-6.354285714285714,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
15.5,5,-4.199999999999998,-5.205624142661177,-4.882460963210568,106.4,97.03333333333336,100.5,101.23333333333332,Wed 12-15 12-15,H,163 (Ⅳ),Bellarmine,"W, 78-64",66,117.9,55.3,13.6,19.2,68.1,96.8,48.1,19.7,25.7,31.5,4.5,1.5,137.5,98.7640625,91.128125,96.5260173754001,94.79666311189597,101.4703125,102.440625,101.7316415180613,99.67912407510651,20211215,97.2,103.4,-6.200000000000003,100.8,107.0,-6.200000000000003,97.8,103.6,-5.8,67.9,-1.5614615826753635,134.6070251910386,64.13314366998578,-3.689788432297078,137.0474594359864,1.6957788961142397,137.0474594359864,-3.689788432297078,137.0474594359864,1.6957788961142397,128.51239470269317,103.5,106.1,-2.62,66.4,97.2,103.4,-6.200000000000003,100.8,107.0,-6.200000000000003,0.8880872671771616,129.0097256350434,0,93.43164542534146,103.08285548573554,-9.651210060394078,-4.092545296474431,97.24147731728064,105.376364650558,-8.134887333277362,-2.2011128288586628,2021-12-15,-2.486518460484774,130.74170004638233,-0.5261844295761975,130.74170004638233,10.8,-37.349999999999994,-35.06949702789209,-48.15,-2.2805029721079038,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0.5943758573388225,1.6000000000000014,-5.428436213991768,-4.15,-6.01875,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
-5.0,-13,-5.599999999999999,-7.870416095107452,-6.394740788081375,99.5,99.23333333333332,112.7,104.83333333333331,Mon 12-20 12-20,H,150 (Ⅲ),Oral Roberts,"L, 82-73",69,105.2,47.7,4.3,20.0,26.2,118.1,62.9,14.4,8.0,17.2,10.0,4.0,145.0,99.13203125,98.7640625,97.5173449169334,95.65181527336942,107.08515625,101.4703125,105.38776101204088,102.0465560614508,20211220,96.5,102.5,-6.0,104.5,104.6,-0.0999999999999943,98.0,103.7,-5.64,68.0,0.7125989308631802,140.97597710244443,67.32290184921764,0.24091812635829513,143.41868210669264,6.659605707344763,143.41868210669264,0.24091812635829513,143.41868210669264,6.659605707344763,137.28801538246233,104.9,103.9,1.0,69.6,96.5,102.5,-6.0,104.5,104.6,-0.0999999999999943,3.3292730278895752,138.09237593749776,0,93.60696010896736,103.46000322570733,-9.853043116739968,-5.684292225998982,102.8032475822454,101.6304881886999,1.1727593935455047,5.0942551524951405,2021-12-20,3.854088825477888,138.79658246032125,5.376950841735081,138.79658246032125,-7.36,-44.709999999999994,-35.82966468526139,-37.349999999999994,-8.880335314738602,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,-2.2304160951074525,0.040000000000000924,0.5943758573388225,-4.471000000000001,-4.15,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
