ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
9.0,15,,15.199999999999989,15.199999999999989,107.6,0.0,92.4,0.0,Tue 11-09 11-09,H,252 (Ⅳ),Siena,"W, 75-47",62,121.2,53.4,9.7,32.4,36.2,76.0,41.0,24.2,25.7,20.0,-11.5,-19.0,133.5,107.6,0.0,107.6,107.6,92.4,0.0,92.4,92.4,20211109,110.0,92.7,17.299999999999997,102.0,105.7,-3.700000000000003,109.7,91.1,18.58,68.0,-21.33285135518225,130.96105913470245,66.45234708392604,-18.81474287431962,144.03829341587212,-22.626191587726474,144.03829341587212,-18.81474287431962,144.03829341587212,-22.626191587726474,130.8489095239195,93.6,102.1,-8.57,68.7,110.0,92.7,17.299999999999997,102.0,105.7,-3.700000000000003,-22.626191587726474,130.8489095239195,0,0.0,0.0,0.0,0.0,97.2244819577442,103.4065741593692,-6.182092201624997,-2.451536646069506,2021-11-09,0.0,0.0,,0.0,-3.5799999999999983,-3.5799999999999983,0.0,0.0,-3.5799999999999983,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.9648151676951044,0.5,-3.3800000000000097,,0.0,-3.5799999999999983,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-11.5,-6,,7.933333333333325,11.236363636363626,88.3,0.0,94.9,0.0,Sun 11-14 11-14,H,286 (Ⅳ),Canisius,"W, 69-60",72,96.2,45.3,19.5,27.6,50.9,83.6,37.1,20.9,34.1,18.2,-8.5,-20.5,137.5,97.95,107.6,101.16666666666666,104.0909090909091,93.65,92.4,93.23333333333336,92.85454545454544,20211114,107.6,90.2,17.39999999999999,96.8,103.9,-7.1000000000000085,109.6,91.1,18.49,67.6,-21.465867708927817,140.36365146209928,70.19630156472262,-21.596161314708326,143.5553731222386,-21.01832920596563,143.5553731222386,-21.596161314708326,143.5553731222386,-21.01832920596563,136.09430549025686,96.1,102.8,-6.64,73.0,107.6,90.2,17.39999999999999,96.8,103.9,-7.1000000000000085,-20.94093480686526,136.028355643357,0,89.28694651965408,101.11189028994106,-11.824943770286978,-18.22316048337541,93.72293625898004,94.2814844657638,-0.5585482067837546,-2.524323288453615,2021-11-14,4.005319910582948,128.36201655237204,9.258402183547823,128.36201655237204,-24.49,-28.069999999999997,-3.5799999999999983,-3.5799999999999983,-24.49,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9745535036187463,0.3514313298378906,-10.556666666666674,,-3.3800000000000097,-14.034999999999997,-3.5799999999999983,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
2.5,25,11.399999999999997,13.82222222222222,13.847933884297513,120.7,105.53333333333336,95.1,94.13333333333333,Thu 11-18 11-18,N,30 (I),Boise St.,"W, 67-61",61,109.7,49.1,13.1,29.0,34.0,99.9,40.5,13.1,30.8,27.6,-4.0,-3.5,132.0,109.325,97.95,107.67777777777778,107.11074380165287,94.375,93.65,93.85555555555555,93.26280991735536,20211118,105.6,90.0,15.599999999999994,102.2,92.7,9.5,108.1,90.7,17.37,68.0,-4.518412149777433,130.70159907716044,67.80654338549076,-4.105875017515544,131.883106074181,4.816882749562587,131.883106074181,-4.105875017515544,131.883106074181,4.816882749562587,120.35636245781845,103.1,92.7,10.4,70.1,105.6,90.0,15.599999999999994,102.2,92.7,9.5,4.681711032787145,120.42454995928011,0,97.76377992132656,99.63797771849592,-1.8741977971693586,-0.5850802317468236,100.53079686451336,94.54088572960464,5.9899111349087235,9.66676631841372,2021-11-18,5.376221800967684,133.77406214615155,6.951422778848553,133.77406214615155,7.629999999999999,-20.439999999999998,-11.743333333333332,-28.069999999999997,-8.696666666666665,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.6305586598182363,0.3043181128505321,-3.5477777777777817,-5.970000000000004,-10.556666666666674,-6.813333333333331,-14.034999999999997,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.0,7,8.766666666666671,11.64814814814815,12.657400450788876,109.9,106.3,102.6,97.53333333333336,Fri 11-19 11-19,N,80 (Ⅱ),Clemson,"W, 68-65",62,110.0,55.6,14.6,16.1,14.8,105.2,52.6,9.7,17.6,13.8,9.0,-3.0,124.0,109.6125,109.325,108.41851851851854,107.61788129226144,98.4875,94.375,96.7703703703704,94.96048084147256,20211119,105.6,90.0,15.599999999999994,102.2,91.6,10.600000000000009,108.5,91.0,17.56,66.9,-1.2904522961295868,125.94455951253691,64.33058321479375,-3.1347635625570476,124.54943110677056,4.1639585163492985,124.54943110677056,-3.1347635625570476,124.54943110677056,4.1639585163492985,130.8053274598697,107.0,91.6,15.31,67.6,105.6,90.0,15.599999999999994,102.2,91.6,10.600000000000009,4.418226055455306,130.92260770118955,0,98.4400945454612,99.37952247051145,-0.9394279250502393,0.7855457634092717,107.4455412932574,96.64750636798236,10.798034925275047,7.209529313286494,2021-11-19,7.681787220168999,133.2675550096826,4.132586083258417,133.2675550096826,-10.559999999999999,-30.999999999999996,-14.642222222222221,-20.439999999999998,-16.357777777777777,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6124515189020077,0.23220674567316957,-5.911851851851848,-8.793333333333328,-3.5477777777777817,-7.75,-6.813333333333331,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
13.0,31,21.40000000000001,18.198765432098767,16.046964005190897,100.8,110.46666666666664,69.5,89.06666666666666,Sun 11-21 11-21,N,52 (I),Marquette,"W, 70-54",74,94.9,49.2,17.6,21.2,28.8,73.2,35.7,23.1,23.3,42.9,-13.5,-3.0,137.5,105.20625,109.6125,105.87901234567904,106.37826651185028,83.99375,98.4875,87.68024691358028,90.33130250665936,20211121,106.3,91.0,15.299999999999995,103.0,95.0,8.0,109.2,91.4,17.8,66.5,-4.426072609923352,135.23639580476,68.2972972972973,-5.074695441710375,136.1983904800323,-2.2840547092940704,136.1983904800323,-5.074695441710375,136.1983904800323,-2.2840547092940704,139.71682196587068,105.3,94.1,11.27,72.2,106.3,91.0,15.299999999999995,103.0,95.0,8.0,-2.486427790065886,139.93904782734438,0,96.58285076517494,94.84994537712905,1.732905388045893,2.1446689390423117,102.7502483415122,96.92922221225854,5.821026129253667,-2.1399977744607463,2021-11-21,2.6870693455837795,133.65269134505903,-2.926311563519519,133.65269134505903,13.2,-17.799999999999997,-20.094814814814814,-30.999999999999996,2.294814814814817,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.6124515189020077,0.3990096389071398,0.3987654320987666,3.6000000000000085,-5.911851851851848,-3.5600000000000005,-7.75,1,-1.0,1,-1,-1,1,-3.0,-3.0
-19.5,-4,11.333333333333334,10.59917695473251,12.29297054970164,111.3,107.33333333333331,115.9,96.0,Sat 11-27 11-27,H,97 (Ⅲ),Northern Iowa,"L, 90-80",73,110.2,51.6,8.3,10.5,25.0,123.9,63.7,13.8,21.9,22.6,37.5,-9.5,132.5,108.253125,105.20625,107.68600823045269,107.27312714605932,99.946875,83.99375,97.0868312757202,94.98015659635766,20211127,106.8,90.8,16.0,104.2,99.0,5.200000000000003,109.8,91.3,18.55,65.9,-13.604897394987688,130.1489477384929,64.30640113798009,-11.03804045673094,132.41235435544218,-13.467138428902818,132.41235435544218,-11.03804045673094,132.41235435544218,-13.467138428902818,124.8342057416933,102.6,99.5,3.09,68.6,106.8,90.8,16.0,104.2,99.0,5.200000000000003,-12.903579729932973,125.0339688686398,0,97.17921085495158,101.00281040176957,-3.823599546817988,-5.081479720885992,99.8883557488597,107.69306944689008,-7.804713698030383,-20.02221585205717,2021-11-27,-6.281779674517594,135.7077837764577,-11.182422976883196,135.7077837764577,-22.55,-40.349999999999994,-19.329876543209878,-17.799999999999997,-21.020123456790117,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,3,0.817204231217584,0.7251683470635749,-7.950823045267491,-7.216666666666667,0.3987654320987666,-6.725,-3.5600000000000005,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-12.5,-9,5.899999999999992,4.066117969821669,8.421521358846794,120.8,110.96666666666664,129.8,105.06666666666668,Wed 12-01 12-01,H,321 (Ⅳ),Coppin St.,"W, 93-81",74,126.0,54.3,12.2,39.5,30.4,109.7,52.2,13.5,23.7,20.9,35.5,-24.5,138.5,114.5265625,108.253125,112.0573388203018,109.73255857404853,114.8734375,99.946875,107.99122085048012,101.31103721520172,20211201,107.9,94.1,13.800000000000011,90.2,101.1,-10.899999999999991,110.3,94.0,16.34,66.4,-24.439920217727767,135.8105219872804,67.81678520625888,-20.593845117689817,135.24376936419011,-14.058005034283578,135.24376936419011,-20.593845117689817,135.24376936419011,-14.058005034283578,126.5200253574887,90.3,104.7,-14.39,71.8,107.9,94.1,13.800000000000011,90.2,101.1,-10.899999999999991,-19.87708838667174,128.9552012901252,0,100.45168932298752,103.37909053342972,-2.9274012104421985,-5.620779113595522,101.878334923497,95.74994130405716,6.128393619439834,4.719638970159616,2021-12-01,2.4301523964799543,139.83291113231087,5.122224875370861,139.83291113231087,-25.34,-65.69,-26.336584362139916,-40.349999999999994,-39.35341563786008,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9901846713713547,0.40848529816897916,-12.273882030178331,-10.440000000000008,-7.950823045267491,-9.384285714285715,-6.725,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-0.5,7,-2.200000000000008,5.04407864654778,8.163062929965559,97.3,109.8,90.3,112.0,Sat 12-04 12-04,H,146 (Ⅲ),Buffalo,"W, 68-65",69,97.9,47.5,21.6,32.4,23.7,93.6,45.4,15.8,26.2,13.8,-12.0,-3.5,145.0,105.91328125,114.5265625,107.1382258802012,107.47209337876696,102.58671875,114.8734375,102.09414723365344,99.3090304488014,20211204,108.5,96.6,11.900000000000006,108.6,100.6,8.0,110.5,95.2,15.27,66.9,-8.699464038307298,149.25427597404575,69.374253200569,-7.270850791113816,152.13679207741856,-5.166219483882442,152.13679207741856,-7.270850791113816,152.13679207741856,-5.166219483882442,161.3388072118587,110.0,100.7,9.33,72.9,108.5,96.6,11.900000000000006,108.6,100.6,8.0,-3.5628653363537937,156.64111261278032,0,98.30345049977508,100.57408836932022,-2.2706378695451406,-4.631800037267016,102.58509526739029,103.07698572232609,-0.49189045493579897,-1.486027502930388,2021-12-04,-2.7554798998682912,145.2275425184302,0.29929587382225975,145.2275425184302,-8.27,-73.96,-39.454389574759944,-65.69,-34.50561042524005,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.6305586598182363,0.6035037383928067,-10.22592135345222,-17.470000000000006,-12.273882030178331,-9.245000000000001,-9.384285714285715,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.0,-4,-2.300000000000002,1.7293857643651898,5.78796057906273,124.2,114.1,129.1,116.40000000000002,Wed 12-08 12-08,H,290 (Ⅳ),Loyola MD,"W, 84-71",63,133.7,65.8,14.3,34.6,13.3,113.0,61.1,20.7,28.6,11.1,21.0,-17.0,134.0,115.056640625,105.91328125,112.82548392013412,110.51353094626388,115.843359375,102.58671875,111.09609815576896,104.72557036720112,20211208,107.7,96.6,11.100000000000009,92.1,101.3,-9.200000000000005,110.0,95.2,14.78,66.5,-19.553657369626464,131.97855654130535,64.79729729729729,-17.069115075390904,132.0467606196697,-14.614438008968966,132.0467606196697,-17.069115075390904,132.0467606196697,-14.614438008968966,126.63085415485813,94.2,103.9,-9.74,68.5,107.7,96.6,11.100000000000009,92.1,101.3,-9.200000000000005,-14.773731649688314,127.08374904079325,0,102.27567157120336,103.21968111083696,-0.9440095396335977,-3.5848552994206027,98.38850931166353,99.76369065868282,-1.3751813470192928,-0.3337524517558149,2021-12-08,-4.106405919649617,135.35164191979715,0.327850580120149,135.35164191979715,-18.78,-92.74,-50.95625971650662,-73.96,-41.78374028349337,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9472814911099373,0.652133268466807,-13.050614235634809,-17.080000000000002,-10.22592135345222,-10.304444444444446,-9.245000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-6.0,6,2.700000000000003,3.152923842910127,5.826513201051324,102.6,108.03333333333332,96.6,105.33333333333331,Sat 12-11 12-11,N,22 (I-A),Connecticut,"L, 74-64",68,93.7,42.7,16.1,27.5,21.0,108.4,49.1,11.7,21.6,42.1,5.5,4.0,132.5,108.8283203125,115.056640625,109.41698928008944,109.07470713785226,106.2216796875,115.843359375,106.26406543717933,103.24819393680092,20211211,109.1,99.5,9.599999999999994,110.4,93.4,17.0,111.1,96.7,14.33,66.2,3.1605976897872097,135.22933223951367,64.78748221906116,5.282258519068961,140.71717126798438,3.425923290398878,140.71717126798438,5.282258519068961,140.71717126798438,3.425923290398878,140.305721538795,111.0,92.2,18.7,68.8,109.1,99.5,9.599999999999994,110.4,93.4,17.0,8.572382134082703,137.76854556110985,0,101.46029800395782,103.0444836922485,-1.5841856882906882,-4.050696836119541,107.45774538654804,92.16426008334798,15.293485303200058,17.279785412742,2021-12-11,11.443018969621818,135.72772226538385,13.819482394221161,135.72772226538385,-8.33,-101.07,-64.88417314433775,-92.74,-36.18582685566224,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.13789813092013303,-11.177076157089873,-11.629999999999997,-13.050614235634809,-10.107,-10.304444444444446,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
