ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.0,8,,8.200000000000003,8.200000000000003,97.8,0.0,89.6,0.0,Tue 11-09 11-09,H,201 (Ⅳ),Tarleton St.,"W, 62-50",60,102.6,48.9,23.2,37.9,46.8,82.7,47.1,23.2,21.9,5.8,-21.0,-16.0,133.0,97.8,0.0,97.8,97.8,89.6,0.0,89.6,89.6,20211109,102.6,93.4,9.199999999999989,100.1,100.9,-0.8000000000000114,102.9,90.5,12.4,70.3,-14.34270120666666,127.43113244933333,67.0,-10.675045804179106,135.4845931861015,-12.16331404373334,135.4845931861015,-10.675045804179106,135.4845931861015,-12.16331404373334,117.62298808746664,96.4,100.5,-4.1,67.0,102.6,93.4,9.199999999999989,100.1,100.9,-0.8000000000000114,-12.16331404373334,117.62298808746664,0,0.0,0.0,0.0,0.0,97.20707115043108,98.11767384530562,-0.9106026948745409,-2.680047139318984,2021-11-09,0.0,0.0,,0.0,-4.4,-4.4,0.0,0.0,-4.4,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0.9362218501099964,0.5,-4.1999999999999975,,0.0,-4.4,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-19.5,-14,,0.6666666666666679,4.090909090909092,99.5,0.0,113.9,0.0,Fri 11-12 11-12,A,80 (I),Santa Clara,"L, 88-72",72,99.4,44.4,20.7,39.5,14.1,121.5,70.2,16.6,19.2,26.3,23.0,-3.5,137.0,98.65,97.8,98.36666666666667,98.10909090909092,101.75,89.6,97.7,94.0181818181818,20211112,99.9,90.6,9.300000000000011,103.1,98.1,5.0,102.3,89.9,12.4,70.2,-1.7297080324390208,133.61822253990806,70.49957325746799,0.5520743047126615,138.01567313510537,0.5918726779551946,138.01567313510537,0.5520743047126615,138.01567313510537,0.5918726779551946,157.999261294125,101.7,97.0,4.73,70.6,99.9,90.6,9.300000000000011,103.1,98.1,5.0,0.5918726779551946,157.999261294125,0,98.11622261242891,99.4237214583728,-1.3074988459438828,0.2876113372505853,105.19541550925216,106.75669162598716,-1.5612761167350016,-2.1805804014306305,2021-11-12,4.115456869833878,151.0382379866782,0.21523991669276654,151.0382379866782,-26.4,-30.799999999999997,-4.4,-4.4,-26.4,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.3475482169316264,-11.733333333333333,,-4.1999999999999975,-15.4,-4.4,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-4.5,-2,-2.900000000000001,-0.3888888888888879,2.892561983471075,102.4,99.9,104.9,102.8,Mon 11-15 11-15,H,289 (Ⅳ),San Jose St.,"W, 76-62",65,116.3,52.5,13.8,44.7,41.0,94.8,52.2,21.4,19.4,54.3,-0.5,-18.5,138.5,100.525,98.65,99.71111111111114,98.88925619834713,103.325,101.75,100.1,95.99669421487602,20211115,99.9,92.7,7.200000000000003,99.9,107.4,-7.5,102.7,92.0,10.68,70.4,-22.065480433386206,136.0367949096626,69.59886201991466,-14.451838833758373,142.73483830906144,4.685822195169521,142.73483830906144,-14.451838833758373,142.73483830906144,4.685822195169521,160.31562157063112,92.0,108.1,-16.09,69.5,99.9,92.7,7.200000000000003,99.9,107.4,-7.5,4.480184760980467,160.11615375764484,0,92.94905355254764,104.58748276512522,-11.638429212577577,-14.376292138730856,102.67956342376624,98.18079721277562,4.498766210990624,3.611085052160208,2021-11-15,7.532388487980882,141.22810398777696,10.675136158301036,141.22810398777696,-12.68,-43.48,-13.2,-30.799999999999997,-30.279999999999998,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9609573050315723,0.23657281026101273,-11.068888888888887,-13.58,-11.733333333333333,-14.493333333333334,-15.4,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.5,21,1.466666666666664,6.84074074074074,6.239368895567242,102.0,101.3,80.7,99.83333333333331,Wed 11-17 11-17,H,211 (Ⅳ),Valparaiso,"W, 74-60",73,101.9,56.5,19.3,17.9,33.3,82.6,49.0,26.2,6.9,23.5,1.0,-13.5,133.0,101.2625,100.525,100.4740740740741,99.45484598046582,92.0125,103.325,93.63333333333335,93.21547708489857,20211117,99.5,93.0,6.5,100.0,100.8,-0.7999999999999972,102.8,92.5,10.35,69.4,-15.137134578155674,130.57883408125076,68.11664295874823,-8.867291146609375,135.027333794706,-7.856868849466472,135.027333794706,-8.867291146609375,135.027333794706,-7.856868849466472,129.50330771843159,94.7,101.7,-6.97,69.0,99.5,93.0,6.5,100.0,100.8,-0.7999999999999972,-7.864275481707834,129.4970373344554,0,117.44390719047158,98.1081746333291,19.335732557142478,15.640694005389156,106.14942565576187,99.16593315450449,6.983492501257388,7.276242656420679,2021-11-17,-12.90875654164401,154.18258766393754,-7.823392934602111,154.18258766393754,10.65,-32.83,-23.293333333333333,-43.48,-9.536666666666665,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.900728603156669,0.8905400738543313,-3.5092592592592595,-8.883333333333336,-11.068888888888887,-8.2075,-14.493333333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-23.5,-9,3.2666666666666657,1.560493827160494,3.4685745509186523,95.3,99.9,104.3,96.63333333333333,Sat 11-20 11-20,A,4 (I-A),Baylor,"L, 86-48",65,73.5,44.4,33.7,34.4,35.6,131.6,63.3,13.8,32.3,28.3,-5.0,14.5,139.0,98.28125,101.2625,98.7493827160494,98.69941943856294,98.15625,92.0125,97.18888888888893,95.23084488764428,20211120,99.6,92.0,7.599999999999994,110.6,90.2,20.39999999999999,102.5,92.2,10.29,70.0,13.656265886415227,139.89237902030766,72.09103840682789,12.739005621527582,141.51927266928612,17.415030134547422,141.51927266928612,12.739005621527582,141.51927266928612,17.415030134547422,131.53933272002283,112.9,88.3,24.61,72.4,99.6,92.0,7.599999999999994,110.6,90.2,20.39999999999999,17.602567695333846,131.45753133653906,0,95.51555895648906,108.96252777173758,-13.446968815248525,-9.405049712753518,105.74700446780056,87.37387616870615,18.373128299094418,25.01565979931665,2021-11-20,27.52665407685072,147.15639704937843,26.990349902422977,147.15639704937843,-19.29,-52.12,-26.47222222222222,-32.83,-25.647777777777776,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.08364680132758417,0.00437608255091404,-8.729506172839505,-7.023333333333333,-3.5092592592592595,-10.424,-8.2075,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.5,8,7.033333333333331,3.973662551440328,4.437924632569806,101.2,99.5,92.4,92.46666666666664,Tue 11-23 11-23,H,263 (Ⅳ),North Carolina A&T,"W, 79-65",74,106.3,50.0,21.5,46.2,39.1,87.5,41.2,14.8,23.3,17.6,10.0,-16.5,134.0,99.740625,98.28125,99.56625514403297,99.15407044973333,95.278125,98.15625,95.5925925925926,94.71614581716348,20211123,99.8,93.7,6.099999999999994,93.6,101.5,-7.900000000000006,102.6,93.6,9.0,68.3,-14.467725679644218,129.938474720388,68.78577524893313,-13.303830757614634,133.41383885612683,-8.070327254536506,133.41383885612683,-13.303830757614634,133.41383885612683,-8.070327254536506,125.29295109836596,92.7,100.0,-7.22,70.8,99.8,93.7,6.099999999999994,93.6,101.5,-7.900000000000006,-7.917271926804303,125.34106545503997,0,96.76111756624356,105.42671293374003,-8.66559536749648,-5.204572589545769,93.9236966996152,98.53844344225044,-4.6147467426352335,-3.992694637834111,2021-11-23,-1.2451286737723848,136.8544679765784,-1.0038323009174093,136.8544679765784,-1.0,-53.12,-35.02148148148148,-52.12,-18.098518518518517,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9419584331306725,0.547197403482744,-5.026337448559672,-1.9666666666666686,-8.729506172839505,-8.853333333333333,-10.424,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.0,8,2.6666666666666665,5.38244170096022,5.121938335738933,126.0,107.5,117.8,104.83333333333331,Sun 11-28 11-28,A,98 (Ⅱ),Colorado,"L, 80-76",66,115.6,59.6,22.8,26.9,28.8,121.7,55.5,9.1,26.5,47.3,22.5,4.0,133.5,112.8703125,99.740625,108.37750342935531,104.0351485497818,106.5390625,95.278125,102.99506172839509,98.91321021404283,20211128,100.5,94.3,6.200000000000003,103.1,97.4,5.699999999999989,103.2,94.4,8.83,68.4,5.855271952351387,131.37755572854138,65.96756756756757,3.2457105849291423,131.96525976218322,5.164177834090614,131.96525976218322,3.2457105849291423,131.96525976218322,5.164177834090614,131.1193796961766,107.7,95.3,12.37,67.8,100.5,94.3,6.200000000000003,103.1,97.4,5.699999999999989,4.344644937325232,133.68545975727338,0,98.0478441796931,108.35718910249936,-10.309344922806261,-7.126147739405779,103.16123661191848,103.14003302091956,0.02120359099892255,-2.2033827723427475,2021-11-28,11.239727949955139,144.21926191374672,5.0083576969147,144.21926191374672,-0.8300000000000001,-53.949999999999996,-41.05432098765432,-53.12,-12.895679012345674,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.14220833856728632,-3.4475582990397804,-6.163333333333334,-5.026337448559672,-7.707142857142857,-8.853333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.0,17,11.5,9.421627800640149,7.372495001968218,111.4,112.86666666666667,93.9,101.36666666666667,Sun 12-12 12-12,H,49 (Ⅱ),Oregon,"W, 72-69",68,106.3,50.9,25.1,45.2,35.1,101.9,47.3,17.7,37.1,41.1,8.5,1.0,132.5,112.13515625,112.8703125,109.3850022862369,105.37421244982148,100.21953125,106.5390625,99.96337448559672,98.00171744785324,20211212,103.3,97.3,6.0,108.6,98.2,10.399999999999991,105.1,96.2,8.81,67.9,-1.333108262549942,129.82940567681368,62.877524893314366,-1.0141594453993292,133.64810903798917,-3.7420005887371417,133.64810903798917,-1.0141594453993292,133.64810903798917,-3.7420005887371417,130.29309303521876,109.8,97.0,12.81,65.1,103.3,97.3,6.0,108.6,98.2,10.399999999999991,-0.6679698089680521,132.6446140899149,0,100.48653164535484,106.65844811730072,-6.1719164719458774,-1.6670050419251163,103.60154968098088,99.398272876267,4.20327680471388,0.2432777591951614,2021-12-12,3.053002178743938,135.64606775212968,-0.5468992905331334,135.64606775212968,8.19,-45.76,-45.35288065843622,-53.949999999999996,-0.40711934156377794,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,-3,0.46206285593374585,0.3856166319972105,0.6116278006401483,2.6899999999999995,-3.4475582990397804,-5.720000000000001,-7.707142857142857,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
-3.0,-6,6.466666666666669,4.181085200426766,4.8865868197921785,111.5,116.3,117.8,109.83333333333331,Thu 12-16 12-16,H,257 (Ⅳ),Dartmouth,"W, 89-78 OT",75,118.3,55.9,13.3,35.7,36.8,103.6,54.1,15.9,11.8,23.0,35.5,-14.0,131.5,111.817578125,112.13515625,110.09000152415794,106.4879920043994,109.009765625,100.21953125,105.90891632373116,101.6014051846072,20211216,103.5,96.7,6.799999999999997,92.5,102.8,-10.299999999999995,105.1,96.1,9.01,68.2,-14.08945429481006,126.03689306002912,63.44637268847796,-14.611470098659225,127.8701647074092,-15.574732191046836,127.8701647074092,-14.611470098659225,127.8701647074092,-15.574732191046836,127.69846832657498,94.9,102.7,-7.83,65.4,103.5,96.7,6.799999999999997,92.5,102.8,-10.299999999999995,-12.042529884398,126.4725641932649,0,101.6973718840786,106.94135739252326,-5.243985508444652,-1.2692461061717777,98.2162513199858,101.65690879726957,-3.4406574772837644,-7.687719453259689,2021-12-16,-2.724615254226137,135.7187202926142,-5.769226779475595,135.7187202926142,-15.01,-60.769999999999996,-45.48858710562415,-45.76,-15.281412894375848,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.9087887802741321,0.6023703088908497,-4.8289147995732336,-2.5433333333333312,0.6116278006401483,-6.752222222222221,-5.720000000000001,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
3.5,4,5.133333333333336,4.187390133617845,4.761752852557238,89.8,104.23333333333336,85.6,99.09999999999998,Sun 12-19 12-19,N,15 (I-A),Texas,"L, 60-53",66,80.4,45.8,33.4,33.3,27.1,91.0,46.4,19.7,28.1,21.4,-16.0,10.5,129.0,100.8087890625,111.817578125,103.32666768277196,103.45381163996312,97.3048828125,109.009765625,99.13927754915412,98.69205878740588,20211219,104.1,98.6,5.5,111.8,88.6,23.200000000000003,105.5,97.0,8.5,68.6,7.836697615761878,120.93162964692895,59.72005689900427,11.055689634898052,124.34128804172593,12.647950028389376,124.34128804172593,11.055689634898052,124.34128804172593,12.647950028389376,122.33873657319889,111.7,90.2,21.5,61.2,104.1,98.6,5.5,111.8,88.6,23.200000000000003,12.62491313231532,120.21506804419236,0,101.15828969532892,103.84282706831152,-2.6845373729826036,1.3381824804293392,101.11448092667814,90.27756814476308,10.83691278191506,12.94029334925608,2021-12-19,8.399388370206495,120.5680612171714,6.928787212348887,120.5680612171714,-4.5,-65.27,-50.58239140374943,-60.769999999999996,-14.687608596250563,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.15865525393145707,0.21187227364177563,-4.312609866382155,-3.3666666666666636,-4.8289147995732336,-6.526999999999999,-6.752222222222221,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
