ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.5,27,,27.30000000000001,27.30000000000001,121.9,0.0,94.6,0.0,Tue 11-09 11-09,H,314 (Ⅳ),Lafayette,"W, 97-63",72,134.7,64.0,12.5,33.3,19.1,87.5,43.3,13.9,17.8,9.0,7.5,-25.5,152.5,121.9,0.0,121.9,121.9,94.6,0.0,94.6,94.6,20211109,108.6,98.1,10.5,99.2,110.0,-10.799999999999995,111.3,94.7,16.62,71.0,-24.578899227970624,151.5491156755942,72.41394025604552,-20.894283770246773,160.9989966949119,-47.14194047022523,160.9989966949119,-20.894283770246773,160.9989966949119,-47.14194047022523,165.6283661017913,95.7,106.8,-11.08,71.7,108.6,98.1,10.5,99.2,110.0,-10.799999999999995,-47.14194047022523,165.6283661017913,0,97.68585097031936,94.16532859617148,3.5205223741478875,4.417744596370064,94.17907528147816,98.63441461767673,-4.455339336198563,-6.558117113976362,2021-11-09,-9.514869787556712,137.19329375235978,-9.953945275619546,137.19329375235978,10.379999999999999,10.379999999999999,0.0,0.0,10.379999999999999,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.9924207805612802,0.8175791970828755,10.68000000000001,,0.0,10.379999999999999,0.0,1,0.0,1,1,1,3,0.0,0.0
-0.5,16,,23.70000000000001,25.336363636363643,110.4,0.0,93.9,0.0,Sun 11-14 11-14,H,135 (Ⅲ),Drexel,"W, 75-60",65,114.9,63.0,16.8,19.2,18.5,91.9,51.9,30.6,30.0,11.5,-11.5,-15.5,146.5,116.15,121.9,118.06666666666668,119.80909090909093,94.25,94.6,94.36666666666667,94.47272727272728,20211114,107.0,95.7,11.299999999999995,99.8,104.8,-5.0,111.2,94.6,16.59,70.4,-16.588281214004567,144.64545840715084,68.79772403982932,-15.811285839635744,146.63291081856534,-24.496533303083652,146.63291081856534,-15.811285839635744,146.63291081856534,-24.496533303083652,144.87279819654265,101.7,103.0,-1.27,68.7,107.0,95.7,11.299999999999995,99.8,104.8,-5.0,-24.496533303083652,144.87279819654265,0,93.23273873616276,104.68637468319947,-11.453635947036716,-14.46932305851706,96.89787559481356,96.48864151150812,0.4092340833054351,2.594296851789081,2021-11-14,4.3133633670476,134.63117372866787,9.927422332613638,134.63117372866787,-0.5899999999999999,9.79,10.379999999999999,10.379999999999999,-0.5899999999999999,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9300536172447476,0.34061087581816907,7.11000000000001,,10.68000000000001,4.895,10.379999999999999,1,1.0,-1,1,1,1,3.0,0.0
-26.5,-9,11.600000000000003,12.800000000000008,19.09338842975207,119.6,117.3,128.6,105.7,Sat 11-20 11-20,H,136 (Ⅲ),Colgate,"L, 100-85",73,116.6,49.2,13.7,32.4,39.1,137.1,58.6,15.1,46.3,30.0,35.0,-11.5,150.0,117.875,116.15,118.57777777777778,119.77107438016527,111.425,94.25,105.7777777777778,100.6776859504132,20211120,106.4,95.4,11.0,105.3,98.3,7.0,110.6,94.1,16.56,69.7,-12.780087799039535,146.0109237178388,70.09658605974396,-7.085650799284863,147.20858083377857,-19.979764513553675,147.20858083377857,-7.085650799284863,147.20858083377857,-19.979764513553675,147.9255176351966,104.4,100.1,4.28,70.7,106.4,95.4,11.0,105.3,98.3,7.0,-20.103840343738696,147.88587856459023,0,104.6443080382884,103.24969294082644,1.3946150974619655,-4.761247555231396,105.9048395198741,100.21962152671408,5.685217993160023,6.753225251863864,2021-11-20,-1.0940077381505944,153.61760494076273,6.088999613832755,153.61760494076273,-25.56,-15.77,10.183333333333334,9.79,-25.953333333333333,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.8632938299430262,0.5414911965474389,-3.759999999999991,-4.9599999999999955,7.11000000000001,-5.256666666666666,4.895,-1,1.0,-1,-1,1,-3,1.0,3.0
-17.5,1,3.0,9.03333333333334,15.894590533433512,94.8,108.26666666666668,93.3,105.26666666666668,Wed 11-24 11-24,N,52 (Ⅱ),VCU,"L, 67-55",71,77.6,33.1,22.6,33.3,25.8,94.6,48.2,19.8,22.2,29.8,-7.5,-5.5,129.5,106.3375,117.875,110.65185185185186,115.23087903831704,102.3625,111.425,101.61851851851851,99.33628850488353,20211124,108.3,98.0,10.299999999999995,94.6,87.5,7.099999999999994,111.6,97.4,14.21,69.2,-4.503766544234729,129.04234585252968,66.44381223328593,-1.399182211276468,127.67358906746495,-2.8122205483280607,127.67358906746495,-1.399182211276468,127.67358906746495,-2.8122205483280607,119.73297948298338,96.7,90.5,6.21,67.5,108.3,98.0,10.299999999999995,94.6,87.5,7.099999999999994,-2.501278342888686,119.38881691847735,0,104.18039929090418,104.35044486306366,-0.17004557215948068,-6.709076076351511,87.45470117056807,85.64028975096896,1.8144114195991108,-7.724525124803122,2021-11-24,1.3886084314020266,122.91266850384642,-0.6747030590778849,122.91266850384642,-13.21,-28.98,1.5322222222222237,-15.77,-30.512222222222224,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.44739390109359567,-5.1766666666666605,-11.21,-3.759999999999991,-7.245000000000001,-5.256666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
6.0,24,5.733333333333334,14.255555555555562,17.495574072809237,140.9,118.43333333333332,116.2,112.7,Thu 11-25 11-25,N,101 (Ⅲ),Arizona St.,"W, 92-84",72,126.9,60.7,15.2,37.5,44.3,115.9,55.8,11.0,28.6,21.7,33.5,-2.0,142.5,123.61875,106.3375,120.73456790123458,119.89799194044122,109.28125,102.3625,106.47901234567902,102.40241786763195,20211125,108.6,98.2,10.399999999999991,103.8,94.6,9.200000000000005,110.3,97.7,12.59,69.7,-0.4630571389142375,143.29291095942762,69.30341394025605,-0.5704273115220246,145.20865752829027,-1.8056787696229828,145.20865752829027,-0.5704273115220246,145.20865752829027,-1.8056787696229828,146.64628643684304,106.0,94.5,11.55,69.9,108.6,98.2,10.399999999999991,103.8,94.6,9.200000000000005,-1.801755079264307,146.74712400746407,0,109.08497160828507,103.9545608012287,5.1304108070563785,1.337938991634573,100.079066250447,102.08829619911312,-2.0092299486661176,-5.0204352912661285,2021-11-25,-5.197866442714897,152.82325389331055,-4.406570449149456,152.82325389331055,11.41,-17.57,-8.638518518518518,-28.98,-8.931481481481482,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.6897122570763004,1.665555555555562,-6.856666666666666,-5.1766666666666605,-3.5139999999999976,-7.245000000000001,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
-15.5,1,9.333333333333334,10.103703703703708,14.641833332298464,114.3,116.66666666666669,112.5,107.33333333333331,Fri 11-26 11-26,N,10 (I-A),Auburn,"L, 89-68",70,97.5,49.0,21.5,15.6,54.2,127.6,59.7,10.0,32.4,19.4,10.0,5.5,147.0,118.959375,123.61875,118.5897119341564,118.88017522399736,110.890625,109.28125,108.4860082304527,104.23834189169888,20211126,107.7,98.3,9.400000000000006,107.7,92.3,15.400000000000006,111.8,98.7,13.07,70.0,4.730625195501901,148.2013657176422,70.39829302987198,4.655102184666987,147.87707939958813,4.151950701435914,147.87707939958813,4.655102184666987,147.87707939958813,4.151950701435914,154.77881105353603,110.6,91.6,19.01,70.7,107.7,98.3,9.400000000000006,107.7,92.3,15.400000000000006,4.885864709369222,154.59714206612458,0,106.48053725441451,107.05759163807927,-0.577054383664759,-2.0613181314259754,107.62242970623647,90.11793735434392,17.50449235189255,18.879442845607425,2021-11-26,13.874479076208146,152.1272159067476,14.74193827529706,152.1272159067476,-12.07,-29.64,-11.61567901234568,-17.57,-18.02432098765432,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.30020551430745246,0.09318751900406252,-2.966296296296292,-3.7366666666666664,1.665555555555562,-4.9399999999999995,-3.5139999999999976,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
5.0,23,16.8,14.702469135802474,16.325136362789653,134.3,129.83333333333334,110.4,113.03333333333336,Tue 11-30 11-30,H,22 (Ⅱ),Indiana,"W, 112-110 2OT",94,118.6,58.2,12.7,20.0,46.6,116.5,63.0,27.5,37.8,44.9,75.5,3.0,146.5,126.6296875,118.959375,123.82647462277096,121.6837797287251,110.6453125,110.890625,109.12400548696849,105.35864336593544,20211130,110.7,101.5,9.200000000000005,107.2,89.3,17.900000000000006,112.2,100.7,11.55,70.0,1.082295047425248,143.9766880558971,69.00426742532007,2.9251525383984074,146.54794771852715,10.623161417185429,146.54794771852715,2.9251525383984074,146.54794771852715,10.623161417185429,144.36393893854634,107.9,90.2,17.75,69.3,110.7,101.5,9.200000000000005,107.2,89.3,17.900000000000006,6.540237141660393,141.5367629259069,0,112.12253120848042,107.37595910084713,4.746572107633298,4.453013003026691,100.88820812899708,89.26299020017193,11.625217928825151,15.469124328321053,2021-11-30,1.7039556603265567,147.11206231250128,5.477007681974641,147.11206231250128,11.45,-18.19,-17.623786008230454,-29.64,-0.5662139917695477,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,3,0.38754848109799234,0.4355420945780075,3.1524691358024732,5.25,-2.966296296296292,-2.598571428571427,-4.9399999999999995,1,-1.0,-1,-1,-1,-1,-3.0,-1.0
10.0,8,11.333333333333334,12.56831275720165,14.86602066046426,93.5,114.03333333333336,85.2,102.7,Sat 12-04 12-04,A,103 (Ⅱ),Florida St.,"W, 63-60",69,90.8,42.1,18.7,31.7,20.6,86.5,38.1,15.9,30.0,25.4,-27.0,7.0,150.0,110.06484375,126.6296875,113.71764974851396,116.55945614168417,97.92265625,110.6453125,101.14933699131232,101.69343548121992,20211204,113.1,103.0,10.099999999999994,107.4,92.3,15.100000000000009,113.1,101.7,11.41,70.5,9.035177928836418,148.6379919119407,69.19630156472263,8.679781007260686,152.4733634155333,10.980026873344672,152.4733634155333,8.679781007260686,152.4733634155333,10.980026873344672,155.110427575467,109.5,92.2,17.21,69.0,113.1,103.0,10.099999999999994,107.4,92.3,15.100000000000009,7.3611706088240725,151.58533655435448,0,109.66414102011268,105.3730349596437,4.291106060468977,2.1507490974544345,99.50751417097258,92.19775435507786,7.309759815894722,11.21424865195278,2021-12-04,6.739832645934968,146.01066849858134,8.338576105915365,146.01066849858134,-3.41,-21.6,-17.81252400548697,-18.19,-3.7874759945130307,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,3,0.2524925375469229,0.26047268579707805,1.1583127572016494,-0.07666666666666622,3.1524691358024732,-2.6999999999999993,-2.598571428571427,1,1.0,-1,-1,-1,-1,-1.0,-3.0
-5.5,9,13.933333333333335,11.57887517146777,13.90856235856167,97.4,108.40000000000002,87.8,94.46666666666664,Tue 12-07 12-07,N,11 (I-A),Villanova,"L, 67-53",63,84.1,40.2,17.5,26.8,26.8,106.4,40.9,15.9,51.9,7.8,-27.0,8.5,147.0,103.732421875,110.06484375,108.278433165676,113.07591866137795,92.861328125,97.92265625,96.69955799420822,99.1673563028163,20211207,112.7,101.9,10.799999999999995,118.6,93.6,25.0,112.7,100.6,12.14,70.3,8.87214059701492,141.04468208955223,63.3,9.984207562189056,147.0650863681592,16.511473641820896,147.0650863681592,9.984207562189056,147.0650863681592,16.511473641820896,138.62128295185076,118.3,93.1,25.2,63.3,112.7,101.9,10.799999999999995,118.6,93.6,25.0,13.977059033402988,150.4045234823582,0,107.01193520105792,101.6628843919122,5.349050809145723,2.7049090217033545,107.38350472274485,95.59453631002592,11.78896841271893,10.773697759686067,2021-12-07,4.464833902299915,137.4007718196121,5.107543271143058,137.4007718196121,-3.1400000000000006,-24.740000000000002,-19.075016003657982,-21.6,-5.66498399634202,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.20910695659274503,0.3353373232534076,-0.5611248285322308,1.7933333333333348,1.1583127572016494,-2.7488888888888905,-2.6999999999999993,-1,1.0,-1,-1,-1,-3,-1.0,-1.0
-7.5,0,5.833333333333338,7.585916780978517,11.307005566095912,108.4,99.76666666666668,108.8,93.93333333333334,Sat 12-11 12-11,A,190 (Ⅲ),Georgetown,"L, 79-75",70,107.8,50.0,10.1,23.1,16.2,113.5,55.5,15.8,26.7,38.2,-0.5,-3.5,154.5,106.0662109375,103.732421875,108.318955443784,112.22575163203648,100.8306640625,92.861328125,100.73303866280548,100.9187460659406,20211211,112.2,101.3,10.900000000000006,102.2,102.6,-0.3999999999999915,112.1,100.6,11.45,70.2,0.4897364144128886,156.44599189842103,72.19715504978663,-4.0374983364694685,161.2139349157789,-4.7536564610583385,161.2139349157789,-4.0374983364694685,161.2139349157789,-4.7536564610583385,166.27210007097642,105.6,99.6,6.03,72.3,112.2,101.3,10.900000000000006,102.2,102.6,-0.3999999999999915,-4.074422676056093,161.1518670969602,0,104.99657740604046,102.07943999294729,2.9171374130931724,0.8917187411058083,100.529059420541,104.36767244114812,-3.838613020607113,-3.435511891023256,2021-12-11,-0.755033397269699,156.55128170849346,-1.1283287154303423,156.55128170849346,-11.45,-36.19,-20.963344002438653,-24.740000000000002,-15.226655997561345,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.6305586598182363,0.5286624154315187,-3.8640832190214827,-5.616666666666661,-0.5611248285322308,-3.6189999999999998,-2.7488888888888905,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
