ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
4.0,-7,,-7.599999999999994,-7.599999999999994,91.0,0.0,98.6,0.0,Tue 11-09 11-09,A,132 (Ⅱ),Stanford,"L, 62-50",60,82.7,47.1,23.2,21.9,5.8,102.6,48.9,23.2,37.9,46.8,-21.0,16.0,133.0,91.0,0.0,91.0,91.0,98.6,0.0,98.6,98.6,20211109,100.1,100.9,-0.8000000000000114,102.6,93.4,9.199999999999989,96.4,100.5,-4.1,67.0,14.34270120666666,127.43113244933333,67.0,10.675045804179106,135.4845931861015,13.565973026666656,135.4845931861015,10.675045804179106,135.4845931861015,13.565973026666656,118.90405775733329,102.9,90.5,12.4,70.3,100.1,100.9,-0.8000000000000114,102.6,93.4,9.199999999999989,13.565973026666656,118.90405775733329,0,97.20707115043108,98.11767384530562,-0.9106026948745409,-2.680047139318984,0.0,0.0,0.0,0.0,2021-11-09,-0.0,0.0,,0.0,-2.9000000000000004,-2.9000000000000004,0.0,0.0,-2.9000000000000004,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.06377814989000363,0.5,-3.4999999999999947,,0.0,-2.9000000000000004,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
0.5,0,,-4.9999999999999964,-6.181818181818176,108.4,0.0,108.2,0.0,Fri 11-12 11-12,A,6 (I-A),Kansas,"L, 88-62",66,93.7,42.7,13.6,26.3,17.7,133.0,66.4,19.7,46.4,29.3,16.5,26.5,133.5,99.7,91.0,96.8,94.16363636363636,103.4,98.6,101.8,100.34545454545452,20211112,97.4,98.1,-0.6999999999999886,111.5,89.7,21.8,95.8,99.9,-4.09,67.0,24.74070294303462,136.416032318018,69.09672830725462,19.47342577798605,139.64971221357234,27.98544592402088,139.64971221357234,19.47342577798605,139.64971221357234,27.98544592402088,138.32314608087245,114.1,87.2,26.95,72.5,97.4,98.1,-0.6999999999999886,111.5,89.7,21.8,27.98544592402088,138.32314608087245,0,100.25544773707426,103.40423448823296,-3.1487867511586956,1.392798754820165,97.03491917505528,107.39959562661072,-10.36467645155544,-9.613467399827066,2021-11-12,-1.0702196907927828,147.0376062089452,-5.749784412148308,147.0376062089452,4.09,1.1899999999999995,-2.9000000000000004,-2.9000000000000004,4.09,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.005804540573384642,0.5405921687110283,-0.9099999999999966,,-3.4999999999999947,0.5949999999999998,-2.9000000000000004,-1,-1.0,1,1,-1,1,-3.0,0.0
-1.0,-5,-4.166666666666662,-5.03333333333333,-5.985123966942142,88.2,95.86666666666667,93.3,100.03333333333336,Tue 11-16 11-16,A,74 (Ⅱ),Wichita St.,"L, 65-51",66,77.5,41.5,30.4,27.6,29.8,98.8,52.2,24.3,20.7,51.1,-11.0,13.0,127.0,93.95,99.7,93.93333333333334,93.0793388429752,98.35,103.4,98.96666666666668,99.06446280991734,20211116,98.1,99.0,-0.9000000000000057,102.1,91.4,10.699999999999989,96.5,100.9,-4.36,66.3,13.695915838178536,126.96289803202001,64.88534850640113,11.153298017030309,127.1816065731645,7.452033447950451,127.1816065731645,11.153298017030309,127.1816065731645,7.452033447950451,119.98855826392263,105.0,93.5,11.45,68.8,98.1,99.0,-0.9000000000000057,102.1,91.4,10.699999999999989,7.433564311127612,119.9847549149899,0,100.49804996333386,96.58709426512864,3.910955698205214,11.37304666454528,90.2873906492438,102.40526974803322,-12.117879098789416,-3.062104690978212,2021-11-16,-6.914158507277712,126.26267937387792,-7.474012334986682,126.26267937387792,-0.6399999999999997,0.5499999999999998,-1.5366666666666673,1.1899999999999995,2.086666666666667,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.10784037468050733,0.7448887528329788,-0.6733333333333293,0.19333333333333869,-0.9099999999999966,0.18333333333333357,0.5949999999999998,-1,-1.0,1,1,1,1,1.0,-3.0
6.5,4,-0.2333333333333295,-1.9555555555555528,-4.133283245679933,96.5,97.7,92.3,97.93333333333334,Mon 11-22 11-22,A,166 (Ⅲ),North Dakota St.,"L, 54-53",57,92.6,39.1,10.5,25.7,20.0,94.4,50.0,22.7,22.6,23.9,-17.5,7.5,124.5,95.225,93.95,94.78888888888888,93.70127723516153,95.325,98.35,96.74444444444444,97.83456048084146,20211122,97.5,98.8,-1.2999999999999972,97.7,98.7,-1.0,96.2,100.7,-4.47,65.5,7.883313432740913,122.79572672595148,62.23897581792319,3.6385727024102295,123.24048962989798,-0.14425974188213678,123.24048962989798,3.6385727024102295,123.24048962989798,-0.14425974188213678,116.5187262046055,101.9,99.2,2.68,66.8,97.5,98.8,-1.2999999999999972,97.7,98.7,-1.0,0.07750438041424895,116.46039500419539,0,90.4606304559944,100.934132025246,-10.473501569251596,-13.83995972716666,91.3112093344825,105.2413657230094,-13.930156388526896,-8.174860700994255,2021-11-22,1.4112320306613881,119.73240259348444,5.076765753185704,119.73240259348444,8.469999999999999,9.02,-0.8411111111111117,0.5499999999999998,9.86111111111111,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.23752526202697655,0.44654193477053794,2.5144444444444467,4.23666666666667,-0.6733333333333293,2.255,0.18333333333333357,1,-1.0,1,1,1,3,1.0,1.0
10.5,1,0.1666666666666666,-0.837037037037038,-3.1272317464654007,92.8,92.5,91.4,92.33333333333331,Wed 11-24 11-24,A,27 (I-A),Michigan,"L, 65-54",63,85.6,38.4,14.3,21.1,25.0,103.1,63.2,33.3,35.0,57.9,-9.5,21.5,128.5,94.0125,95.225,94.12592592592594,93.53740864695034,93.3625,95.325,94.96296296296298,96.66464039341574,20211124,97.5,98.7,-1.2000000000000028,109.0,89.8,19.200000000000003,96.3,100.0,-3.78,64.4,20.647730460806443,123.12893221074619,62.293029871977254,16.31046323543908,125.21917198230054,15.865629873146219,125.21917198230054,16.31046323543908,125.21917198230054,15.865629873146219,119.58067410653678,112.8,88.3,24.52,68.0,97.5,98.7,-1.2000000000000028,109.0,89.8,19.200000000000003,15.672183440054086,119.46622804244257,0,93.36718689998084,99.56066682131224,-6.193479921331402,-9.216583312091018,107.48707898243046,91.46069143161397,16.026387550816494,9.03696708721302,2021-11-24,17.2806044857631,123.50161062965739,13.1133280019096,123.50161062965739,4.779999999999999,13.799999999999999,2.445925925925925,9.02,11.354074074074074,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.02029867074389724,0.04990536937511081,2.942962962962962,3.9466666666666663,2.5144444444444467,2.7600000000000002,2.255,1,1.0,1,1,1,3,3.0,1.0
23.0,19,8.399999999999997,5.975308641975306,1.0049922074373985,101.1,96.8,81.5,88.39999999999999,Mon 11-29 11-29,A,1 (I-A),Gonzaga,"L, 64-55",65,84.6,42.0,12.3,15.8,25.0,98.4,51.0,24.6,34.4,49.0,-19.0,32.0,138.0,97.55625,94.0125,96.45061728395063,94.91242525659572,87.43125,93.3625,90.47530864197532,93.90743304915831,20211129,98.3,99.1,-0.7999999999999972,122.2,89.4,32.8,97.4,100.5,-3.03,63.5,26.95160967555811,137.0650491030365,65.21621621621622,26.13604740885839,140.41937088448051,27.91204717512136,140.41937088448051,26.13604740885839,140.41937088448051,27.91204717512136,126.86297689263083,122.3,89.6,32.76,72.2,98.3,99.1,-0.7999999999999972,122.2,89.4,32.8,27.60816243900154,131.35763309360698,0,93.78348614171132,97.10307245768126,-3.319586315969943,-8.842598943996707,114.40123139924972,87.44449669280736,26.95673470644236,19.516270125254923,2021-11-29,23.068197168383236,129.7156972925252,20.418088925391743,129.7156972925252,22.03,35.83,6.230617283950616,13.799999999999999,29.599382716049384,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.0011533107002833498,0.01401125303346007,9.005308641975306,11.429999999999996,2.942962962962962,5.971666666666666,2.7600000000000002,1,1.0,1,1,1,3,3.0,3.0
-18.0,-22,-0.3333333333333381,-3.3497942386831285,-3.1777336484603103,79.2,91.03333333333336,101.2,91.36666666666667,Sun 12-05 12-05,H,346 (Ⅳ),Charleston Southern,"L, 59-57",65,87.2,38.0,16.8,25.7,33.3,90.3,46.4,21.4,27.0,23.2,-10.5,-16.0,126.5,88.378125,97.55625,90.70041152263376,92.0556206644874,94.315625,87.43125,94.05020576131687,95.23335431294772,20211205,98.2,97.7,0.5,93.0,108.5,-15.5,97.4,99.2,-1.76,62.8,-15.212484618458042,127.81438987499283,65.47994310099574,-14.245652822022343,132.86894796348233,-20.825994988115774,132.86894796348233,-14.245652822022343,132.86894796348233,-20.825994988115774,121.76288148775639,89.6,109.6,-19.93,73.3,98.2,97.7,0.5,93.0,108.5,-15.5,-18.768603317025576,122.66425987668657,0,90.83216988432096,99.69202904355711,-8.859859159236152,-16.888073011175578,93.63548161245124,101.31965531530034,-7.684173702849094,-2.2466560427199687,2021-12-05,-2.6012038288459536,124.47023411613262,7.929164829054685,124.47023411613262,-20.24,15.59,16.09707818930041,35.83,-0.5070781893004117,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9362218501099964,0.5978297714074051,-1.5897942386831285,1.4266666666666619,9.005308641975306,2.227142857142857,5.971666666666666,-1,1.0,-1,1,1,-1,3.0,3.0
-0.5,0,-0.7000000000000028,-2.133196159122087,-2.5454184396493447,93.3,91.2,93.0,91.90000000000002,Tue 12-14 12-14,A,141 (Ⅱ),South Alabama,"L, 69-62",71,87.0,49.1,21.1,15.2,21.8,96.9,51.0,30.9,40.0,60.4,7.0,6.5,124.0,90.8390625,88.378125,91.56694101508918,92.28187145276242,93.6578125,94.315625,93.70013717421126,94.82728989241176,20211214,96.2,97.0,-0.7999999999999972,103.4,99.4,4.0,95.9,99.3,-3.42,62.1,4.963534890575403,119.92132529499757,61.83499288762447,6.454574465090488,124.5513485248364,9.708858843970214,124.5513485248364,6.454574465090488,124.5513485248364,9.708858843970214,109.54775269452641,99.4,100.2,-0.83,70.0,96.2,97.0,-0.7999999999999972,103.4,99.4,4.0,10.062724681843255,112.02514268014494,0,92.26071466834728,97.37596809595532,-5.115253427608039,-11.529895139854268,102.120521895347,92.75662814061592,9.36389375473108,8.971047999413573,2021-12-14,12.097627778633928,117.7887101402176,14.38598485165354,117.7887101402176,3.42,19.009999999999998,15.928052126200274,15.59,3.0819478737997237,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.26794249453351904,0.12462868733020094,1.286803840877913,2.719999999999997,-1.5897942386831285,2.3762499999999998,2.227142857142857,1,-1.0,1,1,1,3,-1.0,3.0
14.5,11,-3.433333333333337,2.377869227251939,-0.0098878142585556,100.3,90.93333333333334,88.9,94.36666666666667,Fri 12-17 12-17,H,141 (Ⅲ),South Alabama,"W, 65-52",63,103.8,48.1,16.0,27.3,31.5,83.0,49.0,23.9,18.2,22.9,-8.5,1.5,125.5,95.56953125,90.8390625,94.47796067672613,93.7397130068056,91.27890625,93.6578125,92.10009144947418,93.74960082106416,20211217,95.4,96.0,-0.5999999999999943,102.4,98.3,4.1000000000000085,95.5,98.0,-2.43,62.1,-2.6681359446952797,120.50502132274978,63.16002844950214,-0.5521515210240935,124.48037346717047,1.718647894391934,124.48037346717047,-0.5521515210240935,124.48037346717047,1.718647894391934,114.13509407431393,98.4,99.8,-1.37,71.5,95.4,96.0,-0.5999999999999943,102.4,98.3,4.1000000000000085,2.9597792782871544,113.34204580533462,0,93.40085498102287,96.02410539000586,-2.623250408982983,-6.70353593654587,100.45782412616904,93.95833157770775,6.499492548461291,8.207680080140385,2021-12-17,2.30124674189846,119.30701089187863,7.636147231553473,119.30701089187863,13.43,32.44,16.955368084133518,19.009999999999998,15.48463191586648,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.4432015031835318,0.4132602310468274,4.807869227251939,-1.003333333333337,1.286803840877913,3.6044444444444443,2.3762499999999998,1,1.0,1,1,1,3,3.0,-1.0
14.5,20,10.833333333333329,8.518579484834625,3.773728151970272,109.5,101.03333333333336,88.7,90.2,Tue 12-21 12-21,H,247 (Ⅳ),Air Force,"W, 67-45",57,116.8,65.1,19.2,22.7,41.9,78.4,47.4,31.4,20.0,28.2,-1.5,-7.5,113.5,102.534765625,95.56953125,99.48530711781744,96.60521973284094,89.98945312500001,91.27890625,90.9667276329828,92.83149158087066,20211221,95.5,94.9,0.5999999999999943,91.3,99.3,-8.0,95.5,98.0,-2.48,61.8,-6.548734871225001,107.10327320276124,56.96500711237553,-7.786144613344952,106.62987081047018,-6.744260132171418,106.62987081047018,-7.786144613344952,106.62987081047018,-6.744260132171418,97.37188100017764,93.1,102.1,-9.03,64.8,95.5,94.9,0.5999999999999943,91.3,99.3,-8.0,-5.668334888012676,101.52021387159263,0,95.376068410958,96.04854716840023,-0.6724787574422351,-3.5195720652728477,92.9968524909567,100.0183254824054,-7.021472991448704,-1.8947602536378692,2021-12-21,-6.597421345947119,108.49671395454806,-0.6262661880181497,108.49671395454806,22.48,54.92,22.116912056089014,32.44,32.80308794391099,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.7624747379730235,0.7351047470822163,10.998579484834625,13.313333333333329,4.807869227251939,5.492000000000001,3.6044444444444443,1,1.0,1,1,1,3,3.0,3.0
