ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
4.0,-8,,-8.400000000000006,-8.400000000000006,109.1,0.0,117.5,0.0,Tue 11-09 11-09,A,48 (I),Oregon,"L, 83-66",65,102.3,51.0,24.8,40.0,32.7,128.6,49.2,12.4,46.2,32.3,-1.5,21.0,150.5,109.1,0.0,109.1,109.1,117.5,0.0,117.5,117.5,20211109,99.0,104.6,-5.599999999999994,110.2,96.3,13.900000000000006,96.8,102.8,-5.94,72.7,21.04256690898975,145.30250904413356,70.73513513513515,18.696244650665975,152.85638241586292,30.625801418463713,152.85638241586292,18.696244650665975,152.85638241586292,30.625801418463713,193.51881295232457,111.8,93.8,18.02,68.4,99.0,104.6,-5.599999999999994,110.2,96.3,13.900000000000006,30.625801418463713,193.51881295232457,0,95.42617127714408,91.884293575232,3.5418777019120853,1.439099924134332,86.48312706402876,108.83296096572194,-22.349833901693174,-9.285945012804325,2021-11-09,-13.940937729009825,132.20608016369138,-5.683497916346155,132.20608016369138,-2.0599999999999996,-2.0599999999999996,0.0,0.0,-2.0599999999999996,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.02275013194817921,0.9078627638478343,-2.4600000000000053,,0.0,-2.0599999999999996,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
7.5,11,,-1.8000000000000025,-4.8000000000000025,103.0,0.0,91.6,0.0,Fri 11-12 11-12,A,16 (I-A),Saint Mary's,"L, 67-58",67,86.7,44.5,20.9,26.5,23.6,100.2,47.4,17.9,32.4,31.0,-11.0,16.5,136.0,106.05,109.1,107.06666666666666,107.99090909090908,104.55,117.5,108.86666666666667,112.79090909090908,20211112,97.2,102.9,-5.700000000000003,103.6,90.1,13.5,96.3,102.2,-5.94,72.6,18.88366845028507,135.93759802441195,69.19203413940255,17.332613903997746,137.95841809299577,22.037148164529164,137.95841809299577,17.332613903997746,137.95841809299577,22.037148164529164,173.92811692952495,107.0,90.8,16.17,67.0,97.2,102.9,-5.700000000000003,103.6,90.1,13.5,22.037148164529164,173.92811692952495,0,100.1461214583492,94.58495629816984,5.561165160179357,5.071641956940617,97.80531392482702,105.20250696158612,-7.397193036759106,-1.4437757543252594,2021-11-12,-5.177825242690503,139.9362000766634,-2.535630369300236,139.9362000766634,16.94,14.880000000000003,-2.0599999999999996,-2.0599999999999996,16.94,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.05804156686932749,0.6890382950748687,4.139999999999998,,-2.4600000000000053,7.44,-2.0599999999999996,1,-1.0,1,1,-1,3,-3.0,0.0
1.0,1,1.4666666666666686,-0.7333333333333332,-3.672727272727273,97.0,103.03333333333336,95.6,101.56666666666666,Mon 11-15 11-15,A,126 (Ⅱ),Washington,"L, 72-65",72,90.6,37.5,29.3,60.4,20.8,100.4,45.6,16.7,30.3,49.1,-8.0,8.0,145.0,101.525,106.05,103.71111111111112,105.99256198347103,100.075,104.55,104.44444444444446,109.66528925619832,20211115,97.6,102.3,-4.700000000000003,100.7,96.5,4.200000000000003,96.7,101.8,-5.06,72.0,10.569284621630757,145.3518294118262,75.99431009957327,11.140718035376864,153.26157438376637,-9.347102225411852,153.26157438376637,11.140718035376864,153.26157438376637,-9.347102225411852,142.73074494329077,98.5,94.8,3.71,74.2,97.6,102.3,-4.700000000000003,100.7,96.5,4.200000000000003,-9.48394873540113,142.5544230101907,0,109.81898413612204,108.52386675711053,1.295117379011515,6.0423257634464616,99.40655576140672,89.05334115834812,10.353214603058603,8.949483790403926,2021-11-15,12.295398986315831,159.8688810933909,4.496616280265215,159.8688810933909,6.06,20.94,3.586666666666668,14.880000000000003,17.35333333333333,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,-3,0.22305842386064167,0.12080132206712668,4.326666666666666,6.526666666666668,4.139999999999998,6.98,7.44,1,1.0,1,1,1,3,3.0,-3.0
-6.5,-3,3.066666666666672,-1.6888888888888869,-3.659504132231404,93.5,97.83333333333331,97.1,94.76666666666664,Wed 11-17 11-17,A,247 (Ⅳ),Air Force,"L, 61-57",63,90.1,42.9,25.3,34.4,38.8,96.4,53.2,20.5,20.0,42.6,-12.0,-2.5,130.0,97.5125,101.525,100.30740740740742,103.7211870773854,98.5875,100.075,101.99629629629632,107.3806912096168,20211117,97.4,101.4,-4.0,91.0,104.0,-13.0,96.6,101.6,-4.98,71.2,0.04341250881793712,127.90111904740282,66.03470839260314,-2.439642264773724,130.89425935768736,-1.0802473921906692,130.89425935768736,-2.439642264773724,130.89425935768736,-1.0802473921906692,119.47676992184022,93.2,103.6,-10.31,65.2,97.4,101.4,-4.0,91.0,104.0,-13.0,-1.0327015123643486,119.48899906691801,0,108.57824980028248,99.2966920720428,9.281557728239676,7.880498056971533,90.87972958671745,92.86674722143194,-1.9870176347144906,-6.112925648985885,2021-11-17,-3.5503539282932906,129.17422690029326,-7.3752037453841055,129.17422690029326,1.9800000000000004,22.92,9.371111111111112,20.94,13.54888888888889,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.5940963859982835,0.6323669907744995,3.2911111111111135,8.046666666666672,4.326666666666666,5.73,6.98,1,1.0,1,1,1,3,3.0,3.0
5.5,-2,-1.5333333333333314,-1.9259259259259265,-3.4305033809166043,85.0,91.83333333333331,87.4,93.36666666666667,Sun 11-21 11-21,A,116 (Ⅲ),North Carolina St.,"L, 65-57",68,83.7,35.9,19.1,36.7,31.3,95.4,43.6,13.2,25.6,52.7,-18.5,13.5,140.5,91.25625,97.5125,95.20493827160496,100.31733488149712,92.99375,98.5875,97.13086419753088,103.74783826241374,20211121,96.6,101.4,-4.800000000000011,104.0,96.6,7.400000000000006,96.2,101.6,-5.39,70.4,15.836643211972905,137.59205075422832,69.29843527738267,12.56298600191505,141.2847597277517,3.5922802217705523,141.2847597277517,12.56298600191505,141.2847597277517,3.5922802217705523,148.22415223370834,106.5,94.4,12.11,69.2,96.6,101.4,-4.800000000000011,104.0,96.6,7.400000000000006,3.788540362376455,148.27000680903868,0,97.25093123022856,96.39982379439788,0.8511074358306843,4.483247356320408,98.98150299318584,100.11031408779684,-1.1288110946109953,-7.384311656438,2021-11-21,2.4526202622598277,136.75087078561046,-6.311822004024066,136.75087078561046,3.3899999999999997,26.310000000000002,13.887407407407409,22.92,12.422592592592594,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.09927139684333097,0.40765440912474893,3.464074074074073,3.8566666666666682,3.2911111111111135,5.2620000000000005,5.73,1,1.0,1,1,1,3,3.0,3.0
2.0,-9,-5.0,-4.283950617283951,-4.443139129840858,95.2,91.23333333333332,104.2,96.23333333333332,Wed 11-24 11-24,A,77 (I),BYU,"L, 81-64",72,88.7,41.5,16.6,22.0,37.3,112.3,45.1,11.1,40.8,38.0,7.0,19.0,138.0,93.228125,91.25625,95.20329218106998,99.38691035758856,98.596875,92.99375,99.48724279835392,103.83004948742942,20211124,96.8,101.0,-4.200000000000003,107.8,91.5,16.299999999999997,96.5,101.2,-4.65,69.3,19.865063263101106,133.37638652134058,67.03271692745378,17.748332112344116,136.04409284652132,21.692109249707627,136.04409284652132,17.748332112344116,136.04409284652132,21.692109249707627,132.02807744660848,110.4,90.7,19.69,68.0,96.8,101.0,-4.200000000000003,107.8,91.5,16.299999999999997,21.824514038431353,132.04676901156722,0,97.65699014429325,97.96655450302266,-0.3095643587294177,1.7064136231676883,106.4129470073486,92.5341661969444,13.878780810404209,8.034787495851484,2021-11-24,13.2810445398584,133.97296030407472,6.2104141029560225,133.97296030407472,-4.35,21.96,18.028271604938276,26.310000000000002,3.9317283950617252,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.03518483230489555,0.10296051097781267,0.36604938271604937,-0.34999999999999964,3.464074074074073,3.66,5.2620000000000005,1,1.0,1,1,1,3,3.0,3.0
-14.5,-24,-11.966666666666669,-11.022633744855966,-8.089841106233429,89.8,90.0,114.3,101.96666666666664,Wed 12-01 12-01,A,102 (Ⅱ),Louisiana Tech,"L, 87-60",71,84.2,37.5,21.0,33.3,40.0,122.0,61.3,9.8,13.3,21.0,3.5,12.5,143.5,91.5140625,93.228125,93.40219478737998,97.6438357471179,106.4484375,98.596875,104.42482853223596,105.73367685335134,20211201,98.4,102.4,-4.0,105.1,99.4,5.699999999999989,97.8,102.2,-4.45,69.2,12.022782257523616,141.3403956181043,68.41251778093884,10.906457128094928,144.15090468091975,6.081089689081977,144.15090468091975,10.906457128094928,144.15090468091975,6.081089689081977,137.70323298472442,107.2,99.9,7.38,69.5,98.4,102.4,-4.0,105.1,99.4,5.699999999999989,7.352592171158929,142.28425580819183,0,94.99720326896632,99.34141633021018,-4.344213061243863,-2.057224101361993,104.4143088499423,107.89282973086183,-3.4785208809195325,-2.241709695874723,2021-12-01,4.9085126183238685,144.53603799780032,1.7481651338390378,144.53603799780032,-19.55,2.41,19.338847736625517,21.96,-16.928847736625517,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.11692964134637251,0.32007918162829385,-6.572633744855966,-7.516666666666668,0.36604938271604937,0.3442857142857152,3.66,-1,1.0,-1,1,1,-1,3.0,3.0
38.5,34,0.1666666666666666,3.984910836762687,-0.4371427232818963,110.3,98.43333333333334,76.3,98.26666666666668,Mon 12-06 12-06,A,44 (I),Florida,"W, 69-54",66,104.6,58.8,33.3,48.3,8.8,81.8,42.7,15.2,20.0,29.1,-16.0,23.5,139.0,100.90703125,91.5140625,99.03479652492,99.94495652036916,91.37421875,106.4484375,95.0498856881573,100.3820992436511,20211206,97.6,102.9,-5.300000000000011,109.2,89.7,19.5,97.3,102.8,-5.5,68.9,21.873534085667544,136.9073128876824,67.82190611664298,21.135581917462602,139.39935354302253,25.329689147292218,139.39935354302253,21.135581917462602,139.39935354302253,25.329689147292218,126.84365296403442,111.3,90.1,21.22,69.2,97.6,102.9,-5.300000000000011,109.2,89.7,19.5,22.748669693717673,130.0453728830066,0,97.61298120422876,96.71176596890596,0.9012152353227947,-2.3740679782814325,102.6224759913196,88.33649543624071,14.285980555078893,17.486578699217322,2021-12-06,12.65548041807508,129.13704806232724,15.512376814699664,129.13704806232724,39.5,41.91,13.695898491083678,2.41,28.21410150891632,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.012607422565682258,0.11404687114636014,9.484910836762687,5.666666666666667,-6.572633744855966,5.2387500000000005,0.3442857142857152,1,-1.0,1,1,1,3,-1.0,3.0
8.0,7,5.566666666666667,5.05660722450846,0.9514286809511764,95.9,98.66666666666669,88.7,93.1,Tue 12-14 12-14,A,310 (Ⅳ),UT Rio Grande Valley,"W, 70-60",68,102.9,55.1,20.6,31.3,15.3,88.2,46.6,17.6,18.9,16.9,-18.5,-2.0,148.5,98.403515625,100.90703125,97.98986434994669,99.20950988030204,90.037109375,91.37421875,92.9332571254382,98.25808119935088,20211214,98.3,100.4,-2.1000000000000085,97.4,106.3,-8.899999999999991,98.3,100.6,-2.27,68.1,-2.0561906570952004,143.24839302716993,71.00611664295874,-0.7559974769179547,146.8363342995096,4.029023768305421,146.8363342995096,-0.7559974769179547,146.8363342995096,4.029023768305421,141.1698353942218,96.6,107.6,-11.06,73.3,98.3,100.4,-2.1000000000000085,97.4,106.3,-8.899999999999991,-1.3485403446507747,146.8288904222486,0,97.6294079085462,95.35204807521322,2.27735983333298,-2.099398597913223,100.9138308525748,104.65415815404668,-3.740327301471879,-1.5418399742677829,2021-12-14,-0.2875865010794456,144.0283047462081,2.3478749631520515,144.0283047462081,9.27,51.17999999999999,23.100598994055787,41.91,28.079401005944206,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.5755320005597261,0.5109253401578653,7.326607224508461,7.836666666666668,9.484910836762687,5.6866666666666665,5.2387500000000005,1,1.0,1,1,1,3,3.0,-1.0
-10.5,-19,7.333333333333333,-3.0289285169943603,-2.712467442858129,78.0,94.73333333333332,97.2,87.39999999999999,Mon 1-03 1-03,A,214 (Ⅲ),Southern,"L, 63-50",67,75.1,43.9,37.6,43.2,34.7,94.6,49.0,18.0,11.1,34.0,-25.5,2.5,138.5,88.2017578125,98.403515625,91.3265762332978,95.35323535661075,93.6185546875,90.037109375,94.35550475029214,98.0657027994689,20220103,99.3,100.1,-0.7999999999999972,95.0,103.1,-8.099999999999994,98.6,100.3,-1.74,67.1,-0.8728732693702028,133.96999719115854,68.62716927453769,-1.2336740192810254,138.65980722669366,1.862937494932252,138.65980722669366,-1.2336740192810254,138.65980722669366,1.862937494932252,129.52549313696235,94.5,103.0,-8.46,71.9,99.3,100.1,-0.7999999999999972,95.0,103.1,-8.099999999999994,-0.18428418085822654,129.86040278529154,0,96.40140791274722,94.9936069338847,1.407800978862511,-1.2467436426877452,101.39992332691664,97.16515135404184,4.234771972874796,0.8653268309774811,2022-01-03,5.604612034688429,133.59680263596778,3.3673503409926155,133.59680263596778,-17.26,33.91999999999999,32.46039932937052,51.17999999999999,1.4596006706294702,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.4059036140017165,0.2967494452152728,-1.2889285169943603,9.073333333333332,7.326607224508461,3.3920000000000003,5.6866666666666665,-1,1.0,1,1,1,1,3.0,3.0
