ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
6.5,29,,29.5,29.5,126.8,0.0,97.3,0.0,Tue 11-09 11-09,H,340 (Ⅳ),Houston Baptist,"W, 92-48",62,148.5,77.0,17.8,34.8,44.0,77.5,38.8,27.4,40.0,44.9,-13.0,-37.5,153.0,126.8,0.0,126.8,126.8,97.3,0.0,97.3,97.3,20211109,113.6,91.4,22.19999999999999,94.6,112.7,-18.10000000000001,111.3,89.7,21.62,67.7,-34.43847538571302,146.8964367445018,70.58904694167853,-34.3636628458444,155.79371744600024,-48.84164046306467,155.79371744600024,-34.3636628458444,155.79371744600024,-48.84164046306467,182.65435869463812,91.8,112.8,-21.09,73.3,113.6,91.4,22.19999999999999,94.6,112.7,-18.10000000000001,-48.84164046306467,182.65435869463812,0,0.0,0.0,0.0,0.0,95.54661699862912,97.26232349145222,-1.7157064928231023,-2.3184842706008584,2021-11-09,0.0,0.0,,0.0,7.379999999999999,7.379999999999999,0.0,0.0,7.379999999999999,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,7.879999999999999,,0.0,7.379999999999999,0.0,1,0.0,1,1,1,3,0.0,0.0
-5.0,17,,25.466666666666665,27.3,130.1,0.0,112.7,0.0,Sat 11-13 11-13,A,1 (I-A),Gonzaga,"L, 86-74",65,114.1,51.7,17.0,36.1,27.1,132.6,60.2,10.8,31.0,28.8,12.0,7.0,148.0,128.45,126.8,127.9,127.4,105.0,97.3,102.43333333333334,100.1,20211113,111.0,88.7,22.3,117.9,88.3,29.60000000000001,111.3,89.7,21.62,67.5,10.665705865331972,147.28075659926537,72.01280227596015,9.012708317738301,149.36137589702497,2.344740861064537,149.36137589702497,9.012708317738301,149.36137589702497,2.344740861064537,160.81186323443234,119.5,88.1,31.42,75.0,111.0,88.7,22.3,117.9,88.3,29.60000000000001,2.344740861064537,160.81186323443234,0,116.44897325791672,95.0414311528382,21.40754210507852,15.604741466886376,91.53364618651948,103.8484270522018,-12.314780865682323,-21.87130956371894,2021-11-13,-20.70906361135131,152.45596863753912,-25.034374303883702,152.45596863753912,-4.620000000000001,2.759999999999998,7.379999999999999,7.379999999999999,-4.620000000000001,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3.846666666666664,,7.879999999999999,1.379999999999999,7.379999999999999,1,1.0,-1,1,1,1,3.0,0.0
-8.0,25,24.23333333333333,25.577777777777776,27.027272727272724,96.5,117.8,70.7,93.56666666666666,Wed 11-17 11-17,H,204 (Ⅳ),Northern Colorado,"W, 62-49",62,99.9,45.0,16.1,39.5,21.7,79.0,52.3,32.2,12.5,9.1,-28.5,-21.0,139.5,112.475,128.45,117.43333333333334,121.78181818181817,87.85,105.0,91.85555555555555,94.75454545454544,20211117,112.3,90.6,21.700000000000003,98.8,100.5,-1.7000000000000028,112.0,90.7,21.35,66.1,-19.42855300109094,137.91322205420323,66.85220483641535,-19.881335678840372,139.12100368370525,-11.906830878654663,139.12100368370525,-19.881335678840372,139.12100368370525,-11.906830878654663,160.1192336828297,101.0,102.7,-1.74,71.1,112.3,90.6,21.700000000000003,98.8,100.5,-1.7000000000000028,-11.939447428611855,160.0857175582487,0,107.9547879648256,99.60351953062634,8.351268434199255,4.731041707625428,96.87799790983225,93.93297126616864,2.94502664366361,1.254865241284433,2021-11-17,-7.161574728814742,135.70073418024077,-4.251786298020406,135.70073418024077,3.6499999999999986,6.409999999999997,5.839999999999999,2.759999999999998,0.5699999999999976,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,4.227777777777774,2.8833333333333293,3.846666666666664,2.1366666666666667,1.379999999999999,1,1.0,1,1,1,3,1.0,3.0
5.0,35,26.1,28.751851851851857,28.495041322314044,101.2,109.26666666666668,66.1,83.16666666666667,Sat 11-20 11-20,H,291 (Ⅳ),San Jose St.,"W, 79-45",72,109.6,55.4,16.6,26.7,37.5,62.4,37.0,37.5,25.7,26.0,-6.5,-29.0,130.5,106.8375,112.475,112.02222222222224,118.0396694214876,76.975,87.85,83.27037037037039,89.54462809917354,20211120,111.7,89.7,22.0,100.2,106.1,-5.899999999999992,111.0,90.0,20.99,65.3,-25.992964656330535,128.61829005339197,63.44224751066855,-22.44891731487123,136.24731168130526,-18.980880838507712,136.24731168130526,-22.44891731487123,136.24731168130526,-18.980880838507712,144.3227292117267,92.9,107.3,-14.42,68.3,111.7,89.7,22.0,100.2,106.1,-5.899999999999992,-18.90107002563015,144.2863004474173,0,106.32688449435376,96.4236647688832,9.903219725470564,12.14229690888362,93.8887536305666,97.6934551106233,-3.804701480056707,-4.797364717401052,2021-11-20,-12.235028019244474,126.85839921937594,-12.588522047561746,126.85839921937594,14.010000000000002,20.419999999999998,6.0299999999999985,6.409999999999997,14.39,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,7.761851851851858,5.110000000000003,4.227777777777774,5.105,2.1366666666666667,1,1.0,1,1,1,3,3.0,1.0
2.0,32,31.200000000000003,30.067901234567906,29.25957926371149,106.4,101.36666666666667,73.7,70.16666666666667,Wed 11-24 11-24,H,209 (Ⅳ),Cal Baptist,"W, 68-44",62,110.4,50.0,19.5,39.3,41.2,71.5,42.9,37.4,34.5,31.0,-27.5,-22.0,139.5,106.61875,106.8375,110.14814814814817,115.92336589030802,75.3375,76.975,80.08024691358027,86.66378662659653,20211124,111.9,89.2,22.700000000000003,103.1,104.8,-1.7000000000000028,111.3,90.0,21.26,65.6,-20.603270032401596,136.17960620421417,64.94679943100995,-20.763219556663245,139.87949427738783,-22.387043205704547,139.87949427738783,-20.763219556663245,139.87949427738783,-22.387043205704547,134.36886708849758,102.2,106.0,-3.83,69.6,111.9,89.2,22.700000000000003,103.1,104.8,-1.7000000000000028,-22.520749594873823,134.38443359100833,0,104.58492659042724,91.6277867507447,12.95713983968254,16.53189773852526,96.1091634244494,106.87057959251102,-10.761416168061615,-12.07889089519614,2021-11-24,-19.523015456901668,133.58464620109194,-20.440791089566112,133.58464620109194,10.739999999999998,31.159999999999997,10.826666666666664,20.419999999999998,20.333333333333332,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,8.807901234567904,9.940000000000001,7.761851851851858,6.231999999999999,5.105,1,1.0,1,1,1,3,3.0,3.0
-6.0,22,29.933333333333337,27.37860082304527,27.93965576121849,124.4,110.66666666666669,102.4,80.73333333333333,Mon 11-29 11-29,H,132 (Ⅳ),Sam Houston St.,"W, 73-57",59,123.9,67.0,22.1,29.2,40.9,96.8,49.1,23.8,37.5,17.0,2.0,-22.0,128.0,115.509375,106.61875,114.89876543209878,117.4645720920702,88.86875,75.3375,87.52016460905352,89.52491633085171,20211129,112.3,88.6,23.700000000000003,99.1,101.1,-2.0,112.0,90.4,21.65,64.5,-19.298524444057044,126.87632134261997,63.215504978662885,-20.35969975563134,131.1434344049276,-24.08955010546401,131.1434344049276,-20.35969975563134,131.1434344049276,-24.08955010546401,120.9102768253024,97.3,100.9,-3.67,68.9,112.3,88.6,23.700000000000003,99.1,101.1,-2.0,-24.163781404159362,120.53611611928721,0,107.0623469341014,93.5557003000888,13.506646634012597,16.03217938607423,96.84228789090174,101.88517579739629,-5.042887906494542,-9.303928463234692,2021-11-29,-15.621807479435873,129.93699163306565,-17.84592882744132,129.93699163306565,0.3500000000000014,31.509999999999998,17.604444444444443,31.159999999999997,13.905555555555555,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,5.728600823045273,8.283333333333339,8.807901234567904,5.251666666666665,6.231999999999999,1,1.0,1,1,1,3,3.0,3.0
4.5,20,25.200000000000003,25.21906721536352,26.659718350087854,111.5,114.10000000000002,90.6,88.90000000000002,Fri 12-03 12-03,H,289 (Ⅳ),UT Rio Grande Valley,"W, 88-58",70,126.2,59.0,14.3,36.4,37.7,83.2,51.1,31.5,26.7,38.3,6.0,-25.5,140.0,113.5046875,115.509375,113.7658436213992,116.38010443896653,89.734375,88.86875,88.54677640603569,89.72038608887867,20211203,113.0,89.7,23.3,97.0,106.9,-9.900000000000006,112.7,91.2,21.49,63.5,-25.757948176629867,138.5357788894476,66.02916073968706,-26.81444876018734,141.33331883265342,-24.217325250310708,141.33331883265342,-26.81444876018734,141.33331883265342,-24.217325250310708,143.21466778598807,96.8,107.9,-11.08,73.1,113.0,89.7,23.3,97.0,106.9,-9.900000000000006,-27.077890763939433,143.44146756314103,0,106.9508889549437,92.53333217491152,14.417556780032172,17.261284680556134,102.80738893486156,106.5276272420064,-3.7202383071448395,-3.204216717609756,2021-12-03,-16.691580966718305,141.90054084841637,-15.491960011096651,141.90054084841637,-1.4899999999999984,30.02,22.23962962962963,31.509999999999998,7.78037037037037,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3.7290672153635214,3.7100000000000044,5.728600823045273,4.28857142857143,5.251666666666665,1,1.0,1,1,1,3,3.0,3.0
-2.0,13,18.8,21.312711476909016,24.267042286435515,107.8,114.56666666666668,94.3,95.76666666666668,Thu 12-09 12-09,A,43 (I-A),Seton Hall,"L, 64-60",62,96.5,43.2,16.1,29.4,15.3,103.0,44.7,14.5,36.8,33.3,-9.5,2.0,133.5,110.65234375,113.5046875,111.7772290809328,114.82008545006352,92.0171875,89.734375,90.4645176040238,90.553043163628,20211209,113.1,89.9,23.19999999999999,107.6,92.1,15.5,113.2,91.5,21.66,63.1,0.8706216707644927,129.05382271118964,63.54879089615932,-1.1798957218089186,130.92067200403457,-7.22683020358145,130.92067200403457,-1.1798957218089186,130.92067200403457,-7.22683020358145,120.38761871125223,109.2,92.1,17.09,70.8,113.1,89.9,23.19999999999999,107.6,92.1,15.5,-1.5845028826144534,122.74681069579394,0,105.38043465698522,94.32308631799658,11.057348338988632,13.654820987777082,104.2081457599564,88.34005447004914,15.868091289907255,18.93922367784282,2021-12-09,6.88687437393007,124.94614538165762,5.427523858761532,124.94614538165762,-8.66,21.36,24.833086419753087,30.02,-3.4730864197530877,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,-0.34728852309098457,-2.8599999999999994,3.7290672153635214,2.6700000000000017,4.28857142857143,-1,1.0,-1,1,1,-1,3.0,3.0
-3.5,28,21.03333333333333,23.77514098460601,25.07303459799269,90.0,103.10000000000002,61.3,82.06666666666666,Tue 12-14 12-14,H,353 (Ⅳ),Arkansas Pine Bluff,"W, 63-31",59,107.0,49.0,13.6,32.1,42.9,52.7,37.2,34.0,12.5,25.6,-40.5,-35.5,134.5,100.326171875,110.65234375,104.51815272062188,110.30734264096104,76.65859375,92.0171875,80.74301173601586,85.23430804296835,20211214,112.1,89.3,22.8,91.6,110.6,-19.0,112.3,91.0,21.28,62.0,-33.14302258949962,128.75957694874475,62.35277382645804,-30.70616437655184,132.54934815313274,-32.347417303275684,132.54934815313274,-30.70616437655184,132.54934815313274,-32.347417303275684,131.69476530866783,87.1,113.0,-25.97,70.7,112.1,89.3,22.8,91.6,110.6,-19.0,-29.898385952092028,133.01785058827625,0,103.36015756862996,90.69254121132262,12.667616357307338,14.8895996186211,100.48141426250538,101.5965664574422,-1.1151521949368117,-3.3634311148751204,2021-12-14,-12.406862865855409,125.86674945605895,-13.227765037763575,125.86674945605895,6.719999999999999,28.08,23.675390946502063,21.36,4.404609053497936,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2.49514098460601,-0.2466666666666697,-0.34728852309098457,3.120000000000001,2.6700000000000017,1,-1.0,1,1,1,3,-1.0,3.0
-3.5,18,20.066666666666663,21.850093989737346,23.78702830744857,95.7,97.83333333333336,77.7,77.76666666666667,Sun 12-19 12-19,N,109 (Ⅱ),Stanford,"W, 60-53",66,91.0,46.4,19.7,28.1,21.4,80.4,45.8,33.4,33.3,27.1,-16.0,-10.5,129.0,98.0130859375,100.326171875,101.5787684804146,107.65146216078632,77.179296875,76.65859375,79.72867449067724,83.86443385333773,20211219,111.8,88.6,23.200000000000003,104.1,98.6,5.5,111.7,90.2,21.5,61.2,-7.836697615761878,120.93162964692895,59.72005689900427,-11.055689634898052,124.34128804172593,-12.936813691480356,124.34128804172593,-11.055689634898052,124.34128804172593,-12.936813691480356,122.4066211462588,105.5,97.0,8.5,68.6,111.8,88.6,23.200000000000003,104.1,98.6,5.5,-13.856238830880704,120.49694937490347,0,101.11448092667814,90.27756814476308,10.83691278191506,12.94029334925608,101.15828969532892,103.84282706831152,-2.6845373729826036,1.3381824804293392,2021-12-19,-8.399388370206495,120.5680612171714,-6.928787212348887,120.5680612171714,-3.5,24.58,25.14359396433471,28.08,-0.5635939643347108,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0.3500939897373456,-1.4333333333333371,2.49514098460601,2.4579999999999984,3.120000000000001,1,1.0,-1,1,1,1,3.0,-1.0
