ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-11.5,-4,,-4.199999999999989,-4.199999999999989,92.9,0.0,97.1,0.0,Tue 11-09 11-09,H,266 (Ⅳ),Southeastern Louisiana,"W, 70-67",68,102.8,51.6,16.2,33.3,19.4,98.4,43.1,17.6,27.5,37.9,-5.0,-14.5,142.0,92.9,0.0,92.9,92.9,97.1,0.0,97.1,97.1,20211109,102.1,98.3,3.799999999999997,96.8,110.0,-13.200000000000005,98.9,95.0,3.92,70.1,-14.83785767617136,137.45236704638197,71.19687055476531,-16.728191164910626,151.48141146287293,3.7959168659931923,151.48141146287293,-16.728191164910626,151.48141146287293,3.7959168659931923,132.09536844103377,93.7,105.7,-12.03,71.4,102.1,98.3,3.799999999999997,96.8,110.0,-13.200000000000005,3.7959168659931923,132.09536844103377,0,97.0826313529306,96.8794816667569,0.20314968617370255,-0.7329614249374115,93.82474383578383,100.956909684212,-7.1321658484281585,-5.234943626205964,2021-11-09,-9.035285380713034,137.75926899838697,-5.139297352891873,137.75926899838697,-7.92,-7.92,0.0,0.0,-7.92,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9163531986724158,0.8052441865615497,-8.119999999999989,,0.0,-7.92,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-15.0,-12,,-6.86666666666666,-5.654545454545445,93.5,0.0,105.7,0.0,Sat 11-13 11-13,H,200 (Ⅳ),Southern,"L, 73-70",75,93.7,51.8,21.4,18.8,32.1,97.8,57.6,28.1,30.0,13.6,9.0,-12.0,134.0,93.2,92.9,93.1,93.00909090909092,101.4,97.1,99.96666666666668,98.66363636363636,20211113,98.7,95.9,2.799999999999997,93.9,102.4,-8.5,98.9,95.0,3.92,69.9,-15.807037191258836,134.71766333826974,72.28634423897583,-12.101791621749001,141.52463881702943,-5.50317664184341,141.52463881702943,-12.101791621749001,141.52463881702943,-5.50317664184341,122.56102069512238,89.5,102.9,-13.35,72.7,98.7,95.9,2.799999999999997,93.9,102.4,-8.5,-5.50317664184341,122.56102069512238,0,98.13570340453418,95.55548230623556,2.5802210982986225,5.610328407233006,93.76016617171572,101.26904717876675,-7.508881007051031,-8.52265474830555,2021-11-13,-11.147612261509181,139.91347071625154,-12.210761494320622,139.91347071625154,-15.92,-23.84,-7.92,-7.92,-15.92,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,3,0.8734510455264423,0.855808909224295,-10.78666666666666,,-8.119999999999989,-11.92,-7.92,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
11.5,0,-5.466666666666664,-4.577777777777774,-4.626446280991728,90.7,92.36666666666667,90.7,97.83333333333331,Wed 11-17 11-17,A,107 (Ⅱ),Florida St.,"L, 59-54",63,86.3,37.3,20.8,35.7,36.4,94.3,45.5,24.0,39.5,29.1,-27.5,16.5,140.5,91.95,93.2,92.3,92.5892561983471,96.05,101.4,96.8777777777778,97.21570247933884,20211117,98.1,96.9,1.1999999999999886,105.2,90.6,14.600000000000009,97.9,95.7,2.16,70.0,14.804066513246553,138.92441331785955,72.48933143669986,13.642033230152336,141.73021039818553,18.994932430521573,141.73021039818553,13.642033230152336,141.73021039818553,18.994932430521573,139.2439948793167,108.3,90.4,17.96,72.8,98.1,96.9,1.1999999999999886,105.2,90.6,14.600000000000009,18.943013666769875,139.20243236177203,0,92.86033400365298,94.3657154287886,-1.5053814251356243,3.163784837149066,93.54177286482737,90.3859661644723,3.155806700355072,4.88737045239782,2021-11-17,6.790178805393914,127.75054314498252,3.3608241704530712,127.75054314498252,-2.16,-26.0,-13.226666666666667,-23.84,-12.773333333333333,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.05804156686932749,0.25891833868078884,-6.737777777777774,-7.626666666666664,-10.78666666666666,-8.666666666666666,-11.92,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.0,7,-1.5,-0.4851851851851823,-2.385274229902322,114.8,99.66666666666669,107.1,101.16666666666669,Mon 11-22 11-22,N,132 (Ⅲ),Drexel,"W, 90-87 OT",79,113.8,57.5,12.6,21.9,48.3,110.0,51.5,16.4,22.2,36.9,46.0,-2.0,131.0,103.375,91.95,99.8,96.62757325319308,101.575,96.05,100.2851851851852,99.0128474830954,20211122,98.2,96.8,1.4000000000000057,100.3,104.5,-4.200000000000003,98.6,95.5,3.06,67.6,-2.728296254148887,127.98734604077762,64.42674253200569,-3.654197898133816,132.00044671663022,6.070467589037457,132.00044671663022,-3.654197898133816,132.00044671663022,6.070467589037457,126.96787387045994,102.3,103.4,-1.1,67.0,98.2,96.8,1.4000000000000057,100.3,104.5,-4.200000000000003,6.096215400132762,127.03260584830726,0,98.36465103393968,103.91470248955372,-5.550051455614039,-14.191890923391156,97.79400701761908,102.21185693726382,-4.417849919644738,0.1582956816154263,2021-11-22,0.715171496147633,133.62197825374614,9.245357776869952,133.62197825374614,3.94,-22.06,-17.484444444444446,-26.0,-4.575555555555553,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.5755320005597261,0.47284840968695896,-3.5451851851851823,-4.5600000000000005,-6.737777777777774,-5.515000000000001,-8.666666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,2,3.2333333333333343,0.3432098765432117,-1.5879516426473543,92.8,99.43333333333334,90.8,96.2,Tue 11-23 11-23,N,82 (Ⅱ),Toledo,"L, 68-67",72,93.1,45.9,12.5,17.5,32.8,94.5,40.0,22.2,43.5,33.8,-8.5,2.5,143.5,98.0875,103.375,97.46666666666668,95.9316508435216,96.1875,101.575,97.12345679012348,97.51960248616896,20211123,98.7,97.2,1.5,101.5,99.0,2.5,99.4,96.3,3.11,68.3,0.7602020126961122,139.7981093267659,67.9113798008535,0.6573756608139973,136.60266231714826,3.1294688978785516,136.60266231714826,0.6573756608139973,136.60266231714826,3.1294688978785516,143.2732938140984,108.0,103.5,4.48,69.9,98.7,97.2,1.5,101.5,99.0,2.5,3.1678389288263022,143.36874725876038,0,96.72599959320296,100.56715525760151,-3.8411556643985563,-11.703123856751231,98.53196422370328,100.6321370830717,-2.1001728593684135,1.719832721063831,2021-11-23,1.219694754892899,136.64247628783255,9.115715022063632,136.64247628783255,-1.1099999999999999,-23.169999999999998,-19.009629629629632,-22.06,-4.160370370370366,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,3,0.4059036140017165,0.4537623118984482,-2.766790123456788,0.1233333333333344,-3.5451851851851823,-4.634,-5.515000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,-3,2.13333333333333,-0.8711934156378625,-1.8992331621660192,95.6,101.06666666666666,98.9,98.93333333333334,Wed 11-24 11-24,N,215 (Ⅳ),Valparaiso,"L, 68-64",67,95.5,41.7,14.9,25.0,44.4,101.4,56.6,23.9,23.3,22.6,-0.5,-4.0,132.5,96.84375,98.0875,96.84444444444443,95.87135069015405,97.54375,96.1875,97.71563786008234,97.77058385232006,20211124,99.3,98.0,1.2999999999999972,100.0,101.3,-1.2999999999999972,98.8,95.7,3.07,68.5,-5.875822797109748,128.236614368414,67.13584637268849,-1.7823289986766042,136.61442739715366,-2.7375016784788735,136.61442739715366,-1.7823289986766042,136.61442739715366,-2.7375016784788735,124.85387697775718,95.7,101.6,-5.91,68.9,99.3,98.0,1.2999999999999972,100.0,101.3,-1.2999999999999972,-2.759607982927329,124.83581853063306,0,95.40262789811544,101.77454137144125,-6.3719134733258045,-10.103676950412025,96.27729806597708,101.15690242607782,-4.879604360100743,-5.944551988397609,2021-11-24,1.0177314841110672,133.79480050876984,2.7922637449461405,133.79480050876984,-6.07,-29.24,-20.39641975308642,-23.169999999999998,-8.843580246913579,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.6483807083005341,0.4613922596616735,-3.941193415637862,-0.9366666666666696,-2.766790123456788,-4.873333333333333,-4.634,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-0.5,-1,-0.8000000000000066,-0.9474622770919112,-1.753918041772199,101.8,96.73333333333332,102.9,97.53333333333336,Tue 11-30 11-30,A,149 (Ⅲ),College of Charleston,"L, 81-77",77,100.2,57.4,24.7,10.7,31.5,105.4,53.0,20.8,35.9,24.2,7.5,3.5,150.5,99.321875,96.84375,98.4962962962963,96.94928692830784,100.221875,97.54375,99.44375857338824,98.70320497008004,20211130,99.4,99.1,0.3000000000000113,101.4,103.0,-1.5999999999999943,99.4,97.5,1.94,68.0,-0.3527885761586447,148.13665333009936,74.674253200569,2.887965774420593,154.76458724013736,6.469497869833594,154.76458724013736,2.887965774420593,154.76458724013736,6.469497869833594,145.6143063361629,99.2,103.4,-4.27,77.2,99.4,99.1,0.3000000000000113,101.4,103.0,-1.5999999999999943,9.577961750905297,145.44379340257527,0,96.15639890749084,102.4929171470264,-6.336518239535565,-11.055468911632031,98.85896592390448,96.16852628043164,2.6904396434728426,7.196783433811393,2021-11-30,10.89404479401135,148.07015058484234,15.680271996964237,148.07015058484234,-2.94,-32.18,-23.34427983539095,-29.24,-8.83572016460905,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.36944134018176367,0.14974490911096094,-2.8874622770919114,-2.7400000000000064,-3.941193415637862,-4.597142857142857,-4.873333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.5,22,5.933333333333323,6.768358481938722,2.601339784004563,119.1,105.5,96.9,99.56666666666666,Sat 12-04 12-04,H,252 (Ⅳ),Alcorn St.,"W, 85-64",68,124.2,66.4,10.2,7.4,19.0,93.6,42.5,20.5,33.3,26.7,16.5,-13.5,132.5,109.2109375,99.321875,105.3641975308642,100.97668930497912,98.5609375,100.221875,98.5958390489255,98.37534952097458,20211204,99.1,99.5,-0.4000000000000057,94.7,104.9,-10.200000000000005,99.3,97.9,1.44,67.8,-12.643001496281713,125.80539225156276,65.58179231863443,-10.275400760856101,133.4781868299117,-5.0416716954496295,133.4781868299117,-10.275400760856101,133.4781868299117,-5.0416716954496295,123.0493247390714,91.1,103.9,-12.79,68.0,99.1,99.5,-0.4000000000000057,94.7,104.9,-10.200000000000005,-4.041809761791631,126.27125572892446,0,99.95293318521034,102.03061544218798,-2.0776822569776385,-3.816551080326077,104.50888415519871,96.05237968254664,8.456504472652071,3.3764586740903817,2021-12-04,3.3300667184464317,136.09189408401053,2.88505522050891,136.09189408401053,20.56,-11.620000000000001,-26.289519890260635,-32.18,14.669519890260634,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.900728603156669,0.3755651927710104,5.3283584819387215,4.493333333333323,-2.8874622770919114,-1.4525000000000001,-4.597142857142857,1,-1.0,1,-1,-1,1,-3.0,-3.0
-17.5,-9,3.766666666666656,1.245572321292478,0.3465507323673673,97.6,106.16666666666669,107.4,102.40000000000002,Tue 12-07 12-07,H,149 (Ⅲ),College of Charleston,"L, 86-72",77,93.8,45.8,16.9,21.1,40.0,112.0,59.7,23.4,32.3,24.2,8.5,-3.5,149.5,103.40546875,109.2109375,102.7761316872428,100.36274579498291,102.98046875,98.5609375,101.53055936595034,100.01619506261557,20211207,100.6,99.7,0.8999999999999915,102.7,101.9,0.7999999999999972,100.4,98.5,1.89,67.7,-7.633591704392629,150.28956904451036,74.63371266002845,-4.465965580157771,156.2769624061171,-3.3863626065721064,156.2769624061171,-4.465965580157771,156.2769624061171,-3.3863626065721064,153.36519542360216,100.3,103.0,-2.71,77.5,100.6,99.7,0.8999999999999915,102.7,101.9,0.7999999999999972,0.46366777676426635,148.35961761873708,0,99.0360953667266,102.5912931429597,-3.5551977762331006,-6.787897530388138,100.66948059907052,94.84709035410316,5.822390244967366,7.79126630576056,2021-12-07,2.916802185293193,150.20814854879765,8.780743372062958,150.20814854879765,-10.89,-22.51,-21.399679926840427,-11.620000000000001,-1.1103200731595742,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.39058652134472394,-0.6444276787075218,1.876666666666656,5.3283584819387215,-2.501111111111111,-1.4525000000000001,-1,1.0,-1,-1,-1,-3,1.0,-3.0
7.0,18,10.23333333333332,6.930381547528313,3.610814235573297,128.7,115.13333333333333,110.4,104.9,Wed 12-29 12-29,H,33 (Ⅱ),Memphis,"W, 85-84",72,118.8,63.3,12.6,11.5,18.3,117.4,50.8,21.0,50.0,40.3,29.0,6.0,140.0,116.052734375,103.40546875,111.41742112482854,105.51497383225876,106.690234375,102.98046875,104.48703957730024,101.90415959668546,20211229,100.3,100.1,0.2000000000000028,108.5,91.7,16.799999999999997,99.8,99.3,0.48,67.6,7.523440516976919,138.86441286143554,70.29246088193456,7.927223932895998,143.97865717923736,0.048283694453785095,143.97865717923736,7.927223932895998,143.97865717923736,0.048283694453785095,145.06467656441126,108.4,91.5,16.9,73.1,100.3,100.1,0.2000000000000028,108.5,91.7,16.799999999999997,6.861077872989952,136.88867387687867,0,100.87530655802196,102.96178130759108,-2.0864747495691205,-4.955084352048215,104.06812092587644,95.52297471398474,8.545146211891705,10.277057647455337,2021-12-29,3.6650817622169,146.20140721707565,8.686485307832086,146.20140721707565,17.52,-4.990000000000002,-21.769786617893622,-22.51,16.77978661789362,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.2838545830986763,0.3635238571783147,6.450381547528313,9.75333333333332,-0.6444276787075218,-0.49899999999999967,-2.501111111111111,1,-1.0,1,-1,-1,1,-3.0,1.0
