ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-12.5,-9,,-9.399999999999991,-9.399999999999991,100.2,0.0,109.6,0.0,Wed 11-10 11-10,H,326 (Ⅳ),Northwestern St.,"W, 82-75",72,113.7,55.2,22.2,37.5,37.9,104.0,54.7,22.2,35.1,15.6,14.0,-19.5,143.0,100.2,0.0,100.2,100.2,109.6,0.0,109.6,109.6,20211110,102.7,96.8,5.900000000000006,95.0,110.4,-15.400000000000006,100.0,96.8,3.15,69.7,-16.973216514690634,142.73437230539218,72.67439544807966,-20.191466781633522,153.04969048920594,-0.7777155071392059,153.04969048920594,-20.191466781633522,153.04969048920594,-0.7777155071392059,147.32921370490612,92.4,107.4,-15.01,73.3,102.7,96.8,5.900000000000006,95.0,110.4,-15.400000000000006,-0.7777155071392059,147.32921370490612,0,101.49433111667751,104.6895930440285,-3.195261927350984,-3.504264360440997,0.0,0.0,0.0,0.0,2021-11-10,0.0,0.0,,0.0,-12.15,-12.15,0.0,0.0,-12.15,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,3,0.9683545838833274,0.5,-12.549999999999992,,0.0,-12.15,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-16.0,-8,,-9.133333333333333,-9.254545454545449,92.8,0.0,101.4,0.0,Sat 11-13 11-13,H,247 (Ⅳ),Air Force,"L, 59-58",62,94.1,43.2,13.0,27.0,13.6,95.8,58.2,30.8,29.2,6.1,-7.0,-15.0,124.0,96.5,100.2,97.73333333333336,98.85454545454546,105.5,109.6,106.86666666666667,108.1090909090909,20211113,100.0,95.2,4.799999999999997,90.2,104.7,-14.5,100.5,97.3,3.16,69.5,-13.111744819909767,127.29309632121115,65.15007112375534,-16.14893183070749,127.70873175542445,-7.621447874884436,127.70873175542445,-16.14893183070749,127.70873175542445,-7.621447874884436,112.0610016501709,93.1,104.8,-11.72,65.9,100.0,95.2,4.799999999999997,90.2,104.7,-14.5,-7.621447874884436,112.0610016501709,0,102.415229097857,103.16279981887692,-0.747570721019926,-4.742794714102939,96.64479902087017,91.07239837160152,5.572400649268644,1.095563513758552,2021-11-13,0.686519396969473,128.84213334335874,2.0127589785412425,128.84213334335874,-11.16,-23.310000000000002,-12.15,-12.15,-11.160000000000002,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.9234362744901652,0.4739346093078528,-12.293333333333333,,-12.549999999999992,-11.655000000000001,-12.15,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
8.5,-1,-6.333333333333333,-6.422222222222221,-7.753719008264457,95.1,96.03333333333336,96.1,102.36666666666667,Mon 11-15 11-15,H,240 (Ⅳ),Oregon St.,"W, 64-58",61,104.3,44.4,17.9,34.3,37.0,94.5,52.9,24.4,33.3,21.6,-8.5,2.5,130.5,95.8,96.5,96.85555555555558,98.17190082644628,100.8,105.5,103.2777777777778,105.92561983471072,20211115,99.7,96.5,3.200000000000003,100.0,94.8,5.200000000000003,99.4,97.7,1.67,68.8,2.1602177231741564,132.38583800912048,68.1149359886202,-2.346686111680455,133.25150043526025,-1.1901828024863528,133.25150043526025,-2.346686111680455,133.25150043526025,-1.1901828024863528,117.92623278874655,104.5,94.0,10.57,69.6,99.7,96.5,3.200000000000003,100.0,94.8,5.200000000000003,-0.9824791333941002,118.01767336664803,0,102.20006052243129,96.35563315420848,5.84442736822281,-1.9546252939458053,99.39161379959532,110.68418477163654,-11.292570972041219,-3.052353665385576,2021-11-15,-16.187250291728233,146.10101177477594,-2.6071881780329136,146.10101177477594,-2.67,-25.980000000000004,-15.870000000000001,-23.310000000000002,-10.110000000000003,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.4059036140017165,0.9384198008840313,-8.09222222222222,-8.003333333333334,-12.293333333333333,-8.66,-11.655000000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
9.5,11,0.6666666666666666,-0.4148148148148114,-4.234861006761827,127.9,105.26666666666668,116.3,104.6,Sat 11-20 11-20,N,130 (Ⅲ),Rhode Island,"W, 77-71",65,119.3,55.1,13.9,33.3,22.0,110.0,58.7,23.2,28.0,50.0,17.0,3.5,131.0,111.85,95.8,107.20370370370372,103.57700976709242,108.55,100.8,107.61851851851851,107.8118707738542,20211120,99.5,96.5,3.0,100.3,91.5,8.799999999999997,99.6,97.2,2.4,67.7,4.274979965605837,129.73663088936541,67.98890469416786,4.00225109728737,130.80752185587002,11.59370730880363,130.80752185587002,4.00225109728737,130.80752185587002,11.59370730880363,122.59828340060217,101.9,93.1,8.79,70.6,99.5,96.5,3.0,100.3,91.5,8.799999999999997,11.541555509556707,122.41854448873453,0,101.71044068181348,109.34100691056344,-7.630566228749956,-13.292227130541876,96.5891865737813,94.37285142581727,2.216335147964031,3.8963320211411,2021-11-20,6.702601388346196,140.39470107480696,11.686313099938417,140.39470107480696,8.6,-17.380000000000003,-19.240000000000002,-25.980000000000004,1.8599999999999994,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.36944134018176367,0.2616252167812352,-2.8148148148148113,-1.7333333333333334,-8.09222222222222,-4.345,-8.66,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
-8.0,-12,-0.666666666666662,-4.476543209876539,-5.755795369168767,93.5,105.5,106.1,106.16666666666669,Sun 11-21 11-21,N,112 (Ⅲ),Utah,"L, 72-58",64,90.3,43.3,12.5,18.9,13.3,112.1,50.0,15.6,40.5,19.0,-4.5,6.0,134.5,102.675,111.85,102.63580246913584,101.7448261730756,107.325,108.55,107.11234567901236,107.50062154224436,20211121,99.4,96.4,3.0,101.9,95.8,6.1000000000000085,101.3,97.9,3.44,67.2,4.693184501390618,132.44221726757394,67.48677098150783,2.078656997799058,133.75809309866037,14.173131077151144,133.75809309866037,2.078656997799058,133.75809309866037,14.173131077151144,139.92416272314082,104.3,93.9,10.41,70.6,99.4,96.4,3.0,101.9,95.8,6.1000000000000085,14.19551800370438,139.81438923837985,0,101.62719422298602,106.19672049259334,-4.569526269607323,-11.428010704377565,99.83578830021486,90.80931636314747,9.026471937067384,13.504234179369933,2021-11-21,9.496783083752703,137.11315872245683,16.82596700524337,137.11315872245683,-15.44,-32.82,-18.620000000000005,-17.380000000000003,-14.199999999999996,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.2838545830986763,0.18287695181238706,-7.916543209876538,-4.106666666666662,-2.8148148148148113,-6.564,-4.345,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
1.5,-4,-1.6999999999999982,-4.351028806584362,-5.454741665683538,98.8,106.73333333333332,102.9,108.43333333333334,Fri 11-26 11-26,H,328 (Ⅳ),Little Rock,"W, 77-63",70,110.6,60.3,17.2,27.6,20.7,90.5,47.1,23.0,16.1,34.6,8.0,-12.5,132.0,100.7375,102.675,101.35720164609054,101.2094032325164,105.1125,107.325,105.70823045267493,106.66414489819992,20211126,101.8,99.2,2.5999999999999943,91.6,103.2,-11.600000000000009,101.7,99.3,2.39,65.7,-12.688628092854842,131.8806031924223,66.35419630156473,-13.384551290436512,133.5528993204507,-7.5953047994189165,133.5528993204507,-13.384551290436512,133.5528993204507,-7.5953047994189165,131.36495807133082,93.5,104.7,-11.16,71.0,101.8,99.2,2.5999999999999943,91.6,103.2,-11.600000000000009,-7.9923514992935205,131.7332230008504,0,100.6631083284665,107.22702333918966,-6.56391501072315,-13.479492601592906,91.07014946028356,102.801373852998,-11.731224392714438,-8.126506788949865,2021-11-26,-7.797253057776814,136.93798524638356,1.8947240391514697,136.93798524638356,-6.390000000000001,-39.21,-23.35333333333334,-32.82,-15.856666666666662,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.8830703586536275,0.7711367019853341,-6.741028806584362,-4.089999999999998,-7.916543209876538,-6.535,-6.564,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-5.0,-7,-8.1,-5.434019204389573,-5.844788635559257,110.2,100.83333333333331,117.8,108.93333333333332,Mon 11-29 11-29,A,167 (Ⅲ),Oral Roberts,"L, 87-80",69,115.7,56.9,14.5,29.4,13.8,125.8,64.5,18.8,26.7,34.5,23.5,2.0,143.5,105.46875,100.7375,104.3048010973937,102.8440571902407,111.45625,105.1125,109.73882030178328,108.68884582579992,20211129,102.5,100.4,2.0999999999999943,104.8,106.4,-1.6000000000000083,102.6,100.2,2.45,65.9,1.5747783669473563,138.47167684585966,65.80625889046942,1.4561578308454557,144.52762824402927,3.769590577019939,144.52762824402927,1.4561578308454557,144.52762824402927,3.769590577019939,143.2573742234586,103.8,104.8,-1.02,70.2,102.5,100.4,2.0999999999999943,104.8,106.4,-1.6000000000000083,4.003571377262322,144.26324343075467,0,102.85281625064934,108.8503200131956,-5.997503762546259,-13.096732384619218,102.19492089412653,104.78751083899805,-2.59258994487152,7.0479686909653125,2021-11-29,6.474135152309586,147.86236561896447,15.043322880100632,147.86236561896447,-9.45,-48.66,-28.638888888888893,-39.21,-20.021111111111104,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.26875447628559823,-7.884019204389573,-10.55,-6.741028806584362,-6.951428571428572,-6.535,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.0,13,0.666666666666662,0.9439871970736138,-2.291190701821212,99.1,102.7,85.4,102.03333333333336,Fri 12-03 12-03,A,28 (I-A),Boise St.,"L, 63-58",68,85.6,46.6,20.7,19.4,6.9,93.0,61.1,35.4,37.5,35.6,-10.0,10.0,131.0,102.284375,105.46875,102.56986739826247,102.16331951928784,98.428125,111.45625,101.62588020118886,104.45451022110902,20211203,103.4,102.4,1.0,102.9,93.4,9.5,103.3,101.5,1.75,65.9,8.782322701096042,124.11520225360971,61.58790896159318,9.142858874164247,127.95469910782838,10.023578357254156,127.95469910782838,9.142858874164247,127.95469910782838,10.023578357254156,126.05562565281231,103.9,93.7,10.17,65.7,103.4,102.4,1.0,102.9,93.4,9.5,12.526877070090116,123.45848742655167,0,100.58171396164872,106.63956952702604,-6.057855565377324,-12.08646527372608,95.71720924117726,92.31490941385576,3.4022998273214995,-1.1337142959732245,2021-12-03,9.288384218041074,123.51917607770392,8.356043301681808,123.51917607770392,11.25,-37.41,-35.312592592592594,-48.66,-2.0974074074074025,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.17045190796406517,0.1881840396105221,-0.8060128029263862,-1.083333333333338,-7.884019204389573,-4.67625,-6.951428571428572,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,-9,-1.2333333333333345,-2.6373418686175896,-3.656428756035536,77.0,95.43333333333332,86.8,96.66666666666669,Tue 12-07 12-07,H,213 (Ⅳ),Loyola Marymount,"L, 60-55",67,81.9,45.4,19.4,14.3,20.4,89.3,52.1,32.8,33.3,31.3,-18.5,-3.0,133.5,89.6421875,102.284375,94.04657826550832,97.58817051578096,92.6140625,98.428125,96.68392013412593,101.24459927181648,20211207,103.1,101.8,1.2999999999999972,106.6,103.1,3.5,103.0,100.9,2.08,66.2,-1.4305140680907158,134.6728880645827,63.37496443812235,-2.466478075067016,139.7233863419491,-6.122658291403266,139.7233863419491,-2.466478075067016,139.7233863419491,-6.122658291403266,146.32082055529082,107.7,101.9,5.82,67.3,103.1,101.8,1.2999999999999972,106.6,103.1,3.5,-3.0669447046146754,139.61843979253098,0,97.55800011810491,102.92006003255564,-5.362059914450725,-10.65926919576296,97.47057700193042,106.2699465399634,-8.799369538032977,-11.440293815321674,2021-12-07,-5.900322437640575,132.78313510315772,-2.073394816376158,132.78313510315772,-11.08,-48.489999999999995,-36.01172839506173,-37.41,-12.478271604938264,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.6124515189020077,0.7129200071262705,-4.71734186861759,-3.3133333333333344,-0.8060128029263862,-5.387777777777778,-4.67625,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.0,9,4.499999999999996,1.4417720875882714,-1.246168982210894,116.1,97.4,106.5,92.9,Sat 12-11 12-11,H,119 (Ⅲ),Southern Illinois,"W, 69-65",62,111.5,54.3,14.5,21.4,51.1,105.1,53.5,17.8,26.5,12.3,10.5,-3.0,123.5,102.87109375,89.6421875,101.3977188436722,100.95395769472988,99.55703125,92.6140625,99.95594675608396,102.20012667694074,20211211,101.4,101.2,0.2000000000000028,101.6,99.0,2.5999999999999943,102.0,100.5,1.42,66.3,-2.2833244152339915,119.3871122936977,58.47226173541962,-1.9592222708408613,122.25439394916495,-1.3308536888172138,122.25439394916495,-1.9592222708408613,122.25439394916495,-1.3308536888172138,111.94621584153317,103.0,99.7,3.31,62.0,101.4,101.2,0.2000000000000028,101.6,99.0,2.5999999999999943,-1.2777685150864742,117.79494879562345,0,98.3311814364134,103.36209843064326,-5.030916994229855,-9.923804285162252,98.86804915149727,99.35942288876784,-0.491373737270564,1.0445248063031702,2021-12-11,-0.6650978162456198,120.22657120303337,4.848893583291442,120.22657120303337,7.58,-40.91,-40.17115226337449,-48.489999999999995,-0.7388477366255088,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6124515189020077,0.5252531725965888,0.021772087588271427,3.0799999999999956,-4.71734186861759,-4.091,-5.387777777777778,1,-1.0,-1,-1,-1,-1,-3.0,-3.0
