ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,-7,,-7.1000000000000085,-7.1000000000000085,103.6,0.0,110.7,0.0,Mon 11-15 11-15,A,34 (I),Washington St.,"L, 73-65",67,97.4,40.7,16.5,41.0,42.4,109.4,47.5,16.5,43.3,29.5,1.5,7.5,136.5,103.6,0.0,103.6,103.6,110.7,0.0,110.7,110.7,20211115,105.5,99.8,5.700000000000003,104.2,93.1,11.100000000000009,104.6,96.3,8.3,68.7,7.122839720379389,135.12902967705463,67.72275960170698,7.932556036466735,140.42602542630252,24.380887591100148,140.42602542630252,7.932556036466735,140.42602542630252,24.380887591100148,161.01423527424518,106.6,93.4,13.16,69.3,105.5,99.8,5.700000000000003,104.2,93.1,11.100000000000009,24.308532881554164,160.93438764214903,0,105.79910456821594,90.755543535601,15.043561032614932,14.271592486338117,100.64213556340388,89.42282406558947,11.219311497814417,9.179498156200976,2021-11-15,1.3428681551658457,128.96403323418252,-1.3299253726855937,128.96403323418252,-15.3,-15.3,0.0,0.0,-15.3,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.23752526202697655,0.44911713984793156,-15.40000000000001,,0.0,-15.3,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
4.0,22,,2.6666666666666607,-1.7727272727272787,103.3,0.0,81.1,0.0,Sat 11-20 11-20,H,343 (Ⅳ),Chicago St.,"W, 81-50",69,118.2,62.5,21.9,30.4,56.3,73.0,33.3,20.4,30.6,20.6,-5.5,-27.0,136.5,103.45,103.6,103.5,103.54545454545452,95.9,110.7,100.83333333333334,105.3181818181818,20211120,104.7,100.0,4.700000000000003,90.2,109.6,-19.39999999999999,104.5,96.3,8.2,68.2,-27.653310913254153,133.31596394239344,67.03584637268848,-20.81011444762889,141.28567480091908,-7.3749268107870245,141.28567480091908,-20.81011444762889,141.28567480091908,-7.3749268107870245,143.44829919345588,84.6,112.3,-27.66,69.1,104.7,100.0,4.700000000000003,90.2,109.6,-19.39999999999999,-7.409161973039368,143.60988352064197,0,98.49535399123305,93.4632361783448,5.032117812888245,6.000508178282592,97.94687626308924,98.8592475287093,-0.9123712656200667,5.770868651540106,2021-11-20,-7.637382863505003,129.90848357558045,-2.141419088019603,129.90848357558045,13.8,-1.5,-15.3,-15.3,13.8,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.9949360047253046,0.7665002741297027,-5.5333333333333385,,-15.40000000000001,-0.75,-15.3,-1,-1.0,1,-1,-1,-1,-3.0,0.0
4.0,2,5.933333333333327,2.67777777777777,-0.9595041322314118,100.6,102.5,97.9,96.56666666666666,Wed 11-24 11-24,H,352 (Ⅳ),Arkansas Pine Bluff,"W, 86-58",70,123.6,62.9,18.7,40.7,32.8,83.4,45.3,24.4,19.4,28.3,6.5,-24.0,137.5,102.025,103.45,102.53333333333336,103.00991735537188,96.9,95.9,99.85555555555558,103.9694214876033,20211124,105.2,99.7,5.5,89.3,109.6,-20.3,105.0,96.7,8.33,67.4,-27.753150997968454,134.72917298384428,68.0711237553343,-22.30668887799716,143.005630938002,-17.114396128701273,143.005630938002,-22.30668887799716,143.005630938002,-17.114396128701273,139.11342226261738,84.0,111.1,-27.15,71.0,105.2,99.7,5.5,89.3,109.6,-20.3,-16.933851589331873,139.47208745943382,0,99.7589063904964,93.69631917772064,6.062587212775767,10.001329415290169,108.66638945324384,100.72115349467988,7.945235958563956,4.933678064514013,2021-11-24,-3.0161290804865644,141.04648691146477,-5.497928671567308,141.04648691146477,-6.33,-7.83,-10.700000000000001,-1.5,2.870000000000001,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9888645105203836,0.6130396966635222,-5.65222222222223,-2.3966666666666727,-5.5333333333333385,-2.6099999999999985,-0.75,-1,-1.0,1,-1,-1,-1,-1.0,-3.0
-20.0,-18,2.266666666666661,-4.248148148148156,-4.0759579263711565,86.1,96.66666666666669,104.2,94.40000000000002,Mon 11-29 11-29,H,226 (Ⅳ),UT Arlington,"L, 70-62",71,87.7,46.4,25.5,29.7,40.0,99.1,44.7,15.6,30.6,43.9,-4.5,-12.0,136.5,94.0625,102.025,97.05555555555556,99.93538692712244,100.55,96.9,101.30370370370372,104.0113448534936,20211129,106.0,100.7,5.299999999999997,93.1,101.7,-8.600000000000009,106.3,98.0,8.23,66.9,-15.355666017861004,132.73346652877862,66.42418207681366,-13.410157550719951,137.5200873619181,-19.16205914954122,137.5200873619181,-13.410157550719951,137.5200873619181,-19.16205914954122,125.67419552340561,93.2,102.5,-9.27,69.8,106.0,100.7,5.299999999999997,93.1,101.7,-8.600000000000009,-18.589528176473575,126.11149385059481,0,96.60503996753916,100.32674151500508,-3.7217015474659263,-5.421423340145319,93.1101464137931,100.0875626888228,-6.977416275029697,-4.9315669206456505,2021-11-29,-5.854392173851458,129.51776722083238,-1.4382175307302418,129.51776722083238,-26.23,-34.06,-9.743333333333334,-7.83,-24.31666666666667,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.8734510455264423,0.7114279574209484,-12.478148148148156,-5.96333333333334,-5.65222222222223,-8.515,-2.6099999999999985,-1,-1.0,-1,-1,-1,-3,-1.0,-1.0
4.0,0,-5.066666666666673,-2.7654320987654364,-3.298511030667309,116.3,101.0,116.1,106.06666666666666,Fri 12-03 12-03,H,263 (Ⅳ),Pepperdine,"W, 86-74",69,123.9,60.2,21.6,40.7,71.4,106.6,49.3,15.8,35.0,16.4,23.0,-8.0,137.0,105.18125,94.0625,103.4703703703704,102.91077112219108,108.325,100.55,106.23580246913582,106.2092821528584,20211203,105.1,101.7,3.3999999999999915,96.2,100.8,-4.599999999999994,105.1,98.8,6.23,67.2,-10.947489524212074,135.70505846856395,66.53086770981508,-9.418883998038083,139.1368169093961,-8.29450704331922,139.1368169093961,-9.418883998038083,139.1368169093961,-8.29450704331922,129.8217546299294,98.1,102.5,-4.32,69.6,105.1,101.7,3.3999999999999915,96.2,100.8,-4.599999999999994,-8.084814915367575,127.88645829779959,0,100.336925819962,103.68139177869422,-3.344465958732215,-3.978826454916146,92.63890081985402,105.36324484542853,-12.72434402557451,-9.99251708174509,2021-12-03,-10.446917363722285,137.79669948665477,-5.733691266088712,137.79669948665477,-6.23,-40.290000000000006,-17.84888888888889,-34.06,-22.441111111111116,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,3,0.7769415761393583,0.8401183735642833,-8.995432098765438,-11.296666666666674,-12.478148148148156,-8.058,-8.515,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-13.0,-11,-9.800000000000002,-5.676954732510291,-4.789690843273252,100.9,101.1,112.4,110.90000000000002,Sat 12-11 12-11,A,19 (I-A),Saint Mary's,"L, 80-59",66,89.2,48.0,22.7,11.5,28.6,120.9,58.3,15.1,37.9,20.0,12.0,8.0,127.0,103.040625,105.18125,102.6135802469136,102.5451763727018,110.3625,108.325,108.2905349794239,107.33486721597504,20211211,106.4,102.8,3.6000000000000085,101.2,89.7,11.5,106.4,100.0,6.44,67.3,9.61495761754874,124.99828620172308,62.41763869132291,9.088827187847969,128.03668799458205,10.335174654113874,128.03668799458205,9.088827187847969,128.03668799458205,10.335174654113874,118.72145340478022,105.4,89.8,15.63,65.2,106.4,102.8,3.6000000000000085,101.2,89.7,11.5,10.301851138546928,120.96003359702227,0,99.358313329897,105.894559794647,-6.536246464749993,-5.827691103175263,99.3333237842772,90.64782629694288,8.685497487334317,10.970514946747077,2021-12-11,13.199226286220856,125.4486628554425,12.277677851094474,125.4486628554425,-17.44,-57.730000000000004,-25.329259259259263,-40.290000000000006,-32.400740740740744,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.22305842386064167,0.10436429484814802,-12.11695473251029,-16.240000000000002,-8.995432098765438,-9.621666666666666,-8.058,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-13.5,-17,-9.6,-9.617969821673528,-7.1006561444962975,102.8,106.66666666666669,120.3,116.26666666666668,Tue 12-14 12-14,A,273 (Ⅳ),Pacific,"L, 80-71 OT",71,100.7,53.5,17.0,21.2,29.8,113.4,52.3,11.3,33.3,32.8,17.5,-4.5,133.5,102.9203125,103.040625,102.67572016460907,102.59150794130146,115.33125,110.3625,112.2936899862826,109.69216408579776,20211214,105.4,103.3,2.1000000000000085,95.4,98.5,-3.0999999999999943,105.7,100.3,5.43,67.8,-1.1646118119983413,131.10195997451098,65.00312944523472,0.2629779647706556,134.84581915040093,0.38157580638179256,134.84581915040093,0.2629779647706556,134.84581915040093,0.38157580638179256,123.09366311748002,97.4,99.5,-2.11,67.4,105.4,103.3,2.1000000000000085,95.4,98.5,-3.0999999999999943,-0.5334314044334325,125.26009746287004,0,98.64816241275186,107.63737448956196,-8.989212076810105,-6.978777243734821,93.3288572284614,101.4090703551858,-8.080213126724402,-2.6472369004122305,2021-12-14,4.021845723789852,133.70353295831922,4.548123454725612,133.70353295831922,-22.43,-80.16,-36.12950617283951,-57.730000000000004,-44.030493827160484,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.3508476754534883,-15.047969821673528,-15.03,-12.11695473251029,-11.451428571428572,-9.621666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.5,4,-8.266666666666666,-5.0119798811156855,-5.045991390951515,98.7,100.8,94.5,109.06666666666666,Sun 12-19 12-19,H,313 (Ⅳ),Florida A&M,"W, 73-62",71,103.2,49.1,21.2,32.4,39.7,87.6,46.2,18.4,14.7,34.0,0.0,-16.5,135.0,100.81015625,102.9203125,101.3504801097394,101.88396104288302,104.915625,115.33125,106.36245999085509,106.92995243383452,20211219,105.4,104.8,0.6000000000000085,90.5,100.2,-9.700000000000005,105.4,101.3,4.16,67.4,-13.930551603712907,131.31378477309664,65.96187766714083,-11.077883906454147,135.78550501111386,-7.620441166215792,135.78550501111386,-11.077883906454147,135.78550501111386,-7.620441166215792,130.5172878873499,90.8,102.1,-11.35,68.8,105.4,104.8,0.6000000000000085,90.5,100.2,-9.700000000000005,-9.772329287461353,128.2427102001791,0,98.08973417533288,107.3771946582562,-9.287460482923322,-7.624753314174079,93.56281666233916,101.61478094112934,-8.05196427879018,-10.018254459428183,2021-12-19,-3.2542391477493737,135.35291791318798,-3.2628036432120737,135.35291791318798,-0.16000000000000014,-80.32,-50.806337448559674,-80.16,-29.51366255144032,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.9419584331306725,0.6216919695051815,-9.171979881115686,-12.426666666666666,-15.047969821673528,-10.04,-11.451428571428572,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.0,1,-4.099999999999999,-3.007986587410457,-3.94672022896033,85.3,95.6,84.3,99.7,Wed 12-22 12-22,H,339 (Ⅳ),Idaho St.,"W, 56-43",58,96.2,45.9,17.2,27.6,30.6,73.9,41.5,27.5,27.3,19.1,-31.0,-14.0,130.0,93.055078125,100.81015625,96.0003200731596,98.86869539872248,94.6078125,104.915625,99.00830666057006,102.8154156276828,20211222,104.9,104.5,0.4000000000000057,92.8,107.4,-14.600000000000009,105.2,101.5,3.64,67.7,-13.61139120674116,127.01756931716724,61.63300142247511,-13.650738485136522,133.03977264937265,-12.609752689869532,133.03977264937265,-13.650738485136522,133.03977264937265,-12.609752689869532,127.5684049232646,93.7,106.0,-12.33,64.0,104.9,104.5,0.4000000000000057,92.8,107.4,-14.600000000000009,-14.48824333873053,125.811887311168,0,95.65766898201304,105.70533646707152,-10.047667485058483,-8.892245389998049,86.51441966013711,110.0818428519654,-23.567423191828297,-23.50335400203772,2021-12-22,-12.260046694724188,124.84635632459751,-10.451459495249516,124.84635632459751,-2.64,-82.96,-60.64422496570646,-80.32,-22.315775034293537,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9087887802741321,0.8785206655704494,-6.647986587410458,-7.739999999999998,-9.171979881115686,-9.217777777777778,-10.04,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.0,-7,-0.7666666666666657,-4.5053243916069725,-4.592771096422088,104.6,96.2,112.1,96.96666666666664,Thu 12-30 12-30,A,287 (Ⅳ),UC San Diego,"L, 85-83 OT",78,106.3,54.8,16.7,24.2,30.2,108.9,59.0,16.7,9.1,27.9,30.5,-3.0,137.5,98.8275390625,93.055078125,98.86688004877308,99.91075078077291,103.35390625,94.6078125,103.37220444038005,104.503521877195,20211230,103.3,103.3,0.0,96.4,103.6,-7.199999999999989,104.4,101.0,3.39,67.2,-2.8744142980916365,134.5419106242632,65.47937411095306,-1.1107291433909268,138.60615328861243,-2.7025923906472946,138.60615328861243,-1.1107291433909268,138.60615328861243,-2.7025923906472946,132.9628927484275,97.3,103.9,-6.66,68.5,103.3,103.3,0.0,96.4,103.6,-7.199999999999989,0.9983276294067543,128.80308624149234,0,96.33802806267532,105.35777462063754,-9.019746557962222,-7.684859832571984,97.51579282374368,98.54024527038116,-1.0244524466374827,0.0344896985306526,2021-12-30,8.960382742569067,132.89716057548213,6.817872430776298,132.89716057548213,-10.39,-93.35,-68.0828166438043,-82.96,-25.267183356195687,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.6124515189020077,0.19672713588402746,-7.895324391606973,-4.156666666666666,-6.647986587410458,-9.335,-9.217777777777778,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
