ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
14.0,29,,29.099999999999994,29.099999999999994,112.6,0.0,83.5,0.0,Tue 11-09 11-09,H,302 (Ⅳ),Cal St. Bakersfield,"W, 95-58",77,124.1,60.5,14.4,22.2,41.9,75.7,43.0,19.6,16.3,12.5,18.5,-23.0,134.5,112.6,0.0,112.6,112.6,83.5,0.0,83.5,83.5,20211109,116.8,92.5,24.3,101.5,104.7,-3.200000000000003,112.9,88.9,23.97,69.8,-23.32038450318135,140.03957208988348,69.60142247510669,-24.551540429578623,154.61257045851812,-36.021184885095465,154.61257045851812,-24.551540429578623,154.61257045851812,-36.021184885095465,136.20557504020212,97.5,101.6,-4.09,70.1,116.8,92.5,24.3,101.5,104.7,-3.200000000000003,-36.021184885095465,136.20557504020212,0,97.26232349145214,95.54661699862925,1.7157064928228891,1.1129287150450888,96.82031205357424,96.2907086755875,0.5296033779867457,-0.2398410664576555,2021-11-09,-4.530367787122756,132.68113390552793,-2.898894379962485,132.68113390552793,5.030000000000001,5.030000000000001,0.0,0.0,5.030000000000001,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.9857551401446322,0.6669343425186463,5.1299999999999955,,0.0,5.030000000000001,0.0,1,0.0,1,1,1,3,0.0,0.0
6.0,26,,28.366666666666667,28.7,122.5,0.0,95.6,0.0,Fri 11-12 11-12,H,11 (I-A),Villanova,"W, 86-77 OT",73,117.7,53.9,19.2,37.1,29.7,105.4,49.3,9.6,23.3,22.1,23.0,-3.0,140.0,117.55,112.6,115.9,114.39999999999998,89.55,83.5,87.53333333333333,85.69999999999999,20211112,114.5,89.5,25.0,113.1,92.9,20.19999999999999,112.3,88.3,23.97,69.7,-4.810647120358993,135.80404838296744,67.32048364153628,-7.559497801115285,143.31735926595798,1.6250821723394184,143.31735926595798,-7.559497801115285,143.31735926595798,1.6250821723394184,151.6115010362705,113.9,90.9,23.02,67.9,114.5,89.5,25.0,113.1,92.9,20.19999999999999,1.6250821723394184,151.6115010362705,0,108.47320863996624,99.4112047523966,9.062003887569645,10.526959216727867,95.67687871442658,102.26615257251392,-6.5892738580873385,-10.17139813969234,2021-11-12,-14.891969244784867,142.4540761261792,-15.822558936272436,142.4540761261792,2.030000000000001,7.060000000000002,5.030000000000001,5.030000000000001,2.030000000000001,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6124515189020077,0.9219458897099759,4.396666666666668,,5.1299999999999955,3.530000000000001,5.030000000000001,1,1.0,1,1,1,3,3.0,0.0
-5.5,15,23.86666666666667,24.11111111111112,26.318181818181817,120.7,118.6,105.1,94.73333333333332,Mon 11-15 11-15,H,177 (Ⅲ),Long Beach St.,"W, 100-79",80,125.5,58.3,10.0,28.2,14.1,99.2,64.5,31.4,29.6,27.3,32.0,-26.5,147.0,119.125,117.55,117.5,115.54545454545452,97.325,89.55,93.38888888888889,89.22727272727272,20211115,115.1,90.2,24.89999999999999,95.1,103.9,-8.800000000000011,113.4,89.0,24.39,69.1,-29.605298211668554,148.2923568446912,73.71977240398293,-29.809978796445932,155.4749158910111,-34.00589330865194,155.4749158910111,-29.809978796445932,155.4749158910111,-34.00589330865194,158.7489356962024,93.5,104.0,-10.54,75.0,115.1,90.2,24.89999999999999,95.1,103.9,-8.800000000000011,-34.033227082592276,158.7459508492482,0,95.00840271945752,97.6064970273514,-2.5980943078938736,-4.123560052705756,104.82339810565608,96.1183339659609,8.705064139695182,9.900918995554123,2021-11-15,4.199870340066838,145.68714951517578,8.215033625819132,145.68714951517578,-9.39,-2.3299999999999983,5.706666666666669,7.060000000000002,-8.036666666666667,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.9941954594266154,0.3445828060086953,-0.2788888888888792,-0.5233333333333299,4.396666666666668,-0.7766666666666673,3.530000000000001,-1,1.0,-1,-1,1,-3,3.0,3.0
9.0,28,23.700000000000003,25.60740740740741,26.733057851239664,125.5,122.9,96.9,99.2,Wed 11-17 11-17,H,263 (Ⅳ),North Florida,"W, 98-63",73,133.6,55.8,12.3,57.1,23.1,85.9,43.5,17.7,16.7,21.0,16.0,-26.0,145.0,122.3125,119.125,120.16666666666669,117.35537190082644,97.1125,97.325,94.55925925925926,90.62231404958678,20211117,114.7,90.7,24.0,94.4,103.8,-9.399999999999991,113.4,89.5,23.89,69.8,-24.81236768516382,144.1976000038843,69.50213371266003,-27.87187109579188,146.3166842093883,-22.393730777051257,146.3166842093883,-27.87187109579188,146.3166842093883,-22.393730777051257,147.83854451304305,99.2,104.8,-5.54,70.0,114.7,90.7,24.0,94.4,103.8,-9.399999999999991,-22.682199046384234,147.76597961141,0,102.31710144989304,104.31478255699146,-1.9976811070984155,-9.334487432773356,92.55051409911653,105.33837057261626,-12.78785647349973,-4.522429217500532,2021-11-17,-12.065396004526491,145.620797820288,1.533255329497642,145.620797820288,4.109999999999999,1.7800000000000011,3.0277777777777803,-2.3299999999999983,-1.2477777777777792,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9933603644122728,0.8747396023364047,1.7174074074074106,-0.18999999999999773,-0.2788888888888792,0.4450000000000003,-0.7766666666666673,1,-1.0,-1,1,-1,1,-3.0,3.0
-10.0,21,21.766666666666666,24.10493827160494,25.708865514650636,103.6,116.6,82.5,94.83333333333331,Mon 11-22 11-22,N,201 (Ⅳ),Bellarmine,"W, 75-62",70,107.1,50.7,14.3,40.5,8.2,88.6,48.0,24.3,19.2,25.5,-7.5,-23.0,144.5,112.95625,122.3125,114.64444444444446,114.85439519158528,89.80625,97.1125,90.53950617283952,89.14552967693463,20211122,115.3,91.3,24.0,100.1,106.4,-6.300000000000011,114.2,89.9,24.31,69.9,-18.567630450308933,142.36951614445556,67.31479374110954,-21.57924711534789,147.6443040154845,-18.75196894528977,147.6443040154845,-21.57924711534789,147.6443040154845,-18.75196894528977,152.22219614618191,102.8,105.2,-2.4,67.7,115.3,91.3,24.0,100.1,106.4,-6.300000000000011,-18.49574222250112,152.32346351718763,0,107.80758336833216,94.44867365574495,13.358909712587206,17.487883057554246,96.746120561293,102.3981921693346,-5.652071608041609,-0.6997317101803382,2021-11-22,-13.116420285425669,139.15958292999275,-12.242955367328108,139.15958292999275,-3.3099999999999987,-1.5299999999999976,2.611851851851854,1.7800000000000011,-4.141851851851852,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.9857551401446322,0.8942009046741043,-0.20506172839505865,-2.543333333333333,1.7174074074074106,-0.30600000000000094,0.4450000000000003,-1,1.0,-1,-1,1,-3,1.0,-3.0
-13.0,-2,15.6,15.103292181069966,20.50725360289597,99.7,109.6,102.6,94.0,Tue 11-23 11-23,N,1 (I-A),Gonzaga,"L, 83-63",71,89.1,36.2,11.3,27.3,26.1,117.3,65.0,18.4,25.0,46.0,-10.0,7.0,156.0,106.328125,112.95625,109.66296296296298,112.09905061129705,96.203125,89.80625,94.559670781893,91.59179700840106,20211123,115.5,91.5,24.0,120.9,89.6,31.30000000000001,113.6,89.7,23.89,70.5,5.402523920935877,151.2473271480436,72.40540540540542,5.282783783783813,158.517939895119,9.119138221315056,158.517939895119,5.282783783783813,158.517939895119,9.119138221315056,155.5543146056313,121.2,89.1,32.14,72.2,115.5,91.5,24.0,120.9,89.6,31.30000000000001,9.275100141782985,155.6830411427995,0,108.02672049651218,91.88267251207164,16.144047984440547,19.055990907571285,115.08563805163485,88.2561302172133,26.82950783442155,21.48076310107884,2021-11-23,7.7022971343672,148.87297303271126,1.7556661368666653,148.87297303271126,-25.89,-27.419999999999998,1.231234567901237,-1.5299999999999976,-28.651234567901234,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,3,0.2524925375469229,0.23161087931421764,-8.786707818930035,-8.290000000000001,-0.20506172839505865,-4.569999999999997,-0.30600000000000094,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
11.5,44,20.73333333333333,24.73552812071331,24.778662038733067,122.7,108.66666666666669,78.7,87.93333333333334,Sat 11-27 11-27,A,76 (Ⅱ),UNLV,"W, 73-51",61,119.2,54.9,18.0,36.7,45.1,83.2,35.7,8.2,18.2,28.6,-15.5,-10.5,139.5,114.5140625,106.328125,114.00864197530863,114.02649595469757,87.4515625,96.203125,89.27311385459535,89.2478339159645,20211127,113.5,92.0,21.5,101.3,100.0,1.2999999999999972,113.5,90.7,22.8,69.9,-8.6997548992315,136.12458071464926,67.71251778093884,-10.07223908196589,143.0098546752339,-4.345066933114439,143.0098546752339,-10.07223908196589,143.0098546752339,-4.345066933114439,136.47919264021996,101.4,97.4,3.99,68.1,113.5,92.0,21.5,101.3,100.0,1.2999999999999972,-5.552230158148743,135.0027312690128,0,110.37792168640092,92.41107197723169,17.96684970916924,19.928672724056703,94.53813325249077,95.81397297810848,-1.2758397256177147,-3.904226006156119,2021-11-27,-9.01059055002304,133.6288389933191,-14.089997503878024,133.6288389933191,21.2,-6.219999999999999,-8.319176954732507,-27.419999999999998,2.099176954732508,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.8413447460685429,0.8045955882735463,1.935528120713311,-2.06666666666667,-8.786707818930035,-0.8885714285714279,-4.569999999999997,1,-1.0,1,-1,-1,1,-3.0,-3.0
-1.5,26,22.433333333333337,25.22368541380888,25.037087122599782,116.7,113.03333333333336,90.5,90.6,Wed 12-01 12-01,H,98 (Ⅲ),Colorado,"W, 73-61",66,110.0,52.6,13.6,30.3,31.0,92.0,47.2,18.1,18.8,27.8,-5.0,-13.5,139.0,115.60703125,114.5140625,114.90576131687244,114.512587599298,88.97578125,87.4515625,89.68207590306358,89.47550047669823,20211201,114.9,92.5,22.40000000000001,105.6,100.0,5.599999999999994,114.9,91.1,23.8,69.2,-11.731861180377429,139.20642938244197,66.05007112375533,-15.692559773659525,144.2958258136155,-16.9312328735044,144.2958258136155,-15.692559773659525,144.2958258136155,-16.9312328735044,141.43373524616115,109.5,97.2,12.21,67.1,114.9,92.5,22.40000000000001,105.6,100.0,5.599999999999994,-18.35179295838184,144.40611046831884,0,109.59035851972062,92.26159150306444,17.328767016656187,19.161863159741664,101.71761457376265,102.16559802135214,-0.44798344758949327,-1.98652291997731,2021-12-01,-16.17193641953564,139.72782713905093,-15.976746580863463,139.72782713905093,2.1999999999999993,-4.02,-7.619451303155005,-6.219999999999999,3.5994513031550053,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.900728603156669,0.9382422968626333,1.4236854138088795,-1.3666666666666636,1.935528120713311,-0.5025000000000013,-0.8885714285714279,1,1.0,1,-1,-1,1,1.0,-3.0
4.5,40,37.03333333333333,30.44912360920592,27.92125310030891,114.1,117.83333333333331,73.2,80.8,Sat 12-11 12-11,A,42 (I-A),Marquette,"W, 67-56",67,100.2,43.2,15.0,37.0,25.8,83.8,40.4,16.5,20.5,24.6,-25.0,-6.5,148.0,114.853515625,115.60703125,114.6371742112483,114.43757167215291,81.087890625,88.97578125,84.18805060204238,86.51631857184401,20211211,114.9,92.7,22.200000000000003,103.3,96.3,7.0,115.0,91.4,23.58,69.2,-5.388656339789421,151.522811581675,73.924893314367,-6.884687983558635,155.65082636984528,-8.307335185027434,155.65082636984528,-6.884687983558635,155.65082636984528,-8.307335185027434,141.2138456091628,105.7,95.4,10.31,75.1,114.9,92.7,22.200000000000003,103.3,96.3,7.0,-8.264293509101433,148.80575479700752,0,107.69589545013368,91.59593881610787,16.0999566340258,17.345774223428503,99.46049973299388,95.74591913657903,3.714580596414848,-0.2428231337106218,2021-12-11,-4.968696715655597,146.49947326675868,-10.755448082102845,146.49947326675868,16.42,12.400000000000002,-6.419634202103337,-4.02,18.819634202103337,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.732057505466481,0.6819680365519465,6.869123609205921,13.453333333333333,1.4236854138088795,1.3777777777777764,-0.5025000000000013,1,1.0,1,1,-1,3,1.0,1.0
-8.5,19,28.766666666666666,26.69941573947061,26.33557071843456,127.6,119.46666666666664,108.4,90.7,Thu 1-06 1-06,H,177 (Ⅲ),Long Beach St.,"W, 96-78",74,129.6,58.6,9.5,32.5,32.9,105.3,50.9,13.5,22.9,57.1,29.5,-26.5,144.5,121.2267578125,114.853515625,118.9581161408322,116.8307404590342,94.7439453125,81.087890625,92.2587004013616,90.49516974059964,20220106,115.3,92.1,23.200000000000003,98.1,107.0,-8.900000000000006,114.8,90.7,24.12,68.9,-27.825867234591165,148.30245736638517,70.27211948790897,-28.054212289141283,154.38732377518653,-28.586393445334352,154.38732377518653,-28.054212289141283,154.38732377518653,-28.586393445334352,134.32844890438318,97.7,106.7,-8.95,71.7,115.3,92.1,23.200000000000003,98.1,107.0,-8.900000000000006,-29.00208561837592,147.0474740845664,0,109.00549948815592,92.65747421413069,16.348025274025233,16.27090388839157,98.81383288687958,102.9285198461532,-4.114686959273612,-6.319343550590255,2022-01-06,-18.947925256282744,146.9705591314057,-17.940169431797926,146.9705591314057,-5.120000000000001,7.280000000000001,-0.14642280140222486,12.400000000000002,7.426422801402226,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.9941954594266154,0.9644285564092316,2.5794157394706083,4.646666666666665,6.869123609205921,0.7280000000000015,1.3777777777777764,1,1.0,1,1,1,3,3.0,1.0
