ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
19.0,24,,24.89999999999999,24.89999999999999,112.3,0.0,87.4,0.0,Sat 11-13 11-13,A,34 (I),Dayton,"W, 59-58",60,98.1,41.9,13.3,34.1,14.5,96.5,46.7,24.9,35.5,45.7,-17.5,18.0,134.5,112.3,0.0,112.3,112.3,87.4,0.0,87.4,87.4,20211113,96.3,105.4,-9.100000000000009,98.8,94.5,4.299999999999997,95.4,104.3,-8.89,72.2,16.631603205826956,136.0411153499914,69.11891891891892,13.161003473737928,138.37734354545523,-13.718319992341234,138.37734354545523,13.161003473737928,138.37734354545523,-13.718319992341234,130.89914481933172,103.5,93.6,9.86,67.3,96.3,105.4,-9.100000000000009,98.8,94.5,4.299999999999997,-13.718319992341234,130.89914481933172,0,94.38151696124427,106.4318000453558,-12.050283084111527,-18.247995908066816,100.80696313069684,95.25911373728216,5.54784939341468,10.634257089937526,2021-11-13,16.211299683738233,139.91890499260506,21.824755285931772,139.91890499260506,32.89,32.89,0.0,0.0,32.89,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,3,0.04323813274683286,0.06130224558228903,33.78999999999999,,0.0,32.89,0.0,1,0.0,1,1,1,3,0.0,0.0
-5.5,-15,,11.333333333333329,17.49999999999999,91.6,0.0,107.4,0.0,Tue 11-16 11-16,N,43 (Ⅱ),Oklahoma St.,"L, 80-58",72,80.3,40.5,26.3,30.0,25.9,110.7,62.7,26.3,37.5,47.1,4.0,16.5,134.0,101.95,112.3,105.4,108.53636363636365,97.4,87.4,94.06666666666668,91.03636363636365,20211116,97.4,104.8,-7.399999999999991,101.0,87.4,13.599999999999994,96.1,103.1,-7.07,70.3,15.97583283582091,138.2494567164179,72.0,15.256811940298498,140.6188497512438,-0.7165987773134239,140.6188497512438,15.256811940298498,140.6188497512438,-0.7165987773134239,121.71991701492537,104.4,88.8,15.55,72.0,97.4,104.8,-7.399999999999991,101.0,87.4,13.599999999999994,-0.4426338985074539,121.65489814208955,0,106.76228824811346,100.08689290397938,6.675395344134088,19.501600180761795,101.02652348943911,90.74309565943584,10.283427830003276,16.297920147022435,2021-11-16,3.118237046828071,145.78641607440875,-2.3066496242923336,145.78641607440875,-7.93,24.96,32.89,32.89,-7.93,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.05804156686932749,0.3832428143163079,18.40333333333333,,33.78999999999999,12.48,32.89,1,1.0,-1,1,1,1,3.0,0.0
15.0,11,6.799999999999993,11.32222222222222,16.37272727272726,104.6,102.83333333333331,93.3,96.03333333333336,Wed 11-17 11-17,N,351 (Ⅳ),Central Connecticut,"W, 77-53",67,115.6,54.0,15.0,34.3,20.6,79.5,41.3,19.5,18.4,32.7,-9.0,-9.0,139.0,103.275,101.95,105.13333333333334,107.8206611570248,95.35,97.4,93.81111111111112,91.44793388429753,20211117,97.3,104.7,-7.400000000000006,91.9,108.8,-16.89999999999999,95.7,103.1,-7.46,70.3,-9.540841890547284,139.51290796019902,70.7,-6.975655422885552,146.18248348258706,-18.16440796772139,146.18248348258706,-6.975655422885552,146.18248348258706,-18.16440796772139,140.50273533974132,89.6,110.7,-21.11,70.7,97.3,104.7,-7.400000000000006,91.9,108.8,-16.89999999999999,-18.25141179574129,140.16299593751248,0,106.61101291881732,100.0213790704608,6.589633848356527,19.542404378667538,91.7666327563358,98.93357842384968,-7.166945667513886,-1.085296431701937,2021-11-17,-9.901550810067448,142.69479443204304,-14.583784472931214,142.69479443204304,18.46,43.42,30.24666666666667,24.96,13.173333333333332,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.804317030846224,0.8271607861136087,18.78222222222222,14.259999999999993,18.40333333333333,14.473333333333334,12.48,1,1.0,1,1,1,3,1.0,3.0
15.5,4,0.1333333333333305,9.181481481481482,14.286776859504124,86.9,94.36666666666666,82.0,94.23333333333332,Fri 11-19 11-19,A,230 (Ⅲ),George Washington,"W, 67-56",74,90.3,46.0,13.5,17.5,30.6,75.4,37.3,25.6,25.6,40.0,-12.5,4.5,135.5,95.0875,103.275,99.05555555555556,104.01690458302028,88.675,95.35,89.87407407407409,89.73012772351615,20211119,97.1,103.4,-6.300000000000011,94.6,102.8,-8.200000000000003,95.9,102.4,-6.5,69.7,4.1032926950264965,135.07992442641114,70.5923186344239,2.55047739661579,142.74168493555686,-9.692159075682365,142.74168493555686,2.55047739661579,142.74168493555686,-9.692159075682365,130.91742350003568,94.1,100.0,-5.9,71.2,97.1,103.4,-6.300000000000011,94.6,102.8,-8.200000000000003,-9.64896747701764,131.18128788761737,0,98.42862185662102,93.9681119233167,4.460509933304323,2.7591356996611576,88.68435575905778,95.1529945266171,-6.468638767559327,-4.152039762391661,2021-11-19,-3.8780849692448385,127.6602368432747,-2.9159400476318638,127.6602368432747,10.5,53.92,34.637777777777785,43.42,19.282222222222217,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.3341175708976246,0.6440633741531359,15.681481481481482,6.63333333333333,18.78222222222222,13.48,14.473333333333334,1,1.0,1,1,1,3,3.0,1.0
-1.5,-15,0.1333333333333352,0.8543209876543232,8.816453794139736,100.0,97.16666666666669,115.8,97.03333333333336,Wed 11-24 11-24,A,208 (Ⅲ),Massachusetts,"L, 92-81",75,108.5,52.9,17.4,27.5,17.6,123.2,59.8,21.4,48.3,58.9,27.0,9.5,146.0,97.54375,95.0875,99.37037037037038,103.2865582951984,102.2375,88.675,98.51604938271606,94.47010450105869,20211124,96.7,102.2,-5.5,106.3,105.0,1.2999999999999972,96.2,101.4,-5.19,69.2,10.686914393067639,140.78504871638594,69.0031294452347,9.177315637129354,148.65702299255906,-2.3823880569944347,148.65702299255906,9.177315637129354,148.65702299255906,-2.3823880569944347,151.98431471641598,105.8,101.3,4.48,70.1,96.7,102.2,-5.5,106.3,105.0,1.2999999999999972,-1.6041814793025733,146.4976169369242,0,98.52654454049124,95.40186399811054,3.124680542380702,1.0657609769107892,108.46322642001496,112.20392523645042,-3.7406988164354544,3.063933771766305,2021-11-24,-0.7653874089327104,151.0992145722139,3.3507840452239037,151.0992145722139,-9.809999999999999,44.11,41.06518518518519,53.92,3.0448148148148064,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.182795768782416,0.5290547812211418,6.044320987654324,5.323333333333336,15.681481481481482,8.822000000000001,13.48,1,1.0,1,1,1,3,3.0,3.0
-8.0,-19,-10.033333333333331,-5.830452674897118,3.722553104296147,86.2,91.03333333333336,105.4,101.06666666666666,Wed 12-01 12-01,H,226 (Ⅳ),Brown,"L, 73-63",73,86.4,44.6,34.3,44.1,28.6,100.1,46.2,23.3,33.3,52.8,4.5,2.0,131.5,91.871875,97.54375,94.98024691358026,100.17991133243504,103.81875,102.2375,100.81069958847738,96.4573582281389,20211201,98.5,103.8,-5.299999999999997,93.2,98.8,-5.599999999999994,98.2,103.2,-4.91,69.5,-3.1984754731631284,131.7857611794036,67.72048364153628,-4.169480398852869,134.66374394258156,-4.324366590912932,134.66374394258156,-4.169480398852869,134.66374394258156,-4.324366590912932,119.68728207070762,95.1,99.2,-4.09,68.5,98.5,103.8,-5.299999999999997,93.2,98.8,-5.599999999999994,-4.328081618118005,128.40835120109068,0,96.98589320559084,97.24635545647584,-0.2604622508849985,-3.161732521781994,96.73168176042878,96.94847194383698,-0.21679018340819312,-2.095752029295572,2021-12-01,-3.6247303103872,130.51263542321007,-1.1244408814116156,130.51263542321007,-14.09,30.02,42.08012345679013,44.11,-12.060123456790134,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.4244679994402739,0.6350326553105556,-0.9204526748971178,-5.123333333333331,6.044320987654324,5.003333333333334,8.822000000000001,-1,1.0,-1,1,1,-1,3.0,3.0
8.5,-8,-14.566666666666668,-6.786968449931413,1.46390708533321,89.3,91.83333333333331,98.0,106.4,Sat 12-04 12-04,A,299 (Ⅳ),Merrimack,"W, 61-57",66,92.9,44.4,21.3,29.4,35.2,86.8,46.4,22.8,27.3,12.7,-6.0,4.5,124.0,90.5859375,91.871875,93.0868312757202,98.20174563562868,100.909375,103.81875,99.8737997256516,96.73783855029546,20211204,97.8,103.8,-6.0,93.2,95.4,-2.200000000000003,97.4,103.2,-5.8,70.0,4.178150572434902,120.86760581670471,62.93029871977241,5.661064528057963,122.86775259846381,1.0572369504067374,122.86775259846381,5.661064528057963,122.86775259846381,1.0572369504067374,113.88613258907006,94.1,98.4,-4.33,63.2,97.8,103.8,-6.0,93.2,95.4,-2.200000000000003,0.0019746146359461134,109.93860465782781,0,97.53895618418564,96.0388312814815,1.5001249027041297,-3.36674611883261,90.22529158595172,98.69763655358224,-8.47234496763052,-2.459348845334696,2021-12-04,-2.9056825722116386,118.02876396960392,2.281746873435857,118.02876396960392,-2.2,27.82,38.06008230452676,30.02,-10.240082304526759,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.3341175708976246,0.6090069253477566,-0.9869684499314131,-8.76666666666667,-0.9204526748971178,3.9742857142857138,5.003333333333334,-1,-1.0,-1,1,1,-1,-1.0,3.0
-5.5,-14,-14.033333333333331,-9.25797896662094,-1.384076021091008,83.4,86.30000000000001,97.6,100.33333333333331,Wed 12-08 12-08,A,217 (Ⅲ),Boston University,"L, 72-62",71,87.0,43.2,16.8,17.9,25.4,101.0,48.3,23.9,37.5,41.4,0.0,4.5,134.0,86.99296875,90.5859375,89.85788751714679,95.51051915642346,99.2546875,100.909375,99.11586648376772,96.89459517751447,20211208,97.7,103.0,-5.299999999999997,104.1,103.0,1.0999999999999943,97.7,102.6,-4.92,70.0,7.460748403535078,131.3877585499526,64.02560455192034,8.155117419294882,136.70211535301786,7.652501731865336,136.70211535301786,8.155117419294882,136.70211535301786,7.652501731865336,127.90015682942264,103.3,102.4,0.89,64.3,97.7,103.0,-5.299999999999997,104.1,103.0,1.0999999999999943,5.158223131871381,126.92097994694906,0,95.78040214563958,94.8423749463018,0.9380271993377818,-1.998386520857212,103.61335959356975,102.1165895692123,1.4967700243574598,0.4167562636717564,2021-12-08,3.9102522985242487,128.85071455899495,3.3248496193653807,128.85071455899495,-9.08,18.740000000000002,34.64672153635118,27.82,-15.906721536351178,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.3341175708976246,0.3547956730218208,-4.337978966620939,-9.113333333333332,-0.9869684499314131,2.3425000000000002,3.9742857142857138,-1,-1.0,-1,1,1,-1,-1.0,-1.0
2.5,-6,-9.633333333333333,-8.171985977747294,-2.223334926347188,92.7,88.46666666666665,98.7,98.1,Sun 12-19 12-19,H,331 (Ⅳ),Sacred Heart,"W, 70-62",66,106.2,60.0,21.2,25.8,36.0,94.1,42.5,19.7,37.8,13.4,-9.5,-5.5,141.5,89.846484375,86.99296875,90.80525834476452,94.99951567343736,98.97734375,99.2546875,98.97724432251184,97.22285059978456,20211219,95.8,101.3,-5.5,100.8,109.5,-8.700000000000003,96.3,101.4,-5.03,70.2,-6.069576758038181,138.56747834418678,67.40398293029872,-5.930391588224765,143.04134020479978,-3.785333649132029,143.04134020479978,-5.930391588224765,143.04134020479978,-3.785333649132029,139.51174944099685,100.2,108.9,-8.73,67.5,95.8,101.3,-5.5,100.8,109.5,-8.700000000000003,-8.626399206115469,137.73264530784806,0,94.90718815748076,94.65919751479233,0.24799064268843551,-2.0622397695170407,101.49506449758896,103.94660177402112,-2.4515372764321626,-4.002752545674843,2021-12-19,-5.546276424194275,134.55227368243334,-3.1380617730620557,134.55227368243334,-0.9699999999999998,17.770000000000003,29.34448102423412,18.740000000000002,-11.574481024234117,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,3,0.6997944856925475,0.7013255656410655,-3.141985977747294,-4.603333333333333,-4.337978966620939,1.974444444444445,2.3425000000000002,-1,-1.0,-1,1,1,-1,-1.0,-1.0
-10.0,-15,-11.999999999999996,-10.714657318498196,-4.691819485193153,95.3,90.46666666666664,111.1,102.46666666666664,Sun 1-02 1-02,A,305 (Ⅳ),Binghamton,"L, 68-63",65,97.2,41.9,12.3,32.6,14.7,104.9,53.3,23.1,28.6,55.6,-5.0,-5.0,136.0,92.5732421875,89.846484375,92.30350556317636,95.05414918735784,105.038671875,98.97734375,103.01816288167456,99.745968672551,20220102,95.8,101.1,-5.299999999999997,95.6,107.2,-11.600000000000009,96.5,101.3,-4.83,70.0,-2.335979676822035,131.98457421662513,67.11237553342818,-0.32005385184710633,136.99997279827488,2.5093964741017962,136.99997279827488,-0.32005385184710633,136.99997279827488,2.5093964741017962,129.69326477682,93.2,107.2,-14.02,67.4,95.8,101.1,-5.299999999999997,95.6,107.2,-11.600000000000009,-1.881660426680705,126.11292172517702,0,95.0445046114576,95.73107779848765,-0.6865731870300493,-1.6280612609236642,97.32797626180526,99.94012427616994,-2.612148014364678,-4.3292734908253045,2022-01-02,2.3750375557728773,129.38578773660362,0.010325295064234297,129.38578773660362,-10.17,7.600000000000003,25.48632068282275,17.770000000000003,-17.88632068282275,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6830306580593271,0.41052524791683753,-5.884657318498196,-7.169999999999996,-3.141985977747294,0.7600000000000007,1.974444444444445,-1,-1.0,-1,1,1,-1,-1.0,-1.0
