ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,-1,,-1.2999999999999972,-1.2999999999999972,91.8,0.0,93.1,0.0,Tue 11-09 11-09,A,200 (Ⅲ),Illinois St.,"L, 68-63",69,91.2,38.5,11.6,29.8,29.2,98.4,41.1,15.9,28.6,57.1,-16.5,4.5,147.5,91.8,0.0,91.8,91.8,93.1,0.0,93.1,93.1,20211109,100.6,110.5,-9.900000000000006,96.9,101.6,-4.699999999999989,98.0,106.9,-8.93,71.2,7.600705158664127,143.28585140315738,71.70640113798008,7.866275926293426,153.61832158447965,4.243692044174807,153.61832158447965,7.866275926293426,153.61832158447965,4.243692044174807,123.06655577932976,96.2,99.8,-3.57,70.8,100.6,110.5,-9.900000000000006,96.9,101.6,-4.699999999999989,4.243692044174807,123.06655577932976,0,0.0,0.0,0.0,0.0,100.75200625864969,101.0985916822432,-0.34658542359350974,-3.282696534704633,2021-11-09,-0.0,0.0,,0.0,7.93,7.93,0.0,0.0,7.93,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.3341175708976246,0.5,7.630000000000003,,0.0,7.93,0.0,1,0.0,1,1,1,3,0.0,0.0
-1.0,-17,,-6.6,-4.19090909090909,78.1,0.0,95.3,0.0,Tue 11-16 11-16,A,195 (Ⅲ),Pittsburgh,"L, 59-51",65,78.6,33.9,15.4,27.3,28.8,90.9,43.9,26.2,41.7,59.2,-28.0,7.0,138.0,84.94999999999999,91.8,87.23333333333333,89.3090909090909,94.2,93.1,93.83333333333334,93.5,20211116,97.9,107.4,-9.5,94.7,98.5,-3.799999999999997,97.7,106.7,-8.96,70.6,9.845103235768363,138.8059394041471,69.19402560455191,7.668577373827972,140.49370336372363,-9.1550711672581,140.49370336372363,7.668577373827972,140.49370336372363,-9.1550711672581,126.45325209580392,98.4,98.6,-0.23,68.9,97.9,107.4,-9.5,94.7,98.5,-3.799999999999997,-9.177365338344574,126.42156885851028,0,86.9954686090944,92.02220933105605,-5.0267407219616445,-10.964823598691009,89.17388200107418,106.60580328455664,-17.431921283482467,-21.80755336375234,2021-11-16,-4.101682398581801,123.64181228884493,-5.882559869634036,123.64181228884493,-8.04,-0.10999999999999943,7.93,7.93,-8.04,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.2524925375469229,0.6519669990118429,2.360000000000001,,7.630000000000003,-0.054999999999999716,7.93,1,1.0,-1,-1,1,-1,3.0,0.0
10.5,14,-1.2666666666666655,0.5,-0.756198347107436,93.7,87.86666666666667,79.0,89.13333333333333,Thu 11-18 11-18,H,154 (Ⅲ),Coastal Carolina,"W, 65-53",70,93.3,44.0,14.3,21.4,37.9,76.1,36.6,20.1,25.6,41.1,-23.0,-1.5,141.0,89.32499999999999,84.94999999999999,89.3888888888889,90.1074380165289,86.6,94.2,88.8888888888889,90.86363636363636,20211118,96.1,106.3,-10.200000000000005,98.5,102.1,-3.5999999999999943,96.5,105.4,-8.93,69.9,-1.3965750405727562,142.90616393865162,72.28634423897583,0.6723692721821806,149.81368157068678,-5.438091028665068,149.81368157068678,0.6723692721821806,149.81368157068678,-5.438091028665068,106.75636446300294,96.0,101.1,-5.02,72.7,96.1,106.3,-10.200000000000005,98.5,102.1,-3.5999999999999943,-5.54864800595655,106.84870289187536,0,89.944327400376,87.79835782143932,2.145969578936672,6.40777574425951,95.66852387162896,96.65234460996469,-0.9838207383357229,2.803675017592103,2021-11-18,-5.70969101799777,126.43052199838498,-4.722510990789189,126.43052199838498,22.93,22.82,5.250000000000001,-0.10999999999999943,17.57,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5567984968164682,0.7067035967353114,9.43,7.663333333333334,2.360000000000001,7.6066666666666665,-0.054999999999999716,1,1.0,1,1,-1,3,-1.0,3.0
-6.5,-22,-8.166666666666666,-7.0,-4.618707738542447,99.9,90.56666666666666,121.9,98.73333333333332,Sat 11-20 11-20,A,356 (Ⅳ),Delaware St.,"W, 67-63",62,108.5,47.7,19.4,45.5,12.1,102.0,50.9,21.0,34.5,18.5,-12.0,-10.5,142.0,94.6125,89.32499999999999,92.8925925925926,91.88790383170549,104.25,86.6,99.8925925925926,96.50661157024793,20211120,95.3,104.0,-8.700000000000003,94.0,107.8,-13.799999999999995,96.0,103.9,-7.9,69.5,-6.095828509503434,140.00201936642483,72.5647226173542,0.47442484647173444,148.67941671902202,-5.8282530025584895,148.67941671902202,0.47442484647173444,148.67941671902202,-5.8282530025584895,97.69737913435208,86.8,108.4,-21.55,73.4,95.3,104.0,-8.700000000000003,94.0,107.8,-13.799999999999995,-5.694188094370187,97.78419881705321,0,95.09171335844012,90.91750305538612,4.1742103030539965,9.017816934098782,91.25759214788872,96.80748453916767,-5.549892391278959,-7.476511251983265,2021-11-20,-3.107124626639987,129.69431361204965,-9.921593043839806,129.69431361204965,-14.1,8.72,11.106666666666667,22.82,-2.3866666666666667,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8413447460685429,0.6163531251064847,0.9000000000000004,-0.2666666666666657,9.43,2.1799999999999997,7.6066666666666665,1,1.0,-1,1,1,1,3.0,-1.0
-16.0,-37,-14.999999999999996,-17.23333333333333,-10.633488149716545,86.9,93.5,124.6,108.5,Wed 11-24 11-24,N,329 (Ⅳ),Southern Miss,"L, 80-66",70,94.8,42.2,17.2,27.9,20.3,114.9,69.8,21.5,5.3,31.3,13.5,-2.0,132.5,90.75625,94.6125,90.89506172839508,90.98101222594084,114.425,104.25,108.1283950617284,101.61450037565736,20211124,95.8,104.6,-8.799999999999997,95.4,97.8,-2.3999999999999915,96.9,104.9,-8.02,67.2,1.3385493539415165,130.4810859251396,67.10440967283074,4.191646580751993,133.03857181121424,-8.267705226008795,133.03857181121424,4.191646580751993,133.03857181121424,-8.267705226008795,115.62584656611115,94.1,99.8,-5.66,70.2,95.8,104.6,-8.799999999999997,95.4,97.8,-2.3999999999999915,-7.90374794778948,115.77443514600475,0,93.74210465928994,99.1085587990242,-5.366454139734259,-2.716574011935016,90.73369569197902,104.34163512961872,-13.6079394376397,-18.98840545701412,2021-11-24,-5.423277394909896,129.08903335613957,-10.91911643417837,129.08903335613957,-28.98,-20.259999999999998,10.311111111111112,8.72,-30.571111111111108,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.5755320005597261,0.6972482914103991,-9.213333333333331,-6.979999999999997,0.9000000000000004,-4.052,2.1799999999999997,-1,1.0,-1,-1,1,-3,1.0,3.0
-10.0,-10,-23.399999999999995,-14.988888888888887,-10.609217577040807,98.3,95.03333333333336,108.8,118.43333333333332,Wed 12-01 12-01,H,198 (Ⅲ),Norfolk St.,"L, 74-69",69,99.4,45.1,13.0,26.2,36.1,106.6,46.4,17.3,31.4,46.4,4.0,-5.0,139.0,94.528125,90.75625,93.36337448559672,92.31173727576976,111.6125,114.425,108.35226337448562,102.92095485281057,20211201,96.4,106.7,-10.299999999999995,95.5,102.3,-6.799999999999997,97.7,107.0,-9.33,66.9,-3.69627063454503,137.55650127594885,68.1371266002845,-1.6278069639248542,139.8995776534666,-0.6588281098584176,139.8995776534666,-1.6278069639248542,139.8995776534666,-0.6588281098584176,131.16491338282015,94.9,103.7,-8.8,71.6,96.4,106.7,-10.299999999999995,95.5,102.3,-6.799999999999997,0.7973944162352543,126.69546761502586,0,92.4460054329046,100.04773666026536,-7.601731227360759,-9.765786915600366,99.18642145946583,99.46643343307458,-0.28001197360875096,0.9346309837141118,2021-12-01,1.3463745951827946,133.30947465452448,5.467359888573533,133.30947465452448,-0.6699999999999999,-20.93,0.12074074074074304,-20.259999999999998,-21.050740740740743,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.6830306580593271,0.4489850023290437,-5.658888888888887,-14.069999999999995,-9.213333333333331,-3.4883333333333333,-4.052,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-26.0,-33,-27.366666666666664,-21.292592592592595,-14.843905290306118,77.1,87.43333333333334,111.0,114.8,Sat 12-11 12-11,A,153 (Ⅲ),Jacksonville,"L, 77-48",68,70.8,36.5,28.0,35.3,42.3,113.5,66.3,22.1,22.2,26.5,-3.0,3.0,128.0,85.81406249999999,94.528125,87.94224965706448,89.54596686199345,111.30625,111.6125,109.23484224965708,104.38987215229956,20211211,96.4,107.6,-11.199999999999989,94.3,100.8,-6.5,97.8,107.8,-10.05,66.7,4.867530935506835,125.92849190681105,63.28435277382647,6.403911667488416,129.13778286735564,8.412954460642975,129.13778286735564,6.403911667488416,129.13778286735564,8.412954460642975,106.69429144735892,93.7,101.1,-7.47,66.7,96.4,107.6,-11.199999999999989,94.3,100.8,-6.5,7.433654862543025,105.65860352404127,0,91.24472549278715,101.17089891729884,-9.926173424511688,-8.56669748776241,93.09306352014052,86.81328135337965,6.279782166760867,8.315809786656143,2021-12-11,12.880544847401104,112.9314005942864,12.453724521067421,112.9314005942864,-22.95,-43.879999999999995,-6.896172839506171,-20.93,-36.983827160493824,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.10996419527923251,-11.242592592592594,-17.316666666666663,-5.658888888888887,-6.268571428571427,-3.4883333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,4,-13.4,-12.795061728395064,-11.381377055705006,98.2,91.2,94.0,104.59999999999998,Sat 12-18 12-18,A,232 (Ⅳ),High Point,"W, 71-69 OT",74,96.5,50.0,23.1,35.1,50.9,93.7,50.0,21.7,26.8,39.0,8.0,3.5,132.0,92.00703125,85.81406249999999,91.36149977137632,91.11942743254008,102.653125,111.30625,104.1565614997714,102.5008044882451,20211218,93.6,107.3,-13.700000000000005,96.3,102.4,-6.1000000000000085,95.6,106.9,-11.32,67.4,5.083943345234594,126.73815077086698,64.0443812233286,8.583734449726428,131.05365743881052,12.386670221599996,131.05365743881052,8.583734449726428,131.05365743881052,12.386670221599996,124.58724537904928,94.1,102.7,-8.53,66.8,93.6,107.3,-13.700000000000005,96.3,102.4,-6.1000000000000085,10.883780656269925,123.46485416246664,0,93.17042968707072,100.03901176655737,-6.868582079486643,-6.373103921207077,91.217920275763,100.16349508818288,-8.945574812419878,-9.58052472502258,2021-12-18,2.036189065805843,121.28147192320947,-0.40397377126679146,121.28147192320947,15.32,-28.559999999999995,-19.224115226337446,-43.879999999999995,-9.33588477366255,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.36944134018176367,0.42311817783877703,-1.4750617283950636,-2.08,-11.242592592592594,-3.5700000000000003,-6.268571428571427,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
11.0,2,-9.133333333333336,-7.763374485596712,-8.893853954667732,98.8,91.36666666666666,96.5,100.5,Wed 12-22 12-22,H,197 (Ⅳ),Campbell,"W, 65-58",64,102.4,47.1,17.3,28.1,45.1,91.3,44.0,17.3,18.8,34.0,-5.0,4.0,128.0,95.403515625,92.00703125,93.8409998475842,92.51589517207826,99.5765625,102.653125,101.60437433318094,101.40974912674598,20211222,93.3,106.5,-13.200000000000005,103.1,100.9,2.1999999999999886,95.6,106.9,-11.31,67.7,3.408725679275314,124.57935720543765,60.66998577524894,6.207456549140929,126.92551724884946,10.798150178406125,126.92551724884946,6.207456549140929,126.92551724884946,10.798150178406125,124.88471711627965,102.0,102.1,-0.13,63.0,93.3,106.5,-13.200000000000005,103.1,100.9,2.1999999999999886,6.6241344563766935,118.25093341556,0,93.09775626707255,98.89635988119927,-5.798603614126719,-4.038735542944402,98.40737965073602,99.90307898719549,-1.4956993364594666,-5.067723906182216,2021-12-22,-0.6326679755386166,118.63357194152579,-2.245698268178515,118.63357194152579,13.31,-15.249999999999995,-22.336076817558297,-28.559999999999995,7.086076817558302,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.5240233679870191,3.5466255144032885,2.176666666666664,-1.4750617283950636,-1.6944444444444446,-3.5700000000000003,1,-1.0,1,-1,-1,1,-3.0,-3.0
6.5,4,3.599999999999999,-3.742249657064476,-6.4949714174554165,107.7,101.56666666666668,103.4,97.96666666666664,Wed 12-29 12-29,H,137 (Ⅲ),Delaware,"W, 70-68",64,109.8,47.4,15.7,36.1,34.5,106.6,52.8,14.1,29.0,35.2,1.0,4.5,137.0,101.5517578125,95.403515625,98.46066656505616,95.27664150442766,101.48828125,99.5765625,102.20291622212063,101.77161292188306,20211229,93.4,105.5,-12.099999999999994,105.1,102.8,2.299999999999997,95.7,106.2,-10.47,67.8,4.147358582367914,136.87242756388713,65.6782361308677,6.111333947164681,139.0737402287089,7.861092232861321,139.0737402287089,6.111333947164681,139.0737402287089,7.861092232861321,124.18065208044538,104.5,103.2,1.3,68.1,93.4,105.5,-12.099999999999994,105.1,102.8,2.299999999999997,5.634204176688329,131.49492687290027,0,93.52669140125596,98.37607554464056,-4.849384143384597,-2.384715471267832,102.90118906372228,104.1463244379918,-1.245135374269509,-2.0628746272409315,2021-12-29,-1.1687011357912809,133.71777020439515,-1.586715839980286,133.71777020439515,14.47,-0.779999999999994,-19.974051211705532,-15.249999999999995,19.19405121170554,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.3341175708976246,0.5443127031784789,6.727750342935525,14.07,3.5466255144032885,-0.0779999999999994,-1.6944444444444446,1,1.0,1,-1,-1,1,1.0,-3.0
