ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
16.0,35,,35.599999999999994,35.599999999999994,118.3,0.0,82.7,0.0,Tue 11-09 11-09,H,336 (Ⅳ),Cal St. Northridge,"W, 89-49",68,131.4,60.9,14.8,42.9,20.3,72.4,36.2,20.7,24.3,15.5,-6.5,-24.0,144.5,118.3,0.0,118.3,118.3,82.7,0.0,82.7,82.7,20211109,108.4,93.0,15.400000000000006,99.6,111.3,-11.700000000000005,109.5,88.8,20.68,70.0,-26.283122028104728,143.66440219200103,71.69274537695591,-24.929745231762837,156.99384854973707,-57.605015376380145,156.99384854973707,-24.929745231762837,156.99384854973707,-57.605015376380145,149.60184330930045,95.3,105.8,-10.48,72.0,108.4,93.0,15.400000000000006,99.6,111.3,-11.700000000000005,-57.605015376380145,149.60184330930045,0,98.11767384530562,97.20707115043108,0.9106026948745409,-0.8588417495699068,95.14488536880177,97.58701935519916,-2.442133986397394,-1.0449117641751529,2021-11-09,-6.257541502302217,138.1214077868885,-2.121687628119574,138.1214077868885,14.32,14.32,0.0,0.0,14.32,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9888645105203836,0.724397800869298,14.919999999999995,,0.0,14.32,0.0,1,0.0,1,1,1,3,0.0,0.0
-1.0,22,,31.13333333333333,33.16363636363636,118.6,0.0,96.4,0.0,Sat 11-13 11-13,A,107 (Ⅱ),Temple,"W, 76-71",71,106.9,50.9,15.5,26.3,47.4,99.9,44.4,15.5,35.6,44.4,10.0,-6.0,137.0,118.45,118.3,118.4,118.35454545454544,89.55000000000001,82.7,87.26666666666668,85.19090909090909,20211113,105.9,89.5,16.400000000000006,97.7,93.9,3.799999999999997,109.5,88.8,20.71,70.1,-6.239737935809671,136.49632441428784,70.69829302987198,-4.895934848374722,134.96728749031678,-14.412698316998963,134.96728749031678,-4.895934848374722,134.96728749031678,-14.412698316998963,133.8073362504199,101.4,95.3,6.13,70.9,105.9,89.5,16.400000000000006,97.7,93.9,3.799999999999997,-14.412698316998963,133.8073362504199,0,105.78276021628726,91.81185631857969,13.970903897707572,14.534038275415934,96.90407589719096,108.48689877028023,-11.58282287308927,-21.7840125687019,2021-11-13,-14.533599565553004,146.87778653391283,-23.768448316662315,146.87778653391283,1.2899999999999991,15.61,14.32,14.32,1.2899999999999991,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.7161454169013237,0.9168440933014614,10.423333333333328,,14.919999999999995,7.805,14.32,1,1.0,1,1,1,3,3.0,0.0
4.5,18,25.533333333333328,27.02222222222222,30.552066115702477,108.2,115.03333333333336,89.4,89.5,Tue 11-16 11-16,A,186 (Ⅲ),Florida Gulf Coast,"W, 78-61",68,114.5,54.6,8.8,27.0,23.1,89.5,43.3,17.6,25.0,21.7,-6.0,-12.5,145.0,113.325,118.45,115.0,116.5082644628099,89.47500000000001,89.55000000000001,87.97777777777779,85.95619834710743,20211116,107.1,90.4,16.69999999999999,102.6,104.7,-2.1000000000000085,109.6,89.1,20.51,70.1,-12.863460304184315,140.74483642629235,71.79516358463727,-10.023178035650076,150.07331405435696,-19.43704986940512,150.07331405435696,-10.023178035650076,150.07331405435696,-19.43704986940512,173.22868056894964,97.7,100.9,-3.19,72.0,107.1,90.4,16.69999999999999,102.6,104.7,-2.1000000000000085,-19.326763597671427,173.3422850212513,0,85.35962524784959,94.33793397470949,-8.978308726859893,-12.800858852874049,103.13538983459505,101.8907362683386,1.2446535662564457,5.312528753239656,2021-11-16,11.369455780598209,135.54408269672825,14.939533219071528,135.54408269672825,-2.5100000000000016,13.099999999999998,14.750000000000002,15.61,-1.650000000000004,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.8830703586536275,0.13944742352804362,6.512222222222217,5.023333333333326,10.423333333333328,4.366666666666664,7.805,1,1.0,-1,1,1,1,3.0,3.0
1.0,19,20.03333333333333,24.381481481481487,28.46987227648384,117.7,114.83333333333331,98.6,94.8,Mon 11-22 11-22,H,273 (Ⅳ),Dixie St.,"W, 98-71",81,121.4,61.1,12.4,29.7,26.4,87.9,35.5,8.7,22.6,28.9,21.5,-26.0,147.5,115.5125,113.325,115.90000000000002,116.72494365138992,94.0375,89.47500000000001,91.51851851851852,88.25507137490607,20211122,107.1,90.5,16.599999999999994,95.5,103.3,-7.799999999999997,110.2,89.5,20.66,69.3,-28.336308443636135,147.82906085269818,72.94736842105263,-22.170456928152483,147.4921065547144,-29.390786854357266,147.4921065547144,-22.170456928152483,147.4921065547144,-29.390786854357266,153.41960381121285,94.6,107.1,-12.57,74.0,107.1,90.5,16.599999999999994,95.5,103.3,-7.799999999999997,-29.464977784662764,153.53601817673825,0,103.11474549876696,94.00026408444808,9.114481414318888,13.69307086771962,99.5032292901204,102.32273674402548,-2.819507453905075,-0.0042568438201886,2021-11-22,-13.089379853089184,148.71458292652503,-12.174165239744184,148.71458292652503,-1.6600000000000001,11.439999999999998,14.200000000000001,13.099999999999998,-2.7600000000000033,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.9933603644122728,0.8937292940899151,3.7214814814814865,-0.6266666666666687,6.512222222222217,2.8599999999999994,4.366666666666664,1,1.0,-1,1,1,1,1.0,3.0
-2.0,25,21.23333333333333,24.85432098765433,27.98444095348678,107.7,111.2,81.9,89.96666666666665,Thu 11-25 11-25,N,151 (Ⅲ),Saint Joseph's,"W, 70-55",68,102.9,44.9,10.3,33.3,17.4,80.8,40.0,22.0,33.3,7.7,-25.5,-17.0,150.5,111.60625,115.5125,113.16666666666669,115.08404480568264,87.96875,94.0375,88.31234567901237,87.09960385219587,20211125,107.9,91.1,16.80000000000001,100.3,103.6,-3.299999999999997,110.5,90.0,20.56,69.9,-18.594035171227787,144.58873693976778,71.49089615931723,-14.925671946243199,148.55961626533056,-18.679089825266516,148.55961626533056,-14.925671946243199,148.55961626533056,-18.679089825266516,156.63143502855345,98.4,103.8,-5.43,71.9,107.9,91.1,16.80000000000001,100.3,103.6,-3.299999999999997,-18.924139874270487,156.7000716240079,0,99.72248766057238,92.54998347707344,7.172504183498944,11.131333844646166,97.25359742485291,104.1517872306947,-6.898189805841781,-10.431727184223494,2021-11-25,-10.131187907004474,141.76864906797692,-15.41562556891941,141.76864906797692,4.440000000000001,15.879999999999999,13.280000000000001,11.439999999999998,2.599999999999998,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.9472814911099373,0.8326962974027059,4.294320987654331,0.673333333333332,3.7214814814814865,3.1759999999999984,2.8599999999999994,1,1.0,1,1,1,3,1.0,1.0
16.5,36,27.066666666666663,28.669547325102883,29.496360780125546,114.1,113.16666666666669,77.8,86.10000000000001,Fri 11-26 11-26,N,25 (I-A),San Diego St.,"W, 58-43",58,100.2,45.6,13.8,39.5,31.6,74.3,34.8,10.4,22.7,19.6,-30.5,1.5,131.5,112.853125,111.60625,113.4777777777778,114.9051275682858,82.884375,87.96875,84.8082304526749,85.40876678816025,20211126,108.1,91.3,16.799999999999997,103.2,91.1,12.100000000000009,110.1,89.9,20.28,69.3,-2.1521445234708168,126.93078691322901,66.04694167852062,-2.8826851163811114,130.47456014238904,-8.889114634224745,130.47456014238904,-2.8826851163811114,130.47456014238904,-8.889114634224745,126.5805421173542,105.6,89.2,16.47,67.0,108.1,91.3,16.799999999999997,103.2,91.1,12.100000000000009,-8.796596617211943,126.60045213550497,0,97.57079594658693,91.02875699250454,6.542038954082386,8.003763916740713,94.07611087476424,93.9210768268905,0.1550340478737411,-2.886058403140025,2021-11-26,-4.064689516822973,120.03064550804689,-7.192394596506162,120.03064550804689,15.719999999999999,31.599999999999998,14.146666666666668,15.879999999999999,17.45333333333333,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.6506638294074579,8.389547325102882,6.786666666666662,4.294320987654331,5.266666666666666,3.1759999999999984,1,1.0,1,1,1,3,3.0,1.0
12.5,27,29.8,28.213031550068592,29.09702245646635,126.4,116.06666666666668,99.1,86.26666666666665,Wed 12-01 12-01,H,119 (Ⅲ),Utah,"W, 93-73",72,128.7,57.2,11.1,42.1,36.2,101.0,44.9,8.3,22.2,20.3,30.0,-7.5,136.0,119.6265625,112.853125,117.7851851851852,116.99510437405202,90.9921875,82.884375,89.5721536351166,87.89808191758566,20211201,108.6,89.9,18.69999999999999,105.3,96.7,8.599999999999994,111.1,89.3,21.78,67.8,-11.176327138782781,132.84852908475324,66.06401137980085,-10.798537650351463,135.45745981485578,-10.215792365577826,135.45745981485578,-10.798537650351463,135.45745981485578,-10.215792365577826,134.33727997816268,106.6,95.9,10.75,68.5,108.6,89.9,18.69999999999999,105.3,96.7,8.599999999999994,-10.421919030083671,131.58372356251485,0,104.48626427045416,92.93296794292766,11.553296327526496,12.423153379683974,101.3631320669363,96.38924864052022,4.97388342641608,9.02288620147564,2021-12-01,-8.108494058227372,132.15517065543284,-4.294498810601411,132.15517065543284,5.219999999999999,36.81999999999999,19.964444444444446,31.599999999999998,16.855555555555547,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,3,0.7624747379730235,0.7800131212118976,6.433031550068591,8.02,8.389547325102882,5.259999999999998,5.266666666666666,1,1.0,1,1,1,3,3.0,3.0
3.0,17,26.933333333333337,24.542021033379065,26.93392746438156,109.3,116.6,92.1,89.66666666666667,Sat 12-04 12-04,A,41 (I),Washington St.,"W, 63-61",63,99.7,51.9,17.4,28.1,24.1,96.5,44.8,19.0,32.4,19.0,-13.0,1.0,137.0,114.46328125,119.6265625,114.9567901234568,115.59599448786074,91.54609375,90.9921875,90.41476909007774,88.66206702347917,20211204,110.5,90.5,20.0,106.7,92.8,13.900000000000006,112.0,89.5,22.45,68.2,-2.0565325352521313,131.0628842340069,65.77467994310099,-0.27424277571057587,134.186496090993,0.9007337995386865,134.186496090993,-0.27424277571057587,134.186496090993,0.9007337995386865,129.0277899354165,107.1,93.4,13.74,67.8,110.5,90.5,20.0,106.7,92.8,13.900000000000006,-0.5475876117078818,134.99028267718745,0,103.09004284443336,93.99868801567747,9.091354828755883,10.288566695488017,104.16121173098468,92.95045072300496,11.210761007979713,2.936330981359606,2021-12-04,5.066202117930949,130.71358853844995,-2.872437593547005,130.71358853844995,-5.449999999999999,31.369999999999994,25.58296296296296,36.81999999999999,5.7870370370370345,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.46206285593374585,0.3147270185562454,2.0920210333790656,4.483333333333338,6.433031550068591,3.9212500000000006,5.259999999999998,1,1.0,1,1,1,3,3.0,3.0
-5.0,12,18.966666666666672,20.49468068891938,24.291395198130367,105.7,113.8,93.3,94.83333333333331,Tue 12-07 12-07,H,264 (Ⅳ),Eastern Kentucky,"W, 80-68",72,110.4,61.9,24.8,33.3,22.0,93.9,39.4,9.7,25.0,16.9,-5.5,-17.0,153.5,110.081640625,114.46328125,111.87119341563788,113.79672276279514,92.423046875,91.54609375,91.3765127267185,89.50532756466477,20211207,110.6,90.5,20.099999999999994,106.1,102.3,3.799999999999997,112.0,89.5,22.48,67.6,-21.85908030789144,147.00831166084353,70.58093883357041,-16.59847103553399,151.43398918082005,-20.839739109665665,151.43398918082005,-16.59847103553399,151.43398918082005,-20.839739109665665,153.5200760909367,102.4,104.4,-1.94,73.4,110.6,90.5,20.099999999999994,106.1,102.3,3.799999999999997,-21.385013432240058,150.86631857018904,0,102.3693200138072,93.32613269666714,9.043187317140053,9.736399668120802,103.12888123298984,105.21357768683376,-2.084696453843918,-1.5252373589588124,2021-12-07,-12.402419276602984,147.55486881680054,-10.005972645339114,147.55486881680054,-10.48,20.889999999999993,27.511975308641972,31.369999999999994,-6.621975308641979,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.9472814911099373,0.8812349413846992,-1.9853193110806195,-3.5133333333333283,2.0920210333790656,2.321111111111108,3.9212500000000006,-1,1.0,-1,1,1,-1,3.0,3.0
-13.0,10,13.333333333333336,17.129787125946258,21.76568698028848,105.9,106.96666666666664,95.5,93.63333333333333,Sun 12-12 12-12,H,177 (Ⅲ),Long Beach St.,"W, 73-62",67,108.7,57.9,22.3,31.0,17.5,92.3,42.5,19.4,37.5,30.0,-10.5,-24.0,145.5,107.9908203125,110.081640625,109.88079561042528,112.36095498774148,93.9615234375,92.423046875,92.751008484479,90.595268007453,20211212,111.0,90.2,20.8,96.8,107.1,-10.299999999999995,111.8,89.7,22.1,67.5,-26.42790936546229,141.92328054415765,69.0362731152205,-26.39795273710199,146.3975606271274,-30.835171306345543,146.3975606271274,-26.39795273710199,146.3975606271274,-30.835171306345543,136.07801395913916,96.4,106.6,-10.18,71.9,111.0,90.2,20.8,96.8,107.1,-10.299999999999995,-28.084933246766667,144.01336403713898,0,102.223068373585,93.8505711855006,8.372497188084395,7.623699970273829,96.90372365348448,103.07096483943286,-6.167241185948384,-8.03418694567323,2021-12-12,-14.077923786761708,139.06793814345335,-12.738669833859625,139.06793814345335,-12.100000000000001,8.789999999999992,25.304650205761316,20.889999999999993,-16.514650205761324,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9888645105203836,0.9099999371009038,-4.970212874053743,-8.766666666666666,-1.9853193110806195,0.8790000000000013,2.321111111111108,-1,-1.0,-1,1,1,-1,-1.0,3.0
