ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
0.0,-11,,-11.200000000000005,-11.200000000000005,103.1,0.0,114.3,0.0,Fri 11-12 11-12,A,274 (Ⅳ),Presbyterian,"L, 73-72 OT",69,105.0,56.6,20.4,16.7,28.3,106.4,46.2,20.4,48.8,25.8,1.5,1.0,143.5,103.1,0.0,103.1,103.1,114.3,0.0,114.3,114.3,20211112,100.6,102.7,-2.1000000000000085,94.1,103.0,-8.900000000000006,99.3,105.2,-5.86,72.4,2.668779495438656,142.92923010752213,71.57610241820768,-1.004020189680034,146.49520780238444,12.881460564634978,146.49520780238444,-1.004020189680034,146.49520780238444,12.881460564634978,134.095288111698,94.5,102.0,-7.47,69.5,100.6,102.7,-2.1000000000000085,94.1,103.0,-8.900000000000006,12.881460564634978,134.095288111698,0,106.30089740022645,93.28020168727784,13.020695712948609,3.799783296765351,90.03441708497577,101.55834398005508,-11.523926895079313,-21.335520106283024,2021-11-12,-13.619614376232775,140.05675202495848,-16.162459196323283,140.05675202495848,-5.14,-5.14,0.0,0.0,-5.14,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.46206285593374585,0.9027026638639417,-5.340000000000004,,0.0,-5.14,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-2.5,-8,,-10.133333333333336,-10.61818181818182,99.2,0.0,107.2,0.0,Sat 11-20 11-20,A,227 (Ⅲ),Marist,"L, 78-74 OT",74,99.7,47.7,14.8,26.8,24.6,105.1,46.5,13.5,32.7,35.2,19.0,1.5,133.0,101.15,103.1,101.8,102.39090909090908,110.75,114.3,111.93333333333334,113.0090909090909,20211120,100.4,103.3,-2.8999999999999915,96.5,99.7,-3.200000000000003,99.9,105.7,-5.79,69.9,2.281035707895313,134.40000320355222,67.01650071123757,3.556960187914868,137.21637973139087,2.5438982580620007,137.21637973139087,3.556960187914868,137.21637973139087,2.5438982580620007,152.01525361702224,94.3,102.0,-7.72,67.4,100.4,103.3,-2.8999999999999915,96.5,99.7,-3.200000000000003,2.628031734906621,152.22720947858258,0,103.06179717888185,95.89428781488216,7.1675093639996845,6.3269680089880325,105.89908027740844,100.38543258250864,5.513647694899802,7.1193378512376535,2021-11-20,2.6315885700238653,140.7778402734399,2.5336379721558444,140.7778402734399,-2.21,-7.35,-5.14,-5.14,-2.21,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.40105106574700855,-4.343333333333336,,-5.340000000000004,-3.675,-5.14,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-8.5,-11,-10.266666666666673,-10.622222222222227,-10.796694214876036,87.3,96.53333333333336,98.9,106.8,Wed 11-24 11-24,N,274 (Ⅳ),Presbyterian,"L, 59-54",62,86.5,47.0,24.0,22.6,18.0,94.5,38.9,17.6,40.9,22.2,-19.5,-3.5,132.5,94.225,101.15,96.96666666666668,99.64710743801652,104.825,110.75,107.5888888888889,110.44380165289256,20211124,101.3,104.5,-3.200000000000003,93.5,102.0,-8.5,100.5,106.5,-5.94,68.9,-1.6562798751618857,130.0170105942549,64.29359886201992,-3.7061749771767154,132.60929559032718,0.3384838742111927,132.60929559032718,-3.7061749771767154,132.60929559032718,0.3384838742111927,123.57358864881262,94.2,102.4,-8.22,65.6,101.3,104.5,-3.200000000000003,93.5,102.0,-8.5,0.3584669068984532,123.59496593777084,0,101.04136823582282,98.25989268174688,2.7814755540759393,3.974637731604876,87.75404565797814,91.33516894719872,-3.581123289220585,0.3325398628934726,2021-11-24,-3.996925705159292,117.75414381406227,-2.3416357938714896,117.75414381406227,-5.06,-12.41,-5.876666666666667,-7.35,-6.533333333333333,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.6305586598182363,0.6482720714752588,-4.682222222222227,-4.326666666666672,-4.343333333333336,-4.136666666666667,-3.675,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.5,2,-5.733333333333339,-6.281481481481489,-8.397295266716759,98.6,95.03333333333336,96.2,100.76666666666668,Thu 11-25 11-25,N,294 (Ⅳ),Central Arkansas,"W, 73-67",70,104.5,48.4,15.7,26.8,23.8,95.9,44.6,8.6,20.0,21.5,-8.0,-10.5,148.0,96.4125,94.225,97.51111111111112,99.45672426746803,100.5125,104.825,103.7925925925926,107.8540195341848,20211125,101.4,104.6,-3.1999999999999886,94.2,107.9,-13.700000000000005,99.8,106.4,-6.57,68.5,-8.708554315195002,145.8402157915968,71.32574679943102,-7.936253514787381,151.71775549563705,-5.812199758096856,151.71775549563705,-7.936253514787381,151.71775549563705,-5.812199758096856,136.09510695981234,90.8,109.1,-18.32,73.2,101.4,104.6,-3.1999999999999886,94.2,107.9,-13.700000000000005,-5.45651003997622,136.25616097868752,0,99.88161805459823,101.75831919935447,-1.8767011447562396,-3.153123220168577,88.21767147668561,99.9108798583689,-11.693208381683291,-4.9218101835278985,2021-11-25,-7.31344700854649,138.30580016505465,-1.2615291851602137,138.30580016505465,8.57,-3.84,-8.054444444444446,-12.41,4.214444444444446,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8413447460685429,0.7569479943926682,0.2885185185185115,0.8366666666666616,-4.682222222222227,-0.96,-4.136666666666667,1,-1.0,1,-1,-1,1,-3.0,-3.0
-7.0,-18,-9.23333333333334,-10.354320987654326,-10.234150672768257,102.8,96.23333333333332,121.3,105.46666666666664,Fri 11-26 11-26,A,265 (Ⅳ),New Orleans,"L, 79-71",68,104.1,50.0,20.5,32.4,19.7,115.8,57.6,14.7,23.3,20.3,4.5,1.0,145.5,99.60625,96.4125,99.2740740740741,100.06459258247384,110.90625,100.5125,109.6283950617284,110.2987432552421,20211126,100.5,104.6,-4.099999999999994,99.6,105.9,-6.300000000000011,99.8,106.5,-6.73,68.0,-0.07068339535210555,144.55479346393565,69.35419630156473,2.5905976710229623,149.51681730507136,4.9858190883984514,149.51681730507136,2.5905976710229623,149.51681730507136,4.9858190883984514,141.05290116379294,95.6,108.0,-12.43,71.7,100.5,104.6,-4.099999999999994,99.6,105.9,-6.300000000000011,5.0335853025568,140.92403473890997,0,98.59157061410326,100.23120552607092,-1.6396349119676614,-0.7478125483221987,97.96867369975652,103.13647261430675,-5.167798914550232,-4.208033277393498,2021-11-26,1.4961264621777985,141.87098828409762,-0.5060099990569142,141.87098828409762,-11.27,-15.11,-6.649629629629631,-3.84,-8.460370370370368,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.46206285593374585,0.4433471860323295,-3.6243209876543254,-2.503333333333339,0.2885185185185115,-3.0219999999999994,-0.96,-1,1.0,-1,-1,-1,-3,1.0,-3.0
13.0,21,1.6333333333333304,0.0971193415637818,-4.555214186810391,132.4,111.26666666666668,111.4,109.63333333333333,Fri 12-03 12-03,A,164 (Ⅲ),Portland,"W, 90-82",70,127.7,56.6,18.4,45.5,39.3,116.4,54.8,12.8,25.0,29.0,26.5,5.0,145.5,116.003125,99.60625,110.31604938271607,105.9437575674786,111.153125,110.90625,110.21893004115228,110.498971754289,20211203,100.8,105.9,-5.1000000000000085,97.8,102.2,-4.400000000000006,100.2,107.8,-7.66,67.4,1.7493069715409035,139.19166592604333,67.97524893314369,4.412386249105396,143.88008783082168,11.875671355657625,143.88008783082168,4.412386249105396,143.88008783082168,11.875671355657625,135.4422977437696,94.0,104.3,-10.31,70.9,100.8,105.9,-5.1000000000000085,97.8,102.2,-4.400000000000006,9.80178920198434,134.40036258408892,0,102.17165906369004,102.3534259592817,-0.18176689559165027,-2.192875403398312,96.53909876212684,99.30524104113836,-2.766142279011518,-3.3738221890304083,2021-12-03,2.058444813953784,139.41988364616896,1.0475797811853198,139.41988364616896,28.66,13.55,-9.469753086419754,-15.11,23.019753086419755,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.31696934194067294,0.42228850410884,7.757119341563782,9.293333333333331,-3.6243209876543254,2.2583333333333337,-3.0219999999999994,1,-1.0,1,1,-1,3,-3.0,1.0
14.0,15,6.099999999999999,5.331412894375854,-0.8542661528448652,126.0,120.40000000000002,110.2,114.3,Sun 12-05 12-05,A,139 (Ⅱ),Seattle,"W, 89-82",76,116.7,60.0,21.0,27.6,49.1,107.6,50.7,9.2,22.2,19.2,25.5,7.0,145.5,121.0015625,116.003125,115.54403292181073,109.5903471006643,110.6765625,111.153125,110.21262002743488,110.44461325350916,20211205,102.9,106.8,-3.899999999999992,102.9,99.7,3.200000000000003,101.7,108.6,-6.91,67.1,7.997079595916119,140.69220195121338,65.85917496443811,8.951340876981533,143.6418120080809,9.526369523618717,143.6418120080809,8.951340876981533,143.6418120080809,9.526369523618717,136.02084379283943,101.6,102.4,-0.77,69.0,102.9,106.8,-3.899999999999992,102.9,99.7,3.200000000000003,8.278078331508357,138.338128226075,0,103.90532112073132,101.07021649299344,2.835104627737877,-1.0196936752868295,98.05056145230118,98.77028518893106,-0.7197237366298737,3.227839628628949,2021-12-05,1.4314647995009864,136.16956998267105,4.661807023199287,136.16956998267105,21.91,35.46,-1.7965020576131696,13.55,37.25650205761317,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,3,0.2524925375469229,0.44578021190214634,12.241412894375854,13.009999999999998,7.757119341563782,5.065714285714286,2.2583333333333337,1,1.0,1,1,1,3,3.0,-3.0
-0.5,1,12.633333333333333,3.920941929583901,-0.4989450341457998,93.5,117.3,92.4,104.66666666666669,Sat 12-11 12-11,H,155 (Ⅳ),Gardner Webb,"W, 64-61",71,89.7,41.1,15.4,22.0,25.8,85.5,32.9,11.2,35.8,26.0,-20.0,-3.5,145.0,107.25078125,121.0015625,108.19602194787382,106.66482944599808,101.53828125,110.6765625,104.27508001828993,107.16377448014386,20211211,104.2,106.8,-2.5999999999999943,99.0,100.1,-1.0999999999999943,103.1,108.7,-5.61,68.1,-2.2627323020046646,142.2690147131135,66.84068278805121,-3.0501791029111303,143.87181342086444,-2.5907226733110593,143.87181342086444,-3.0501791029111303,143.87181342086444,-2.5907226733110593,139.6729306866719,99.6,102.5,-2.85,69.0,104.2,106.8,-2.5999999999999943,99.0,100.1,-1.0999999999999943,-0.5844031486052141,139.5301321252809,0,101.9828355977816,99.6575561728648,2.3252794249168005,-1.5085934792022837,92.87358179691806,93.5559349771542,-0.6823531802361344,5.229042664566696,2021-12-11,-5.561420338300778,128.83368117176843,2.5971280532683494,128.83368117176843,6.61,42.07,10.62233196159122,35.46,31.44766803840878,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.6305586598182363,0.701825837913732,9.530941929583902,18.243333333333332,12.241412894375854,5.25875,5.065714285714286,1,1.0,1,1,1,3,3.0,3.0
7.5,18,11.633333333333333,8.613961286389268,2.864499517517073,110.7,110.06666666666668,92.7,98.43333333333334,Tue 12-14 12-14,A,37 (I),Wake Forest,"L, 77-70",72,97.5,49.2,13.9,17.1,9.1,107.3,42.2,12.5,25.6,53.4,-3.0,14.5,150.0,108.975390625,107.25078125,109.03068129858256,107.39849681945296,97.119140625,101.53828125,100.41672001219328,104.53399730193588,20211214,102.6,105.1,-2.5,108.0,95.4,12.599999999999994,101.6,107.0,-5.38,68.5,16.48420756279667,145.80534137332,68.88975817923186,15.200413458235445,149.44506568451635,12.74737425435114,149.44506568451635,15.200413458235445,149.44506568451635,12.74737425435114,147.44550791493822,107.6,95.5,12.06,70.7,102.6,105.1,-2.5,108.0,95.4,12.599999999999994,16.64416070553017,145.31796717674993,0,101.96846462761545,97.83069154933702,4.137773078278428,0.1510919793320171,106.68863211028182,93.0836542899724,13.604977820309415,12.00209999623582,2021-12-14,10.60894003820249,140.78782977876736,10.210256257547258,140.78782977876736,23.38,65.45,21.104887974394146,42.07,44.34511202560586,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.08364680132758417,0.15615777248583207,13.993961286389268,17.013333333333332,9.530941929583902,7.272222222222222,5.25875,1,1.0,1,1,1,3,3.0,3.0
16.0,20,13.1,12.47597419092618,6.016408696150333,118.2,107.46666666666668,98.0,94.36666666666667,Wed 12-29 12-29,A,128 (Ⅱ),Wofford,"W, 80-73",70,113.9,62.9,15.7,17.2,17.2,103.9,55.9,22.8,24.2,16.9,11.5,9.0,141.5,113.5876953125,108.975390625,112.08712086572172,109.36240648864332,97.5595703125,97.119140625,99.61114667479552,103.345997792493,20211229,103.0,104.5,-1.5,106.7,101.6,5.1000000000000085,101.7,106.6,-4.93,68.3,12.243432210068477,136.64321066184615,63.733712660028445,8.442059247567144,141.52943404168434,6.142141528618258,141.52943404168434,8.442059247567144,141.52943404168434,6.142141528618258,149.7891888121677,107.1,99.2,7.95,65.6,103.0,104.5,-1.5,106.7,101.6,5.1000000000000085,7.424797703046154,141.45148220803821,0,102.32301133615832,97.32128063936688,5.001730696791441,0.4241815913555873,105.94660886495863,100.44451757917588,5.502091285782754,4.218150934170774,2021-12-29,3.9869471380824137,134.6959422783516,4.2440037060557785,134.6959422783516,24.93,90.38,35.88659198292943,65.45,54.493408017070564,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.19568296915377603,0.35208062606385526,17.40597419092618,18.03,13.993961286389268,9.038,7.272222222222222,1,1.0,1,1,1,3,3.0,3.0
