ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-6.5,7,,7.0,7.0,106.6,0.0,99.6,0.0,Wed 11-10 11-10,H,328 (Ⅳ),Alabama St.,"W, 91-72",78,116.9,51.6,19.3,43.6,51.6,92.5,55.8,30.8,22.2,32.7,19.0,-25.5,144.0,106.6,0.0,106.6,106.6,99.6,0.0,99.6,99.6,20211110,106.5,98.3,8.200000000000003,92.3,109.5,-17.200000000000003,106.1,95.8,10.31,72.2,-25.76705011588715,146.24391902684334,76.92432432432435,-24.892519050344703,163.4352854175892,-4.371402371186704,163.4352854175892,-24.892519050344703,163.4352854175892,-4.371402371186704,149.49013746423162,84.5,103.0,-18.49,74.9,106.5,98.3,8.200000000000003,92.3,109.5,-17.200000000000003,-4.371402371186704,149.49013746423162,0,0.0,0.0,0.0,0.0,98.20341504990188,103.07180777361664,-4.868392723714763,-1.5107284901381184,2021-11-10,0.0,0.0,,0.0,-3.3100000000000005,-3.3100000000000005,0.0,0.0,-3.3100000000000005,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,3,0.9924207805612802,0.5,-3.3100000000000005,,0.0,-3.3100000000000005,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
12.0,19,,11.233333333333334,9.309090909090909,113.7,0.0,94.0,0.0,Sun 11-14 11-14,H,130 (Ⅲ),Texas St.,"W, 79-60",66,119.3,55.6,12.1,21.9,46.3,90.6,41.5,21.1,27.8,34.0,7.5,-7.0,131.5,110.15,106.6,108.96666666666668,107.89090909090908,96.8,99.6,97.73333333333332,98.58181818181818,20211114,104.5,96.4,8.099999999999994,98.2,95.7,2.5,106.6,96.3,10.33,71.9,-10.057526184349953,134.7505980975991,67.19530583214795,-7.431468007175404,134.16248460431734,-3.7620090872210383,134.16248460431734,-7.431468007175404,134.16248460431734,-3.7620090872210383,150.4057619256449,99.6,98.8,0.8,65.7,104.5,96.4,8.099999999999994,98.2,95.7,2.5,-3.7495759040123877,150.3919303154615,0,104.50391889389572,101.59598934484896,2.907929549046756,1.9274071797519787,104.87785856949934,93.56291988929998,11.314938680199361,14.663150759210373,2021-11-14,2.1036052617312464,140.54080966222693,6.520280218866219,140.54080966222693,8.67,5.359999999999999,-3.3100000000000005,-3.3100000000000005,8.67,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.7475074624530771,0.42060602743458775,0.9033333333333342,,-3.3100000000000005,2.6799999999999997,-3.3100000000000005,1,-1.0,1,1,-1,3,-3.0,0.0
-15.5,-9,5.666666666666671,4.255555555555562,5.852892561983472,64.4,94.9,74.1,89.23333333333333,Wed 11-17 11-17,H,51 (Ⅱ),VCU,"L, 48-37",66,56.2,24.5,31.9,35.6,32.1,72.9,38.5,33.4,38.9,23.1,-48.0,-4.5,133.0,87.275,110.15,94.11111111111111,99.98347107438016,85.44999999999999,96.8,89.85555555555555,94.13057851239668,20211117,105.1,96.1,9.0,96.5,89.7,6.799999999999997,107.0,95.8,11.2,71.7,-7.707704130598373,137.86203310139615,71.80199146514937,-4.975073086999984,137.3898782203011,-11.614170672436623,137.3898782203011,-4.975073086999984,137.3898782203011,-11.614170672436623,124.06921563257924,97.8,92.6,5.19,70.4,105.1,96.1,9.0,96.5,89.7,6.799999999999997,-11.816154725301297,124.30956440355908,0,88.47745987284878,101.78223888048194,-13.304779007633158,-17.594445283724877,106.45626420822626,97.24132160191613,9.214942606310132,4.599857251502006,2021-11-17,12.39459708923357,142.31920754135885,14.05612067292644,142.31920754135885,-20.2,-14.84,-0.42000000000000104,5.359999999999999,-14.419999999999998,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,3,0.6658824291023754,0.118913064086692,-6.9444444444444375,-5.533333333333328,0.9033333333333342,-4.946666666666666,2.6799999999999997,-1,1.0,-1,-1,1,-3,3.0,-3.0
6.0,12,7.400000000000006,6.903703703703709,7.006912096168295,99.9,92.66666666666669,87.7,85.26666666666667,Sat 11-20 11-20,H,178 (Ⅲ),Winthrop,"W, 77-63",73,105.6,55.9,17.8,27.8,33.9,86.4,51.8,26.1,12.1,12.5,-5.5,-8.0,145.5,93.5875,87.275,96.04074074074076,99.96829451540194,86.57499999999999,85.44999999999999,89.13703703703705,92.96138241923364,20211120,101.8,94.5,7.299999999999997,98.7,99.3,-0.5999999999999943,103.9,94.4,9.47,70.7,-11.448419963624346,143.46414407086064,73.0130867709815,-9.896861766395062,145.2610433706616,-9.448135639464672,145.2610433706616,-9.896861766395062,145.2610433706616,-9.448135639464672,134.66024596490632,99.0,99.8,-0.84,72.6,101.8,94.5,7.299999999999997,98.7,99.3,-0.5999999999999943,-9.158378891627223,134.27568365944734,0,96.4349488238818,94.40314701905888,2.031801804822919,3.628032398883272,97.096433616924,103.58394159105714,-6.487507974133138,-2.803887032279909,2021-11-20,-10.146646941247496,143.17510320706006,-6.748933620505198,143.17510320706006,2.5299999999999994,-12.31,-5.2266666666666675,-14.84,-7.083333333333333,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.7769415761393583,0.8330647944051066,-2.566296296296292,-2.069999999999995,-6.9444444444444375,-3.0775000000000006,-4.946666666666666,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
13.0,13,5.466666666666669,9.235802469135804,8.260200805955876,105.8,90.03333333333335,91.9,84.56666666666666,Wed 11-24 11-24,A,195 (Ⅲ),Pittsburgh,"W, 68-52",62,109.5,57.7,16.1,22.2,21.2,83.7,38.0,20.9,27.3,38.0,-9.5,-3.0,129.5,99.69375,93.5875,99.29382716049383,101.02860460351069,89.2375,86.57499999999999,90.05802469135804,92.76840379755478,20211124,102.2,94.5,7.700000000000003,94.2,97.6,-3.3999999999999915,104.4,94.6,9.73,69.7,-2.9909684799671936,128.24146597956158,66.2298719772404,-3.696530934171591,127.97534822324528,-3.9590329217427063,127.97534822324528,-3.696530934171591,127.97534822324528,-3.9590329217427063,115.64035230440341,97.7,98.1,-0.36,66.8,102.2,94.5,7.700000000000003,94.2,97.6,-3.3999999999999915,-4.305609474090302,115.99290699921426,0,99.84305950611704,92.74235198063816,7.100707525478882,6.784193512043578,91.374217999524,99.77571860368622,-8.401500604162209,-14.759088699855768,2021-11-24,-6.597128405390997,124.90569132336864,-12.487596493498714,124.90569132336864,3.2699999999999996,-9.040000000000001,-7.587777777777779,-12.31,-1.4522222222222219,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6124515189020077,0.7350956106679111,-0.4941975308641968,-4.263333333333332,-2.566296296296292,-1.8079999999999998,-3.0775000000000006,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,20,15.6,13.057201646090537,10.52198247760026,87.0,97.56666666666666,66.3,81.96666666666667,Mon 11-29 11-29,H,351 (Ⅳ),Mississippi Valley St.,"W, 75-36",70,107.4,53.6,21.5,31.3,38.2,51.5,24.5,24.3,18.6,21.8,-34.5,-37.5,145.5,93.346875,99.69375,95.19588477366256,98.47794922105416,77.76875,89.2375,82.13868312757204,87.9559667434539,20211129,103.2,95.2,8.0,88.1,114.8,-26.700000000000003,106.0,95.1,10.92,68.5,-36.47406101118095,144.0776170478531,70.54623044096729,-29.072513109989174,146.79121697091784,-29.016735530222412,146.79121697091784,-29.072513109989174,146.79121697091784,-29.016735530222412,138.99496517527479,82.9,118.0,-35.1,72.4,103.2,95.2,8.0,88.1,114.8,-26.700000000000003,-29.1252807924403,139.24931969197112,0,97.00593965136495,88.81448163477373,8.191458016591227,8.319211750585726,95.84893233817311,100.55745144152652,-4.70851910335341,-5.4085353213296,2021-11-29,-12.658621703233514,132.14095081932993,-11.688449751070053,132.14095081932993,9.08,0.03999999999999915,-8.071851851851854,-9.040000000000001,8.111851851851853,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.9998224803096265,0.8860108450948273,2.1372016460905368,4.68,-0.4941975308641968,0.006666666666667709,-1.8079999999999998,1,-1.0,1,1,-1,3,-3.0,-3.0
-6.5,7,14.099999999999994,11.271467764060356,10.008894754400211,122.1,104.96666666666664,114.4,90.86666666666667,Sat 12-04 12-04,A,54 (I),SMU,"L, 84-72",67,108.3,46.0,22.6,45.2,30.6,126.3,54.8,10.5,36.8,33.3,18.5,5.5,137.5,107.7234375,93.346875,104.16392318244172,102.77286754449888,96.084375,77.76875,92.89245541838136,92.76397279009863,20211204,102.6,94.4,8.199999999999989,105.5,98.3,7.200000000000003,105.6,94.4,11.16,68.1,2.257297858133711,137.51057846787808,66.9375533428165,2.9828289478715675,137.49900353999976,1.4630918452265549,137.49900353999976,2.9828289478715675,137.49900353999976,1.4630918452265549,123.57261326430361,108.1,98.9,9.2,69.1,102.6,94.4,8.199999999999989,105.5,98.3,7.200000000000003,2.701802157619396,121.47607328286512,0,97.21790359583052,93.38980756533276,3.828096030497761,3.685854221995005,102.56486728326,101.99054729100708,0.5743199922529243,5.140996919876681,2021-12-04,1.4334002611445271,133.67856550426407,2.9310071078896556,133.67856550426407,-4.16,-4.120000000000001,-5.367901234567904,0.03999999999999915,1.2479012345679026,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.30020551430745246,0.44570735612293355,0.11146776406035563,2.939999999999994,2.1372016460905368,-0.588571428571429,0.006666666666667709,1,1.0,1,-1,1,1,3.0,-3.0
-12.0,-3,8.266666666666666,6.314311842706907,7.534550253600174,95.5,101.53333333333336,99.1,93.26666666666668,Tue 12-07 12-07,H,108 (Ⅲ),Temple,"L, 72-68 OT",74,91.3,36.6,12.1,29.6,33.8,96.7,41.2,21.5,29.7,72.5,6.5,-8.0,133.5,101.61171875,107.7234375,101.27594878829449,101.4505279909536,97.5921875,96.084375,94.96163694558756,93.91597773735342,20211207,103.4,95.7,7.700000000000003,102.2,100.5,1.7000000000000028,106.0,95.8,10.17,67.6,-8.021284042701168,131.7863606736055,64.33058321479375,-7.762344799360221,133.276993021936,-6.182969091545191,133.276993021936,-7.762344799360221,133.276993021936,-6.182969091545191,123.10377136862422,103.8,100.2,3.53,66.9,103.4,95.7,7.700000000000003,102.2,100.5,1.7000000000000028,-9.765648623730673,125.40339958053711,0,96.34085378196956,93.05381622818352,3.2870375537860355,1.8588468954776352,100.4905717137785,97.85741869640756,2.6331530173709297,-0.9982137970602392,2021-12-07,-3.976235655964146,123.97895439108169,-3.646971240406181,123.97895439108169,-13.17,-17.29,-4.951934156378603,-4.120000000000001,-12.338065843621397,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.7769415761393583,0.6475406294860673,-3.855688157293093,-1.9033333333333342,0.11146776406035563,-2.161250000000001,-0.588571428571429,-1,1.0,-1,-1,-1,-3,1.0,3.0
-6.5,-3,0.1666666666666666,3.009541228471274,5.510086571127416,107.9,108.5,111.5,108.33333333333331,Fri 12-10 12-10,H,40 (I),Loyola Chicago,"L, 69-58",59,97.6,37.7,8.4,28.2,33.3,116.1,65.7,18.5,21.4,11.8,-4.5,4.5,131.5,104.755859375,101.61171875,103.483965858863,102.62315926532568,104.54609375,97.5921875,100.47442463039172,97.11307269419824,20211210,102.5,95.8,6.700000000000003,110.6,95.4,15.199999999999989,105.3,96.2,9.15,67.3,1.6937293357136554,129.36731712931407,62.704836415362735,1.5881250856724733,131.05206738857476,-0.6716677481480737,131.05206738857476,1.5881250856724733,131.05206738857476,-0.6716677481480737,124.7303770680398,112.3,94.5,17.79,65.5,102.5,95.8,6.700000000000003,110.6,95.4,15.199999999999989,2.183733712596161,123.14471477718213,0,96.7256677655773,93.173885144377,3.551782621200303,1.2609536201908935,110.45866288001322,94.78145796118358,15.677204918829645,16.985535582717606,2021-12-10,3.7304283803588163,125.10891240618112,7.944157940084622,125.10891240618112,-12.15,-29.439999999999998,-9.064622770919069,-17.29,-20.37537722908093,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,-3,0.3341175708976246,0.3611903330318247,-6.140458771528726,-8.983333333333334,-3.855688157293093,-3.271111111111111,-2.161250000000001,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
10.5,27,6.76666666666667,11.173027485647516,9.50825264910425,117.4,106.93333333333334,89.9,100.16666666666669,Sat 12-18 12-18,H,284 (Ⅳ),Austin Peay,"W, 77-51",63,122.2,54.0,19.1,48.6,22.6,81.0,41.5,28.6,32.4,13.2,-5.0,-15.5,133.0,111.0779296875,104.755859375,108.12264390590867,105.309857580721,97.223046875,104.54609375,96.94961642026117,95.80160493161674,20211218,101.5,95.7,5.799999999999997,97.2,107.2,-10.0,104.7,95.8,8.86,66.3,-16.3208121281739,131.62851886050555,64.60241820768137,-14.209768122163382,134.07299473935583,-11.976710479185547,134.07299473935583,-14.209768122163382,134.07299473935583,-11.976710479185547,135.98802428251727,96.3,106.9,-10.55,68.5,101.5,95.7,5.799999999999997,97.2,107.2,-10.0,-11.816631744149763,129.79547809802241,0,98.48704888908637,92.5566447994012,5.930404089685169,4.427280772503844,100.57397855833128,101.26150195367345,-0.6875233953421684,-1.0334912454975154,2021-12-18,-7.980197576583329,127.93040274006194,-5.367353067698922,127.93040274006194,18.14,-11.299999999999997,-15.856415180612712,-29.439999999999998,4.556415180612715,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.9300536172447476,0.7763783313496911,2.313027485647517,-2.0933333333333293,-6.140458771528726,-1.129999999999999,-3.271111111111111,1,-1.0,1,-1,-1,1,-3.0,-3.0
