ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
13.5,44,,44.400000000000006,44.400000000000006,140.0,0.0,95.6,0.0,Tue 11-09 11-09,H,248 (Ⅳ),Mount St. Mary's,"W, 91-51",62,147.4,69.6,9.7,26.9,25.0,82.6,47.9,29.2,25.9,17.0,12.0,-26.5,130.0,140.0,0.0,140.0,140.0,95.6,0.0,95.6,95.6,20211109,114.2,95.5,18.700000000000003,98.9,102.4,-3.5,114.5,91.5,23.02,68.0,-24.889417478789845,130.33419565489308,64.32432432432432,-18.752055519440432,139.94860663107576,-52.87424623811967,139.94860663107576,-18.752055519440432,139.94860663107576,-52.87424623811967,169.34947735106954,92.6,103.0,-10.4,66.5,114.2,95.5,18.700000000000003,98.9,102.4,-3.5,-52.87424623811967,169.34947735106954,0,93.82442393535176,105.88726792415544,-12.062843988803678,-21.49895509991472,96.58701935519912,94.79259202585436,1.7944273293447566,2.691649551566976,2021-11-09,5.2686138066778625,125.96742252513523,13.928729321999292,125.96742252513523,20.98,20.98,0.0,0.0,20.98,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.9941954594266154,0.3079136940556213,21.380000000000006,,0.0,20.98,0.0,1,0.0,1,1,1,3,0.0,0.0
-6.0,20,,36.53333333333334,40.10909090909091,122.2,0.0,101.4,0.0,Fri 11-12 11-12,A,15 (I-A),UCLA,"L, 86-77 OT",73,105.4,49.3,9.6,23.3,22.1,117.7,53.9,19.2,37.1,29.7,23.0,3.0,140.0,131.1,140.0,134.06666666666666,136.76363636363635,98.5,95.6,97.53333333333332,96.65454545454544,20211112,113.1,92.9,20.19999999999999,114.5,89.5,25.0,113.9,90.9,23.02,67.9,4.810647120358993,135.80404838296744,67.32048364153628,7.559497801115285,143.31735926595798,-3.4019558397907304,143.31735926595798,7.559497801115285,143.31735926595798,-3.4019558397907304,152.8674096452989,112.3,88.3,23.97,69.7,113.1,92.9,20.19999999999999,114.5,89.5,25.0,-3.4019558397907304,152.8674096452989,0,95.67687871442658,102.26615257251392,-6.5892738580873385,-10.17139813969234,108.47320863996624,99.4112047523966,9.062003887569645,10.526959216727867,2021-11-12,14.891969244784867,142.4540761261792,15.822558936272436,142.4540761261792,-3.0199999999999996,17.96,20.98,20.98,-3.0199999999999996,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.07805411029002407,13.513333333333339,,21.380000000000006,8.98,20.98,1,1.0,-1,1,1,1,3.0,0.0
-10.5,15,27.03333333333333,29.65555555555556,35.707438016528926,141.6,134.6,125.7,107.56666666666666,Tue 11-16 11-16,H,217 (Ⅳ),Howard,"W, 100-81",67,149.8,69.8,12.0,34.8,49.1,121.3,67.9,21.0,20.0,24.5,38.0,-29.5,143.0,136.35,131.1,136.57777777777778,137.64297520661154,112.1,98.5,106.92222222222222,101.93553719008264,20211116,113.6,93.3,20.3,99.4,108.6,-9.199999999999989,114.5,92.0,22.5,67.1,-23.838991523505726,141.69643104169245,67.29089615931721,-25.293919612791626,149.61992220379256,0.31485967315021285,149.61992220379256,-25.293919612791626,149.61992220379256,0.31485967315021285,164.8697725794215,98.4,105.0,-6.58,70.5,113.6,93.3,20.3,99.4,108.6,-9.199999999999989,0.2475144602941672,164.94100804597224,0,95.76835633223064,98.40558467805408,-2.637228345823445,-2.919713735307325,89.05961149184976,107.15720491745785,-18.097593425608082,-16.790602396216208,2021-11-16,-14.005271895651298,131.49353524401764,-11.03230490059726,131.49353524401764,-7.5,10.46,19.973333333333336,17.96,-9.513333333333335,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.9975192575442907,0.908871099760896,7.1555555555555586,4.533333333333331,13.513333333333339,3.486666666666668,8.98,1,1.0,-1,1,1,1,1.0,3.0
16.0,50,29.199999999999992,36.73703703703704,38.46972201352367,120.8,128.20000000000002,69.9,99.0,Sat 11-20 11-20,N,13 (I-A),Tennessee,"W, 71-53",68,103.8,43.3,10.2,34.1,23.9,77.5,37.7,26.3,30.8,22.8,-18.0,-2.0,142.0,128.575,136.35,131.31851851851854,134.5806160781367,91.0,112.1,94.58148148148148,96.11089406461306,20211120,114.4,94.7,19.700000000000003,108.0,89.5,18.5,115.6,93.3,22.3,66.5,0.8321974989915191,135.95260282371922,66.97297297297297,-0.07686540271615172,140.46054269194568,-0.05564485111737377,140.46054269194568,-0.07686540271615172,140.46054269194568,-0.05564485111737377,163.12482173411854,110.0,87.7,22.23,70.8,114.4,94.7,19.700000000000003,108.0,89.5,18.5,-0.028522949528023003,162.909578988931,0,113.1140379628712,100.58922784303223,12.52481011983896,11.615263331069016,99.1166995086934,88.69506431083289,10.42163519786051,9.427004049363806,2021-11-20,-0.4295170186887134,137.27837775747923,-1.465542297315011,137.27837775747923,27.7,38.16,16.802222222222227,10.46,21.35777777777777,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.5755320005597261,0.5163147354881119,14.43703703703704,6.8999999999999915,7.1555555555555586,9.54,3.486666666666668,1,1.0,1,1,1,3,1.0,1.0
-3.0,24,30.366666666666664,32.59135802469137,35.89340892015573,130.3,130.9,106.0,100.53333333333336,Sun 11-21 11-21,N,8 (I-A),Purdue,"L, 80-74",60,122.6,56.0,6.6,27.8,29.3,132.5,61.8,18.2,42.9,25.5,13.0,3.0,141.0,129.4375,128.575,130.97901234567905,133.8023222457482,98.5,91.0,98.38765432098766,97.9089133255925,20211121,114.4,94.7,19.700000000000003,113.3,89.2,24.099999999999994,115.6,91.7,23.88,66.4,1.982227330488385,138.17883222521817,65.92773826458038,3.5486667085624504,141.49239736849185,2.6907300754677874,141.49239736849185,3.5486667085624504,141.49239736849185,2.6907300754677874,161.49726018144617,116.5,89.8,26.67,69.8,114.4,94.7,19.700000000000003,113.3,89.2,24.099999999999994,2.4462565805960863,160.9675506221716,0,110.7787622607115,104.2248552357035,6.553907025008002,4.705125945734733,116.37072310737702,94.83056011055572,21.540162996821294,29.504189942056325,2021-11-21,10.973267830856713,152.98228198909666,16.349462003560674,152.98228198909666,0.120000000000001,38.28,23.921481481481486,38.16,14.358518518518515,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.14799458659747555,8.711358024691368,6.486666666666665,14.43703703703704,7.656000000000002,9.54,1,1.0,1,1,1,3,3.0,1.0
7.5,41,38.76666666666667,35.427572016460914,36.84006184376378,109.7,120.26666666666668,68.6,81.5,Sun 11-28 11-28,A,238 (Ⅳ),La Salle,"W, 72-46",66,108.5,52.6,21.1,36.1,25.9,69.3,30.9,16.6,15.9,29.1,-20.5,-18.5,138.5,119.56875,129.4375,123.8860082304527,129.42008183743033,83.55,98.5,88.45843621399177,92.58001999366658,20211128,117.6,95.5,22.099999999999994,97.1,101.1,-4.0,117.8,94.4,23.44,64.1,-13.729410377513602,132.7308986912958,63.188193456614506,-13.130233926208994,136.819323000863,-18.80989092143962,136.819323000863,-13.130233926208994,136.819323000863,-18.80989092143962,138.71165969237475,97.5,101.7,-4.2,69.3,117.6,95.5,22.099999999999994,97.1,101.1,-4.0,-18.56750284005048,139.02623798487042,0,109.91236345303231,102.20298663500806,7.7093768180242535,6.7470008108352095,87.14042133626627,97.65321492721448,-10.512793590948206,-14.988339724085185,2021-11-28,-8.287928886298133,127.08125223869591,-12.037805353337113,127.08125223869591,17.56,55.84,28.707654320987658,38.28,27.132345679012346,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9609573050315723,0.7850394166820731,11.987572016460913,15.326666666666672,8.711358024691368,9.306666666666668,7.656000000000002,1,1.0,1,1,1,3,3.0,3.0
-3.5,25,30.366666666666674,32.185048010973944,34.814596053988545,114.5,118.16666666666669,88.8,87.8,Wed 12-01 12-01,A,205 (Ⅲ),Penn,"W, 71-56",62,115.2,52.6,14.6,36.4,29.8,90.8,50.0,16.2,14.7,21.6,-11.0,-18.5,138.0,117.034375,119.56875,120.7573388203018,126.70733968517028,86.175,83.55,88.57229080932785,91.89274363118174,20211201,118.2,94.5,23.700000000000003,99.1,102.9,-3.8000000000000114,118.2,93.9,24.37,64.3,-14.100033363278008,137.48877096517475,62.65362731152204,-14.12473922480175,138.0152953273007,-16.379118536758273,138.0152953273007,-14.12473922480175,138.0152953273007,-16.379118536758273,137.0476123314645,102.5,105.8,-3.36,68.5,118.2,94.5,23.700000000000003,99.1,102.9,-3.8000000000000114,-19.72851927782847,140.40275693220732,0,109.0861229510952,100.30807983191542,8.778043119179785,7.304673296612746,98.05318764830018,99.45382986659492,-1.4006422182947347,2.682339741390664,2021-12-01,-2.7954601768662712,132.91136110740837,-1.0541569110642826,132.91136110740837,0.629999999999999,56.47,37.75176954732511,55.84,18.718230452674888,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9609573050315723,0.6049706167905352,7.815048010973943,5.996666666666673,11.987572016460913,8.067142857142855,9.306666666666668,1,1.0,1,1,1,3,3.0,3.0
7.0,36,34.26666666666667,33.45669867398263,35.030124044172446,120.3,114.83333333333331,84.3,80.56666666666666,Sat 12-04 12-04,H,134 (Ⅲ),Saint Joseph's,"W, 81-52",66,123.2,65.1,19.8,28.0,24.5,79.1,42.2,22.8,25.6,12.1,-7.0,-22.0,140.0,118.6671875,117.034375,120.60489254686787,125.54236883332112,85.2375,86.175,87.14819387288524,90.5122447891487,20211204,118.2,94.2,24.0,101.1,101.9,-0.8000000000000114,118.0,93.4,24.54,63.6,-21.924248645998873,138.04277606623128,64.32375533428166,-20.625458498571852,142.830445933101,-25.844451609056346,142.830445933101,-20.625458498571852,142.830445933101,-25.844451609056346,141.5821834076036,99.9,103.0,-3.15,71.1,118.2,94.2,24.0,101.1,101.9,-0.8000000000000114,-24.342630953478235,143.77576535165687,0,109.90714270467676,98.11983692638424,11.78730577829252,11.044487102410828,96.45929325881411,100.6386729736882,-4.179379714874088,-3.47895620663586,2021-12-04,-14.32966089152196,135.77693337285075,-11.211219359748107,135.77693337285075,11.46,67.93,43.99117969821674,56.47,23.938820301783267,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9819250838115705,0.9138309750101021,8.91669867398263,9.726666666666674,7.815048010973943,8.49125,8.067142857142855,1,1.0,1,1,1,3,3.0,3.0
5.5,21,27.666666666666668,29.404465782655087,32.53373785432291,100.8,111.86666666666667,79.5,84.2,Tue 12-07 12-07,N,60 (Ⅱ),Syracuse,"W, 67-53",63,106.4,40.9,15.9,51.9,7.8,84.1,40.2,17.5,26.8,26.8,-27.0,-8.5,147.0,109.73359375,118.6671875,114.00326169791192,121.04375631817182,82.36875,85.2375,84.59879591525683,88.51001846384892,20211207,118.6,93.6,25.0,112.7,101.9,10.799999999999995,118.3,93.1,25.2,63.3,-8.87214059701492,141.04468208955223,63.3,-9.984207562189056,147.0650863681592,-17.274860014776113,147.0650863681592,-9.984207562189056,147.0650863681592,-17.274860014776113,138.82810905692537,112.7,100.6,12.14,70.3,118.6,93.6,25.0,112.7,101.9,10.799999999999995,-14.506270054447755,150.60564254131341,0,107.38350472274485,95.59453631002592,11.78896841271893,10.773697759686067,107.01193520105792,101.6628843919122,5.349050809145723,2.7049090217033545,2021-12-07,-4.464833902299915,137.4007718196121,-5.107543271143058,137.4007718196121,-4.199999999999999,63.730000000000004,51.97078646547783,67.93,11.759213534522175,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.790893043407255,0.6646626767465924,4.204465782655088,2.4666666666666686,8.91669867398263,7.08111111111111,8.49125,1,1.0,1,1,1,3,3.0,3.0
-16.0,-9,15.833333333333334,16.336310521770063,24.83669460808238,70.4,97.16666666666669,80.2,81.33333333333333,Sun 12-12 12-12,A,5 (I-A),Baylor,"L, 57-36",60,60.0,27.8,21.7,27.3,18.5,94.9,44.6,18.3,30.3,12.5,-44.0,5.0,137.0,90.066796875,109.73359375,99.46884113194128,111.83580062395876,81.28437500000001,82.36875,83.13253061017123,86.99910601587638,20211212,117.5,92.3,25.200000000000003,115.8,91.4,24.39999999999999,117.8,91.9,25.9,62.9,4.973466626134069,129.29288018545745,61.28947368421053,3.4561058648839946,134.958394189105,3.6030114229341743,134.958394189105,3.4561058648839946,134.958394189105,3.6030114229341743,124.30673298210665,116.5,89.0,27.52,68.5,117.5,92.3,25.200000000000003,115.8,91.4,24.39999999999999,2.809657340218843,127.20501657655124,0,102.68715025677498,96.36460396839372,6.322546288381261,6.40383474940226,104.80170023755596,85.80879059417978,18.99290964337618,24.131804763130518,2021-12-12,11.445409004378867,119.33936833581421,12.843496637873344,119.33936833581421,-34.9,28.830000000000005,55.890524310318554,63.730000000000004,-27.06052431031855,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.31696934194067294,0.13784799283054805,-9.563689478229936,-10.066666666666665,4.204465782655088,2.882999999999999,7.08111111111111,-1,1.0,-1,1,1,-1,3.0,3.0
