ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.0,25,,25.0,25.0,106.0,0.0,81.0,0.0,Tue 11-09 11-09,H,350 (Ⅳ),Maine,"W, 82-47",68,120.8,59.8,11.8,27.3,7.6,69.2,36.1,28.0,33.3,4.9,-2.5,-27.0,131.5,106.0,0.0,106.0,106.0,81.0,0.0,81.0,81.0,20211109,107.1,95.2,11.899999999999991,93.8,103.5,-9.700000000000005,109.2,92.2,16.95,69.5,-26.226030382008773,130.5389384397808,67.91820768136559,-18.894762380091016,139.68945065432908,-36.973721163538805,139.68945065432908,-18.894762380091016,139.68945065432908,-36.973721163538805,118.29091025465726,86.1,103.3,-17.24,68.7,107.1,95.2,11.899999999999991,93.8,103.5,-9.700000000000005,-36.973721163538805,118.29091025465726,0,96.54230935451892,95.35799974735598,1.1843096071629446,-1.2518015039481454,98.11063451554892,104.59134632002144,-6.48071180447252,-7.916822915583566,2021-11-09,-8.951542042891319,135.50711306487563,-6.341292584193319,135.50711306487563,8.05,8.05,0.0,0.0,8.05,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.9949360047253046,0.8030393957299844,8.05,,0.0,8.05,0.0,1,0.0,1,1,1,3,0.0,0.0
9.0,39,,29.8,27.618181818181817,134.7,0.0,95.3,0.0,Fri 11-12 11-12,A,168 (Ⅲ),Navy,"W, 77-57",64,121.2,57.4,14.2,26.7,35.2,89.7,42.2,15.7,20.6,37.3,-0.5,-11.0,134.5,120.35,106.0,115.56666666666666,111.2181818181818,88.15,81.0,85.76666666666668,83.6,20211112,105.0,92.0,13.0,101.3,98.7,2.5999999999999943,108.6,91.6,16.95,69.5,-7.371118548911419,133.96220278678354,68.70910384068279,-3.4684595783553505,138.30650537746044,1.7052964140526328,138.30650537746044,-3.4684595783553505,138.30650537746044,1.7052964140526328,121.05499417533953,98.3,97.9,0.43,69.5,105.0,92.0,13.0,101.3,98.7,2.5999999999999943,1.7052964140526328,121.05499417533953,0,109.22796281610988,107.12546688857114,2.1024959275387403,3.1501312947221933,101.77183981076126,95.08472964120696,6.687110169554302,0.6572203527486312,2021-11-12,7.828076456534717,149.9096331240746,0.24762210052134037,149.9096331240746,22.05,30.1,8.05,8.05,22.05,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.8525929209684728,0.22797536143155384,12.850000000000001,,8.05,15.05,8.05,1,1.0,1,1,1,3,3.0,0.0
5.5,21,28.7,27.1,26.542148760330576,87.5,109.4,65.8,80.7,Mon 11-15 11-15,H,288 (Ⅳ),Radford,"W, 65-39",68,94.9,51.7,21.9,21.9,10.3,56.9,30.0,26.3,17.1,30.0,-32.0,-20.5,136.0,103.925,120.35,106.21111111111112,106.90578512396692,76.975,88.15,79.11111111111111,80.36363636363636,20211115,106.6,91.7,14.899999999999991,95.6,104.9,-9.300000000000011,109.9,91.8,18.13,68.3,-20.841443854569754,133.97909615431686,66.84267425320057,-20.3778534079471,137.14017574190672,-40.91496075880249,137.14017574190672,-20.3778534079471,137.14017574190672,-40.91496075880249,144.29185731110795,95.3,103.0,-7.68,68.8,106.6,91.7,14.899999999999991,95.6,104.9,-9.300000000000011,-41.028244551782805,144.29791123153518,0,95.83718561253168,98.31272039788958,-2.475534785357894,-3.068836189432458,110.74141700721827,98.35571975620527,12.385697251013,13.63599593982367,2021-11-15,6.114771229221063,138.8943384784771,9.19547443523625,138.8943384784771,2.870000000000001,32.97,15.400000000000002,30.1,17.569999999999997,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.9745535036187463,0.2801623905928705,8.970000000000002,10.57,12.850000000000001,10.989999999999998,15.05,1,1.0,1,1,1,3,3.0,3.0
9.5,16,25.7,23.4,24.625394440270476,111.9,111.36666666666667,95.9,85.66666666666667,Thu 11-18 11-18,H,317 (Ⅳ),St. Francis PA,"W, 85-55",67,126.2,57.5,11.9,33.3,33.3,81.6,38.1,13.4,23.8,17.5,1.5,-20.5,138.5,107.9125,103.925,108.1074074074074,107.81382419233655,86.4375,76.975,84.70740740740742,83.18842975206611,20211118,105.3,90.2,15.099999999999994,94.3,103.6,-9.299999999999995,108.8,90.5,18.37,68.5,-21.08941018243948,140.69680111082138,70.35135135135137,-21.21809098547328,140.2826865725924,-30.37375564651523,140.2826865725924,-21.21809098547328,140.2826865725924,-30.37375564651523,131.69975613003635,97.1,103.3,-6.17,72.2,105.3,90.2,15.099999999999994,94.3,103.6,-9.299999999999995,-30.237276592580283,131.4995640412633,0,102.28808345547183,88.61058210937995,13.677501346091887,16.004415317330768,99.57458083391217,101.7619954368962,-2.1874146029840347,-2.335823773995745,2021-11-18,-15.29454245848374,138.8035088850306,-15.007068423714912,138.8035088850306,-2.370000000000001,30.599999999999998,21.256666666666668,32.97,9.34333333333333,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.9745535036187463,0.9273897749950415,5.029999999999998,7.329999999999998,8.970000000000002,7.649999999999999,10.989999999999998,1,1.0,1,1,1,3,3.0,3.0
10.0,27,21.66666666666667,24.700000000000006,25.11168636022129,111.9,103.76666666666668,84.6,82.1,Sun 11-21 11-21,H,307 (Ⅳ),Merrimack,"W, 72-43",59,121.3,66.3,20.2,29.2,24.5,72.5,43.9,25.3,16.7,0.0,-7.0,-19.0,122.0,109.90625,107.9125,109.37160493827162,108.55676524827535,85.51875,86.4375,84.67160493827161,83.44507888805408,20211121,105.5,90.1,15.400000000000006,89.7,91.5,-1.7999999999999972,109.5,90.6,18.92,67.8,-17.581985009243773,119.72996953076668,64.03869132290185,-13.590001296636345,116.85031881810504,-21.7265183155821,116.85031881810504,-13.590001296636345,116.85031881810504,-21.7265183155821,103.07749815753125,91.0,95.7,-4.75,66.4,105.5,90.1,15.400000000000006,89.7,91.5,-1.7999999999999972,-21.860112442355756,103.02786845354177,0,110.41235368131112,91.7982266049497,18.614127076361413,18.443509795328676,86.70502228291238,92.86073939175408,-6.155717108841699,2.182835968519358,2021-11-21,-18.425127284046532,120.11899560389844,-12.391129862544247,120.11899560389844,8.079999999999998,38.67999999999999,24.371111111111112,30.599999999999998,14.30888888888888,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.9648151676951044,0.9603510160386737,5.780000000000005,2.7466666666666697,5.029999999999998,7.736000000000004,7.649999999999999,1,1.0,1,1,1,3,3.0,3.0
-4.5,3,15.533333333333337,17.56666666666667,21.14592520381742,95.3,106.36666666666667,92.0,90.83333333333331,Wed 11-24 11-24,N,33 (I),Memphis,"L, 69-61",70,87.2,40.2,18.6,23.1,39.3,98.6,43.4,20.0,38.5,32.8,-10.0,3.5,140.0,102.603125,109.90625,104.68106995884776,106.14644429404348,88.759375,85.51875,87.11440329218108,85.00051909022605,20211124,108.0,90.9,17.099999999999994,108.9,86.7,22.200000000000003,110.6,90.7,19.98,66.5,1.1490624714266602,137.51985886782307,71.13513513513514,3.896247035094788,140.17647615974187,-1.2113705927443899,140.17647615974187,3.896247035094788,140.17647615974187,-1.2113705927443899,127.17054681653357,108.0,87.1,20.9,75.2,108.0,90.9,17.099999999999994,108.9,86.7,22.200000000000003,-1.3897252043350852,126.97890651163642,0,109.81302270533324,90.09497509058934,19.718047614743895,19.52398996010318,104.52818008842266,86.7160022906994,17.812177797723265,17.919421055095505,2021-11-24,-0.7646991328291222,137.8288755065384,-1.1414122589135474,137.8288755065384,-16.98,21.699999999999992,29.140740740740743,38.67999999999999,-7.44074074074075,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.36944134018176367,0.5290286998346585,-2.4133333333333304,-4.446666666666664,5.780000000000005,3.616666666666667,7.736000000000004,-1,1.0,-1,1,1,-1,3.0,3.0
-6.5,6,12.433333333333335,13.944444444444448,18.51939334857789,97.8,101.66666666666669,91.1,89.23333333333333,Fri 11-26 11-26,N,41 (I-A),Xavier,"L, 59-58",62,93.9,48.1,13.0,15.2,18.5,95.5,58.7,22.7,8.0,17.4,-17.5,-5.5,134.5,100.2015625,102.603125,102.38737997256516,104.62890896785376,89.9296875,88.759375,88.44293552812073,86.10951561927585,20211126,107.9,90.7,17.200000000000003,106.9,92.4,14.5,110.4,91.0,19.46,65.9,-2.3699409048640234,131.51114082843253,65.24381223328592,-1.8341837062199602,131.58235723176438,-2.9170844471364976,131.58235723176438,-1.8341837062199602,131.58235723176438,-2.9170844471364976,122.06995740075158,109.3,93.4,15.97,69.6,107.9,90.7,17.200000000000003,106.9,92.4,14.5,-3.189247328459953,120.85993509022468,0,109.76107399080088,89.91407187312173,19.847002117679153,18.488091222872956,99.55905392730882,91.36795589968467,8.19109802762415,14.554718161333463,2021-11-26,-7.2053587318762595,126.9964958303764,-2.566282534705465,126.9964958303764,-13.46,8.239999999999991,26.660493827160494,21.699999999999992,-18.420493827160502,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,-3,0.6997944856925475,0.7537142692763279,-5.515555555555553,-7.0266666666666655,-2.4133333333333304,1.1771428571428615,3.616666666666667,-1,-1.0,-1,1,1,-1,-1.0,3.0
4.0,12,7.400000000000001,13.362962962962968,17.370412739745547,97.9,97.0,85.7,89.60000000000001,Wed 12-01 12-01,A,90 (Ⅱ),Maryland,"W, 62-58",64,96.2,45.8,12.4,26.8,20.0,90.0,42.7,23.3,29.0,20.0,-12.0,0.0,132.0,99.05078125,100.2015625,100.8915866483768,103.40547097369851,87.81484375,89.9296875,87.52862368541382,86.03505823395297,20211201,108.4,91.3,17.10000000000001,104.7,94.3,10.400000000000006,110.7,91.3,19.35,65.2,0.43137323368767966,128.44423967956874,63.99431009957326,-0.7175026813421113,129.79894107967493,-3.2178432250432527,129.79894107967493,-0.7175026813421113,129.79894107967493,-3.2178432250432527,114.96580043260637,107.8,93.4,14.45,69.0,108.4,91.3,17.10000000000001,104.7,94.3,10.400000000000006,-5.380723235102982,118.65888301227712,0,107.91953755548997,89.76110368110369,18.158433874386276,16.824619150045773,98.36894571566997,95.58840074973963,2.780544965930332,-3.9348465142427593,2021-12-01,-6.240674401738353,125.47259447679309,-11.377554054427591,125.47259447679309,-7.350000000000001,0.8899999999999899,20.520329218106994,8.239999999999991,-19.630329218107004,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5,0.723860959417645,-5.987037037037034,-11.95,-5.515555555555553,0.1112499999999983,1.1771428571428615,-1,-1.0,-1,1,1,-1,-1.0,-1.0
-27.5,-10,2.6666666666666665,5.275308641975311,12.230337696155445,110.1,101.93333333333332,121.0,99.26666666666668,Sat 12-04 12-04,H,35 (Ⅱ),Wake Forest,"L, 80-61",61,100.4,48.2,19.8,34.4,14.3,131.7,70.2,16.5,33.3,23.1,6.0,-8.5,135.0,104.575390625,99.05078125,103.96105776558454,104.62265806938969,104.407421875,87.81484375,98.6857491236092,92.39232037323424,20211204,107.9,90.6,17.30000000000001,106.1,96.5,9.599999999999994,110.1,90.3,19.88,64.8,-10.955569266924691,131.5211012784893,65.53741109530583,-9.14306700028905,134.7477275680197,-4.108981571180689,134.7477275680197,-9.14306700028905,134.7477275680197,-4.108981571180689,126.47168829888265,105.3,96.5,8.76,71.1,107.9,90.6,17.30000000000001,106.1,96.5,9.599999999999994,-8.217606015856493,124.74561924101273,0,107.540328630802,92.80553131042424,14.734797320377751,11.097923729178106,109.3916814024269,94.38536843381476,15.006312968612136,12.509136848784172,2021-12-04,-3.807274553211627,136.46126895766406,-1.126775355780424,136.46126895766406,-29.88,-28.99000000000001,13.976886145404661,0.8899999999999899,-42.96688614540467,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.790893043407255,0.641547239541642,-14.604691358024688,-17.21333333333333,-5.987037037037034,-3.221111111111112,0.1112499999999983,-1,-1.0,-1,-1,1,-3,-1.0,-1.0
15.5,29,10.266666666666666,13.350205761316872,15.370276296854456,121.2,109.73333333333332,91.7,99.46666666666664,Wed 12-08 12-08,H,197 (Ⅳ),Cornell,"W, 93-60",70,132.2,63.5,17.1,41.4,27.0,85.3,46.2,22.7,17.6,30.8,5.0,-17.5,148.0,112.8876953125,104.575390625,109.70737184372302,107.63672023859156,98.0537109375,104.407421875,96.35716608240617,92.2664439417371,20211208,108.1,93.0,15.099999999999994,102.2,106.4,-4.200000000000003,110.1,93.2,16.87,63.5,-18.05212840213256,140.0391420471351,66.39046941678521,-17.596505611144096,143.35785621340324,-3.9562079818128075,143.35785621340324,-17.596505611144096,143.35785621340324,-3.9562079818128075,144.30656552622145,101.9,105.7,-3.85,73.5,108.1,93.0,15.099999999999994,102.2,106.4,-4.200000000000003,-11.373838061687286,140.62575703521352,0,108.35273799071442,91.06532420511488,17.28741378559954,15.605483256096267,107.86041595949992,101.59109357525108,6.269322384248838,8.955563657732165,2021-12-08,-12.036737545213143,142.00235586262022,-6.502132701619445,142.00235586262022,12.129999999999999,-16.86000000000001,-0.34540923639689325,-28.99000000000001,-16.514590763603117,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9522096477271853,0.8741760507301529,-3.5197942386831294,-6.603333333333335,-14.604691358024688,-1.686,-3.221111111111112,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
