ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-2.0,18,,18.8,18.8,107.1,0.0,88.3,0.0,Tue 11-09 11-09,H,317 (Ⅳ),St. Francis NY,"W, 81-58",71,113.7,51.5,16.8,37.5,27.3,81.4,43.7,16.8,15.4,6.3,3.0,-25.0,136.0,107.1,0.0,107.1,107.1,88.3,0.0,88.3,88.3,20211109,102.6,92.4,10.199999999999989,101.7,106.4,-4.700000000000003,105.2,89.5,15.76,68.1,-25.245500820178137,139.8759342444807,71.4904694167852,-15.273162245276865,148.88400685386463,-28.337245095224336,148.88400685386463,-15.273162245276865,148.88400685386463,-28.337245095224336,136.78974864835658,92.6,107.3,-14.66,73.8,102.6,92.4,10.199999999999989,101.7,106.4,-4.700000000000003,-28.337245095224336,136.78974864835658,0,96.29070867558744,96.82031205357424,-0.5296033779868026,-1.2990478224312774,101.3729646288309,101.43769035561776,-0.06472572678686106,-3.167503504564622,2021-11-09,-3.6624202625420423,143.2148527055598,-3.2927966625259586,143.2148527055598,2.24,2.24,0.0,0.0,2.24,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9913660280019122,0.6363809927230752,3.040000000000001,,0.0,2.24,0.0,1,0.0,1,1,1,3,0.0,0.0
16.5,35,,24.333333333333336,21.818181818181817,102.5,0.0,67.1,0.0,Fri 11-12 11-12,H,335 (Ⅳ),Green Bay,"W, 72-34",63,115.1,41.4,11.2,45.0,32.8,54.4,26.5,20.8,22.0,29.4,-26.0,-21.5,132.0,104.8,107.1,105.56666666666666,106.26363636363637,77.69999999999999,88.3,81.23333333333333,84.44545454545454,20211112,100.5,89.3,11.200000000000005,95.3,108.4,-13.100000000000009,104.7,88.9,15.76,68.0,-22.357524878567155,131.47896306431045,68.0,-20.391960959721402,135.6470640002786,-22.69802911352038,135.6470640002786,-20.391960959721402,135.6470640002786,-22.69802911352038,147.92738330391242,93.3,105.6,-12.31,70.3,100.5,89.3,11.200000000000005,95.3,108.4,-13.100000000000009,-22.69802911352038,147.92738330391242,0,0.0,0.0,0.0,0.0,94.4021978146769,96.01217204877632,-1.6099742340994254,-4.513699808808445,2021-11-12,0.0,0.0,,0.0,19.240000000000002,21.480000000000004,2.24,2.24,19.240000000000002,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,-3,0.9797013292561028,0.5,8.573333333333336,,3.040000000000001,10.74,2.24,1,1.0,1,1,1,3,3.0,0.0
-10.5,0,18.366666666666664,16.522222222222222,18.014876033057845,91.3,100.3,90.4,81.93333333333334,Mon 11-15 11-15,H,36 (Ⅱ),Providence,"L, 63-58",66,88.5,36.9,10.7,25.6,27.9,96.1,48.1,22.9,33.3,35.2,-9.0,-5.5,130.0,98.05,104.8,100.8111111111111,103.54297520661154,84.05,77.69999999999999,84.28888888888889,85.52809917355371,20211115,100.5,88.5,12.0,105.3,93.5,11.799999999999995,105.0,88.4,16.55,67.0,-8.163451258719753,129.8516342154196,67.7624466571835,-4.177122836578931,129.95698345127312,-19.822599780997912,129.95698345127312,-4.177122836578931,129.95698345127312,-19.822599780997912,128.1061692639886,105.0,94.8,10.21,71.1,100.5,88.5,12.0,105.3,93.5,11.799999999999995,-19.947120660920838,127.98378704941368,0,95.48207524460838,97.1952220191006,-1.7131467744922162,-4.89548282232025,92.14069297712167,92.4062255109873,-0.26553253386562403,0.1192234730341831,2021-11-15,-2.5356237111664015,123.41044850185943,1.5460503147156004,123.41044850185943,-16.55,4.930000000000003,8.653333333333334,21.480000000000004,-3.723333333333331,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.5954115313731698,-0.027777777777778567,1.8166666666666629,8.573333333333336,1.6433333333333344,10.74,-1,1.0,-1,1,1,-1,3.0,3.0
8.0,21,19.166666666666668,18.08148148148148,18.593989481592786,107.4,100.4,86.2,81.23333333333333,Mon 11-22 11-22,N,42 (I),Texas A&M,"W, 69-58",66,104.0,46.6,16.6,31.4,29.3,87.4,49.0,24.1,16.7,28.6,6.0,-3.0,121.0,102.725,98.05,103.0074074074074,104.24425244177309,85.125,84.05,84.92592592592594,85.6502629601803,20211122,99.9,88.6,11.300000000000011,101.4,95.6,5.800000000000011,104.4,89.0,15.35,66.5,-3.064907785397345,118.19148785800726,62.62162162162162,-3.6419588543767745,119.17693069786202,-4.6015588346483804,119.17693069786202,-3.6419588543767745,119.17693069786202,-4.6015588346483804,107.64630992788491,103.8,93.2,10.57,66.2,99.9,88.6,11.300000000000011,101.4,95.6,5.800000000000011,-4.512198210533818,107.59046493152883,0,100.17700173165636,85.2032470118781,14.973754719778256,19.514189500283702,96.8224653889153,94.77573671531027,2.046728673605031,4.794337573646566,2021-11-22,-8.003826404644201,114.09373334389585,-9.217809976761686,114.09373334389585,5.65,10.580000000000004,7.4122222222222245,4.930000000000003,3.167777777777779,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.6124515189020077,0.7770503182190858,2.731481481481479,3.816666666666668,-0.027777777777778567,2.6449999999999996,1.6433333333333344,1,-1.0,1,1,1,3,-1.0,3.0
10.0,45,22.366666666666664,27.05432098765432,23.395082303121367,125.8,108.16666666666669,80.8,85.80000000000001,Tue 11-23 11-23,N,2 (I-A),Houston,"W, 65-63",63,103.0,54.1,14.3,7.1,30.6,99.8,50.9,19.0,27.8,27.8,6.0,8.0,122.0,114.2625,102.725,110.60493827160494,108.1634792705416,82.9625,85.125,83.55061728395063,84.76839696742023,20211123,100.2,88.9,11.299999999999995,109.0,88.8,20.200000000000003,104.8,88.7,16.12,66.9,4.548518988556509,118.99158304239828,62.712802275960186,5.101944453267095,119.68880685703775,6.950962371153009,119.68880685703775,5.101944453267095,119.68880685703775,6.950962371153009,111.94848307206207,111.6,87.5,24.1,65.9,100.2,88.9,11.299999999999995,109.0,88.8,20.200000000000003,6.69750957292741,111.90529171056112,0,103.1155625283134,88.41015162478105,14.705410903532353,16.341879431458054,111.97601573056733,84.89748794304022,27.078527787527108,32.3559766639706,2021-11-23,7.376385692335461,120.11513064886417,10.042889133705614,120.11513064886417,28.88,39.46,8.46814814814815,10.580000000000004,30.991851851851848,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,3,0.22305842386064167,0.24117967266297047,10.93432098765432,6.246666666666663,2.731481481481479,7.892000000000003,2.6449999999999996,1,1.0,1,1,1,3,3.0,-1.0
3.5,21,29.3,25.269547325102884,23.086885520735663,108.0,113.73333333333332,86.3,84.43333333333332,Wed 11-24 11-24,N,16 (I-A),Saint Mary's,"W, 61-55",62,99.0,40.2,13.0,33.3,32.1,89.2,46.0,26.0,29.0,24.0,-2.0,-2.5,118.0,111.13125,114.2625,109.7366255144033,108.13375576680676,84.63125,82.9625,84.46707818930042,85.0468702460711,20211124,100.3,88.7,11.599999999999994,102.0,89.9,12.099999999999994,105.5,88.7,16.82,67.0,-0.010562731152198523,117.79406884779516,63.18776671408251,0.19737947672732759,117.17173506436521,-5.10749174813656,117.17173506436521,0.19737947672732759,117.17173506436521,-5.10749174813656,107.99955300401139,105.6,88.8,16.81,66.3,100.3,88.7,11.599999999999994,102.0,89.9,12.099999999999994,-5.951047484381227,112.14587634310101,0,102.66460846084384,90.01929775885691,12.64531070198693,13.99258874446438,100.08238117018516,90.77194045302603,9.310440717159125,10.049488094691926,2021-11-24,-2.008951112768095,118.88439864431086,-2.491557239879697,118.88439864431086,4.18,43.64,18.79876543209877,39.46,24.841234567901232,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.5940963859982835,0.5758659526184713,8.449547325102884,12.48,10.93432098765432,7.273333333333333,7.892000000000003,1,1.0,1,1,1,3,3.0,3.0
0.5,10,25.73333333333333,20.346364883401925,20.798360880601905,116.1,116.63333333333333,105.6,90.9,Wed 12-01 12-01,A,142 (Ⅲ),Georgia Tech,"W, 70-66",63,110.3,50.9,12.6,23.5,40.7,104.0,47.2,15.8,33.3,37.7,6.5,-3.5,129.5,113.615625,111.13125,111.85775034293552,109.58216380920554,95.115625,84.63125,91.5113854595336,88.78380292860362,20211201,103.9,89.6,14.300000000000011,103.2,95.3,7.900000000000006,107.1,89.4,17.69,66.2,-1.1455019928588186,128.58284328565276,65.3524893314367,-0.796994070731678,128.22978730428267,-11.039644479111908,128.22978730428267,-0.796994070731678,128.22978730428267,-11.039644479111908,124.38683507394884,106.6,95.8,10.84,69.4,103.9,89.6,14.300000000000011,103.2,95.3,7.900000000000006,-11.339028214515245,122.91378685387136,0,102.91786613400524,92.24488224436686,10.672983889638374,11.702801803732852,99.64533766863724,98.64703765259104,0.9983000160462012,-5.179102781615775,2021-12-01,-2.8101580696265955,129.48569671743587,-9.143187595898837,129.48569671743587,-7.690000000000001,35.95,27.079176954732514,43.64,8.870823045267489,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,-3,0.6305586598182363,0.6055095106404087,2.656364883401924,8.04333333333333,8.449547325102884,5.135714285714286,7.273333333333333,1,1.0,1,1,1,3,3.0,3.0
6.5,22,18.066666666666663,20.89757658893462,21.016840720492468,120.6,114.9,98.6,96.83333333333331,Sat 12-04 12-04,H,69 (Ⅱ),Marquette,"W, 89-76",76,117.5,59.0,14.5,21.9,37.7,100.3,51.6,17.2,20.0,29.5,27.0,-6.5,138.0,117.1078125,113.615625,114.77183356195704,111.58540675298634,96.8578125,95.115625,93.8742569730224,90.56856603249386,20211204,105.2,90.3,14.900000000000006,102.1,95.4,6.699999999999989,107.8,89.6,18.15,65.6,-9.459489502929891,135.75614301961755,69.51920341394026,-9.648117767261525,137.2196949519722,-12.591713737748938,137.2196949519722,-9.648117767261525,137.2196949519722,-12.591713737748938,135.88760390241782,104.8,94.7,10.06,74.5,105.2,90.3,14.900000000000006,102.1,95.4,6.699999999999989,-15.094470983200086,131.80582394344893,0,104.9092067288467,92.63977764993764,12.269429078909056,14.067353046296112,100.6795239010538,98.40491441186563,2.2746094891881654,-1.685302320778466,2021-12-04,-11.009420169586093,140.06568442108664,-13.018168865753537,140.06568442108664,3.8500000000000014,39.800000000000004,30.036117969821678,35.95,9.763882030178326,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.732057505466481,0.8527995803023702,2.7475765889346206,-0.0833333333333357,2.656364883401924,4.975000000000001,5.135714285714286,1,1.0,1,1,1,3,3.0,3.0
0.5,10,14.266666666666673,17.36505105928975,19.068324225857477,105.4,114.03333333333336,95.1,99.76666666666664,Wed 12-08 12-08,H,27 (Ⅱ),Indiana,"W, 64-59",63,101.0,39.5,6.3,26.8,29.0,93.1,42.7,14.2,31.8,21.0,-7.5,-4.5,130.5,111.25390625,117.1078125,111.6478890413047,110.46078734335244,95.97890625,96.8578125,94.28283798201494,91.39246311749496,20211208,106.7,91.6,15.100000000000009,106.5,89.5,17.0,109.0,90.6,18.31,65.9,-4.18357068047235,127.98752692318166,65.3375533428165,-2.242917237283848,129.33549190680867,-4.64564001089264,129.33549190680867,-2.242917237283848,129.33549190680867,-4.64564001089264,124.72969019851364,108.1,90.7,17.41,69.7,106.7,91.6,15.100000000000009,106.5,89.5,17.0,-4.066602404103095,119.8433291213722,0,106.69388751724355,91.99093883609406,14.702948681149493,16.221121480164825,100.1008064586744,89.38086960666969,10.719936852004707,14.694651822471306,2021-12-08,-5.714933768405238,125.68080819936904,-3.1096039586776385,125.68080819936904,-8.309999999999999,31.490000000000006,33.29074531321446,39.800000000000004,-1.8007453132144526,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,0.6658824291023754,0.7068753920167026,-0.9449489407102476,-4.043333333333326,2.7475765889346206,3.4988888888888887,4.975000000000001,-1,1.0,-1,1,1,-1,3.0,3.0
-13.0,-1,10.333333333333334,11.143367372859831,15.36499254842884,85.1,103.7,86.4,93.36666666666667,Sat 12-11 12-11,A,26 (I-A),Ohio St.,"L, 73-55",71,77.2,38.5,11.2,10.9,13.8,102.5,55.2,19.7,25.8,22.4,-6.0,5.0,134.0,98.176953125,111.25390625,102.79859269420314,105.84973509910654,91.189453125,95.97890625,91.6552253213433,90.48474255067772,20211211,107.2,91.8,15.400000000000006,116.1,98.2,17.89999999999999,109.2,90.6,18.6,65.6,4.053320967893747,130.76228854972663,62.80056899004267,4.669162921665972,136.64756206489017,2.8992837472466766,136.64756206489017,4.669162921665972,136.64756206489017,2.8992837472466766,139.5574966300217,115.8,95.5,20.33,67.3,107.2,91.8,15.400000000000006,116.1,98.2,17.89999999999999,0.29863239256947255,130.7743362822635,0,103.5765233428071,92.28283860020495,11.293684742602153,14.486352240956425,109.53001598710244,96.7970783074101,12.732937679692341,11.678607722226763,2021-12-11,4.16267290272031,129.85829777487052,0.22518081043277505,129.85829777487052,-19.6,11.890000000000004,32.690496875476306,31.490000000000006,-20.800496875476302,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.31696934194067294,0.34588837311596343,-7.45663262714017,-8.266666666666667,-0.9449489407102476,1.189,3.4988888888888887,-1,-1.0,-1,1,1,-1,-1.0,3.0
