ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-6.0,-8,,-8.199999999999989,-8.199999999999989,98.9,0.0,107.1,0.0,Fri 11-12 11-12,A,239 (Ⅳ),Marshall,"L, 96-88",89,99.4,49.3,19.2,21.4,41.8,108.4,58.7,23.7,23.5,42.9,24.0,2.0,160.0,98.9,0.0,98.9,98.9,107.1,0.0,107.1,107.1,20211112,99.5,94.2,5.299999999999997,102.5,98.5,4.0,103.0,97.0,6.05,72.9,4.199175158208632,157.564670362012,78.2923186344239,3.191691816955114,155.43950888620023,11.815483553163984,155.43950888620023,3.191691816955114,155.43950888620023,11.815483553163984,161.47305674579314,104.1,98.3,5.84,75.5,99.5,94.2,5.299999999999997,102.5,98.5,4.0,11.815483553163984,161.47305674579314,0,102.65788769803918,106.8438570851856,-4.185969387146429,-0.0829734931455697,0.0,0.0,0.0,0.0,2021-11-12,-0.0,0.0,,0.0,-14.05,-14.05,0.0,0.0,-14.05,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.4244679994402739,0.5,-14.24999999999999,,0.0,-14.05,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-27.5,-27,,-14.633333333333326,-11.7090909090909,76.5,0.0,104.0,0.0,Tue 11-16 11-16,A,12 (I-A),Purdue,"L, 96-52",75,69.5,34.7,20.1,14.0,23.7,128.3,60.4,22.7,52.8,31.3,-4.0,16.5,152.0,87.7,98.9,91.43333333333337,94.82727272727271,105.55,107.1,106.06666666666666,106.53636363636362,20211116,99.7,94.7,5.0,111.7,90.7,21.0,103.3,97.7,5.68,74.8,18.89343226687886,152.24508074040256,74.0551920341394,15.777727074479472,148.8382042001685,34.36154753861617,148.8382042001685,15.777727074479472,148.8382042001685,34.36154753861617,173.54316463407415,115.6,90.1,25.49,69.6,99.7,94.7,5.0,111.7,90.7,21.0,34.38072027600718,173.52087597842595,0,97.58553220753856,98.78706612134444,-1.201533913805875,-0.0455966264082582,101.97891157818884,96.52236744098482,5.45654413720402,5.201909484927128,2021-11-16,9.088436683483906,147.68741583565787,6.013055348158133,147.68741583565787,-32.68,-46.730000000000004,-14.05,-14.05,-32.68000000000001,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.05804156686932749,0.19336426880270652,-20.313333333333325,,-14.24999999999999,-23.365000000000002,-14.05,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-19.0,-21,-19.13333333333333,-16.988888888888887,-13.525619834710737,89.3,88.23333333333333,111.0,107.36666666666667,Mon 11-22 11-22,N,219 (Ⅳ),George Washington,"L, 74-63",69,90.9,37.7,18.8,37.2,27.7,106.8,52.5,14.4,32.4,31.1,-9.0,-8.0,146.0,88.5,87.7,90.72222222222224,93.82231404958677,108.275,105.55,107.71111111111112,107.3479338842975,20211122,98.5,96.1,2.4000000000000057,93.4,102.0,-8.599999999999994,102.9,98.4,4.57,74.3,-8.691177705781186,146.17581062992298,75.2512091038407,-8.2344408223463,146.22185726049696,2.9033499667849,146.22185726049696,-8.2344408223463,146.22185726049696,2.9033499667849,131.78099670212714,93.3,100.5,-7.12,71.2,98.5,96.1,2.4000000000000057,93.4,102.0,-8.599999999999994,2.8123558977415537,131.59610330579287,0,89.08614569669595,107.4411375947136,-18.354991898017644,-7.554329734858509,91.78019968130197,96.38998299030064,-4.609783308998672,-0.8236262802909209,2021-11-22,9.79250926735277,141.80386546064938,5.0649357307560905,141.80386546064938,-25.57,-72.30000000000001,-24.943333333333335,-46.730000000000004,-47.356666666666676,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7769415761393583,0.17550811966898294,-21.558888888888887,-23.70333333333333,-20.313333333333325,-24.1,-23.365000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.0,-2,-17.3,-12.225925925925926,-11.557325319308784,98.5,88.10000000000001,101.2,105.4,Tue 11-23 11-23,N,225 (Ⅳ),James Madison,"L, 78-76",75,100.9,57.1,23.9,23.1,30.4,103.5,47.1,13.3,34.2,22.9,0.5,1.0,153.5,93.5,88.5,93.31481481481484,94.67280240420736,104.7375,108.275,105.54074074074076,106.23012772351612,20211123,98.6,96.2,2.3999999999999915,100.5,99.0,1.5,102.2,99.4,2.77,73.1,-2.851425915656421,150.64682080578615,75.69957325746799,-0.7213303666588757,150.2153093140273,13.589355336210213,150.2153093140273,-0.7213303666588757,150.2153093140273,13.589355336210213,136.01742841494334,98.7,99.7,-0.95,72.8,98.6,96.2,2.3999999999999915,100.5,99.0,1.5,13.462275261357165,135.93552378156127,0,91.91618170343808,107.29771121226216,-15.381529508824073,-6.71224212025481,92.91079747673923,95.0466041003272,-2.1358066235879676,-4.370929565579848,2021-11-23,9.531108867915606,144.6173592793232,1.7723636125124642,144.6173592793232,-4.77,-77.07000000000001,-40.72888888888889,-72.30000000000001,-36.34111111111112,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.46206285593374585,0.18201185746139015,-14.995925925925926,-20.07,-21.558888888888887,-19.2675,-24.1,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-19.5,-8,-10.966666666666669,-10.983950617283952,-11.001447988525369,99.5,95.76666666666668,108.0,106.73333333333332,Wed 11-24 11-24,N,177 (Ⅲ),Long Beach St.,"L, 85-76",78,97.7,42.6,14.1,20.5,49.2,109.2,56.0,19.3,26.9,41.4,9.5,-10.5,151.5,96.5,93.5,95.37654320987656,95.55047469435146,106.36875,104.7375,106.36049382716052,106.55192268287684,20211124,97.8,97.6,0.2000000000000028,96.8,106.4,-9.600000000000009,102.1,99.7,2.37,72.8,-11.292214942357901,151.0178175976448,75.07823613086772,-7.349198904481867,152.26671331818858,1.449637222915293,152.26671331818858,-7.349198904481867,152.26671331818858,1.449637222915293,151.57888707245002,93.8,106.4,-12.58,72.5,97.8,97.6,0.2000000000000028,96.8,106.4,-9.600000000000009,1.817110764844339,151.3744647682781,0,90.55255809984396,107.75527136085672,-17.20271326101276,-6.467998962561793,98.54315874510011,106.40608355471667,-7.862924809616558,-10.6773464788312,2021-11-24,7.540642438003729,155.3367116583587,-3.160303867833562,155.3367116583587,-10.370000000000001,-87.44000000000001,-52.842592592592595,-77.07000000000001,-34.59740740740742,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8413447460685429,0.23633042190433007,-13.353950617283953,-13.33666666666667,-14.995925925925926,-17.488,-19.2675,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
9.0,19,2.900000000000001,-0.689300411522634,-5.383002899702571,131.8,109.93333333333334,111.9,107.03333333333336,Thu 12-02 12-02,A,203 (Ⅲ),Fort Wayne,"W, 86-73",67,129.0,74.0,21.0,29.4,19.2,109.5,47.5,12.0,22.2,26.7,7.5,-4.0,151.5,114.15,96.5,107.51769547325104,102.14129747719666,109.134375,106.36875,108.20699588477368,107.52430037689922,20211202,98.9,100.4,-1.5,101.2,107.2,-6.0,102.6,102.0,0.61,72.7,-2.227755560539407,152.91502134033513,71.76927453769561,1.025173637088912,152.34099976730027,7.334681401721145,152.34099976730027,1.025173637088912,152.34099976730027,7.334681401721145,143.81652022093766,100.6,108.9,-8.31,69.4,98.9,100.4,-1.5,101.2,107.2,-6.0,7.272233290700857,143.75975477991403,0,95.32497105235062,107.17960817579883,-11.854637123448214,-3.9958867686191386,95.76386851194631,110.3469922383502,-14.583123726403883,-17.248900946874663,2021-12-02,2.400087546548832,152.5276586829734,-7.715513663343209,152.5276586829734,18.39,-69.05000000000001,-64.37506172839507,-87.44000000000001,-4.674938271604944,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,-3,0.6483807083005341,0.40959777618177273,-1.2993004115226339,2.290000000000001,-13.353950617283953,-11.508333333333333,-17.488,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-7.5,-12,-0.1999999999999981,-4.459533607681756,-6.586093281574831,101.6,110.96666666666664,113.6,111.16666666666669,Sat 12-04 12-04,A,171 (Ⅲ),Cleveland St.,"L, 85-75",73,102.7,48.3,20.5,28.9,37.3,116.4,62.9,17.8,25.0,31.0,16.5,2.5,143.5,107.875,114.15,105.5451303155007,102.04287975407,111.3671875,109.134375,110.00466392318243,108.6289730356448,20211204,100.4,101.3,-0.8999999999999915,104.2,100.3,3.9000000000000057,103.6,102.3,1.25,72.0,3.4760832365803225,140.94807890778725,68.31294452347085,7.4367403456423915,144.42637109867485,9.929491296537128,144.42637109867485,7.4367403456423915,144.42637109867485,9.929491296537128,139.38440182396525,101.0,100.4,0.59,66.7,100.4,101.3,-0.8999999999999915,104.2,100.3,3.9000000000000057,10.135566156753052,139.57981825095837,0,96.75127746068812,108.73190068903192,-11.980623228343802,-4.264662335650179,95.2994259056694,100.00207424691855,-4.702648341249159,-5.145471396965494,2021-12-04,8.730989466220777,140.35004359157227,1.2210590891343003,140.35004359157227,-13.25,-82.30000000000001,-65.93337448559672,-69.05000000000001,-16.366625514403296,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,3,0.4059036140017165,0.20283917499333248,-5.709533607681756,-1.4499999999999982,-1.2993004115226339,-11.757142857142858,-11.508333333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-21.5,-28,-6.8666666666666645,-12.47302240512117,-10.570439957652134,77.7,103.7,106.2,110.56666666666668,Wed 12-15 12-15,H,133 (Ⅲ),Akron,"L, 66-48",61,78.4,40.2,16.3,17.6,23.5,107.8,54.6,19.6,31.0,18.5,-32.0,-3.5,146.0,92.7875,107.875,96.2634202103338,97.61690161696636,108.78359375,111.3671875,108.73644261545496,108.18734157461849,20211215,100.5,102.1,-1.5999999999999943,101.7,100.4,1.2999999999999972,103.7,103.0,0.67,72.2,-3.804478874182294,141.16531521394512,67.57837837837839,-1.9373809340468284,141.71536141890454,-1.8324412552134575,141.71536141890454,-1.9373809340468284,141.71536141890454,-1.8324412552134575,147.7245353305209,102.0,101.1,0.95,65.8,100.5,102.1,-1.5999999999999943,101.7,100.4,1.2999999999999972,-0.3237204055139679,142.07939209773355,0,93.6901407121746,108.8712440923718,-15.1811033801972,-11.072799212075358,96.2944233428967,100.1415546840995,-3.8471313412027968,-3.412965619355216,2021-12-15,3.775828457312386,137.34996248016256,3.421246163410963,137.34996248016256,-28.67,-110.97000000000001,-71.38891632373115,-82.30000000000001,-39.58108367626886,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.3595721282638634,-13.14302240512117,-7.536666666666664,-5.709533607681756,-13.87125,-11.757142857142858,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,-2,-14.166666666666666,-8.982014936747447,-9.012178147169926,89.4,89.56666666666666,91.4,103.73333333333332,Sat 12-18 12-18,H,249 (Ⅳ),Tennessee Tech,"W, 72-63",73,98.1,55.0,20.4,3.6,44.0,85.8,45.5,17.7,24.4,7.5,-12.5,-7.5,147.5,91.09375,92.7875,93.97561347355588,96.12291950479064,100.091796875,108.78359375,102.95762841030331,105.13509765196056,20211218,98.8,102.9,-4.1000000000000085,97.8,104.0,-6.200000000000003,101.0,103.0,-1.98,71.9,-9.696153176188432,142.78400334135162,70.67268847795164,-5.648283540063346,147.14397645335077,-3.006243746721187,147.14397645335077,-5.648283540063346,147.14397645335077,-3.006243746721187,148.7532389630762,94.5,104.4,-9.89,69.1,98.8,102.9,-4.1000000000000085,97.8,104.0,-6.200000000000003,0.24569134741201307,145.62704400090837,0,93.70036415586094,107.50176434101756,-13.801400185156623,-9.8346145189773,96.27857872719908,98.3831195920949,-2.1045408648958244,-2.530604663079332,2021-12-18,4.222120537520681,141.30175538079686,3.3054485141251178,141.30175538079686,-0.020000000000000018,-110.99000000000001,-84.58261088248744,-110.97000000000001,-26.407389117512565,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.7624747379730235,0.343802744485588,-7.002014936747447,-12.186666666666666,-13.14302240512117,-12.332222222222223,-13.87125,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
24.5,21,-2.900000000000001,1.278656708835034,-3.409963938593576,114.6,93.9,92.8,96.8,Tue 12-21 12-21,A,125 (Ⅲ),North Carolina St.,"W, 84-70",71,117.6,58.5,18.2,27.6,27.1,98.0,42.8,11.2,34.0,11.8,6.0,10.5,148.0,102.846875,91.09375,100.8504089823706,99.4823886857378,96.4458984375,100.091796875,99.57175227353554,102.89235262433137,20211221,97.8,102.3,-4.5,105.9,99.1,6.800000000000011,101.0,103.0,-2.01,71.9,11.458873557222972,143.93205414818965,69.0362731152205,12.13291876876984,145.33482542225437,11.991180898831821,145.33482542225437,12.13291876876984,145.33482542225437,11.991180898831821,141.50677028466805,106.8,98.2,8.66,67.5,97.8,102.3,-4.5,105.9,99.1,6.800000000000011,15.205846507213085,145.2981792459222,0,95.936062276217,106.08758496433772,-10.151522688120721,-8.439919045027366,101.39269494379744,99.88805861867678,1.5046363251206571,-3.231614508084003,2021-12-21,12.322648930064602,144.02495921589343,5.415828707096367,144.02495921589343,23.009999999999998,-87.98000000000002,-93.3850739216583,-110.99000000000001,5.4050739216582855,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.15865525393145707,0.12028052342808615,3.288656708835034,-0.890000000000001,-7.002014936747447,-8.798,-12.332222222222223,1,-1.0,1,-1,-1,1,-3.0,-3.0
