ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
21.5,17,,17.200000000000003,17.200000000000003,107.2,0.0,90.0,0.0,Fri 11-12 11-12,H,193 (Ⅳ),Massachusetts,"W, 91-71",75,121.2,61.9,17.3,17.2,33.9,94.6,43.9,17.3,30.8,57.9,16.5,1.5,145.5,107.2,0.0,107.2,107.2,90.0,0.0,90.0,90.0,20211112,99.9,98.7,1.2000000000000028,102.3,98.5,3.799999999999997,102.4,102.4,-0.02,71.2,0.8203565900676892,146.97953093585232,73.42816500711238,-2.261570067421289,149.6095182329841,-13.370703551751319,149.6095182329841,-2.261570067421289,149.6095182329841,-13.370703551751319,129.97586826139238,101.6,95.0,6.59,72.5,99.9,98.7,1.2000000000000028,102.3,98.5,3.799999999999997,-13.370703551751319,129.97586826139238,0,92.9796669979198,95.30910580472768,-2.329438806807886,-3.244896421746177,92.48646822808756,98.2089072687721,-5.7224390406845345,0.0943325623578166,2021-11-12,-6.148224945704158,134.78463062525037,0.428333565424623,134.78463062525037,17.02,17.02,0.0,0.0,17.02,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.4432015031835318,0.7209094193251875,17.220000000000002,,0.0,17.02,0.0,1,0.0,1,1,1,3,0.0,0.0
-24.5,-28,,2.1000000000000068,8.963636363636365,69.2,0.0,97.3,0.0,Sun 11-14 11-14,A,63 (I-A),Seton Hall,"L, 80-44",76,58.2,27.4,19.9,21.2,29.0,105.9,53.1,21.2,31.6,28.1,-19.0,11.5,143.0,88.2,107.2,94.53333333333336,100.29090909090908,93.65,90.0,92.43333333333334,91.32727272727271,20211114,101.4,98.5,2.9000000000000057,106.8,92.0,14.799999999999995,102.9,102.1,0.8,72.0,16.185698799629918,147.43077640342216,73.33143669985775,13.09488414967663,149.05758915905886,7.690918576282967,149.05758915905886,13.09488414967663,149.05758915905886,7.690918576282967,127.082141201512,106.8,89.9,16.92,71.6,101.4,98.5,2.9000000000000057,106.8,92.0,14.799999999999995,7.690918576282967,127.082141201512,0,90.26741524748198,102.4623836077705,-12.194968360288527,-3.1461870391692344,0.0,0.0,0.0,0.0,2021-11-14,-0.0,0.0,,0.0,-28.8,-11.780000000000001,17.02,17.02,-28.8,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.13670617005697383,0.5,1.3000000000000067,,17.220000000000002,-5.89,17.02,1,1.0,-1,-1,1,-1,3.0,0.0
24.5,30,6.5,11.533333333333331,12.861157024793387,117.8,98.06666666666666,87.4,91.56666666666666,Tue 11-16 11-16,A,242 (Ⅲ),Siena,"W, 82-54",67,121.8,55.7,11.9,29.4,27.9,80.2,37.9,16.3,21.7,31.0,-0.5,-3.5,136.5,103.0,88.2,102.2888888888889,103.47438016528923,90.525,93.65,90.75555555555556,90.61322314049583,20211116,98.8,97.8,1.0,98.8,104.3,-5.5,102.8,101.8,1.0,72.2,-4.102890092718411,140.08124461575696,70.04324324324325,-0.5966788517055761,143.03567324652104,-3.80994452751544,143.03567324652104,-0.5966788517055761,143.03567324652104,-3.80994452751544,128.79361546794604,93.2,103.5,-10.27,68.2,98.8,97.8,1.0,98.8,104.3,-5.5,-3.7475848198786523,128.8325729459688,0,94.79337439718736,93.32945386390725,1.4639205332801168,-0.1457185787761498,102.17860724984963,80.45999010393356,21.71861714591607,28.773517169138422,2021-11-16,17.133729704949587,123.44247135952048,22.497907190235225,123.44247135952048,29.0,17.22,7.420000000000001,-11.780000000000001,9.799999999999997,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.6305586598182363,0.0513625215632495,10.533333333333331,5.5,1.3000000000000067,5.739999999999999,-5.89,1,1.0,1,1,-1,3,-1.0,3.0
-2.5,7,3.199999999999998,10.122222222222222,11.850037565740042,90.1,92.36666666666667,82.8,89.16666666666667,Fri 11-19 11-19,A,61 (I),Vermont,"L, 61-53",65,81.5,41.1,15.4,13.5,17.9,93.8,40.0,7.7,21.1,47.3,-24.0,5.5,138.0,96.55,103.0,98.22592592592596,101.0426746806912,86.6625,90.525,88.10370370370372,89.19263711495114,20211119,99.5,96.3,3.200000000000003,103.2,95.5,7.700000000000003,103.4,100.6,2.82,71.9,7.639534294131039,140.10111385887848,70.36586059743955,7.058925483975827,140.09761166102265,9.380883058408214,140.09761166102265,7.058925483975827,140.09761166102265,9.380883058408214,121.39318491647434,102.0,94.1,7.99,68.8,99.5,96.3,3.200000000000003,103.2,95.5,7.700000000000003,9.58413585667586,121.07796549184413,0,93.95642208068524,90.62430186475252,3.3321202159327186,6.427622871332269,94.6464766677934,94.13120065639276,0.5152760114006298,-0.2678066789702927,2021-11-19,1.5898151348630094,125.41573515561842,-2.680370819587708,125.41573515561842,4.18,21.4,10.686666666666667,17.22,10.713333333333331,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,-3,0.30020551430745246,0.43982577009272783,7.3022222222222215,0.3799999999999981,10.533333333333331,5.35,5.739999999999999,1,1.0,1,1,1,3,3.0,-1.0
-4.5,-1,11.999999999999996,6.181481481481481,9.386394371969123,102.8,103.56666666666666,104.5,91.56666666666666,Tue 11-23 11-23,N,196 (Ⅲ),Southern Utah,"L, 88-85 OT",81,105.3,55.1,16.1,21.1,22.1,109.0,54.7,21.1,30.0,40.6,30.0,-1.5,143.0,99.675,96.55,99.75061728395065,101.36218837511096,95.58125,86.6625,93.56913580246916,91.97579400314184,20211123,98.7,95.8,2.9000000000000057,101.2,99.9,1.2999999999999972,102.9,100.4,2.55,70.2,0.22436059701493605,143.40218507462689,70.2,-1.1865944278607117,140.48532318407962,-9.636125755701487,140.48532318407962,-1.1865944278607117,140.48532318407962,-9.636125755701487,125.64959170244776,102.4,99.6,2.73,70.3,98.7,95.8,2.9000000000000057,101.2,99.9,1.2999999999999972,-9.31907162579104,125.57779216226865,0,95.6805621149786,94.69401766198573,0.9865444529928737,3.0996739426387,92.4558848996677,97.8123131480798,-5.356428248412101,1.6116701978305332,2021-11-23,-4.337157494791391,130.1306671604375,-1.0445786288553336,130.1306671604375,-3.55,17.849999999999998,14.257777777777779,21.4,3.592222222222219,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.5567984968164682,0.660219631835323,3.6314814814814813,9.449999999999996,7.3022222222222215,3.57,5.35,1,1.0,1,1,1,3,3.0,3.0
6.5,0,1.5666666666666629,3.820987654320986,7.516140849792917,102.0,98.3,102.9,96.73333333333336,Wed 11-24 11-24,N,339 (Ⅳ),Milwaukee,"W, 69-56",62,110.4,44.6,9.6,38.1,24.6,89.6,45.7,20.8,29.7,8.6,-14.0,-6.5,139.0,100.8375,99.675,100.50041152263375,101.47815412509078,99.240625,95.58125,96.67942386831275,93.96201327529786,20211124,98.9,96.0,2.9000000000000057,97.7,101.1,-3.3999999999999915,103.2,100.7,2.48,70.2,-0.6686162119700185,139.65846557058234,68.6022759601707,-4.352683001210153,136.1323579635252,-15.109230895037053,136.1323579635252,-4.352683001210153,136.1323579635252,-15.109230895037053,125.63297029023036,101.1,99.6,1.57,68.7,98.9,96.0,2.9000000000000057,97.7,101.1,-3.3999999999999915,-14.734960038345854,125.22832036617585,0,94.86449328422052,94.22777646641136,0.6367168178091589,2.198106730575536,91.56660625326997,105.48711727549669,-13.92051102222672,-14.979582709073629,2021-11-24,-9.686661925454551,130.91347730519806,-11.784285912969217,130.91347730519806,-2.48,15.369999999999997,15.455185185185186,17.849999999999998,-0.08518518518518903,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.732057505466481,0.82187631159259,1.340987654320986,-0.9133333333333371,3.6314814814814813,2.5616666666666674,3.57,1,1.0,-1,1,1,1,3.0,3.0
-9.5,-23,-8.666666666666666,-5.25267489711934,1.8950243316487516,99.4,101.40000000000002,122.8,110.06666666666666,Sun 11-28 11-28,H,241 (Ⅳ),Stony Brook,"L, 85-81",72,113.0,52.3,13.9,30.0,32.8,118.6,63.9,16.7,20.7,44.4,29.0,-5.5,137.0,100.11875,100.8375,100.13360768175583,101.10030792052882,111.0203125,99.240625,105.38628257887518,99.20528358888006,20211128,99.9,96.3,3.6000000000000085,99.4,100.8,-1.3999999999999917,104.0,100.2,3.71,68.9,-9.15450773386253,137.2003438884144,66.449786628734,-7.136332756331839,133.9022589886053,-9.76089229769787,133.9022589886053,-7.136332756331839,133.9022589886053,-9.76089229769787,128.55486565925145,99.4,103.5,-4.15,67.8,99.9,96.3,3.6000000000000085,99.4,100.8,-1.3999999999999917,-11.229781794125689,129.44060358258275,0,95.94122703616848,99.11908584504027,-3.1778588088717896,-3.491872035503135,96.53706009422712,105.34731642862084,-8.810256334393728,-7.005317260780873,2021-11-28,-7.4205974121201805,134.1394463446406,-4.097615842667523,134.1394463446406,-26.71,-11.340000000000003,15.42679012345679,15.369999999999997,-26.766790123456794,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,-3,0.6997944856925475,0.7601308582220715,-8.96267489711934,-12.376666666666665,1.340987654320986,-1.62,2.5616666666666674,-1,1.0,-1,-1,1,-3,1.0,3.0
-2.5,-8,-11.0,-6.401783264746228,-0.0313437286510223,100.6,100.66666666666669,109.3,111.66666666666669,Wed 12-01 12-01,H,301 (Ⅳ),Lehigh,"W, 82-72",73,113.0,50.0,15.2,30.0,33.8,99.2,53.4,22.1,33.3,23.7,12.5,-12.5,141.5,100.359375,100.11875,100.28907178783724,101.00934284406904,110.16015625,111.0203125,106.69085505258346,101.04068657272003,20211201,101.1,99.2,1.8999999999999917,93.6,102.7,-9.100000000000009,104.9,102.2,2.75,69.6,-14.092792619413274,144.55858700468804,70.19402560455192,-11.843926987541181,141.53394298558692,-16.982166489542806,141.53394298558692,-11.843926987541181,141.53394298558692,-16.982166489542806,137.5940908879119,94.0,105.3,-11.32,70.9,101.1,99.2,1.8999999999999917,93.6,102.7,-9.100000000000009,-14.901727167595899,131.75671117911162,0,97.5993718732899,100.09390763845406,-2.4945357651641586,-2.1136557294205764,90.59288836006668,100.30990474949544,-9.717016389428764,-15.170414332841784,2021-12-01,-8.98332544527161,135.63786887310889,-10.96064381022731,135.63786887310889,-10.75,-22.090000000000003,6.504526748971193,-11.340000000000003,-28.594526748971198,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,3,0.8830703586536275,0.803877960918459,-9.151783264746228,-13.75,-8.96267489711934,-2.76125,-1.62,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-6.5,-5,-12.6,-6.1678555098308205,-1.0620085052599275,99.3,99.76666666666668,105.0,112.36666666666667,Sat 12-04 12-04,A,12 (I-A),Auburn,"L, 86-64",74,86.7,39.2,16.3,28.3,33.8,116.5,52.0,9.5,33.3,17.3,0.5,15.5,149.5,99.8296875,100.359375,99.9593811918915,100.69855323605648,107.580078125,110.16015625,106.12723670172232,101.7605617413164,20211204,101.3,99.9,1.3999999999999917,109.3,91.3,18.0,104.8,102.2,2.61,69.4,17.444845645180095,147.6414868844424,70.48591749644383,16.122921274181323,145.8264008361707,21.497557862581257,145.8264008361707,16.122921274181323,145.8264008361707,21.497557862581257,145.6476463017387,112.0,91.1,20.95,71.4,101.3,99.9,1.3999999999999917,109.3,91.3,18.0,18.61958984076,140.6374202244242,0,96.42858260503388,99.65839416002892,-3.229811554995038,-2.388481677583349,106.95741905627168,87.207467003744,19.749952052527675,23.85879056295151,2021-12-04,20.081636280777907,138.01341792451467,20.686105965331237,138.01341792451467,-7.609999999999999,-29.700000000000003,-3.0269821673525383,-22.090000000000003,-26.673017832647464,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.06994638275525245,0.027903689314515034,-8.77785550983082,-15.209999999999999,-9.151783264746228,-3.3,-2.76125,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
6.0,16,0.5666666666666629,1.2547629934461169,2.058356677514604,100.6,100.16666666666669,84.5,99.59999999999998,Tue 12-07 12-07,H,293 (Ⅳ),Albany,"W, 71-52",70,102.0,47.5,20.1,30.8,32.2,74.7,43.1,27.3,17.6,21.6,-15.0,-13.0,138.0,100.21484375,99.8296875,100.17292079459432,100.6806344658644,96.0400390625,107.580078125,98.91815780114824,98.62227778834976,20211207,100.6,100.5,0.0999999999999943,93.3,103.2,-9.900000000000006,104.4,102.2,2.21,69.8,-13.736979223191852,133.57402892309005,66.82133712660028,-10.673860640929021,135.52386893752987,-10.319812948087232,135.52386893752987,-10.673860640929021,135.52386893752987,-10.319812948087232,131.99381244125686,90.7,103.2,-12.46,67.3,100.6,100.5,0.0999999999999943,93.3,103.2,-9.900000000000006,-13.273737561872371,125.38994683333344,0,96.06336407074828,98.8311874767189,-2.767823405970617,-1.3198054007037203,91.63481477073655,101.75976316792168,-10.124948397185122,-11.82228440625502,2021-12-07,-8.53547492475169,129.12105860907218,-8.76595026059924,129.12105860907218,13.79,-15.910000000000004,-11.91798811156836,-29.700000000000003,-3.9920118884316445,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,-3,0.8921596253194927,0.7918629832849604,-0.9552370065538831,-1.643333333333337,-8.77785550983082,-1.5910000000000002,-3.3,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
