ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Spread,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
1.5,-10,,-10.5,-10.5,103.2,0.0,113.7,0.0,Wed 11-10 11-10,A,95 (Ⅱ),Penn St.,"L, 75-59",63,93.7,48.2,12.7,16.2,17.9,119.1,56.7,15.9,38.7,18.3,-12.5,17.5,146.5,103.2,0.0,103.2,103.2,113.7,0.0,113.7,113.7,20211110,99.3,109.7,-10.400000000000006,106.4,96.7,9.700000000000005,96.4,106.7,-10.23,69.3,19.677022372273143,140.69679078499755,69.10284495021337,18.8607094859493,150.9539104301955,20.10421067525852,150.9539104301955,18.8607094859493,150.9539104301955,20.10421067525852,153.52388085593523,106.3,93.9,12.39,70.1,99.3,109.7,-10.400000000000006,106.4,96.7,9.700000000000005,20.10421067525852,153.52388085593523,0,102.6232766895352,94.32263197306813,8.300644716467076,10.658308950043716,100.2903540871639,91.38104506430564,8.909309022858267,5.766973256434909,2021-11-10,4.310694191496239,133.3157525337116,-1.2862677396020814,133.3157525337116,0.23000000000000043,0.23000000000000043,0.0,0.0,0.23000000000000043,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.047790352272814696,0.34070408874832925,-0.2699999999999996,,0.0,0.23000000000000043,0.0,-1,0.0,1,1,1,1,0.0,0.0
22.0,13,,-2.466666666666669,-6.118181818181818,119.6,0.0,106.0,0.0,Sat 11-13 11-13,A,223 (Ⅳ),Southeast Missouri St.,"W, 97-79",75,129.6,54.8,9.4,34.2,57.1,105.5,47.4,13.4,21.1,61.4,31.0,4.0,145.0,111.4,103.2,108.66666666666669,106.1818181818182,109.85,113.7,111.13333333333334,112.29999999999998,20211113,96.6,107.0,-10.400000000000006,100.5,103.4,-2.9000000000000057,97.0,107.2,-10.23,69.1,7.085758052680504,146.51417140511023,71.16415362731152,9.79878607353173,151.1871867468609,30.18906774269914,151.1871867468609,9.79878607353173,151.1871867468609,30.18906774269914,185.2075570329595,98.4,104.4,-5.95,72.4,96.6,107.0,-10.400000000000006,100.5,103.4,-2.9000000000000057,30.18906774269914,185.2075570329595,0,0.0,0.0,0.0,0.0,100.73893468196876,103.06510520944208,-2.326170527473323,1.837349141668008,2021-11-13,-0.0,0.0,,0.0,23.23,23.46,0.23000000000000043,0.23000000000000043,23.23,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.35161929169946593,0.5,7.763333333333332,,-0.2699999999999996,11.73,0.23000000000000043,1,-1.0,1,1,1,3,1.0,0.0
-6.5,-11,-2.633333333333335,-5.311111111111113,-7.005785123966942,99.8,107.53333333333336,110.8,110.16666666666669,Fri 11-19 11-19,H,287 (Ⅳ),St. Thomas,"W, 79-75",68,116.9,61.7,10.4,14.3,13.3,111.0,53.1,14.8,27.0,10.8,3.0,-10.5,151.0,105.6,111.4,105.71111111111112,105.02148760330576,110.325,109.85,111.02222222222224,112.0272727272727,20211119,98.6,107.2,-8.600000000000009,96.4,110.2,-13.799999999999995,98.5,106.7,-8.16,69.8,-9.38019488043507,145.6298464181085,68.60853485064011,-7.90631938891012,149.07773929789658,-12.24072257729589,149.07773929789658,-7.90631938891012,149.07773929789658,-12.24072257729589,177.11210463763365,96.2,112.1,-15.94,69.1,98.6,107.2,-8.600000000000009,96.4,110.2,-13.799999999999995,-12.20916788853106,177.3382801233682,0,103.42828792444053,101.25448274421562,2.173805180224903,-3.150685033802756,115.82116470529655,97.72058603842297,18.100578666873588,15.898907014606891,2021-11-19,7.091002414207267,153.11439770571508,11.02615786713244,153.11439770571508,-2.84,20.62,7.973333333333334,23.46,12.646666666666668,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.8413447460685429,0.24973193230076451,2.8488888888888875,5.5266666666666655,7.763333333333332,6.873333333333335,11.73,1,1.0,1,1,1,3,3.0,1.0
-8.5,-11,-2.966666666666669,-7.374074074074075,-7.822915101427498,95.1,104.83333333333331,106.6,107.8,Sat 11-20 11-20,H,288 (Ⅳ),SIU Edwardsville,"L, 69-66",69,95.4,53.1,26.0,24.1,47.9,99.7,57.3,24.6,23.3,45.8,-7.0,-5.5,142.0,100.35,105.6,102.1740740740741,103.21758076634109,108.4625,110.325,109.54814814814816,111.04049586776856,20211120,98.6,107.3,-8.700000000000003,93.1,105.6,-12.5,98.7,107.4,-8.66,69.8,-8.494281755078902,140.64506887471805,70.19715504978663,-7.139709102484034,146.67602461168522,-10.582331004077547,146.67602461168522,-7.139709102484034,146.67602461168522,-10.582331004077547,150.10593478312265,90.6,105.2,-14.67,70.7,98.6,107.3,-8.700000000000003,93.1,105.6,-12.5,-10.401024020484126,150.2370279392941,0,100.15196582057273,103.39330051289984,-3.241334692327115,-11.043967272995886,98.70228677615437,92.58728033115044,6.115006445003928,8.556542211641265,2021-11-20,2.781257910985076,139.76553866932284,11.817925114863797,139.76553866932284,-2.34,18.28,12.18888888888889,20.62,6.091111111111111,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.6997944856925475,0.395550295881653,1.285925925925925,5.693333333333332,2.8488888888888875,4.57,6.873333333333335,1,1.0,1,1,1,3,3.0,3.0
-3.0,-15,-12.666666666666666,-10.082716049382718,-9.21874871934977,83.6,92.83333333333331,99.1,105.5,Sun 11-21 11-21,H,213 (Ⅳ),Niagara,"L, 58-53",62,85.2,36.8,17.7,31.6,21.1,93.3,44.1,14.5,13.3,27.5,-25.0,2.0,136.0,91.975,100.35,95.98271604938272,99.65074789973362,103.78125,108.4625,106.06543209876546,108.86949661908336,20211121,98.9,107.6,-8.699999999999989,98.8,103.7,-4.900000000000006,98.1,107.6,-9.49,69.6,-1.4629485693360067,135.54726501184638,66.33285917496444,-1.4265398163680203,141.97191930909332,-3.750013515175963,141.97191930909332,-1.4265398163680203,141.97191930909332,-3.750013515175963,144.9696697288995,97.1,102.9,-5.74,67.0,98.9,107.6,-8.699999999999989,98.8,103.7,-4.900000000000006,-3.8298626843637726,145.344305448718,0,95.8333201166636,99.73378601078832,-3.9004658941247214,-10.938446317629952,107.32018342594117,93.97436399283669,13.34581943310448,10.52009678231991,2021-11-21,7.792288756749777,133.71247757831594,12.380630163503419,133.71247757831594,-5.51,12.770000000000001,14.219259259259262,18.28,-1.4492592592592608,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.22900648701668458,-0.5927160493827177,-3.176666666666666,1.285925925925925,2.554000000000001,4.57,-1,1.0,-1,1,1,-1,3.0,3.0
5.0,-13,-13.566666666666668,-11.288477366255147,-10.033521679467995,101.2,93.3,114.9,106.86666666666667,Thu 12-02 12-02,A,336 (Ⅳ),Milwaukee,"W, 70-68",66,106.5,36.7,7.6,34.8,42.2,103.4,53.7,21.3,31.0,25.9,3.0,3.0,135.0,96.5875,91.975,97.7218106995885,99.93243009978204,109.340625,103.78125,109.01028806584364,109.96595177925,20211202,99.1,108.1,-9.0,96.8,103.6,-6.799999999999997,98.9,108.6,-9.74,68.1,8.931989775485633,134.85891520833457,64.90327169274538,5.177994987263659,138.06990081581188,-5.891830600793902,138.06990081581188,5.177994987263659,138.06990081581188,-5.891830600793902,129.81418851611934,99.7,101.4,-1.68,67.0,99.1,108.1,-9.0,96.8,103.6,-6.799999999999997,-2.8686608747657134,128.6873732191183,0,100.11318800741816,99.34419806730106,0.7689899401170948,-4.520081813494872,89.23397149208259,104.24020620580444,-15.006234713721852,-16.307200953773187,2021-12-02,-6.86228136308938,128.2179117917025,-6.022180583854748,128.2179117917025,-3.26,9.510000000000002,13.736172839506175,12.770000000000001,-4.226172839506173,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.38754848109799234,0.7432993121211713,-1.5484773662551472,-3.826666666666668,-0.5927160493827177,1.5850000000000017,2.554000000000001,-1,-1.0,-1,1,1,-1,-1.0,3.0
24.0,16,-4.199999999999998,-1.9923182441700968,-5.191063192291994,119.4,101.4,102.8,105.6,Sat 12-04 12-04,A,334 (Ⅳ),Green Bay,"W, 82-58",64,127.9,61.6,12.5,36.8,23.2,90.5,46.7,20.3,11.5,41.3,8.5,0.0,131.5,107.99375,96.5875,104.94787379972568,103.47198826345804,106.0703125,109.340625,106.94019204389576,108.66305145575,20211204,99.4,108.0,-8.599999999999994,96.2,107.1,-10.899999999999991,99.3,108.1,-8.82,68.1,1.9936931147295383,130.65984266200985,63.06273115220483,2.154510692634915,136.16102440596555,-0.4445395421138013,136.16102440596555,2.154510692634915,136.16102440596555,-0.4445395421138013,123.57703685534334,95.1,106.2,-11.13,65.1,99.4,108.0,-8.599999999999994,96.2,107.1,-10.899999999999991,0.755780605188745,128.05248812186522,0,103.74243154529609,98.8028334421487,4.9395981031473895,-2.797152198399939,93.34408781520489,103.73605946770388,-10.391971652498995,-10.872062646951212,2021-12-04,-6.343820894322924,129.1240244530839,-3.447185117609031,129.1240244530839,24.82,34.33,12.327448559670785,9.510000000000002,22.002551440329214,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,3,0.5,0.7271358242235204,6.827681755829904,4.620000000000002,-1.5484773662551472,4.904285714285713,1.5850000000000017,1,-1.0,1,1,1,3,-1.0,-1.0
-5.0,-5,-0.8999999999999962,-3.194878829446729,-5.265415339147994,119.5,113.36666666666667,125.1,114.26666666666668,Wed 12-08 12-08,H,318 (Ⅳ),Central Michigan,"W, 84-77",66,127.3,65.8,15.2,25.9,21.1,116.7,63.6,19.7,24.0,16.4,16.5,-12.0,144.5,113.746875,107.99375,109.79858253315044,106.38617221555656,115.58515625,106.0703125,112.99346136259716,111.65158755470452,20211208,101.0,107.5,-6.5,94.6,114.0,-19.40000000000001,101.3,107.8,-6.5,67.9,-10.227642658697462,142.82914341229497,66.64438122332861,-13.332046983737655,148.39068287739997,-18.32799020787014,148.39068287739997,-13.332046983737655,148.39068287739997,-18.32799020787014,137.7615004196562,95.4,110.8,-15.36,69.0,101.0,107.5,-6.5,94.6,114.0,-19.40000000000001,-17.77160405138035,142.25916693186477,0,103.7155280224945,102.49134941849128,1.2241786040032139,-6.251454700963013,98.45977732377794,107.11560987502862,-8.655832551250683,-12.02638018419306,2021-12-08,-11.011100717173335,145.0308554285209,-5.544169929216906,145.0308554285209,1.5,35.83,19.661632373113854,34.33,16.168367626886145,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,3,0.8734510455264423,0.8528364276686312,3.305121170553271,5.600000000000004,6.827681755829904,4.47875,4.904285714285713,1,1.0,1,1,1,3,3.0,-1.0
21.5,24,11.800000000000006,6.003414113702181,0.1282965406970975,94.4,111.1,70.0,99.3,Sat 12-11 12-11,H,284 (Ⅳ),Canisius,"W, 71-43",70,101.6,55.5,21.5,23.3,29.1,61.5,27.8,12.9,18.0,20.6,-31.5,-6.5,145.5,104.0734375,113.746875,104.66572168876698,104.20686817636444,92.792578125,115.58515625,98.6623075750648,104.07857163566734,20211211,102.3,108.6,-6.299999999999997,96.3,108.4,-12.100000000000009,102.4,108.8,-6.35,67.5,-6.63330533592341,144.46372970248618,67.01991465149361,-8.478761397084611,148.13112615511776,-15.373040240513518,148.13112615511776,-8.478761397084611,148.13112615511776,-15.373040240513518,155.0031317672779,97.7,107.6,-9.9,69.8,102.3,108.6,-6.299999999999997,96.3,108.4,-12.100000000000009,-12.138039731349691,148.39412292395042,0,101.90268087618205,99.62985487879187,2.2728259973901714,-2.092116013555795,91.36550077523152,103.31478923319412,-11.949288457962595,-12.390768612238274,2021-12-11,-13.565426571834806,135.11793296841165,-8.64281595531871,135.11793296841165,30.35,66.18,25.051088248742566,35.83,41.12891175125744,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.732057505466481,0.9018119710169267,12.353414113702181,18.150000000000006,3.305121170553271,7.353333333333334,4.47875,1,1.0,1,1,1,3,3.0,3.0
-14.5,-10,2.633333333333335,0.36894274246812,-1.8768482848841936,90.3,101.4,101.2,98.76666666666664,Wed 12-22 12-22,A,54 (Ⅱ),West Virginia,"L, 82-52",70,74.6,37.7,28.7,38.5,22.8,117.7,51.8,11.5,25.0,61.8,2.5,15.5,131.5,97.18671875,104.0734375,99.87714779251132,101.67834668975271,96.9962890625,92.792578125,99.5082050500432,103.55519497463692,20211222,100.8,104.7,-3.9000000000000057,103.9,91.6,12.300000000000011,101.2,106.0,-4.83,67.4,16.131405657501162,130.00878659932772,63.56500711237554,14.407975615691619,131.53197192129915,13.498786744169443,131.53197192129915,14.407975615691619,131.53197192129915,13.498786744169443,118.02386996093549,106.0,91.5,14.54,66.3,100.8,104.7,-3.9000000000000057,103.9,91.6,12.300000000000011,12.79925350048172,129.99128726939088,0,100.3250143066368,99.78760724758745,0.5374070590493574,-2.1511452745753754,102.47554783936296,88.55196197591388,13.923585863449077,12.776043874887534,2021-12-22,12.246299403902015,124.93939135022447,11.362841089393967,124.93939135022447,-5.17,61.010000000000005,38.760725499161715,66.18,22.24927450083829,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.06994638275525245,0.12174371116808347,5.19894274246812,7.463333333333335,12.353414113702181,6.101,7.353333333333334,1,1.0,1,1,1,3,3.0,3.0
