ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,-8,,-8.700000000000003,-8.700000000000003,81.3,0.0,90.0,0.0,Mon 11-07 11-07,A,236 (Ⅲ),Bowling Green,"L, 62-58",69,84.1,50.9,20.3,9.1,7.3,89.9,44.6,18.9,22.2,33.9,-15.0,3.5,135.0,81.3,0.0,81.3,81.3,90.0,0.0,90.0,90.0,20221107,93.7,99.1,-5.4,93.6,103.0,-9.4,92.8578,98.619,-5.76118,67.1436,1.854367869360118,135.9606931582421,71.27918731152205,1.1268116086916962,137.9548886844254,13.158241595091313,137.9548886844254,1.1268116086916962,137.9548886844254,13.158241595091313,105.7667941080556,4.469747522591419,95.815,104.725,-8.91047,74.63,93.7,99.1,-5.4,93.6,103.0,-9.4,13.158241595091313,105.7667941080556,0,92.36611963,97.65685216,-5.29073253,0.435511339,97.68210196,102.3997094,-4.717607440000009,-2.578296031,2022-11-07,138.5638973494996,-0.1737831889482493,138.5638973494996,-1.0030407238477466,138.5638973494996,0.0,0.0,0.0,-2.2388199999999996,-2.2388199999999996,0.0,0.0,-2.2388199999999996,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,3,0.36944134018176367,0.3351667873302355,-2.9388200000000024,,0.0,-2.2388199999999996,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
6.0,6,,-3.6666666666666674,-5.954545454545455,109.4,0.0,103.0,0.0,Fri 11-11 11-11,H,208 (Ⅳ),Delaware,"W, 75-71",68,111.0,54.7,19.2,30.3,47.2,105.1,40.4,11.8,29.3,52.6,16.0,2.0,130.0,95.35,81.3,90.66666666666669,86.4090909090909,96.5,90.0,94.33333333333334,92.36363636363636,20221111,94.3,99.7,-5.400000000000006,99.2,101.3,-2.0999999999999943,93.0604,98.8216,-5.76126,67.1605,-0.29853005333290383,128.1639780728786,67.56852630938833,-1.4307100436871565,134.54889820820753,0.17428535880696927,134.54889820820753,-1.4307100436871565,134.54889820820753,0.17428535880696927,123.47950581447077,-0.6338535816199595,98.9781,99.8452,-0.867036,70.7271,94.3,99.7,-5.400000000000006,99.2,101.3,-2.0999999999999943,0.17428535880696927,123.47950581447077,0,92.36611963,97.65685216,-5.29073253,0.435511339,102.0223441,102.9554964,-0.9331523000000033,-1.790126796,2022-11-11,134.7337945051275,-3.382935513641783,134.7337945051275,0.40878958417181366,134.7337945051275,0.0,0.0,0.0,11.76126,9.52244,-2.2388199999999996,-2.2388199999999996,11.76126,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.5240683326498891,2.0945933333333326,,-2.9388200000000024,4.76122,-2.2388199999999996,1,-1.0,1,1,-1,3,-3.0,0.0
-14.5,-17,-6.699999999999998,-8.377777777777776,-8.108264462809917,85.5,92.06666666666666,103.3,98.76666666666668,Mon 11-14 11-14,H,324 (Ⅳ),Texas A&M Commerce,"L, 73-69 OT",75,91.5,50.9,21.2,18.9,49.1,96.8,49.2,22.5,29.3,36.1,13.0,-10.5,129.0,90.425,95.35,88.94444444444446,86.24380165289256,99.9,96.5,97.32222222222222,94.35206611570246,20221114,96.0,100.5,-4.5,94.8,108.1,-13.299999999999995,94.6989,99.9496,-5.2507,66.9616,-7.356703692900339,131.19498204423616,66.1603468290185,-9.54724107078448,135.18609164159182,-14.637319504849138,135.18609164159182,-9.54724107078448,135.18609164159182,-14.637319504849138,129.65347296755988,-6.459618793884815,96.7962,108.076,-11.2798,69.4588,96.0,100.5,-4.5,94.8,108.1,-13.299999999999995,-14.273873444767958,129.56027689988534,0,92.36611963,97.65685216,-5.29073253,0.435511339,95.0,105.0,-10.0,-10.0,2022-11-14,128.80170501844117,-8.668069622288918,128.80170501844117,-10.982573466719195,128.80170501844117,-7.916360000000003,2.094593333333334,-5.821766666666669,-11.7493,-2.2268600000000003,1.6815999999999998,9.52244,-3.90846,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.8413447460685429,0.7307892670560404,-3.1270777777777763,-1.4492999999999983,2.0945933333333326,-0.7422866666666659,4.76122,-1,1.0,-1,-1,1,-3,3.0,-3.0
-10.5,-13,-8.199999999999994,-9.98518518518518,-9.03403456048084,81.4,92.1,94.6,100.3,Thu 11-17 11-17,H,168 (Ⅳ),Portland,"L, 64-51",64,79.9,42.2,26.6,16.7,35.6,100.3,44.4,15.7,26.5,31.5,-18.5,2.5,133.5,85.9125,90.425,86.42962962962964,85.36311044327572,97.25,99.9,96.41481481481482,94.39714500375656,20221117,95.3,100.8,-5.5,105.6,100.6,5.0,94.0658,100.485,-6.41956,67.0983,3.3567433781832676,139.37197662349166,70.80225978392603,3.5569572397054543,146.37253636136165,4.128969529806063,146.37253636136165,3.5569572397054543,146.37253636136165,4.128969529806063,139.75229457387613,7.207903513228246,103.692,99.8088,3.88334,74.1807,95.3,100.8,-5.5,105.6,100.6,5.0,3.8830564539735053,139.64673795276224,0,88.73557669,98.47899819,-9.743421499999997,-13.33080272,101.2986167,95.39276168,5.90585501999999,7.169881633,2022-11-17,133.3029140024647,12.593553518087212,133.3029140024647,7.4543923205973925,133.3029140024647,3.290787592592599,-1.4178970370370347,1.8728905555555642,-6.58044,-8.807300000000001,0.3787799999999999,-2.2268600000000003,-9.18608,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.4059036140017165,0.24620933315074334,-3.565625185185181,-1.7804399999999942,-3.1270777777777763,-2.2018249999999995,-0.7422866666666659,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
20.0,26,-1.4333333333333276,2.2432098765432125,-2.5369373676661398,120.9,95.93333333333334,94.2,97.36666666666667,Mon 11-21 11-21,H,274 (Ⅳ),USC Upstate,"W, 83-56",64,128.7,60.6,18.6,43.3,51.9,86.9,46.3,14.0,13.9,27.8,10.5,-7.0,128.5,103.40625,85.9125,97.91975308641976,91.82436308995284,95.725,97.25,95.67654320987654,94.36130045761898,20221121,95.1,100.9,-5.800000000000011,99.9,109.2,-9.299999999999995,93.7562,101.258,-7.50131,65.6146,-5.189499983535569,130.4097612725099,64.67154179459459,-5.825202213016254,135.84662576775014,-6.805888302636164,135.84662576775014,-5.825202213016254,135.84662576775014,-6.805888302636164,125.77708117986303,-9.57213496322187,98.8358,109.296,-10.4603,69.2896,95.1,100.9,-5.800000000000011,99.9,109.2,-9.299999999999995,-6.63629621385497,125.3408113982021,0,90.6780517,97.47553794,-6.797486239999998,-5.940603826,95.63903677,112.6849352,-17.045898429999994,-11.92991618,2022-11-21,129.82324561907473,-5.522383841070287,129.82324561907473,-7.202688055760724,129.82324561907473,-3.5929157037037047,-2.949545407407406,-6.542461111111111,33.501310000000004,24.694010000000002,-2.683246666666667,-8.807300000000001,27.377256666666668,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,3,0.7475074624530771,0.8190187384097174,9.744519876543212,6.067976666666673,-3.565625185185181,4.938802,-2.2018249999999995,1,-1.0,1,1,-1,3,-3.0,-3.0
-6.0,1,4.86666666666667,1.8621399176954727,-1.8756760280904785,119.1,107.13333333333334,118.0,102.26666666666664,Wed 11-23 11-23,H,357 (Ⅳ),Mississippi Valley St.,"W, 64-51",50,126.8,66.3,13.9,29.2,19.6,101.0,43.8,21.8,46.7,25.0,-10.0,-19.0,125.0,111.253125,103.40625,104.97983539094652,96.78356980087052,106.8625,95.725,103.11769547325105,98.65924582896098,20221123,96.8,100.4,-3.6000000000000085,91.0,110.9,-19.90000000000001,95.2,100.852,-5.65202,65.2971,-14.536380708923595,121.47030427052442,62.935444147083935,-13.926784884505551,128.70902183289945,-9.616275522083432,128.70902183289945,-13.926784884505551,128.70902183289945,-9.616275522083432,116.30883910149248,-3.794878694670942,87.0799,110.94,-23.8599,67.7574,96.8,100.4,-3.6000000000000085,91.0,110.9,-19.90000000000001,-12.83210421629531,117.50830177864046,0,93.612975,101.3028658,-7.689890800000001,-8.533712593,91.65429674,99.8833116,-8.229014859999992,-2.454613403,2022-11-23,120.44203078693106,2.1605333640287085,120.44203078693106,-8.581883594337384,120.44203078693106,6.89276101469725,4.382810296296302,11.275571310993552,6.65202,31.346030000000003,6.442505555555556,24.694010000000002,24.903524444444447,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9648151676951044,0.6411061361815571,7.514159917695473,10.518686666666671,9.744519876543212,5.224338333333334,4.938802,1,1.0,1,1,1,3,3.0,-3.0
2.0,6,11.466666666666663,3.44142661179698,-0.3346440229831195,95.3,111.76666666666664,88.7,100.3,Sun 11-27 11-27,H,171 (Ⅳ),Montana,"W, 59-56",61,97.4,52.3,14.9,10.7,53.5,92.4,48.0,21.5,27.6,21.6,-8.0,-1.0,123.0,103.2765625,111.253125,101.75322359396436,96.51382983707586,97.78125,106.8625,98.31179698216737,96.84847386005896,20221127,98.2,101.0,-2.799999999999997,100.6,103.4,-2.800000000000012,96.8595,102.23,-5.37041,62.4612,-2.496433034729627,117.06784714275923,58.07532202617354,-3.3599387749070075,121.45540519517583,-7.733335171094304,121.45540519517583,-3.3599387749070075,121.45540519517583,-7.733335171094304,122.68660286135272,-5.880958690112934,99.7444,103.879,-4.13446,65.3637,98.2,101.0,-2.799999999999997,100.6,103.4,-2.800000000000012,-6.5634195312500525,119.3132241682362,0,94.82659865,102.1078651,-7.281266450000004,-7.989704124,93.09707416,104.8762175,-11.77914333999999,-4.413171431,2022-11-27,116.36742899316911,0.5518160009652746,116.36742899316911,-5.235982548393558,116.36742899316911,-10.086682908583164,9.21194386096412,-0.8747390476190455,11.37041,42.716440000000006,14.743680370370372,31.346030000000003,27.972759629629635,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.5379371440662541,0.7122914191382702,8.81183661179698,16.83707666666666,7.514159917695473,6.102348571428571,5.224338333333334,1,1.0,1,1,1,3,3.0,3.0
15.0,19,9.199999999999994,8.927617741197984,3.34438216301381,113.1,109.16666666666669,93.2,99.96666666666664,Wed 11-30 11-30,H,335 (Ⅳ),Arkansas Pine Bluff,"W, 81-53",68,119.2,65.0,22.1,30.8,44.0,78.0,33.9,25.0,38.6,33.9,6.5,-13.0,127.5,108.18828125,103.2765625,105.53548239597626,99.5294971394257,95.490625,97.78125,96.60786465477824,96.18511497641188,20221130,98.1,100.5,-2.4000000000000057,94.9,108.6,-13.699999999999989,95.9652,101.444,-5.47864,62.5907,-11.81242560445687,125.86087283190668,63.06337998051209,-10.887789242783334,130.94456027797074,-12.471506222293002,130.94456027797074,-10.887789242783334,130.94456027797074,-12.471506222293002,124.32866141101168,5.440743456590155,92.1442,111.178,-19.0338,70.8309,98.1,100.5,-2.4000000000000057,94.9,108.6,-13.699999999999989,-8.299903262745634,122.88441994325605,0,93.0739854,101.6031858,-8.529200400000008,-9.398208872,101.5955544,96.08346183,5.512092569999993,3.422816411,2022-11-30,124.4973274081166,6.372353234503578,124.4973274081166,-11.265783576373018,124.4973274081166,-1.178149282121673,10.380281366189827,9.202132084068154,24.47864,67.19508,24.067933580246915,42.716440000000006,43.12714641975309,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.8921596253194927,0.3021712121504303,14.406257741197985,14.678639999999994,8.81183661179698,8.399385,6.102348571428571,1,1.0,1,1,1,3,3.0,3.0
0.5,-2,8.1,5.218411827465327,2.3363126788294823,90.9,99.76666666666664,93.1,91.66666666666669,Sat 12-03 12-03,A,212 (Ⅲ),Portland St.,"L, 68-64",70,90.8,45.6,24.1,24.1,75.6,96.5,54.5,19.9,4.3,61.4,-5.5,4.5,137.5,99.544140625,108.18828125,100.65698826398418,97.96049765953012,94.2953125,95.490625,95.43857643651884,95.62418498070062,20221203,99.2,99.8,-0.5999999999999943,101.0,106.6,-5.599999999999994,96.8525,101.334,-4.48125,62.8744,2.9476750468178494,132.51039050493267,65.73827078577526,0.5615169394720994,139.14795939290684,-2.0538226628925402,139.14795939290684,0.5615169394720994,139.14795939290684,-2.0538226628925402,142.08619468782797,17.04871264388884,99.3783,105.18,-5.80177,73.5021,99.2,99.8,-0.5999999999999943,101.0,106.6,-5.599999999999994,1.804727407929492,140.42057305901184,0,94.85870208,99.76451857,-4.9058164900000065,-3.242713746,110.8093157,95.82504079,14.984274909999996,13.46849366,2022-12-03,136.17512440177373,12.920441870588043,136.17512440177373,-3.3051014996942314,136.17512440177373,-6.182782803307415,14.42408027244321,8.241297469135795,2.48125,69.67633000000001,38.44364905349795,67.19508,31.232680946502057,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.3341175708976246,0.05222132216308428,9.699661827465327,12.58125,14.406257741197985,7.7418144444444446,8.399385,1,1.0,1,1,1,3,3.0,3.0
16.5,18,12.1,9.678941218310216,5.293346737224121,112.6,105.53333333333336,94.0,93.43333333333334,Tue 12-06 12-06,H,283 (Ⅳ),South Dakota,"W, 79-58",64,122.9,59.8,17.1,25.9,43.1,90.2,39.5,15.6,29.7,26.3,10.5,-4.5,126.5,106.0720703125,99.544140625,104.63799217598944,100.62222535779736,94.14765625,94.2953125,94.95905095767924,95.32887862057324,20221206,99.1,99.4,-0.3000000000000113,103.0,107.9,-4.900000000000006,96.8011,101.3,-4.49851,62.9116,-2.9221715189206847,121.8614384707827,58.804984904125185,-6.297397671786307,126.74011853344723,-17.74178093692989,126.74011853344723,-6.297397671786307,126.74011853344723,-17.74178093692989,121.58574012211469,-7.964968294948015,103.201,107.133,-3.93233,65.7111,99.1,99.4,-0.3000000000000113,103.0,107.9,-4.900000000000006,-11.717841538575783,120.54914932514023,0,95.96334693,98.10358131,-2.1402343799999954,-0.715341724,91.10675042,101.4082024,-10.301451979999996,-0.828376767,2022-12-06,113.1108742013133,-1.7003008493297003,113.1108742013133,-10.756542638306598,113.1108742013133,-14.694975241409455,12.8737138078083,-1.8212614336011548,22.49851,92.17484,48.85454270233197,69.67633000000001,43.320297297668034,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,3,0.6658824291023754,0.7759446118312818,14.177451218310216,16.598509999999997,9.699661827465327,9.217484,7.7418144444444446,1,1.0,1,1,1,3,3.0,3.0
