ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-2.5,-7,,-7.099999999999994,-7.099999999999994,108.5,0.0,115.6,0.0,Mon 11-07 11-07,H,219 (Ⅳ),South Dakota St.,"W, 81-80 OT",75,108.2,51.4,12.0,22.5,17.4,106.8,55.9,17.4,17.9,28.8,15.5,-3.5,145.5,108.5,0.0,108.5,108.5,115.6,0.0,115.6,115.6,20221107,101.7,97.5,4.2,104.3,99.3,5.0,101.98,96.3329,5.64685,67.977,-5.596048561568082,143.38133667323154,69.89331320910385,-3.555692143422874,145.00316299966192,6.4776280649287505,145.00316299966192,-3.555692143422874,145.00316299966192,6.4776280649287505,172.66372233417738,-0.33855539277365665,105.773,102.148,3.62489,72.2818,101.7,97.5,4.2,104.3,99.3,5.0,6.4776280649287505,172.66372233417738,0,98.26171388,100.1485618,-1.886847919999994,0.80206582,107.4507695,104.017891,3.432878500000001,7.516759938,2022-11-07,150.01743003818174,2.6547091798790774,150.01743003818174,-1.487888851595386,150.01743003818174,0.0,0.0,0.0,-12.64685,-12.64685,0.0,0.0,-12.64685,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6305586598182363,0.512861015352191,-12.746849999999995,,0.0,-12.64685,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-13.5,-11,,-8.6,-7.918181818181814,99.6,0.0,111.2,0.0,Fri 11-11 11-11,N,70 (Ⅱ),Mississippi St.,"L, 73-54",64,84.7,38.8,14.1,15.8,49.0,114.4,59.1,21.9,36.7,23.6,-1.0,5.5,128.0,104.05,108.5,105.53333333333332,106.88181818181818,113.4,115.6,114.13333333333334,114.79999999999998,20221111,102.3,98.1,4.200000000000003,101.1,91.7,9.399999999999991,102.287,96.5635,5.72359,67.9099,6.175928411302486,130.11513543748757,67.24587062219061,3.700003236230458,132.97150177919843,8.752869725075218,132.97150177919843,3.700003236230458,132.97150177919843,8.752869725075218,113.14990924831953,12.403506005234583,105.469,90.5438,14.9256,69.6126,102.3,98.1,4.200000000000003,101.1,91.7,9.399999999999991,8.752869725075218,113.14990924831953,0,98.26171388,100.1485618,-1.886847919999994,0.80206582,107.7886663,91.53816484,16.25050146000001,18.34357701,2022-11-11,136.3528835492324,11.79594192000448,136.3528835492324,3.4967852723538897,136.3528835492324,0.0,0.0,0.0,-16.72359,-29.370440000000002,-12.64685,-12.64685,-16.72359,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,3,0.30020551430745246,0.11874450666378222,-14.32359,,-12.746849999999995,-14.68522,-12.64685,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-7.5,1,-5.599999999999999,-5.099999999999998,-6.1330578512396645,98.7,102.26666666666668,96.8,107.86666666666667,Tue 11-15 11-15,H,247 (Ⅳ),Morgan St.,"W, 65-59",65,99.9,41.0,16.9,43.5,44.3,90.7,42.2,23.1,42.5,10.9,-16.5,-13.5,140.5,101.375,104.05,103.25555555555556,105.39421487603305,105.1,113.4,108.35555555555555,111.5272727272727,20221115,102.8,99.7,3.0999999999999943,94.5,102.7,-8.200000000000003,102.561,98.1166,4.44427,66.9816,-14.486176988267289,139.35821515834778,71.39666882048363,-12.382861678056557,146.17206883673884,-1.9107875162946752,146.17206883673884,-12.382861678056557,146.17206883673884,-1.9107875162946752,142.450094542299,-11.590188674892843,92.1355,102.679,-10.5432,74.9338,102.8,99.7,3.0999999999999943,94.5,102.7,-8.200000000000003,-1.9460734631193337,142.49180607915343,0,98.26171388,100.1485618,-1.886847919999994,0.80206582,88.86454255,101.346025,-12.481482450000001,-9.138479881,2022-11-15,137.96698443832753,-9.012998312924417,137.96698443832753,0.2847299152560936,137.96698443832753,19.424989999999994,-14.323589999999996,5.101399999999998,-3.4442700000000004,-32.814710000000005,-18.221380000000003,-29.370440000000002,-14.593330000000002,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.900728603156669,0.8651660118261173,-9.544269999999997,-10.04427,-14.32359,-10.938236666666667,-14.68522,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
22.0,22,4.299999999999997,4.133333333333333,-0.9088655146506346,116.3,104.86666666666667,93.7,100.56666666666666,Mon 11-21 11-21,N,190 (Ⅲ),Western Kentucky,"W, 72-53",59,122.8,65.6,22.2,50.0,31.3,90.4,42.6,8.5,15.4,24.1,-8.0,3.0,133.0,108.8375,101.375,107.60370370370372,107.37708489857248,99.4,105.1,103.4703703703704,108.2859504132231,20221121,103.2,100.4,2.799999999999997,103.5,98.8,4.700000000000003,103.152,99.3806,3.77106,64.9695,2.3269288926989162,131.90082990259305,64.71683056472261,1.2960989054185603,136.67032360806576,7.339964121808164,136.67032360806576,1.2960989054185603,136.67032360806576,7.339964121808164,119.43457230919404,-6.4148939520596215,104.872,97.5346,7.33771,70.0266,103.2,100.4,2.799999999999997,103.5,98.8,4.700000000000003,7.232254599923199,119.26174940034039,0,104.9017659,102.7082582,2.193507699999998,-5.524733395,90.82608853,98.13855289,-7.312464359999993,-9.950155216,2022-11-21,130.27039946601275,-2.8639927416708417,130.27039946601275,6.881556316715503,130.27039946601275,10.603613333333332,-10.603613333333332,0.0,18.22894,-14.585770000000004,-23.085823333333337,-32.814710000000005,8.500053333333334,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.38754848109799234,0.7293811038418228,0.362273333333333,0.5289399999999973,-9.544269999999997,-3.6464425,-10.938236666666667,1,-1.0,1,-1,-1,1,-3.0,-3.0
-11.0,-12,4.0,-1.4111111111111103,-3.0163445119868832,100.5,105.16666666666669,113.0,101.16666666666669,Tue 11-22 11-22,N,141 (Ⅲ),LSU,"L, 73-58",62,92.9,33.3,22.4,45.2,55.6,116.9,56.7,16.0,32.0,30.8,-3.0,4.0,134.0,104.66875,108.8375,105.23580246913582,106.12670582610474,106.2,99.4,106.64691358024696,109.14305033809164,20221122,104.9,100.2,4.700000000000003,103.5,92.0,11.5,104.858,98.7056,6.15276,63.8824,5.502858626397824,130.509838038491,64.45134410583215,4.760032101670504,132.38364039949437,7.311324972615249,132.38364039949437,4.760032101670504,132.38364039949437,7.311324972615249,128.23286983899166,2.934381396398976,107.434,92.9473,14.4865,70.9261,104.9,100.2,4.700000000000003,103.5,92.0,11.5,7.288996096244427,128.21674350345478,0,104.2366556,102.9635022,1.2731534000000124,-6.687646624,99.14278935,93.67431623,5.468473119999999,1.700759787,2022-11-22,132.058896640059,5.406440680949288,132.058896640059,7.213060240170108,132.058896640059,1.014110481481481,-2.447105666666671,-1.4329951851851899,-18.15276,-32.738530000000004,-20.252472222222227,-14.585770000000004,-12.486057777777777,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,-3,0.35161929169946593,0.38994403749808104,-7.56387111111111,-2.15276,0.362273333333333,-6.547706,-3.6464425,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-2.5,9,6.566666666666667,2.259259259259262,-0.7224636916256297,99.4,105.40000000000002,89.8,98.83333333333331,Wed 11-23 11-23,N,53 (I),Nevada,"L, 62-58",63,91.8,50.0,22.2,20.7,21.6,98.1,44.7,14.2,27.0,22.8,-8.0,1.5,128.0,102.034375,104.66875,103.29053497942388,104.9036684031766,98.0,106.2,101.03127572016464,105.62613209480224,20221123,105.4,101.2,4.200000000000003,104.4,98.5,5.900000000000006,104.746,99.5418,5.20434,63.1797,1.091363224988413,128.1189266334646,61.88465095732574,1.1656882878163657,133.154555506495,10.731577366685285,133.154555506495,1.1656882878163657,133.154555506495,10.731577366685285,126.50464291456926,4.948572590008737,105.401,98.4722,6.92849,68.859,105.4,101.2,4.200000000000003,104.4,98.5,5.900000000000006,10.685242924563244,126.8149632751184,0,102.0464254,101.3098438,0.736581600000008,-4.342125105,101.4401106,93.07918528,8.360925319999993,6.591661702,2022-11-23,125.70515958183616,6.766335801930076,125.70515958183616,8.886941480686588,125.70515958183616,12.000263541446198,-4.089405269841271,7.910858271604926,3.79566,-28.942870000000006,-24.414491481481488,-32.738530000000004,-4.528378518518519,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.31871588982825005,-2.945080740740738,1.3623266666666671,-7.56387111111111,-4.823811666666667,-6.547706,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-7.0,-9,-4.033333333333327,-1.560493827160488,-2.263833929511877,81.9,93.93333333333334,91.1,97.96666666666664,Wed 11-30 11-30,A,74 (Ⅱ),Marshall,"L, 68-57",71,80.1,37.3,14.0,30.0,15.5,95.5,47.5,15.5,21.1,24.6,-20.0,4.0,145.0,91.9671875,102.034375,96.16035665294926,100.72118323896268,94.55,98.0,97.72085048010976,102.98501716847454,20221130,105.1,100.7,4.399999999999992,105.1,100.5,4.599999999999994,104.349,99.3845,4.96467,62.2878,3.9638303928200287,135.40746568930186,64.35428415277383,4.048043659012521,139.64673863428413,9.935991947360527,139.64673863428413,4.048043659012521,139.64673863428413,9.935991947360527,130.46390236051772,8.356709339883018,106.497,101.171,5.32601,72.6323,105.1,100.7,4.399999999999992,105.1,100.5,4.599999999999994,9.755748339600174,133.6505139869399,0,102.508339,100.5193805,1.9889585000000096,-3.272533689,103.1920889,94.31809957,8.87398933,8.008399254,2022-11-30,132.47648158803216,9.104351850858869,132.47648158803216,4.712226857724573,132.47648158803216,5.765928509700166,-3.3180141798941616,2.4479143298060047,-13.96467,-42.907540000000004,-25.92395098765433,-28.942870000000006,-16.983589012345675,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.21305174218379674,-6.525163827160488,-8.998003333333326,-2.945080740740738,-6.129648571428571,-4.823811666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.0,13,4.533333333333341,3.3596707818930085,0.5477722394902835,123.2,101.5,110.0,96.96666666666664,Sun 12-11 12-11,H,320 (Ⅳ),Jackson St.,"W, 85-72",68,124.7,64.4,14.7,20.0,40.4,105.6,53.2,19.1,31.3,11.1,26.5,-14.0,130.5,107.58359375,91.9671875,105.17357110196616,104.80824083187856,102.275,94.55,101.81390032007316,104.26046859238824,20221211,103.5,100.8,2.700000000000003,95.2,106.5,-11.299999999999995,104.094,100.117,3.97662,62.8771,-13.511933322036725,131.74922301115268,63.222432123897576,-13.006839723111163,134.09794234009271,-13.117582376865297,134.09794234009271,-13.006839723111163,134.09794234009271,-13.117582376865297,125.73242383887933,-6.3695412099727164,96.5512,107.873,-11.3214,70.6861,103.5,100.8,2.700000000000003,95.2,106.5,-11.299999999999995,-11.364287119328301,128.9928818433725,0,98.980998,99.41802587,-0.4370278699999943,-4.87115232,100.0596453,104.6715216,-4.611876300000006,-5.131700777,2022-12-11,131.8970319414231,-1.8464165127099719,131.8970319414231,-9.728871750563044,131.8970319414231,4.041403113691279,-5.729048101116984,-1.6876449874257045,9.02338,-33.88416000000001,-31.585147325102888,-42.907540000000004,-2.2990126748971207,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9087887802741321,0.7279494243616796,-0.6169492181069915,0.5567133333333412,-6.525163827160488,-4.23552,-6.129648571428571,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,9,4.333333333333338,5.239780521262006,2.084540923219323,89.7,98.26666666666668,80.7,93.93333333333334,Wed 12-14 12-14,H,228 (Ⅳ),Wright St.,"W, 66-54",70,94.7,45.2,17.2,28.2,22.6,77.4,38.9,20.1,26.2,12.7,-16.5,-6.5,136.5,98.641796875,107.58359375,100.01571406797746,102.06128795335518,91.4875,102.275,94.77593354671546,99.97674703013584,20221214,105.0,101.7,3.299999999999997,99.4,102.1,-2.6999999999999886,104.629,100.799,3.82945,63.2462,-8.690895434044435,135.65941284017663,65.0840284119488,-7.975758964588749,139.17890091657284,-9.557822064591269,139.17890091657284,-7.975758964588749,139.17890091657284,-9.557822064591269,132.76023511128082,-5.863221640746481,100.034,103.598,-3.564,72.3428,105.0,101.7,3.299999999999997,99.4,102.1,-2.6999999999999886,-5.025056833282979,132.49143805886797,0,99.61456672,100.8028856,-1.188318879999997,-5.180763779,96.86152247,101.2545644,-4.39304193000001,-7.715835809,2022-12-14,132.58788712126412,-3.354769024242735,132.58788712126412,-7.095612844296689,132.58788712126412,-0.1550047085994848,-2.785706344307269,-2.940711052906754,5.17055,-28.71361000000001,-32.35148488340193,-33.88416000000001,3.6378748834019206,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.732057505466481,0.7117150671196457,1.4103305212620056,0.5038833333333383,-0.6169492181069915,-3.190401111111111,-4.23552,1,-1.0,1,-1,-1,1,-3.0,-3.0
20.0,27,16.633333333333336,12.726520347508004,6.7418971189976284,110.7,107.86666666666667,83.0,91.23333333333332,Mon 12-19 12-19,H,276 (Ⅳ),Maine,"W, 87-55",72,121.4,64.0,22.3,34.6,28.1,76.8,52.2,32.1,10.7,26.1,15.0,-12.0,127.0,104.6708984375,98.641796875,103.57714271198498,103.63196287092696,87.24375,91.4875,90.85062236447698,96.89006575192931,20221219,103.0,99.7,3.299999999999997,100.3,107.1,-6.799999999999997,103.012,99.1889,3.82279,63.8862,-11.993971825155597,123.9698619083951,60.39317884864865,-10.060301192058617,130.77244642260723,-8.332094006990568,130.77244642260723,-10.060301192058617,130.77244642260723,-8.332094006990568,116.0218312097768,-0.2894319494852411,96.6175,106.809,-10.1917,66.4563,103.0,99.7,3.299999999999997,100.3,107.1,-6.799999999999997,-7.008568990746871,126.29829953425303,0,97.02864686,98.54702519,-1.5183783300000044,-4.62128743,100.8350984,97.30248988,3.532608520000011,0.302312717,2022-12-19,120.24215795185452,1.3190267605277697,120.24215795185452,-9.68978285904403,120.24215795185452,1.3659929921713676,-0.12652388685205018,1.2394691053193174,23.17721,-5.536400000000011,-31.138859922267958,-28.71361000000001,25.602459922267947,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.8734510455264423,0.510995430588814,8.903730347508004,12.810543333333337,1.4103305212620056,-0.5536399999999997,-3.190401111111111,1,1.0,1,-1,-1,1,1.0,-3.0
