ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
11.5,-7,,-7.0,-7.0,92.5,0.0,99.5,0.0,Mon 11-07 11-07,A,154 (Ⅱ),Towson,"L, 67-62",66,93.6,45.3,22.6,32.4,34.0,101.1,46.2,19.6,28.1,39.6,-3.5,16.5,132.5,92.5,0.0,92.5,92.5,99.5,0.0,99.5,99.5,20221107,92.1,102.4,-10.3,104.6,97.0,7.6,91.8303,101.007,-9.17635,69.762,14.223938483133495,132.3411656870739,68.62516718065433,16.357920679823565,138.42782864153997,3.8371400652958414,138.42782864153997,16.357920679823565,138.42782864153997,3.8371400652958414,124.56192206032523,14.801106666077501,103.337,96.8782,6.45839,69.1544,92.1,102.4,-10.3,104.6,97.0,7.6,3.8371400652958414,124.56192206032523,0,92.93343246,98.08511031,-5.151677849999999,-9.525748274,107.3638717,96.53088146,10.83299024,7.841158086,2022-11-07,137.37994535118924,13.823388465056489,137.37994535118924,14.179469293201159,137.37994535118924,0.0,0.0,0.0,2.1763499999999993,2.1763499999999993,0.0,0.0,2.1763499999999993,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.05804156686932749,0.0793245991932906,2.1763499999999993,,0.0,2.1763499999999993,0.0,1,0.0,1,1,1,3,0.0,0.0
-8.5,-2,,-5.633333333333331,-6.254545454545452,101.2,0.0,104.1,0.0,Sat 11-12 11-12,A,147 (Ⅲ),Siena,"L, 75-62",67,93.1,46.3,18.0,23.5,33.3,112.6,50.9,19.5,42.1,61.1,5.0,4.5,132.0,96.85,92.5,95.4,94.08181818181818,101.8,99.5,101.03333333333332,100.33636363636364,20221112,93.2,103.5,-10.299999999999995,94.7,101.1,-6.399999999999992,92.7492,101.818,-9.06888,70.1084,6.022834263234593,133.92123072918412,71.13130449331437,6.6747809747306235,139.99258517522193,9.003892973641886,139.99258517522193,6.6747809747306235,139.99258517522193,9.003892973641886,136.68340169278602,1.3111859385998912,94.4342,100.202,-5.76757,71.3257,93.2,103.5,-10.299999999999995,94.7,101.1,-6.399999999999992,9.003892973641886,136.68340169278602,0,92.93343246,98.08511031,-5.151677849999999,-9.525748274,93.77227096,102.6769514,-8.904680439999993,-14.80578143,2022-11-12,136.32121399315525,-2.0063826184723794,136.32121399315525,4.599492411146699,136.32121399315525,0.0,0.0,0.0,7.06888,9.24523,2.1763499999999993,2.1763499999999993,7.06888,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.3341175708976246,0.4503113141310615,3.435546666666669,,2.1763499999999993,4.622615,2.1763499999999993,1,1.0,1,1,1,3,3.0,0.0
-12.5,-35,-14.966666666666663,-15.42222222222222,-11.480991735537188,98.6,97.43333333333334,133.6,112.4,Thu 11-17 11-17,A,174 (Ⅲ),Saint Joseph's,"L, 99-79",77,102.5,49.2,15.6,25.6,48.3,128.4,67.3,15.6,27.3,78.2,45.0,7.5,133.0,97.725,96.85,96.46666666666668,94.90330578512396,117.7,101.8,111.8888888888889,106.38429752066114,20221117,93.9,104.1,-10.199999999999989,97.2,98.3,-1.0999999999999943,93.1445,103.022,-9.87741,68.7144,9.564750496456192,135.51636590541017,69.87404102645804,10.22751868326148,138.58137965717,4.860574217488488,138.58137965717,10.22751868326148,138.58137965717,4.860574217488488,136.27931610036825,5.086078765037499,98.4975,100.026,-1.52849,71.4864,93.9,104.1,-10.199999999999989,97.2,98.3,-1.0999999999999943,4.86237642105648,136.36442969178393,0,104.0958511,101.9247426,2.1711085000000026,8.190997883,103.7586878,100.4192973,3.3393905000000075,1.857426597,2022-11-17,150.44457631226123,-2.3707516866674325,150.44457631226123,1.8934933464289685,150.44457631226123,-8.012367333333334,3.435546666666667,-4.5768206666666655,-25.122590000000002,-15.877360000000003,4.532643333333333,9.24523,-20.410003333333336,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.23752526202697655,0.31405510557051197,-5.544812222222221,-5.089256666666664,3.435546666666669,-5.292453333333334,4.622615,-1,1.0,-1,-1,1,-3,3.0,3.0
-12.0,-25,-21.2,-18.848148148148148,-14.066265965439518,94.1,97.96666666666664,119.8,119.16666666666669,Mon 11-21 11-21,N,318 (Ⅳ),Austin Peay,"L, 74-59",63,93.1,46.9,23.7,28.1,43.8,116.7,52.0,12.6,24.1,55.1,5.5,3.0,127.5,95.9125,97.725,95.67777777777778,94.75725018782867,118.75,117.7,114.52592592592596,108.8235161532682,20221121,95.1,107.2,-12.100000000000009,95.9,102.0,-6.099999999999994,94.7066,105.363,-10.6564,69.2492,3.3708926862958464,132.20621081304654,65.64952216842106,3.906036290934466,134.49586612936588,2.1893218824969494,134.49586612936588,3.906036290934466,134.49586612936588,2.1893218824969494,128.68609993624872,3.1914889317711896,98.4924,104.126,-5.63309,66.6457,95.1,107.2,-12.100000000000009,95.9,102.0,-6.099999999999994,2.06349686515807,128.82021517524706,0,101.0276737,108.6755171,-7.647843399999999,-6.170661577,95.82474346,98.38568187,-2.5609384100000057,-2.306587209,2022-11-21,137.0052939291005,2.5367463588244377,137.0052939291005,-0.9482708757660916,137.0052939291005,-4.800199444444463,-3.838219629629627,-8.63841907407409,-14.3436,-30.220960000000005,-2.270691111111112,-15.877360000000003,-27.950268888888893,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,3,0.38754848109799234,0.38058248665651917,-8.191748148148148,-10.5436,-5.544812222222221,-7.555240000000001,-5.292453333333334,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
5.0,-11,-24.166666666666668,-16.498765432098764,-13.654217608086876,93.8,95.5,105.6,119.66666666666669,Tue 11-22 11-22,N,327 (Ⅳ),Presbyterian,"W, 68-65",67,101.8,50.0,16.5,34.1,24.6,97.3,43.6,18.0,27.3,40.0,5.5,2.0,127.5,94.85625,95.9125,95.05185185185186,94.58320469913257,112.175,118.75,111.55061728395064,108.23742230721945,20221122,95.6,108.5,-12.900000000000006,94.7,104.8,-10.099999999999994,94.5517,106.522,-11.9699,68.8948,1.0044770360748174,129.98143869461165,65.51101670782363,1.720153835658948,136.3240891737047,-0.14774710679580805,136.3240891737047,1.720153835658948,136.3240891737047,-0.14774710679580805,138.38194727912986,-2.021850041895931,94.3207,104.632,-10.3109,66.8472,95.6,108.5,-12.900000000000006,94.7,104.8,-10.099999999999994,-0.4474165819263094,138.09979432868346,0,100.073977,108.4818354,-8.407858399999995,-7.103277336,90.7839573,101.4188953,-10.634938000000005,-5.626242221,2022-11-22,134.33552032478966,0.9676207209680783,134.33552032478966,0.6255088928621078,134.33552032478966,0.9178548148148113,-8.043863925925924,-7.126009111111113,0.9699000000000009,-29.251060000000003,-11.58744740740741,-30.220960000000005,-17.663612592592592,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.4244679994402739,0.5763470956948041,-4.528865432098764,-12.196766666666667,-8.191748148148148,-5.850212000000001,-7.555240000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.5,-8,-15.333333333333334,-13.832510288065844,-12.717087133889262,94.3,94.06666666666666,102.8,109.4,Sat 11-26 11-26,H,36 (I),Florida Atlantic,"L, 73-56",65,85.9,38.8,13.8,22.0,25.9,112.0,55.9,16.9,30.3,18.6,-12.0,12.5,141.0,94.578125,94.85625,94.80123456790125,94.5317129356539,107.4875,112.175,108.6337448559671,107.24880006954317,20221126,96.0,108.6,-12.599999999999994,105.6,96.1,9.5,95.0999,106.788,-11.6885,68.3473,10.845570730749188,139.792885498453,68.2039942813656,11.620851538231435,144.14538584473826,13.017861620720351,144.14538584473826,11.620851538231435,144.14538584473826,13.017861620720351,142.34667975559677,5.13218486527775,106.902,97.1589,9.74295,70.1526,96.0,108.6,-12.599999999999994,105.6,96.1,9.5,13.092304705672964,142.2506450258976,0,100.0530065,108.500692,-8.447685500000006,-7.659909142,97.51704337,92.84929508,4.667748289999992,6.881869181,2022-11-26,138.5796781455021,8.015790976576632,138.5796781455021,15.48704705990638,138.5796781455021,4.350270477954128,-5.946708811287468,-1.5964383333333405,3.6884999999999994,-25.562560000000005,-17.47531827160494,-29.251060000000003,-8.087241728395064,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.11692964134637251,0.3124989025735897,-2.1440102880658447,-3.6448333333333345,-4.528865432098764,-4.2604266666666675,-5.850212000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-22.0,-32,-17.63333333333333,-20.08834019204389,-16.33216220045485,108.9,99.0,141.5,116.63333333333333,Tue 11-29 11-29,A,215 (Ⅲ),American,"L, 88-62",59,104.4,52.0,16.8,25.8,30.0,148.1,79.6,18.5,40.0,24.5,22.0,4.0,128.0,101.7390625,94.578125,99.50082304526752,97.144128765535,124.49375,107.4875,119.5891632373114,113.47629096598985,20221129,95.9,108.8,-12.899999999999991,97.2,104.0,-6.799999999999997,94.7067,107.064,-12.3572,67.1988,6.680179811321878,127.19677196665232,62.8655766691323,7.598300886974002,132.7636150211046,12.92960602259398,132.7636150211046,7.598300886974002,132.7636150211046,12.92960602259398,128.6144326416958,13.297385051420058,97.2097,104.625,-7.41496,65.7668,95.9,108.8,-12.899999999999991,97.2,104.0,-6.799999999999997,10.808524603897434,128.95205721833096,0,99.43877924,109.0249522,-9.586172959999999,-8.975292797,101.1931005,96.02797004,5.16513046,1.633948572,2022-11-29,133.1329091374632,8.365184416225325,133.1329091374632,10.029363034592699,133.1329091374632,10.362680257201676,-2.5596559509112566,7.803024306290419,-19.6428,-45.205360000000006,-20.171065514403296,-25.562560000000005,-25.03429448559671,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.1026818022449898,-7.73114019204389,-5.276133333333329,-2.1440102880658447,-6.45790857142857,-4.2604266666666675,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.0,-20,-20.366666666666664,-20.0588934613626,-16.999041800372147,93.3,98.83333333333331,113.3,119.2,Mon 12-05 12-05,A,172 (Ⅲ),Massachusetts,"L, 87-73",79,92.5,48.4,24.1,31.7,31.7,110.2,55.6,15.2,20.6,41.9,22.0,13.0,138.0,97.51953125,101.7390625,97.43388203017834,96.44519626271044,118.896875,124.49375,117.49277549154094,113.4442380630826,20221205,97.0,111.9,-14.900000000000006,104.0,100.3,3.700000000000003,95.7457,109.926,-14.18,66.3915,16.002832835109466,138.25069265487488,66.50076737624467,17.08866945691112,146.02813560526698,26.487807608187648,146.02813560526698,17.08866945691112,146.02813560526698,26.487807608187648,140.8691184367602,14.153672933954013,103.126,99.2379,3.88788,70.4157,97.0,111.9,-14.900000000000006,104.0,100.3,3.700000000000003,19.626263351816135,138.93475282886763,0,99.82331943,110.3677191,-10.544399670000004,-5.825916857,96.38022477,91.30195115,5.0782736200000045,6.212292786,2022-12-05,134.94208349890727,9.871120478899321,134.94208349890727,21.478642622292703,134.94208349890727,13.454448703638397,-5.39362525801816,8.060823445620237,-5.82,-51.025360000000006,-28.515830342935534,-45.205360000000006,-22.509529657064473,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,3,0.10784037468050733,0.08883420070871084,-5.878893461362601,-6.186666666666664,-7.73114019204389,-6.378170000000001,-6.45790857142857,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-15.0,-20,-24.366666666666664,-20.205928974241733,-17.635579654849938,87.9,96.7,108.4,121.06666666666666,Sat 12-10 12-10,A,33 (I-A),Providence,"L, 93-55",73,75.1,32.8,20.5,29.2,19.4,126.9,58.1,16.4,46.7,41.9,8.5,23.0,139.5,92.709765625,97.51953125,94.25592135345224,94.89152421494492,113.6484375,118.896875,114.46185032769398,112.52710386979484,20221210,97.3,112.2,-14.900000000000006,110.1,102.0,8.099999999999994,95.8725,109.698,-13.8258,67.7633,20.459100224197122,140.98373579105697,65.35967887795164,20.46175896531379,149.8011416842515,24.91777755994061,149.8011416842515,20.46175896531379,149.8011416842515,24.91777755994061,148.02890116190795,8.61557634028874,110.045,99.4155,10.6292,67.8064,97.3,112.2,-14.900000000000006,110.1,102.0,8.099999999999994,22.12317268739736,148.8133766829714,0,100.4977827,107.6339168,-7.1361340999999925,-3.73530755,102.6584355,103.124677,-0.4662415000000095,-2.114944545,2022-12-10,143.67871975470877,2.835603181547988,143.67871975470877,21.02264249935105,143.67871975470877,6.524021867899378,-5.296726314967229,1.2272955529321496,-6.174200000000001,-57.199560000000005,-36.01900689529036,-51.025360000000006,-21.180553104709645,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.01424485985536783,0.20595670943231692,-6.3801289742417335,-10.540866666666664,-5.878893461362601,-6.355506666666669,-6.378170000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
8.5,-12,-17.8,-17.77061931616116,-16.77456517214995,82.8,88.0,95.7,105.8,Wed 12-14 12-14,H,363 (Ⅳ),LIU Brooklyn,"W, 76-59",78,96.9,50.9,24.2,26.7,45.5,75.2,39.5,23.0,23.9,33.9,-12.0,-8.5,147.0,87.7548828125,92.709765625,90.4372809023015,92.69306526677308,104.67421875,113.6484375,108.20790021846268,109.46763043892304,20221214,96.6,112.3,-15.700000000000005,90.2,109.8,-19.599999999999994,95.7298,110.329,-14.5989,68.8795,-7.675761428916971,144.86000181997213,70.74375355120908,-7.657459560477619,150.21814155922806,-10.385723877171284,150.21814155922806,-7.657459560477619,150.21814155922806,-10.385723877171284,153.27737978746842,-9.865778385100356,90.8466,110.077,-19.2305,72.2027,96.6,112.3,-15.700000000000005,90.2,109.8,-19.599999999999994,-9.31476461956247,144.91122862822246,0,97.86285359,107.8014125,-9.938558909999998,-4.695981388,88.92506491,106.1667358,-17.241670889999995,-11.42174133,2022-12-14,144.78136087699144,-6.5792481887206336,144.78136087699144,-5.144148194402547,144.78136087699144,-0.4409634513539622,-5.497399584006498,-5.93836303536046,2.5989000000000004,-54.600660000000005,-43.07919126352691,-57.199560000000005,-11.521468736473096,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.790893043407255,0.8262880836962356,-3.171719316161159,-3.2011000000000003,-6.3801289742417335,-5.460065999999999,-6.355506666666669,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
