ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
5.0,-9,,-9.099999999999994,-9.099999999999994,93.7,0.0,102.8,0.0,Mon 11-07 11-07,A,120 (Ⅱ),Mississippi,"L, 73-58",67,86.2,43.0,26.8,35.1,19.3,108.5,44.9,23.8,51.2,47.5,-4.0,20.0,135.0,93.7,0.0,93.7,93.7,102.8,0.0,102.8,102.8,20221107,92.8,105.1,-12.3,104.1,91.1,13.0,91.2546,104.701,-13.4468,71.3499,23.050352946390333,135.95381869894783,70.41027357866288,21.83387439386511,140.27003092673786,14.453822282119487,140.27003092673786,21.83387439386511,140.27003092673786,14.453822282119487,133.79903347138344,3.328342654426848,105.41,90.8236,14.5867,69.3742,92.8,105.1,-12.3,104.1,91.1,13.0,14.453822282119487,133.79903347138344,0,100.434374,99.22447856,1.209895440000011,-1.751707949,96.15034693,95.73269804,0.4176488899999953,-5.419148664,2022-11-07,138.02618155461045,-0.6814536571922645,138.02618155461045,19.792187082414983,138.02618155461045,0.0,0.0,0.0,4.4468,4.4468,0.0,0.0,4.4468,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.028405513967363794,0.3756274864535264,4.346800000000005,,0.0,4.4468,0.0,1,0.0,1,1,1,3,0.0,0.0
25.0,19,,0.4333333333333362,-3.8999999999999946,110.0,0.0,90.5,0.0,Sat 11-12 11-12,A,98 (Ⅱ),Wichita St.,"W, 66-57",62,105.7,51.8,17.6,29.0,20.0,91.3,44.4,19.2,28.6,25.9,-14.5,16.0,137.5,101.85,93.7,99.13333333333334,96.66363636363636,96.65,102.8,98.70000000000002,100.56363636363636,20221112,93.8,106.1,-12.299999999999995,100.8,95.2,5.599999999999994,92.0586,105.467,-13.4086,71.5029,20.392688089797346,141.26128292493553,72.54198054964439,17.17028820324701,145.95327052558144,21.6815399766877,145.95327052558144,17.17028820324701,145.95327052558144,21.6815399766877,124.6510213418606,6.519390682087803,103.262,93.5496,9.71233,71.3216,93.8,106.1,-12.299999999999995,100.8,95.2,5.599999999999994,21.6815399766877,124.6510213418606,0,100.434374,99.22447856,1.209895440000011,-1.751707949,96.79387459,92.13421046,4.659664129999996,0.119889185,2022-11-12,139.97043813561396,3.3722965331986074,139.97043813561396,14.948145596020815,139.97043813561396,0.0,0.0,0.0,32.4086,36.8554,4.4468,4.4468,32.40860000000001,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,3,0.06377814989000363,0.2673345692192606,13.841933333333335,,4.346800000000005,18.4277,4.4468,1,1.0,1,1,1,3,3.0,0.0
20.0,15,8.733333333333334,5.555555555555556,-0.3181818181818139,100.1,101.26666666666668,84.3,92.53333333333336,Tue 11-15 11-15,A,123 (Ⅱ),Stephen F. Austin,"W, 69-60",71,97.3,49.1,28.2,46.9,42.6,84.6,43.5,29.6,35.9,42.6,-13.5,11.0,142.5,100.975,101.85,99.45555555555556,97.28842975206612,90.475,96.65,93.90000000000002,97.60661157024792,20221115,95.3,105.3,-10.0,101.0,96.9,4.099999999999994,93.9563,104.212,-10.256,69.4787,12.317539506977681,140.4178413449693,70.81352122645804,14.181327329776593,144.2720946479414,9.520475679283772,144.2720946479414,14.181327329776593,144.2720946479414,9.520475679283772,167.28581981600726,1.8321077694781849,101.15,99.5154,1.63426,71.6506,95.3,105.3,-10.0,101.0,96.9,4.099999999999994,9.460054098352519,167.17993538391872,0,100.434374,99.22447856,1.209895440000011,-1.751707949,97.33703731,99.11386073,-1.7768234199999995,-5.480648501,2022-11-15,142.0639269142747,-0.7295163227502144,142.0639269142747,4.6242173541159985,142.0639269142747,-13.841933333333332,13.841933333333332,0.0,25.256,62.1114,15.249666666666668,36.8554,46.86173333333333,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.14740707903152717,0.4307415877145546,15.811555555555557,18.989333333333335,13.841933333333335,20.7038,18.4277,1,1.0,1,1,1,3,3.0,3.0
-5.0,-8,8.833333333333334,0.7703703703703724,-1.8603305785123925,86.3,98.8,95.1,89.96666666666665,Tue 11-22 11-22,A,173 (Ⅲ),UTEP,"L, 73-61 2OT",78,78.3,31.9,21.8,38.9,40.6,93.8,46.4,15.4,23.8,78.2,2.5,7.0,131.5,93.6375,100.975,95.07037037037038,95.29053343350864,92.7875,90.475,94.3,97.15086401202105,20221122,96.7,104.4,-7.700000000000003,99.9,95.4,4.5,95.5974,103.34,-7.74292,69.0288,8.43433090498089,130.7770880686514,67.97215858207682,12.218662112559656,137.10584933948977,-0.745018948985286,137.10584933948977,12.218662112559656,137.10584933948977,-0.745018948985286,121.42625397336886,-3.521593220696573,96.858,97.3158,-0.457748,69.2239,96.7,104.4,-7.700000000000003,99.9,95.4,4.5,-0.6947208812496709,121.3857937174296,0,100.0676622,81.7367513,18.330910900000006,10.59808652,101.6498786,93.01088654,8.638992059999993,12.60524218,2022-11-22,122.47841494502615,3.4883327158264734,122.47841494502615,-1.3249611473415825,122.47841494502615,-14.922969074074068,17.065807407407405,2.1428383333333367,-0.2570800000000002,61.85432,30.870244444444445,62.1114,30.984075555555556,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.2524925375469229,0.6313344808831537,8.513290370370372,16.576253333333334,15.811555555555557,15.46358,20.7038,1,1.0,1,1,1,3,3.0,3.0
-28.0,-40,-11.0,-12.81975308641975,-8.794815927873776,93.6,93.33333333333331,133.6,104.33333333333331,Wed 11-23 11-23,N,196 (Ⅲ),Texas A&M Corpus Chris,"L, 98-67",72,93.2,49.1,22.3,34.3,41.1,136.3,68.4,15.3,28.0,43.9,31.0,3.0,134.0,93.61875,93.6375,94.58024691358024,94.98316371832524,113.19375,92.7875,107.4,103.777979646199,20221123,96.4,103.4,-7.0,99.2,101.5,-2.299999999999997,95.1045,102.807,-7.70206,67.921,2.8668656723368855,133.89926833635144,68.20389144807966,3.3018881004655043,140.00178785427252,-3.8284935855811573,140.00178785427252,3.3018881004655043,140.00178785427252,-3.8284935855811573,126.90883840641368,0.23364103378474965,98.0128,101.509,-3.49612,70.5928,96.4,103.4,-7.0,99.2,101.5,-2.299999999999997,-4.075638570710247,126.91040926079673,0,97.45345449,90.44304619,7.010408299999995,-3.640012531,107.65861,99.5708765,8.087733499999999,4.27864203,2022-11-23,135.8008604666232,5.400830560932846,135.8008604666232,-3.563021810648763,135.8008604666232,-10.954338074074077,12.798758814814818,1.8444207407407402,-32.29794,29.556380000000004,41.198269629629635,61.85432,-11.641889629629631,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,-3,0.38754848109799234,0.49112365756267595,-5.11769308641975,-3.2979399999999996,8.513290370370372,5.911275999999999,15.46358,-1,1.0,-1,1,1,-1,3.0,3.0
6.0,0,-15.966666666666663,-8.246502057613165,-7.032122122805815,85.4,88.43333333333332,84.5,104.4,Fri 11-25 11-25,N,289 (Ⅳ),Cal St. Bakersfield,"W, 62-54",70,88.4,43.3,15.7,16.7,55.8,77.0,41.7,28.5,27.3,45.8,-7.5,-2.0,123.5,89.509375,93.61875,91.52016460905352,93.24077031499336,98.846875,113.19375,99.76666666666668,100.2728924377992,20221125,96.5,105.5,-9.0,92.9,102.2,-9.299999999999995,95.0938,104.883,-9.78889,67.9049,2.2448876258303514,121.40086107158811,62.14843838477953,-0.39159270596081086,125.50913244472795,1.0999475063971804,125.50913244472795,-0.39159270596081086,125.50913244472795,1.0999475063971804,114.66523537441141,3.3704089333168454,95.3191,101.314,-5.99467,64.3405,96.5,105.5,-9.0,92.9,102.2,-9.299999999999995,1.0084699213145376,114.86390187386986,0,99.05086606,91.37463903,7.676227030000007,-0.553615792,99.58733164,86.53858357,13.048748070000002,11.60343353,2022-11-25,112.79579363585324,7.555416307290429,112.79579363585324,6.619159437543104,112.79579363585324,11.031559373897732,-5.30379444797181,5.727764925925921,9.78889,39.345270000000006,37.317639753086425,29.556380000000004,2.0276302469135814,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.5755320005597261,0.37410848174161604,1.542387942386835,-6.177776666666663,-5.11769308641975,6.557544999999999,5.911275999999999,1,-1.0,1,1,1,3,-1.0,3.0
-4.5,-9,-16.33333333333333,-8.797668038408775,-7.553554464113846,91.2,90.06666666666666,101.1,106.4,Sun 11-27 11-27,A,75 (I),Arizona St.,"L, 76-54",69,77.8,30.7,14.4,36.5,24.3,109.5,51.9,17.3,24.2,55.8,-3.5,17.5,133.5,90.3546875,89.509375,91.41344307270234,92.86972116681277,99.9734375,98.846875,100.21111111111114,100.4232756309266,20221127,95.7,103.8,-8.099999999999994,104.6,90.5,14.099999999999994,95.0726,103.836,-8.76307,67.9276,17.987106385328758,129.60295483247864,65.86532579402561,18.526719242224523,132.2439353030505,19.802033895143463,132.2439353030505,18.526719242224523,132.2439353030505,19.802033895143463,127.10855503288168,10.744202625102268,105.466,92.1289,13.3371,68.1657,95.7,103.8,-8.099999999999994,104.6,90.5,14.099999999999994,17.616068951845488,122.89941819053391,0,98.31956381,90.89806213,7.421501680000006,-1.199390775,105.9962808,86.99443124,19.001849559999997,32.19410764,2022-11-27,123.04868703479508,24.12477244468421,123.04868703479508,28.022392307450694,123.04868703479508,18.4917813991769,-3.654140618753642,14.83764078042326,-0.2369299999999992,39.108340000000005,37.993516502057616,39.345270000000006,1.114823497942389,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,-3,0.047790352272814696,0.15309308160457924,-0.034598038408773846,-7.570263333333328,1.542387942386835,5.586905714285715,6.557544999999999,-1,1.0,1,1,1,1,3.0,-1.0
6.0,-17,-8.833333333333329,-11.698445358939184,-9.361999107002235,108.8,95.13333333333333,126.3,103.96666666666664,Tue 11-29 11-29,A,129 (Ⅱ),Grand Canyon,"L, 80-72",62,115.6,47.5,12.8,38.9,30.0,128.5,65.3,19.3,39.1,42.9,27.0,14.0,125.0,99.57734375,90.3546875,97.20896204846824,95.76613550011952,113.13671875,99.9734375,108.90740740740743,105.12813460712177,20221129,95.9,103.3,-7.399999999999991,102.1,95.9,6.199999999999989,94.6449,103.314,-8.66921,67.9073,12.038705249125456,118.36518090814795,60.629917116073976,11.860481934248277,123.29938155518178,13.264885859155259,123.29938155518178,11.860481934248277,123.29938155518178,13.264885859155259,108.95465435221078,0.3259690193856244,101.743,95.7722,5.97057,62.7662,95.9,103.3,-7.399999999999991,102.1,95.9,6.199999999999989,11.120091688340189,110.07046695671112,0,97.45644424,91.62159536,5.834848879999996,-2.544039418,92.12261505,91.04374124,1.0788738099999904,9.589607052,2022-11-29,107.83879027028846,9.114061582604428,107.83879027028846,15.48996601297059,107.83879027028846,7.538927178587771,-3.3818736230322113,4.15705355555556,-8.33079,30.777550000000005,38.36512433470508,39.108340000000005,-7.587574334705074,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,3,0.09121121972586788,0.4876169582514285,-3.029235358939184,-0.16412333333332896,-0.034598038408773846,3.8471937500000006,5.586905714285715,-1,-1.0,-1,1,1,-1,1.0,3.0
-26.5,-41,-22.933333333333326,-21.59896357262612,-15.187090178456373,79.2,93.06666666666666,120.6,116.0,Sun 12-04 12-04,A,5 (I-A),Tennessee,"L, 94-40",69,58.0,28.1,31.9,22.9,33.3,136.2,58.7,15.9,53.1,38.1,3.0,27.5,131.0,89.388671875,99.57734375,91.20597469897882,92.75411086373416,116.868359375,113.13671875,112.80493827160495,107.94120104219051,20221204,97.2,105.1,-7.899999999999991,108.0,84.5,23.5,96.3675,104.881,-8.51384,67.4613,26.670742772781196,126.79853053061011,64.67254773926031,24.45199123294107,130.39877776593625,30.391354252575972,130.39877776593625,24.45199123294107,130.39877776593625,30.391354252575972,119.93224808969079,15.516734024562588,110.577,83.0398,27.5376,67.3939,97.2,105.1,-7.899999999999991,108.0,84.5,23.5,22.15884427352364,117.09598252200712,0,100.3331076,96.88571273,3.4473948700000108,-5.272238946,98.8860565,77.01020371,21.875852789999996,23.66992349,2022-12-04,115.18510288306922,20.69504067337057,115.18510288306922,29.39413088980939,115.18510288306922,5.986703621916293,-4.826649901882332,1.160053720033961,-32.48616,-1.708609999999993,35.83593288980339,30.777550000000005,-37.54454288980338,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.004408781892886959,0.06973277533057487,-13.085123572626118,-14.419493333333326,-3.029235358939184,-0.18984555555555538,3.8471937500000006,-1,-1.0,-1,-1,1,-3,-1.0,1.0
9.0,0,-19.63333333333333,-14.399309048417416,-12.425801055100669,108.9,98.96666666666668,108.9,118.6,Sat 12-10 12-10,A,133 (Ⅱ),Southern Illinois,"L, 74-68",68,100.0,45.8,16.2,31.4,28.3,108.8,63.5,27.9,33.3,43.8,13.0,15.0,129.0,99.1443359375,89.388671875,97.10398313265256,95.68972707032792,112.8841796875,116.868359375,111.50329218106998,108.1155281254286,20221210,97.4,106.6,-9.199999999999989,101.2,94.8,6.400000000000006,96.6502,105.595,-8.9451,67.6363,12.802591953292534,122.8473458914911,61.82756370910385,13.434304828688639,127.45753126739355,19.11727870121381,127.45753126739355,13.434304828688639,127.45753126739355,19.11727870121381,125.89610884886719,6.818045659294221,101.544,95.1846,6.35914,64.2625,97.4,106.6,-9.199999999999989,101.2,94.8,6.400000000000006,12.810245458339736,116.81851857055514,0,98.1804613,100.0577139,-1.8772525999999914,-6.87129592,97.97501433,94.35270359,3.622310739999989,4.137751849,2022-12-10,121.21262584918045,8.514136635170857,121.21262584918045,17.792213694186053,121.21262584918045,10.0298923217913,-11.742819406363584,-1.712927084572284,8.9451,7.236490000000007,23.32108525986893,-1.708609999999993,-16.084595259868923,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.07656372550983481,0.25806006730156217,-5.454209048417416,-10.68823333333333,-13.085123572626118,0.723649,-0.18984555555555538,-1,-1.0,-1,1,-1,-1,-3.0,-1.0
