ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
34.0,24,,24.700000000000003,24.700000000000003,111.8,0.0,87.1,0.0,Mon 11-07 11-07,A,12 (I-A),TCU,"L, 73-72",75,96.1,51.6,20.0,20.0,15.9,97.5,42.6,17.4,28.2,70.4,1.5,35.0,143.5,111.8,0.0,111.8,111.8,87.1,0.0,87.1,87.1,20221107,92.5,109.1,-16.6,106.7,90.6,16.1,89.6796,111.568,-21.8884,72.4089,33.32887254931554,146.77461440877664,73.68496523769558,28.780696970432693,151.49560041330867,-26.022859923716,151.49560041330867,28.780696970432693,151.49560041330867,-26.022859923716,150.25329845607305,9.601501744025455,107.069,88.7356,18.3335,71.5389,92.5,109.1,-16.6,106.7,90.6,16.1,-26.022859923716,150.25329845607305,0,101.0681193,101.9578006,-0.8896812999999923,-2.997060204,100.7937024,94.56234538,6.231357020000004,9.615156406,2022-11-07,149.54727919719178,11.424758037838615,149.54727919719178,26.1530047118153,149.54727919719178,0.0,0.0,0.0,45.888400000000004,45.888400000000004,0.0,0.0,45.888400000000004,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.0004290603331967846,0.18024580362793574,46.58840000000001,,0.0,45.888400000000004,0.0,1,0.0,1,1,1,3,0.0,0.0
20.0,5,,18.333333333333336,21.227272727272727,93.1,0.0,87.5,0.0,Fri 11-11 11-11,A,51 (I),Oklahoma,"L, 66-58",68,85.0,43.8,14.7,14.3,23.2,96.7,51.1,19.1,10.0,60.9,-18.5,28.0,142.5,102.45,111.8,105.56666666666668,108.4,87.3,87.1,87.23333333333333,87.17272727272726,20221111,93.1,109.6,-16.5,105.7,90.5,15.200000000000005,89.8826,111.771,-21.8885,72.4259,31.397070778337287,142.1516874527223,71.61540987866287,27.249251270666555,147.2502217975428,-3.0581777032064537,147.2502217975428,27.249251270666555,147.2502217975428,-3.0581777032064537,107.07943279007306,15.101755767250395,105.961,88.9328,17.0284,69.5133,93.1,109.6,-16.5,105.7,90.5,15.200000000000005,-3.0581777032064537,107.07943279007306,0,101.0681193,101.9578006,-0.8896812999999923,-2.997060204,105.2855391,91.34786458,13.937674519999987,14.95452916,2022-11-11,146.59368036221224,14.981223245020956,146.59368036221224,24.694282403540775,146.59368036221224,0.0,0.0,0.0,26.8885,72.77690000000001,45.888400000000004,45.888400000000004,26.888500000000008,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.003830380567589775,0.07517980035582006,40.221833333333336,,46.58840000000001,36.38845,45.888400000000004,1,1.0,1,1,1,3,3.0,0.0
-10.5,-30,-0.0666666666666676,2.055555555555559,11.822314049586772,82.6,95.83333333333331,113.1,95.9,Sun 11-13 11-13,A,62 (I),Mississippi St.,"L, 80-47",68,68.9,34.4,26.4,31.1,11.5,117.3,52.4,17.6,42.9,30.6,-6.5,22.5,133.5,92.525,102.45,97.91111111111113,103.70909090909088,100.2,87.3,95.85555555555555,91.88677685950412,20221113,93.8,108.5,-14.700000000000005,102.4,91.8,10.600000000000009,90.9249,111.022,-20.0968,71.5923,29.317176239320325,141.19989337984097,70.19976357012801,21.927496608523796,142.2090584633009,5.926394698455503,142.2090584633009,21.927496608523796,142.2090584633009,5.926394698455503,116.33772476187386,16.562176638083827,106.926,90.5997,16.3266,68.9326,93.8,108.5,-14.700000000000005,102.4,91.8,10.600000000000009,6.052289529863631,116.37210699740486,0,101.0681193,101.9578006,-0.8896812999999923,-2.997060204,107.7886663,91.53816484,16.25050146000001,18.34357701,2022-11-13,145.7941348015883,17.09749530774721,145.7941348015883,-0.18916496290030693,145.7941348015883,-40.34743333333332,40.22183333333332,-0.1255999999999986,-9.903199999999998,62.873700000000014,54.85123333333334,72.77690000000001,8.022466666666674,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.016062285603828275,0.057357488798016165,22.15235555555556,20.030133333333335,40.221833333333336,20.957900000000002,36.38845,1,1.0,1,1,1,3,3.0,3.0
-6.0,-13,-12.733333333333334,-3.062962962962959,7.25462058602554,91.7,89.13333333333333,105.0,101.86666666666667,Wed 11-16 11-16,A,71 (I),Kent St.,"L, 94-68",85,80.4,46.7,23.7,10.3,26.7,111.2,55.6,24.8,27.6,72.2,20.0,20.0,142.0,92.1125,92.525,95.84074074074076,101.52561983471072,102.6,100.2,98.90370370370373,94.27099924868516,20221116,93.6,108.8,-15.200000000000005,102.7,95.8,6.900000000000006,90.8959,111.184,-20.2884,71.4163,24.04220627635872,146.60070542373464,71.35372184807966,20.227018511068906,147.48389981556105,19.456760198756697,147.48389981556105,20.227018511068906,147.48389981556105,19.456760198756697,136.19816292654968,11.235192396044319,105.121,97.6708,7.44968,70.2384,93.6,108.8,-15.200000000000005,102.7,95.8,6.900000000000006,19.760915090577402,136.39981745307102,0,99.28153762,92.24595495,7.035582669999997,4.408396349,104.8249315,87.05885874,17.76607276,16.61280716,2022-11-16,133.90039549767835,10.916197310157159,133.90039549767835,18.056556146979034,133.90039549767835,-5.170780740740735,24.10284074074074,18.932060000000003,7.288399999999999,70.16210000000001,57.5253888888889,62.873700000000014,12.636711111111111,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.028405513967363794,0.14230553052576722,17.22543703703704,7.555066666666665,22.15235555555556,17.540525000000002,20.957900000000002,1,1.0,1,1,1,3,3.0,3.0
1.0,-13,-19.0,-6.4419753086419735,3.5355986612936223,84.6,86.3,97.8,105.3,Fri 11-18 11-18,A,163 (Ⅲ),Cleveland St.,"L, 67-58",68,84.8,35.7,17.5,30.2,44.6,97.9,47.2,24.8,29.4,39.6,-8.0,10.0,133.0,88.35624999999999,92.1125,92.09382716049384,98.44823441021784,100.2,102.6,98.53580246913582,94.91263574892425,20221118,93.6,108.4,-14.800000000000011,97.8,100.6,-2.799999999999997,90.7914,110.679,-19.888,73.2901,11.98797753511613,138.98873256508531,69.38268471123756,12.402030273727192,142.4442790638492,4.9002092253508085,142.4442790638492,12.402030273727192,142.4442790638492,4.9002092253508085,132.96104537774096,-3.44961061271151,96.0846,104.206,-8.1211,66.552,93.6,108.4,-14.800000000000011,97.8,100.6,-2.799999999999997,4.813961059996978,132.7664708889233,0,99.28153762,92.24595495,7.035582669999997,4.408396349,96.54591423,99.90306398,-3.357149750000005,-6.452856244,2022-11-18,133.5306361671773,-5.612972486659601,133.5306361671773,3.8062703539777374,133.5306361671773,-9.227508888888913,15.623251481481503,6.39574259259259,6.888000000000002,77.05010000000001,61.73762592592594,70.16210000000001,15.312474074074075,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.17045190796406517,0.6287461594053216,13.446024691358028,0.8880000000000017,17.22543703703704,15.410020000000001,17.540525000000002,1,1.0,1,1,1,3,3.0,3.0
-6.0,-17,-14.699999999999998,-10.161316872427982,-0.3072374589415809,104.0,93.43333333333332,121.6,108.13333333333333,Sun 11-20 11-20,A,120 (Ⅱ),Nebraska,"L, 82-58",64,90.1,50.9,28.0,25.0,5.6,127.4,60.2,15.5,43.3,48.1,-2.0,18.0,142.0,96.178125,88.35624999999999,96.06255144032924,99.45764633563276,110.9,100.2,106.22386831275722,99.76488379457436,20221120,93.8,108.4,-14.600000000000009,103.4,96.4,7.0,90.3065,109.785,-19.4788,73.6228,22.152396879496365,148.8231581517042,74.77615404893315,20.883795513435587,155.19863248067122,10.379900357120588,155.19863248067122,20.883795513435587,155.19863248067122,10.379900357120588,134.51316341962544,0.6357568120602082,101.786,96.9564,4.82949,71.4013,93.8,108.4,-14.600000000000009,103.4,96.4,7.0,10.206265353338015,134.47858088357196,0,99.80124028,97.48037509,2.3208651900000064,0.71545367,92.85850149,95.06578627,-2.207284780000009,0.402116982,2022-11-20,141.5660320184985,1.8711306577922642,141.5660320184985,11.005261077416904,141.5660320184985,-13.311663192239866,12.518376155202834,-0.7932870370370333,2.4787999999999997,79.52890000000002,66.8417839506173,77.05010000000001,12.687116049382723,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.04323813274683286,0.475859487090322,9.317483127572018,4.778800000000002,13.446024691358028,13.25481666666667,15.410020000000001,1,1.0,1,1,1,3,3.0,3.0
-15.0,-30,-20.53333333333333,-17.040877914951988,-5.851376102770384,81.8,90.13333333333333,112.6,110.66666666666669,Wed 11-30 11-30,A,145 (Ⅲ),Air Force,"L, 81-53",68,78.0,33.9,25.0,38.6,33.9,119.2,65.0,22.1,30.8,44.0,6.5,13.0,127.5,88.98906249999999,96.178125,91.30836762688617,96.24716518369954,111.75,110.9,108.34924554183816,102.09854128646992,20221130,94.9,108.6,-13.699999999999989,98.1,100.5,-2.4000000000000057,92.1442,111.178,-19.0338,70.8309,11.81242560445687,125.86087283190668,63.06337998051209,10.887789242783334,130.94456027797074,12.278595668366581,130.94456027797074,10.887789242783334,130.94456027797074,12.278595668366581,123.91596251166139,-5.440743456590155,95.9652,101.444,-5.47864,62.5907,94.9,108.6,-13.699999999999989,98.1,100.5,-2.4000000000000057,8.020399490714318,122.62518054852569,0,101.5955544,96.08346183,5.512092569999993,3.422816411,93.0739854,101.6031858,-8.529200400000008,-9.398208872,2022-11-30,124.4973274081166,-6.372353234503578,124.4973274081166,10.962159903710479,124.4973274081166,0.6953042236593259,9.493093283362686,10.188397507022012,-10.9662,68.56270000000002,71.07082263374488,79.52890000000002,-2.508122633744861,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.10784037468050733,0.6978287878495697,1.9929220850480114,-1.499533333333332,9.317483127572018,9.794671428571428,13.25481666666667,1,1.0,-1,1,1,1,3.0,3.0
-7.5,-23,-23.8,-19.027251943301327,-8.969307720448496,82.4,89.39999999999999,105.4,113.2,Sat 12-10 12-10,A,13 (I-A),Texas,"L, 88-43",67,64.1,39.2,32.8,20.6,5.9,131.2,63.8,13.4,38.7,15.4,-8.0,37.5,139.0,85.69453125,88.98906249999999,88.33891175125746,93.72949878666326,108.575,111.75,107.3661636945588,102.69880650711175,20221210,94.7,109.2,-14.5,112.5,89.0,23.5,92.4613,111.835,-19.3739,70.9221,36.65507174425048,143.41061010290932,69.25618728691325,31.46211173707767,147.65520946606705,37.37743741318703,147.65520946606705,31.46211173707767,147.65520946606705,37.37743741318703,136.35934206009674,20.276536460859376,113.62,86.1696,27.4501,68.6487,94.7,109.2,-14.5,112.5,89.0,23.5,30.240995888337817,130.54968934443127,0,98.46620115,96.84850082,1.6177003300000052,0.652201617,105.1774166,79.53411023,25.643306370000005,19.56202341,2022-12-10,128.24103066523432,15.231389262221327,128.24103066523432,29.32777684702331,128.24103066523432,-8.527689692337802,3.6746296720882796,-4.853060020249522,-3.626100000000001,64.93660000000003,70.23478175582994,68.56270000000002,-5.298181755829916,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.00017751969037349546,0.02673542322596245,0.3466480566986725,-4.426100000000002,1.9929220850480114,8.117075,9.794671428571428,1,1.0,-1,1,1,1,1.0,3.0
1.0,-20,-24.6,-19.35150129553422,-10.974888134912405,88.7,84.3,108.7,108.90000000000002,Wed 12-14 12-14,A,206 (Ⅲ),Minnesota,"L, 72-56",67,83.7,38.6,17.9,31.1,10.6,107.6,61.7,23.9,20.0,38.3,-8.0,17.0,136.0,87.197265625,85.69453125,88.4592745008383,92.8150444618154,108.6375,108.575,107.81077579637254,103.7899325967278,20221214,94.2,108.6,-14.399999999999991,99.9,102.2,-2.299999999999997,92.6003,112.022,-19.4213,70.9631,16.572645207377356,137.10676408348343,66.03494992162162,12.15475271872645,138.8766398690922,11.759036477418183,138.8766398690922,12.15475271872645,138.8766398690922,11.759036477418183,133.01166372148893,0.3837909344351118,101.531,101.884,-0.352279,65.4179,94.2,108.6,-14.399999999999991,99.9,102.2,-2.299999999999997,8.40647718673499,128.36974086133492,0,96.55319412,98.13681308,-1.5836189599999955,-1.129608085,94.45153425,100.9265112,-6.4749769499999985,-10.3548123,2022-12-14,128.65279999785855,-4.3490526232374975,128.65279999785855,8.918184927664413,128.65279999785855,-8.963650941157354,0.82273872123152,-8.140912219925834,-0.5787000000000013,64.35790000000003,68.46872117055331,64.93660000000003,-4.11082117055328,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.05271850889006269,0.4854213005257083,0.06979870446577863,-5.178700000000003,0.3466480566986725,7.150877777777779,8.117075,1,1.0,-1,1,1,1,1.0,1.0
-0.5,-14,-19.23333333333333,-17.80100086368948,-11.652181201291969,79.2,83.43333333333334,93.9,102.66666666666669,Mon 1-02 1-02,A,345 (Ⅳ),Alabama A&M,"L, 66-59",75,78.8,36.1,25.4,34.1,29.5,88.2,48.4,26.7,34.3,24.6,-17.5,6.5,142.5,83.1986328125,87.197265625,85.37284966722555,90.33958183239442,101.26875,108.6375,103.17385053091505,101.99176303368638,20230102,93.1,108.1,-15.0,92.6,105.1,-12.5,92.2623,111.406,-19.1438,70.8295,7.893519288886949,143.88993358257565,72.01999981792319,5.741525227287752,145.86769157456007,11.113394472132365,145.86769157456007,5.741525227287752,145.86769157456007,11.113394472132365,135.18179251729063,-1.1387669244323604,92.4534,105.787,-13.3331,71.4816,93.1,108.1,-15.0,92.6,105.1,-12.5,3.1048145598870733,137.90020664111861,0,93.77749561,97.18615511,-3.408659499999999,-3.142566042,91.08508348,101.529124,-10.444040520000001,-11.24027981,2023-01-02,135.21153784019106,-3.960432803857614,135.21153784019106,8.999551340410612,135.21153784019106,3.7235560643471874,0.06211862539429447,3.785674689741482,5.143799999999999,69.50170000000003,67.09844744703555,64.35790000000003,2.4032525529644744,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.26794249453351904,0.5431822131985926,1.3427991363105178,-0.08953333333333191,0.06979870446577863,6.950170000000002,7.150877777777779,1,1.0,1,1,1,3,1.0,1.0
