ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-5.0,2,,2.799999999999997,2.799999999999997,96.7,0.0,93.9,0.0,Mon 11-07 11-07,H,178 (Ⅲ),Ohio,"W, 70-69",70,100.4,55.3,18.6,19.4,22.8,99.0,50.8,20.1,27.3,15.0,-5.5,-6.0,144.5,96.7,0.0,96.7,96.7,93.9,0.0,93.9,93.9,20221107,97.9,99.7,-1.8,100.7,98.6,2.1,102.373,99.236,3.13691,72.7183,-8.522685367184707,146.245577341692,73.45096531849218,-1.2347728208316795,147.79198430308378,-5.580545198492047,147.79198430308378,-1.2347728208316795,147.79198430308378,-5.580545198492047,135.6829965751829,-10.27699710525141,97.6611,100.591,-2.92994,71.0083,97.9,99.7,-1.8,100.7,98.6,2.1,-5.580545198492047,135.6829965751829,0,105.2102316,94.81649975,10.393731849999995,14.16692035,97.14982653,95.43807012,1.7117564099999925,0.480367971,2022-11-07,144.74176687570184,-12.260151915420934,144.74176687570184,0.8048756779600268,144.74176687570184,0.0,0.0,0.0,-1.1369099999999999,-1.1369099999999999,0.0,0.0,-1.1369099999999999,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.7161454169013237,0.8361511135135502,-0.3369100000000027,,0.0,-1.1369099999999999,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-6.0,-3,,0.666666666666667,1.636363636363635,106.5,0.0,110.1,0.0,Fri 11-11 11-11,A,95 (Ⅱ),Furman,"L, 89-74",72,102.6,54.7,12.5,18.4,20.3,123.4,65.0,22.2,42.3,25.0,17.5,9.0,145.5,101.6,96.7,99.96666666666668,98.48181818181816,102.0,93.9,99.3,96.84545454545454,20221111,98.4,100.2,-1.7999999999999972,106.4,96.5,9.900000000000006,102.576,99.4387,3.13694,72.7352,10.436288706193437,148.6997006871263,72.63908193342816,12.850555876975918,149.9723428917975,12.285713035909044,149.9723428917975,12.850555876975918,149.9723428917975,12.285713035909044,152.26114267571535,-2.744051846399188,107.672,95.9121,11.76,70.2071,98.4,100.2,-1.7999999999999972,106.4,96.5,9.900000000000006,12.285713035909044,152.26114267571535,0,105.2102316,94.81649975,10.393731849999995,14.16692035,103.7488697,102.4974934,1.251376300000004,2.448216187,2022-11-11,152.9798489701402,-6.309497667367168,152.9798489701402,10.615039599259603,152.9798489701402,0.0,0.0,0.0,-6.13694,-7.2738499999999995,-1.1369099999999999,-1.1369099999999999,-6.136939999999999,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.19568296915377603,0.6030841721622179,-2.470273333333333,,-0.3369100000000027,-3.6369249999999997,-1.1369099999999999,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-5.0,0,-0.099999999999999,0.6111111111111114,1.429752066115701,107.8,103.66666666666669,107.3,103.76666666666668,Mon 11-14 11-14,A,190 (Ⅲ),Lipscomb,"L, 77-75",72,104.1,50.8,19.4,28.9,30.6,106.9,56.9,16.7,25.0,29.3,-0.5,-3.0,152.5,104.7,101.6,102.57777777777778,100.1760330578512,104.65,102.0,101.96666666666668,98.74628099173552,20221114,100.0,101.5,-1.5,103.7,105.3,-1.5999999999999943,103.466,100.777,2.68964,72.4733,0.5898611747840476,153.9515205158403,73.17504360327169,4.37664262585443,157.52763796027315,-2.6698729485374546,157.52763796027315,4.37664262585443,157.52763796027315,-2.6698729485374546,173.77883202715554,-8.2660038607725,102.419,104.698,-2.27885,70.9807,100.0,101.5,-1.5,103.7,105.3,-1.5999999999999943,-2.7041752722251062,173.7479344233573,0,105.2102316,94.81649975,10.393731849999995,14.16692035,97.61139345,103.8392564,-6.227862950000002,-8.046294655,2022-11-14,150.62927683349432,-14.142925757410083,150.62927683349432,0.3807053601866244,150.62927683349432,2.470273333333332,-2.470273333333332,0.0,-2.68964,-9.96349,-3.1825566666666663,-7.2738499999999995,-6.7809333333333335,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.6124515189020077,0.7844288573571593,-2.078528888888888,-2.789639999999999,-2.470273333333333,-3.3211633333333337,-3.6369249999999997,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-12.0,-14,-6.0,-4.559259259259261,-1.539293764087155,106.1,106.8,121.0,112.8,Fri 11-18 11-18,N,141 (Ⅲ),Tarleton St.,"L, 89-81",76,107.0,58.8,27.8,34.5,29.8,117.6,57.0,19.8,39.4,98.0,37.5,-4.0,132.5,105.4,104.7,103.75185185185184,101.25311795642372,112.825,104.65,108.31111111111112,102.79241172051088,20221118,100.0,101.7,-1.7000000000000028,95.7,95.8,-0.0999999999999943,103.491,101.195,2.29554,72.0143,-3.738863415195283,141.91208809813833,72.08928501792319,1.1256410875011795,142.3744670520194,7.235396703256619,142.3744670520194,1.1256410875011795,142.3744670520194,7.235396703256619,119.17824453901993,10.001733386006919,95.1766,98.1016,-2.92493,70.3732,100.0,101.7,-1.7000000000000028,95.7,95.8,-0.0999999999999943,7.2598574727769085,119.28287164920508,0,102.6298958,106.0082628,-3.3783669999999972,-2.563672977,100.5461626,90.63652823,9.909634370000006,-1.389802494,2022-11-18,147.1519467075074,0.8462348382311404,147.1519467075074,-0.2629923916394574,147.1519467075074,2.499380185185183,-2.499380185185183,0.0,-16.29554,-26.25903,-5.442867777777778,-9.96349,-20.81616222222222,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.6483807083005341,0.17041006494982092,-6.854799259259261,-8.295539999999999,-2.078528888888888,-6.5647575,-3.3211633333333337,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.0,3,-3.666666666666672,-1.9061728395061772,-0.6412403524349464,102.1,105.33333333333331,98.7,109.0,Sat 11-19 11-19,N,150 (Ⅲ),George Mason,"W, 66-62",65,101.7,50.0,17.0,28.1,26.8,95.5,49.1,26.2,43.6,24.1,-17.5,3.0,145.5,103.75,105.4,103.20123456790124,101.40709650980122,105.7625,112.825,105.10740740740744,102.04833686223616,20221119,101.0,103.8,-2.799999999999997,102.4,98.3,4.1000000000000085,103.836,102.704,1.13212,72.7158,3.340332486554601,143.91904366937382,70.8215689254623,5.078090739735572,148.95756989648532,-0.9217772424371377,148.95756989648532,5.078090739735572,148.95756989648532,-0.9217772424371377,147.44342851065102,0.2649855994358319,101.734,96.0599,5.67383,68.4687,101.0,103.8,-2.799999999999997,102.4,98.3,4.1000000000000085,-1.3177733672533933,147.07645975803067,0,102.6298958,106.0082628,-3.3783669999999972,-2.563672977,96.93150484,99.76596076,-2.8344559199999964,-2.40597677,2022-11-19,148.64665147550528,0.11168292793334444,148.64665147550528,-0.7698566844304935,148.64665147550528,-5.873055037037032,-5.809416370370373,-11.682471407407405,1.86788,-24.39115,-12.38158851851852,-26.25903,-12.00956148148148,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.38754848109799234,0.48993307247765683,-3.0382928395061772,-4.798786666666672,-6.854799259259261,-4.87823,-6.5647575,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
16.0,20,2.933333333333328,5.495884773662548,3.1662578934623165,124.2,110.8,103.9,107.86666666666667,Mon 11-21 11-21,N,248 (Ⅳ),Howard,"W, 96-73",75,128.7,61.2,13.4,27.6,53.4,97.9,44.3,20.1,30.0,36.1,23.0,-7.0,146.0,113.975,103.75,110.2008230452675,105.55126078074645,104.83125,105.7625,104.70493827160496,102.38500288728412,20221121,101.8,103.7,-1.9000000000000057,100.2,108.9,-8.700000000000003,104.915,102.827,2.0883,71.5742,-6.695603152843262,147.653563001698,69.62286128421053,-4.95501920335181,153.05741316560014,-6.666997104605443,153.05741316560014,-4.95501920335181,153.05741316560014,-6.666997104605443,152.67837518469673,-6.842057954647871,98.9388,106.182,-7.24294,68.3834,101.8,103.7,-1.9000000000000057,100.2,108.9,-8.700000000000003,-6.596470968095932,152.87187524586005,0,102.9610917,103.7443785,-0.7832867999999991,1.270013346,97.04213919,107.1049496,-10.062810409999997,-6.579892008,2022-11-21,150.33830259065434,-5.465328715557234,150.33830259065434,-4.4761237431980945,150.33830259065434,2.8500534708994736,-3.9515442292769003,-1.1014907583774267,17.9117,-6.47945,-16.384775679012346,-24.39115,9.905325679012346,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.7475074624530771,0.7426783023055125,3.4075847736625478,0.845033333333328,-3.0382928395061772,-1.0799083333333332,-4.87823,1,-1.0,1,-1,-1,1,-3.0,-3.0
0.5,0,8.033333333333331,3.7972565157750338,2.663301912832805,107.0,111.1,106.6,103.06666666666666,Sun 11-27 11-27,A,283 (Ⅳ),Georgia St.,"W, 68-66",66,102.4,59.8,22.6,18.5,17.6,99.4,46.3,16.6,24.1,37.0,-4.5,-1.5,138.5,110.4875,113.975,109.13388203017834,105.8146679115198,105.715625,104.83125,105.33662551440332,103.151365998687,20221127,102.8,103.4,-0.6000000000000085,99.2,100.1,-0.8999999999999915,106.504,103.225,3.27896,70.7062,-1.8309892867829092,136.01266569229156,65.67167717325745,3.6517469322768648,138.37789592103934,1.1242133253543798,138.37789592103934,3.6517469322768648,138.37789592103934,1.1242133253543798,138.49645758363215,0.38242891605759155,96.7365,101.865,-5.12895,65.2944,102.8,103.4,-0.6000000000000085,99.2,100.1,-0.8999999999999915,1.0009595231461905,135.7350759884057,0,102.111636,102.2001381,-0.08850209999999947,2.361510629,93.90488456,98.82791746,-4.9230328999999955,-4.190286227,2022-11-27,132.50578056809192,-2.4806817459659243,132.50578056809192,-2.3349236306134884,132.50578056809192,0.8355647110523439,2.3480007069370696,3.1835654179894135,-3.27896,-9.75841,-13.083000452674899,-6.47945,3.324590452674899,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,-3,0.5567984968164682,0.4854730153020723,0.5182965157750337,4.754373333333332,3.4075847736625478,-1.3940585714285714,-1.0799083333333332,1,1.0,1,-1,-1,1,1.0,-3.0
3.0,5,8.633333333333335,4.2648376771833565,3.1245197468632044,109.2,113.46666666666664,104.0,104.83333333333331,Thu 12-01 12-01,H,288 (Ⅳ),Valparaiso,"W, 76-64",67,113.5,55.8,14.9,27.3,16.7,95.6,42.2,9.0,22.0,23.4,-0.5,-9.0,140.5,109.84375,110.4875,109.15592135345224,106.43018283669802,104.8578125,105.715625,104.89108367626888,103.3056630898348,20221201,103.4,103.4,0.0,96.6,103.9,-7.300000000000011,106.058,102.998,3.06013,69.8349,-11.187397649385694,136.65504864370928,65.38801621834993,-8.95459700561959,139.1807168373973,-18.790246235419385,139.1807168373973,-8.95459700561959,139.1807168373973,-18.790246235419385,142.17697291300163,-9.229695839485359,96.2913,104.188,-7.89659,65.8235,103.4,103.4,0.0,96.6,103.9,-7.300000000000011,-15.753407540824501,137.03910307380107,0,102.5193498,102.6752355,-0.1558856999999989,1.741255482,94.03193439,102.1041132,-8.072178809999997,0.523865241,2022-12-01,135.1052841911781,-2.647627427419579,135.1052841911781,-15.434912771177189,135.1052841911781,-8.095189049578664,2.4809767133712155,-5.61421233620745,1.93987,-7.81854,-11.974803635116599,-9.75841,4.156263635116599,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,3,0.804317030846224,0.810304418472023,1.2047076771833565,5.573203333333335,0.5182965157750337,-0.9773174999999998,-1.3940585714285714,1,1.0,1,-1,-1,1,1.0,1.0
-14.5,-13,-2.5,-1.5234415485444308,0.1746070656153469,110.1,108.76666666666668,123.2,111.26666666666668,Sun 12-04 12-04,A,260 (Ⅳ),Illinois St.,"L, 87-77",71,108.0,52.5,12.6,18.2,30.5,122.0,66.4,26.6,40.0,30.9,29.5,-4.5,134.5,109.971875,109.84375,109.47061423563484,107.09742232093474,114.02890625,104.8578125,110.99405578417928,106.9228152553194,20221204,104.3,103.6,0.7000000000000028,97.5,104.8,-7.299999999999997,106.32,103.284,3.0359,69.6533,-3.3199405839043123,130.82338783346955,62.38121805576103,-1.5433343200107998,134.60820126518473,-8.933622794488024,134.60820126518473,-1.5433343200107998,134.60820126518473,-8.933622794488024,132.49715696454044,-1.5379943047896134,96.7153,104.54,-7.82427,62.9604,104.3,103.6,0.7000000000000028,97.5,104.8,-7.299999999999997,-5.313823683996505,130.1900968694763,0,102.9433755,103.6303605,-0.6869849999999929,0.345426951,92.41123984,100.7853779,-8.374138060000007,-4.078761683,2022-12-04,127.69484497225815,-1.0457932489312967,127.69484497225815,-11.920726102410164,127.69484497225815,-9.79065916018899,2.777719753848493,-7.012939406340498,-16.035899999999998,-23.854439999999997,-10.589382423411067,-7.81854,-13.26505757658893,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.6658824291023754,0.5582270437068122,-4.559341548544431,-5.5359,1.2047076771833565,-2.6504933333333334,-0.9773174999999998,-1,1.0,-1,-1,-1,-3,1.0,1.0
-11.0,-4,-4.033333333333336,-2.415627699029621,-0.6207760372238077,100.6,106.63333333333333,104.8,110.66666666666669,Sat 12-10 12-10,H,118 (Ⅲ),Middle Tennessee,"L, 85-75 OT",78,95.8,50.0,21.7,27.9,42.6,108.6,50.7,15.3,41.5,43.5,16.5,-1.0,143.5,105.2859375,109.971875,106.51374282375656,105.91607280803753,109.414453125,114.02890625,108.92937052278616,106.53684884526132,20221210,105.4,106.4,-1.0,102.0,95.9,6.099999999999994,106.758,105.371,1.38717,70.5575,-1.859814340971127,141.95668458019492,68.1100680832148,1.1035361566986808,146.1073585950797,-1.966992647310112,146.1073585950797,1.1035361566986808,146.1073585950797,-1.966992647310112,145.17978289946578,-1.646938968666987,100.897,96.6623,4.23444,67.8615,105.4,106.4,-1.0,102.0,95.9,6.099999999999994,1.5689984383666669,141.027158927345,0,103.1995866,107.0332234,-3.8336367999999936,-2.361821379,94.04854952,94.45456697,-0.40601745000000733,6.58783529,2022-12-10,138.1897562492682,4.14823857081204,138.1897562492682,1.23104570808502,138.1897562492682,3.368329091636207,-1.0816616744306335,2.2866674172055736,-5.38717,-29.241609999999998,-15.011068282274044,-23.854439999999997,-14.230541717725954,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.5379371440662541,0.5623189911437827,-3.802797699029621,-5.420503333333336,-4.559341548544431,-2.924161,-2.6504933333333334,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
