ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,-10,,-10.700000000000005,-10.700000000000005,85.7,0.0,96.4,0.0,Sat 11-12 11-12,A,164 (Ⅲ),Utah Tech,"L, 69-63",71,89.0,38.1,18.4,40.4,37.3,97.5,51.1,22.6,23.3,71.7,-5.0,5.5,137.0,85.7,0.0,85.7,85.7,96.4,0.0,96.4,96.4,20221112,95.5,108.3,-12.799999999999995,96.1,99.6,-3.5,94.5835,106.761,-12.1775,69.9277,7.174579922305128,145.66794288540166,73.70290056628734,10.950553545673785,150.2639863225803,14.598585867442468,150.2639863225803,10.950553545673785,150.2639863225803,14.598585867442468,140.9568654717595,6.035332546246465,94.9308,102.686,-7.75477,74.0953,95.5,108.3,-12.799999999999995,96.1,99.6,-3.5,14.598585867442468,140.9568654717595,0,90.42800734,102.7058829,-12.277875560000012,-11.71076117,95.0,105.0,-10.0,-10.0,2022-11-12,145.1018386523067,3.100541369865468,145.1018386523067,8.749860949428488,145.1018386523067,0.0,0.0,0.0,2.1775,2.1775,0.0,0.0,2.1775,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,3,0.30020551430745246,0.2827154559949894,1.4774999999999956,,0.0,2.1775,0.0,1,0.0,1,1,1,3,0.0,0.0
6.0,0,,-7.133333333333336,-8.754545454545456,90.8,0.0,90.8,0.0,Tue 11-15 11-15,A,140 (Ⅲ),Cal Baptist,"L, 62-55",65,84.1,44.5,21.4,21.2,14.5,94.8,41.1,12.2,30.4,30.6,-15.0,13.0,132.0,88.25,85.7,87.4,86.62727272727273,93.6,96.4,94.53333333333336,95.38181818181818,20221115,95.2,108.1,-12.899999999999991,99.9,100.3,-0.3999999999999915,94.2958,106.418,-12.1218,69.4238,11.766044509526921,134.4725396627835,67.10239848278805,12.518275068588054,140.17648985012815,6.792361623804166,140.17648985012815,12.518275068588054,140.17648985012815,6.792361623804166,117.89375175384032,6.833664914779703,100.085,100.235,-0.149274,67.9493,95.2,108.1,-12.899999999999991,99.9,100.3,-0.3999999999999915,6.909102356009279,117.74513886844831,0,90.42800734,102.7058829,-12.277875560000012,-11.71076117,95.14937882,102.9882204,-7.8388415800000075,-7.352324546,2022-11-15,131.34285268889204,4.624397640210603,131.34285268889204,3.927234973603639,131.34285268889204,-8.976949333333327,0.0,-8.976949333333327,12.1218,14.2993,2.1775,2.1775,12.1218,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.10784037468050733,0.2575796558320633,4.988466666666664,,1.4774999999999956,7.149650000000001,2.1775,1,1.0,1,1,1,3,3.0,0.0
3.5,-14,-8.333333333333337,-9.52222222222223,-9.762809917355376,104.6,93.7,118.9,102.03333333333336,Mon 11-21 11-21,N,270 (Ⅳ),Tennessee St.,"L, 74-73",66,110.8,50.0,15.2,29.0,61.2,112.3,54.4,12.1,19.4,35.1,12.0,4.5,135.0,96.425,88.25,93.13333333333334,89.89504132231404,106.25,93.6,102.65555555555557,99.6578512396694,20221121,95.3,107.2,-11.900000000000006,98.4,103.5,-5.099999999999994,94.6048,106.146,-11.5414,68.6602,2.3786306638237136,139.74666744375693,70.41157227083926,4.935010765718019,147.07136174522776,0.015095106102360915,147.07136174522776,4.935010765718019,147.07136174522776,0.015095106102360915,116.0753931621878,-7.342799106027961,95.5564,103.625,-8.0687,72.0932,95.3,107.2,-11.900000000000006,98.4,103.5,-5.099999999999994,-0.02038159293619974,115.99440449664684,0,97.75968534,92.75975201,4.999933330000005,3.410249252,94.53976771,100.1291304,-5.589362689999987,-4.964714463,2022-11-21,133.71339142234902,-5.896943628843786,133.71339142234902,1.9363182374480772,133.71339142234902,-1.2787499999999952,4.988466666666662,3.709716666666667,-2.4586000000000006,11.8407,6.218100000000001,14.2993,5.622599999999999,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.3341175708976246,0.7578221528164146,2.01917777777777,3.208066666666662,4.988466666666664,3.9468999999999994,7.149650000000001,1,1.0,1,1,1,3,3.0,3.0
-14.5,-32,-15.666666666666671,-17.248148148148154,-13.933208114199852,95.8,97.06666666666666,128.5,112.73333333333336,Wed 11-23 11-23,N,339 (Ⅳ),Central Michigan,"L, 82-66",70,94.0,38.3,15.7,29.3,36.7,116.8,60.4,17.1,16.7,39.6,9.5,1.5,138.5,96.1125,96.425,94.02222222222224,90.9686701728024,117.375,106.25,111.2703703703704,104.90187828700223,20221123,96.4,108.3,-11.899999999999991,94.7,105.7,-11.0,95.809,107.156,-11.3472,67.5456,1.0453655717198416,142.65850806185955,70.13673761137979,0.47753802520249167,146.75332810607853,0.510528969953879,146.75332810607853,0.47753802520249167,146.75332810607853,0.510528969953879,128.04468661965183,-0.5965166344208654,96.0821,105.898,-9.81629,72.9968,96.4,108.3,-11.899999999999991,94.7,105.7,-11.0,0.3917108461749299,127.99895107416685,0,98.74235493,96.13738481,2.6049701200000044,4.322517732,98.41911343,96.66431531,1.7547981199999896,7.032319242,2022-11-23,136.42541672080114,1.9005663748579167,136.42541672080114,0.32574618135063815,136.42541672080114,-0.7349555555555511,3.0992203703703627,2.3642648148148115,-20.6528,-8.8121,8.092300000000002,11.8407,-16.904400000000003,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.4432015031835318,0.5226521673528519,-5.900948148148153,-4.319466666666671,2.01917777777777,-2.2030250000000002,3.9468999999999994,-1,1.0,-1,-1,1,-3,3.0,3.0
10.0,5,-13.833333333333336,-9.665432098765436,-10.399897547981697,89.4,96.6,83.9,110.43333333333334,Tue 11-29 11-29,A,25 (I-A),Boise St.,"L, 55-46",60,76.2,35.7,19.9,21.6,32.7,91.1,43.3,19.9,30.6,28.8,-29.0,19.0,130.0,92.75625,96.1125,92.4814814814815,90.68345741411105,100.6375,117.375,102.14691358024692,101.08335496209271,20221129,96.0,109.0,-13.0,103.0,91.7,11.299999999999995,95.5695,108.318,-12.748,66.533,18.949755042924245,128.05832518552216,64.13516203698435,19.643924265323207,132.28343475587133,22.470659903456937,132.28343475587133,19.643924265323207,132.28343475587133,22.470659903456937,123.91539649289518,6.224036744308563,103.42,92.008,11.4121,67.7664,96.0,109.0,-13.0,103.0,91.7,11.299999999999995,19.898682188413854,123.17535989535467,0,98.9920459,96.93718263,2.0548632699999985,3.559197727,98.77297186,92.46633663,6.306635229999998,8.951626121,2022-11-29,123.34486573295862,5.366560945314902,123.34486573295862,22.842352062131972,123.34486573295862,10.911297888007056,-3.119645925925928,7.7916519620811275,17.747999999999998,8.935899999999998,2.457500000000002,-8.8121,6.478399999999997,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.03518483230489555,0.2766690817672741,3.0825679012345635,-1.0853333333333364,-5.900948148148153,1.787180000000001,-2.2030250000000002,1,-1.0,1,1,-1,3,-3.0,3.0
4.0,-4,-10.4,-7.776954732510291,-9.236279811985025,99.5,94.9,103.5,105.3,Wed 12-07 12-07,A,139 (Ⅲ),Fresno St.,"L, 65-56",62,90.2,47.1,24.2,29.4,21.2,104.7,53.3,20.9,25.0,51.1,-4.0,13.0,125.0,96.128125,92.75625,94.820987654321,92.28646515699994,102.06875,100.6375,102.59794238683128,101.52274496898497,20221207,95.5,107.3,-11.799999999999995,103.2,95.5,7.700000000000003,95.5597,107.317,-11.7576,65.8791,13.50543934110749,122.09489184803434,60.87978531038406,15.76007607869424,126.7121838989173,11.246907372900422,126.7121838989173,15.76007607869424,126.7121838989173,11.246907372900422,114.36987425100524,0.24639095037754544,101.433,96.4766,4.95677,64.9652,95.5,107.3,-11.799999999999995,103.2,95.5,7.700000000000003,10.761069934225109,113.49194356020887,0,97.06193265,94.38386657,2.678066080000008,2.451250149,96.65493334,98.98462981,-2.329696470000002,-7.190358426,2022-12-07,117.12781970458411,-4.205548837462125,117.12781970458411,12.59770746551753,117.12781970458411,2.45003566137565,0.45382014109347146,2.9038558024691214,7.7576,16.6935,4.616966666666667,8.935899999999998,12.076533333333334,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.10784037468050733,0.4906393573939756,3.9806452674897095,1.3575999999999997,3.0825679012345635,2.7822500000000012,1.787180000000001,1,1.0,1,1,1,3,3.0,-3.0
-6.0,-19,-6.066666666666667,-11.751303155006864,-11.138774391624109,88.8,92.56666666666666,108.5,98.63333333333334,Sat 12-10 12-10,H,232 (Ⅳ),Northern Colorado,"L, 70-63",66,95.9,41.5,6.1,26.7,27.7,106.6,45.4,13.7,28.6,50.0,-8.5,1.0,141.5,92.4640625,96.128125,92.81399176954734,91.65256240118175,105.284375,102.06875,104.5652949245542,102.79133679280588,20221210,96.4,107.1,-10.699999999999989,106.4,110.8,-4.399999999999992,95.7749,107.113,-11.3377,65.6681,1.4441337638614868,140.61834734839485,64.09953849900427,0.63347907921505,145.0959588561054,4.398147088188472,145.0959588561054,0.63347907921505,145.0959588561054,4.398147088188472,145.76053556353418,-8.947520122263,106.946,110.793,-3.84641,68.6208,96.4,107.1,-10.699999999999989,106.4,110.8,-4.399999999999992,0.7190568214323679,135.4668439129116,0,96.90169132,95.00377656,1.897914759999992,1.79270848,100.7355062,107.0375686,-6.302062399999997,-9.816204714,2022-12-10,131.33574442594562,-9.164044523271414,131.33574442594562,4.303431282018089,131.33574442594562,2.5350940082631297,3.5960121840093873,6.131106192272517,-7.6623,9.0312,8.642477777777778,16.6935,0.3887222222222224,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.46206285593374585,0.8029331279149097,-0.4136031550068644,5.271033333333333,3.9806452674897095,1.290171428571428,2.7822500000000012,-1,1.0,1,1,1,1,3.0,3.0
-8.0,-14,-12.733333333333334,-12.667535436671242,-11.749906320419726,106.3,98.2,120.8,110.93333333333334,Mon 12-19 12-19,H,302 (Ⅳ),Idaho,"L, 76-73",63,115.4,56.4,20.5,41.4,25.5,120.1,53.0,12.6,21.4,50.0,14.5,-5.0,134.5,99.38203125,92.4640625,97.30932784636492,94.31573287369416,113.0421875,105.284375,109.97686328303614,106.0656391941139,20221219,94.9,106.2,-11.299999999999995,98.6,111.7,-13.100000000000009,94.8365,106.644,-11.8072,65.9098,-4.07199819848158,130.771208094906,62.465614491038416,-4.612283705170242,135.2135302712099,3.5832851859940784,135.2135302712099,-4.612283705170242,135.2135302712099,3.5832851859940784,141.91479332834408,-0.43116557495879704,98.3057,111.243,-12.9376,66.6264,94.9,106.2,-11.299999999999995,98.6,111.7,-13.100000000000009,-3.1387932247976167,130.63062552563323,0,94.84839564,95.96071535,-1.1123197099999942,-1.326671083,106.8339048,102.8891581,3.944746699999996,6.222111213,2022-12-19,128.29521949044562,2.9235445074086,128.29521949044562,5.974149454838354,128.29521949044562,13.711040693478637,1.4198311352798996,15.130871828758536,-2.1928,6.8384,8.772051851851852,9.0312,-1.9336518518518524,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.6830306580593271,0.5163773189792966,-0.8603354366712423,-0.9261333333333344,-0.4136031550068644,0.8548000000000009,1.290171428571428,-1,-1.0,-1,1,1,-1,1.0,3.0
9.5,4,-9.933333333333335,-6.978356957780832,-8.813559716707049,102.8,99.3,98.4,109.23333333333336,Thu 12-22 12-22,H,201 (Ⅳ),San Diego,"W, 83-78",75,110.8,54.6,25.4,40.6,57.4,104.1,46.2,22.7,33.3,64.2,22.5,4.5,138.5,101.091015625,99.38203125,99.1395518975766,95.85832689665884,105.72109375,113.0421875,106.11790885535744,104.67188661336591,20221222,95.6,107.3,-11.700000000000005,110.7,108.6,2.1000000000000085,95.4006,107.96,-12.5594,65.9111,4.863081918782171,141.56836167204844,65.01206509544808,5.820752297372479,148.1783213156448,6.670546016832999,148.1783213156448,5.820752297372479,148.1783213156448,6.670546016832999,148.95384649468315,-4.756307556981213,107.835,107.721,0.114565,69.3411,95.6,107.3,-11.700000000000005,110.7,108.6,2.1000000000000085,3.789861485924001,143.76401584165112,0,94.86378248,95.86132552,-0.9975430399999965,-1.183713059,106.050209,108.6418795,-2.5916705000000064,-5.644131276,2022-12-22,136.55943765362935,-4.658002900986197,136.55943765362935,8.749912813565317,136.55943765362935,5.342723364702122,0.06669089696691621,5.409414261669038,16.5594,23.3978,8.127501234567902,6.8384,15.270298765432099,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.3341175708976246,0.6747190304522648,5.581043042219168,2.6260666666666648,-0.8603354366712423,2.5997555555555554,0.8548000000000009,1,-1.0,1,1,1,3,-1.0,1.0
-5.0,-25,-11.933333333333335,-13.218904638520556,-11.883821586396678,95.1,101.4,120.8,113.33333333333331,Thu 12-29 12-29,A,322 (Ⅳ),Cal Poly,"L, 67-57",61,93.8,48.0,18.1,18.8,32.0,110.2,52.1,18.1,34.5,43.8,-2.0,5.0,126.0,98.0955078125,101.091015625,97.79303459838442,95.7204492790845,113.260546875,105.72109375,111.01193923690496,107.6042708654812,20221229,96.6,106.7,-10.100000000000009,94.0,102.3,-8.299999999999997,96.083,107.751,-11.6677,66.7818,5.685440912605472,123.7752446082004,61.95071149246089,4.487267902484518,126.75613960726344,3.084171635676853,126.75613960726344,4.487267902484518,126.75613960726344,3.084171635676853,120.96475881915907,-0.5084393121081732,94.783,102.542,-7.75927,65.2144,96.6,106.7,-10.100000000000009,94.0,102.3,-8.299999999999997,2.578618091027113,119.54729616503543,0,93.97330433,95.06370943,-1.0904050999999981,-0.155648934,93.88719546,101.3219851,-7.434789640000005,0.162890846,2022-12-29,117.29862461046565,1.9320203917095569,117.29862461046565,1.8842019493814632,117.29862461046565,-7.404138051373362,3.6749296336016677,-3.7292084177716944,-13.3323,10.0655,13.217600823045267,23.3978,-3.1521008230452665,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.31696934194067294,0.5193103522426468,-1.5512046385205558,-0.2656333333333354,5.581043042219168,1.006549999999999,2.5997555555555554,-1,1.0,-1,1,1,-1,3.0,-1.0
