ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.0,7,,7.700000000000003,7.700000000000003,102.2,0.0,94.5,0.0,Fri 11-11 11-11,A,53 (I),North Carolina St.,"L, 73-67",70,95.9,56.6,22.9,23.5,34.0,104.5,53.1,20.0,25.8,65.3,2.0,14.0,138.0,102.2,0.0,102.2,102.2,94.5,0.0,94.5,94.5,20221111,96.2,102.5,-6.299999999999997,106.3,95.8,10.5,96.2471,99.3092,-3.06204,68.3681,14.064943377530113,139.6068687634267,70.47068651778095,16.176085445907376,145.39340274239862,26.98973296312414,145.39340274239862,16.176085445907376,145.39340274239862,26.98973296312414,137.20801703621913,6.641638987261018,107.314,95.6698,11.6441,72.462,96.2,102.5,-6.299999999999997,106.3,95.8,10.5,26.98973296312414,137.20801703621913,0,98.55297809,100.4044848,-1.8515067100000095,-6.103338575,103.564054,101.9743053,1.5897487000000012,-2.157557539,2022-11-11,147.5512600468004,10.06204,10.06204,0.0,0.0,10.06204,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,3,0.09121121972586788,0.263518004380214,10.762040000000002,,0.0,10.06204,0.0,1,0.0,1,1,1,3,0.0,0.0
9.0,14,,9.933333333333334,8.918181818181818,105.1,0.0,90.7,0.0,Fri 11-18 11-18,A,146 (Ⅲ),Appalachian St.,"W, 63-58",64,98.3,54.0,14.0,9.4,32.0,90.5,41.5,9.4,22.0,30.5,-4.5,4.0,125.5,103.65,102.2,103.16666666666669,102.72727272727272,92.6,94.5,93.23333333333336,93.80909090909093,20221118,97.5,102.8,-5.299999999999997,98.0,98.4,-0.4000000000000057,97.6483,99.8553,-2.20696,67.1447,3.494861775891202,127.16591173242028,65.46216652176388,6.922150990565385,132.14332240743062,0.9543581817924783,132.14332240743062,6.922150990565385,132.14332240743062,0.9543581817924783,123.27078233314043,-8.285854223206343,97.6886,99.9989,-2.31037,68.5384,97.5,102.8,-5.299999999999997,98.0,98.4,-0.4000000000000057,0.9194203707046691,123.20850739016805,0,104.1522196,91.10698959,13.045230009999997,3.29567057,93.49515781,98.68614699,-5.1909891800000025,-4.334895993,2022-11-18,125.86788152229116,16.20696,26.269,10.06204,10.06204,16.20696,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,3,0.35161929169946593,0.7849816853508138,12.140293333333334,,10.762040000000002,13.1345,10.06204,1,1.0,1,1,1,3,3.0,0.0
-7.5,-2,6.566666666666667,5.8222222222222255,6.860330578512397,91.7,99.66666666666669,94.1,93.1,Sat 11-19 11-19,N,261 (Ⅳ),Southeastern Louisiana,"L, 70-69",73,94.3,50.0,26.0,30.3,40.7,95.6,40.3,13.7,23.8,37.1,6.5,-6.5,132.5,97.675,103.65,99.34444444444443,100.72231404958676,93.35,92.6,93.52222222222224,93.86198347107438,20221119,98.2,102.2,-4.0,96.3,109.1,-12.799999999999995,97.9127,99.1842,-1.27151,67.0617,-7.382513164590613,135.20506347055226,67.90803200910385,-6.063982685000624,142.9843934131835,-7.272413464170363,142.9843934131835,-6.063982685000624,142.9843934131835,-7.272413464170363,138.4036401972394,-1.584570380595295,95.363,107.76,-12.3969,71.1872,98.2,102.2,-4.0,96.3,109.1,-12.799999999999995,-7.1995209217986265,138.3471852366002,0,104.1522196,91.10698959,13.045230009999997,3.29567057,106.8242384,95.63150104,11.192737359999995,5.843750097,2022-11-19,136.98265233839209,-0.7284900000000001,25.540509999999998,15.46436,26.269,10.076149999999998,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,3,0.732057505466481,0.5599772217743069,7.093732222222226,7.8381766666666675,12.140293333333334,8.513503333333333,13.1345,1,1.0,1,1,1,3,3.0,3.0
23.0,21,11.299999999999995,11.18148148148148,9.594815927873778,122.8,106.53333333333336,100.9,95.23333333333332,Sun 11-20 11-20,N,117 (Ⅲ),Kennesaw St.,"W, 85-61",66,129.1,66.0,18.2,20.8,59.6,92.6,57.5,28.9,21.4,60.0,15.0,-1.0,131.0,110.2375,97.675,107.16296296296298,104.73643876784372,97.125,93.35,95.9814814814815,95.14162283996994,20221120,98.2,102.3,-4.099999999999994,103.5,106.8,-3.299999999999997,97.9127,99.1842,-1.27151,67.0617,-1.341425508736819,133.9102389682951,66.99625999118065,0.6885208870164803,144.6917478890274,-2.9609817190654906,144.6917478890274,0.6885208870164803,144.6917478890274,-2.9609817190654906,138.6232493425285,-10.082700227974698,100.25,103.607,-3.35738,70.2314,98.2,102.3,-4.099999999999994,103.5,106.8,-3.299999999999997,-3.07458108414492,138.48212244748322,0,105.4307769,90.14767348,15.283103420000003,17.83868623,102.0644604,101.1992966,0.8651638000000048,3.161782241,2022-11-20,136.4162067961265,22.27151,47.81202,18.823076666666665,25.540509999999998,28.98894333333333,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5379371440662541,0.8315370985533987,12.45299148148148,12.571509999999995,7.093732222222226,11.953005000000001,8.513503333333333,1,1.0,1,1,1,3,3.0,3.0
-22.5,-34,-4.86666666666667,-3.912345679012348,1.6503039409876346,73.3,95.93333333333332,107.4,100.8,Wed 11-23 11-23,H,232 (Ⅳ),Jacksonville,"L, 64-43",61,70.8,37.7,14.8,12.8,17.0,105.4,61.9,32.9,42.9,35.7,-16.0,-1.5,123.0,91.76875,110.2375,95.87530864197532,99.02072262823576,102.2625,97.125,99.78765432098768,97.37041868724812,20221123,99.5,102.2,-2.700000000000003,103.2,99.1,4.1000000000000085,99.812,99.6415,0.170474,66.8335,-4.342579106832886,122.31385525171761,61.11709669772404,0.7242128001637411,128.06970983660574,-21.953317910839104,128.06970983660574,0.7242128001637411,128.06970983660574,-21.953317910839104,119.17999473405374,-2.7451406516926795,100.128,101.471,-1.34271,64.2871,99.5,102.2,-2.700000000000003,103.2,99.1,4.1000000000000085,-22.060327098528727,119.24521174914017,0,98.94654029,93.27859892,5.667941370000008,5.214623669,99.03415584,92.57276512,6.461390719999997,0.938726005,2022-11-23,115.5510356921693,-34.170474,13.641545999999998,28.486057777777777,47.81202,-14.844511777777779,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.5567984968164682,0.603124151394453,-4.082819679012347,-5.037140666666669,12.45299148148148,2.7283092,11.953005000000001,-1,1.0,-1,1,1,-1,3.0,3.0
-0.5,-2,-5.033333333333336,-3.5748971193415624,0.8229759517171569,111.2,102.43333333333334,114.1,107.46666666666664,Sun 11-27 11-27,H,175 (Ⅲ),Stetson,"W, 87-85 OT",71,122.3,67.0,23.9,37.5,50.0,119.5,62.3,19.7,30.0,7.7,44.5,-2.5,127.5,101.484375,91.76875,100.9835390946502,101.23513669582924,108.18125,102.2625,104.55843621399178,100.4121607441121,20221127,97.7,101.6,-3.899999999999992,105.5,108.1,-2.5999999999999943,98.351,100.512,-2.1609,65.8003,-6.160462274761741,123.707549226139,59.4508050482219,-2.6805018710225283,130.11631904852098,-0.14733587770567816,130.11631904852098,-2.6805018710225283,130.11631904852098,-0.14733587770567816,132.4610667003113,-5.8216550110279215,101.676,108.549,-6.87334,63.5163,97.7,101.6,-3.899999999999992,105.5,108.1,-2.5999999999999943,-0.02101395644741314,132.45008733452286,0,99.29564073,92.60510712,6.690533610000003,6.33982951,109.4923486,105.8787946,3.6135539999999935,-2.296284105,2022-11-27,126.37077670018849,0.16089999999999982,13.802445999999998,23.537887185185188,13.641545999999998,-9.73544118518519,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,-3,0.5940963859982835,0.7103622619707626,-1.4139971193415626,-2.872433333333336,-4.082819679012347,2.3004076666666666,2.7283092,-1,-1.0,-1,1,1,-1,-1.0,3.0
-5.5,-19,-18.666666666666668,-8.716598079561042,-2.781201494049599,98.4,94.3,117.4,112.96666666666668,Fri 12-02 12-02,A,206 (Ⅲ),East Carolina,"L, 79-69",69,99.8,50.0,13.0,14.7,21.7,114.3,57.1,18.8,28.1,30.4,14.0,4.5,134.0,99.9421875,101.484375,100.12235939643348,100.71965729658756,112.790625,108.18125,108.83895747599452,103.50085879063715,20221202,99.1,102.9,-3.8000000000000114,99.8,105.3,-5.5,99.2603,101.879,-2.61819,65.6393,2.448745194211085,128.39984993906845,63.196173508108124,2.684964615215435,134.31102907351027,1.5760545366578307,134.31102907351027,2.684964615215435,134.31102907351027,1.5760545366578307,129.4044030988416,-3.456975089461018,99.3239,103.781,-4.45751,67.6834,99.1,102.9,-3.8000000000000114,99.8,105.3,-5.5,-1.1886061085375155,130.84268903193376,0,99.92017443,95.69080789,4.229366540000001,4.712658747,97.25707938,103.991183,-6.734103620000013,-8.204365669,2022-12-02,127.60888232257946,-16.38181,-2.5793640000000035,20.29274012345679,13.802445999999998,-22.872104123456793,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.3341175708976246,0.6290112381123555,-6.098408079561041,-16.04847666666667,-1.4139971193415626,-0.36848057142857127,2.3004076666666666,-1,-1.0,-1,-1,1,-3,-1.0,-1.0
-9.5,-19,-13.76666666666666,-12.27773205304069,-5.802801222404216,97.2,102.26666666666668,116.6,116.03333333333332,Wed 12-07 12-07,A,351 (Ⅳ),Evansville,"L, 72-66",68,97.3,49.0,19.2,16.7,30.8,106.1,57.5,17.7,16.7,32.1,11.5,-3.5,126.5,98.57109375,99.9421875,99.14823959762234,100.07971960629892,114.6953125,112.790625,111.42597165066304,105.88252082870314,20221207,99.3,103.9,-4.6000000000000085,90.4,102.9,-12.5,99.7153,102.924,-3.2091,66.1916,-3.7243449370152746,126.06569833759053,64.79150171834993,-1.83744378478994,130.2019723203249,-3.4956102754528895,130.2019723203249,-1.83744378478994,130.2019723203249,-3.4956102754528895,128.41783462190338,-3.1449046940984076,89.66,103.835,-14.1749,68.813,99.3,103.9,-4.6000000000000085,90.4,102.9,-12.5,-3.263221602540092,124.06070437267118,0,100.1099728,97.7399882,2.369984599999995,3.401488278,89.94376358,97.73477033,-7.791006750000008,-10.76388547,2022-12-07,123.28954190960044,-15.7909,-18.370264000000006,12.668705415637861,-2.5793640000000035,-31.038969415637865,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.6305586598182363,0.6177263337156607,-9.068632053040691,-10.557566666666661,-6.098408079561041,-2.296283,-0.36848057142857127,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
4.0,0,-12.533333333333331,-7.918488035360463,-4.602291909239813,92.2,95.93333333333334,91.4,108.46666666666668,Sat 12-17 12-17,A,188 (Ⅲ),Georgia Southern,"L, 54-53",60,87.9,48.0,26.5,29.0,22.4,89.6,46.2,21.6,29.0,13.5,-24.5,5.0,131.5,95.385546875,98.57109375,96.83215973174823,98.64704331424456,103.04765625,114.6953125,104.7506477671087,103.24933522348438,20221217,99.3,104.7,-5.400000000000006,97.5,103.9,-6.400000000000006,99.7163,103.917,-4.2007,66.8703,2.027637621486761,130.46633262776584,63.49558520142248,3.034779923173545,133.77059737561746,7.705654818804026,133.77059737561746,3.034779923173545,133.77059737561746,7.705654818804026,137.84789031204804,-3.7049595844448646,98.1355,104.85,-6.7142,66.7522,99.3,104.7,-5.400000000000006,97.5,103.9,-6.400000000000006,0.4220876035624741,128.25237716559363,0,99.20170097,98.91258671,0.2891142600000052,2.01998461,92.17154172,103.0914057,-10.919863980000002,-5.333535651,2022-12-17,125.88500496275957,4.2007,-14.169564000000005,2.322382277091908,-18.370264000000006,-16.491946277091913,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,3,0.31696934194067294,0.637900786226685,-3.7177880353604627,-8.33263333333333,-9.068632053040691,-1.5743960000000001,-2.296283,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-5.5,-7,-8.6,-7.6789920235736435,-5.074602471196211,109.3,99.56666666666666,116.5,108.16666666666669,Wed 12-21 12-21,H,169 (Ⅲ),UNC Wilmington,"L, 74-66",64,103.3,57.0,18.8,20.0,26.0,115.8,66.7,20.3,15.4,33.3,12.5,2.5,127.5,102.3427734375,95.385546875,100.98810648783216,100.58394452983644,109.773828125,103.04765625,108.6670985114058,105.65854700103267,20221221,98.2,103.2,-5.0,103.7,99.3,4.400000000000006,98.806,102.815,-4.00863,66.5759,1.4213523613900136,127.48062980523534,62.829940221194875,2.4388927632570017,131.79180217383822,13.175747464669525,131.79180217383822,2.4388927632570017,131.79180217383822,13.175747464669525,129.43350600589133,-0.2714920000829082,103.138,99.2396,3.89884,66.3445,98.2,103.2,-5.0,103.7,99.3,4.400000000000006,1.7994310260162925,127.22062502492392,0,98.07136058,98.12069842,-0.04933783999999264,0.463339992,99.50804234,94.553116,4.95492634,8.824786871,2022-12-21,122.73655156208608,-2.99137,-17.160934000000005,-3.1749331486053958,-14.169564000000005,-13.986000851394609,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,-3,0.4059036140017165,0.5103140543227267,-3.6703620235736434,-4.5913699999999995,-3.7177880353604627,-1.7160933999999997,-1.5743960000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
