ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-2.5,4,,4.5,4.5,109.6,0.0,105.1,0.0,Mon 11-07 11-07,A,62 (I),College of Charleston,"L, 85-78",75,103.4,56.8,27.8,38.2,28.8,112.7,52.4,19.9,36.8,43.5,5.0,4.5,158.0,109.6,0.0,109.6,109.6,105.1,0.0,105.1,105.1,20221107,99.9,96.6,3.3,102.7,99.0,3.7,101.684,100.948,0.736275,72.0473,1.9740751198613395,157.37430454531858,77.66514466116644,4.640647515638719,157.0763848202916,7.180187268786582,157.0763848202916,4.640647515638719,157.0763848202916,7.180187268786582,171.86535006479065,-2.709823180326765,99.3308,101.708,-2.37725,75.7816,99.9,96.6,3.3,102.7,99.0,3.7,7.180187268786582,171.86535006479065,0,109.2831432,98.81457051,10.468572690000002,9.265931561,98.81792559,97.71625107,1.101674520000003,2.260034557,2022-11-07,161.88117811281506,-3.141192776828291,161.88117811281506,2.561396470925274,161.88117811281506,0.0,0.0,0.0,3.263725,3.263725,0.0,0.0,3.263725,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.3341175708976246,0.6018267986019785,3.763725,,0.0,3.263725,0.0,1,0.0,1,1,1,3,0.0,0.0
-1.5,-6,,1.0000000000000004,2.590909090909091,97.0,0.0,103.0,0.0,Tue 11-15 11-15,A,123 (Ⅱ),Mississippi,"L, 70-58",65,89.5,44.8,18.5,25.0,17.2,108.0,56.8,23.1,40.0,10.2,-8.0,10.5,136.0,103.3,109.6,105.4,107.3090909090909,104.05,105.1,104.4,104.71818181818182,20221115,101.2,97.7,3.5,107.1,92.9,14.199999999999989,102.651,101.813,0.837726,71.4544,14.266907487705822,141.32498118379476,69.31168277894739,11.485242423918862,141.19560554421935,15.20436240336698,141.19560554421935,11.485242423918862,141.19560554421935,15.20436240336698,155.13180980568143,-2.8534503557767295,107.755,92.3028,15.4519,68.1919,101.2,97.7,3.5,107.1,92.9,14.199999999999989,15.266222423611646,155.1529291728176,0,109.2831432,98.81457051,10.468572690000002,9.265931561,96.15034693,95.73269804,0.4176488899999953,-5.419148664,2022-11-15,141.4882859408683,-8.200421324152714,141.4882859408683,9.99737850066981,141.4882859408683,0.27986666666666515,0.0,0.27986666666666515,-6.837726,-3.574001,3.263725,3.263725,-6.837726,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.15865525393145707,0.6070956328160698,0.16227400000000047,,3.763725,-1.7870005,3.263725,1,1.0,-1,-1,1,-1,3.0,0.0
-13.5,-8,-3.300000000000002,-2.133333333333334,0.5925619834710731,97.5,101.36666666666667,105.9,104.66666666666669,Wed 11-23 11-23,H,196 (Ⅳ),Lipscomb,"L, 72-66",69,95.8,43.5,18.9,36.8,25.8,104.6,50.9,14.5,17.6,25.9,-12.0,-7.5,150.0,100.4,103.3,102.76666666666668,105.52561983471074,104.975,104.05,104.9,104.93305785123964,20221123,102.1,98.4,3.6999999999999886,105.1,106.2,-1.1000000000000083,103.712,102.517,1.19499,69.5362,-5.5096541577585185,145.55731358364753,67.56099604864865,-7.575256917649227,146.75671128595667,-6.42990817784845,146.75671128595667,-7.575256917649227,146.75671128595667,-6.42990817784845,151.091414893672,-0.44550793418264334,104.512,105.367,-0.855196,68.3031,102.1,98.4,3.6999999999999886,105.1,106.2,-1.1000000000000083,-6.307224132115813,150.96734907050185,0,94.75062117,99.50215273,-4.751531560000004,-6.849183462,101.3647013,101.3109905,0.0537107999999904,-4.847814882,2022-11-23,136.18392416197102,-0.4289268218634632,136.18392416197102,-5.863123399757853,136.18392416197102,-2.823050666666673,0.16227399999999947,-2.6607766666666732,-9.19499,-12.768991,0.9844830000000004,-3.574001,-13.753474,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.5169217751115595,-3.3283233333333344,-4.494990000000002,0.16227400000000047,-4.2563303333333335,-1.7870005,-1,1.0,-1,-1,-1,-3,-1.0,3.0
4.0,-5,-6.633333333333336,-3.2555555555555564,-0.5151765589782129,96.7,97.06666666666666,102.2,103.7,Sat 11-26 11-26,H,223 (Ⅳ),Murray St.,"W, 69-66",66,105.1,46.6,13.7,26.8,28.8,100.5,43.3,9.1,29.3,16.4,-10.0,1.0,145.0,98.55,100.4,100.74444444444448,103.92096168294512,103.5875,104.975,104.0,104.43613824192336,20221126,101.5,98.6,2.9000000000000057,99.9,98.4,1.5,102.942,102.856,0.0858809,69.1912,-0.24048290691153795,145.34642908682747,69.74177691721194,-4.94656812207748,141.66664569916887,3.987928979335173,141.66664569916887,-4.94656812207748,141.66664569916887,3.987928979335173,145.1983293961273,2.4861024516211074,104.555,99.1053,5.44917,70.8594,101.5,98.6,2.9000000000000057,99.9,98.4,1.5,3.893341982170869,145.12161855084705,0,94.4061025,99.95130929,-5.545206789999995,-6.817974388,99.97359034,96.49312585,3.480464490000003,-2.430254389,2022-11-26,136.20981240225012,1.1976024469268225,136.20981240225012,4.315133479804402,136.20981240225012,5.707450092592586,-3.346798944444444,2.3606511481481416,-5.0858809,-17.8548719,-3.6000083333333324,-12.768991,-14.254863566666668,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.46206285593374585,0.4064169684541967,-3.3414364555555562,-6.719214233333337,-3.3283233333333344,-4.463717975,-4.2563303333333335,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
0.0,-4,-6.099999999999999,-3.637037037037035,-1.2215080937094454,108.9,101.03333333333336,113.3,107.13333333333333,Wed 11-30 11-30,A,296 (Ⅳ),Tennessee Tech,"W, 81-74",69,117.3,75.6,26.1,5.3,58.5,107.2,48.4,8.7,20.5,21.9,15.5,-7.0,139.5,103.725,98.55,103.462962962963,104.8262413769551,108.44375,103.5875,107.10000000000002,106.04774947066454,20221130,101.7,99.0,2.700000000000003,97.1,108.8,-11.700000000000005,102.823,102.347,0.476806,67.9019,-6.069119558090165,133.9000058089524,64.84708721009957,-5.8091417398996725,137.29430698316557,-1.2879304743389144,137.29430698316557,-5.8091417398996725,137.29430698316557,-1.2879304743389144,133.80958537557706,0.9304450108436839,94.1305,108.501,-14.3706,67.1373,101.7,99.0,2.700000000000003,97.1,108.8,-11.700000000000005,-1.2647344057301284,133.80976243884498,0,96.28839517,100.3083214,-4.019926229999996,-3.651746592,93.85789285,101.9140881,-8.056195250000002,-5.23475475,2022-11-30,127.8441209347295,0.7085068392691127,127.8441209347295,-2.6006203802419137,127.8441209347295,9.338612452222224,-4.406852452222223,4.931760000000001,-4.476806,-22.3316779,-8.351629522222222,-17.8548719,-13.980048377777777,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.7475074624530771,0.46469441601445416,-4.113843037037035,-6.576805999999999,-3.3414364555555562,-4.46633558,-4.463717975,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
13.0,12,0.8000000000000019,1.6753086419753085,1.2369479233286351,116.8,107.46666666666664,104.5,106.66666666666669,Sat 12-03 12-03,A,192 (Ⅲ),Gardner Webb,"W, 82-71",73,112.5,61.7,26.1,23.1,66.0,97.4,48.3,13.7,21.1,31.7,21.5,2.0,131.5,110.2625,103.725,107.90864197530864,107.00328839932688,106.471875,108.44375,106.23333333333336,105.76634047599823,20221203,102.2,100.2,2.0,95.9,97.2,-1.2999999999999972,103.642,103.231,0.410528,68.1309,3.206682088069158,127.3239549848889,63.58638483243244,1.4519124052226076,127.50358636520514,6.740434496131042,127.50358636520514,1.4519124052226076,127.50358636520514,6.740434496131042,122.4588940857864,8.480527595953028,97.1848,97.3452,-0.160494,65.6108,102.2,100.2,2.0,95.9,97.2,-1.2999999999999972,6.367227441163306,125.67868480630105,0,99.19554361,101.5438858,-2.3483421899999968,-1.763396982,97.8979229,92.51310176,5.38482114,1.885957082,2022-12-03,124.9271404918471,4.102002135856871,124.9271404918471,6.436376495883728,124.9271404918471,9.244184210747928,-5.096515085396825,4.147669125351103,11.589472,-10.742205899999998,-13.011645648148146,-22.3316779,2.269439748148148,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.4244679994402739,0.20964049205158308,1.2647806419753085,0.38947200000000193,-4.113843037037035,-1.79036765,-4.46633558,1,-1.0,1,-1,-1,1,-3.0,-3.0
3.5,17,8.333333333333337,6.816872427983542,4.121139209996158,126.9,117.53333333333336,109.8,109.2,Tue 12-06 12-06,H,242 (Ⅳ),Milwaukee,"W, 88-76",69,126.8,55.3,11.5,34.2,30.3,109.5,56.5,21.6,35.3,11.3,18.0,-8.5,146.0,118.58125,110.2625,114.23909465020576,110.620872326722,108.1359375,106.471875,107.42222222222225,106.49973311672584,20221206,103.6,101.0,2.5999999999999943,98.2,101.4,-3.200000000000003,105.095,103.338,1.7567,69.4103,-10.663626769953012,147.26208561736814,71.03448127311522,-8.421171757607027,148.5664836418878,2.0530717654897415,148.5664836418878,-8.421171757607027,148.5664836418878,2.0530717654897415,148.0814143466504,-3.9960145689119457,96.1831,103.386,-7.20261,71.945,103.6,101.0,2.5999999999999943,98.2,101.4,-3.200000000000003,-2.7539562920667495,144.44331406849116,0,102.1448542,101.1683977,0.9764564999999976,0.459299973,95.58168271,94.74761632,0.8340663899999896,4.363512255,2022-12-06,140.63205134892013,0.7364094315876173,140.63205134892013,-0.48238008139924204,140.63205134892013,9.33814880786359,0.5779647773368389,9.916113585200428,15.2433,4.501094100000001,-12.255165732098764,-10.742205899999998,16.756259832098763,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.790893043407255,0.6482398721883615,5.060172427983542,6.576633333333337,1.2647806419753085,0.6430134428571428,-1.79036765,1,1.0,1,1,-1,3,1.0,-3.0
14.0,23,17.599999999999998,12.344581618655692,7.626386626360491,129.2,124.3,105.8,106.7,Thu 12-15 12-15,A,133 (Ⅱ),Middle Tennessee,"W, 82-73",66,124.2,67.4,25.7,40.0,58.7,110.6,52.4,7.6,18.2,17.7,15.0,5.0,140.0,123.890625,118.58125,119.22606310013718,113.99889554004524,106.96796875,108.1359375,106.8814814814815,106.37250891368475,20221215,105.9,102.4,3.5,101.8,95.4,6.399999999999992,106.487,104.895,1.59139,69.0349,6.522033543744882,139.63060145149774,67.08817474025604,6.16145560179163,141.20250920130377,12.941214545761587,141.20250920130377,6.16145560179163,141.20250920130377,12.941214545761587,143.2219870167616,4.34509393755296,101.5,96.3043,5.19565,68.3176,105.9,102.4,3.5,101.8,95.4,6.399999999999992,9.113239516874616,139.03032346787927,0,105.8702837,105.4338282,0.4364555000000081,-0.372809135,95.33347129,94.26824964,1.0652216500000122,6.512788188,2022-12-15,137.74668303092852,6.555559254957089,137.74668303092852,2.3454258576786486,137.74668303092852,-2.6082226812735385,5.2434092151479454,2.635186533874407,21.40861,25.9097041,-6.669745788065843,4.501094100000001,32.57944988806584,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,3,0.31696934194067294,0.33950352806363504,10.753191618655691,16.008609999999997,5.060172427983542,3.2387130125,0.6430134428571428,1,1.0,1,1,1,3,3.0,1.0
-9.0,-2,12.833333333333334,7.563054412437128,5.8761345124767645,108.0,121.36666666666667,110.0,108.53333333333336,Sun 12-18 12-18,H,112 (Ⅲ),Belmont,"L, 83-79 OT",72,109.6,56.8,25.0,45.7,37.3,115.2,55.6,12.5,19.4,22.2,11.0,-5.0,151.0,115.9453125,123.890625,115.48404206675814,112.90818726003702,108.483984375,106.96796875,107.920987654321,107.03205274756026,20221218,108.5,103.4,5.099999999999994,105.1,106.9,-1.8000000000000114,108.277,105.276,3.00027,68.6249,-6.402605637943253,155.05136324099954,68.61055026984353,-9.55877893139575,158.01917489939183,-9.862811050031008,158.01917489939183,-9.55877893139575,158.01917489939183,-9.862811050031008,164.47370718962364,-9.34504740546761,106.371,106.214,0.156468,70.2853,108.5,103.4,5.099999999999994,105.1,106.9,-1.8000000000000114,-7.486203932157244,157.852398108782,0,107.3150838,105.6900405,1.6250433000000015,-1.027300389,102.8816777,107.8595183,-4.9778406000000075,-5.74986404,2022-12-18,157.89053436334314,-5.096174418046324,157.89053436334314,-11.352471138171708,157.89053436334314,-14.282301590134697,11.141340612442828,-3.1409609776918677,-5.00027,20.9094341,4.190070841289438,25.9097041,16.719363258710562,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.6830306580593271,0.8132682690838945,4.562784412437129,9.833063333333333,10.753191618655691,2.323270455555556,3.2387130125,1,1.0,1,1,1,3,3.0,3.0
-3.0,3,8.366666666666665,6.27536960829142,5.480473692026443,105.7,114.3,102.0,105.93333333333332,Wed 12-21 12-21,A,128 (Ⅱ),Georgia,"L, 72-65",67,97.7,50.9,19.5,24.3,27.3,108.3,51.0,16.5,23.3,49.0,-1.5,4.0,138.5,110.82265625,115.9453125,112.2226947111721,111.5976077582121,105.2419921875,108.483984375,105.94732510288068,106.11713406618566,20221221,108.6,104.3,4.299999999999997,102.0,95.6,6.400000000000006,107.94,105.71,2.23036,67.8457,7.148746401733007,138.25071407924378,64.96191996913228,5.630608256683189,140.13404423397978,5.17470994111485,140.13404423397978,5.630608256683189,140.13404423397978,5.17470994111485,143.41064908528762,2.390334528774943,103.478,96.6385,6.83999,67.3119,108.6,104.3,4.299999999999997,102.0,95.6,6.400000000000006,5.935224881502187,137.54164152889476,0,105.5751061,105.86274,-0.287633900000003,-3.504095363,91.55741665,93.59980171,-2.042385060000001,-0.919279949,2022-12-21,130.41160020921842,3.4578503463065715,130.41160020921842,0.2656923683211261,130.41160020921842,-5.531914628887394,9.573907393438635,4.041992764551241,0.7696399999999999,21.679074099999998,9.763191927526291,20.9094341,11.915882172473706,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.35161929169946593,0.40995882020664676,4.04500960829142,6.136306666666665,4.562784412437129,2.1679074099999998,2.323270455555556,1,1.0,1,1,1,3,3.0,3.0
