ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
2.5,11,,11.5,11.5,109.1,0.0,97.6,0.0,Mon 11-07 11-07,H,127 (Ⅲ),Chattanooga,"W, 85-78",75,112.7,52.4,19.9,36.8,43.5,103.4,56.8,27.8,38.2,28.8,5.0,-4.5,158.0,109.1,0.0,109.1,109.1,97.6,0.0,97.6,97.6,20221107,102.7,99.0,3.7,99.9,96.6,3.3,99.3308,101.708,-2.37725,75.7816,-1.9740751198613395,157.37430454531858,77.66514466116644,-4.640647515638719,157.0763848202916,-9.809088359210435,157.0763848202916,-4.640647515638719,157.0763848202916,-9.809088359210435,167.90203631745334,2.709823180326765,101.684,100.948,0.736275,72.0473,102.7,99.0,3.7,99.9,96.6,3.3,-9.809088359210435,167.90203631745334,0,98.81792559,97.71625107,1.101674520000003,2.260034557,109.2831432,98.81457051,10.468572690000002,9.265931561,2022-11-07,161.88117811281506,3.141192776828291,161.88117811281506,-2.561396470925274,161.88117811281506,0.0,0.0,0.0,13.37725,13.37725,0.0,0.0,13.37725,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.6658824291023754,0.3981732013980215,13.87725,,0.0,13.37725,0.0,1,0.0,1,1,1,3,0.0,0.0
3.0,13,,12.033333333333331,11.79090909090909,125.3,0.0,112.2,0.0,Fri 11-11 11-11,A,31 (I-A),North Carolina,"L, 102-86",76,112.9,54.8,18.4,38.5,12.3,133.9,64.7,10.5,28.6,65.5,25.5,19.0,162.5,117.2,109.1,114.5,112.04545454545452,104.9,97.6,102.46666666666668,100.25454545454544,20221111,103.3,99.5,3.799999999999997,111.6,89.8,21.8,99.5335,101.911,-2.37723,75.7985,24.35949304182445,156.690249300424,77.6422472972973,19.01011612034459,161.94489961331686,10.840755476915366,161.94489961331686,19.01011612034459,161.94489961331686,10.840755476915366,155.22390795656568,13.0559047899781,111.825,88.5066,23.3184,72.01,103.3,99.5,3.799999999999997,111.6,89.8,21.8,10.840755476915366,155.22390795656568,0,98.81792559,97.71625107,1.101674520000003,2.260034557,107.4489474,95.22222914,12.226718259999998,10.81541769,2022-11-11,158.04500238791917,8.95870370324343,158.04500238791917,16.42785725215137,158.04500238791917,0.0,0.0,0.0,15.37723,28.75448,13.37725,13.37725,15.37723,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.03518483230489555,0.10685664340686263,14.410563333333332,,13.87725,14.37724,13.37725,1,1.0,1,1,1,3,3.0,0.0
-0.5,14,13.133333333333336,12.95555555555556,12.33801652892562,123.4,119.26666666666668,108.6,106.13333333333333,Mon 11-14 11-14,H,111 (Ⅲ),Richmond,"W, 92-90 OT",83,111.4,51.4,15.7,31.8,33.3,108.9,53.2,18.2,22.9,42.9,31.0,-2.5,151.0,120.3,117.2,117.46666666666668,114.10991735537188,106.75,104.9,104.51111111111112,101.77190082644628,20221114,106.2,101.2,5.0,101.4,95.4,6.0,101.556,103.459,-1.90374,75.1938,3.9950722033792516,149.1621285514334,73.84630143328592,-3.3265430160689533,153.90770322684472,-5.5032359443352155,153.90770322684472,-3.3265430160689533,153.90770322684472,-5.5032359443352155,145.05771793735548,-3.2728239165087842,103.615,94.6006,9.01414,69.0402,106.2,101.2,5.0,101.4,95.4,6.0,-5.53765154232926,145.01033405858965,0,98.81792559,97.71625107,1.101674520000003,2.260034557,101.1675387,98.85925575,2.3082829499999917,-2.928546846,2022-11-14,148.3369922190265,-5.892360500702054,148.3369922190265,-5.714423728378151,148.3369922190265,-15.267116666666654,14.410563333333325,-0.8565533333333288,15.903739999999999,44.65822,18.502993333333336,28.75448,26.155226666666664,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.5940963859982835,0.622364791983771,14.859295555555558,15.037073333333336,14.410563333333332,14.886073333333332,14.37724,1,1.0,1,1,1,3,3.0,3.0
19.5,24,17.566666666666666,16.903703703703705,14.603831705484598,120.6,123.1,95.8,105.53333333333336,Thu 11-17 11-17,H,147 (Ⅲ),Davidson,"W, 89-66",70,127.1,54.2,17.1,47.5,16.7,94.3,47.1,24.3,32.4,51.0,-10.0,-3.5,165.0,120.45,120.3,118.51111111111112,115.2899323816679,101.275,106.75,101.6074074074074,100.68610067618332,20221117,107.5,101.8,5.700000000000003,104.7,101.0,3.700000000000003,102.929,104.206,-1.27655,75.1373,0.8188297534559581,158.71645801442494,74.26996118136557,-6.082820761840409,163.36001351511777,-19.962632389162366,163.36001351511777,-6.082820761840409,163.36001351511777,-19.962632389162366,180.87408704707065,-15.345658812557645,106.545,100.945,5.60061,69.4885,107.5,101.8,5.700000000000003,104.7,101.0,3.700000000000003,-20.084144785571283,180.87651649582907,0,107.631688,103.9384676,3.6932204000000013,11.30197403,97.70140918,107.4821093,-9.780700120000006,-6.928049983,2022-11-17,165.19278780404233,-15.664469834572301,165.19278780404233,-14.741159660802793,165.19278780404233,-25.62089574074073,14.873392407407405,-10.747503333333324,25.27655,69.93477,27.221402222222224,44.65822,42.713367777777776,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.6305586598182363,0.928059671431878,18.180253703703706,18.843216666666667,14.859295555555558,17.4836925,14.886073333333332,1,1.0,1,1,1,3,3.0,3.0
11.0,18,19.4,17.469135802469136,15.330407759032852,104.5,116.16666666666669,85.9,96.76666666666668,Fri 11-18 11-18,H,90 (Ⅲ),Colorado St.,"W, 74-64",72,103.4,44.1,18.2,31.6,42.4,89.4,49.2,21.0,23.7,14.8,-18.0,1.0,156.0,112.475,120.45,113.84074074074076,113.3281264940919,93.5875,101.275,96.37160493827162,97.99771873505908,20221118,108.9,101.5,7.400000000000006,105.1,95.8,9.299999999999995,104.536,103.387,1.14868,74.7022,2.591855972534205,154.37761231765484,73.18520340369844,-2.6612681335834623,157.83524874974984,-6.3492944347536335,157.83524874974984,-2.6612681335834623,157.83524874974984,-6.3492944347536335,162.70743456678483,-5.634085390501866,107.228,96.9621,10.2657,68.8724,108.9,101.5,7.400000000000006,105.1,95.8,9.299999999999995,-6.612494538541461,162.7420755237587,0,107.631688,103.9384676,3.6932204000000013,11.30197403,100.3213432,98.40772134,1.9136218600000063,-0.91443325,2022-11-18,157.31110649340906,-11.096218211674582,157.31110649340906,-4.90180126413604,157.31110649340906,-11.779384111111122,17.335502148148155,5.556118037037033,16.85132,86.78609,41.45919148148148,69.93477,45.32689851851852,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.46206285593374585,0.7042209672518881,16.320455802469137,18.25132,18.180253703703706,17.357218,17.4836925,1,1.0,1,1,1,3,3.0,3.0
8.0,19,20.933333333333334,18.11275720164609,16.07033362102688,112.5,112.53333333333336,93.1,91.59999999999998,Sun 11-20 11-20,H,15 (I),Virginia Tech,"W, 77-75",73,105.4,57.6,19.2,19.4,20.3,102.7,54.5,17.8,22.9,7.6,0.0,6.0,152.0,112.4875,112.475,113.39382716049384,113.17755804062064,93.34375,93.5875,95.28106995884777,97.10722441959378,20221120,110.0,101.3,8.700000000000003,111.7,93.6,18.10000000000001,104.772,102.131,2.64134,74.5247,7.643313950118198,150.96409925867692,71.29829993669986,3.021610353532182,157.44115932516564,-0.13651021409709407,157.44115932516564,3.021610353532182,157.44115932516564,-0.13651021409709407,166.6098608286702,-4.473299544274241,112.582,93.7659,18.8166,67.2565,110.0,101.3,8.700000000000003,111.7,93.6,18.10000000000001,0.4420062373522458,166.8791520679171,0,109.4804266,101.1286961,8.351730500000002,15.70856194,106.2317371,98.23200268,7.99973442000001,6.708671894,2022-11-20,156.82256212939814,-8.636884489828546,156.82256212939814,1.0052131778470397,156.82256212939814,-12.960112751322715,16.987355996472655,4.02724324514994,16.35866,103.14475,56.56815765432099,86.78609,46.57659234567901,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.2838545830986763,0.6649564707421358,15.47141720164609,18.291993333333334,16.320455802469137,17.190791666666666,17.357218,1,1.0,1,1,1,3,3.0,3.0
1.0,11,16.333333333333332,15.74183813443073,15.148454780840174,113.5,110.16666666666669,102.5,93.83333333333331,Wed 11-23 11-23,H,48 (Ⅱ),Kent St.,"W, 74-72",71,104.8,53.8,24.1,31.4,49.1,101.9,50.7,18.4,33.3,5.9,-14.5,-1.0,160.5,112.99375,112.4875,113.4292181069959,113.23618385141688,97.921875,93.34375,97.68737997256515,98.08772907057671,20221123,111.2,101.3,9.900000000000006,103.6,95.3,8.299999999999997,106.363,102.488,3.87439,74.3109,-1.3905774690609434,163.3804414440541,77.31684461351352,-5.471498859498382,166.51840769736964,-0.7066803697978016,166.51840769736964,-5.471498859498382,166.51840769736964,-0.7066803697978016,156.97146660355597,-1.8616798085482458,105.663,97.9211,7.74159,73.1437,111.2,101.3,9.900000000000006,103.6,95.3,8.299999999999997,0.1267919851497142,156.2463958066318,0,111.2165109,100.8897598,10.32675110000001,16.33893563,99.33576591,87.26709098,12.06867493,11.14706331,2022-11-23,155.6544519641272,-6.4765818026375825,155.6544519641272,-1.4919776415113262,155.6544519641272,-4.48715487066432,16.68356579659026,12.196410925925939,7.12561,110.27036,72.093688436214,103.14475,38.176671563786,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5379371440662541,0.5703647395016775,11.86744813443073,12.458943333333332,15.47141720164609,15.75290857142857,17.190791666666666,1,1.0,1,1,1,3,3.0,3.0
9.0,21,17.133333333333336,17.494558756287155,16.212372093414686,115.2,113.73333333333332,94.2,96.6,Tue 11-29 11-29,H,151 (Ⅲ),Old Dominion,"W, 75-60",66,114.2,57.4,21.3,30.0,29.6,91.4,49.0,21.3,20.7,19.2,-14.5,-6.0,149.5,114.096875,112.99375,114.01947873799728,113.59324133297744,96.0609375,97.921875,96.52491998171013,97.38086923956276,20221129,111.2,101.2,10.0,102.2,100.1,2.1000000000000085,106.766,102.528,4.23845,72.1277,-4.815404294110493,143.06212454464745,68.4474431024182,-9.742774988461889,150.70878489596487,-13.847407083071458,150.70878489596487,-9.742774988461889,150.70878489596487,-13.847407083071458,143.5414775152246,-9.779447594170037,101.821,98.8945,2.92663,66.713,111.2,101.2,10.0,102.2,100.1,2.1000000000000085,-12.844447214409252,149.8764809111019,0,111.2924716,100.1700093,11.122462299999995,16.68779049,99.20870331,96.62250816,2.586195150000009,8.03196148,2022-11-29,145.22678935516535,-8.078102577836205,145.22678935516535,-10.574161340147398,145.22678935516535,-9.979371699523153,12.501636609184137,2.522264909660985,16.76155,127.03191,84.81924562414267,110.27036,42.21266437585733,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7161454169013237,0.8241704394553148,13.256108756287155,12.894883333333336,11.86744813443073,15.87898875,15.75290857142857,1,1.0,1,1,1,3,3.0,3.0
9.5,20,17.466666666666665,18.463039170858103,16.973758985521105,106.1,111.59999999999998,85.7,94.13333333333333,Sat 12-03 12-03,A,305 (Ⅳ),The Citadel,"W, 79-57",71,111.0,45.7,11.2,36.2,31.9,80.1,36.8,11.2,9.8,40.4,-14.0,-12.5,150.0,110.0984375,114.096875,111.3796524919982,112.2308338178906,90.88046875,96.0609375,92.91661332114008,95.25707483236953,20221203,111.8,100.8,11.0,96.0,107.1,-11.099999999999994,107.43,102.133,5.29752,71.2468,-4.7909317260213555,145.10604892286398,68.08944181052631,-11.794651045262924,150.5737969442679,-16.47738364886856,150.5737969442679,-11.794651045262924,150.5737969442679,-16.47738364886856,137.3750135767862,-4.088113924879167,98.6095,105.918,-7.30839,67.1846,111.8,100.8,11.0,96.0,107.1,-11.099999999999994,-14.05525646358926,144.1562816316824,0,109.9006198,99.14142771,10.759192089999999,16.15684617,98.12828379,99.10691335,-0.9786295600000017,0.634528676,2022-12-03,143.60983256930805,-8.502490819358172,143.60983256930805,-10.787153349116153,143.60983256930805,-5.680299712886784,12.098217364921517,6.417917652034733,14.702480000000001,141.73439,98.89013374942846,127.03191,42.84425625057153,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.8830703586536275,0.6514892219605473,13.165519170858104,12.169146666666666,13.256108756287155,15.748265555555557,15.87898875,1,1.0,1,1,1,3,3.0,3.0
-9.5,-3,12.533333333333331,11.042026113905404,13.19671189724454,97.8,106.36666666666666,101.6,93.83333333333331,Tue 12-06 12-06,A,318 (Ⅳ),Presbyterian,"W, 67-62",66,101.7,46.1,19.7,38.2,60.8,94.1,46.4,19.7,29.4,30.9,-15.0,-14.5,144.0,103.94921875,110.0984375,106.85310166133212,109.6070458510014,96.240234375,90.88046875,95.81107554742673,96.41033395375688,20221206,112.0,99.8,12.200000000000005,93.7,104.9,-11.200000000000005,107.988,101.261,6.72655,71.1767,-8.682010846527547,138.43990766394,66.84646346756757,-12.380089146740161,144.11218825838984,-17.55026234598642,144.11218825838984,-12.380089146740161,144.11218825838984,-17.55026234598642,131.73613757890925,-12.07232117596979,93.6857,105.343,-11.6569,66.0231,112.0,99.8,12.200000000000005,93.7,104.9,-11.200000000000005,-17.303712143900235,137.53540676958048,0,109.0005051,96.56469381,12.435811290000004,16.38300697,91.30310385,102.1755847,-10.872480850000002,-4.404643321,2022-12-06,136.27340608016706,-11.912008505718163,136.27340608016706,-18.90709010808085,136.27340608016706,-13.55882060145811,11.970056538434177,-1.588764063023934,-9.72655,132.00784,113.17155249961897,141.73439,18.83628750038102,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.9163531986724158,0.8748755169385216,4.3154761139054045,5.806783333333332,13.165519170858104,13.200784,15.748265555555557,1,1.0,1,1,1,3,3.0,3.0
