ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-8.0,-4,,-4.0,-4.0,102.6,0.0,106.6,0.0,Mon 11-07 11-07,H,347 (Ⅳ),Loyola MD,"W, 72-66",68,106.2,50.0,19.2,34.3,31.0,97.3,48.3,20.6,35.0,28.3,-2.0,-14.0,140.0,102.6,0.0,102.6,102.6,106.6,0.0,106.6,106.6,20221107,103.1,95.3,7.8,94.2,99.1,-4.9,103.548,95.37,8.17808,71.9185,-12.928888981318103,137.63068534474846,71.24893160384067,-12.95622867764525,140.17841706916542,-11.926905150255731,140.17841706916542,-12.95622867764525,140.17841706916542,-11.926905150255731,149.46695378988778,-11.939630689529949,94.856,99.7352,-4.87917,69.6455,103.1,95.3,7.8,94.2,99.1,-4.9,-11.926905150255731,149.46695378988778,0,102.9561396,96.29036137,6.665778230000001,11.02434621,96.73941521,101.0232979,-4.283882689999999,-2.802744495,2022-11-07,143.949175227887,-11.928633731471265,143.949175227887,-11.072511464826462,143.949175227887,0.0,0.0,0.0,-12.17808,-12.17808,0.0,0.0,-12.17808,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.9087887802741321,0.8722533641021519,-12.17808,,0.0,-12.17808,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-3.0,5,,-0.9333333333333328,-2.3272727272727263,112.0,0.0,106.8,0.0,Fri 11-11 11-11,H,297 (Ⅳ),Western Illinois,"W, 86-74",71,121.5,67.0,19.8,27.3,23.2,104.6,42.6,12.7,28.9,42.6,15.0,-15.0,145.0,107.3,102.6,105.73333333333332,104.3090909090909,106.7,106.6,106.66666666666669,106.63636363636364,20221111,103.5,95.8,7.700000000000003,90.0,104.9,-14.900000000000006,103.752,95.5736,8.17811,71.9355,-16.877759498487222,147.98513277043443,74.25851525035563,-21.102015722837272,148.30992874789402,-4.097410644043364,148.30992874789402,-21.102015722837272,148.30992874789402,-4.097410644043364,156.94259894670444,-8.492599746403997,95.4828,104.578,-9.09509,72.5702,103.5,95.8,7.700000000000003,90.0,104.9,-14.900000000000006,-4.097410644043364,156.94259894670444,0,102.9561396,96.29036137,6.665778230000001,11.02434621,100.4830371,99.43176754,1.0512695600000086,1.867001675,2022-11-11,151.24442792910787,-9.01336744455277,151.24442792910787,-18.786810290217993,151.24442792910787,0.0,0.0,0.0,-3.17811,-15.35619,-12.17808,-12.17808,-3.17811,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.9234362744901652,0.7906903739099461,-9.111443333333334,,-12.17808,-7.678094999999999,-12.17808,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
15.0,23,8.233333333333334,7.211111111111111,2.3685950413223145,109.9,108.16666666666669,86.4,99.93333333333334,Mon 11-14 11-14,A,203 (Ⅳ),Minnesota,"W, 69-53",63,109.8,49.2,22.3,52.6,12.5,84.3,37.0,20.7,33.3,42.6,-12.0,-1.0,134.0,108.6,107.3,107.12222222222223,105.32561983471074,96.55,106.7,99.91111111111113,102.95702479338844,20221114,105.0,97.7,7.299999999999997,100.7,99.5,1.2000000000000028,104.948,97.1077,7.84055,70.5743,1.7952568633213843,135.57320073995024,66.87201037027026,-0.2825086387619109,138.92828321280797,3.3156755606537716,138.92828321280797,-0.2825086387619109,138.92828321280797,3.3156755606537716,142.0627777752941,6.1634161593563235,103.383,98.5254,4.85774,66.6121,105.0,97.7,7.299999999999997,100.7,99.5,1.2000000000000028,3.495780639891877,142.0361909046854,0,102.9561396,96.29036137,6.665778230000001,11.02434621,103.4084648,93.29881658,10.109648220000011,9.334305744,2022-11-14,134.1572091390594,0.9328516125252548,134.1572091390594,1.3802828753826333,134.1572091390594,2.622170000000005,-9.111443333333328,-6.4892733333333235,15.15945,-0.19674000000000014,-13.23745,-15.35619,13.04071,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.5379371440662541,0.27860453471199853,-0.6294388888888891,0.39278333333333393,-9.111443333333334,-0.06557999999999886,-7.678094999999999,-1,-1.0,1,-1,-1,-1,-3.0,-3.0
-10.5,-3,8.266666666666666,3.507407407407406,1.22885048835462,84.0,101.96666666666664,87.9,93.7,Fri 11-18 11-18,N,77 (Ⅱ),Santa Clara,"L, 69-61",75,81.1,39.3,15.9,19.0,32.8,91.7,45.9,25.3,36.8,34.4,-24.0,-2.5,154.0,96.3,108.6,99.41481481481485,101.44823441021788,92.225,96.55,95.90740740740742,100.21938392186324,20221118,105.6,97.0,8.599999999999994,102.4,97.3,5.1000000000000085,105.887,96.2629,9.62392,70.011,-3.319496731466387,151.66085993175196,75.66037979658606,-2.6433893254543364,156.15284613013694,1.23386941349556,156.15284613013694,-2.6433893254543364,156.15284613013694,1.23386941349556,152.2575091142433,-0.5549178335753027,102.346,97.2079,5.13804,75.9727,105.6,97.0,8.599999999999994,102.4,97.3,5.1000000000000085,1.2355744521499594,152.3045909424572,0,96.80776403,99.95183917,-3.144075139999998,-9.664986645,94.86330334,98.68602419,-3.822720849999996,-1.605088269,2022-11-18,147.0936660907701,6.098149722500466,147.0936660907701,2.4071209720469255,147.0936660907701,4.957428148148147,-1.5320001851851845,3.4254279629629627,-12.62392,-12.82066,-8.890546666666669,-0.19674000000000014,-3.930113333333331,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.5210740166465112,-6.116512592592594,-1.3572533333333343,-0.6294388888888891,-3.205165000000001,-0.06557999999999886,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
3.0,8,9.366666666666664,5.171604938271605,2.5508776722901434,119.9,104.6,111.4,95.23333333333332,Sun 11-20 11-20,N,21 (I),Oklahoma St.,"L, 82-78",74,105.4,44.7,18.9,35.1,57.9,110.8,52.6,23.0,50.0,48.3,24.0,7.0,136.0,108.1,96.3,106.24320987654323,104.80310088108736,101.8125,92.225,101.07160493827162,102.2522232087972,20221120,104.8,97.4,7.399999999999991,104.5,90.0,14.5,104.405,95.8159,8.58893,69.8743,5.307401730285008,138.21542148966824,71.12040824907541,5.429826932963692,142.67792456585508,5.179171725500812,142.67792456585508,5.429826932963692,142.67792456585508,5.179171725500812,130.93913257487932,6.787916870531475,105.834,89.9439,15.8901,71.5537,104.8,97.4,7.399999999999991,104.5,90.0,14.5,5.308989342312535,130.85585243090392,0,97.72119272,101.9013685,-4.180175779999999,-8.499509994,99.496216,94.20513897,5.291077030000011,-2.519925103,2022-11-20,140.74506559820526,4.252705186079211,140.74506559820526,4.889396362664229,140.74506559820526,-0.6220961851851845,-3.00886270370371,-3.6309588888888946,-0.5889299999999995,-13.40959,-10.200584444444447,-12.82066,-3.209005555555553,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.2524925375469229,0.25898806876273417,-3.417325061728395,0.7777366666666641,-6.116512592592594,-2.6819180000000005,-3.205165000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-11.5,-14,-3.133333333333335,-1.2189300411522623,-0.4583728135807918,93.8,99.23333333333332,107.8,102.36666666666667,Fri 11-25 11-25,H,66 (Ⅱ),Texas A&M,"L, 82-66",72,92.0,40.2,22.3,34.2,48.2,114.2,51.8,16.7,32.3,56.4,7.0,4.5,141.0,100.95,108.1,102.09547325102884,102.802537084526,104.80625,101.8125,103.31440329218108,103.2609098981068,20221125,105.9,98.9,7.0,110.5,96.5,14.0,106.26,97.7471,8.51329,68.9459,-0.9956762572225131,137.81175424944053,66.76032477738265,0.801181508453439,144.58202818225107,-4.230016692861409,144.58202818225107,0.801181508453439,144.58202818225107,-4.230016692861409,141.60106023400962,-1.0990596979602003,108.367,95.6279,12.7393,68.0715,105.9,98.9,7.0,110.5,96.5,14.0,-4.495827867485326,141.70904133944052,0,97.0065247,103.0461185,-6.039593800000006,-10.55655181,101.7054888,103.7639855,-2.0584967000000063,-10.86435866,2022-11-25,140.52118930618335,-1.874572574913124,140.52118930618335,-4.537179180398056,140.52118930618335,-7.255348871252174,-4.287839911816585,-11.543188783068759,-22.513289999999998,-35.92288,-11.270252962962964,-13.40959,-24.652627037037036,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.3341175708976246,0.5416820994107389,-9.732220041152262,-11.646623333333334,-3.417325061728395,-5.987146666666666,-2.6819180000000005,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.5,4,-0.5,0.5207133058984916,0.3522404252520794,114.8,109.5,110.8,110.0,Wed 11-30 11-30,H,141 (Ⅲ),Samford,"W, 103-98 OT",86,120.0,67.2,22.1,21.9,44.3,114.2,52.0,12.8,30.4,38.7,46.5,-3.5,154.5,107.875,100.95,106.3303155006859,104.98389397824852,107.803125,104.80625,105.8096021947874,104.63165355299648,20221130,105.1,99.6,5.5,107.8,99.5,8.299999999999997,105.476,98.581,6.89546,68.3937,-6.738013378328347,145.42507063447584,68.57397528605975,-2.204692166772716,148.8068774697349,1.1514659525130537,148.8068774697349,-2.204692166772716,148.8068774697349,1.1514659525130537,138.518645928587,4.718379610838895,106.039,102.815,3.22423,70.4853,105.1,99.6,5.5,107.8,99.5,8.299999999999997,1.9563153328804255,139.18920182403602,0,97.70074271,102.3911384,-4.690395690000003,-8.876607316,98.78157187,91.19681641,7.584755459999997,8.223010262,2022-11-30,133.38383691886133,9.812090988690706,133.38383691886133,6.936168865219017,133.38383691886133,18.221480031687214,-9.331397890946462,8.89008214074075,-2.89546,-38.81834,-19.487795308641974,-35.92288,-19.330544691358025,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6305586598182363,0.3265825695523993,-6.374746694101509,-7.39546,-9.732220041152262,-5.545477142857142,-5.987146666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.0,-2,-4.066666666666667,-0.3861911294010064,-0.1118032884301173,107.5,105.36666666666667,109.7,109.43333333333334,Sat 12-03 12-03,A,235 (Ⅳ),Loyola Chicago,"W, 78-72 OT",69,113.7,55.5,13.1,9.7,34.5,105.0,60.4,23.3,28.6,24.5,12.0,1.0,138.0,107.6875,107.875,106.7202103337906,105.44136780038517,108.7515625,107.803125,107.1064014631916,105.55317108881528,20221203,106.1,100.3,5.799999999999997,99.8,98.6,1.2000000000000028,106.341,99.4335,6.90768,68.928,1.300898480687124,130.3106203095649,63.687118839260314,0.7947206862963299,133.74531282514067,-5.744428632138361,133.74531282514067,0.7947206862963299,133.74531282514067,-5.744428632138361,130.0613181508197,-3.7995688428546117,101.571,98.4583,3.11268,64.9548,106.1,100.3,5.799999999999997,99.8,98.6,1.2000000000000028,-3.6491444204007792,130.41990494732704,0,100.3203127,101.4397138,-1.1194011000000046,-5.535421634,91.48555134,103.7953107,-12.309759360000001,-14.24502802,2022-12-03,128.53234318433704,-3.940024420677503,128.53234318433704,-2.428209409064671,128.53234318433704,-1.9395417404794646,-8.703346578809848,-10.642888319289312,-8.90768,-47.72602,-25.931310205761314,-38.81834,-21.794709794238685,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.46206285593374585,0.6412730560361173,-7.293871129401007,-10.974346666666667,-6.374746694101509,-5.965752500000001,-5.545477142857142,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.5,-13,-3.933333333333332,-4.790794086267336,-2.5642026905337314,98.2,106.83333333333331,111.8,110.76666666666668,Wed 12-07 12-07,A,86 (Ⅱ),St. John's,"L, 86-67",73,92.3,44.2,19.3,32.6,15.9,118.4,54.6,16.5,41.2,29.2,-5.0,9.5,158.0,102.94375,107.6875,103.88014022252707,104.1247554730424,110.27578125,108.7515625,108.6709343087944,106.68895816357612,20221207,106.7,101.4,5.299999999999997,105.7,96.0,9.700000000000005,107.297,99.9615,7.33585,68.4004,9.785074166096436,152.0684828400581,73.09735719715503,7.934062665111497,156.7598092848083,8.912144140379114,156.7598092848083,7.934062665111497,156.7598092848083,8.912144140379114,149.0807636752978,6.2763907865292765,108.255,93.7664,14.489,75.1274,106.7,101.4,5.299999999999997,105.7,96.0,9.700000000000005,7.57198743946485,156.04748935354542,0,100.4295402,101.334987,-0.9054467999999929,-5.367782101,101.0110648,99.18988009,1.8211847099999972,0.130484736,2022-12-07,151.01062149601802,6.012217187541751,151.01062149601802,7.651024787829982,151.01062149601802,-1.0268423295598925,-8.930533613778374,-9.957375943338267,-20.33585,-68.06187,-33.196213470507544,-47.72602,-34.865656529492455,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.182795768782416,0.2750028771145224,-12.126644086267337,-11.26918333333333,-7.293871129401007,-7.562429999999999,-5.965752500000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
15.5,15,0.0333333333333314,2.1061372758217733,0.7929250713814913,127.1,110.93333333333334,111.2,110.9,Sat 12-10 12-10,H,201 (Ⅳ),UTEP,"W, 91-70",74,122.6,60.7,18.9,24.2,31.1,94.3,52.8,18.9,17.6,40.7,20.5,-5.5,140.5,115.021875,102.94375,111.62009348168472,108.30207265976196,110.737890625,110.27578125,109.51395620586295,107.50914758838049,20221210,106.9,103.1,3.8000000000000114,99.8,97.8,2.0,107.099,100.735,6.3642,68.0617,-9.410901403613629,131.15512452830316,64.44261833897582,-4.934009177712966,137.20168093671464,-2.811015893894303,137.20168093671464,-4.934009177712966,137.20168093671464,-2.811015893894303,133.63166512541943,-4.89945230627567,96.9342,99.5364,-2.60213,66.5619,106.9,103.1,3.8000000000000114,99.8,97.8,2.0,-4.887009404392235,128.89422409226086,0,99.12377841,102.2984161,-3.1746376899999973,-5.809848554,95.45432008,100.4173946,-4.963074519999992,-1.2475381,2022-12-10,130.42409690345738,1.199350506265091,130.42409690345738,-1.1202189281359054,130.42409690345738,8.580648272048506,-12.128283126398875,-3.5476348543503677,8.6358,-59.426069999999996,-44.81809898033836,-68.06187,-14.607971019661633,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.6997944856925475,0.6796121464202793,-4.258062724178227,-6.330866666666669,-12.126644086267337,-5.942606999999999,-7.562429999999999,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
