ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.0,4,,4.900000000000006,4.900000000000006,104.5,0.0,99.6,0.0,Mon 11-07 11-07,A,268 (Ⅳ),Miami OH,"W, 78-74",73,106.8,52.5,16.4,27.3,33.3,101.4,48.3,17.8,25.7,33.3,18.5,6.0,133.5,104.5,0.0,104.5,104.5,99.6,0.0,99.6,99.6,20221107,91.8,103.6,-11.8,92.7,107.4,-14.7,90.4173,103.603,-13.1853,71.0775,7.257987083543853,142.56441489890915,73.15270012446658,2.163463196012998,145.51729800875012,-23.47847843832856,145.51729800875012,2.163463196012998,145.51729800875012,-23.47847843832856,163.16970610238198,10.106146105649515,96.6127,105.735,-9.12216,72.3525,91.8,103.6,-11.8,92.7,107.4,-14.7,-23.47847843832856,163.16970610238198,0,92.9531823,101.0602135,-8.107031200000009,-6.122951671,103.4466466,103.9921736,-0.545527000000007,-0.415028201,2022-11-07,150.65498784432967,17.185299999999998,17.185299999999998,0.0,0.0,17.185299999999998,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-3,0.2838545830986763,0.16790173557831234,18.085300000000004,,0.0,17.185299999999998,0.0,1,0.0,1,1,1,3,0.0,0.0
5.5,-7,,0.7000000000000077,2.609090909090916,97.9,0.0,105.6,0.0,Sat 11-12 11-12,A,103 (Ⅱ),Saint Louis,"L, 83-65",71,91.4,37.9,8.4,19.6,27.3,116.7,59.8,16.9,25.0,16.4,2.5,23.5,145.5,101.2,104.5,102.3,103.3,102.6,99.6,101.6,100.69090909090907,20221112,92.9,104.7,-11.799999999999995,109.1,93.8,15.299999999999995,91.235,104.42,-13.1846,71.0563,25.91442200463821,146.22690476795458,72.6104417763869,24.299329383534015,150.08637812091945,13.950636107973054,150.08637812091945,24.299329383534015,150.08637812091945,13.950636107973054,153.41290892508806,18.974559043656242,110.959,93.8712,17.0873,71.8376,92.9,104.7,-11.799999999999995,109.1,93.8,15.299999999999995,13.950636107973054,153.41290892508806,0,92.9531823,101.0602135,-8.107031200000009,-6.122951671,106.6538041,94.35233735,12.301466750000003,14.2421194,2022-11-12,145.57473263411754,6.1846,23.369899999999998,17.185299999999998,17.185299999999998,6.1846,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.012607422565682258,0.03537327719850869,13.884600000000008,,18.085300000000004,11.68495,17.185299999999998,1,1.0,1,1,1,3,3.0,0.0
-8.0,-20,-7.899999999999991,-6.499999999999991,-1.6652892561983403,81.4,94.6,102.3,102.5,Wed 11-16 11-16,H,262 (Ⅳ),Southeast Missouri St.,"L, 67-61",70,86.9,34.7,17.1,36.7,50.0,95.5,47.3,20.0,21.2,29.1,-20.0,-2.0,148.0,91.3,101.2,95.33333333333334,99.3181818181818,102.45,102.6,101.83333333333331,100.98347107438016,20221116,93.9,104.7,-10.799999999999995,95.0,106.6,-11.599999999999994,92.0085,104.645,-12.6369,70.1952,-2.066536019365671,144.95103213450795,73.15597961650072,-4.651647480483291,149.27938444661578,2.6153729157248846,149.27938444661578,-4.651647480483291,149.27938444661578,2.6153729157248846,132.08581686067595,5.429416928951014,96.4715,106.746,-10.2746,73.2652,93.9,104.7,-10.799999999999995,95.0,106.6,-11.599999999999994,2.622242586374585,132.0285648247171,0,99.81007655,96.91471747,2.8953590800000057,-0.8023184,99.18886019,83.99132242,15.197537769999997,12.35388666,2022-11-16,134.3470109454812,-7.363099999999999,16.0068,19.24683333333333,23.369899999999998,-3.240033333333333,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,3,0.5755320005597261,0.30254760007045345,6.13690000000001,4.73690000000001,13.884600000000008,5.335599999999999,11.68495,1,1.0,-1,1,1,1,3.0,3.0
4.5,-5,-11.299999999999992,-6.099999999999993,-2.326145755071369,73.0,84.10000000000001,78.3,95.4,Sat 11-19 11-19,A,165 (Ⅲ),SMU,"L, 55-47",69,68.0,31.8,17.4,25.0,10.6,79.5,36.8,17.4,15.0,39.6,-33.5,12.5,135.5,82.15,91.3,87.8888888888889,94.53305785123963,90.375,102.45,93.9888888888889,96.85920360631104,20221119,93.2,105.0,-11.799999999999995,98.8,98.0,0.7999999999999972,91.0448,104.504,-13.4594,69.5125,15.444629564650015,137.517713421655,70.7324789829303,12.931588112492804,141.45674479188426,6.945273994986722,141.45674479188426,12.931588112492804,141.45674479188426,6.945273994986722,133.96052449303318,-2.5946121583629775,101.133,97.9779,3.15531,71.5338,93.2,105.0,-11.799999999999995,98.8,98.0,0.7999999999999972,6.934257933735578,133.9600626939604,0,99.81007655,96.91471747,2.8953590800000057,-0.8023184,93.77428694,99.99359424,-6.219307299999997,-10.43339912,2022-11-19,137.84600259491503,8.4594,24.4662,18.166822222222223,16.0068,6.299377777777778,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,3,0.11692964134637251,0.5975868737974775,7.359400000000007,2.1594000000000086,6.13690000000001,6.11655,5.335599999999999,1,1.0,1,1,1,3,1.0,3.0
-5.5,-7,-11.099999999999994,-6.433333333333327,-3.1941192541493004,88.4,80.93333333333334,95.5,92.03333333333336,Wed 11-23 11-23,A,68 (I),UCF,"L, 76-56",73,76.9,39.5,19.2,20.5,21.0,104.3,59.6,26.1,23.3,34.6,9.5,14.5,122.5,85.275,82.15,88.05925925925928,93.41795642374151,92.9375,90.375,94.4925925925926,96.61207567789084,20221123,92.3,103.7,-11.400000000000006,101.6,93.2,8.399999999999991,90.7313,103.704,-12.9725,68.3849,17.923712519441395,118.78313662529764,62.35127011749644,15.814473937590904,122.91522102196059,14.909665285276724,122.91522102196059,15.814473937590904,122.91522102196059,14.909665285276724,104.67482278998071,9.379143942474933,103.326,92.1502,11.1758,64.0974,92.3,103.7,-11.400000000000006,101.6,93.2,8.399999999999991,14.984620498614651,104.53252664249102,0,92.32311814,93.41990066,-1.0967825199999908,-5.649316679,95.03501717,85.38367586,9.651341310000007,14.83484624,2022-11-23,107.52234041666941,5.9725,30.4387,20.266614814814815,24.4662,10.172085185185185,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,-3,0.08364680132758417,0.18586117078242215,6.539166666666673,1.8725000000000058,7.359400000000007,6.08774,6.11655,1,1.0,1,1,1,3,3.0,1.0
-2.0,-2,-4.833333333333329,-4.988888888888884,-2.995188480667609,108.0,89.8,110.1,94.63333333333333,Fri 11-25 11-25,N,94 (Ⅲ),South Alabama,"L, 78-67",67,99.9,51.9,14.9,16.7,34.0,116.3,53.3,10.4,22.2,30.0,14.0,9.0,131.0,96.6375,85.275,94.7061728395062,96.06923707397034,101.51875,92.9375,99.69506172839507,99.06442555463794,20221125,92.3,103.6,-11.299999999999995,100.0,97.9,2.0999999999999943,90.616,103.458,-12.8417,69.6268,7.180487949268887,128.93401691621995,67.48926714423898,9.153430499856512,134.11200385125113,8.86222416018037,134.11200385125113,9.153430499856512,134.11200385125113,8.86222416018037,116.6388910051538,4.952918440158427,97.9584,100.041,-2.08284,68.1418,92.3,103.6,-11.299999999999995,100.0,97.9,2.0999999999999943,8.979782727462473,116.8307582103157,0,95.94810317,96.30742669,-0.3593235200000038,-4.006161778,102.4850961,95.40315618,7.081939920000011,9.195110843,2022-11-25,131.53749738517212,10.8417,41.2804,23.65730987654321,30.4387,17.62309012345679,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,-3,0.19568296915377603,0.3185681419995152,7.852811111111116,8.00836666666667,6.539166666666673,6.880066666666667,6.08774,1,1.0,1,1,1,3,3.0,3.0
0.0,-8,-5.899999999999996,-6.159259259259256,-3.996063302364407,85.1,93.83333333333331,93.6,99.73333333333332,Sat 11-26 11-26,N,244 (Ⅳ),Robert Morris,"W, 54-53",62,87.2,42.2,14.5,25.6,19.0,85.6,45.9,24.2,26.5,28.6,-28.0,-1.0,135.0,90.86875,96.6375,91.50411522633746,94.07483033324846,97.559375,101.51875,97.66337448559672,98.07089363561283,20221126,93.4,104.1,-10.699999999999989,97.7,107.0,-9.299999999999995,91.4443,104.57,-13.126,69.4455,2.331231221429519,134.03642206502212,68.7991530490754,1.2452901775606904,142.05177291225718,-4.0695447125189395,142.05177291225718,1.2452901775606904,142.05177291225718,-4.0695447125189395,121.91381968836868,-3.0079888468488036,95.2483,105.196,-9.94821,69.6457,93.4,104.1,-10.699999999999989,97.7,107.0,-9.299999999999995,-5.562093466560062,123.9268477676739,0,95.94810317,96.30742669,-0.3593235200000038,-4.006161778,88.19613168,92.9766068,-4.7804751200000055,-6.174280927,2022-11-26,122.68240358602719,5.1259999999999994,46.4064,29.531673251028806,41.2804,16.87472674897119,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,0.5379371440662541,0.6127428798299505,6.966740740740743,7.2260000000000035,7.852811111111116,6.629485714285714,6.880066666666667,1,1.0,1,1,1,3,3.0,3.0
-3.0,-10,-7.033333333333331,-7.606172839506171,-5.17859724738906,81.8,91.63333333333333,92.3,98.66666666666669,Sun 11-27 11-27,N,257 (Ⅳ),Fairfield,"L, 63-56",70,79.9,42.2,15.7,17.1,29.3,89.9,48.8,25.7,18.5,82.9,-11.0,4.0,130.0,86.334375,90.86875,88.26941015089164,91.84304299993056,94.9296875,97.559375,95.87558299039785,97.0216402473196,20221127,92.4,102.8,-10.399999999999991,101.6,104.0,-2.4000000000000057,91.2238,103.726,-12.5018,68.389,5.137283390097856,124.00943704388294,63.279670456614504,5.422954355305286,130.26106803090386,0.12641960302999958,130.26106803090386,5.422954355305286,130.26106803090386,0.12641960302999958,122.78600909050128,-1.6702615842148774,98.8707,103.477,-4.60588,65.0479,92.4,102.8,-10.399999999999991,101.6,104.0,-2.4000000000000057,-0.5692874076118336,123.92699030881096,0,94.26929708,96.23437547,-1.9650783900000022,-4.951211863,97.26422211,102.0194668,-4.755244689999998,-3.003291686,2022-11-27,123.26792710856435,2.5017999999999994,48.908199999999994,35.15658216735254,46.4064,13.751617832647455,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,-3,0.35161929169946593,0.5631941354695831,4.895627160493828,5.468466666666668,6.966740740740743,6.113524999999999,6.629485714285714,1,1.0,1,1,1,3,3.0,3.0
-18.5,-37,-18.7,-17.437448559670777,-10.982488656954684,84.5,83.8,121.6,102.5,Wed 11-30 11-30,H,138 (Ⅲ),Southern Illinois,"L, 80-53",68,78.1,45.2,29.5,24.2,15.4,117.9,71.4,22.1,16.7,3.6,11.0,8.5,122.0,85.4171875,86.334375,87.01294010059443,90.50794427267044,108.26484375,94.9296875,104.45038866026522,101.49043292962511,20221130,91.5,101.2,-9.700000000000005,99.1,92.5,6.599999999999994,89.7658,102.285,-12.519,68.8194,8.143747887499067,114.46749818539621,62.08498608221906,6.680665397234158,117.66430552520694,2.4425878592305397,117.66430552520694,6.680665397234158,117.66430552520694,2.4425878592305397,96.73421418810003,0.3965385421253771,99.7962,93.238,6.55821,63.4207,91.5,101.2,-9.700000000000005,99.1,92.5,6.599999999999994,4.8640608172942015,103.99358345796068,0,91.66850681,93.7082529,-2.0397460900000084,-4.887723384,92.0537918,88.3171232,3.7366686000000016,12.24064591,2022-11-30,106.55661179404078,-24.481,24.427199999999992,39.74045477823502,48.908199999999994,-15.313254778235027,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.20910695659274503,0.4849372958000824,-4.918448559670777,-6.180999999999999,4.895627160493828,2.7141333333333346,6.113524999999999,-1,1.0,-1,1,1,-1,3.0,3.0
-6.0,-29,-25.566666666666663,-21.324965706447188,-14.276581628417471,81.8,82.7,110.9,108.26666666666668,Sat 12-03 12-03,A,209 (Ⅲ),Northern Iowa,"L, 72-55",66,83.6,40.7,16.7,21.1,15.3,109.5,54.0,16.7,34.3,14.5,-4.5,11.0,131.5,83.60859375,85.4171875,85.2752934003963,88.92468167763946,109.582421875,108.26484375,106.6002591068435,103.20126330605692,20221203,91.2,102.4,-11.200000000000005,99.6,103.3,-3.700000000000003,89.7408,103.425,-13.6838,69.2346,13.355666729582722,130.55983790337007,66.7070939197724,9.076121675375866,134.3078872087148,9.791653224344747,134.3078872087148,9.076121675375866,134.3078872087148,9.791653224344747,128.78381639571617,3.5161080569438923,101.946,101.196,0.750032,67.7336,91.2,102.4,-11.200000000000005,99.6,103.3,-3.700000000000003,8.315453328834703,126.84590768670843,0,91.23074529,96.81601584,-5.585270550000004,-10.75822605,98.67006347,104.9435694,-6.273505929999999,-8.565614752,2022-12-03,130.78328125249038,-15.3162,9.110999999999992,34.636036518823346,24.427199999999992,-25.525036518823356,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.14740707903152717,0.36886254455071854,-7.641165706447188,-11.882866666666663,-4.918448559670777,0.9110999999999994,2.7141333333333346,-1,-1.0,-1,1,1,-1,-1.0,3.0
