ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.0,-23,,-23.30000000000001,-23.30000000000001,77.1,0.0,100.4,0.0,Mon 11-07 11-07,A,49 (I),Oregon,"L, 80-45",68,66.1,40.6,30.9,16.1,16.7,117.6,50.8,14.7,46.2,44.4,-11.0,31.0,136.0,77.1,0.0,77.1,77.1,100.4,0.0,100.4,100.4,20221107,82.2,106.8,-24.6,108.5,92.9,15.6,84.1486,106.022,-21.8739,70.018,31.795163226496683,137.423854435375,70.70453495590327,32.485337658923825,139.90079854528398,31.136795675814977,139.90079854528398,32.485337658923825,139.90079854528398,31.136795675814977,121.52260142129603,16.053963762398183,110.323,91.7635,18.5599,70.9893,82.2,106.8,-24.6,108.5,92.9,15.6,31.136795675814977,121.52260142129603,0,93.09667709,100.932461,-7.8357839100000035,-9.679608159,106.7666368,97.90177125,8.864865550000005,6.215727919,2022-11-07,144.25867764515783,-1.126100000000001,-1.126100000000001,0.0,0.0,-1.126100000000001,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,-3,0.0015766681763295098,0.06313855247792266,-1.4261000000000124,,0.0,-1.126100000000001,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-13.5,-39,,-28.533333333333346,-26.154545454545463,71.5,0.0,110.5,0.0,Wed 11-09 11-09,A,158 (Ⅲ),Portland,"L, 91-54",76,71.2,35.5,23.7,17.9,40.0,120.0,66.3,23.7,34.5,61.5,4.0,23.5,141.0,74.3,77.1,75.23333333333333,76.08181818181816,105.45,100.4,103.76666666666668,102.23636363636363,20221109,82.4,107.1,-24.69999999999999,105.1,98.0,7.099999999999994,84.1486,106.022,-21.8739,70.018,22.84449235590595,138.39401825482017,72.74322406258891,27.687812674857682,144.4609311740159,36.511602618098316,144.4609311740159,27.687812674857682,144.4609311740159,36.511602618098316,130.26314683611147,6.835275525012619,102.174,97.5688,4.60499,73.0362,82.4,107.1,-24.69999999999999,105.1,98.0,7.099999999999994,36.511602618098316,130.26314683611147,0,93.09667709,100.932461,-7.8357839100000035,-9.679608159,99.42500332,103.8479138,-4.422910479999999,-7.604591855,2022-11-09,146.63990326459702,-17.1261,-18.252200000000002,-1.126100000000001,-1.126100000000001,-17.1261,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,-3,0.012607422565682258,0.25753014368852745,-6.659433333333347,,-1.4261000000000124,-9.126100000000001,-1.126100000000001,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
1.0,-25,-29.13333333333334,-27.3888888888889,-25.96280991735538,70.6,73.06666666666666,95.7,102.2,Fri 11-11 11-11,A,230 (Ⅲ),Oregon St.,"L, 60-43",64,66.8,34.4,24.9,21.6,33.3,93.3,44.4,15.5,21.2,31.5,-31.5,18.0,134.5,72.44999999999999,74.3,73.6888888888889,75.08512396694212,100.575,105.45,101.07777777777778,101.04793388429752,20221111,82.4,107.5,-25.099999999999994,98.2,105.9,-7.700000000000003,84.0354,106.528,-22.4925,70.703,16.8532180145344,135.89896963273964,71.08115544807967,17.23852275854245,140.6189701560715,16.775035730148865,140.6189701560715,17.23852275854245,140.6189701560715,16.775035730148865,127.15232564441496,6.518720736038929,98.5892,103.01,-4.42051,70.676,82.4,107.5,-25.099999999999994,98.2,105.9,-7.700000000000003,16.76506741100071,127.15816025561811,0,93.09667709,100.932461,-7.8357839100000035,-9.679608159,98.55916179,103.1051547,-4.545992909999995,-4.611628609,2022-11-11,142.2368069868101,-2.5075000000000003,-20.759700000000002,-6.8348,-18.252200000000002,-13.924900000000001,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,3,0.04323813274683286,0.26735556136393523,-4.8963888888889,-6.64083333333334,-6.659433333333347,-6.919900000000002,-9.126100000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
5.5,-9,-24.53333333333333,-21.425925925925934,-22.96957175056349,93.7,78.60000000000001,103.2,103.13333333333333,Tue 11-15 11-15,A,38 (I-A),Miami FL,"L, 87-61",71,86.0,52.8,31.0,31.0,17.0,122.6,58.3,14.1,34.4,21.2,16.5,31.5,131.5,83.07499999999999,72.44999999999999,80.35925925925926,78.46964688204355,101.8875,100.575,101.78518518518518,101.43921863260704,20221115,81.8,107.2,-25.40000000000001,110.2,94.0,16.200000000000003,83.6014,106.514,-22.9129,68.9837,29.90984475504341,133.7894228607044,68.71384911095306,32.86696870180448,138.06397929635023,31.723012757983035,138.06397929635023,32.86696870180448,138.06397929635023,31.723012757983035,130.73256544354192,12.479814701474552,109.309,93.4662,15.8425,70.025,81.8,107.2,-25.40000000000001,110.2,94.0,16.200000000000003,31.723148045040727,130.79029505141173,0,93.09667709,100.932461,-7.8357839100000035,-9.679608159,106.7380965,102.7911805,3.9469160000000016,3.890084461,2022-11-15,143.40170733852358,13.9129,-6.846800000000002,-11.476433333333334,-20.759700000000002,4.629633333333333,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,3,0.0013498980316301035,0.11730765228957507,1.486974074074066,-1.620433333333331,-4.8963888888889,-1.7117000000000004,-6.919900000000002,1,-1.0,1,-1,-1,1,-3.0,-3.0
-8.0,-32,-22.36666666666667,-25.11728395061729,-24.702376886824677,100.1,88.13333333333333,132.6,110.5,Wed 11-30 11-30,A,77 (I),Florida,"L, 102-62",72,86.2,41.4,26.4,31.6,27.6,141.8,72.0,15.3,40.7,16.7,25.0,32.0,139.0,91.5875,83.07499999999999,86.93950617283951,82.40243835803562,117.24375,101.8875,112.0567901234568,107.1048152448603,20221130,82.7,107.5,-24.8,107.6,95.2,12.399999999999991,84.9011,107.676,-22.7753,67.785,28.368467115233962,137.72918976706936,69.78730911806544,30.279280802247264,139.62653858129124,24.903580786687108,139.62653858129124,30.279280802247264,139.62653858129124,24.903580786687108,127.83412290754379,5.620426333815175,108.026,95.4012,12.6249,72.3766,82.7,107.5,-24.8,107.6,95.2,12.399999999999991,27.834033560432754,128.0564170017367,0,92.75797316,98.01212091,-5.254147749999987,-1.317586847,97.74114101,100.5011568,-2.760015789999997,-0.920088186,2022-11-30,135.09597179600726,-9.224699999999999,-16.0715,-9.933222222222224,-6.846800000000002,-6.138277777777777,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.0011533107002833498,0.29622857696469995,-2.341983950617287,0.40863333333333074,1.486974074074066,-3.2143000000000015,-1.7117000000000004,-1,1.0,-1,-1,-1,-3,1.0,-3.0
3.0,-25,-22.433333333333337,-25.178189300411532,-24.81103563467473,78.1,90.63333333333333,103.4,113.06666666666668,Fri 12-02 12-02,A,155 (Ⅲ),Georgia,"L, 68-46",63,72.5,40.0,28.4,25.7,22.0,107.2,54.6,23.7,42.4,29.6,-16.5,25.0,130.5,84.84375,91.5875,83.99300411522634,81.62017683839278,110.321875,117.24375,109.17119341563787,106.43121247306752,20221202,83.2,108.1,-24.89999999999999,101.9,96.2,5.700000000000003,85.4133,108.583,-23.1694,67.805,21.711399972456164,123.24330186700423,63.751360540540546,23.190790791435795,125.00793364155822,23.503198221025347,125.00793364155822,23.190790791435795,125.00793364155822,23.503198221025347,116.09545961578837,3.954117551748759,102.339,96.3762,5.96256,66.0972,83.2,108.1,-24.89999999999999,101.9,96.2,5.700000000000003,22.484897811399048,116.006622406016,0,95.69920449,101.9301357,-6.230931209999994,-1.639310449,87.87934179,92.49665488,-4.617313089999996,-6.482150867,2022-12-02,116.55890679889711,-1.8306000000000004,-17.9021,-11.979314814814817,-16.0715,-5.922785185185184,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.008633971998087797,0.3532419013857918,-2.0087893004115323,0.7360666666666624,-2.341983950617287,-2.9836833333333317,-3.2143000000000015,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
12.0,-16,-24.866666666666674,-22.38545953360769,-23.35448370109751,76.1,84.76666666666667,92.9,109.63333333333333,Sat 12-17 12-17,A,274 (Ⅳ),Louisville,"L, 61-55",68,80.5,39.1,22.0,30.4,15.6,89.3,45.6,32.2,43.3,60.0,-17.5,18.0,133.5,80.471875,84.84375,81.36200274348423,80.61650832232135,101.6109375,110.321875,103.74746227709194,103.97099202341887,20221217,83.1,107.6,-24.5,94.2,102.9,-8.700000000000003,85.7553,108.828,-23.0723,67.5519,16.088524534441625,128.38546094550625,66.45050614822192,14.3608080740593,127.6036672957128,12.361948626936847,127.6036672957128,14.3608080740593,127.6036672957128,12.361948626936847,125.00940819551363,-3.1276663446769035,97.6362,101.857,-4.22061,69.1538,83.1,107.6,-24.5,94.2,102.9,-8.700000000000003,11.152098485632665,120.19110625359758,0,97.18513971,102.7278151,-5.542675389999999,-2.162498589,88.32896901,103.6048391,-15.275870090000012,-16.09870353,2022-12-17,130.21659548103585,7.0722999999999985,-10.829800000000002,-13.953576543209879,-17.9021,3.1237765432098765,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.04323813274683286,0.6170999463998863,0.686840466392308,-1.7943666666666758,-2.0087893004115323,-1.5471142857142866,-2.9836833333333317,1,-1.0,1,-1,-1,1,-3.0,-3.0
17.5,-9,-17.100000000000005,-17.99030635573846,-20.78094120998887,123.0,92.4,132.2,109.5,Wed 12-21 12-21,A,26 (I-A),Kentucky,"L, 88-68",59,115.4,61.0,20.4,25.0,16.0,149.4,63.6,15.3,61.3,32.2,22.5,37.5,133.5,101.7359375,80.471875,95.24133516232284,88.32259771826291,116.90546875,101.6109375,113.2316415180613,109.1035389282518,20221221,82.5,106.6,-24.099999999999994,108.8,89.8,19.0,85.2537,107.49,-22.2367,67.4116,33.455107045270736,128.68586024053258,66.14736879886203,32.02306157013127,129.70114760688617,29.64535309142117,129.70114760688617,32.02306157013127,129.70114760688617,29.64535309142117,122.11593399950321,17.729527598026394,111.448,87.2838,24.1638,68.9816,82.5,106.6,-24.099999999999994,108.8,89.8,19.0,31.15218289462327,122.22836599912804,0,96.81607953,101.5097829,-4.693703370000009,-3.418729789,103.5661585,87.06313893,16.503019570000006,19.54694814,2022-12-21,128.8639685687553,13.236699999999999,2.4068999999999967,-12.912317695473254,-10.829800000000002,15.31921769547325,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.00017751969037349546,0.0456551091580194,4.246393644261538,5.136699999999994,0.686840466392308,0.3008625000000009,-1.5471142857142866,1,1.0,1,1,-1,3,1.0,-3.0
4.0,-17,-14.433333333333332,-17.760204237158973,-20.14804280817271,90.9,96.66666666666669,108.2,111.1,Thu 12-29 12-29,A,6 (I-A),Purdue,"L, 82-49",64,76.2,35.2,20.2,20.6,22.2,127.6,54.2,10.9,47.1,45.8,-1.5,37.0,132.5,96.31796875,101.7359375,93.79422344154855,88.79121631494237,112.552734375,116.90546875,111.55442767870754,108.9392591231151,20221229,83.7,107.7,-24.0,116.3,92.5,23.8,87.473,109.144,-21.6706,66.7407,32.53431498108283,129.20832056017804,62.09809159118066,34.13267894445606,130.14568206257218,29.166480280009914,130.14568206257218,34.13267894445606,130.14568206257218,29.166480280009914,138.59619085106692,14.618371313234334,116.629,91.9898,24.6393,65.4098,83.7,107.7,-24.0,116.3,92.5,23.8,33.36374171290783,130.13836557988427,0,103.2030195,105.037735,-1.8347155000000015,-2.93397629,106.1856009,91.45444984,14.731151060000002,13.10457374,2022-12-29,131.66532327795966,4.6706,7.077499999999997,-7.805911796982171,2.4068999999999967,14.883411796982168,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.00021269496456710613,0.08192701024240678,3.910395762841027,7.2372666666666685,4.246393644261538,0.7863888888888866,0.3008625000000009,1,1.0,1,1,1,3,3.0,1.0
-6.0,-30,-19.13333333333333,-22.14013615810598,-22.102944115777674,86.6,100.16666666666669,117.5,119.3,Mon 1-02 1-02,H,346 (Ⅳ),Bethune Cookman,"L, 67-59",62,94.7,41.5,22.5,37.5,55.3,107.6,45.2,11.2,27.5,61.5,-6.5,2.0,132.5,91.458984375,96.31796875,91.39614896103237,88.39281334858921,115.0263671875,112.552734375,113.53628511913836,110.49575746436687,20230102,83.3,107.5,-24.200000000000003,92.5,111.5,-19.0,87.0808,108.976,-21.8956,66.6084,-0.21170766867676605,131.2222845434418,66.37228601308676,0.7989756537845238,130.73806338812,-10.324316312376077,130.73806338812,0.7989756537845238,130.73806338812,-10.324316312376077,133.2236355205376,-6.627427087289519,93.6205,111.137,-17.5166,70.0508,83.3,107.5,-24.200000000000003,92.5,111.5,-19.0,-3.7021847021941947,128.8172590538403,0,98.88882395,106.9094862,-8.02066225,-10.00005628,92.87825916,104.5235102,-11.645251040000005,-4.786295727,2023-01-02,137.9768513657408,-8.104399999999998,-1.0269000000000013,-2.8447745313214488,7.077499999999997,1.8178745313214475,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.4244679994402739,0.7360397358738316,-0.24453615810597995,2.7622666666666724,3.910395762841027,-0.10269000000000261,0.7863888888888866,-1,1.0,1,-1,1,-1,3.0,3.0
