ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.0,4,,4.1000000000000085,4.1000000000000085,117.7,0.0,113.6,0.0,Mon 11-07 11-07,H,262 (Ⅳ),Dartmouth,"W, 88-74",71,123.3,63.9,14.0,25.0,23.0,103.7,51.7,16.8,20.0,28.8,35.0,-6.0,127.0,117.7,0.0,117.7,117.7,113.6,0.0,113.6,113.6,20221107,94.9,92.9,2.0,95.0,102.3,-7.3,93.5353,97.4347,-3.8994,72.1284,-6.046900708584914,134.5766019259297,71.7877651664296,-10.292758760795998,136.28431490081525,-19.05688609096441,136.28431490081525,-10.292758760795998,136.28431490081525,-19.05688609096441,194.97938931084414,-6.127479421317261,94.9777,102.351,-7.37339,69.968,94.9,92.9,2.0,95.0,102.3,-7.3,-19.05688609096441,194.97938931084414,0,96.61150025,95.44095402,1.1705462299999994,5.536249606,98.83949823,100.725493,-1.8859947699999964,-5.99295886,2022-11-07,140.79641409682648,-10.282028464645663,140.79641409682648,-8.63305306338448,140.79641409682648,0.0,0.0,0.0,7.8994,7.8994,0.0,0.0,7.8994,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7161454169013237,0.7202449968104008,7.9994000000000085,,0.0,7.8994,0.0,1,0.0,1,1,1,3,0.0,0.0
-6.5,-12,,-1.2999999999999925,1.1545454545454623,79.5,0.0,91.6,0.0,Fri 11-11 11-11,A,16 (I-A),Arkansas,"L, 74-48",72,66.4,42.2,41.5,29.0,37.8,102.3,47.7,18.0,44.4,27.7,-19.5,19.5,141.5,98.6,117.7,104.96666666666668,110.75454545454544,102.6,113.6,106.26666666666668,109.6,20221111,95.4,93.5,1.9000000000000057,103.9,86.5,17.400000000000006,93.7389,97.6383,-3.89938,72.1453,23.13656685833559,142.58804156080294,76.16285932347085,15.289632590065935,140.08046571617993,16.08712798362029,140.08046571617993,15.289632590065935,140.08046571617993,16.08712798362029,158.82437029293345,6.123527645746918,108.914,86.479,22.435,74.2148,95.4,93.5,1.9000000000000057,103.9,86.5,17.400000000000006,16.08712798362029,158.82437029293345,0,96.61150025,95.44095402,1.1705462299999994,5.536249606,101.9798561,98.16457906,3.815277040000012,3.166864399,2022-11-11,149.54092495070745,0.4207681056880972,149.54092495070745,14.143595302087178,149.54092495070745,0.0,0.0,0.0,-8.10062,-0.2012199999999993,7.8994,7.8994,-8.10062,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.0316454161166726,0.27988165473898663,2.599380000000007,,7.9994000000000085,-0.10061000000000009,7.8994,1,1.0,-1,-1,1,-1,3.0,0.0
10.5,14,2.133333333333335,3.9333333333333353,3.562809917355377,104.1,100.43333333333334,89.7,98.3,Tue 11-15 11-15,H,288 (Ⅳ),New Hampshire,"W, 79-61",74,106.8,54.6,20.3,25.0,50.0,82.5,34.1,9.5,20.8,24.6,5.5,-7.5,134.5,101.35,98.6,104.6777777777778,109.54462809917354,96.15,102.6,100.74444444444444,105.98181818181816,20221115,95.3,94.5,0.7999999999999972,91.8,108.7,-16.900000000000006,93.9552,98.2149,-4.2597,71.0247,-8.23527756788988,131.20748901429317,68.31838614665719,-15.514110762806489,133.5356157388397,5.266383190016536,133.5356157388397,-15.514110762806489,133.5356157388397,5.266383190016536,167.35101351720084,-3.431758330791439,94.7271,106.169,-11.4416,67.6213,95.3,94.5,0.7999999999999972,91.8,108.7,-16.900000000000006,5.087973815945769,167.24809030464493,0,96.61150025,95.44095402,1.1705462299999994,5.536249606,103.1180245,101.2579612,1.8600633000000073,4.428563526,2022-11-15,137.32418563097747,-2.7649772587339214,137.32418563097747,-12.396507803083246,137.32418563097747,-2.599380000000006,2.599380000000006,0.0,18.2597,18.05848,5.199193333333334,-0.2012199999999993,12.859286666666666,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.7624747379730235,0.6281033268743932,8.193033333333336,6.393033333333335,2.599380000000007,6.019493333333333,-0.10061000000000009,1,1.0,1,1,-1,3,-1.0,3.0
6.5,-4,-0.7333333333333343,1.122222222222224,2.096844477836217,108.3,97.3,112.8,98.03333333333336,Sat 11-19 11-19,H,286 (Ⅳ),Illinois Chicago,"W, 79-65",66,119.5,62.0,18.1,26.7,35.2,98.3,50.9,19.7,26.7,20.0,7.5,-7.5,136.5,104.825,101.35,105.8851851851852,109.31833208114196,104.475,96.15,104.76296296296296,107.22148760330576,20221119,95.8,94.6,1.2000000000000028,91.6,103.0,-11.400000000000006,94.4612,97.9288,-3.46761,71.6813,-7.084484157275526,139.87314733271643,74.8549564189189,-13.16240833518971,142.00998489230307,-8.086777643074742,142.00998489230307,-13.16240833518971,142.00998489230307,-8.086777643074742,130.02241206264875,-9.79740435179719,93.6294,101.573,-7.94321,73.4125,95.8,94.6,1.2000000000000028,91.6,103.0,-11.400000000000006,-8.355810324848314,130.2206593772242,0,93.49556061,97.91357012,-4.4180095100000045,1.528561527,82.396508,94.9174989,-12.520990900000001,-9.137590968,2022-11-19,129.75875227961927,-10.000342282029933,129.75875227961927,-9.24720704121114,129.75875227961927,-5.7333211111111115,6.360754444444446,0.6274333333333342,-0.5323899999999999,17.52609,9.485622222222222,18.05848,8.040467777777778,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.7624747379730235,0.8246122497646453,4.589832222222224,2.734276666666666,8.193033333333336,4.3815225,6.019493333333333,1,1.0,1,1,1,3,3.0,-1.0
1.0,11,6.966666666666664,4.414814814814816,3.715600027320541,93.8,102.06666666666666,82.8,95.1,Mon 11-21 11-21,H,339 (Ⅳ),Holy Cross,"W, 67-53",69,97.1,52.3,26.1,22.2,59.1,76.8,36.2,20.3,21.4,24.1,-24.0,-13.0,144.0,99.3125,104.825,101.85679012345682,106.49681715729798,93.6375,104.475,97.44197530864196,102.78121712997743,20221121,97.3,96.8,0.5,93.6,111.0,-17.400000000000006,96.7077,99.3756,-2.66797,69.8723,-11.663432970876222,139.03914950885996,70.99790995376956,-16.678844613836553,144.64036619098496,-15.695917748825144,144.64036619098496,-16.678844613836553,144.64036619098496,-15.695917748825144,154.79487600812936,-6.864146388547795,93.3133,107.269,-13.9552,71.4325,97.3,96.8,0.5,93.6,111.0,-17.400000000000006,-15.762768464848012,154.76029672403828,0,94.64587694,101.6585682,-7.012691260000011,-1.991970439,90.3922297,101.5128372,-11.120607500000006,-14.02856885,2022-11-21,136.64280393353033,-10.37443530722502,136.64280393353033,-13.979881850909436,136.64280393353033,-7.4470353703703775,5.150153888888893,-2.296881481481485,13.66797,31.19406,12.16577814814815,17.52609,19.02828185185185,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.8921596253194927,0.7433565430203478,7.082784814814817,9.634636666666664,4.589832222222224,6.238812,4.3815225,1,1.0,1,1,1,3,3.0,3.0
-0.5,0,2.3666666666666694,3.143209876543214,3.149127295080444,101.9,101.33333333333331,101.3,98.96666666666664,Tue 11-22 11-22,H,327 (Ⅳ),Stonehill,"W, 71-60",67,106.6,55.0,25.5,36.7,42.0,90.1,43.0,16.5,16.7,19.3,-15.0,-11.5,146.0,100.60625,99.3125,101.87119341563788,105.66103221960743,97.46875,93.6375,98.72798353909464,102.511904924527,20221122,97.2,96.1,1.1000000000000083,91.9,115.5,-23.599999999999994,96.4458,98.7028,-2.25698,69.3719,-13.683381715425554,144.13714617140192,71.01906323584637,-21.485105494970284,146.25014829456518,-13.672451878534645,146.25014829456518,-21.485105494970284,146.25014829456518,-13.672451878534645,160.70608409522995,4.4923332554281075,96.191,112.607,-16.4158,71.9692,97.2,96.1,1.1000000000000083,91.9,115.5,-23.599999999999994,-14.219695744362935,155.03577023922637,0,92.19192996,99.07763607,-6.885706110000001,-3.071365296,109.3171498,104.5605617,4.756588100000002,2.091129087,2022-11-22,148.51701202044842,1.6875675438299282,148.51701202044842,-14.594119945549643,148.51701202044842,-4.705505385655474,7.458721978835982,2.7532165931805075,2.25698,33.45104,18.5085387654321,31.19406,14.9425012345679,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.8632938299430262,0.33438334673106906,5.400189876543214,4.623646666666669,7.082784814814817,5.575173333333333,6.238812,1,1.0,1,1,1,3,3.0,3.0
5.0,7,6.400000000000006,4.628806584362145,3.958376877793092,98.7,98.13333333333333,91.1,91.73333333333332,Sun 11-27 11-27,H,182 (Ⅲ),Harvard,"W, 68-60",71,95.6,41.7,14.1,22.5,31.7,84.4,43.2,25.3,28.2,22.0,-4.5,-3.0,132.5,99.653125,100.60625,100.8141289437586,104.39538999786063,94.284375,97.46875,96.18532235939644,100.43701312006752,20221127,96.8,96.4,0.3999999999999915,99.6,98.7,0.8999999999999915,96.7875,99.1399,-2.35237,67.0572,-3.574808185968898,126.61711812480502,64.32855382190613,-3.2277753425967006,126.44024553177603,-4.084177775680395,126.44024553177603,-3.2277753425967006,126.44024553177603,-4.084177775680395,124.21645813428191,-1.8103295942679836,99.7205,102.193,-2.47243,67.4394,96.8,96.4,0.3999999999999915,99.6,98.7,0.8999999999999915,-4.543202450051823,127.81239352209231,0,92.32991541,98.44028926,-6.110373850000002,-3.024695324,99.53204416,103.228732,-3.6966878399999956,-4.407608684,2022-11-27,127.5447247351672,-2.623872360535387,127.5447247351672,-3.855761436624249,127.5447247351672,-1.6390278527336921,6.120619898589068,4.4815920458553755,9.35237,42.80341,23.489372510288067,33.45104,19.314037489711932,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.6124515189020077,0.5684433151432187,6.981176584362146,8.752370000000006,5.400189876543214,6.114772857142857,5.575173333333333,1,1.0,1,1,1,3,3.0,3.0
-4.5,-9,-0.5666666666666581,-0.2141289437585665,1.438671990921622,102.4,101.0,112.3,101.56666666666666,Wed 11-30 11-30,H,275 (Ⅳ),Maine,"W, 72-67",66,109.4,52.9,19.8,35.5,42.3,101.8,54.6,24.3,27.3,24.1,4.5,-9.5,134.5,101.0265625,99.653125,101.3427526291724,104.03259181643142,103.2921875,94.284375,101.55688157293096,102.5939198255098,20221130,96.9,96.2,0.7000000000000028,100.3,107.9,-7.600000000000008,96.1077,98.0793,-1.97151,67.6236,-9.72307856445515,126.23678110339698,64.24030375647226,-9.027996214936273,132.68424969333697,-7.408829626685242,132.68424969333697,-9.027996214936273,132.68424969333697,-7.408829626685242,134.05143277198067,3.5183683523986318,95.5816,107.623,-12.0419,66.7828,96.9,96.2,0.7000000000000028,100.3,107.9,-7.600000000000008,-5.60269031368644,134.86157400413737,0,92.38204889,97.14490612,-4.762857230000009,-0.90961127,105.9929443,99.76725832,6.225685980000009,3.163596137,2022-11-30,128.44003991723062,0.7976407715540859,128.44003991723062,-4.175955092907472,128.44003991723062,6.517718784048585,6.912623438173634,13.430342222222219,-7.02849,35.77492,29.927385006858714,42.80341,5.847534993141288,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.817204231217584,0.36878135123897937,1.7573810562414336,1.4048433333333419,6.981176584362146,4.471864999999999,6.114772857142857,1,1.0,1,1,1,3,3.0,3.0
16.0,14,4.033333333333336,4.657247370827619,3.795277083481325,118.3,106.46666666666668,103.9,102.43333333333334,Sat 12-03 12-03,A,101 (Ⅱ),Tulane,"W, 95-90",82,115.2,52.1,13.3,35.7,40.8,109.1,49.2,18.2,24.3,54.8,45.5,11.0,139.5,109.66328125,101.0265625,106.99516841944828,106.62666603162567,103.59609375,103.2921875,102.33792104862064,102.83138894814438,20221203,97.7,97.8,-0.0999999999999943,109.4,99.5,9.900000000000006,96.8455,99.3289,-2.48348,67.5495,11.162935723237808,135.31162964115663,66.75130128520625,10.604357239635704,139.90965863558543,5.449342721548815,139.90965863558543,10.604357239635704,139.90965863558543,5.449342721548815,143.3775928490859,4.843821622455685,107.966,99.2625,8.70359,69.4693,97.7,97.8,-0.0999999999999943,109.4,99.5,9.900000000000006,6.381371735067348,138.25642513756037,0,92.97527438,99.20898673,-6.233712350000005,-1.586102888,97.61087779,102.3214756,-4.710597809999996,-6.50421087,2022-12-03,131.38531331761888,-1.4894700965721057,131.38531331761888,3.5033843442032264,131.38531331761888,-8.167613943595278,3.5364198068129955,-4.631194136782282,16.48348,52.2584,31.87656333790581,35.77492,20.38183666209419,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.14740707903152717,0.3222858299498308,7.140727370827619,6.516813333333336,1.7573810562414336,5.8064888888888895,4.471864999999999,1,1.0,1,1,1,3,3.0,3.0
4.5,-7,-0.8333333333333334,0.7714982472184135,1.8324994319392665,97.3,106.0,104.3,106.83333333333331,Tue 12-06 12-06,H,312 (Ⅳ),Wagner,"W, 72-59",69,105.1,52.0,16.1,12.0,48.0,86.1,44.7,11.7,14.7,28.1,-4.0,-8.5,135.0,103.481640625,109.66328125,103.76344561296553,104.9309085713301,103.948046875,103.59609375,102.99194736574712,103.09840913939084,20221206,99.9,98.5,1.4000000000000057,96.6,102.8,-6.200000000000003,99.0526,99.7057,-0.653168,69.0944,-7.853276830387742,128.44364595885497,63.989178920056894,-8.593320110760928,130.0730577579995,-13.597399608494452,130.0730577579995,-8.593320110760928,130.0730577579995,-13.597399608494452,127.9911261026863,-2.970970126123241,97.6941,105.093,-7.3989,65.1057,99.9,98.5,1.4000000000000057,96.6,102.8,-6.200000000000003,-10.168101775270904,129.7155090053575,0,95.98024524,99.1290382,-3.1487929599999944,-0.75905591,96.60307117,98.92320839,-2.3201372199999923,2.084876744,2022-12-06,125.23038541792226,0.016234798453609756,125.23038541792226,-10.36782632039624,125.23038541792226,-9.086045493284814,5.461973891285975,-3.624071601998839,-6.346832,45.911568,38.6705088919372,52.2584,7.2410591080627995,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.790893043407255,0.6113922393251461,1.4246662472184135,-0.1801653333333334,7.140727370827619,4.5911568,5.8064888888888895,1,1.0,1,1,1,3,3.0,3.0
