ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-4.0,0,,-0.3999999999999915,-0.3999999999999915,92.7,0.0,93.1,0.0,Fri 11-11 11-11,N,108 (Ⅱ),UC Santa Barbara,"L, 61-54",63,86.3,50.0,25.6,10.7,40.5,97.4,39.3,12.8,35.0,24.6,-14.5,3.0,129.5,92.7,0.0,92.7,92.7,93.1,0.0,93.1,93.1,20221111,103.9,92.9,11.0,105.5,96.1,9.400000000000006,100.635,94.2502,6.38496,68.0751,-0.048694885747352146,132.42406545226558,67.75660924054056,-1.2760253773911217,137.33195360347588,5.710500058988089,137.33195360347588,-1.2760253773911217,137.33195360347588,5.710500058988089,121.45658739291547,-10.188870985059722,104.162,97.6252,6.53696,69.9711,103.9,92.9,11.0,105.5,96.1,9.400000000000006,5.710500058988089,121.45658739291547,0,99.68149541,93.5485091,6.132986309999993,8.404226258,96.72771283,105.5027121,-8.774999269999995,-7.472984425,2022-11-11,135.80259329294256,-10.757859600777657,135.80259329294256,-1.0841057478486533,135.80259329294256,0.0,0.0,0.0,-6.38496,-6.38496,0.0,0.0,-6.38496,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.38754848109799234,0.8340686190809397,-6.784959999999992,,0.0,-6.38496,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
-8.5,-2,,-1.1999999999999933,-0.8363636363636289,90.4,0.0,93.2,0.0,Wed 11-16 11-16,H,94 (Ⅲ),San Francisco,"L, 67-60",69,86.8,36.4,15.9,28.2,33.9,97.0,46.0,20.3,32.5,19.0,-5.5,-1.5,132.5,91.55,92.7,91.93333333333334,92.28181818181818,93.15,93.1,93.13333333333334,93.1181818181818,20221116,103.9,93.5,10.400000000000006,101.1,93.5,7.599999999999994,100.643,95.0965,5.54599,66.549,-3.0474266186402588,137.17009669713113,70.23200909530584,-5.739327698422613,137.8415808191519,-0.5740359696890459,137.8415808191519,-5.739327698422613,137.8415808191519,-0.5740359696890459,116.57954065277357,1.4198687131246288,103.797,96.9491,6.8482,74.1906,103.9,93.5,10.400000000000006,101.1,93.5,7.599999999999994,-0.4026954674380222,116.7549841915851,0,93.05593346,105.0093733,-11.953439839999987,-14.73771686,90.32819302,94.31489028,-3.9866972599999997,-7.407365668,2022-11-16,131.1359655973893,3.3994977704679386,131.1359655973893,-6.3951862842003635,131.1359655973893,-2.7596000000000016,0.0,-2.7596000000000016,-7.54599,-13.93095,-6.38496,-6.38496,-7.545989999999999,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5567984968164682,0.44621675682889017,-6.745989999999993,,-6.784959999999992,-6.965475,-6.38496,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-2.5,-1,-1.6333333333333304,-1.3666666666666631,-0.9933884297520604,99.5,94.2,101.2,95.83333333333331,Sat 11-19 11-19,A,67 (I),North Texas,"L, 61-52",59,88.6,47.7,22.2,16.1,38.6,103.9,44.6,18.7,39.4,60.9,-1.0,6.5,114.0,95.525,91.55,94.45555555555556,93.59421487603304,97.175,93.15,95.82222222222224,94.58760330578512,20221119,103.4,94.1,9.300000000000011,102.7,94.1,8.600000000000009,99.7589,95.3205,4.43841,66.2224,6.054325574131596,116.54795392531118,60.592930801706956,2.9717589518348078,120.80103600728708,-14.202680158638893,120.80103600728708,2.9717589518348078,120.80103600728708,-14.202680158638893,96.54765152688171,-1.435210176905457,103.741,94.4813,9.25981,64.3239,103.4,94.1,9.300000000000011,102.7,94.1,8.600000000000009,-14.20912197578097,96.55428782360644,0,93.05593346,105.0093733,-11.953439839999987,-14.73771686,83.77312334,102.5266321,-18.753508760000003,-10.81094455,2022-11-19,114.10251495678536,3.859218932781765,114.10251495678536,7.697483557325654,114.10251495678536,6.745989999999991,-6.745989999999991,0.0,-5.43841,-19.36936,-8.90029,-13.93095,-10.46907,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.26794249453351904,0.5543607721260109,-5.805076666666663,-6.07174333333333,-6.745989999999993,-6.456453333333333,-6.965475,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-2.5,-4,-2.833333333333333,-2.2444444444444422,-1.5400450788880495,84.5,91.46666666666668,88.5,94.3,Wed 11-23 11-23,N,128 (Ⅲ),Washington,"L, 62-57",70,81.2,42.6,29.9,41.0,13.1,88.4,42.2,20.0,26.3,31.0,-6.0,2.5,125.0,90.0125,95.525,91.13703703703705,91.94072126220884,92.8375,97.175,93.3814814814815,93.48076634109692,20221123,103.4,95.2,8.200000000000003,103.0,97.7,5.299999999999997,100.476,96.4306,4.04575,65.0697,0.1455037032882558,124.65529286638444,63.39186436429588,-1.9297431973296426,129.53301985614354,0.45662512261375343,129.53301985614354,-1.9297431973296426,129.53301985614354,0.45662512261375343,121.45764998827207,5.235307621953147,102.59,98.2299,4.36032,68.4873,103.4,95.2,8.200000000000003,103.0,97.7,5.299999999999997,0.4211043713341434,121.46620245276853,0,88.67697203,101.2479102,-12.570938170000005,-12.91081535,92.71074516,96.78003918,-4.069294020000001,-4.058627482,2022-11-23,116.91759553830946,5.61156692655522,116.91759553830946,0.7888765343112425,116.91759553830946,-0.25885322222223284,-5.95540055555555,-6.214253777777783,-8.04575,-27.41511,-12.389980000000001,-19.36936,-15.025129999999997,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.4059036140017165,0.3090303468316442,-6.290194444444442,-6.879083333333333,-5.805076666666663,-6.8537775,-6.456453333333333,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.0,-2,-2.599999999999999,-2.196296296296293,-1.6418550645447667,94.7,92.9,96.8,95.5,Thu 11-24 11-24,N,107 (Ⅲ),Vanderbilt,"L, 67-59",65,90.7,37.9,15.4,36.6,18.2,103.0,48.1,12.3,23.1,40.7,-0.5,4.0,126.5,92.35625,90.0125,92.32469135802472,92.4424083054436,94.81875,92.8375,94.520987654321,94.08426336998838,20221124,101.8,94.8,7.0,104.8,95.8,9.0,99.3345,95.8596,3.47495,65.9191,3.7599658555795656,126.9098231400744,64.70526963086772,1.2119783318006512,130.67250365694682,6.1657965943932656,130.67250365694682,1.2119783318006512,130.67250365694682,6.1657965943932656,118.41762468527429,13.317828054541337,105.861,96.2787,9.58197,69.0055,101.8,94.8,7.0,104.8,95.8,9.0,6.632985928058374,118.17872641077686,0,88.73938854,101.3023587,-12.562970160000006,-12.84396835,104.4414416,96.61621288,7.825228719999998,5.533249053,2022-11-24,127.13047397810078,11.891028071261907,127.13047397810078,9.784943134252678,127.13047397810078,9.597984328042333,-6.042773777777776,3.5552105502645563,-5.47495,-32.89006,-17.398356666666665,-27.41511,-15.491703333333334,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.35161929169946593,0.1023338928237445,-5.671246296296293,-6.074949999999999,-6.290194444444442,-6.578012,-6.8537775,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
21.0,27,7.100000000000004,7.669135802469139,3.63848221991792,124.4,101.2,97.0,94.1,Sat 12-03 12-03,A,78 (Ⅱ),UC Irvine,"W, 80-66",67,119.4,58.3,14.9,34.6,20.0,98.5,47.5,16.4,27.3,14.8,21.0,7.0,125.0,108.378125,92.35625,103.01646090534982,98.25287952263568,95.909375,94.81875,95.34732510288067,94.61439730271776,20221203,101.1,94.9,6.199999999999989,103.1,91.2,11.899999999999991,99.1731,96.2213,2.95174,64.6,7.01710088263733,119.7640167257261,62.51331891891892,7.036167906678202,122.11968941875799,16.2276373395186,122.11968941875799,7.036167906678202,122.11968941875799,16.2276373395186,114.07026631992869,20.71748553650646,103.008,93.9984,9.00995,68.0292,101.1,94.9,6.199999999999989,103.1,91.2,11.899999999999991,18.08805743307312,112.66845635642228,0,87.40117103,100.3802651,-12.979094070000002,-14.01408041,102.8218221,86.91068424,15.91113786000001,14.61572663,2022-12-03,115.52823275698451,19.653081036799833,115.52823275698451,18.67097081069621,115.52823275698451,22.81598146825396,-5.5821081481481425,17.233873320105815,24.04826,-8.8418,-22.562257777777777,-32.89006,13.720457777777778,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.2524925375469229,0.024242434812582703,4.717395802469139,4.148260000000004,-5.671246296296293,-1.473633333333333,-6.578012,1,-1.0,1,-1,-1,1,-3.0,-3.0
-4.0,-5,6.733333333333339,3.412757201646095,2.049667270841935,95.5,104.86666666666667,100.6,98.13333333333333,Wed 12-07 12-07,H,305 (Ⅳ),Cal St. Northridge,"W, 65-56",62,104.7,53.3,20.9,25.0,51.1,90.2,47.1,24.2,29.4,21.2,-4.0,-13.0,125.0,101.9390625,108.378125,100.51097393689987,97.75235597306556,98.2546875,95.909375,97.0982167352538,95.7026887022236,20221207,103.2,95.5,7.700000000000003,95.5,107.3,-11.799999999999995,101.433,96.4766,4.95677,64.9652,-13.50543934110749,122.09489184803434,60.87978531038406,-15.76007607869424,126.7121838989173,-11.238593717304365,126.7121838989173,-15.76007607869424,126.7121838989173,-11.238593717304365,116.7885012642325,-0.24639095037754544,95.5597,107.317,-11.7576,65.8791,103.2,95.5,7.700000000000003,95.5,107.3,-11.799999999999995,-10.618910783595155,115.67132361246185,0,96.65493334,98.98462981,-2.329696470000002,-7.190358426,97.06193265,94.38386657,2.678066080000008,2.451250149,2022-12-07,117.12781970458411,4.205548837462125,117.12781970458411,-11.78452180678584,117.12781970458411,-1.0961026807759922,2.8772244091710597,1.7811217283950675,-9.956769999999999,-18.798569999999998,-17.988771851851855,-8.8418,-0.8097981481481433,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8921596253194927,0.5093606426060244,-1.5440127983539047,1.776563333333339,4.717395802469139,-2.6855099999999994,-1.473633333333333,-1,1.0,-1,-1,-1,-3,1.0,-3.0
-8.5,-7,4.966666666666673,-0.1914951989025999,0.3315459488706755,105.4,108.43333333333334,112.8,103.46666666666664,Sat 12-10 12-10,A,212 (Ⅲ),Pacific,"L, 76-72",66,109.8,59.6,19.8,25.9,30.8,115.9,57.3,19.8,34.5,29.1,13.5,-4.5,134.5,103.66953125,101.9390625,102.1406492912666,99.14283670523544,105.52734375,98.2546875,102.3321444901692,98.81129075636476,20221210,102.8,96.4,6.399999999999992,104.1,109.4,-5.300000000000011,101.041,96.7199,4.32086,65.1591,-2.924656416881163,134.747744174697,65.16920290455192,-4.113252787139444,142.03660429820496,-4.819211513592461,142.03660429820496,-4.113252787139444,142.03660429820496,-4.819211513592461,134.60908786009455,5.364977468865604,102.21,108.066,-5.85552,70.3109,102.8,96.4,6.399999999999992,104.1,109.4,-5.300000000000011,-0.8249811610169477,134.3372950644814,0,96.70258898,99.15209712,-2.449508139999992,-7.182853283,102.8429034,102.9836049,-0.1407015000000058,-10.68938363,2022-12-10,134.78281828345024,-0.6235009161424685,134.78281828345024,-8.39624527932311,134.78281828345024,-5.261291928285409,1.2057903899666922,-4.055501538318717,-11.32086,-30.119429999999998,-18.258704567901237,-18.798569999999998,-11.86072543209876,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.6658824291023754,0.3046929519409639,-4.5123551989026,0.6458066666666733,-1.5440127983539047,-3.76492875,-2.6855099999999994,-1,-1.0,-1,-1,-1,-3,-3.0,1.0
-15.5,-6,-6.466666666666664,-2.427663465935068,-0.98328058728763,84.8,95.23333333333332,91.7,101.7,Sat 12-17 12-17,H,197 (Ⅳ),Sacramento St.,"L, 59-53",62,86.1,51.0,21.1,7.1,8.0,95.8,56.5,26.0,24.0,19.6,-16.0,-9.5,128.0,94.234765625,103.66953125,96.3604328608444,96.53504821337444,98.613671875,105.52734375,98.78809632677948,97.51832880066208,20221217,102.1,97.4,4.699999999999989,104.1,107.6,-3.5,101.452,97.9523,3.49922,65.5001,-9.285820596617924,122.78144115991071,59.094134316642965,-8.743417656051136,128.59036198832985,-7.4670142322703335,128.59036198832985,-8.743417656051136,128.59036198832985,-7.4670142322703335,129.92778426491432,-0.8455287570019294,101.345,107.659,-6.31388,63.4246,102.1,97.4,4.699999999999989,104.1,107.6,-3.5,-4.628117793462076,122.73977061208242,0,95.70186048,99.12897086,-3.427110380000002,-7.480282192,101.3162412,100.6421873,0.6740538999999899,1.077884263,2022-12-17,119.5581640136321,3.455706801936664,119.5581640136321,-4.647186860837728,119.5581640136321,6.65791973803997,-2.0044081887288425,4.653511549311128,-9.499220000000001,-39.61865,-22.21227971193416,-30.119429999999998,-17.406370288065844,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.817204231217584,0.5320907588428839,-5.926883465935068,-9.965886666666664,-4.5123551989026,-4.402072222222222,-3.76492875,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
2.5,6,-2.466666666666669,0.6815576893766182,0.4500431558555741,101.3,97.16666666666669,94.4,99.63333333333334,Tue 12-20 12-20,A,270 (Ⅳ),Cal St. Bakersfield,"W, 56-48",55,101.6,51.0,18.1,23.3,16.7,87.1,31.8,27.2,43.8,50.0,-13.0,-5.5,117.0,97.7673828125,94.234765625,98.00695524056296,97.40140308367,96.5068359375,98.613671875,97.32539755118631,96.95135992781442,20221220,100.2,96.7,3.5,91.4,101.1,-9.699999999999989,99.6265,97.756,1.87054,65.9387,-3.4706096589403757,113.85554173413682,59.476894992318634,-4.654947300119176,115.83437604160116,-5.536103803706026,115.83437604160116,-4.654947300119176,115.83437604160116,-5.536103803706026,116.69296222215323,4.976481229622522,92.7851,102.342,-9.55688,63.4108,100.2,96.7,3.5,91.4,101.1,-9.699999999999989,-1.945646764214631,109.63654106627092,0,93.42435819,97.31850322,-3.89414502999999,-10.11528463,94.67199809,95.34170658,-0.6697084899999908,-0.962883391,2022-12-20,110.91959488919302,7.016671828927699,110.91959488919302,-7.582188030524051,110.91959488919302,-2.0425157903243774,-4.688949902786429,-6.731465693110806,4.12946,-35.48919,-28.014403141289442,-39.61865,-7.474786858710559,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.6997944856925475,0.3177675698537663,-1.1889823106233819,-4.337206666666669,-5.926883465935068,-3.548919,-4.402072222222222,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
