ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-0.5,11,,11.699999999999989,11.699999999999989,92.6,0.0,80.9,0.0,Mon 11-07 11-07,H,260 (Ⅳ),Western Carolina,"W, 68-55",71,96.2,51.8,29.7,36.7,27.3,77.8,40.4,19.8,18.4,19.3,-19.0,-13.5,142.0,92.6,0.0,92.6,92.6,80.9,0.0,80.9,80.9,20221107,103.4,98.5,4.9,95.3,104.3,-9.0,103.731,95.8969,7.83397,70.2723,-16.31953205074101,142.57406039967745,72.17504997226175,-14.485543536619403,149.19706540796216,-19.827331972748652,149.19706540796216,-14.485543536619403,149.19706540796216,-19.827331972748652,110.08833555008057,-2.1030065219880782,94.2839,103.722,-9.43796,72.2035,103.4,98.5,4.9,95.3,104.3,-9.0,-19.827331972748652,110.08833555008057,0,100.2201629,103.5757317,-3.3555688000000004,-7.205433695,103.213373,103.6246411,-0.4112681000000009,0.443721844,2022-11-07,155.5186310516594,3.568204198210097,155.5186310516594,-12.011804866683647,155.5186310516594,0.0,0.0,0.0,3.16603,3.16603,0.0,0.0,3.16603,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,3,0.900728603156669,0.5793716756084795,3.8660299999999888,,0.0,3.16603,0.0,1,0.0,1,1,1,3,0.0,0.0
-2.0,-6,,5.566666666666659,8.354545454545445,93.5,0.0,100.2,0.0,Fri 11-11 11-11,A,69 (I),Wake Forest,"L, 81-71",75,95.1,48.4,20.1,24.4,30.6,108.5,59.4,21.4,25.0,49.1,14.0,8.0,138.0,93.05,92.6,92.9,92.76363636363637,90.55,80.9,87.33333333333334,84.4090909090909,20221111,104.0,99.1,4.900000000000006,104.3,95.5,8.799999999999997,103.936,96.1022,7.83399,70.2893,5.679013369041982,145.2595065288143,72.53075878719773,7.206248170950204,150.42174614508613,-1.974784538349013,150.42174614508613,7.206248170950204,150.42174614508613,-1.974784538349013,124.19931130225183,12.916809661930372,105.829,95.7015,10.1279,72.5418,104.0,99.1,4.900000000000006,104.3,95.5,8.799999999999997,-1.974784538349013,124.19931130225183,0,100.2201629,103.5757317,-3.3555688000000004,-7.205433695,105.5938843,97.53912999,8.054754309999993,7.815208072,2022-11-11,153.8740174985387,12.931638530108785,153.8740174985387,4.998674834096093,153.8740174985387,0.0,0.0,0.0,-13.83399,-10.66796,3.16603,3.16603,-13.83399,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,3,0.22305842386064167,0.10931628605476496,-2.2673233333333407,,3.8660299999999888,-5.33398,3.16603,-1,1.0,-1,-1,1,-3,3.0,0.0
-5.0,3,2.799999999999997,4.8444444444444414,7.453719008264455,101.0,95.7,97.6,92.9,Mon 11-14 11-14,H,297 (Ⅳ),Miami OH,"W, 77-70",71,107.7,45.7,25.2,48.6,51.7,97.9,50.9,22.4,25.0,21.1,8.5,-12.0,138.5,97.025,93.05,95.6,94.26115702479336,94.075,90.55,90.75555555555556,86.80743801652892,20221114,104.1,100.1,4.0,94.0,108.6,-14.599999999999994,104.407,97.0369,7.36979,70.217,-16.00082892576671,147.17899390682106,71.66868403698436,-18.151392492321918,152.26183851263653,-26.996289013219076,152.26183851263653,-18.151392492321918,152.26183851263653,-26.996289013219076,144.66691493826113,-2.1940809132879764,97.4939,106.578,-9.08381,71.7534,104.1,100.1,4.0,94.0,108.6,-14.599999999999994,-27.00400533912463,144.6545497096632,0,100.2201629,103.5757317,-3.3555688000000004,-7.205433695,103.4466466,103.9921736,-0.545527000000007,-0.415028201,2022-11-14,154.9067622696653,2.93633189190696,154.9067622696653,-16.369270771415295,154.9067622696653,2.2673233333333407,-2.2673233333333407,0.0,-4.36979,-15.03775,-1.4452999999999996,-10.66796,-13.592450000000001,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.8734510455264423,0.5827603016312854,-2.5253455555555586,-4.569790000000003,-2.2673233333333407,-5.012583333333334,-5.33398,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
-8.5,-7,-3.466666666666669,0.8629629629629587,4.807588279489098,92.3,95.6,99.4,99.06666666666666,Fri 11-18 11-18,H,292 (Ⅳ),Bucknell,"W, 65-61",67,97.6,38.9,22.5,39.5,48.1,91.6,49.1,22.5,21.4,14.8,-17.0,-12.5,143.0,94.6625,97.025,94.5,93.90458302028549,96.7375,94.075,93.63703703703705,89.09699474079639,20221118,103.9,100.5,3.4000000000000057,102.1,109.3,-7.200000000000003,104.29,97.8256,6.46443,70.0234,-14.305606358245313,142.30085647266506,68.38337826315788,-11.91068582623187,151.63747388427498,-10.498588471026725,151.63747388427498,-11.91068582623187,151.63747388427498,-10.498588471026725,147.34393166958188,0.12902407483369416,98.8947,107.319,-8.4239,68.6535,103.9,100.5,3.4000000000000057,102.1,109.3,-7.200000000000003,-10.548284039836776,147.1373585154759,0,91.64616567,97.2982822,-5.652116530000001,-5.070604914,99.03009244,99.21583803,-0.18574558999999624,0.869905613,2022-11-18,131.07894987651713,2.1878033143705125,131.07894987651713,-4.963212407268017,131.07894987651713,10.785430740740736,-3.504567407407409,7.280863333333328,-13.46443,-28.502180000000003,-5.976116666666667,-15.03775,-22.526063333333337,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.8830703586536275,0.4950979177805501,-5.601467037037041,-9.931096666666669,-2.5253455555555586,-7.125545,-5.012583333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
10.5,24,7.033333333333331,8.841975308641972,8.442572228672898,99.0,97.43333333333334,74.2,90.40000000000002,Mon 11-21 11-21,N,160 (Ⅲ),Saint Joseph's,"W, 66-53",70,95.0,41.1,21.6,36.8,42.9,76.3,38.6,20.1,20.5,28.1,-21.5,-2.5,140.5,96.83125,94.6625,96.0,94.83102247114266,85.46875,96.7375,87.15802469135804,86.38845024246976,20221121,103.1,100.3,2.799999999999997,100.2,99.5,0.7000000000000028,103.723,98.2217,5.5013,69.4908,-4.499808869650522,145.83271692640704,71.72320430611664,-1.5286744821245293,148.97596337142417,0.5807193985063829,148.97596337142417,-1.5286744821245293,148.97596337142417,0.5807193985063829,139.86990831359242,-0.7859569638161332,100.812,101.544,-0.732043,72.5584,103.1,100.3,2.799999999999997,100.2,99.5,0.7000000000000028,0.5832624892319606,139.7395297657552,0,89.01123439,92.06966237,-3.0584279800000047,-4.834287599,97.56528787,102.1213265,-4.556038629999989,-6.517385661,2022-11-21,132.57521649769512,-1.2071718616805498,132.57521649769512,-0.8973369783187337,132.57521649769512,6.97752855555556,-5.931103481481486,1.0464250740740741,18.4987,-10.003480000000003,-13.484804444444446,-28.502180000000003,3.481324444444443,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.5940963859982835,0.5298341814946513,3.3406753086419725,1.5320333333333318,-5.601467037037041,-2.0006959999999996,-7.125545,1,-1.0,1,-1,-1,1,-3.0,-3.0
-5.0,0,5.966666666666664,5.961316872427982,6.943922732550553,112.0,101.1,111.8,95.13333333333333,Tue 11-22 11-22,N,66 (Ⅱ),UAB,"L, 87-73",70,104.1,46.2,21.4,43.9,24.2,124.0,53.5,10.0,37.8,16.9,9.0,9.0,151.0,104.415625,96.83125,101.33333333333334,97.95265474911672,98.634375,85.46875,95.37201646090536,91.00873201656616,20221122,102.8,98.4,4.399999999999992,110.5,95.9,14.599999999999994,103.041,96.8359,6.20511,69.1804,6.003784786412297,151.8669991706201,74.24857775362732,7.698299191547321,157.289966605615,6.136245745178204,157.289966605615,7.698299191547321,157.289966605615,6.136245745178204,141.57753460569484,6.8829955407615415,110.335,95.804,14.5314,75.4502,102.8,98.4,4.399999999999992,110.5,95.9,14.599999999999994,6.124493414326306,141.64341972021947,0,89.77866143,96.20566462,-6.4270031899999935,-7.886431374,103.6850618,101.0025304,2.682531400000002,8.911620333,2022-11-22,144.47749141220987,12.472314482766421,144.47749141220987,7.730101928349896,144.47749141220987,1.6655085396825458,-1.176248169312168,0.48926037037037773,-6.20511,-16.208590000000004,-12.324362962962967,-10.003480000000003,-3.8842270370370375,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,-3,0.19568296915377603,0.2560654176698943,-0.243793127572018,-0.23844333333333623,3.3406753086419725,-2.7014316666666662,-2.0006959999999996,-1,1.0,-1,-1,-1,-3,1.0,-3.0
6.0,9,11.633333333333336,7.274211248285324,7.481391326632272,90.2,100.4,80.3,88.76666666666667,Sun 11-27 11-27,H,254 (Ⅳ),East Tennessee St.,"W, 62-47",65,95.3,50.0,21.5,32.3,12.3,72.3,41.2,26.1,20.0,19.6,-32.5,-9.0,141.5,97.3078125,104.415625,97.62222222222223,96.54308115836822,89.4671875,98.634375,90.34801097393692,89.06168983173593,20221127,103.4,98.8,4.6000000000000085,97.4,105.0,-7.599999999999994,103.881,98.5094,5.37169,67.4917,-11.810875202953824,140.94929123969956,67.12159971052631,-12.43201972519961,141.12280350098243,-8.939472691527452,141.12280350098243,-12.43201972519961,141.12280350098243,-8.939472691527452,131.94433423129755,-4.175367979020805,100.948,107.071,-6.12315,69.9145,103.4,98.8,4.6000000000000085,97.4,105.0,-7.599999999999994,-9.558508752613383,129.57339984619205,0,90.00251654,96.93189459,-6.929378049999997,-8.935753983,94.68523369,102.9813224,-8.296088709999992,-5.291890183,2022-11-27,126.91378029898083,0.7001123950527983,126.91378029898083,-11.328729665102337,126.91378029898083,-3.4514835041151946,1.891438502351538,-1.5600450017636565,3.62831,-12.580280000000005,-13.61910530864198,-16.208590000000004,1.0388253086419752,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.804317030846224,0.6545574095262259,1.902521248285324,6.261643333333336,-0.243793127572018,-1.7971828571428574,-2.7014316666666662,1,-1.0,1,-1,-1,1,-3.0,1.0
1.5,11,7.300000000000007,8.782807498856886,8.266592903608224,101.9,101.36666666666667,90.1,94.06666666666666,Wed 11-30 11-30,H,344 (Ⅳ),Hampton,"W, 73-54",65,113.0,53.7,21.7,40.6,38.9,83.6,32.8,10.8,34.0,19.4,-16.0,-17.5,143.0,99.60390625,97.3078125,99.04814814814816,97.51706640230128,89.78359375,89.4671875,90.26534064929128,89.25047349869303,20221130,102.0,96.8,5.200000000000003,96.4,109.1,-12.699999999999989,102.264,96.4848,5.77952,66.8805,-18.077665615678626,137.83739208562488,67.96295566002846,-16.498060707330048,142.80822598927438,-21.886024537859186,142.80822598927438,-16.498060707330048,142.80822598927438,-21.886024537859186,135.85994618693334,-6.695041295837669,94.3978,109.636,-15.2386,71.4378,102.0,96.8,5.200000000000003,96.4,109.1,-12.699999999999989,-20.71004963705364,134.02025767129612,0,88.25143068,93.47488681,-5.223456130000002,-6.520572373,98.29115571,109.0373508,-10.74619509,-3.569193263,2022-11-30,131.05921872558974,0.19888395864336417,131.05921872558974,-23.776609573586896,131.05921872558974,-12.094932647135684,3.1175207247370835,-8.9774119223986,5.22048,-7.359800000000005,-13.272830205761323,-12.580280000000005,5.913030205761318,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.9522096477271853,0.7381404336795946,3.0032874988568867,1.5204800000000072,1.902521248285324,-0.919975,-1.7971828571428574,1,1.0,1,-1,-1,1,1.0,-3.0
-3.0,9,10.466666666666674,9.08853833257126,8.527212375679456,99.2,97.1,89.5,86.63333333333333,Fri 12-02 12-02,H,357 (Ⅳ),Florida A&M,"W, 68-46",63,107.2,54.6,23.7,42.4,29.6,72.5,40.0,28.4,25.7,22.0,-16.5,-25.0,130.5,99.401953125,99.60390625,99.0987654320988,97.82305432915558,89.641796875,89.78359375,90.01022709952753,89.2958419534761,20221202,101.9,96.2,5.700000000000003,83.2,108.1,-24.89999999999999,102.339,96.3762,5.96256,66.0972,-21.711399972456164,123.24330186700423,63.751360540540546,-23.190790791435795,125.00793364155822,-23.798694738450447,125.00793364155822,-23.190790791435795,125.00793364155822,-23.798694738450447,117.1244454443215,-3.954117551748759,85.4133,108.583,-23.1694,67.805,101.9,96.2,5.700000000000003,83.2,108.1,-24.89999999999999,-22.25186982531229,116.8945404555602,0,87.87934179,92.49665488,-4.617313089999996,-6.482150867,95.69920449,101.9301357,-6.230931209999994,-1.639310449,2022-12-02,116.55890679889711,1.3748241493331932,116.55890679889711,-22.48941841529261,116.55890679889711,-4.126142579473955,4.264682297287001,0.13853971781304608,3.03744,-4.322360000000005,-11.301820137174218,-7.359800000000005,6.979460137174213,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9913660280019122,0.6467580986142082,3.1259783325712593,4.504106666666674,3.0032874988568867,-0.4802622222222226,-0.919975,1,1.0,1,-1,-1,1,1.0,1.0
2.5,0,7.200000000000003,6.092358888380838,6.994991943737735,118.6,106.56666666666666,118.5,99.36666666666667,Tue 12-06 12-06,A,185 (Ⅲ),Georgia Tech,"L, 79-77",68,113.5,58.6,16.2,33.3,27.6,116.5,51.6,10.3,33.3,30.2,24.5,4.5,131.5,109.0009765625,99.401953125,105.59917695473251,101.60068081476363,104.0708984375,89.641796875,99.50681806635168,94.60568887102588,20221206,101.6,96.3,5.299999999999997,102.2,95.9,6.299999999999997,102.244,96.7459,5.498,65.5804,2.862960392391628,123.03790848248316,62.17544324324325,4.130393405799936,125.10631961709853,-1.1969136950272878,125.10631961709853,4.130393405799936,125.10631961709853,-1.1969136950272878,118.301169793897,7.464604524178185,102.291,97.7101,4.58069,66.65,101.6,96.3,5.299999999999997,102.2,95.9,6.299999999999997,2.5754399954773826,113.21972642543041,0,88.51987039,93.88274395,-5.362873560000011,-6.090401068,98.08509593,96.43618319,1.64891274,0.35925115,2022-12-06,113.45522226514046,5.701125114897671,113.45522226514046,-1.2348362587087678,113.45522226514046,-3.1485674505740695,4.724261720284705,1.5756942697106355,-5.498,-9.820360000000004,-8.975333424782814,-4.322360000000005,-0.8450265752171902,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.3341175708976246,0.23856854292109309,0.594358888380838,1.7020000000000026,3.1259783325712593,-0.9820359999999999,-0.4802622222222226,1,1.0,-1,-1,-1,-1,1.0,1.0
