ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.5,38,,38.2,38.2,116.4,0.0,78.2,0.0,Mon 11-07 11-07,H,226 (Ⅳ),North Florida,"W, 104-63",80,130.0,67.9,17.5,33.3,23.9,78.7,42.4,27.5,25.6,37.3,6.5,-30.5,160.5,116.4,0.0,116.4,116.4,78.2,0.0,78.2,78.2,20221107,115.5,87.2,28.3,99.2,103.1,-3.9,117.38,89.3218,28.0586,76.0029,-30.99822352777693,166.62948912089252,79.10982936017069,-30.943445506097092,166.6870598375478,-48.41198227082485,166.6870598375478,-30.943445506097092,166.6870598375478,-48.41198227082485,150.7462483690841,-33.03257016451455,99.2097,104.012,-4.8027,73.1738,115.5,87.2,28.3,99.2,103.1,-3.9,-48.41198227082485,150.7462483690841,0,112.5602805,88.32082792,24.239452580000005,17.35986776,90.8112824,102.7395378,-11.928255399999998,-8.79512396,2022-11-07,158.89444353675168,9.941400000000002,9.941400000000002,0.0,0.0,9.941400000000002,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.9981623371657065,0.9991722841269187,10.141400000000004,,0.0,9.941400000000002,0.0,1,0.0,1,1,1,3,0.0,0.0
-11.0,14,,30.233333333333334,33.85454545454545,96.2,0.0,81.9,0.0,Fri 11-11 11-11,N,24 (I),Michigan St.,"W, 64-63",72,89.0,45.5,25.0,34.3,40.0,87.7,43.3,22.3,24.3,53.8,-15.5,-12.0,142.5,106.3,116.4,109.66666666666669,112.72727272727272,80.05000000000001,78.2,79.43333333333334,78.87272727272727,20221111,116.0,87.8,28.200000000000003,108.4,91.5,16.900000000000006,117.594,89.5354,28.0586,76.0206,-7.224255503897126,156.09940874450464,76.56377421593172,-8.571503199232325,157.37394944313567,-10.66560038828899,157.37394944313567,-8.571503199232325,157.37394944313567,-10.66560038828899,135.29649297128225,-4.360608110076072,109.129,91.1542,17.975,70.8023,116.0,87.8,28.200000000000003,108.4,91.5,16.900000000000006,-10.66560038828899,135.29649297128225,0,112.5602805,88.32082792,24.239452580000005,17.35986776,109.1712448,90.61731582,18.553928979999995,17.58301069,2022-11-11,155.11072811123566,-14.058599999999998,-4.117199999999997,9.941400000000002,9.941400000000002,-14.058599999999998,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,3,0.8734510455264423,0.6610373893017638,2.174733333333336,,10.141400000000004,-2.0585999999999984,9.941400000000002,1,1.0,-1,-1,1,-1,3.0,0.0
-17.0,7,19.933333333333334,22.588888888888896,29.02644628099173,117.6,110.06666666666666,110.3,90.13333333333333,Wed 11-16 11-16,A,6 (I-A),Texas,"L, 93-74",74,100.3,57.8,27.1,28.1,41.2,126.0,61.4,13.6,23.5,24.2,23.0,2.0,144.0,111.95,106.3,112.31111111111112,113.61322314049583,95.175,80.05000000000001,89.72222222222223,84.58677685950414,20221116,115.4,88.1,27.30000000000001,110.6,89.3,21.3,117.118,89.5607,27.5578,74.7832,5.457074302061798,143.27463608866185,72.11727997837836,-0.0007064118692312604,147.7720942343139,7.220082452329071,147.7720942343139,-0.0007064118692312604,147.7720942343139,7.220082452329071,115.0829491992709,19.272991742589156,112.54,84.3381,28.2019,67.7939,115.4,88.1,27.30000000000001,110.6,89.3,21.3,7.303554659326213,115.14547684073031,0,104.8722768,95.28507859,9.587198209999997,12.36566764,112.9942421,82.94626546,30.047976639999987,36.74616063,2022-11-16,144.00984119474106,-20.5578,-24.674999999999997,5.255200000000003,-4.117199999999997,-29.9302,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,3,0.4244679994402739,0.033214115494076824,-4.968911111111105,-7.624466666666667,2.174733333333336,-8.224999999999998,-2.0585999999999984,-1,1.0,-1,-1,-1,-3,-1.0,3.0
12.0,35,19.1,26.959259259259262,30.23981968444778,121.4,111.73333333333332,85.7,92.63333333333334,Sun 11-20 11-20,H,25 (I),Kentucky,"W, 88-72",76,115.4,62.7,23.6,28.0,38.2,94.4,43.5,14.4,25.6,23.2,5.0,-4.0,155.0,116.675,111.95,115.34074074074076,115.02900075131478,90.4375,95.175,88.38148148148149,84.78918106686702,20221120,116.1,90.4,25.69999999999999,113.0,91.9,21.099999999999994,117.107,90.9428,26.1646,75.2094,-1.7463220023200137,156.14240472530736,76.81318963783785,-8.149936118581493,163.91266309636126,-1.1379473182432924,163.91266309636126,-8.149936118581493,163.91266309636126,-1.1379473182432924,150.14294315159063,-10.781395412809132,114.239,85.7813,28.4577,71.7991,116.1,90.4,25.69999999999999,113.0,91.9,21.099999999999994,-1.2646576025665417,149.91625398528788,0,111.1626864,95.29850254,15.864183859999997,19.58390363,98.91220611,92.20631347,6.705892640000002,13.16859569,2022-11-20,154.5131187368972,8.8354,-15.839599999999997,-4.721533333333329,-24.674999999999997,-11.118066666666667,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,1,3,0.6483807083005341,0.8477425724259868,0.7946592592592623,-7.064599999999999,-4.968911111111105,-3.9598999999999975,-8.224999999999998,1,-1.0,-1,-1,-1,-1,-3.0,-1.0
-3.0,25,22.96666666666667,26.60617283950618,29.45076156000273,134.5,124.5,108.6,101.53333333333332,Thu 11-24 11-24,N,236 (Ⅳ),Portland St.,"W, 102-78",73,139.2,69.8,15.0,37.9,31.7,106.4,51.6,17.7,21.6,27.9,16.5,-27.0,163.5,125.5875,116.675,121.72716049382718,118.56918243289392,99.51875,90.4375,95.120987654321,89.11842087289119,20221124,117.1,90.3,26.8,97.8,106.9,-9.100000000000009,118.879,91.4887,27.3901,73.9814,-27.256451174229156,163.01839818602645,76.95149538008533,-28.961843825173318,167.71756506098677,-20.4583469197959,167.71756506098677,-28.961843825173318,167.71756506098677,-20.4583469197959,167.45085201981595,0.7226488739735544,96.9013,104.519,-7.6174,73.1223,117.1,90.3,26.8,97.8,106.9,-9.100000000000009,-20.130315122082834,167.51851551564485,0,111.1551501,93.47543289,17.679717210000007,24.61926058,113.3021898,94.45340892,18.848780879999993,14.2962734,2022-11-24,165.67994154230175,-2.3901000000000003,-18.229699999999998,-8.427555555555552,-15.839599999999997,-9.802144444444446,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.9949360047253046,0.47256497556235855,-0.7839271604938212,-4.423433333333332,0.7946592592592623,-3.6459399999999995,-3.9598999999999975,-1,1.0,-1,-1,-1,-3,-1.0,-3.0
-24.5,9,23.800000000000008,21.004115226337458,25.877895821820417,115.4,123.76666666666664,105.6,99.96666666666664,Fri 11-25 11-25,N,7 (I-A),Purdue,"L, 84-66",67,98.3,47.0,10.4,19.5,6.0,125.0,55.7,11.9,36.1,36.1,-3.0,-6.5,153.0,120.49375,125.5875,119.6181069958848,117.99296744509502,102.559375,99.51875,98.61399176954734,92.11507162327462,20221125,117.8,91.4,26.39999999999999,113.1,94.3,18.8,119.55,92.224,27.326,73.2768,-4.696774028075168,148.7902862284895,68.74301949815079,-5.428558869350624,150.95983154179123,2.3338927091187918,150.95983154179123,-5.428558869350624,150.95983154179123,2.3338927091187918,140.70176908845127,-0.44366347074895884,114.211,93.849,20.3618,65.9504,117.8,91.4,26.39999999999999,113.1,94.3,18.8,2.246095711519288,140.89855670020367,0,110.9980569,93.30327273,17.69478416999999,24.29337519,105.1340922,88.94194667,16.192145530000005,14.81704054,2022-11-25,138.541849218308,-18.326,-36.5557,-11.694937037037034,-18.229699999999998,-24.860762962962966,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.732057505466481,0.5168517584315471,-6.321884773662543,-3.5259999999999927,-0.7839271604938212,-6.092616666666668,-3.6459399999999995,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-3.5,28,21.43333333333334,23.53607681755831,26.372823854216705,126.7,125.53333333333336,98.1,104.1,Sun 11-27 11-27,N,20 (I-A),Xavier,"W, 88-84",74,118.3,60.5,17.5,28.6,30.6,112.9,57.4,12.1,17.6,11.8,13.5,-7.5,158.5,123.596875,120.49375,121.97873799725654,119.57606427325956,100.3296875,102.559375,98.44266117969823,93.20324041904286,20221127,117.3,92.6,24.700000000000003,113.3,96.0,17.299999999999997,118.89,93.933,24.9566,72.3021,-6.07988618832367,160.39194844675887,73.01637892532005,-5.741701392729823,162.36664483657248,-4.0512138285180175,162.36664483657248,-5.741701392729823,162.36664483657248,-4.0512138285180175,169.3295028267342,-0.9125595462994909,113.057,96.3632,16.6935,70.9945,117.3,92.6,24.700000000000003,113.3,96.0,17.299999999999997,-7.189325515204783,166.03919566903988,0,111.0269435,93.91152774,17.115415760000005,24.02657324,113.1363326,96.79688352,16.33944908000001,14.55023314,2022-11-27,159.5263825719428,3.0433999999999983,-33.5123,-19.981858024691356,-36.5557,-13.530441975308648,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.7624747379730235,0.534628646708682,-1.4205231824416913,-3.523266666666661,-6.321884773662543,-4.787471428571433,-6.092616666666668,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-4.0,11,16.66666666666667,19.55738454503887,23.68685588072276,86.0,109.36666666666667,74.4,92.7,Fri 12-02 12-02,N,16 (I-A),Baylor,"L, 64-63",75,84.5,41.0,24.1,39.0,34.4,85.8,41.9,18.8,18.4,24.2,-33.5,-3.0,160.5,104.7984375,123.596875,109.98582533150436,113.47132531448509,87.36484375,100.3296875,90.4284407864655,89.78446943376234,20221202,118.5,93.7,24.8,116.8,96.5,20.3,119.159,94.4852,24.6735,71.5168,-2.3914268809500925,160.32367855715083,71.11180941564723,-3.5725849239731673,162.80588644324672,-5.400792618621835,162.80588644324672,-3.5725849239731673,162.80588644324672,-5.400792618621835,177.44456479073773,-6.507841714495413,118.114,96.4929,21.6216,69.9019,118.5,93.7,24.8,116.8,96.5,20.3,-3.5101503288252425,167.0970927331977,0,113.2683862,93.49631715,19.77206905,24.9741035,111.4451553,99.88916058,11.555994720000001,15.55925654,2022-12-02,158.11062132662877,-13.6735,-47.1858,-24.49200534979424,-33.5123,-22.69379465020576,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.6124515189020077,0.7323034381272353,-5.116115454961129,-8.00683333333333,-1.4205231824416913,-5.898225,-4.787471428571433,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-9.0,14,18.23333333333333,17.87158969669258,22.016518447864076,111.2,107.96666666666664,96.7,89.73333333333335,Mon 12-05 12-05,H,80 (Ⅱ),Kent St.,"W, 73-66",69,106.6,50.9,13.1,28.1,49.1,96.4,44.4,10.2,17.1,20.6,-13.5,-16.0,152.5,107.99921875,104.7984375,110.39055022100293,113.0583570754878,92.032421875,87.36484375,92.51896052431034,91.04183862762372,20221205,116.7,93.1,23.60000000000001,104.5,92.4,12.099999999999994,117.434,93.2607,24.1736,71.0152,-13.67921459719689,150.7938265910543,71.85859389018492,-11.96930655570847,150.9917030130757,-4.619618978918656,150.9917030130757,-11.96930655570847,150.9917030130757,-4.619618978918656,141.66547668582368,-6.710292788205699,105.752,95.2538,10.4982,71.1349,116.7,93.1,23.60000000000001,104.5,92.4,12.099999999999994,-3.4758637350907593,140.27659568821085,0,109.6406631,87.80263575,21.838027350000004,25.19675712,98.65742142,82.80346589,15.853955530000007,12.27043194,2022-12-05,130.49189863472435,-10.1736,-57.3594,-32.056603566529496,-47.1858,-25.302796433470505,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9362218501099964,0.7386130925469115,-6.302010303307419,-5.94026666666667,-5.116115454961129,-6.373266666666666,-5.898225,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
0.0,22,16.299999999999997,19.514393131128383,22.158969639161512,112.2,103.13333333333334,89.4,86.83333333333333,Fri 12-09 12-09,H,108 (Ⅲ),Washington,"W, 77-60",70,109.8,56.3,17.1,26.7,37.5,85.6,46.5,22.8,20.0,15.8,-12.0,-17.0,149.0,110.099609375,107.99921875,110.99370014733528,112.90229215267183,90.7162109375,92.032421875,91.4793070162069,90.74332251351032,20221209,116.6,93.8,22.8,102.3,95.7,6.599999999999994,116.857,93.2578,23.5995,70.433,-14.86760993777817,143.66855365662207,69.69500643243245,-15.297134811175383,148.3993072563335,-7.4137563845766214,148.3993072563335,-15.297134811175383,148.3993072563335,-7.4137563845766214,139.90594121422953,-16.383757147979154,102.427,95.1332,7.29374,69.5634,116.6,93.8,22.8,102.3,95.7,6.599999999999994,-13.094560173000703,140.1642732921047,0,111.7142981,88.43999553,23.27430256999999,25.59141327,97.73069663,93.15010693,4.58058969999999,7.489887318,2022-12-09,136.27470072920704,-1.599499999999999,-58.9589,-40.490869044353,-57.3594,-18.468030955647002,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9472814911099373,0.9406623270768983,-4.085106868871616,-7.299500000000002,-6.302010303307419,-5.895889999999998,-6.373266666666666,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
