ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-9.5,-12,,-12.299999999999995,-12.299999999999995,84.4,0.0,96.7,0.0,Mon 11-07 11-07,A,91 (Ⅱ),Indiana St.,"L, 80-53",72,73.4,43.3,23.5,8.6,23.1,110.7,66.7,22.1,14.3,14.0,-8.0,17.5,141.0,84.4,0.0,84.4,84.4,96.7,0.0,96.7,96.7,20221107,88.3,106.4,-18.1,98.7,95.8,2.9,89.1089,108.685,-19.5757,69.9238,19.970552329335753,141.55571770578237,72.80360623243244,19.15748861249839,141.5814735657984,11.275749683600178,141.5814735657984,19.15748861249839,141.5814735657984,11.275749683600178,122.54853295554649,10.57346878798559,99.7656,96.8699,2.89576,73.1953,88.3,106.4,-18.1,98.7,95.8,2.9,11.275749683600178,122.54853295554649,0,97.66823818,104.8595288,-7.191290620000004,-8.377062016,100.835178,99.5348077,1.3003702999999973,-2.814060028,2022-11-07,151.26521973185754,7.575700000000001,7.575700000000001,0.0,0.0,7.575700000000001,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,-3,0.047790352272814696,0.15696810133604377,7.275700000000006,,0.0,7.575700000000001,0.0,1,0.0,1,1,1,3,0.0,0.0
-16.5,-30,,-18.266666666666666,-15.554545454545451,98.4,0.0,128.6,0.0,Sat 11-12 11-12,A,200 (Ⅲ),Georgetown,"L, 92-58",66,88.3,48.1,19.8,20.6,17.0,140.0,68.9,16.7,37.9,24.6,6.5,17.5,143.5,91.4,84.4,89.06666666666668,86.94545454545454,112.65,96.7,107.33333333333334,102.5,20221112,89.4,107.5,-18.099999999999994,102.1,102.8,-0.7000000000000028,89.9514,109.527,-19.5752,69.8994,23.223954512711558,149.99185037788686,73.21539571834994,17.590897050613293,151.32899490513427,4.353251921921597,151.32899490513427,17.590897050613293,151.32899490513427,4.353251921921597,139.20970225743216,8.668919490177927,105.566,99.4904,6.07528,73.635,89.4,107.5,-18.099999999999994,102.1,102.8,-0.7000000000000028,4.353251921921597,139.20970225743216,0,97.66823818,104.8595288,-7.191290620000004,-8.377062016,101.1946706,102.7049679,-1.5102973000000048,-0.975934269,2022-11-12,154.64083710555536,-10.424800000000001,-2.8491,7.575700000000001,7.575700000000001,-10.424800000000001,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,-3,0.047790352272814696,0.20451228878079675,1.308533333333333,,7.275700000000006,-1.42455,7.575700000000001,1,1.0,-1,-1,1,-1,3.0,0.0
16.0,-9,-17.266666666666662,-15.277777777777777,-14.417355371900822,81.0,87.93333333333334,90.3,105.2,Tue 11-15 11-15,A,69 (Ⅱ),Wisconsin,"L, 56-45",61,73.8,36.4,14.8,9.1,52.3,91.8,37.7,23.0,40.5,35.8,-30.0,27.0,131.0,86.2,91.4,86.3777777777778,85.86446280991736,101.475,112.65,101.65555555555557,100.28181818181818,20221115,90.3,109.0,-18.700000000000003,102.9,89.4,13.5,90.2363,110.596,-20.3599,68.4655,27.961783264708387,133.65407662345604,66.94805909601708,25.273997373510497,132.96144364066092,28.263198630530887,132.96144364066092,25.273997373510497,132.96144364066092,28.263198630530887,125.0780890874399,15.202160738366395,106.676,90.4287,16.2477,68.7419,90.3,109.0,-18.700000000000003,102.9,89.4,13.5,28.547081390654238,125.23184593161626,0,97.66823818,104.8595288,-7.191290620000004,-8.377062016,103.6503203,94.35524481,9.295075490000002,10.02351989,2022-11-15,138.13253628722475,11.3599,8.5108,4.100766666666668,-2.8491,4.410033333333332,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,3,0.005063995274695365,0.07383302302730854,5.082122222222223,3.0932333333333375,1.308533333333333,2.8369333333333344,-1.42455,1,1.0,1,1,-1,3,-1.0,3.0
-8.5,-15,-18.433333333333326,-15.45185185185185,-14.668745304282488,93.9,91.1,109.7,109.53333333333336,Fri 11-18 11-18,N,205 (Ⅳ),Queens,"L, 81-65",70,93.4,53.3,25.9,20.7,52.2,116.4,55.6,14.4,26.7,53.7,9.0,7.5,137.0,90.05000000000001,86.2,88.88518518518521,87.32546957175056,105.5875,101.475,104.33703703703704,101.99421487603306,20221118,89.9,107.8,-17.89999999999999,99.6,104.7,-5.1000000000000085,90.0557,109.109,-19.0529,67.1818,9.946756600803226,138.9874390889977,67.5185690799431,9.160887259803218,139.37892049801954,8.430603647743931,139.37892049801954,9.160887259803218,139.37892049801954,8.430603647743931,132.56263500557782,7.573076525441813,101.589,106.642,-5.05334,70.6524,89.9,107.8,-17.89999999999999,99.6,104.7,-5.1000000000000085,8.357024383482342,132.54272589580978,0,94.39807965,101.5626436,-7.164563950000002,-7.293152423,100.0932707,96.09231638,4.000954320000005,4.881144383,2022-11-18,133.06523239342252,4.052900000000001,12.5637,5.570777777777779,8.5108,6.992922222222222,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,3,0.23752526202697655,0.2353792768746228,3.60104814814815,0.6195666666666746,5.082122222222223,3.1409249999999993,2.8369333333333344,1,1.0,1,1,1,3,3.0,-1.0
-11.0,-18,-14.433333333333328,-16.367901234567896,-15.31079161259476,91.9,88.93333333333334,110.1,103.36666666666666,Sun 11-20 11-20,N,76 (Ⅱ),Utah Valley,"L, 79-56",69,81.0,44.7,20.3,15.4,19.3,114.3,57.4,15.9,25.0,38.9,8.0,12.0,127.0,90.975,90.05000000000001,89.89012345679015,88.15720237688683,107.84375,105.5875,106.25802469135805,103.46799398948158,20221120,90.9,108.9,-18.0,103.1,97.4,5.699999999999989,89.7781,109.55,-19.7718,67.5936,14.063981047641654,128.1827485920554,65.29887900768136,15.89679879031889,134.47220040527378,10.288142901348007,134.47220040527378,15.89679879031889,134.47220040527378,10.288142901348007,121.93020908666985,2.180551014598926,99.9218,97.8176,2.10421,67.9134,90.9,108.9,-18.0,103.1,97.4,5.699999999999989,10.40735840201744,121.9777832834415,0,94.93759323,101.6259803,-6.68838706999999,-6.381469285,93.19796103,96.33385243,-3.1358913999999913,-5.969565323,2022-11-20,124.66724423161017,1.771799999999999,14.3355,7.901751851851853,12.5637,6.433748148148147,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,-3,0.12654895447355774,0.4177427262704355,3.4038987654321033,5.338466666666671,3.60104814814815,2.867099999999997,3.1409249999999993,1,1.0,1,1,1,3,3.0,3.0
-9.0,-33,-22.5,-22.078600823045264,-18.6179204103048,89.8,91.86666666666667,123.3,114.36666666666666,Sat 11-26 11-26,H,283 (Ⅳ),Illinois Chicago,"L, 78-64",68,93.8,41.3,20.5,28.1,71.7,114.3,57.8,16.1,25.0,56.9,6.5,5.0,135.5,90.3875,90.975,89.86008230452677,88.4558928538165,115.571875,107.84375,111.93868312757202,107.0738132641213,20221126,91.1,109.2,-18.10000000000001,95.2,104.5,-9.299999999999995,90.7438,111.193,-20.4489,66.8036,5.119302233989188,135.92532112303257,67.85364236130867,2.2132105150944454,138.28358112883785,7.1209809329548035,138.28358112883785,2.2132105150944454,138.28358112883785,7.1209809329548035,132.4617510045792,1.7145877998223114,96.6247,103.824,-7.19886,71.405,91.1,109.2,-18.10000000000001,95.2,104.5,-9.299999999999995,6.846226895661297,132.67092044035283,0,92.82381408,102.1413777,-9.317563620000001,-8.817906722,97.11340889,98.45676728,-1.3433583899999917,3.012577751,2022-11-26,132.34186717199145,-12.551100000000002,1.784399999999998,10.046334567901235,14.3355,-8.261934567901237,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,-3,0.31696934194067294,0.4351434489158984,-1.6297008230452654,-2.0511000000000017,3.4038987654321033,0.29739999999999966,2.867099999999997,-1,1.0,-1,1,1,-1,3.0,3.0
-7.0,-26,-25.933333333333326,-23.41906721536351,-19.978298517522106,94.2,91.96666666666664,120.3,117.89999999999998,Thu 12-01 12-01,H,240 (Ⅳ),Milwaukee,"L, 81-67",69,96.8,43.9,20.2,37.5,49.1,117.1,60.0,18.8,28.0,30.9,14.0,7.0,134.0,92.29375,90.3875,91.30672153635118,89.50027597130439,117.9359375,115.571875,114.72578875171467,109.47857448882652,20221201,90.6,110.0,-19.40000000000001,96.3,100.8,-4.5,90.3312,111.828,-21.4967,65.3905,4.868157184994637,132.21881839907482,67.22543370341396,6.257792001378149,135.6160799321271,13.286304055410927,135.6160799321271,6.257792001378149,135.6160799321271,13.286304055410927,131.26090614157638,7.220431419819242,94.2528,102.492,-8.23935,72.2727,90.6,110.0,-19.40000000000001,96.3,100.8,-4.5,10.036664450314726,127.02734915254898,0,91.04460603,106.8609328,-15.816326770000003,-16.72419217,93.19963331,92.23464457,0.9649887399999955,6.595433851,2022-12-01,126.16752335857237,-4.503299999999999,-2.7189000000000014,7.292356378600823,1.784399999999998,-10.011256378600825,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,3,0.2524925375469229,0.2458334148001622,-1.9223672153635079,-4.436633333333326,-1.6297008230452654,-0.3884142857142834,0.29739999999999966,-1,-1.0,-1,-1,1,-3,-1.0,3.0
1.0,-9,-22.933333333333334,-18.67937814357568,-18.01860787797263,88.2,90.73333333333332,97.4,113.66666666666669,Mon 12-05 12-05,H,360 (Ⅳ),IUPUI,"W, 68-61",68,99.9,55.3,25.0,22.2,42.6,89.6,50.0,25.0,20.7,23.1,3.5,-6.0,125.5,90.246875,92.29375,90.2711476909008,89.26386215833995,107.66796875,117.9359375,108.95052583447648,107.2824700363126,20221205,91.7,111.4,-19.700000000000003,89.9,114.5,-24.599999999999994,91.1185,113.328,-22.2097,65.2841,-7.496588809242432,121.94174248803003,60.655522315504975,-6.604024837123369,128.00495131877474,-7.952618587324965,128.00495131877474,-6.604024837123369,128.00495131877474,-7.952618587324965,126.47180869190014,2.6483745121264803,86.0542,114.458,-28.4035,65.3158,91.7,111.4,-19.700000000000003,89.9,114.5,-24.599999999999994,-8.884547496136593,121.40901940557359,0,92.11253686,109.8334683,-17.72093144,-19.8371912,96.53035879,104.3469973,-7.816638510000004,-7.02300865,2022-12-05,125.87311104074729,13.209700000000002,10.4908,3.955270919067216,-2.7189000000000014,6.535529080932784,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-3,0.7161454169013237,0.400433135597671,3.5303218564243224,-0.723633333333332,-1.9223672153635079,1.311350000000001,-0.3884142857142834,1,-1.0,1,1,-1,3,-3.0,-1.0
-5.5,-39,-25.03333333333333,-25.71958542905045,-21.978860991068515,77.7,86.7,117.5,111.7333333333333,Tue 12-06 12-06,A,232 (Ⅳ),Loyola Chicago,"L, 70-46",59,77.4,30.5,16.8,34.1,22.0,117.7,58.3,18.5,39.3,18.5,-10.0,18.5,126.0,83.9734375,90.246875,86.0807651272672,87.1613417659145,112.583984375,107.66796875,111.80035055631764,109.14020275698302,20221206,91.7,111.4,-19.700000000000003,100.2,99.6,0.6000000000000085,90.5641,112.955,-22.3912,66.1387,18.386485468458204,123.84963436002118,60.42377065220483,16.134740176922612,126.44005441362881,12.391482787150466,126.44005441362881,16.134740176922612,126.44005441362881,12.391482787150466,122.66164292067229,7.437620757520762,101.849,99.6137,2.23579,64.2255,91.7,111.4,-19.700000000000003,100.2,99.6,0.6000000000000085,10.183577681951586,119.53898634202389,0,90.41632256,109.0494958,-18.633173240000005,-20.43624549,91.69543003,103.3402189,-11.64478887,-12.66918576,2022-12-06,120.2830514772493,-16.6088,-6.1179999999999986,6.133780612711478,10.4908,-12.251780612711476,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,-3,0.039042694968427716,0.2393655707484259,-3.3283854290504493,-2.64213333333333,3.5303218564243224,-0.679777777777776,1.311350000000001,-1,1.0,-1,-1,1,-3,3.0,-3.0
12.5,-11,-20.03333333333333,-20.846390286033635,-20.00088626541969,99.7,88.53333333333335,110.8,108.56666666666666,Sat 12-10 12-10,H,326 (Ⅳ),UMKC,"W, 70-64",66,106.6,56.3,25.9,21.7,75.0,97.5,39.8,18.3,44.2,26.6,8.5,6.5,125.5,91.83671875,83.9734375,90.6205100848448,89.44109780847549,111.6919921875,112.583984375,111.46690037087843,109.44198407389518,20221210,91.3,111.8,-20.5,94.3,102.8,-8.5,90.1219,112.93,-22.8079,65.9108,4.89962030449162,121.70748642833158,60.84166881422474,3.7475654309018864,124.43205159253836,3.160862515279976,124.43205159253836,3.7475654309018864,124.43205159253836,3.160862515279976,118.357032450147,5.0595544532082215,95.2423,104.112,-8.86964,64.8933,91.3,111.8,-20.5,94.3,102.8,-8.5,4.155907616334862,115.5482885973091,0,89.26014157,108.5047298,-19.244588230000005,-19.95993634,94.0610457,99.29670568,-5.235659980000008,-4.204537056,2022-12-10,119.02677720354424,11.8079,5.6899000000000015,2.0498537418076532,-6.1179999999999986,3.6400462581923483,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.26794249453351904,0.31495187425577187,1.9615097139663646,2.7745666666666686,-3.3283854290504493,0.5689899999999994,-0.679777777777776,1,-1.0,1,1,-1,3,-3.0,3.0
