ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-6.0,-17,,-17.400000000000006,-17.400000000000006,90.5,0.0,107.9,0.0,Mon 11-07 11-07,H,207 (Ⅳ),Siena,"L, 75-68",74,92.0,49.2,18.9,22.0,39.0,101.4,58.3,20.3,19.4,38.9,8.0,1.0,135.0,90.5,0.0,90.5,90.5,107.9,0.0,107.9,107.9,20221107,91.2,107.9,-16.7,93.6,100.1,-6.5,90.838,104.184,-13.3462,72.2857,1.4576373355482417,136.97507444019067,73.36217082972975,3.240277166498018,144.0141827368691,8.349947145319376,144.0141827368691,3.240277166498018,144.0141827368691,8.349947145319376,143.11344324812492,-1.404313220528195,93.6155,99.3838,-5.76831,71.3469,91.2,107.9,-16.7,93.6,100.1,-6.5,8.349947145319376,143.11344324812492,0,92.26857473,104.795748,-12.527173270000006,-12.04596069,93.77227096,102.6769514,-8.904680439999993,-14.80578143,2022-11-07,144.6855294767764,-3.6538000000000004,-3.6538000000000004,0.0,0.0,-3.6538000000000004,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,-3,0.46206285593374585,0.5531975405965773,-4.053800000000006,,0.0,-3.6538000000000004,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
1.0,-16,,-16.96666666666667,-17.163636363636368,100.4,0.0,116.5,0.0,Mon 11-14 11-14,A,12 (I-A),Creighton,"L, 94-65",73,89.1,46.8,16.5,13.2,16.1,128.9,67.2,12.3,29.0,26.6,12.5,30.0,146.5,95.45,90.5,93.8,92.3,112.2,107.9,110.76666666666668,109.46363636363635,20221114,92.4,109.1,-16.69999999999999,107.2,90.3,16.900000000000006,91.7025,104.986,-13.2839,71.8277,26.91279064876003,142.5137555672926,72.02581367041252,28.8262828879083,148.3242934412988,33.143530557647686,148.3242934412988,28.8262828879083,148.3242934412988,33.143530557647686,147.9752564066638,20.12667588436456,109.502,90.4637,19.0379,70.4939,92.4,109.1,-16.69999999999999,107.2,90.3,16.900000000000006,33.35674890283048,148.19698727466346,0,92.26857473,104.795748,-12.527173270000006,-12.04596069,103.7343387,94.14349468,9.590844019999992,8.315878377,2022-11-14,144.5337514537282,-2.716100000000001,-6.369900000000001,-3.6538000000000004,-3.6538000000000004,-2.716100000000001,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,3,0.002137366980086264,0.02763000288558426,-3.6827666666666694,,-4.053800000000006,-3.1849500000000006,-3.6538000000000004,-1,-1.0,-1,-1,-1,-3,-3.0,0.0
-3.5,-13,-15.566666666666668,-15.711111111111114,-16.442975206611575,106.3,99.06666666666666,119.5,114.63333333333333,Sat 11-19 11-19,N,326 (Ⅳ),Stonehill,"L, 81-79",74,107.4,54.8,20.4,27.8,22.6,110.2,55.7,23.1,29.6,45.3,9.0,-1.5,151.0,100.875,95.45,97.96666666666668,94.84545454545454,115.85,112.2,113.6777777777778,111.28842975206612,20221119,92.9,109.7,-16.799999999999997,89.3,114.2,-24.90000000000001,92.241,105.658,-13.4172,72.0981,-2.0387741094249208,150.1142722536933,74.58871501920342,-6.195455487478782,155.50473627519438,7.51909184765343,155.50473627519438,-6.195455487478782,155.50473627519438,7.51909184765343,169.86792139809342,14.810147693807181,94.4156,111.127,-16.7111,72.7285,92.9,109.7,-16.799999999999997,89.3,114.2,-24.90000000000001,7.513707677958734,169.5470398925781,0,94.60071797,104.1864679,-9.585749929999992,-11.26469227,112.7074278,103.5847916,9.122636200000002,8.224066628,2022-11-19,164.1649344649461,0.41719999999999935,-5.952700000000002,-4.559166666666668,-6.369900000000001,-1.393533333333334,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.5567984968164682,0.0791974857234452,-2.2939111111111146,-2.149466666666669,-3.6827666666666694,-1.984233333333334,-3.1849500000000006,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-1.0,-23,-17.599999999999998,-18.30740740740741,-17.726070623591287,78.3,95.0,101.8,112.6,Mon 11-21 11-21,A,154 (Ⅲ),Fordham,"L, 67-53",69,76.8,36.2,20.3,21.4,24.1,97.1,52.3,26.1,22.2,59.1,-24.0,13.0,144.0,89.5875,100.875,91.41111111111113,91.83719008264464,108.825,115.85,109.71851851851852,109.56326070623592,20221121,93.6,111.0,-17.400000000000006,97.3,96.8,0.5,93.3133,107.269,-13.9552,71.4325,11.663432970876222,139.03914950885996,70.99790995376956,16.678844613836553,144.64036619098496,16.228069855752103,144.64036619098496,16.678844613836553,144.64036619098496,16.228069855752103,154.08131565946633,6.864146388547795,96.7077,99.3756,-2.66797,69.8723,93.6,111.0,-17.400000000000006,97.3,96.8,0.5,15.842892476755882,153.80096293701482,0,90.3922297,101.5128372,-11.120607500000006,-14.02856885,94.64587694,101.6585682,-7.012691260000011,-1.991970439,2022-11-21,136.64280393353033,-9.0448,-14.997500000000002,-5.023677777777779,-5.952700000000002,-9.973822222222223,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,-3,0.10784037468050733,0.2566434569796522,-4.352207407407411,-3.6447999999999983,-2.2939111111111146,-3.7493750000000006,-1.984233333333334,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-17.5,-37,-24.600000000000005,-24.57160493827161,-21.24860323748378,88.1,90.9,125.2,115.5,Tue 11-22 11-22,N,286 (Ⅳ),Illinois Chicago,"L, 89-66",74,88.8,41.0,21.5,34.9,37.7,119.7,54.9,8.1,16.2,50.8,13.0,5.5,142.0,88.84375,89.5875,90.3074074074074,91.15770097670924,117.0125,108.825,114.87901234567904,112.40630421419304,20221122,92.7,110.5,-17.799999999999997,93.9,104.7,-10.799999999999995,92.5802,106.805,-14.2246,71.1927,3.8936714106182677,142.16379045535683,72.34707494637269,4.958395070005551,148.55832777373888,9.106640108241212,148.55832777373888,4.958395070005551,148.55832777373888,9.106640108241212,145.13716933699882,7.524335574592982,94.9833,103.735,-8.75189,71.4399,92.7,110.5,-17.799999999999997,93.9,104.7,-10.799999999999995,8.886200701698934,144.83655131704143,0,91.06325345,103.2517082,-12.188454749999991,-11.82373659,96.64851479,98.41520339,-1.766688600000009,3.092860117,2022-11-22,140.12117652398794,-22.775399999999998,-37.7729,-8.348285185185187,-14.997500000000002,-29.424614814814813,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.30020551430745246,0.23680942667780414,-10.347004938271608,-10.375400000000004,-4.352207407407411,-7.554580000000001,-3.7493750000000006,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-23.5,-42,-34.333333333333336,-30.514403292181072,-25.09431173975945,65.9,77.43333333333332,108.3,111.76666666666668,Wed 11-30 11-30,H,185 (Ⅲ),Harvard,"L, 72-38",66,57.4,36.7,27.2,11.4,14.3,108.7,44.4,15.1,47.8,21.1,-30.5,10.5,140.5,77.371875,88.84375,82.17160493827161,86.56539170821665,112.65625,117.0125,112.68600823045269,111.6597034479761,20221130,92.4,111.1,-18.69999999999999,99.4,99.1,0.3000000000000113,92.6276,108.023,-15.3949,69.9555,4.679435559252724,134.90992283845867,67.65453125675677,9.157420330324655,139.66473196314746,11.543825857957962,139.66473196314746,9.157420330324655,139.66473196314746,11.543825857957962,138.25187185466595,-0.3207526321326668,98.7237,101.563,-2.83931,67.9877,92.4,111.1,-18.69999999999999,99.4,99.1,0.3000000000000113,10.163248105634862,137.646435142617,0,93.59802271,103.1050782,-9.507055489999999,-8.49732572,98.29509536,102.8627802,-4.567684839999998,-4.00071215,2022-11-30,136.8982159033856,-26.6051,-64.378,-18.15649012345679,-37.7729,-46.22150987654321,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,-3,0.15865525393145707,0.5121849416723644,-15.119503292181072,-18.938433333333336,-10.347004938271608,-10.729666666666668,-7.554580000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
7.5,-10,-29.83333333333333,-23.676268861454048,-22.34989142343955,83.4,79.13333333333334,93.4,108.96666666666664,Sat 12-03 12-03,H,344 (Ⅳ),Central Connecticut,"W, 63-57",68,93.0,44.7,17.7,23.5,22.8,84.1,39.7,19.2,34.1,7.4,-11.5,1.5,131.5,80.38593750000001,77.371875,82.58106995884775,85.98986594308636,103.028125,112.65625,106.2573388203018,108.3397573665259,20221203,90.4,111.1,-20.69999999999999,95.7,110.4,-14.700000000000005,90.7023,108.738,-18.0354,69.4622,-2.030213991262528,126.63992396187847,63.588938790611664,0.4900555782913045,134.42933309527916,0.11774873892827041,134.42933309527916,0.4900555782913045,134.42933309527916,0.11774873892827041,126.85112385220647,3.3168244932646616,93.1475,109.028,-15.8801,64.3559,90.4,111.1,-20.69999999999999,95.7,110.4,-14.700000000000005,1.8485603817685723,131.4972081828631,0,87.16150861,105.168925,-18.007416390000003,-19.94749922,96.26380634,104.1546462,-7.89083986,-7.541040784,2022-12-03,125.15232019670508,8.0354,-56.342600000000004,-33.56366008230453,-64.378,-22.778939917695475,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,-3,0.4432015031835318,0.376043742441061,-5.640868861454049,-11.79793333333333,-15.119503292181072,-8.04894285714286,-10.729666666666668,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
4.5,-11,-21.13333333333333,-19.450845907636037,-20.286274800995997,101.3,83.53333333333335,112.3,104.66666666666669,Wed 12-07 12-07,H,164 (Ⅳ),Quinnipiac,"L, 75-71",69,103.5,47.3,17.5,31.4,47.3,109.3,49.2,11.7,30.6,45.8,4.0,8.5,142.0,90.84296875,80.38593750000001,88.82071330589851,88.77352668070702,107.6640625,103.028125,108.27155921353454,109.059801481703,20221207,89.9,109.7,-19.8,100.4,101.1,-0.6999999999999886,90.4786,108.098,-17.619,69.6585,8.07341214106765,138.231105591804,69.8180308463727,9.73645074969383,143.29884154325697,16.053618801059773,143.29884154325697,9.73645074969383,143.29884154325697,16.053618801059773,125.95232801953743,10.993858170876166,100.197,100.697,-0.500088,70.461,89.9,109.7,-19.8,100.4,101.1,-0.6999999999999886,12.614137570352234,136.55155907761107,0,86.44116299,103.7194545,-17.278291510000003,-17.54553881,95.90820406,91.50155885,4.406645210000008,3.862470055,2022-12-07,127.22498047882931,6.619,-49.723600000000005,-41.15664005486969,-56.342600000000004,-8.566959945130314,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,-3,0.20910695659274503,0.14754192290394452,-1.831845907636037,-3.5143333333333295,-5.640868861454049,-6.215450000000001,-8.04894285714286,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
9.0,-6,-9.200000000000005,-15.167230605090692,-17.797861200814907,90.6,91.76666666666668,97.2,100.96666666666664,Sat 12-10 12-10,A,302 (Ⅳ),Northeastern,"L, 59-58",63,91.7,49.0,22.1,22.6,19.2,93.3,49.1,22.1,34.5,22.6,-23.5,10.0,140.5,90.721484375,90.84296875,89.41380887059901,89.10561273876029,102.43203125,107.6640625,104.58103947568968,106.90347393957518,20221210,91.0,110.3,-19.3,95.9,99.5,-3.5999999999999943,91.2957,108.64,-17.3442,69.2959,10.637222909150353,131.77777729150966,67.55492676273116,14.348884629831133,136.194564209381,14.263846883786663,136.194564209381,14.348884629831133,136.194564209381,14.263846883786663,113.92619552169089,8.215138516305146,94.8351,101.523,-6.68793,68.5338,91.0,110.3,-19.3,95.9,99.5,-3.5999999999999943,12.198419026728299,127.43786427564295,0,88.21164934,105.4728223,-17.26117296000001,-17.07837814,91.02960958,101.2704928,-10.24088322,-2.849343338,2022-12-10,128.42899432299248,11.3442,-38.379400000000004,-44.01229336991313,-49.723600000000005,5.632893369913127,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,3,0.17045190796406517,0.21699148701135318,2.1769693949093085,8.144199999999996,-1.831845907636037,-4.264377777777776,-6.215450000000001,1,-1.0,1,-1,-1,1,-3.0,-3.0
-12.5,-31,-16.300000000000008,-20.5448204033938,-20.25279552793947,96.6,96.16666666666669,127.9,112.46666666666668,Mon 12-19 12-19,A,287 (Ⅳ),New Hampshire,"L, 78-60",64,94.3,48.2,17.3,22.9,17.9,122.6,63.0,15.7,22.2,40.0,6.5,5.5,131.5,93.6607421875,90.721484375,91.80920591373268,90.46822860444024,115.166015625,102.43203125,112.35402631712648,110.72102413237968,20221219,90.6,108.4,-17.80000000000001,91.4,105.5,-14.099999999999994,90.9718,107.644,-16.6721,69.0996,6.100673106360546,125.21617991892853,63.944946766429595,5.869941300834931,127.81941858186755,8.645866583465606,127.81941858186755,5.869941300834931,127.81941858186755,8.645866583465606,115.0852981537472,9.769042757828089,93.2362,105.837,-12.6004,65.0558,90.6,108.4,-17.80000000000001,91.4,105.5,-14.099999999999994,8.453846724484054,123.84717246183877,0,88.9082453,103.8425122,-14.934266899999997,-16.33688827,93.4022844,98.15100438,-4.748719980000004,-2.455585841,2022-12-19,121.10516035820547,-14.3279,-52.707300000000004,-42.134662246608755,-38.379400000000004,-10.572637753391248,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,3,0.30020551430745246,0.17608588472379305,-3.8727204033937994,0.37209999999999255,2.1769693949093085,-5.270730000000002,-4.264377777777776,-1,1.0,-1,-1,-1,-3,1.0,-3.0
