ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
4.5,-13,,-13.5,-13.5,82.6,0.0,96.1,0.0,Mon 11-07 11-07,A,296 (Ⅳ),Denver,"L, 68-63",71,88.2,45.9,19.6,21.6,18.0,95.2,53.1,19.6,24.1,68.8,-16.0,9.5,147.0,82.6,0.0,82.6,82.6,96.1,0.0,96.1,96.1,20221107,90.6,108.8,-18.2,97.7,105.3,-7.6,89.9201,108.541,-18.6211,72.7906,12.52084512081369,145.0202915851507,73.30831408250356,12.398160444788218,151.3989470292417,9.20328123035969,151.3989470292417,12.398160444788218,151.3989470292417,9.20328123035969,113.46888192590079,8.360177840135918,96.7625,103.893,-7.13032,70.8,90.6,108.8,-18.2,97.7,105.3,-7.6,9.20328123035969,113.46888192590079,0,98.18218601,106.8750519,-8.692865890000007,-12.61778738,97.06677662,100.0587966,-2.992019979999995,0.672891312,2022-11-07,151.49610705527508,11.673212846568823,151.49610705527508,9.558524456589488,151.49610705527508,0.0,0.0,0.0,5.621099999999998,5.621099999999998,0.0,0.0,5.621099999999998,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,3,0.182795768782416,0.21295574468331635,5.121099999999998,,0.0,5.621099999999998,0.0,1,0.0,1,1,1,3,0.0,0.0
-3.0,-28,,-18.5,-16.227272727272727,94.3,0.0,122.8,0.0,Sun 11-13 11-13,A,303 (Ⅳ),Nebraska Omaha,"L, 79-72",68,105.2,55.3,24.8,23.1,44.7,115.4,52.7,17.5,31.3,41.1,7.5,4.0,143.5,88.44999999999999,82.6,86.5,84.72727272727272,109.45,96.1,105.0,100.95454545454544,20221113,91.7,109.9,-18.200000000000003,95.0,109.3,-14.299999999999995,90.8144,109.435,-18.6207,72.365,8.217792160184914,145.76437008933738,72.50067150782361,7.344391448964643,151.81099038927067,6.807736873255813,151.81099038927067,7.344391448964643,151.81099038927067,6.807736873255813,135.18283141856253,-0.5947212700943396,94.8489,107.978,-13.1292,70.4318,91.7,109.9,-18.200000000000003,95.0,109.3,-14.299999999999995,6.857644400020584,135.2330170133712,0,98.18218601,106.8750519,-8.692865890000007,-12.61778738,94.07768089,109.1464426,-15.068761710000004,-11.58378064,2022-11-13,153.86677365895744,2.534032441536297,153.86677365895744,8.22795620807991,153.86677365895744,4.055633333333333,0.0,4.055633333333333,-9.3793,-3.758200000000002,5.621099999999998,5.621099999999998,-9.3793,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.35161929169946593,0.5225840630388974,0.12069999999999936,,5.121099999999998,-1.879100000000001,5.621099999999998,1,1.0,-1,-1,1,-1,3.0,0.0
-11.5,-23,-21.86666666666667,-20.200000000000003,-17.567768595041322,73.3,83.39999999999999,96.9,105.26666666666668,Wed 11-16 11-16,H,307 (Ⅳ),Cal St. Bakersfield,"L, 52-43",59,73.5,40.2,30.8,27.3,19.6,88.9,41.2,17.1,25.0,19.6,-36.5,-2.5,131.5,80.875,88.44999999999999,82.1,82.6495867768595,103.175,109.45,102.3,100.2173553719008,20221116,92.1,111.2,-19.10000000000001,90.8,104.0,-13.200000000000005,91.6602,110.338,-18.6777,71.4985,2.500381958458064,134.15281449366654,68.41450424537697,-0.2259460769169408,137.77909140313307,-8.647024779521594,137.77909140313307,-0.2259460769169408,137.77909140313307,-8.647024779521594,124.2437165741543,1.0982868690225658,93.5683,102.603,-9.03468,67.2677,92.1,111.2,-19.10000000000001,90.8,104.0,-13.200000000000005,-8.544225649258498,124.21998203332497,0,94.54490137,95.91037661,-1.365475239999995,-4.110152226,95.148004,89.65265161,5.495352389999994,5.937725234,2022-11-16,123.22290591287208,4.941094882387375,123.22290591287208,2.013986175975397,123.22290591287208,-0.12069999999999936,0.12069999999999936,0.0,-4.3222999999999985,-8.0805,2.4946666666666655,-3.758200000000002,-10.575166666666666,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.5940963859982835,0.4583471035365152,-1.5223000000000013,-3.188966666666669,0.12069999999999936,-2.6935000000000002,-1.879100000000001,-1,1.0,-1,-1,-1,-3,-1.0,3.0
-6.0,-20,-24.066666666666663,-20.166666666666668,-18.028174305033808,102.7,90.1,122.8,114.16666666666669,Sat 11-19 11-19,H,168 (Ⅳ),Utah Tech,"L, 81-71",66,106.8,57.7,18.1,19.2,28.8,121.9,59.0,21.1,37.9,58.0,5.5,4.0,146.5,91.7875,80.875,88.96666666666667,86.29511645379412,112.9875,103.175,109.13333333333335,104.32329075882792,20221119,90.9,110.6,-19.69999999999999,99.0,102.2,-3.200000000000003,90.0819,109.534,-19.4524,69.8461,4.540018332949472,141.6809514932959,71.3737723095306,7.980165106541236,147.45487624204026,11.174864067910407,147.45487624204026,7.980165106541236,147.45487624204026,11.174864067910407,142.61736890164931,-5.418498822971614,96.6728,104.244,-7.57127,71.8376,90.9,110.6,-19.69999999999999,99.0,102.2,-3.200000000000003,11.077078340307601,142.51368959551067,0,94.54490137,95.91037661,-1.365475239999995,-4.110152226,104.7420362,108.102358,-3.360321799999994,-2.454616157,2022-11-19,148.02693589187083,-0.7512497605400199,148.02693589187083,11.472778240722242,148.02693589187083,7.485052629629638,-2.08186666666667,5.403185962962968,-0.5475999999999992,-8.6281,-1.0303888888888897,-8.0805,-7.59771111111111,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.35161929169946593,0.6970893853426593,-0.714266666666667,-4.614266666666662,-1.5223000000000013,-2.157025000000001,-2.6935000000000002,-1,-1.0,-1,-1,-1,-3,-3.0,-1.0
-3.5,-30,-24.666666666666668,-23.544444444444444,-20.259415340482207,117.3,97.76666666666664,147.6,122.43333333333332,Wed 11-23 11-23,A,324 (Ⅳ),Cal Poly,"L, 82-71",61,116.7,61.0,16.4,24.0,26.0,134.8,63.7,11.5,26.1,39.2,25.5,7.5,127.5,104.54375,91.7875,98.41111111111113,91.93236800764971,130.29375,112.9875,121.95555555555558,112.19178334813192,20221123,92.4,112.3,-19.89999999999999,94.6,100.9,-6.300000000000011,91.7436,111.61,-19.8669,67.8112,10.535032838694313,129.51780576485172,65.92898101621621,12.566412699269215,135.094597915112,-0.2578201435527082,135.094597915112,12.566412699269215,135.094597915112,-0.2578201435527082,115.98906277447361,-7.436113848119092,93.0192,101.675,-8.65568,68.3487,92.4,112.3,-19.89999999999999,94.6,100.9,-6.300000000000011,-0.12944831555707761,115.69216096361906,0,102.6240097,106.4975042,-3.8734944999999925,-5.287291699,92.16036135,112.1747792,-20.01441785,-14.69868946,2022-11-23,143.856270151278,-4.543298926895332,143.856270151278,1.082035226968948,143.856270151278,-12.042878333333324,-2.121056666666668,-14.163934999999992,-10.133099999999999,-18.7612,-3.5629592592592596,-8.6281,-15.19824074074074,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.23752526202697655,0.760589876366496,-3.677544444444443,-4.799766666666667,-0.714266666666667,-3.7522400000000005,-2.157025000000001,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
16.5,7,-14.466666666666663,-13.362962962962964,-15.303158005849076,120.0,113.33333333333331,113.0,127.8,Fri 11-25 11-25,A,192 (Ⅲ),Pacific,"W, 84-81",69,121.8,60.3,14.5,31.0,32.8,117.5,53.5,13.1,25.8,43.9,18.5,13.5,146.5,112.271875,104.54375,105.60740740740742,97.03557382444068,121.646875,130.29375,118.9703703703704,112.33873183028976,20221125,94.3,114.3,-20.0,102.2,105.5,-3.299999999999997,93.4908,113.386,-19.8952,66.4429,15.133382073161997,143.39696912676465,67.21979991180655,16.10853367900485,149.34167134742881,22.468842163598275,149.34167134742881,16.10853367900485,149.34167134742881,22.468842163598275,153.93527932528974,5.409002116625459,101.652,105.492,-3.83942,71.122,94.3,114.3,-20.0,102.2,105.5,-3.299999999999997,22.297769755099495,154.0264738313987,0,106.4426745,106.9279745,-0.4853000000000094,-3.63631113,105.0810633,104.0516068,1.029456499999995,-9.159402712,2022-11-25,153.73342686615155,-1.9508742582219583,153.73342686615155,15.33054420027208,153.73342686615155,3.4550903738976504,-3.109802222222193,0.34528815167545757,26.8952,8.134,-8.62903950617284,-18.7612,16.763039506172838,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.09927139684333097,0.30322652778200343,6.532237037037035,5.428533333333336,-3.677544444444443,1.355666666666668,-3.7522400000000005,1,-1.0,1,1,-1,3,-3.0,-3.0
39.5,22,-0.1666666666666666,-1.3086419753086451,-8.3753110956947,103.6,113.63333333333333,80.8,113.8,Fri 12-02 12-02,H,282 (Ⅳ),Northern Illinois,"W, 84-47",71,118.9,65.2,22.6,19.2,21.4,66.5,36.1,22.6,20.0,25.9,-14.0,2.5,145.0,107.9359375,112.271875,104.9382716049383,98.22910585636056,101.2234375,121.646875,106.24691358024694,106.60441695205525,20221202,96.3,114.4,-18.10000000000001,95.5,104.0,-8.5,95.7888,113.677,-17.8878,65.1529,2.286531487841742,137.39269871095615,64.91684817027027,2.1563016155316603,139.28708200841436,1.7783999749486488,139.28708200841436,2.1563016155316603,139.28708200841436,1.7783999749486488,145.91928809232056,-2.992564983946508,97.8327,106.185,-8.3519,70.0453,96.3,114.4,-18.10000000000001,95.5,104.0,-8.5,1.1703379261990885,137.43722305896347,0,108.5949595,105.9636193,2.631340199999997,0.331946784,103.6888302,99.69107727,3.9977529300000043,0.495381363,2022-12-02,145.23919934553498,-1.7190942262592301,145.23919934553498,6.439140753744255,145.23919934553498,2.1100661463844874,4.9369268518518155,7.046992998236303,39.8878,48.0218,-3.041359670781894,8.134,51.06315967078189,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,3,0.4059036140017165,0.6121802998034527,16.579158024691353,17.72113333333333,6.532237037037035,6.86025714285714,1.355666666666668,1,1.0,1,1,1,3,3.0,-3.0
6.5,-5,8.166666666666666,-2.6390946502057626,-7.816163623750208,100.4,108.0,105.7,99.83333333333331,Tue 12-06 12-06,H,298 (Ⅳ),North Dakota,"W, 76-66",68,111.7,54.7,11.8,15.2,45.3,97.0,51.7,20.6,27.0,24.1,2.5,-3.5,139.5,104.16796875,107.9359375,103.4255144032922,98.6238138824768,103.46171875,101.2234375,106.06460905349796,106.439977506227,20221206,97.4,112.2,-14.799999999999995,98.3,109.5,-11.200000000000005,97.2298,111.436,-14.2066,65.1397,-2.3840648176229706,130.4525836780872,60.83955320398293,-1.5220073919853547,135.61226559171013,0.20005493214788936,135.61226559171013,-1.5220073919853547,135.61226559171013,0.20005493214788936,133.9213341617287,-9.410918833877147,97.6367,109.747,-12.1106,65.6592,97.4,112.2,-14.799999999999995,98.3,109.5,-11.200000000000005,-1.3390145108438585,133.15212720423304,0,108.0089525,102.068771,5.940181500000008,7.425500683,98.70824342,101.7519748,-3.043731379999997,0.016397322,2022-12-06,131.89993917705635,-6.274559515911136,131.89993917705635,-0.032848302746991465,131.89993917705635,-4.387959435619496,15.588529659024088,11.200570223404592,9.2066,57.2284,13.97969355281207,48.0218,43.24870644718793,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,3,0.6305586598182363,0.8149478427983439,11.567505349794237,22.373266666666666,16.579158024691353,7.153549999999999,6.86025714285714,1,1.0,1,1,1,3,3.0,3.0
4.0,-12,1.600000000000004,-5.992729766803837,-8.70413387397744,107.9,103.96666666666664,120.6,102.36666666666667,Sun 12-11 12-11,H,189 (Ⅲ),UC Riverside,"L, 76-74",65,113.6,60.5,16.9,12.0,72.1,116.6,55.9,10.7,26.5,27.1,13.0,6.0,137.0,106.033984375,104.16796875,104.91700960219482,100.31039317657194,112.030859375,103.46171875,110.90973936899866,109.01452705054936,20221211,98.2,112.0,-13.799999999999995,101.2,100.8,0.4000000000000057,98.1264,111.396,-13.2695,65.8609,4.184195210926404,134.61552877601684,63.47866534110953,5.483258652343025,138.10407056342592,2.546353385552032,138.10407056342592,5.483258652343025,138.10407056342592,2.546353385552032,141.72670302870708,-8.610300908948716,101.455,102.336,-0.880359,67.7572,98.2,112.0,-13.799999999999995,101.2,100.8,0.4000000000000057,5.671630962467346,135.00074611572475,0,107.5110435,102.0429281,5.468115400000002,7.087779488,97.98644636,99.89259395,-1.9061475900000033,1.117886967,2022-12-11,135.27818092011694,-5.639934589852267,135.27818092011694,0.5402103926121811,135.27818092011694,-10.863447564569832,16.29527369684497,5.431826132275138,1.2695000000000007,58.4979,28.395929035208045,57.2284,30.101970964791956,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.2838545830986763,0.793900114888777,7.276770233196164,14.869500000000006,11.567505349794237,6.499766666666664,7.153549999999999,1,1.0,1,1,1,3,3.0,3.0
8.0,-12,-10.033333333333326,-8.028486511202557,-9.321564078708812,115.9,108.06666666666668,128.0,118.09999999999998,Mon 12-19 12-19,A,322 (Ⅳ),Cal St. Northridge,"W, 76-73",63,120.1,53.0,12.6,21.4,50.0,115.4,56.4,20.5,41.4,25.5,14.5,5.0,134.5,110.9669921875,106.033984375,108.57800640146324,103.14486714446797,120.0154296875,112.030859375,116.60649291266576,112.46643122317676,20221219,98.6,111.7,-13.100000000000009,94.9,106.2,-11.299999999999995,98.3057,111.243,-12.9376,66.6264,4.07199819848158,130.771208094906,62.465614491038416,4.612283705170242,135.2135302712099,-3.5121336708374815,135.2135302712099,4.612283705170242,135.2135302712099,-3.5121336708374815,141.18510924619457,0.43116557495879704,94.8365,106.644,-11.8072,65.9098,98.6,111.7,-13.100000000000009,94.9,106.2,-11.299999999999995,3.885845641370355,130.04768510867044,0,106.8339048,102.8891581,3.944746699999996,6.222111213,94.84839564,95.96071535,-1.1123197099999942,-1.326671083,2022-12-19,128.29521949044562,-2.9235445074086,128.29521949044562,-4.9852879268320365,128.29521949044562,-12.096749806293372,13.207958562580526,1.1112087562871533,0.9375999999999998,59.435500000000005,38.429919356805364,58.4979,21.00558064319464,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.31696934194067294,0.4836226810207034,4.909113488797443,2.9042666666666737,7.276770233196164,5.94355,6.499766666666664,1,1.0,1,1,1,3,3.0,3.0
