ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
-1.5,12,,12.5,12.5,102.2,0.0,89.7,0.0,Mon 11-07 11-07,H,347 (Ⅳ),Eastern Illinois,"W, 87-57",76,114.3,53.9,19.7,50.0,51.6,74.9,37.5,23.7,23.3,33.3,10.0,-31.5,134.0,102.2,0.0,102.2,102.2,89.7,0.0,89.7,89.7,20221107,108.7,90.1,18.6,88.0,103.0,-15.0,107.283,89.6893,17.5938,72.842,-30.32986598076026,139.81733533780726,73.70470624751066,-28.65055975544812,144.7815436565973,-22.814167147583586,144.7815436565973,-28.65055975544812,144.7815436565973,-22.814167147583586,135.63102809369406,-24.42405494855374,85.6073,105.162,-19.5549,71.1326,108.7,90.1,18.6,88.0,103.0,-15.0,-22.814167147583586,135.63102809369406,0,110.2999962,96.58302322,13.716972979999994,20.90812049,85.75637101,99.59153788,-13.835166870000009,-10.16996071,2022-11-07,145.73719173167717,-25.080543638464462,145.73719173167717,-26.865660246042623,145.73719173167717,0.0,0.0,0.0,-5.593800000000002,-5.593800000000002,0.0,0.0,-5.593800000000002,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9986501019683699,0.9899934042889108,-5.093800000000002,,0.0,-5.593800000000002,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
12.5,25,,16.9,14.9,104.3,0.0,78.6,0.0,Fri 11-11 11-11,H,294 (Ⅳ),UMKC,"W, 86-48",75,114.9,53.1,14.7,35.9,40.6,64.1,33.6,32.1,34.1,10.9,-7.5,-25.5,141.5,103.25,102.2,102.9,102.58181818181818,84.15,89.7,86.0,87.68181818181819,20221111,109.3,90.7,18.599999999999994,89.2,101.7,-12.5,107.495,89.9012,17.5939,72.8595,-23.943528775385168,145.15263634479328,74.59310008036984,-27.159974048700363,147.04903348066642,-21.9027584678999,147.04903348066642,-27.159974048700363,147.04903348066642,-21.9027584678999,134.39657211867785,-15.775945383948013,93.4229,103.064,-9.64066,71.9727,109.3,90.7,18.599999999999994,89.2,101.7,-12.5,-21.9027584678999,134.39657211867785,0,110.2999962,96.58302322,13.716972979999994,20.90812049,97.48320084,98.96346802,-1.4802671799999985,-1.750300992,2022-11-11,155.29643375419045,-19.190291575549665,155.29643375419045,-25.35076343471401,155.29643375419045,0.0,0.0,0.0,7.406099999999999,1.812299999999997,-5.593800000000002,-5.593800000000002,7.406099999999999,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.9924207805612802,0.9335122425807763,-0.6939000000000028,,-5.093800000000002,0.9061499999999967,-5.593800000000002,-1,-1.0,1,1,-1,1,-3.0,0.0
10.0,27,22.03333333333333,20.56666666666667,17.263636363636365,123.0,109.83333333333331,95.1,87.8,Mon 11-14 11-14,H,355 (Ⅳ),Monmouth,"W, 103-65",79,130.9,71.0,22.9,40.7,32.3,82.6,49.0,30.5,17.2,46.9,25.5,-28.0,142.5,113.125,103.25,109.6,106.29421487603304,89.625,84.15,89.03333333333333,89.03057851239669,20221114,109.8,91.1,18.700000000000003,90.7,105.4,-14.700000000000005,108.275,90.0659,18.2086,72.4526,-23.08610292128091,143.82879726666388,73.91226738805122,-29.20317061253244,150.55753256033336,-36.79534819658218,150.55753256033336,-29.20317061253244,150.55753256033336,-36.79534819658218,138.19580612878264,-6.846881097622003,93.7489,101.932,-8.18295,71.7163,109.8,91.1,18.700000000000003,90.7,105.4,-14.700000000000005,-36.638072531441516,138.07359129128844,0,110.2999962,96.58302322,13.716972979999994,20.90812049,103.2287727,93.46082285,9.767949849999994,6.404498876,2022-11-14,153.2772938675159,-13.072122342747008,153.2772938675159,-33.19789199672291,153.2772938675159,-17.381313333333324,-0.6939000000000028,-18.075213333333327,8.7914,10.603699999999996,-3.1251000000000024,1.812299999999997,13.7288,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,-3,0.9961696194324102,0.7428264797186034,2.3580666666666694,3.824733333333331,-0.6939000000000028,3.534566666666663,0.9061499999999967,1,-1.0,1,1,1,3,1.0,-3.0
12.5,31,28.26666666666667,24.111111111111114,19.797520661157023,117.9,115.06666666666668,86.7,86.8,Fri 11-18 11-18,N,3 (I-A),UCLA,"W, 79-70",77,102.8,64.7,27.3,17.9,37.3,91.1,43.8,19.5,32.7,19.4,4.5,3.5,144.5,115.5125,113.125,112.36666666666667,108.4043576258452,88.1625,89.625,88.25555555555556,88.6068369646882,20221118,110.4,91.3,19.10000000000001,112.9,90.6,22.30000000000001,109.286,90.4519,18.8342,73.1328,3.660388905475685,146.13391606093134,72.86086665832148,2.275844834837514,151.286064720316,3.5701250257954116,151.286064720316,2.275844834837514,151.286064720316,3.5701250257954116,141.00616691251554,7.618671505993305,114.214,89.9107,24.3037,70.0386,110.4,91.3,19.10000000000001,112.9,90.6,22.30000000000001,3.8301627982086064,140.97815163379158,0,106.098332,93.88094703,12.217384969999998,11.38056464,107.9971823,85.92103373,22.07614857,25.97728363,2022-11-18,143.42713453874592,10.635295959793794,143.42713453874592,4.24077229457599,143.42713453874592,0.5622370370370326,2.5827222222222197,3.1449592592592523,12.1658,22.769499999999997,1.4511666666666634,10.603699999999996,21.318333333333335,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.36944134018176367,0.2340457626910024,5.276911111111115,9.43246666666667,2.3580666666666694,5.692374999999998,3.534566666666663,1,1.0,1,1,1,3,3.0,1.0
-11.5,8,22.66666666666667,19.04074074074075,17.816153268219388,105.7,115.53333333333336,96.8,92.86666666666666,Sun 11-20 11-20,N,23 (I-A),Virginia,"L, 70-61",66,92.8,48.3,19.8,28.2,15.3,106.5,46.9,18.3,28.1,66.7,-1.5,-2.5,132.5,110.60625,115.5125,110.14444444444446,107.91265623932787,92.48125,88.1625,91.10370370370372,90.09650297110852,20221120,111.2,91.5,19.700000000000003,111.4,92.1,19.30000000000001,109.614,89.3978,20.216,74.1614,3.6630129710979418,132.02361073643166,66.15492259687055,-0.32836431364582097,138.57909894492167,0.43593000179037283,138.57909894492167,-0.32836431364582097,138.57909894492167,0.43593000179037283,146.77746254901484,7.682030105481502,115.288,88.9487,26.3398,62.7104,111.2,91.5,19.700000000000003,111.4,92.1,19.30000000000001,0.5091866849496247,146.9277127008209,0,101.2077078,94.06735742,7.140350380000001,8.983650443,115.4764209,96.1367853,19.339635599999994,20.75405092,2022-11-20,139.648727276866,7.786699324901036,139.648727276866,1.696751255493794,139.648727276866,-4.147775185185193,5.586434444444446,1.4386592592592535,-12.216000000000001,10.553499999999996,8.557277777777774,22.769499999999997,1.9962222222222223,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.5940963859982835,0.2321996842350862,-1.1752592592592528,2.4506666666666703,5.276911111111115,2.1107000000000014,5.692374999999998,-1,1.0,1,1,1,1,3.0,3.0
0.0,22,20.933333333333337,20.260493827160506,18.704125401270407,109.3,110.96666666666664,86.6,90.03333333333335,Fri 11-25 11-25,H,345 (Ⅳ),Lindenwood,"W, 92-59",77,119.4,66.9,28.6,42.3,17.7,76.6,45.7,28.6,20.6,10.3,3.0,-33.0,148.0,109.953125,110.60625,109.86296296296295,108.16490055945007,89.54062499999999,92.48125,89.60246913580248,89.4607751581797,20221125,110.9,91.5,19.40000000000001,89.0,109.0,-20.0,110.279,90.2914,19.9876,73.7081,-30.887400262603627,151.1594522328541,73.22370252916072,-33.77101091072137,152.28880789586552,-23.69941902821111,152.28880789586552,-33.77101091072137,152.28880789586552,-23.69941902821111,145.09544094869688,-10.751970520506404,94.0262,110.179,-16.1529,69.838,110.9,91.5,19.40000000000001,89.0,109.0,-20.0,-25.561456161057418,143.11254155360848,0,103.3877024,91.4041473,11.98355509999999,14.16712564,101.9138229,98.70689655,3.2069263500000034,1.267928288,2022-11-25,146.32442653896797,-11.653763220122713,146.32442653896797,-20.657657028948265,146.32442653896797,11.722534341563815,-0.22362677248677088,11.498907569077044,2.0123999999999995,12.565899999999996,9.222685185185181,10.553499999999996,3.3432148148148144,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.9991634626389239,0.8470816994962427,0.27289382716050525,0.9457333333333366,-1.1752592592592528,2.094316666666664,2.1107000000000014,1,-1.0,1,1,1,3,1.0,3.0
16.0,27,19.733333333333334,22.706995884773672,20.32155714649397,99.4,104.8,71.8,85.06666666666666,Tue 11-29 11-29,H,115 (Ⅲ),Syracuse,"W, 73-44",67,108.5,44.0,10.4,36.2,32.8,65.4,32.4,25.3,29.3,31.5,-28.0,-13.0,145.0,104.6765625,109.953125,106.37530864197532,106.5712822759137,80.6703125,89.54062499999999,83.66831275720165,86.24972512941974,20221129,110.6,91.2,19.39999999999999,107.2,99.7,7.5,110.199,90.2081,19.9912,73.4359,-10.47909853632558,138.9297428450588,67.88966148705548,-12.746496735435286,144.9431085695287,-19.494845582616584,144.9431085695287,-12.746496735435286,144.9431085695287,-19.494845582616584,136.27950105634878,-12.81487706470287,108.41,97.6012,10.8084,64.9906,110.6,91.2,19.39999999999999,107.2,99.7,7.5,-17.512304972754485,138.13408905954685,0,103.2230808,91.70706349,11.51601731000001,14.33396021,97.29644812,99.09625006,-1.799801940000009,-2.707191071,2022-11-29,133.46575164235577,-13.580597678750337,133.46575164235577,-14.128381692703968,133.46575164235577,-9.837824485596723,-0.9618836419752732,-10.799708127571996,7.008800000000001,19.574699999999996,10.337090123456786,12.565899999999996,9.23760987654321,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,-3,0.8921596253194927,0.8888555770611213,2.715795884773673,-0.2578666666666649,0.27289382716050525,2.796385714285716,2.094316666666664,1,1.0,1,1,1,3,3.0,1.0
-4.0,9,20.03333333333333,18.404663923182447,18.408546756222336,113.8,107.5,104.0,87.46666666666665,Fri 12-02 12-02,A,31 (I-A),Maryland,"L, 71-66",64,103.7,48.4,18.8,38.2,13.1,111.5,52.8,17.3,33.3,33.3,-8.5,1.0,145.5,109.23828125,104.6765625,108.85020576131689,107.88559458938391,92.33515625,80.6703125,90.44554183813445,89.4770478331616,20221202,109.8,89.8,20.0,112.7,93.0,19.700000000000003,110.125,88.5477,21.5775,73.123,2.792320252983245,140.94598529179405,70.15428941251778,3.4342157538336693,145.98355431672445,4.675492631747811,145.98355431672445,3.4342157538336693,145.98355431672445,4.675492631747811,142.52795983822182,8.940405865598969,113.084,92.4282,20.6558,67.4459,109.8,89.8,20.0,112.7,93.0,19.700000000000003,4.233991005604042,136.3626179920759,0,100.634806,89.50941525,11.125390749999994,16.41265186,107.7549782,88.63514193,19.119836269999993,25.00077883,2022-12-02,133.45896196283667,8.396005725505589,133.45896196283667,2.490008809012906,133.45896196283667,0.1698338689660055,0.6864227023319636,0.8562565712979691,-12.5775,6.997199999999996,13.416293415637856,19.574699999999996,-6.41909341563786,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.46206285593374585,0.1972549310401921,-3.1728360768175534,-1.5441666666666691,2.715795884773673,0.874649999999999,2.796385714285716,-1,1.0,-1,1,1,-1,3.0,3.0
10.0,22,19.933333333333334,19.73644261545496,19.134265527818272,111.8,108.33333333333331,89.4,88.40000000000002,Tue 12-06 12-06,N,15 (I-A),Texas,"W, 85-78 OT",80,105.8,53.3,21.2,27.0,51.7,97.0,47.1,17.4,28.9,27.5,21.0,3.0,142.0,110.519140625,109.23828125,109.8334705075446,108.5973046640414,90.867578125,92.33515625,90.09702789208964,89.46303913622313,20221206,110.4,90.6,19.80000000000001,112.2,88.5,23.700000000000003,111.033,89.6652,21.3673,72.4047,5.200728542805592,138.38863165778537,70.58778490369845,2.852374926782929,143.9890303741651,11.830148320227273,143.9890303741651,2.852374926782929,143.9890303741651,11.830148320227273,124.48334469612716,12.69918398585613,114.0,85.3924,28.608,68.5359,110.4,90.6,19.80000000000001,112.2,88.5,23.700000000000003,8.975920491446137,127.10108701011606,0,102.5373327,93.41122631,9.12610638999999,12.94388191,104.8702723,78.38920527,26.48106702999999,21.67358291,2022-12-06,128.80814931296536,6.162102564616006,128.80814931296536,8.296759202427523,128.80814931296536,3.5082457704618264,-2.7081059556469924,0.800139814814834,0.6326999999999998,7.629899999999996,11.276595610425236,6.997199999999996,-3.6466956104252404,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.38754848109799234,0.11324575457157704,-1.6308573845450418,-1.4339666666666666,-3.1728360768175534,0.847766666666665,0.874649999999999,-1,-1.0,-1,1,1,-1,-1.0,3.0
-25.5,-8,7.999999999999996,10.424295076969974,14.164399068214948,95.1,106.9,103.3,98.9,Sat 12-10 12-10,H,54 (Ⅱ),Penn St.,"L, 74-59",64,92.6,51.0,18.8,23.3,23.1,116.1,61.1,14.1,10.7,18.5,-6.0,-10.5,139.0,102.8095703125,110.519140625,104.9223136716964,106.1432492705793,97.0837890625,90.867578125,94.49801859472645,91.97885020236436,20221210,111.5,90.9,20.599999999999994,108.6,95.5,13.099999999999994,112.012,89.4351,22.577,72.1431,-9.576679396290558,138.1638330953375,67.61737759160741,-9.360052371486816,142.32254009047801,-9.299907704963157,142.32254009047801,-9.360052371486816,142.32254009047801,-9.299907704963157,132.63743524086004,-6.2931981576065255,109.904,95.3316,14.5721,65.8899,111.5,90.9,20.599999999999994,108.6,95.5,13.099999999999994,-9.358286037724437,137.2646095455185,0,103.6369559,94.56205479,9.074901109999999,11.96449897,103.3132035,97.65816648,5.655037019999995,4.348326362,2022-12-10,137.87873375280674,-7.197567028753312,137.87873375280674,-6.463859949827224,137.87873375280674,-0.9503887361035872,-3.2861468049493645,-4.236535541052952,-30.577,-22.947100000000006,10.061030406950156,7.629899999999996,-33.00813040695016,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.8413447460685429,0.7255309792399363,-12.152704923030027,-14.577000000000005,-1.6308573845450418,-2.294710000000002,0.847766666666665,-1,-1.0,-1,-1,1,-3,-1.0,-1.0
