ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
22.5,22,,22.700000000000003,22.700000000000003,98.3,0.0,75.6,0.0,Mon 11-07 11-07,H,362 (Ⅳ),IUPUI,"W, 88-39",72,122.6,56.5,19.5,45.5,37.1,54.3,35.7,40.4,21.2,38.1,-4.0,-26.5,131.0,98.3,0.0,98.3,98.3,75.6,0.0,75.6,75.6,20221107,102.2,88.7,13.5,87.3,108.9,-21.6,103.348,90.3552,12.9931,71.8119,-31.730011689079056,130.63255182196434,70.28301136941677,-28.159304892223503,136.4501803386401,-35.91151837815681,136.4501803386401,-28.159304892223503,136.4501803386401,-35.91151837815681,115.06693619089314,-29.605824136181567,80.4982,109.243,-28.7451,68.8033,102.2,88.7,13.5,87.3,108.9,-21.6,-35.91151837815681,115.06693619089314,0,101.8793587,85.0316706,16.8476881,16.83608016,81.30858796,103.4622587,-22.15367074000001,-25.27514645,2022-11-07,126.29350240084572,-31.481925285569808,126.29350240084572,-26.557560374116044,126.29350240084572,0.0,0.0,0.0,9.0069,9.0069,0.0,0.0,9.0069,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9941954594266154,0.9975958399082246,9.706900000000003,,0.0,9.0069,0.0,1,0.0,1,1,1,3,0.0,0.0
18.0,35,,26.800000000000004,24.93636363636364,104.2,0.0,69.2,0.0,Sun 11-13 11-13,H,277 (Ⅳ),North Carolina A&T,"W, 80-43",68,118.4,51.5,16.3,45.9,19.1,63.6,31.4,28.1,15.6,48.8,-13.5,-19.0,136.5,101.25,98.3,100.26666666666668,99.37272727272727,72.4,75.6,73.46666666666667,74.43636363636362,20221113,103.3,89.8,13.5,96.1,100.4,-4.300000000000011,104.301,91.3102,12.9903,71.2579,-19.992949756824153,143.21346275183126,73.56227709615933,-17.09671436358559,143.25695979387854,-35.01905056638498,143.25695979387854,-17.09671436358559,143.25695979387854,-35.01905056638498,136.91213345721056,-20.748442307272775,94.818,103.957,-9.13888,72.5734,103.3,89.8,13.5,96.1,100.4,-4.300000000000011,-35.01905056638498,136.91213345721056,0,101.8793587,85.0316706,16.8476881,16.83608016,96.63032847,102.6022465,-5.971918030000012,-7.011573892,2022-11-13,140.8688972375132,-19.703800940696908,140.8688972375132,-15.248577294708667,140.8688972375132,0.0,0.0,0.0,22.009700000000002,31.016600000000004,9.0069,9.0069,22.009700000000002,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,3,0.9648151676951044,0.9759249967857642,13.809700000000005,,9.706900000000003,15.5083,9.0069,1,1.0,1,1,1,3,3.0,0.0
-8.5,23,26.9,25.53333333333334,24.584297520661156,98.3,100.26666666666668,75.3,73.36666666666666,Sun 11-20 11-20,H,182 (Ⅲ),Milwaukee,"W, 68-53",71,96.0,43.3,19.8,38.6,22.4,74.8,47.7,38.1,27.6,41.9,-13.5,-23.5,134.5,99.775,101.25,99.61111111111111,99.17768595041322,73.85,72.4,74.07777777777778,74.59338842975205,20221120,104.8,89.7,15.099999999999994,95.2,104.7,-9.5,104.926,90.8442,14.0813,70.1559,-23.29017753836436,139.06706580131527,72.04162672318634,-21.954137195429773,144.28135745520498,-29.447087019278133,144.28135745520498,-21.954137195429773,144.28135745520498,-29.447087019278133,111.42980565931649,-17.15951904594567,91.4373,104.97,-13.5323,72.1896,104.8,89.7,15.099999999999994,95.2,104.7,-9.5,-29.508779373474418,111.42558386136896,0,100.1283151,83.06695031,17.06136479,22.42078987,90.61038159,93.70033287,-3.089951279999994,-1.62382163,2022-11-20,124.97967140438314,-19.549049451328344,124.97967140438314,-28.34276086868941,124.97967140438314,-13.8097,13.8097,0.0,8.9187,39.935300000000005,16.343466666666668,31.016600000000004,23.591833333333337,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,3,0.9873925774343177,0.9488957571616925,11.452033333333338,12.818699999999998,13.809700000000005,13.311766666666667,15.5083,1,1.0,1,1,1,3,3.0,3.0
3.5,13,23.666666666666668,21.35555555555556,22.478061607813668,107.0,103.16666666666669,94.0,79.5,Thu 11-24 11-24,N,91 (Ⅱ),Villanova,"W, 81-79 OT",77,105.2,51.5,20.8,31.6,22.7,102.6,51.8,23.4,28.6,43.9,34.0,1.5,126.0,103.3875,99.775,102.0740740740741,100.5999248685199,83.925,73.85,80.71851851851852,78.12186326070622,20221124,104.4,89.4,15.0,110.4,96.3,14.100000000000009,105.052,91.5462,13.5062,68.8363,1.7824516388324767,127.28164571264685,62.850381519772405,-1.187052356654462,128.56171932353783,-17.842286317462126,128.56171932353783,-1.187052356654462,128.56171932353783,-17.842286317462126,117.46080561436547,-5.7238330609762755,112.718,95.5135,17.2049,64.1868,104.4,89.4,15.0,110.4,96.3,14.100000000000009,-17.77862509722928,117.49028415683105,0,96.72755119,86.54598095,10.18157024,15.72297525,108.2385478,106.0157692,2.2227786000000123,-1.55362011,2022-11-24,126.6179955428821,-10.858406097387288,126.6179955428821,-16.778025736298652,126.6179955428821,-30.225535185185194,12.528777777777778,-17.696757407407414,-0.5061999999999998,39.429100000000005,24.207411111111114,39.935300000000005,15.221688888888892,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,3,0.4432015031835318,0.7071668985669327,7.849355555555562,10.160466666666668,11.452033333333338,9.857275,13.311766666666667,1,1.0,1,1,1,3,3.0,3.0
10.5,17,17.766666666666666,20.003703703703707,21.53659586093845,111.3,105.53333333333336,94.0,87.76666666666667,Fri 11-25 11-25,N,34 (I),North Carolina,"W, 70-65",64,109.4,51.8,15.6,29.4,26.3,101.6,47.0,21.9,38.7,50.0,-5.0,5.5,140.0,107.34375,103.3875,105.1493827160494,102.54539307424356,88.9625,83.925,85.14567901234568,81.00879721330509,20221125,105.0,89.6,15.400000000000006,114.0,94.4,19.599999999999994,105.439,91.399,14.0396,69.6994,4.420768467224079,139.91426623138108,69.3038088108108,2.1454996800387107,142.79492314924403,-6.638282801157597,142.79492314924403,2.1454996800387107,142.79492314924403,-6.638282801157597,132.63640913651628,-5.602365397146073,114.501,93.1743,21.3268,69.901,105.0,89.6,15.400000000000006,114.0,94.4,19.599999999999994,-6.648361250662724,132.64135186347298,0,99.92142717,85.54029195,14.381135220000004,21.54807615,106.6788134,99.22765484,7.451158559999996,5.543237877,2022-11-25,135.08918601321784,-11.091962517199391,135.08918601321784,-4.439990680448801,135.08918601321784,-14.104610846560853,9.514952222222231,-4.589658624338622,2.9604,42.389500000000005,29.281307407407414,39.429100000000005,13.10819259259259,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.30020551430745246,0.7031765243211805,5.964103703703707,3.7270666666666656,7.849355555555562,8.4779,9.857275,1,1.0,1,1,1,3,3.0,3.0
-12.5,2,11.0,14.235802469135807,18.111760249858737,99.2,105.83333333333331,96.5,94.83333333333331,Sun 11-27 11-27,N,4 (I-A),Connecticut,"L, 71-53",63,83.7,43.5,19.0,20.6,18.5,112.1,48.1,30.0,63.6,47.2,-10.0,5.5,134.0,103.271875,107.34375,103.16625514403296,101.93713978801745,92.73125,88.9625,88.93045267489713,83.8253795381587,20221127,105.4,89.6,15.800000000000011,110.7,92.1,18.60000000000001,106.549,91.4353,15.1139,68.031,6.220212278512776,133.3947044965079,67.27046567709816,1.4569543318233826,135.27426025937007,4.521894470679711,135.27426025937007,1.4569543318233826,135.27426025937007,4.521894470679711,124.4951493018206,4.189132526884734,114.059,89.1584,24.9007,69.5141,105.4,89.6,15.800000000000011,110.7,92.1,18.60000000000001,3.5856265122998696,122.66751218386507,0,99.30577883,85.23715741,14.06862142,21.33456441,108.2032503,86.7538996,21.449350699999997,22.33464999,2022-11-27,122.95060359617659,0.6727622268355162,122.95060359617659,9.417715792753597,122.95060359617659,5.284405527467516,5.093686137566134,10.37809166503365,-13.1139,29.275600000000004,33.650704938271616,42.389500000000005,-4.375104938271612,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,-3,0.30020551430745246,0.3449594958844153,-0.8780975308641921,-4.113899999999999,5.964103703703707,4.879266666666668,8.4779,-1,1.0,-1,1,1,-1,3.0,3.0
-5.5,9,9.766666666666666,12.590534979423872,16.50962202261169,91.6,100.7,82.3,90.93333333333334,Wed 11-30 11-30,H,309 (Ⅳ),North Dakota,"W, 63-44",62,102.4,48.2,19.5,41.7,28.1,71.5,42.7,32.5,25.8,6.3,-26.0,-24.5,133.0,97.4359375,103.271875,99.31083676268864,100.05765982655971,87.515625,92.73125,86.72030178326474,83.54803780394802,20221130,104.8,90.1,14.700000000000005,98.1,110.1,-12.0,105.582,91.4024,14.1797,66.9422,-20.265788075051837,128.4057317627259,62.885388411664294,-21.11688997254106,132.07485185789403,-20.038771949441056,132.07485185789403,-21.11688997254106,132.07485185789403,-20.038771949441056,127.70646158732453,-11.806752839981897,97.2436,109.433,-12.1893,66.0397,104.8,90.1,14.700000000000005,98.1,110.1,-12.0,-21.39505552573949,125.16115388940686,0,99.1919855,89.3817031,9.810282400000006,16.60966125,98.71902906,102.0413159,-3.322286840000004,0.666574731,2022-11-30,122.57471688949926,-11.938761951201386,122.57471688949926,-9.760613678930369,122.57471688949926,17.022073157946267,-0.8798515432098526,16.142221614736414,-5.1797,24.095900000000004,32.192336625514415,29.275600000000004,-8.09643662551441,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.9901846713713547,0.8695894767765301,-1.5891650205761287,-4.413033333333335,-0.8780975308641921,3.442271428571427,4.879266666666668,-1,-1.0,-1,1,1,-1,-1.0,3.0
5.0,26,12.899999999999997,17.29368998628258,18.36241801850047,104.1,98.3,77.4,85.39999999999999,Sun 12-04 12-04,H,86 (Ⅲ),St. John's,"W, 71-60",73,97.8,47.3,16.5,27.8,50.0,82.7,38.7,27.6,29.7,47.2,-12.0,-6.0,143.0,100.76796875,97.4359375,100.90722450845912,100.79263076718522,82.4578125,87.515625,83.61353452217651,82.43021274868474,20221204,103.9,89.2,14.700000000000005,106.2,95.2,11.0,105.001,90.5953,14.4061,66.3923,-3.7132523451796544,138.69160626777634,70.90206544751065,-6.967572723793154,140.58003508970333,-6.450518596726836,140.58003508970333,-6.967572723793154,140.58003508970333,-6.450518596726836,128.4810108002478,-10.56657312137984,108.613,93.483,15.1305,75.0752,103.9,89.2,14.700000000000005,106.2,95.2,11.0,-11.59663989977369,134.9527603594892,0,97.85814968,86.45274893,11.405400749999998,15.68789907,101.5146757,99.27587281,2.2388028900000023,-0.444070384,2022-12-04,134.3507791107361,-13.57447202426097,134.3507791107361,-4.6654614888026344,134.3507791107361,-4.826268421625638,-3.3127774936311827,-8.13904591525682,11.5939,35.689800000000005,29.49352441700961,24.095900000000004,6.1962755829903955,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.7161454169013237,0.8428740488909239,2.8875899862825793,-1.5061000000000035,-1.5891650205761287,4.461225000000001,3.442271428571427,1,-1.0,1,1,1,3,-1.0,-1.0
-15.5,-20,5.066666666666663,4.595793324188389,11.241978378773112,79.0,91.56666666666666,99.8,86.5,Thu 12-08 12-08,A,47 (I-A),Iowa,"L, 75-56",68,82.1,43.2,22.0,24.3,11.9,110.0,62.5,26.4,25.9,39.6,-6.0,3.5,137.0,89.883984375,100.76796875,93.60481633897274,96.83033426406062,91.12890625,82.4578125,89.00902301478435,85.5883558852875,20221208,104.0,88.3,15.700000000000005,115.4,97.3,18.10000000000001,105.208,89.8718,15.336,66.3176,5.419827183159313,135.37420076917329,65.98525731891893,4.324582140081901,137.42477630425867,2.5789014493485856,137.42477630425867,4.324582140081901,137.42477630425867,2.5789014493485856,132.9839602892546,-1.6164491936580845,116.031,96.7559,19.275,69.9477,104.0,88.3,15.700000000000005,115.4,97.3,18.10000000000001,1.8800302475230555,127.56981794093433,0,98.16016992,85.46152887,12.698641050000006,17.22032996,105.7027149,99.83323708,5.86947782,8.642954006,2022-12-08,127.28059672351755,-3.5732930268629985,127.28059672351755,0.16217338045150598,127.28059672351755,-8.55358009830818,-0.683542432556008,-9.237122530864188,-35.336,0.3538000000000068,31.55894961133974,35.689800000000005,-31.205149611339735,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.36944134018176367,0.5611744512048795,-10.740206675811612,-10.269333333333337,2.8875899862825793,0.039311111111111074,4.461225000000001,-1,1.0,-1,1,1,-1,3.0,-1.0
10.5,28,11.433333333333328,12.530528882792256,14.361618673541637,99.6,94.23333333333332,71.2,82.8,Sun 12-11 12-11,H,298 (Ⅳ),McNeese St.,"W, 77-40",66,116.7,63.6,21.2,27.6,21.8,60.6,46.1,45.5,29.6,28.9,-12.0,-26.5,129.0,94.7419921875,89.883984375,95.60321089264848,97.33390985241324,81.164453125,91.12890625,83.07268200985624,82.97229117887159,20221211,102.8,89.1,13.700000000000005,94.8,111.3,-16.5,104.829,90.4766,14.3527,66.4484,-23.156968154021868,125.57033142588442,62.22869029701282,-22.70321215888434,127.6653992424118,-11.939752429293947,127.6653992424118,-22.70321215888434,127.6653992424118,-11.939752429293947,114.16956679134164,-16.082685781865216,94.0182,111.424,-17.4056,65.8357,102.8,89.1,13.700000000000005,94.8,111.3,-16.5,-21.48885585577297,115.33751059858683,0,96.42793156,88.49589075,7.932040810000004,13.45689626,91.79425866,105.0365917,-13.242333040000005,-21.79373089,2022-12-11,117.02783488346907,-23.605776283209906,117.02783488346907,-10.04395462678103,117.02783488346907,21.026091472336507,-7.994646669714985,13.031444802621522,13.6473,14.001100000000006,21.1572330742265,0.3538000000000068,-7.156133074226494,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.9941954594266154,0.9371998281728258,-1.8221711172077448,-2.919366666666672,-10.740206675811612,1.4001100000000015,0.039311111111111074,-1,-1.0,-1,1,1,-1,-1.0,3.0
