ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
8.0,-14,,-14.700000000000005,-14.700000000000005,73.6,0.0,88.3,0.0,Mon 11-07 11-07,A,180 (Ⅳ),Abilene Christian,"L, 65-56",75,74.6,41.8,28.0,22.2,25.5,86.6,47.4,20.0,15.4,35.1,-20.0,17.0,141.0,73.6,0.0,73.6,73.6,88.3,0.0,88.3,88.3,20221107,88.1,97.4,-9.3,99.4,93.5,5.9,89.2938,101.122,-11.8281,72.6181,16.17773779991615,139.76748851179954,76.27028427254623,15.157352424608128,139.8963340776461,14.814898333870785,139.8963340776461,15.157352424608128,139.8963340776461,14.814898333870785,100.93888608786025,8.947188689715773,98.8169,93.7968,5.02019,73.8356,88.1,97.4,-9.3,99.4,93.5,5.9,14.814898333870785,100.93888608786025,0,96.93492463,96.81344708,0.1214775499999945,-3.882219669,99.43962807,92.84520722,6.594420849999992,6.753222415,2022-11-07,145.23419181917805,10.27790597812195,145.23419181917805,13.692346513744596,145.23419181917805,0.0,0.0,0.0,-2.171900000000001,-2.171900000000001,0.0,0.0,-2.171900000000001,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,3,0.05271850889006269,0.19707563079490265,-2.8719000000000054,,0.0,-2.171900000000001,0.0,-1,0.0,-1,-1,1,-3,0.0,0.0
6.0,-10,,-13.400000000000006,-13.990909090909096,98.6,0.0,109.4,0.0,Sat 11-12 11-12,A,225 (Ⅲ),Tulsa,"L, 85-79",80,99.1,43.5,13.8,33.3,20.8,106.6,57.0,18.8,13.3,43.9,22.5,12.0,141.5,86.1,73.6,81.93333333333334,78.14545454545454,98.85,88.3,95.33333333333334,92.13636363636364,20221112,89.1,98.4,-9.300000000000011,98.6,98.5,0.0999999999999943,90.0768,101.95,-11.8729,72.8407,13.106300950808816,142.50797952822043,74.67446203214794,11.012680460911312,141.20412204005356,14.239808823070511,141.20412204005356,11.012680460911312,141.20412204005356,14.239808823070511,120.67904716392336,2.4077652541499646,99.8965,99.4345,0.462045,72.0698,89.1,98.4,-9.300000000000011,98.6,98.5,0.0999999999999943,14.239808823070511,120.67904716392336,0,96.93492463,96.81344708,0.1214775499999945,-3.882219669,99.98848196,102.2666045,-2.2781225399999983,-6.156255827,2022-11-12,149.46371991102478,0.28781418347696786,149.46371991102478,9.01410366082466,149.46371991102478,0.0,0.0,0.0,1.8728999999999996,-0.29900000000000126,-2.171900000000001,-2.171900000000001,1.8728999999999996,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.12654895447355774,0.40931361134268274,-1.5271000000000061,,-2.8719000000000054,-0.14949999999999974,-2.171900000000001,-1,-1.0,1,-1,-1,-1,-3.0,0.0
-1.0,-13,-12.866666666666674,-13.300000000000008,-13.828925619834717,113.6,95.26666666666664,126.7,108.13333333333333,Sun 11-20 11-20,A,327 (Ⅳ),Little Rock,"L, 94-91",75,121.8,60.4,21.4,41.5,31.3,125.8,65.8,25.4,50.0,33.3,38.0,2.0,147.0,99.85,86.1,92.4888888888889,84.59173553719008,112.775,98.85,105.7888888888889,98.4206611570248,20221120,90.8,99.9,-9.100000000000009,96.8,107.8,-11.0,91.2237,102.329,-11.1049,73.5594,2.561369733737777,147.3893156402421,76.89991756045521,3.3514531340093043,152.76807819842952,-3.2139753718832935,152.76807819842952,3.3514531340093043,152.76807819842952,-3.2139753718832935,146.61538444705533,-3.862466574829014,93.1288,106.709,-13.5806,73.4925,90.8,99.9,-9.100000000000009,96.8,107.8,-11.0,-3.0255273752492786,146.5888167555165,0,103.3265393,99.25947639,4.06706290999999,-1.308521411,104.7069536,111.277099,-6.570145400000001,-4.295894933,2022-11-20,171.65162562980265,-0.20442716562405394,171.65162562980265,-8.120656927689922,171.65162562980265,-11.07427222222222,-1.5271000000000043,-12.601372222222224,-1.8950999999999993,-2.1941000000000006,-1.547600000000001,-0.29900000000000126,-0.6464999999999996,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,-3,0.4244679994402739,0.6435089341348578,-2.195100000000007,-1.7617666666666736,-1.5271000000000061,-0.7313666666666663,-0.14949999999999974,-1,-1.0,-1,-1,-1,-3,-1.0,-3.0
11.5,0,-8.166666666666677,-9.066666666666675,-11.423666416228404,97.1,103.09999999999998,97.7,111.26666666666668,Wed 11-23 11-23,A,64 (Ⅱ),Michigan,"L, 78-68",73,93.6,42.5,15.1,31.9,9.6,107.3,52.5,15.1,17.1,32.2,-1.0,21.5,147.0,98.475,99.85,94.02592592592592,86.86596543951914,105.2375,112.775,103.0925925925926,98.28963185574756,20221123,92.8,102.3,-9.5,109.7,97.8,11.900000000000006,93.8876,105.454,-11.5667,72.2552,22.989009013678157,146.9252615732337,70.63156501507824,19.623089680257507,147.1582689408466,17.809052119977018,147.1582689408466,19.623089680257507,147.1582689408466,17.809052119977018,149.29350094449464,-0.3866541006659503,111.488,96.5992,14.8888,68.7203,92.8,102.3,-9.5,109.7,97.8,11.900000000000006,17.776503528043225,149.17640036844108,0,100.3870929,100.7549848,-0.3678919000000036,-6.185267086,98.46299496,105.0644326,-6.60143764,-7.363187775,2022-11-23,147.82309194076294,1.0117272032934892,147.82309194076294,13.885967016673575,147.82309194076294,-11.384149417989414,-1.8596333333333401,-13.243782751322755,11.5667,9.3726,-1.763100000000001,-2.1941000000000006,11.135700000000002,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.02029867074389724,0.5146874108642676,2.5000333333333256,3.400033333333324,-2.195100000000007,2.3431499999999996,-0.7313666666666663,1,-1.0,1,1,-1,3,-3.0,-1.0
-11.0,-20,-11.500000000000009,-12.977777777777789,-13.128454340550515,87.6,99.43333333333332,108.4,110.93333333333334,Fri 11-25 11-25,A,17 (I-A),Indiana,"L, 90-51",71,71.4,41.5,30.8,24.2,24.5,126.1,66.1,14.0,24.1,27.1,-5.5,28.0,146.5,93.0375,98.475,91.88395061728396,86.99942626869748,106.81875,105.2375,104.86172839506176,100.127880609248,20221125,93.2,102.3,-9.099999999999994,111.6,91.4,20.19999999999999,94.3764,104.953,-10.5763,72.1252,28.400043740218365,144.7825883471467,71.14561051266004,25.160288867196712,145.71054598153194,27.088823869524145,145.71054598153194,25.160288867196712,145.71054598153194,27.088823869524145,146.82826804452498,21.572858773985864,113.35,89.5898,23.7603,69.3452,93.2,102.3,-9.099999999999994,111.6,91.4,20.19999999999999,26.797213460872054,146.78458195680557,0,98.51373047,102.9782604,-4.464529929999998,-8.416157828,109.9447723,90.59917297,19.34559933,24.3868759,2022-11-25,147.87974568388518,25.489070215071976,147.87974568388518,24.403406061803935,147.87974568388518,-4.447310582010562,1.2936533333333244,-3.153657248677238,-9.4237,-0.05109999999999992,1.9487999999999992,9.3726,-1.9998999999999991,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.003830380567589775,0.0199608589753153,-2.4014777777777887,-0.9237000000000091,2.5000333333333256,-0.01022000000000034,2.3431499999999996,-1,1.0,-1,-1,1,-3,3.0,-3.0
-12.0,-38,-20.10000000000001,-21.618518518518528,-17.81418991499588,106.4,97.03333333333336,145.3,117.13333333333333,Tue 11-29 11-29,A,320 (Ⅳ),Miami OH,"L, 95-78",66,118.0,55.7,21.2,47.1,24.6,143.7,72.7,10.6,18.2,30.9,26.0,5.0,147.0,99.71875,93.0375,96.72263374485598,90.52680331075248,126.05937500000002,106.81875,118.34115226337452,108.34099322574836,20221129,92.6,102.4,-9.800000000000011,96.6,109.8,-13.200000000000005,94.0793,105.025,-10.9454,71.4421,5.548240507365904,144.8252738828689,70.30837586401137,2.057492993914792,144.29682282774715,4.58001406015594,144.29682282774715,2.057492993914792,144.29682282774715,4.58001406015594,146.92074580176546,-0.5495846086578808,99.5249,108.833,-9.30795,69.1844,92.6,102.4,-9.800000000000011,96.6,109.8,-13.200000000000005,4.165199271055897,146.71061143720996,0,98.26985129,101.5794297,-3.3095784100000003,-7.539054047,97.10769366,106.9596045,-9.851910840000002,-13.61291242,2022-11-29,146.49412748342945,-2.5099991073517316,146.49412748342945,1.9001599693318028,146.49412748342945,-0.10383809523808907,-1.3240117460317542,-1.4278498412698433,-27.0546,-27.1057,1.2821666666666665,-0.05109999999999992,-28.387866666666664,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.31696934194067294,0.520871663494622,-10.673118518518528,-9.15460000000001,-2.4014777777777887,-4.517616666666667,-0.01022000000000034,-1,-1.0,-1,-1,-1,-3,-3.0,3.0
14.0,5,-18.000000000000004,-12.512345679012354,-13.5388826577239,106.0,100.0,100.3,118.0,Sat 12-03 12-03,A,189 (Ⅳ),SMU,"W, 69-68",69,100.6,54.2,20.4,25.0,15.0,99.2,53.3,13.1,11.4,10.0,-6.0,13.0,143.0,102.859375,99.71875,99.81508916323732,93.34011179970656,113.1796875,126.05937500000002,112.32743484224967,106.87899445743048,20221203,94.1,106.0,-11.900000000000006,97.9,97.1,0.8000000000000114,95.5895,107.722,-12.1325,70.4228,13.202042457164062,138.21829844735166,68.72373725348506,12.575027957765045,137.5985758770106,12.097723943900316,137.5985758770106,12.575027957765045,137.5985758770106,12.097723943900316,137.00717453929713,2.180296861392847,99.9616,98.363,1.59857,68.6039,94.1,106.0,-11.900000000000006,97.9,97.1,0.8000000000000114,13.386789482161554,135.29826685673947,0,102.6472491,106.0871254,-3.4398763000000088,-5.179956323,90.91597121,96.27044229,-5.35447108000001,-3.989519618,2022-12-03,137.39479104273323,2.6541547446658313,137.39479104273323,16.511524791364288,137.39479104273323,9.151567772878678,-9.36960806878305,-0.21804029590437235,17.1325,-9.973199999999999,-8.180455555555554,-27.1057,-1.7927444444444447,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.10784037468050733,0.41775217671940545,-0.37984567901235344,-5.867500000000003,-10.673118518518528,-1.4247428571428582,-4.517616666666667,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
-8.0,-17,-16.8,-14.074897119341571,-14.204540356319557,78.6,97.0,95.8,113.8,Tue 12-06 12-06,A,55 (Ⅱ),TCU,"L, 78-51",76,67.3,35.1,38.3,41.5,24.6,102.9,44.8,17.2,34.9,34.3,-10.5,19.0,139.5,90.7296875,102.859375,92.74339277549156,90.66009147248718,104.48984375,113.1796875,106.81828989483311,104.86463182880674,20221206,95.7,106.7,-11.0,106.1,92.5,13.599999999999994,96.8216,107.893,-11.0711,70.094,22.718526296188003,141.22254762445303,69.2503793257468,21.509470102896344,143.53722332576604,26.461944906423305,143.53722332576604,21.509470102896344,143.53722332576604,26.461944906423305,144.16946152686558,9.886529311673286,107.234,91.3526,15.8817,69.4539,95.7,106.7,-11.0,106.1,92.5,13.599999999999994,18.99236391816822,139.0970222834943,0,103.1678256,107.1698317,-4.002006100000003,-6.997081203,97.13869678,92.81569981,4.3229969700000055,0.180092369,2022-12-06,141.8855367015639,6.84313947583221,141.8855367015639,26.12132293062954,141.8855367015639,8.295269295839049,-4.430095385067602,3.8651739107714462,-5.9289000000000005,-15.902099999999999,-8.778037037037036,-9.973199999999999,-7.124062962962963,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.03518483230489555,0.17320533679816497,-3.003797119341572,-5.728900000000001,-0.37984567901235344,-1.9877625000000005,-1.4247428571428582,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
1.0,-22,-11.433333333333332,-16.983264746227714,-15.76735120062509,103.4,96.0,126.2,107.43333333333332,Sun 12-11 12-11,A,132 (Ⅲ),Akron,"L, 85-72",68,105.6,53.2,19.1,31.3,11.1,124.7,64.4,14.7,20.0,40.4,26.5,14.0,130.5,97.06484375,90.7296875,96.29559518366104,92.97643847748952,115.344921875,104.48984375,113.27885992988875,108.7437896781146,20221211,95.2,106.5,-11.299999999999995,103.5,100.8,2.700000000000003,96.5512,107.873,-11.3214,70.6861,13.511933322036725,131.74922301115268,63.222432123897576,13.006839723111163,134.09794234009271,14.6648066817946,134.09794234009271,13.006839723111163,134.09794234009271,14.6648066817946,127.84113677781242,6.3695412099727164,104.094,100.117,3.97662,62.8771,95.2,106.5,-11.299999999999995,103.5,100.8,2.700000000000003,12.74358182150383,130.37124351910234,0,100.0596453,104.6715216,-4.611876300000006,-5.131700777,98.980998,99.41802587,-0.4370278699999943,-4.87115232,2022-12-11,131.8970319414231,1.8464165127099719,131.8970319414231,11.562997820388972,131.8970319414231,-1.1210188625971487,-3.8376849965706583,-4.958703859167807,-10.6786,-26.5807,-11.152724691358024,-15.902099999999999,-15.427975308641976,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.09121121972586788,0.27205057563832036,-5.661864746227714,-0.11193333333333122,-3.003797119341572,-2.9534111111111123,-1.9877625000000005,-1,-1.0,-1,-1,-1,-3,-3.0,-3.0
10.5,8,-10.466666666666669,-8.455509830818478,-11.336923709602344,110.3,97.43333333333334,101.7,107.89999999999998,Wed 12-14 12-14,N,37 (I-A),Mississippi St.,"L, 69-59",65,91.0,53.0,30.8,42.3,22.0,106.4,55.1,24.7,31.0,40.8,-3.5,20.5,131.5,103.682421875,97.06484375,100.96373012244072,96.12617693612776,108.5224609375,115.344921875,109.41923995325917,107.46310064573012,20221214,95.9,108.4,-12.5,103.2,87.6,15.600000000000009,97.3144,108.555,-11.2404,71.1837,20.290579017131826,130.17186631041793,64.8113918799431,18.521314451064356,130.21719770692528,22.704044245916197,130.21719770692528,18.521314451064356,130.21719770692528,22.704044245916197,129.34695843874485,15.443416561376722,107.464,87.545,19.9193,64.0068,95.9,108.4,-12.5,103.2,87.6,15.600000000000009,22.19191592574443,124.69146770696865,0,101.2458156,105.6374922,-4.391676599999997,-4.487795028,101.3075243,82.75720606,18.550318239999996,18.79124621,2022-12-14,126.84653727492946,15.087470642653727,126.84653727492946,20.353154183431272,126.84653727492946,1.1743077705264628,-5.225465824500144,-4.051158053973682,19.2404,-7.340299999999999,-16.295383127572016,-26.5807,8.955083127572017,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.025446496381253736,0.07067239288963212,2.784890169181521,0.7737333333333307,-5.661864746227714,-0.7340299999999989,-2.9534111111111123,1,-1.0,1,-1,-1,1,-3.0,-3.0
