ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
32.0,33,,33.7,33.7,121.2,0.0,87.5,0.0,Wed 11-09 11-09,H,351 (Ⅳ),Hampton,"W, 106-58",75,140.4,68.9,15.9,41.9,33.3,76.8,38.5,15.9,22.0,30.8,13.0,-16.0,151.0,121.2,0.0,121.2,121.2,87.5,0.0,87.5,87.5,20221109,102.8,101.4,1.3999999999999917,95.5,104.4,-8.900000000000006,102.679,98.9418,3.73699,73.3192,-18.11699385279404,152.6608967433737,76.56401785263157,-12.667756746146878,159.8592719626481,-72.90174418078131,159.8592719626481,-12.667756746146878,159.8592719626481,-72.90174418078131,184.75827052641625,-10.953600275444927,91.7998,106.166,-14.366,73.4112,102.8,101.4,1.3999999999999917,95.5,104.4,-8.900000000000006,-72.90174418078131,184.75827052641625,0,97.20227608,96.62456939,0.5777066899999994,2.135231858,89.82905411,98.45173271,-8.6226786,-8.494661523,2022-11-09,142.88429445328703,-10.214299477721738,142.88429445328703,-9.949494119949478,142.88429445328703,0.0,0.0,0.0,29.26301,29.26301,0.0,0.0,29.26301,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,-3,0.9362218501099964,0.8515721693281868,29.963010000000004,,0.0,29.26301,0.0,1,0.0,1,1,1,3,0.0,0.0
32.0,33,,33.66666666666667,33.68181818181819,106.4,0.0,72.8,0.0,Sat 11-12 11-12,A,188 (Ⅲ),Buffalo,"W, 97-62",89,109.4,58.0,29.3,42.9,73.2,69.9,35.7,33.8,27.0,44.6,-6.5,-3.0,165.5,113.8,121.2,116.26666666666668,118.5090909090909,80.15,87.5,82.60000000000001,84.82727272727271,20221112,105.3,101.0,4.299999999999997,97.7,103.2,-5.5,104.502,99.362,5.14036,73.3428,-0.7398743386789306,163.2828507892712,79.77098865149361,-3.4082259942418744,168.51125083782506,-20.202580945627744,168.51125083782506,-3.4082259942418744,168.51125083782506,-20.202580945627744,157.31099411161648,0.6242664023731379,100.222,101.699,-1.47641,76.4615,105.3,101.0,4.299999999999997,97.7,103.2,-5.5,-20.202580945627744,157.31099411161648,0,97.20227608,96.62456939,0.5777066899999994,2.135231858,97.71125824,101.9134883,-4.202230059999991,-4.672886166,2022-11-12,157.34451567299118,-3.2256557410841964,157.34451567299118,-5.597370731698007,157.34451567299118,0.0,0.0,0.0,27.85964,57.12265,29.26301,29.26301,27.85964,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,-3,0.6124515189020077,0.4762952743203709,28.52630666666667,,29.963010000000004,28.561325,29.26301,1,1.0,1,1,1,3,3.0,0.0
13.0,17,28.33333333333334,28.34444444444445,30.776033057851244,120.8,116.13333333333333,103.1,87.8,Tue 11-15 11-15,A,308 (Ⅳ),Howard,"W, 95-69",74,127.8,70.3,24.2,48.1,14.1,92.8,53.3,26.9,25.8,8.2,4.5,-13.0,159.5,117.3,113.8,117.7777777777778,118.92561983471072,91.625,80.15,89.43333333333334,88.1495867768595,20221115,105.6,99.4,6.199999999999989,98.6,107.6,-9.0,104.996,97.6193,7.37717,74.7623,-6.378255418827678,156.90310267423237,77.22945589999999,-7.642693243839233,166.53022433278431,-35.34213131725923,166.53022433278431,-7.642693243839233,166.53022433278431,-35.34213131725923,157.07763227610187,5.690693223411685,97.5775,104.079,-6.50137,72.6199,105.6,99.4,6.199999999999989,98.6,107.6,-9.0,-35.31123184034642,157.00923018425806,0,97.20227608,96.62456939,0.5777066899999994,2.135231858,101.1542358,98.70644333,2.447792469999996,-0.798478775,2022-11-15,152.76146621568472,-0.08881085448815895,152.76146621568472,-38.61421308696064,152.76146621568472,-41.94540999999998,28.526306666666656,-13.419103333333323,9.62283,66.74548,38.549556666666675,57.12265,28.195923333333326,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,-3,0.8921596253194927,0.29391931661136794,20.96727444444445,20.95616333333334,28.52630666666667,22.248493333333336,28.561325,1,1.0,1,1,1,3,3.0,3.0
-3.5,-6,14.866666666666667,16.66296296296297,23.96220886551465,88.8,105.33333333333331,95.5,90.46666666666664,Sun 11-20 11-20,A,34 (I-A),North Carolina,"L, 80-64",75,85.1,39.9,12.0,18.8,24.6,106.3,50.8,15.9,30.6,39.3,-23.5,12.5,167.5,103.05,117.3,108.11851851851854,113.44823441021786,93.5625,91.625,91.45555555555556,89.48602554470321,20221120,107.4,99.8,7.600000000000008,113.4,93.5,19.90000000000001,106.37,97.3512,9.01885,74.693,13.978934670365064,157.1839108629651,76.06021127169274,14.553593498031418,166.21091394560256,-5.286817812770294,166.21091394560256,14.553593498031418,166.21091394560256,-5.286817812770294,164.3238143473331,-1.2645871118675132,112.972,91.4879,21.4837,71.5868,107.4,99.8,7.600000000000008,113.4,93.5,19.90000000000001,-5.093735795621235,164.3819308950039,0,106.8784534,87.83256392,19.04588948,17.25000487,105.7114667,93.44448586,12.266980840000002,5.680564566,2022-11-20,149.5666612994028,-6.425880268743825,149.5666612994028,-5.820200609676334,149.5666612994028,-26.81988481481481,21.98766259259259,-4.832222222222221,-15.01885,51.72663,47.948197777777786,66.74548,3.7784322222222144,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,-3,0.11692964134637251,0.5479314561690867,7.644112962962968,5.847816666666667,20.96727444444445,12.9316575,22.248493333333336,1,1.0,1,1,1,3,3.0,3.0
14.5,17,9.6,17.04197530864198,22.84180725360289,109.6,106.4,91.8,96.8,Sat 11-26 11-26,N,259 (Ⅳ),South Dakota St.,"W, 79-60",71,111.0,56.5,22.5,34.3,24.2,84.3,50.0,29.5,28.1,21.2,-16.5,-4.5,155.5,106.325,103.05,108.61234567901236,112.74855542654188,92.68125,93.5625,91.57037037037038,89.90674817293898,20221126,106.5,99.3,7.200000000000003,103.2,98.8,4.400000000000006,106.924,98.0041,8.92027,73.9121,-3.922634962719499,158.9903121413417,75.88491172745377,-2.1268393208440273,160.96184091370603,-11.434373058818204,160.96184091370603,-2.1268393208440273,160.96184091370603,-11.434373058818204,140.1664075659689,-14.175245023838684,104.775,100.893,3.88272,72.1764,106.5,99.3,7.200000000000003,103.2,98.8,4.400000000000006,-11.674845472911393,144.30465227835438,0,105.474131,87.39551431,18.078616690000004,15.90949172,94.15231019,95.35621801,-1.203907820000012,-7.59248473,2022-11-26,141.71259507493312,-17.834454083289472,141.71259507493312,-16.774518109744392,141.71259507493312,-16.92585734362139,10.597817518518527,-6.328039825102865,8.07973,59.80636,49.207675185185195,51.72663,10.598684814814803,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.6658824291023754,0.9114957511454103,8.12170530864198,0.6797299999999993,7.644112962962968,11.961272000000001,12.9316575,1,1.0,1,1,1,3,3.0,3.0
13.5,-15,-1.3000000000000018,6.361316872427988,15.961478662038733,97.9,98.76666666666668,112.9,100.06666666666668,Sun 11-27 11-27,N,328 (Ⅳ),Valparaiso,"L, 81-79 OT",78,101.2,45.4,15.4,23.7,77.8,103.8,55.3,24.3,34.3,19.7,15.5,15.5,144.5,102.1125,106.325,105.04156378600824,110.04881807626153,102.790625,92.68125,98.68024691358026,94.0873394142228,20221127,106.8,97.9,8.899999999999991,96.3,104.3,-8.0,107.489,97.0081,10.4806,72.8907,-13.89060754182512,142.09928469970876,69.31314564324323,-12.14430939045188,145.94011737075022,-28.00121275983105,145.94011737075022,-12.14430939045188,145.94011737075022,-28.00121275983105,137.67325695544713,-22.38855552657234,95.8142,105.209,-9.39427,66.8496,106.8,97.9,8.899999999999991,96.3,104.3,-8.0,-27.603508220362734,136.24906111667966,0,105.3672594,87.15924752,18.20801188,15.58113838,90.57860281,104.8706336,-14.292030789999998,-6.429145655,2022-11-27,134.42843091371455,-15.256020229671051,134.42843091371455,-28.688199588453344,134.42843091371455,-23.173416698706653,6.6456684021164065,-16.527748296590246,-25.480600000000003,34.325759999999995,52.740570123456806,59.80636,-18.41481012345681,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.06994638275525245,0.9835065781536038,-4.119283127572013,-11.780600000000003,8.12170530864198,5.72096,11.961272000000001,-1,1.0,-1,1,1,-1,3.0,3.0
3.0,21,8.033333333333331,11.340877914951992,16.932118905304417,127.1,111.53333333333332,105.8,103.5,Fri 12-02 12-02,H,178 (Ⅳ),Eastern Kentucky,"W, 97-80",76,128.0,68.6,19.8,29.6,35.6,105.6,50.7,18.5,38.1,26.1,18.5,-14.0,158.5,114.60625,102.1125,112.39437585733884,113.14903297148668,104.2953125,102.790625,101.05349794238684,96.21691406618228,20221202,106.5,98.7,7.799999999999997,97.8,102.8,-5.0,106.751,97.6225,9.12821,72.502,-16.64513687971842,149.07651269470438,72.62049900142247,-13.902605063154226,153.2606099571253,-16.480302544900113,153.2606099571253,-13.902605063154226,153.2606099571253,-16.480302544900113,142.90033049000377,-16.899901423133883,96.5526,104.474,-7.92125,70.4149,106.5,98.7,7.799999999999997,97.8,102.8,-5.0,-19.272231592903584,144.24236093923383,0,103.9004993,91.971928,11.928571300000002,9.861891161,93.11611895,99.24225219,-6.1261332400000015,-9.772031924,2022-12-02,140.53906825052326,-16.29254047709064,140.53906825052326,-12.261837965114509,140.53906825052326,2.944317951793069,-3.6145411405055974,-0.6702231887125283,11.87179,46.19754999999999,46.60230008230454,34.325759999999995,-0.40475008230454534,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,3,0.9087887802741321,0.9462480478953942,2.212667914951993,-1.0948766666666678,-4.119283127572013,6.5996500000000005,5.72096,1,-1.0,-1,1,1,1,-1.0,3.0
7.5,7,4.599999999999999,10.060585276634662,15.217188195249069,88.6,104.53333333333336,81.1,99.93333333333334,Tue 12-06 12-06,A,16 (I-A),Virginia,"L, 55-50",62,80.0,33.6,19.2,30.2,32.7,88.0,47.8,14.4,9.7,53.3,-29.5,12.5,134.5,101.603125,114.60625,104.4629172382259,108.68557243121636,92.69765625,104.2953125,94.40233196159124,93.46838423596732,20221206,108.2,99.4,8.799999999999997,112.3,93.2,19.099999999999994,108.03,98.6273,9.40285,73.0745,13.792907202580203,133.40758873483094,62.90248802133712,10.80741662977362,137.43324008168725,13.27691736611623,137.43324008168725,10.80741662977362,137.43324008168725,13.27691736611623,136.62776404825743,3.9816301878799294,115.959,90.9818,24.9773,60.5142,108.2,99.4,8.799999999999997,112.3,93.2,19.099999999999994,7.943038513583028,135.18521276447134,0,105.4843474,94.97799181,10.506355589999998,9.510171071,108.1919062,97.0151139,11.176792300000002,8.936127368,2022-12-06,132.48263621621925,1.5626264224042359,132.48263621621925,8.100597043135565,132.48263621621925,-7.500839521849869,-1.3991125292311857,-8.899952051081055,-2.402850000000001,43.79469999999999,46.467383388203025,46.19754999999999,-2.6726833882030334,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,3,0.11692964134637251,0.3522686083801799,0.6577352766346607,-4.802850000000002,2.212667914951993,5.4743375,6.5996500000000005,1,1.0,-1,1,1,1,1.0,-1.0
7.0,18,15.6,12.707056851089774,15.723153977931055,122.2,112.63333333333333,104.2,97.03333333333336,Sun 12-18 12-18,H,361 (Ⅳ),LIU Brooklyn,"W, 115-79",86,134.2,67.1,15.2,43.2,32.9,92.2,55.2,33.8,32.3,34.5,39.0,-29.0,155.0,111.9015625,101.603125,110.37527815881728,111.14274108008613,98.448828125,92.69765625,97.6682213077275,95.41958710215508,20221218,106.3,97.9,8.399999999999991,88.6,108.8,-20.200000000000003,107.02,97.1208,9.899,73.0199,-27.406205138657874,153.98095607707143,75.79164399928877,-26.772473215706555,157.31954267840456,-25.002875897379347,157.31954267840456,-26.772473215706555,157.31954267840456,-25.002875897379347,153.31176049370987,-24.33285858808611,88.8783,109.29,-20.4118,72.9685,106.3,97.9,8.399999999999991,88.6,108.8,-20.200000000000003,-33.20440749596706,150.483854623392,0,102.289086,92.98350983,9.305576169999995,7.662436306,87.15415491,104.8001569,-17.646001990000002,-11.90935736,2022-12-18,146.3005335277153,-16.910886853583648,146.3005335277153,-27.093319539287947,146.3005335277153,-4.68197761766039,-0.5773117767870737,-5.259289394447464,8.101,51.89569999999999,45.57648892546868,43.79469999999999,6.31921107453131,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.9971267380880181,0.9897594348120641,2.808056851089775,5.7010000000000005,0.6577352766346607,5.766188888888889,5.4743375,1,1.0,1,1,1,3,1.0,1.0
-23.5,-17,2.7666666666666706,2.738037900726521,9.737125981943592,95.4,102.06666666666668,112.6,99.3,Wed 12-21 12-21,A,313 (Ⅳ),Coppin St.,"L, 107-100 2OT",97,102.9,49.4,20.6,37.3,35.8,110.1,64.2,24.7,11.8,65.0,40.0,-16.5,167.0,103.65078125,111.9015625,105.38351877254486,108.28042452007044,105.5244140625,98.448828125,102.64548087181836,98.54329853812688,20221221,106.9,97.8,9.100000000000009,102.3,111.5,-9.200000000000005,107.484,97.2312,10.2527,73.7465,-11.801856502126356,164.90474010567837,76.88445029089617,-10.211063088364156,171.70110077466546,-16.52033908310375,171.70110077466546,-10.211063088364156,171.70110077466546,-16.52033908310375,175.30839802450865,-3.6844655092208143,100.092,110.523,-10.4312,73.2913,106.9,97.8,9.100000000000009,102.3,111.5,-9.200000000000005,-15.290188332666654,168.7664948312232,0,103.4845004,95.14849309,8.33600731,7.316713358,101.647141,103.5082649,-1.8611238999999955,-0.068574732,2022-12-21,159.793605003463,-3.4473558607055423,159.793605003463,-18.96117259767577,159.793605003463,-7.729905551730122,1.866587529487834,-5.863318022242288,-27.2527,24.64299999999999,47.68289261697912,51.89569999999999,-23.039892616979127,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,0.9419584331306725,0.63716886833835,-7.51466209927348,-7.48603333333333,2.808056851089775,2.4643000000000015,5.766188888888889,-1,1.0,-1,1,1,-1,3.0,1.0
