ATS,EMRating,EMRating3GameEMA,EMRating5GameExpMA,EMRating10GameExpMA,AdjO,AdjO3GameEMA,AdjD,AdjD3GameEMA,Date,HomeAway,Op Rank,Opponent,Result,Pace,PPP,EFG%,TO%,OR%,FTR%,PPP1,EFG%1,TO%1,OR%1,FTR%1,OverUnder,ATSVegas,OverUnderVegas,AdjO3ExpMA,AdjO3ExpMAS,AdjO5ExpMA,AdjO10ExpMA,AdjD3ExpMA,AdjD3ExpMAS,AdjD5ExpMA,AdjD10ExpMA,DateNew,AdjOECurrent,AdjDECurrent,AdjEMCurrent,AdjOECurrentOpp,AdjDECurrentOpp,AdjEMCurrentOpp,PomAdjOECurrent,PomAdjDECurrent,PomAdjEMCurrent,PomAdjTCurrent,PomSpread,PomTotal,PomTempo,TRankSpread,TRankTotal,B3GSpread,B3GTotal,TRankLast10Spread,TRankLast10Total,MC5Spread,MC5Total,MG_Spread,PomAdjOECurrentOpp,PomAdjDECurrentOpp,PomAdjEMCurrentOpp,PomAdjTCurrentOpp,AdjOELast10,AdjDELast10,AdjEMLast10,AdjOEOppLast10,AdjDEOppLast10,AdjEMOppLast10,MC10Spread,MC10Total,MC10Edge,AdjOE_MG,AdjDE_MG,AdjEM_MG,Adj_Margin_EM_MG,AdjOE_MG_Opp,AdjDE_MG_Opp,AdjEM_MG_Opp,Adj_Margin_EM_MG_Opp,Dates,MG_Total,MG_Rank_Score_Dif,MG_Rank_Total,MG_Reg_Score_Dif,MG_Reg_Total,MGRegDifFromRating,MGRegDifFromRatingHome,MGRegDifFromRatingAway,GameDifRating,DifCumSum,DifCumSumEMA,DifCumSumShifted,DifOverplayingandEMA,PomSpreadWinATS,PomSpreadLossATS,PomTotalWinTotal,PomTotalLossTotal,TRankSpreadWinATS,TRankSpreadLossATS,TRankTotalWinTotal,TRankTotalLossTotal,B3GSpreadWinATS,B3GSpreadLossATS,B3GTotalWinTotal,B3GTotalLossTotal,TRankLast10SpreadWinATS,TRankLast10SpreadLossATS,TRankLast10TotalWinTotal,TRankLast10TotalLossTotal,MC5SpreadWinATS,MC5SpreadLossATS,MC5TotalWinTotal,MC5TotalLossTotal,MG_SpreadWinATS,MG_SpreadLossATS,MG_TotalWinTotal,MG_TotalLossTotal,MG_Rank_Score_DifWinATS,MG_Rank_Score_DifLossATS,MG_Rank_TotalWinTotal,MG_Rank_TotalLossTotal,MG_Reg_Score_DifWinATS,MG_Reg_Score_DifLossATS,MG_SpreadWinATSResult,VegasImpliedWinPercent,MGImpliedWinPercent,PlayingOverRating,PlayingOverRating3,PlayingOverRatingShift,RollingMeanDiffEM,RollingMeanDiffEMShift,PlayingOverPomeroyTrue,PlayingOverPomeroyShiftTrue,PlayingOverDailyTrue,RollingMeanDiffEMTrue,RollingMeanDiffEMShiftTrue,SignalSum,SignalSumShift,SignalSumShiftAfterGame
10.0,1,,1.7000000000000028,1.7000000000000028,119.4,0.0,117.7,0.0,Fri 11-11 11-11,A,51 (I),Florida,"L, 88-78",75,103.8,47.1,9.3,26.2,25.7,117.2,58.2,14.6,20.0,60.0,24.5,20.0,141.5,119.4,0.0,119.4,119.4,117.7,0.0,117.7,117.7,20221111,100.4,105.2,-4.799999999999997,107.3,89.9,17.39999999999999,98.2801,102.184,-3.90404,71.1511,19.861711362248677,144.0691808145965,72.56066098108109,21.004837037039124,151.2078150969109,28.742264583279805,151.2078150969109,21.004837037039124,151.2078150969109,28.742264583279805,151.77463195271005,15.904911658261241,108.053,90.025,18.0279,71.6927,100.4,105.2,-4.799999999999997,107.3,89.9,17.39999999999999,28.742264583279805,151.77463195271005,0,101.8086921,103.5450565,-1.7363643999999994,2.626163439,104.1806835,90.40129651,13.779386990000006,17.24775985,2022-11-11,148.67096043027215,12.8431146106971,148.67096043027215,18.268162251240895,148.67096043027215,0.0,0.0,0.0,4.90404,4.90404,0.0,0.0,4.90404,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,3,0.028405513967363794,0.06491742125317712,5.604040000000003,,0.0,4.90404,0.0,1,0.0,1,1,1,3,0.0,0.0
-4.0,1,,1.4666666666666686,1.572727272727275,98.9,0.0,97.9,0.0,Fri 11-18 11-18,N,270 (Ⅳ),Southeastern Louisiana,"W, 72-68",68,105.5,55.4,20.5,33.3,30.4,99.7,51.0,17.6,15.6,47.1,-7.5,-8.0,147.5,109.15,119.4,112.56666666666668,115.67272727272729,107.8,117.7,111.10000000000002,114.1,20221118,102.1,106.2,-4.1000000000000085,96.1,109.0,-12.900000000000006,100.38,103.497,-3.11746,70.948,-7.035907021599343,148.6710639496561,72.20750361308676,-6.815866908971955,157.53197129195962,0.6020141326143725,157.53197129195962,-6.815866908971955,157.53197129195962,0.6020141326143725,177.5186052404189,6.033116238855342,95.2351,107.948,-12.7132,71.548,102.1,106.2,-4.1000000000000085,96.1,109.0,-12.900000000000006,0.7549531170924383,177.36353520774165,0,101.8199736,98.80031279,3.0196608099999906,1.823587388,106.8242384,95.63150104,11.192737359999995,5.843750097,2022-11-18,149.8287530489613,2.9028591333531466,149.8287530489613,2.6476084658131924,149.8287530489613,15.28796666666666,0.0,15.28796666666666,4.1174599999999995,9.0215,4.90404,4.90404,4.1174599999999995,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,3,0.7769415761393583,0.2827868454943594,4.584126666666668,,5.604040000000003,4.51075,4.90404,1,1.0,1,1,1,3,3.0,0.0
7.0,9,3.900000000000001,3.977777777777779,2.9231404958677705,114.4,110.90000000000002,105.4,107.0,Sat 11-19 11-19,A,133 (Ⅲ),Appalachian St.,"W, 71-67",65,109.0,50.9,15.4,33.3,35.1,102.9,57.8,26.1,24.1,19.6,4.0,3.0,134.0,111.775,109.15,113.1777777777778,115.44132231404956,106.6,107.8,109.20000000000002,112.5181818181818,20221119,102.3,106.3,-4.0,97.5,99.1,-1.5999999999999943,100.25,103.607,-3.35738,70.2314,3.8770401604586198,136.7730877896096,68.36432370611665,5.60411859284892,143.61698308693957,-1.1697792574882426,143.61698308693957,5.60411859284892,143.61698308693957,-1.1697792574882426,141.60889392443698,-1.8976170619539658,97.0469,100.226,-3.17926,68.4311,102.3,106.3,-4.0,97.5,99.1,-1.5999999999999943,-1.462044991529089,141.5599261067205,0,101.8199736,98.80031279,3.0196608099999906,1.823587388,93.49515781,98.68614699,-5.1909891800000025,-4.334895993,2022-11-19,134.89399097684543,-2.320040198218706,134.89399097684543,-2.745906233907945,134.89399097684543,-7.37015462962963,4.584126666666666,-2.786027962962964,12.35738,21.37888,6.276526666666667,9.0215,15.102353333333332,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.38754848109799234,0.5717084531544063,7.335157777777779,7.257380000000001,4.584126666666668,7.126293333333333,4.51075,1,1.0,1,1,1,3,3.0,3.0
-23.0,-24,-4.8666666666666645,-5.548148148148144,-2.081066867017278,98.2,103.83333333333331,122.8,108.7,Sun 11-20 11-20,N,269 (Ⅳ),Campbell,"L, 85-61",66,92.6,57.5,28.9,21.4,60.0,129.1,66.0,18.2,20.8,59.6,15.0,1.0,131.0,104.9875,111.775,108.18518518518522,112.30653643876784,114.7,106.6,113.73333333333336,114.3876033057851,20221120,103.5,106.8,-3.299999999999997,98.2,102.3,-4.099999999999994,100.25,103.607,-3.35738,70.2314,1.341425508736819,133.9102389682951,66.99625999118065,-0.6885208870164803,144.6917478890274,2.9423515857433937,144.6917478890274,-0.6885208870164803,144.6917478890274,2.9423515857433937,139.9802802274419,10.082700227974698,97.9127,99.1842,-1.27151,67.0617,103.5,106.8,-3.299999999999997,98.2,102.3,-4.099999999999994,2.8501481995851035,139.7793730429134,0,102.0644604,101.1992966,0.8651638000000048,3.161782241,105.4307769,90.14767348,15.283103420000003,17.83868623,2022-11-20,136.4162067961265,9.83297675512641,136.4162067961265,2.9751302122009378,136.4162067961265,2.5393490740740745,6.706667037037036,9.24601611111111,-20.64262,0.7362599999999979,11.310644444444446,21.37888,-10.574384444444448,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.46206285593374585,0.16846290144660125,-2.190768148148144,-1.5092866666666644,7.335157777777779,0.18406499999999992,7.126293333333333,-1,1.0,-1,1,1,-1,3.0,3.0
8.5,11,-1.266666666666661,0.2345679012345742,0.4427634724404115,105.9,106.16666666666669,94.1,107.43333333333332,Sat 11-26 11-26,A,85 (Ⅱ),VCU,"L, 64-61",66,93.0,47.3,24.4,40.0,32.7,97.5,45.5,21.3,25.8,75.0,-8.0,11.5,133.0,105.44375,104.9875,107.42345679012348,111.14171163171916,104.4,114.7,107.1888888888889,110.69894815927871,20221126,103.5,108.2,-4.700000000000003,97.6,89.5,8.099999999999994,101.717,106.792,-5.07461,67.4821,12.198439837874751,133.32339739790766,66.89511132076815,12.698528824279599,136.17083365635028,10.21353604916351,136.17083365635028,12.698528824279599,136.17083365635028,10.21353604916351,127.47214193372514,6.11406621343837,99.5532,92.0085,7.54472,69.6885,103.5,108.2,-4.700000000000003,97.6,89.5,8.099999999999994,9.98199121861924,127.27612830229194,0,99.57585197,102.4719582,-2.896106230000001,-0.036421976,92.65891782,91.63340301,1.0255148100000042,1.385543579,2022-11-26,127.73659141776048,2.8369235075162607,127.73659141776048,8.042390926157225,127.73659141776048,-1.7395622962963024,0.7381300740740784,-1.001432222222224,16.07461,16.810869999999998,7.785849629629631,0.7362599999999979,9.025020370370367,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.13670617005697383,0.2801849997464749,5.309177901234574,3.8079433333333386,-2.190768148148144,3.3621740000000004,0.18406499999999992,1,-1.0,1,1,1,3,-1.0,3.0
7.0,5,-2.499999999999995,1.9230452674897152,1.3258973865421544,102.0,102.03333333333336,96.7,104.53333333333336,Fri 12-02 12-02,A,234 (Ⅲ),Mercer,"W, 66-63",65,101.3,47.4,13.8,22.9,26.3,96.7,54.0,24.6,25.9,26.0,-10.0,4.0,139.0,103.721875,105.44375,105.61563786008232,109.47958224413384,100.55,104.4,103.6925925925926,108.15368485759168,20221202,104.0,107.6,-3.5999999999999943,102.4,104.2,-1.7999999999999972,101.976,106.351,-4.37518,65.8145,5.844218257934841,135.48973583882108,63.060495524182066,5.136326617282293,141.5431793616849,2.8436039324524476,141.5431793616849,5.136326617282293,141.5431793616849,2.8436039324524476,138.2948880156515,2.8570505078280632,102.993,104.204,-1.21112,67.3583,104.0,107.6,-3.5999999999999943,102.4,104.2,-1.7999999999999972,2.592811084869806,142.4655060681555,0,99.78901985,101.3175475,-1.528527650000001,-1.641868683,100.2571676,103.1071458,-2.8499781999999954,-1.310703533,2022-12-02,132.36804919745694,1.9484615658888345,132.36804919745694,1.3379768858439007,132.36804919745694,-5.059624286269524,3.33581756966491,-1.7238067166046138,9.37518,26.186049999999998,10.794189753086421,16.810869999999998,15.391860246913577,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0.35161929169946593,0.3927725461788856,6.298225267489715,1.8751800000000052,5.309177901234574,4.364341666666666,3.3621740000000004,1,1.0,1,1,1,3,3.0,-1.0
5.5,14,10.4,5.982030178326474,3.648461498079944,94.1,100.66666666666669,80.0,90.26666666666668,Mon 12-05 12-05,A,259 (Ⅳ),Charleston Southern,"W, 76-65",74,102.5,57.8,20.2,17.6,56.9,87.6,48.2,29.7,33.3,32.7,2.0,-5.5,139.0,98.9109375,103.721875,101.77709190672157,106.68329456338222,90.275,100.55,95.79506172839508,103.03483306530228,20221205,104.1,106.6,-2.5,100.6,110.3,-9.700000000000005,102.238,105.774,-3.53523,65.3982,-1.3319445873677154,133.5415972865676,61.79367076045519,-0.867373665458075,140.84951153960074,-0.5060767656096496,140.84951153960074,-0.867373665458075,140.84951153960074,-0.5060767656096496,140.69000560153984,-1.2731957568072545,98.8554,110.345,-11.4895,66.4253,104.1,106.6,-2.5,100.6,110.3,-9.700000000000005,-2.4235364169981084,140.52526866744319,0,98.1133465,98.24079105,-0.12744454999999277,-2.109961754,99.53165965,107.5043901,-7.97273045,-7.559548005,2022-12-05,128.9084163186347,-1.720928634801993,128.9084163186347,-6.52767938009967,128.9084163186347,-8.190027917401462,5.9414603982951135,-2.2485675191063486,17.53523,43.72127999999999,15.924809835390947,26.186049999999998,27.796470164609048,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,-3,0.6997944856925475,0.548256157705209,9.517260178326474,13.93523,6.298225267489715,6.245897142857142,4.364341666666666,1,1.0,1,1,1,3,3.0,3.0
-15.0,-14,1.5333333333333268,-0.9453132144490204,0.294195771156315,86.6,94.23333333333332,101.4,92.7,Mon 12-12 12-12,A,11 (I-A),San Diego St.,"L, 88-54",75,72.3,42.9,28.1,16.7,40.8,117.8,57.4,16.1,29.0,41.0,4.0,19.0,138.0,92.75546875,98.9109375,96.7180612711477,103.03178646094908,95.8375,90.275,97.66337448559672,102.73759068979275,20221212,104.0,105.6,-1.5999999999999943,108.4,91.7,16.700000000000003,102.057,105.186,-3.12895,67.0913,18.1869952909628,138.224061687046,66.62061110725463,17.0572535401355,143.66929757995177,8.007808987309614,143.66929757995177,17.0572535401355,143.66929757995177,8.007808987309614,131.24302262763956,13.552697501780742,109.084,91.2528,17.8312,69.8068,104.0,105.6,-1.5999999999999943,108.4,91.7,16.700000000000003,13.58156955515298,138.32398998574038,0,97.43914909,96.44085353,0.9982955600000025,-0.307368884,107.2939623,91.35850226,15.93546004000001,13.27816612,2022-12-12,131.73564006366138,11.037120694235412,131.73564006366138,5.837623575986157,131.73564006366138,-16.69230024034519,9.380313913057677,-7.311986327287514,-10.87105,32.850229999999996,25.19029989026063,43.72127999999999,7.659930109739367,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-3,0.03518483230489555,0.09839812220988764,2.1836367855509797,4.662283333333327,9.517260178326474,4.1062787499999995,6.245897142857142,1,1.0,1,1,1,3,3.0,3.0
1.5,0,-0.5333333333333409,-0.9302088096326822,0.0770692673097112,91.1,90.59999999999998,92.0,91.13333333333334,Tue 12-20 12-20,H,287 (Ⅳ),USC Upstate,"W, 65-56",68,95.1,49.1,26.3,33.3,30.9,81.9,46.2,21.9,22.6,26.4,-21.5,-7.5,142.5,91.927734375,92.75546875,94.84537418076512,100.86237074077653,93.91875,95.8375,95.77558299039782,100.7853014734668,20221220,102.4,104.2,-1.7999999999999972,99.2,111.0,-11.799999999999995,101.138,104.59,-3.45193,68.139,-9.079217391617476,139.66411151915207,64.75948006685633,-10.878453643052865,144.3873176368355,-12.665094485933034,144.3873176368355,-10.878453643052865,144.3873176368355,-12.665094485933034,131.49996843659076,-9.64634833292299,99.651,110.989,-11.3382,66.8133,102.4,104.2,-1.7999999999999972,99.2,111.0,-11.799999999999995,-14.27025183713047,137.41070780741,0,95.78113532,96.16826869,-0.3871333700000008,0.033093363,95.77059983,105.6660495,-9.895449670000005,-7.712767001,2022-12-20,128.60463883562116,-6.759817906239874,128.60463883562116,-12.3773187874175,128.60463883562116,-8.709118257696986,5.548228721040994,-3.1608895366559917,3.45193,36.30215999999999,27.74360992684042,32.850229999999996,8.558550073159573,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.7624747379730235,0.8208737035509504,2.521721190367318,2.918596666666659,2.1836367855509797,4.033573333333333,4.1062787499999995,1,1.0,1,1,1,3,3.0,3.0
2.5,6,-3.100000000000004,1.513194126911547,1.2266930368897648,96.9,91.53333333333336,90.5,94.63333333333334,Fri 12-23 12-23,A,31 (I-A),Indiana,"L, 69-55",65,84.3,41.8,12.3,10.3,27.3,105.8,57.6,16.9,17.2,56.5,-16.0,16.5,140.0,94.4138671875,91.927734375,95.53024945384342,100.14193969699896,92.209375,93.91875,94.01705532693188,98.9152466601092,20221223,101.6,102.9,-1.3000000000000114,109.4,92.4,17.0,100.443,103.742,-3.29927,68.5417,20.024377544592106,142.74049506649285,68.75337002944525,17.23319210657145,145.74131306002323,6.267911902747408,145.74131306002323,17.23319210657145,145.74131306002323,6.267911902747408,132.53437486734768,13.201270911992815,111.525,91.8481,19.677,70.5171,101.6,102.9,-1.3000000000000114,109.4,92.4,17.0,13.682943596108528,140.56954039952856,0,94.20122755,95.68002196,-1.478794410000006,-1.299732283,105.0249812,92.34324229,12.681738909999993,20.84453148,2022-12-23,132.2779119835006,17.338149879684167,132.2779119835006,7.193943974363592,132.2779119835006,-16.400115061899402,3.7654801072268085,-12.634634954672595,9.29927,45.60142999999999,30.596459951226947,36.30215999999999,15.004970048773046,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,3,0.05804156686932749,0.10432904636773332,4.8124641269115465,0.19926999999999584,2.521721190367318,4.560143,4.033573333333333,1,1.0,1,1,1,3,3.0,3.0
